0	Index      	 *	Score 	Summary	Detail	
1	65336 21221	 * 	234.13	ACR|2BASARM|3DMG|1ASPD	18aDMG|2ASPD|3RCR|45aERES|6VULN|7CGEN|9aBASARM|aBPWR
25	65313 23622	   	212.10	ACR|1BASARM|2ASPD|1DMG|1AAC	1DMG|2aASPD|3RCR|4DUST|5AAC|6ERES|7LWND|8BASARM|9VULN
26	65321 23262	   	210.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DMG|26ASPD|3RCR|4LIT|5RPLT|7FEWX|8BEXP|9BASARM|aLHND
27	65321 23263	   	210.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DMG|26ASPD|3RCR|4LIT|5RPLT|7FEWX|8BEXP|9BASARM|aDUR
28	21523 13636	 * 	208.96	ACR|3ASPD|2BEXP|3CDMG|2VULN	1BELT|249CDMG|349ASPD|49BPWR|5RCR|6aVULN|7LWND|89BEXP
29	61326 61213	   	208.96	ACR|3DMG|2ASPD|2CDMG	158DMG|28MLV|3RCR|4LIT|69ASPD|78CDMG|8BPWR|aVULN
30	65323 61233	   	208.86	ACR|3ASPD|2DMG|2CDMG	18DMG|268ASPD|3RCR|49LIT|5ERES|78CDMG|8BPWR|aVULN
31	52326 61213	   	208.76	ACR|3DMG|2ASPD|2CDMG	18TLV|258DMG|3RCR|4LIT|69ASPD|78CDMG|8BPWR|aVULN
32	65323 61223	   	208.76	ACR|3ASPD|2DMG|2CDMG	18DMG|268ASPD|3RCR|4LIT|5ERES|78CDMG|8BPWR|9MDPS|aVULN
33	65323 61221	   	207.86	ACR|3ASPD|2DMG|3CDMG	18DMG|268ASPD|3RCR|4LIT|5ERES|78aCDMG|8BPWR|9MDPS
34	61336 35221	   	206.82	ACR|2BASARM|2DMG|1AAC	1aDMG|2aMLV|3RCR|45ERES|6RCVC|7VULN|8AAC|9aBASARM|aBPWR
35	52336 15221	   	206.52	ACR|2BASARM|2DMG|1AAC	16aTLV|2aDMG|3RCR|45ERES|7VULN|8AAC|9aBASARM|aBPWR
36	61342 21125	   	205.89	ACR|1BASARM|2DMG|1CDMG|1AAC	17DMG|2MLV|3RCR|4CGEN|5AAC|6VULN|8RCVC|9BASARM|aCDMG
37	61332 21125	   	205.79	ACR|1BASARM|2DMG|1CDMG|1AAC	17DMG|2MLV|3RCR|4ERES|5AAC|6VULN|8RCVC|9BASARM|aCDMG
38	65322 32216	   	205.36	ACR|1BASARM|2DMG|1ASPD|1AAC	1aDMG|2ASPD|3RCR|4LIT|5LHND|6FEWX|7AAC|8LWND|9BASARM
39	65332 32134	   	205.36	ACR|1BASARM|2DMG|1ASPD|1AAC	17DMG|2ASPD|3RCR|47ERES|5AAC|67LWND|7BPWR|8RCVC|9LHND|aBASARM
40	65322 22216	   	205.26	ACR|1BASARM|2DMG|1ASPD|1AAC	1aDMG|2ASPD|3RCR|4LIT|5LHND|6DUST|7AAC|8LWND|9BASARM
41	65322 62214	   	205.26	ACR|1BASARM|2DMG|1ASPD|1AAC	1aDMG|2ASPD|3RCR|4LIT|5LHND|6MBVNT|7AAC|8LWND|9BASARM
42	65332 31134	   	205.26	ACR|1BASARM|2DMG|1ASPD|1AAC	17DMG|2ASPD|3RCR|4ERES|5AAC|6LWND|8RCVC|9LHND|aBASARM
43	65332 31334	   	205.26	ACR|1BASARM|2DMG|1ASPD|1AAC	17DMG|2ASPD|3RCR|4ERES|5AAC|68LWND|9LHND|aBASARM
44	65332 33234	   	205.26	ACR|1BASARM|2DMG|1ASPD|1AAC	18DMG|2ASPD|3RCR|4ERES|5AAC|67LWND|9LHND|aBASARM
45	65313 21134	   	205.16	ACR|1BASARM|2DMG|1ASPD|1AAC	17DMG|2ASPD|3RCR|4DUST|5AAC|6ERES|89DUR|aBASARM
46	65313 22134	   	205.16	ACR|1BASARM|2DMG|1ASPD|1AAC	17DMG|2ASPD|3RCR|47DUST|5AAC|67ERES|7BPWR|89DUR|aBASARM
47	21523 13634	   	204.24	ACR|3ASPD|2BEXP|3CDMG|1AAC	1BELT|249CDMG|349ASPD|49BPWR|5RCR|6VULN|7LWND|89BEXP|aAAC
