0	Index      	 *	Score 	Summary	Detail	
1	36362 22362	 * 	203.08	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	17CGEN|2ASPD|3DMG|4RCR|56FEWX|8CDMG|9BASARM|aVULN
20	36361 12331	   	190.31	ACR|2VULN|2ASPD|1DMG|1AART	1CGEN|29ASPD|3DMG|4RCR|57VULN|6DLOT|8MLV|aAART
21	26361 61211	   	189.71	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AAC	1TLV|2LIT|3ERES|4RCR|5VULN|6MDPS|7BASARM|8CDMG|9AAC|aASPD
22	32361 45233	 * 	189.17	ACR|3DMG|1VULN|1ASPD|1BEXP	1CGEN|2ZMB|379DMG|4RCR|5VULN|6BEXP|8LHND|aASPD
23	34562 12213	 * 	189.07	ACR|3ASPD|1VULN|1DMG|1BEXP	1CGEN|2DMG|38aASPD|4RCR|5FEWX|6DLOT|7VULN|9BEXP
24	36362 12213	   	189.07	ACR|3ASPD|1VULN|1DMG|1BEXP	1CGEN|28aASPD|3DMG|4RCR|5FEWX|6DLOT|7VULN|9BEXP
25	24562 12213	   	188.97	ACR|3ASPD|1VULN|1DMG|1BEXP	1TLV|2DMG|38aASPD|4RCR|5FEWX|6DLOT|7VULN|9BEXP
26	36362 63112	 * 	188.95	ACR|2BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7aBASARM|8ERES|9MLV
27	36364 23112	   	188.95	ACR|2BASARM|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7aBASARM|8ERES|9MLV
28	36361 62133	   	188.92	ACR|3ASPD|1VULN|1DMG|1BEXP|1SELL	1CGEN|27aASPD|3DMG|4RCR|5VULN|6RPLT|8SELL|9BEXP
29	36361 23282	   	188.67	ACR|1BASARM|1VULN|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7SPLREG|8MBVNT|9RCVC|aBASARM
30	36361 22263	 * 	188.45	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	18CGEN|2aASPD|3DMG|4RCR|5VULN|6FEWX|7BEXP|9AART
31	36361 22363	   	188.45	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1CGEN|2aASPD|3DMG|4RCR|5VULN|68FEWX|7BEXP|9AART
32	36362 12216	   	188.35	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART	1CGEN|28ASPD|3DMG|4RCR|5FEWX|6DLOT|7VULN|9BEXP|aAART
33	36362 35221	 * 	188.35	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1CGEN|2ASPD|37DMG|4RCR|5FEWX|6BEXP|8ERES|9VULN|aAART
34	36362 35321	   	188.35	ACR|2DMG|1VULN|1ASPD|1BEXP|1AART	1CGEN|2ASPD|37DMG|4RCR|5FEWX|6BEXP|8AAC|9VULN|aAART
35	36361 62131	   	188.20	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART|1SELL	1CGEN|27ASPD|3DMG|4RCR|5VULN|6RPLT|8SELL|9BEXP|aAART
36	32362 63622	   	188.12	ACR|1BASARM|1ASPD|1DMG|1VULN	1CGEN|2ZMB|3DMG|4RCR|5FEWX|68DUR|7BASARM|9ASPD|aVULN
37	36362 22361	   	188.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	17aCGEN|2ASPD|3DMG|4RCR|56FEWX|8CDMG|9BASARM
38	36362 22363	   	188.12	ACR|1BASARM|1ASPD|1DMG|1CDMG	17CGEN|2ASPD|3DMG|4RCR|56FEWX|8CDMG|9BASARM|aRPLT
39	36361 36233	   	188.10	ACR|2VULN|2DMG|1ASPD|1CDMG	1CGEN|2ASPD|3aDMG|4RCR|58VULN|6DMSP|7CDMG|9ZMB
40	36361 34333	   	188.10	ACR|2VULN|2DMG|1ASPD|1CDMG	1CGEN|2ASPD|3aDMG|4RCR|57VULN|6DMSP|8CDMG|9ZMB
41	34561 32231	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2DMG|3ASPD|4RCR|5VULN|6DMSP|8AAC|9BASARM|aLWND
42	34561 32233	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2DMG|3ASPD|4RCR|5VULN|6DMSP|8AAC|9BASARM|aMLV
43	36361 23632	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7SPLREG|8DUR|aBASARM
44	36361 24132	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7LHND|8VENFST|aBASARM
45	36361 32231	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|8AAC|9BASARM|aLWND
46	36361 32233	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|8AAC|9BASARM|aMLV
47	36361 32234	   	188.02	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|8AAC|9BASARM|aLIT
48	32364 43224	 * 	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1CGEN|2ZMB|3DMG|4RCR|5LHND|6BEXP|7BASARM|8MBVNT|9LIT|aASPD
49	36362 63111	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8ERES|9MLV|aBEXP
50	36362 63132	   	188.02	ACR|1BASARM|1ASPD|1DMG|1VULN	1CGEN|2ASPD|3DMG|4RCR|59FEWX|6DUR|7BASARM|8ERES|aVULN
51	36362 63221	   	188.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9LIT|aCDMG
52	36362 63231	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	19CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|aBEXP
53	36362 63234	 * 	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	19CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|aAART
54	36362 63321	   	188.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DUST|9LIT|aCDMG
55	36362 63323	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DUST|9LIT|aBEXP
56	36362 63331	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	19CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DUST|aBEXP
57	36364 23111	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8ERES|9MLV|aBEXP
58	36364 23132	   	188.02	ACR|1BASARM|1ASPD|1DMG|1VULN	1CGEN|2ASPD|3DMG|4RCR|5LHND|69FEWX|7BASARM|8ERES|aVULN
59	36364 23221	   	188.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9LIT|aCDMG
60	36364 23231	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	19CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|aBEXP
61	36364 23234	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	19CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|aAART
62	36364 23321	   	188.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DUST|9LIT|aCDMG
63	36364 23323	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DUST|9LIT|aBEXP
64	36364 23331	   	188.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	19CGEN|2ASPD|3DMG|4RCR|5LHND|6FEWX|7BASARM|8DUST|aBEXP
65	34561 23232	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	19CGEN|2DMG|3ASPD|4RCR|5VULN|6FEWX|7SPLREG|8MBVNT|aBASARM
66	34561 23332	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	19CGEN|2DMG|3ASPD|4RCR|5VULN|6FEWX|7SPLREG|8DUST|aBASARM
67	34561 32232	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2DMG|3ASPD|4RCR|5VULN|6DMSP|8AAC|9BASARM|aAME
68	36361 23232	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7SPLREG|8MBVNT|aBASARM
69	36361 23332	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	19CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7SPLREG|8DUST|aBASARM
70	36361 32232	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|8AAC|9BASARM|aAME
71	36361 32235	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|8AAC|9BASARM|aTLV
72	36361 32236	   	187.92	ACR|1BASARM|1VULN|1ASPD|1DMG	17CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|8AAC|9BASARM|aDUST
73	36362 63121	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8ERES|9DUST|aAART
74	36362 63211	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9ERES|aAART
75	36362 63214	   	187.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9ERES|aVULN
76	36362 63241	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9AME|aAART
77	36362 63244	   	187.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9AME|aVULN
78	36362 63311	   	187.92	ACR|1BASARM|1ASPD|1DMG|1AART	1CGEN|2ASPD|3DMG|4RCR|5FEWX|6DUR|7BASARM|8DUST|9ERES|aAART
79	36361 23342	   	187.82	ACR|1BASARM|1VULN|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|7SPLREG|89DUST|aBASARM
80	34561 22221	 * 	187.26	ACR|2ASPD|1VULN|2BEXP|1DMG	189aCGEN|2DMG|3aASPD|4RCR|5VULN|6FEWX|7aBEXP|aBPWR
81	34561 22321	   	187.26	ACR|2ASPD|1VULN|2BEXP|1DMG	19aCGEN|2DMG|3aASPD|4RCR|5VULN|68FEWX|7aBEXP|aBPWR
82	36361 22221	   	187.26	ACR|2DMG|1VULN|2BEXP|1ASPD	189aCGEN|2ASPD|3aDMG|4RCR|5VULN|6FEWX|7aBEXP|aBPWR
83	36361 22321	   	187.26	ACR|2DMG|1VULN|2BEXP|1ASPD	19aCGEN|2ASPD|3aDMG|4RCR|5VULN|68FEWX|7aBEXP|aBPWR
84	36361 22413	   	186.96	ACR|2ASPD|1VULN|2BEXP|1DMG	1CGEN|2aASPD|3DMG|4RCR|5VULN|6FEWX|79BEXP|8ERES
85	36361 12352	 * 	186.24	ACR|2VULN|2AART|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|57VULN|6DLOT|8MLV|9aAART
86	34561 12213	 * 	185.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1CGEN|2DMG|3aASPD|4RCR|57VULN|6DLOT|8LHND|9BEXP
87	36361 12213	   	185.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1CGEN|2aASPD|3DMG|4RCR|57VULN|6DLOT|8LHND|9BEXP
88	36361 12513	   	185.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1CGEN|2aASPD|3DMG|4RCR|57VULN|6DLOT|8FEWX|9BEXP
89	36361 63223	   	185.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1CGEN|2aASPD|3DMG|4RCR|59VULN|6RPLT|7DUST|8BEXP
90	36362 12214	   	185.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1CGEN|28ASPD|3DMG|4RCR|5FEWX|6DLOT|7aVULN|9BEXP
91	32361 25242	 * 	185.54	ACR|1BASARM|2DMG|1VULN	1CGEN|2ZMB|37DMG|4RCR|5VULN|6FEWX|8LHND|9SNIFST|aBASARM
92	32363 23484	 * 	185.44	ACR|1BASARM|2DMG|1AART	1CGEN|2ZMB|37DMG|4RCR|5AME|6MBVNT|8AART|9MLV|aBASARM
93	32363 23474	   	185.34	ACR|1BASARM|2DMG|1AART	1CGEN|2ZMB|37DMG|4RCR|5AME|6MBVNT|8AART|9ERES|aBASARM
94	36361 22411	 * 	184.32	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1CGEN|2ASPD|3DMG|4RCR|5VULN|6FEWX|79BEXP|8ERES|aAART
95	36361 33141	   	184.32	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART	1CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|7LSRICY|8aBEXP|9AART
96	36361 13633	   	183.16	ACR|3ASPD|1VULN|1DMG|2AAC	1CGEN|289ASPD|3DMG|4RCR|5VULN|6DLOT|7aAAC
97	32361 45331	 * 	183.05	ACR|3DMG|1VULN|2BEXP	18aCGEN|28ZMB|37aDMG|4RCR|5VULN|68BEXP|8aBPWR|9aDUR
98	36361 36313	   	183.00	ACR|2DMG|1VULN|1ASPD|1CDMG|1AAC	1CGEN|2ASPD|3aDMG|4RCR|5VULN|6DMSP|7CDMG|8RCVC|9AAC
99	11241 51162	   	182.92	ACR|1BASARM|1ASPD|1DMG|1VULN	1LEGI|23FEWX|4VENFST|5RCR|6ASPD|7DMG|8CGEN|9VULN|aBASARM
100	32361 22231	   	182.85	ACR|3DMG|1VULN|2BEXP	18aCGEN|2ZMB|39aDMG|4RCR|5VULN|6FEWX|7aBEXP|aBPWR
101	32361 22331	   	182.85	ACR|3DMG|1VULN|2BEXP	1aCGEN|2ZMB|39aDMG|4RCR|5VULN|68FEWX|7aBEXP|aBPWR
102	32361 31331	   	182.85	ACR|3DMG|2BEXP|1VULN	1aCGEN|2ZMB|39aDMG|4RCR|5VULN|6DMSP|7LWND|8aBEXP|aBPWR
103	32364 34331	   	182.85	ACR|3DMG|2BEXP|1VULN	1aCGEN|2ZMB|39aDMG|4RCR|5LHND|6DMSP|7VULN|8aBEXP|aBPWR
104	11241 51262	   	182.82	ACR|1BASARM|1ASPD|1DMG|1VULN	1LEGI|23FEWX|4VENFST|5RCR|6ASPD|7DMG|8ERES|9VULN|aBASARM
105	32364 43111	 * 	182.79	ACR|1BASARM|2BEXP|1DMG	1CGEN|2ZMB|3DMG|4RCR|5LHND|6aBEXP|7BASARM|8ERES|9MLV
106	32364 43231	   	182.79	ACR|1BASARM|2BEXP|1DMG	19CGEN|2ZMB|3DMG|4RCR|5LHND|6aBEXP|7BASARM|8MBVNT
107	32364 43323	   	182.79	ACR|1BASARM|2BEXP|1DMG	1CGEN|2ZMB|3DMG|4RCR|5LHND|6aBEXP|7BASARM|8DUST|9LIT
108	32364 43331	   	182.79	ACR|1BASARM|2BEXP|1DMG	19CGEN|2ZMB|3DMG|4RCR|5LHND|6aBEXP|7BASARM|8DUST
109	32561 62331	 * 	182.03	ACR|2ASPD|1VULN|1AART|1BEXP|1CDMG	1CGEN|2ZMB|37ASPD|4RCR|5VULN|6RPLT|8CDMG|9BEXP|aAART
110	34561 32313	   	181.82	ACR|2DMG|1VULN|1ASPD|1CDMG|1AAC	17CGEN|2aDMG|3ASPD|4RCR|5VULN|6DMSP|8CDMG|9AAC
111	36361 32313	   	181.82	ACR|2DMG|1VULN|1ASPD|1CDMG|1AAC	17CGEN|2ASPD|3aDMG|4RCR|5VULN|6DMSP|8CDMG|9AAC
112	32364 43113	 * 	181.61	ACR|1BASARM|1DMG|1AART|1BEXP	1CGEN|2ZMB|3DMG|4RCR|5LHND|6BEXP|7BASARM|8ERES|9MLV|aAART
113	32364 43221	 * 	181.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1CGEN|2ZMB|3DMG|4RCR|5LHND|6BEXP|7BASARM|8MBVNT|9LIT|aCDMG
114	32364 43233	   	181.61	ACR|1BASARM|1DMG|1BEXP|1AART	19CGEN|2ZMB|3DMG|4RCR|5LHND|6BEXP|7BASARM|8MBVNT|aAART
115	32364 43321	   	181.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1CGEN|2ZMB|3DMG|4RCR|5LHND|6BEXP|7BASARM|8DUST|9LIT|aCDMG
116	32364 43333	   	181.61	ACR|1BASARM|1DMG|1BEXP|1AART	19CGEN|2ZMB|3DMG|4RCR|5LHND|6BEXP|7BASARM|8DUST|aAART
117	26262 25331	   	181.61	ACR|1BASARM|1VULN|1ASPD|1CDMG	1TLV|29LIT|3MLV|4RCR|5ASPD|6CDMG|7RMIN|8VULN|aBASARM
118	32362 63261	   	181.61	ACR|1BASARM|1DMG|1VULN|1CDMG	1CGEN|2ZMB|3DMG|4RCR|5FEWX|6DUR|7BASARM|8MBVNT|9CDMG|aVULN
119	32364 23261	   	181.61	ACR|1BASARM|1DMG|1VULN|1CDMG	1CGEN|2ZMB|3DMG|4RCR|5LHND|6FEWX|7BASARM|8MBVNT|9CDMG|aVULN
120	26362 25331	   	181.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1TLV|29LIT|3ERES|4RCR|5ASPD|6CDMG|7RMIN|8VULN|aBASARM
121	36361 36221	 * 	180.52	ACR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|589VULN|6DMSP|7CDMG|aLIT
122	36361 34321	   	180.52	ACR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|579VULN|6DMSP|8CDMG|aLIT
123	36361 41311	   	180.52	ACR|2VULN|2BEXP|1ASPD|1DMG	1CGEN|2ASPD|3DMG|4RCR|59VULN|6aBEXP|7ZMB|8MDPS
124	36361 36223	   	180.42	ACR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|589VULN|6DMSP|7CDMG|aMDPS
125	36361 34323	   	180.42	ACR|3VULN|1ASPD|1DMG|1CDMG	1CGEN|2ASPD|3DMG|4RCR|579VULN|6DMSP|8CDMG|aMDPS
126	36361 62233	   	180.41	ACR|2VULN|2ASPD|1DMG|1AAC	1CGEN|27ASPD|3DMG|4RCR|5aVULN|6RPLT|8LWND|9AAC
127	36361 12334	   	180.31	ACR|2VULN|2ASPD|1DMG|1AAC	1CGEN|29ASPD|3DMG|4RCR|57VULN|6DLOT|8MLV|aAAC
128	36361 36131	 * 	179.17	ACR|1VULN|1ASPD|1DMG|1CDMG|1AART|1AAC	1CGEN|2ASPD|3DMG|4RCR|5VULN|6DMSP|7CDMG|8LHND|9AART|aAAC
129	36362 26231	   	179.17	ACR|1VULN|1ASPD|1DMG|1CDMG|1AART|1AAC	1CGEN|2ASPD|3DMG|4RCR|56FEWX|7CDMG|8VULN|9AART|aAAC
130	32361 22251	   	178.34	ACR|2VULN|2DMG|2BEXP	18aCGEN|2ZMB|3aDMG|4RCR|59VULN|6FEWX|7aBEXP|aBPWR
131	32361 22351	   	178.34	ACR|2VULN|2DMG|2BEXP	1aCGEN|2ZMB|3aDMG|4RCR|59VULN|68FEWX|7aBEXP|aBPWR
132	32361 31351	   	178.34	ACR|2VULN|2DMG|2BEXP	1aCGEN|2ZMB|3aDMG|4RCR|59VULN|6DMSP|7LWND|8aBEXP|aBPWR
133	32561 22251	 * 	178.34	ACR|2VULN|2ASPD|2BEXP	18aCGEN|2ZMB|3aASPD|4RCR|59VULN|6FEWX|7aBEXP|aBPWR
134	32561 22351	   	178.34	ACR|2VULN|2ASPD|2BEXP	1aCGEN|2ZMB|3aASPD|4RCR|59VULN|68FEWX|7aBEXP|aBPWR
135	32561 31351	   	178.34	ACR|2VULN|2ASPD|2BEXP	1aCGEN|2ZMB|3aASPD|4RCR|59VULN|6DMSP|7LWND|8aBEXP|aBPWR
136	36361 13623	   	178.01	ACR|2ASPD|2DMG|1VULN	1CGEN|28ASPD|3aDMG|4RCR|5VULN|6DLOT|7AAC|9RCVC
137	32361 34231	   	177.98	ACR|2VULN|1BASARM|1DMG	1CGEN|2ZMB|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aLWND
138	32361 34233	   	177.98	ACR|2VULN|1BASARM|1DMG	1CGEN|2ZMB|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aMLV
139	32361 34234	   	177.98	ACR|2VULN|1BASARM|1DMG	1CGEN|2ZMB|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aLIT
140	32561 34231	   	177.98	ACR|2VULN|1BASARM|1ASPD	1CGEN|2ZMB|3ASPD|4RCR|57VULN|6DMSP|8AAC|9BASARM|aLWND
141	32561 34233	   	177.98	ACR|2VULN|1BASARM|1ASPD	1CGEN|2ZMB|3ASPD|4RCR|57VULN|6DMSP|8AAC|9BASARM|aMLV
142	32361 34232	   	177.88	ACR|2VULN|1BASARM|1DMG	1CGEN|2ZMB|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aAME
143	32361 34235	   	177.88	ACR|2VULN|1BASARM|1DMG	1CGEN|2ZMB|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aTLV
144	32361 34236	   	177.88	ACR|2VULN|1BASARM|1DMG	1CGEN|2ZMB|3DMG|4RCR|57VULN|6DMSP|8AAC|9BASARM|aDUST
145	32561 34232	   	177.88	ACR|2VULN|1BASARM|1ASPD	1CGEN|2ZMB|3ASPD|4RCR|57VULN|6DMSP|8AAC|9BASARM|aAME
146	32361 62335	   	177.65	ACR|2ASPD|2DMG|1VULN	18CGEN|28ZMB|3aDMG|4RCR|5VULN|6RPLT|78ASPD|8BPWR|9RMIN
147	36361 21125	   	177.45	ACR|2ASPD|2DMG|1VULN	18CGEN|29ASPD|3aDMG|4RCR|5VULN|6FEWX|7ZMB
148	36361 25121	   	177.45	ACR|2ASPD|2DMG|1VULN	1CGEN|29ASPD|37DMG|4RCR|5VULN|6FEWX|8ZMB|aLWND
149	36361 25122	   	177.45	ACR|2ASPD|2DMG|1VULN	1CGEN|29ASPD|37DMG|4RCR|5VULN|6FEWX|8ZMB|aDUR
150	36361 25123	   	177.45	ACR|2ASPD|2DMG|1VULN	1aCGEN|29ASPD|37DMG|4RCR|5VULN|6FEWX|8ZMB
151	36361 31125	   	177.45	ACR|2ASPD|2DMG|1VULN	1CGEN|29ASPD|3aDMG|4RCR|5VULN|6DMSP|7LWND|8ZMB
152	36361 14333	   	177.35	ACR|2ASPD|2DMG|1VULN	1CGEN|29ASPD|3aDMG|4RCR|5VULN|6DLOT|7DMSP|8MLV
153	36361 15333	   	177.35	ACR|2ASPD|2DMG|1VULN	18CGEN|29ASPD|3aDMG|4RCR|5VULN|6DLOT|7MLV
154	36362 33316	 * 	177.33	ACR|2DMG|1BASICY|1ASPD|1BEXP	1CGEN|2ASPD|3aDMG|4RCR|5FEWX|6BEXP|7LHND|8RPLT|9BASICY
155	34561 13333	   	177.25	ACR|2ASPD|2DMG|1VULN	18CGEN|2aDMG|39ASPD|4RCR|5VULN|6DLOT|7AAC
156	36361 13333	   	177.25	ACR|2ASPD|2DMG|1VULN	18CGEN|29ASPD|3aDMG|4RCR|5VULN|6DLOT|7AAC
157	36361 12214	 * 	177.13	ACR|3VULN|1ASPD|1DMG|1BEXP	1CGEN|2ASPD|3DMG|4RCR|57aVULN|6DLOT|8LHND|9BEXP
