0	Index      	 *	Score 	Summary	Detail	
1	51632 16233	 * 	213.57	DCR|4VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3RPLT|457aVULN|6CDMG|8RCR|9ASPD
13	32448 21444	 * 	205.78	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|49AART|5ASPD|6VULN|7ZMB|8RCR|aNUKE
14	15336 22315	 * 	205.10	DCR|2VULN|2DMG|1AART|2CDMG	1MLV|29CDMG|3LIT|4BEXP|59VULN|6AME|79DMG|8RCR|9BPWR|aAART
15	55235 31331	 * 	204.92	DCR|3ASPD|2VULN|2DMG|1MDPS	1BELT|238ASPD|4LIT|5MDPS|68VULN|78DMG|8BPWR|9RMIN|aRCR
16	41234 15223	 * 	204.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|24VULN|3AME|5ERES|6CDMG|7RCR|8AART|9aASPD
17	41121 13354	   	202.06	DCR|3VULN|1AART|1ASPD|2DUR	13DUR|23aVULN|3BPWR|4LHND|5BEXP|6SPLREG|7ASPD|8RCR|9AART
18	15413 38212	   	201.79	DCR|3VULN|1AART|1ASPD|1CDMG	1MLV|2CDMG|3MBVNT|459VULN|6ASPD|7RMIN|8RCR|aAART
19	32448 22534	 * 	201.75	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG|1AAC	1AAC|2CDMG|3MBVNT|4AART|5ASPD|69VULN|7RCR|8MLV|aNUKE
20	41115 13524	   	200.87	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	13DUR|23VULN|3BPWR|4CGEN|5DMG|6MBVNT|79CDMG|8RCR|aAART
21	55235 31311	   	200.76	DCR|3ASPD|2VULN|2DMG|1MDPS	1BELT|238ASPD|4LIT|5MDPS|68VULN|78DMG|8BPWR|9CGEN|aRCR
22	41121 13351	   	200.48	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	13DUR|23VULN|3BPWR|4LHND|5BEXP|6SPLREG|7ASPD|8RCR|9AART|aCDMG
23	15615 22223	 * 	200.18	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1MLV|2CDMG|3RCR|47VULN|5DUR|6DMG|8AART|9aASPD
24	51633 16233	   	200.18	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3RPLT|47aVULN|5RCVC|6CDMG|8RCR|9ASPD
25	41365 31323	 * 	200.07	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|29VULN|3FEWX|4DUST|5ASPD|6RCR|7AART|8RMIN|aDMG
26	15412 45344	 * 	199.76	DCR|2VULN|2AART|1DMG|1CDMG	1MLV|2CDMG|3MBVNT|48VULN|5DUST|6RCR|79AART|aDMG
27	15613 31142	 * 	199.58	ACR|4VULN|1AART|1ASPD|1CDMG|1DUR	1MLV|2CDMG|3RCR|4579VULN|6ASPD|8DUR|aAART
28	41235 42111	 * 	199.35	DCR|5VULN|1DMG|2DUR	18DUR|2467aVULN|3AME|5DMG|9RCR
29	15336 22316	 * 	199.16	DCR|3VULN|2DMG|2CDMG	1MLV|29CDMG|3LIT|4BEXP|59aVULN|6AME|79DMG|8RCR|9BPWR
30	41135 23411	   	199.09	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|7CDMG|8RCR|9MDPS|aCGEN
31	41135 23412	   	199.09	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|7CDMG|8RCR|9MDPS|aBEXP
32	41135 23413	 * 	199.09	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	13DUR|23aVULN|3BPWR|4ASPD|5DMG|6LHND|7CDMG|8RCR|9MDPS
33	41135 33411	   	199.09	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6BEXP|7CDMG|8RCR|9MDPS|aCGEN
34	41135 33412	   	199.09	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6aBEXP|7CDMG|8RCR|9MDPS
35	41135 33413	   	199.09	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6BEXP|7CDMG|8RCR|9MDPS|aLIT
36	41121 13362	   	198.34	DCR|3VULN|1ASPD|1DMG|2DUR	13DUR|239VULN|3BPWR|4LHND|5BEXP|6SPLREG|7ASPD|8RCR|aDMG
37	32448 21437	   	198.33	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3MBVNT|4AART|5ASPD|6aVULN|7ZMB|8RCR|9DUR
38	32414 22244	   	198.19	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47VULN|5ZMB|6RCR|8AART|9RMIN|aDMG
39	15413 38214	   	198.07	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2CDMG|3MBVNT|459VULN|6ASPD|7RMIN|8RCR|aDMG
40	41234 12611	 * 	198.00	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|249aVULN|3AME|5ERES|6CDMG|7DMG|8RCR
41	32446 34344	   	197.76	DCR|2VULN|2AART|1DMG|1CDMG|1AAC	1AAC|2CDMG|3MBVNT|49AART|5FEWX|68VULN|7RCR|aDMG
42	32477 34344	   	197.76	DCR|2VULN|2AART|1DMG|1CDMG|1AAC	1AAC|2CDMG|3MBVNT|4FEWX|59AART|68VULN|7RCR|aDMG
43	51632 16232	   	197.72	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3RPLT|457VULN|6CDMG|8RCR|9ASPD|aFEWX
44	32448 22248	   	197.66	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC	1AAC|2CDMG|3MBVNT|49AART|5ASPD|6aVULN|7RCR|8ERES
45	51632 16231	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2AART|3RPLT|457VULN|6CDMG|8RCR|9ASPD|aERES
46	41362 31323	   	197.60	DCR|2VULN|2DMG|1AART|1DUR	1DUR|29VULN|3FEWX|4DUST|5aDMG|6RCR|7AART|8RMIN
47	32417 72244	   	197.34	DCR|2AART|1VULN|1DMG|1NUKE|1CDMG|1AAC	1AAC|2CDMG|3MBVNT|4VULN|59AART|6DMG|7RCR|8ERES|aNUKE
48	32445 72244	   	197.34	DCR|2AART|1VULN|1DMG|1NUKE|1CDMG|1AAC	1AAC|2CDMG|3MBVNT|49AART|5VULN|6DMG|7RCR|8ERES|aNUKE
49	32448 22244	   	197.34	DCR|2AART|1VULN|1ASPD|1NUKE|1CDMG|1AAC	1AAC|2CDMG|3MBVNT|49AART|5ASPD|6VULN|7RCR|8ERES|aNUKE
50	41136 12612	   	197.34	DCR|3VULN|1AART|1ASPD|2DUR|1SELL	13DUR|239VULN|3BPWR|4ASPD|5RCVC|6LWND|7SELL|8RCR|aAART
51	41135 23422	   	197.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|79CDMG|8RCR|aRPLT
52	41135 23423	   	197.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|79CDMG|8RCR|aCGEN
53	41135 33422	   	197.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6BEXP|79CDMG|8RCR|aRPLT
54	41135 33423	   	197.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6BEXP|79CDMG|8RCR|aCGEN
55	45133 41322	 * 	197.18	ACR|3VULN|2ASPD|1DMG|1CDMG|1DUR	1DUR|24ASPD|3RMIN|5RCR|678VULN|9DMG|aCDMG
56	41132 13541	   	196.85	DCR|3VULN|1MDPS|1ASPD|1CDMG|2DUR	13DUR|239VULN|3BPWR|4ASPD|5MLV|6MBVNT|7CDMG|8RCR|aMDPS
57	41134 13541	   	196.75	DCR|3VULN|1MDPS|1ASPD|1CDMG|2DUR	13DUR|239VULN|3BPWR|4ASPD|5ERES|6MBVNT|7CDMG|8RCR|aMDPS
58	41362 31325	   	196.08	DCR|2VULN|2AART|1DMG|1DUR	1DUR|29VULN|3FEWX|4DUST|5DMG|6RCR|7aAART|8RMIN
59	45235 31323	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2ASPD|3BEXP|49VULN|5LWND|6RCR|7AART|8MLV|aDMG
60	45332 31323	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2ASPD|3LWND|49VULN|5FEWX|6RCR|7AART|8MLV|aDMG
61	45336 31323	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2ASPD|3LWND|49VULN|5BEXP|6RCR|7AART|8MLV|aDMG
62	46325 31323	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2LWND|39VULN|4BEXP|5ASPD|6RCR|7AART|8MLV|aDMG
63	41322 35135	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2aVULN|3FEWX|4BEXP|5DMG|6RCR|7MLV|8ASPD|9AART
64	41325 31323	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|29VULN|3FEWX|4BEXP|5ASPD|6RCR|7AART|8MLV|aDMG
65	41355 31323	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|29VULN|3FEWX|4LWND|5ASPD|6RCR|7AART|8MLV|aDMG
66	32414 22612	   	195.96	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|479VULN|5ZMB|6RCR|8RMIN|aAART
67	45332 31262	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2ASPD|3LWND|49VULN|5FEWX|6RCR|7AART|8DUST|aDMG
68	15613 32312	 * 	195.49	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2CDMG|3RCR|459VULN|6ASPD|7DMG|8BEXP|aAART
69	15613 32412	   	195.49	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2CDMG|3RCR|459VULN|6ASPD|7DMG|8LHND|aAART
70	41213 12612	   	195.13	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|29VULN|35AME|4RMIN|6CDMG|7DMG|8RCR|aAART
71	41213 12663	 * 	194.81	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2VULN|35AME|4RMIN|6CDMG|7DMG|8RCR|9AART|aASPD
72	43335 32612	   	194.53	DCR|2VULN|2DMG|1AART|2DUR|1SELL	16DUR|25DMG|3LWND|49VULN|7SELL|8RCR|aAART
73	61434 12212	   	194.39	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2CGEN|3ZMB|4BEXP|59VULN|6CDMG|7DMG|8RCR|aAART
74	41135 12821	   	194.36	DCR|3VULN|1DMG|1ASPD|3DUR	138DUR|238VULN|38BPWR|4ASPD|5DMG|6MBVNT|78TLV|9RCR|aLIT
75	41135 12824	   	194.36	DCR|3VULN|1ASPD|1DMG|3DUR	138DUR|238VULN|38BPWR|4ASPD|5DMG|6MBVNT|78TLV|9RCR|aAME
76	32443 26323	   	194.34	DCR|2VULN|2AART|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3MBVNT|49AART|5ZMB|6aVULN|7DUR|8RCR
77	61451 12212	   	194.29	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2CGEN|3ZMB|49VULN|5DUST|6CDMG|7DMG|8RCR|aAART
78	62434 12212	   	194.29	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ERES|3ZMB|4BEXP|59VULN|6CDMG|7DMG|8RCR|aAART
79	65234 12212	   	194.29	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|3TLV|4BEXP|59VULN|6CDMG|7DMG|8RCR|aAART
80	65611 12212	   	194.29	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ZMB|39VULN|4CGEN|5DUST|6CDMG|7DMG|8RCR|aAART
81	41234 15213	   	194.26	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DUR|24VULN|3AME|5ERES|6CDMG|7RCR|8AART|9RMIN|aASPD
82	62451 12212	   	194.19	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2ERES|3ZMB|49VULN|5DUST|6CDMG|7DMG|8RCR|aAART
83	43132 26621	 * 	194.13	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	18DUR|2DMG|3RMIN|48ASPD|5CGEN|6LHND|78CDMG|8BPWR|9VULN|aRCR
84	43132 36621	   	194.13	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	18DUR|2DMG|3RMIN|48ASPD|5CGEN|6BEXP|78CDMG|8BPWR|9VULN|aRCR
85	32414 22884	   	194.02	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47VULN|5ZMB|6RCR|8CGEN|9DMG|aAART
86	32414 24534	   	194.02	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|49VULN|5ZMB|6RCR|7AART|8MLV|aDMG
87	32443 26326	   	194.02	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3MBVNT|49AART|5ZMB|6VULN|7DUR|8RCR|aASPD
88	41322 32126	 * 	193.97	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2VULN|3FEWX|4BEXP|57DMG|6RCR|8ASPD|9RCVC|aAART
89	41622 32125	   	193.97	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2VULN|3LHND|4BEXP|57DMG|6RCR|8ASPD|9RCVC|aAART
90	43234 32125	   	193.97	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|27DMG|3BEXP|4VULN|5LHND|6RCR|8ASPD|9RCVC|aAART
91	43632 32125	   	193.97	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1DUR|27DMG|3LHND|4VULN|5FEWX|6RCR|8ASPD|9RCVC|aAART
92	32413 22284	   	193.92	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47VULN|5TLV|6RCR|8AART|9ZMB|aDMG
93	32414 22216	   	193.92	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47VULN|5ZMB|6RCR|8AART|9DUST|aASPD
94	32414 22264	   	193.92	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47VULN|5ZMB|6RCR|8AART|9ERES|aDMG
95	41362 32126	   	193.87	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2VULN|3FEWX|4DUST|57DMG|6RCR|8ASPD|9RCVC|aAART
96	15413 38211	   	193.85	DCR|4VULN|1ASPD|1CDMG	1MLV|2CDMG|3MBVNT|459aVULN|6ASPD|7RMIN|8RCR
97	43235 31326	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2DMG|3BEXP|49aVULN|5LWND|6RCR|7AART|8MLV
98	43332 31326	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2DMG|3LWND|49aVULN|5FEWX|6RCR|7AART|8MLV
99	45332 31326	   	193.78	DCR|3VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3LWND|49aVULN|5FEWX|6RCR|7AART|8MLV
100	46322 31326	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2LWND|39aVULN|4BEXP|5DMG|6RCR|7AART|8MLV
101	41352 31326	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	1DUR|29aVULN|3FEWX|4LWND|5DMG|6RCR|7AART|8MLV
102	15612 22224	 * 	193.63	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1MLV|2CDMG|3RCR|47VULN|5DUST|6DMG|8aAART|9ASPD
103	41121 13355	 * 	193.59	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR	13DUR|23VULN|3BPWR|4LHND|5BEXP|6SPLREG|7ASPD|8RCR|9AART|aMDPS
104	41322 31323	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1DUR|29VULN|3FEWX|4BEXP|5aDMG|6RCR|7AART|8MLV
105	41352 31323	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1DUR|29VULN|3FEWX|4LWND|5aDMG|6RCR|7AART|8MLV
106	43235 31323	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3BEXP|49VULN|5LWND|6RCR|7AART|8MLV
107	43332 31323	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3LWND|49VULN|5FEWX|6RCR|7AART|8MLV
108	46322 31323	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|39VULN|4BEXP|5aDMG|6RCR|7AART|8MLV
109	46342 31323	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|39VULN|4FEWX|5aDMG|6RCR|7AART|8MLV
110	41115 13534	   	193.44	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	13DUR|23VULN|3BPWR|49CGEN|5DMG|6MBVNT|7CDMG|8RCR|aAART
111	41352 31262	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1DUR|29VULN|3FEWX|4LWND|5aDMG|6RCR|7AART|8DUST
112	43235 31262	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3BEXP|49VULN|5LWND|6RCR|7AART|8DUST
113	43332 31262	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2aDMG|3LWND|49VULN|5FEWX|6RCR|7AART|8DUST
114	43332 31536	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1DUR|29DMG|3LWND|4aVULN|5FEWX|6RCR|7AART|8ERES
115	46322 31262	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2LWND|39VULN|4BEXP|5aDMG|6RCR|7AART|8DUST
116	41135 23121	   	193.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|79CDMG|8LWND|aRCR
117	41135 23321	   	193.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|79CDMG|8BEXP|aRCR
118	41135 23531	   	193.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6LHND|78CDMG|9LWND|aRCR
119	41135 33121	   	193.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6BEXP|79CDMG|8LWND|aRCR
120	41135 33531	   	193.25	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13DUR|23VULN|3BPWR|4ASPD|5DMG|6BEXP|78CDMG|9LWND|aRCR
121	41352 32115	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2VULN|3FEWX|49LWND|57DMG|6RCR|8ASPD|aAART
122	43235 32115	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|27DMG|3BEXP|4VULN|59LWND|6RCR|8ASPD|aAART
123	43332 32115	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|27DMG|39LWND|4VULN|5FEWX|6RCR|8ASPD|aAART
124	46322 32115	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|29LWND|3VULN|4BEXP|57DMG|6RCR|8ASPD|aAART
125	45332 31532	   	193.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|3LWND|4VULN|5FEWX|6RCR|7AART|8ERES|9aDMG
126	15413 44512	   	193.11	DCR|3VULN|1AART|1CDMG|2DUR	1MLV|2CDMG|3MBVNT|459VULN|68DUR|7RCR|aAART
127	43143 11126	 * 	192.52	ACR|3VULN|2DMG|1ASPD|2DUR	18DUR|28DMG|3RMIN|4RCVC|5RCR|6MBVNT|789VULN|8BPWR|aASPD
128	32414 22614	   	192.24	DCR|3VULN|1ASPD|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|479VULN|5ZMB|6RCR|8RMIN|aASPD
129	32448 21435	   	192.17	DCR|2ASPD|1VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3MBVNT|4AART|5aASPD|6VULN|7ZMB|8RCR|9DUR
130	15443 45323	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	19MLV|2CDMG|3MBVNT|4DUR|58VULN|6RCR|7AART|aASPD
131	41112 14432	 * 	192.06	DCR|4VULN|1AART|3DUR	139DUR|2379VULN|39BPWR|4CGEN|5BASARM|6AART|89BEXP|aRCR
132	41322 31325	   	192.02	DCR|2VULN|2AART|1DMG|1DUR	1DUR|29VULN|3FEWX|4BEXP|5DMG|6RCR|7aAART|8MLV
133	41325 31325	   	192.02	DCR|2VULN|2AART|1ASPD|1DUR	1DUR|29VULN|3FEWX|4BEXP|5ASPD|6RCR|7aAART|8MLV
134	32448 22317	   	191.92	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|4AART|5ASPD|6aVULN|7RCR|8DUST|9ZMB
135	15443 44741	 * 	191.90	DCR|2VULN|1MDPS|2ASPD|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|4DUR|59VULN|6RCR|78ASPD|aMDPS
136	32414 22812	   	191.79	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|479VULN|5ZMB|6RCR|8CGEN|aAART
137	32414 24538	   	191.79	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|49aVULN|5ZMB|6RCR|7AART|8MLV
138	41325 31363	 * 	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUR|2VULN|3FEWX|4BEXP|5ASPD|6RCR|79AART|8MLV|aDMG
139	32413 22288	   	191.69	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47aVULN|5TLV|6RCR|8AART|9ZMB
140	32414 22213	   	191.69	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47aVULN|5ZMB|6RCR|8AART|9DUST
141	32414 22268	   	191.69	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3MBVNT|47aVULN|5ZMB|6RCR|8AART|9ERES
142	15336 22314	   	191.66	DCR|2VULN|2DMG|2CDMG|1ZMB	1MLV|29CDMG|3LIT|4BEXP|59VULN|6AME|79DMG|8RCR|9BPWR|aZMB
143	15443 22541	   	191.51	DCR|3VULN|1MDPS|1DMG|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|4DUR|579VULN|6DMG|8RCR|aMDPS
144	41235 13541	   	191.51	DCR|3VULN|1MDPS|1DMG|1CDMG|1DUR	1DUR|249VULN|3AME|5DMG|6MBVNT|7CDMG|8RCR|aMDPS
145	32448 21425	 * 	191.49	DCR|2ASPD|1VULN|1AART|2CDMG|1AAC|1ZMB	1AAC|2aCDMG|3MBVNT|4AART|5aASPD|6VULN|7ZMB|8RCR|9aMLV|aBPWR
146	15613 31243	   	191.27	ACR|4VULN|1AART|1ASPD|1CDMG	1MLV|2CDMG|3RCR|457aVULN|6ASPD|8CGEN|9AART
147	41142 13333	   	191.04	DCR|3VULN|2ASPD|3DUR	139DUR|239VULN|39BPWR|4BELT|5DUST|6LIT|79ASPD|8RCR|aRCVC
148	45133 41112	 * 	191.02	ACR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1DUR|24ASPD|3RMIN|5RCR|67VULN|8ZMB|9aDMG
149	11133 15253	 * 	190.90	DCR|4VULN|2ASPD	18MLV|26LWND|3RMIN|48ASPD|5789VULN|8BPWR|aRCR
150	63424 12212	   	190.89	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1RCVC|2RMIN|3AAC|4BEXP|59VULN|6CDMG|7DMG|8RCR|aAART
151	15613 31331	 * 	190.83	ACR|3VULN|2ASPD|1AART|1CDMG	1MLV|2CDMG|3RCR|457VULN|69ASPD|8RCVC|aAART
152	63434 12212	   	190.79	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1RCVC|2RMIN|3AAC|4DUST|59VULN|6CDMG|7DMG|8RCR|aAART
153	41135 13474	   	190.78	DCR|2VULN|1ASPD|1DMG|3DUR|1CDMG	138DUR|23VULN|3BPWR|4ASPD|5DMG|6MBVNT|7CDMG|9LWND|aRCR
154	32414 22238	 * 	190.75	DCR|2VULN|1MDPS|1AART|2CDMG|1AAC|1ZMB	1AAC|29CDMG|3MBVNT|47VULN|5ZMB|6RCR|8AART|aMDPS
155	41142 13331	   	190.71	DCR|3VULN|2ASPD|3DUR	139DUR|239VULN|39BPWR|4BELT|5DUST|6LIT|79ASPD|8RCR|aRPLT
