0	Index      	 *	Score 	Summary	Detail	
1	26622 31213	 * 	203.56	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|2AART|357VULN|47AME|67DMG|7BPWR|8LIT|9DUR|aRCR
33	36111 21562	   	187.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2VULN|3TLV|4AART|5DUR|6AME|7CDMG|8RCR|9ASPD|aDMG
34	53151 11511	 * 	187.66	DCR|4VULN|2ASPD|1AAC	1RCVC|2459VULN|3AAC|5BPWR|67ASPD|8RCR|aBEXP
35	53151 11512	   	187.66	DCR|4VULN|2ASPD|1AAC	1RCVC|2459VULN|3AAC|5BPWR|67ASPD|8RCR|aLIT
36	53151 11513	   	187.66	DCR|4VULN|2ASPD|1AAC	1RCVC|2459VULN|3AAC|5BPWR|67ASPD|8RCR|aLWND
37	26612 33111	 * 	187.41	DCR|5VULN|1AART|1AAC	1RPLT|2AART|35789VULN|4AAC|6RCVC|8BPWR|aRCR
38	26121 61341	 * 	186.91	DCR|2AART|1VULN|2CDMG|1ASPD	1RPLT|29AART|3MLV|4ERES|5VULN|6RCR|78CDMG|aASPD
39	36116 33631	   	186.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1LEGI|28VULN|3TLV|4AART|5ZMB|6ASPD|7CDMG|9LHND|aRCR
40	43253 43222	 * 	185.93	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR	1BASFIG|2DUR|3aASPD|4VULN|5LWND|6RCR|7CGEN|8AART|9CDMG
41	56321 22353	   	185.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2BEXP|3DUR|4CGEN|5AART|6VULN|7ASPD|8CDMG|9RCR|aDMG
42	26625 31213	   	185.73	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|37VULN|47AME|5DMSP|67DMG|7BPWR|8LIT|9DUR|aRCR
43	36116 42131	   	185.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2VULN|3TLV|4AART|5ZMB|6DMG|7ASPD|8RMIN|9CDMG|aRCR
44	36116 42331	   	185.60	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2VULN|3TLV|4AART|5ZMB|6DMG|7ASPD|8CDMG|9ERES|aRCR
45	23131 62351	 * 	185.60	DCR|2VULN|2CDMG|1ASPD|1DMG	1RPLT|2LHND|3CGEN|46VULN|5aCDMG|7RCR|8ASPD|9DMG
46	26331 62326	   	185.57	DCR|3VULN|1AART|1DMG	1RPLT|2AART|3DMSP|48LHND|589VULN|6RCR|7BELT|8BPWR|aDMG
47	26622 36213	   	185.53	DCR|2VULN|2DMG|1AART|1DUR	1RPLT|2AART|35VULN|4AME|67DMG|8LIT|9DUR|aRCR
48	23431 62351	   	185.50	DCR|2VULN|2CDMG|1ASPD|1DMG	1RPLT|2LHND|3ERES|46VULN|5aCDMG|7RCR|8ASPD|9DMG
49	26331 62126	   	185.47	DCR|3VULN|1AART|1DMG	1RPLT|2AART|3DMSP|4LHND|589VULN|6RCR|7BELT|aDMG
50	26121 62126	   	185.37	DCR|3VULN|1AART|1DMG	1RPLT|2AART|3MLV|4ERES|589VULN|6RCR|7BELT|aDMG
51	53314 42232	 * 	185.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1RCVC|2VULN|3DUR|4LHND|59DMG|6AART|7ASPD|8FEWX|aRCR
52	26351 62323	 * 	184.11	DCR|3VULN|1AART|3DUR	1RPLT|2AART|3DMSP|48aDUR|589VULN|6RCR|7BELT|8BPWR
53	24161 61111	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|48MLV|59VULN|6RCR|7CDMG|aASPD
54	24161 61211	   	183.89	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AME|3AART|4MLV|5aVULN|6RCR|7CDMG|8FEWX|9DMG
55	24161 61221	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|4MLV|5aVULN|6RCR|7CDMG|8FEWX|9ASPD
56	25221 61511	   	183.89	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8BEXP|9DMG
57	25221 61521	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8BEXP|9ASPD
58	25221 61611	   	183.89	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8LHND|9DMG
59	25221 61621	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8LHND|9ASPD
60	25223 61411	   	183.89	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|23FEWX|4AART|5LHND|6RCR|7CDMG|8aVULN|9DMG
61	25223 61421	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|23FEWX|4AART|5LHND|6RCR|7CDMG|8aVULN|9ASPD
62	26331 61311	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|38DMSP|4LHND|59VULN|6RCR|7CDMG|aASPD
63	26331 61511	   	183.89	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3DMSP|4LHND|5aVULN|6RCR|7CDMG|8BEXP|9DMG
64	26331 61521	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3DMSP|4LHND|5aVULN|6RCR|7CDMG|8BEXP|9ASPD
65	26331 61611	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3DMSP|48LHND|59VULN|6RCR|7CDMG|aASPD
66	55321 61311	   	183.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RCVC|2RPLT|3LWND|4AART|59VULN|6RCR|7CDMG|8DMSP|aASPD
67	53314 42131	   	183.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2VULN|3DUR|4LHND|5DMG|6AART|7ASPD|8RMIN|9CDMG|aRCR
68	53314 42321	   	183.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2VULN|3DUR|4LHND|5DMG|6AART|7ASPD|8CDMG|9RMIN|aRCR
69	53334 42131	   	183.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2VULN|3DUR|4BEXP|5DMG|6AART|7ASPD|8RMIN|9CDMG|aRCR
70	53334 42321	   	183.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RCVC|2VULN|3DUR|4BEXP|5DMG|6AART|7ASPD|8CDMG|9RMIN|aRCR
71	24121 61311	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|4ERES|59VULN|6RCR|7CDMG|8DMSP|aASPD
72	24121 61511	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AME|3AART|4ERES|5aVULN|6RCR|7CDMG|8BEXP|9DMG
73	24121 61521	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|4ERES|5aVULN|6RCR|7CDMG|8BEXP|9ASPD
74	24121 61611	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AME|3AART|4ERES|5aVULN|6RCR|7CDMG|8LHND|9DMG
75	24121 61621	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|4ERES|5aVULN|6RCR|7CDMG|8LHND|9ASPD
76	24123 61411	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AME|3AART|4ERES|5LHND|6RCR|7CDMG|8aVULN|9DMG
77	24123 61421	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|4ERES|5LHND|6RCR|7CDMG|8aVULN|9ASPD
78	25225 31411	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|23FEWX|4AART|5DUST|6RCR|7CDMG|8aVULN|9DMG
79	25225 31421	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|23FEWX|4AART|5DUST|6RCR|7CDMG|8aVULN|9ASPD
80	26121 61111	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|38MLV|4ERES|59VULN|6RCR|7CDMG|aASPD
81	26121 61211	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3MLV|4ERES|5aVULN|6RCR|7CDMG|8FEWX|9DMG
82	26121 61221	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3MLV|4ERES|5aVULN|6RCR|7CDMG|8FEWX|9ASPD
83	26121 61511	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3MLV|4ERES|5aVULN|6RCR|7CDMG|8BEXP|9DMG
84	26121 61521	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3MLV|4ERES|5aVULN|6RCR|7CDMG|8BEXP|9ASPD
85	26121 61611	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3MLV|4ERES|5aVULN|6RCR|7CDMG|8LHND|9DMG
86	26121 61621	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3MLV|4ERES|5aVULN|6RCR|7CDMG|8LHND|9ASPD
87	26123 61411	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3MLV|4ERES|5LHND|6RCR|7CDMG|8aVULN|9DMG
88	26123 61421	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3MLV|4ERES|5LHND|6RCR|7CDMG|8aVULN|9ASPD
89	26335 31411	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3DMSP|4LHND|5DUST|6RCR|7CDMG|8aVULN|9DMG
90	26335 31421	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3DMSP|4LHND|5DUST|6RCR|7CDMG|8aVULN|9ASPD
91	25221 61211	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8DUST|9DMG
92	25221 61221	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8DUST|9ASPD
93	25221 61311	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8LEGI|9DMG
94	25221 61321	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|23FEWX|4AART|5aVULN|6RCR|7CDMG|8LEGI|9ASPD
95	26331 61211	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3DMSP|4LHND|5aVULN|6RCR|7CDMG|8DUST|9DMG
96	26331 61221	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3DMSP|4LHND|5aVULN|6RCR|7CDMG|8DUST|9ASPD
97	55321 61211	   	183.79	DCR|2VULN|1AART|1DMG|1CDMG	1RCVC|2RPLT|3LWND|4AART|5aVULN|6RCR|7CDMG|8DUST|9DMG
98	55321 61221	   	183.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RCVC|2RPLT|3LWND|4AART|5aVULN|6RCR|7CDMG|8DUST|9ASPD
99	33152 23242	   	183.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2BELT|3CGEN|4DMG|5AART|6CDMG|7ASPD|8DUR|9VULN|aRCR
100	24121 61211	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AME|3AART|4ERES|5aVULN|6RCR|7CDMG|8DUST|9DMG
101	24121 61221	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AME|3AART|4ERES|5aVULN|6RCR|7CDMG|8DUST|9ASPD
102	26662 21311	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2AART|3aVULN|4MBVNT|5ERES|6RCR|7CGEN|8CDMG|9DMG
103	26662 21321	   	183.69	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2AART|3aVULN|4MBVNT|5ERES|6RCR|7CGEN|8CDMG|9ASPD
104	36111 21563	   	183.69	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LEGI|2VULN|3TLV|4aAART|5DUR|6AME|7CDMG|8RCR|9ASPD
105	22116 21536	 * 	183.60	DCR|2VULN|1AART|1ASPD|1NUKE	1RPLT|2RMIN|3DUST|4BELT|5ASPD|67VULN|8RCR|9AART|aNUKE
106	26662 22311	 * 	183.59	DCR|2VULN|1AART|1DMG|1NUKE|1CDMG	1RPLT|2AART|3aVULN|4MBVNT|5ERES|6RCR|7NUKE|8CDMG|9DMG
107	26662 22321	 * 	183.59	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG	1RPLT|2AART|3aVULN|4MBVNT|5ERES|6RCR|7NUKE|8CDMG|9ASPD
108	25221 61114	   	183.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|23FEWX|4AART|5VULN|6RCR|7CDMG|8MLV|9ASPD|aDMG
109	26331 61114	   	183.57	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|2AART|3DMSP|4LHND|5VULN|6RCR|7CDMG|8MLV|9ASPD|aDMG
110	24121 61114	   	183.47	DCR|1AART|1VULN|1DMG|1ASPD|1CDMG	1RPLT|2AME|3AART|4ERES|5VULN|6RCR|7CDMG|8MLV|9ASPD|aDMG
111	36111 24241	 * 	183.39	DCR|1SPLARM|2VULN|1AART|1DMG|1DUR	1LEGI|2aVULN|3TLV|4AART|5DUR|6AME|7RCR|8DMG|9SPLARM
112	33152 24252	 * 	183.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1LEGI|2BELT|3CGEN|47DMG|5AART|6CDMG|8DUR|9RCR|aVULN
113	36323 51431	   	183.27	DCR|3VULN|1AART|1ASPD	1LEGI|268VULN|3DMSP|4CGEN|5ERES|7RCR|9ASPD|aAART
114	16123 36351	   	183.20	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1DUST|2DUR|3TLV|4CDMG|56DMG|7AART|8FEWX|9RCR|aVULN
115	13323 32465	 * 	182.61	DCR|2DMG|1VULN|1AART|1ASPD|1AAC	1DUST|2AAC|3TLV|4CGEN|58DMG|6VULN|7RCR|9AART|aASPD
116	26361 21213	 * 	182.36	DCR|2VULN|2ASPD|1AART|1DUR	1RPLT|2AART|3DMSP|47CGEN|57VULN|67ASPD|7BPWR|8LIT|9DUR|aRCR
117	53151 15332	 * 	181.96	DCR|3VULN|1ASPD|1DMG|1AAC|1DUR	1RCVC|245VULN|3AAC|5BPWR|6ASPD|7DMG|8LIT|9DUR|aRCR
118	53151 21512	   	181.96	DCR|3VULN|1ASPD|1DMG|1AAC|1DUR	1RCVC|245VULN|3AAC|5BPWR|6DUR|7ASPD|8DMG|9LIT|aRCR
119	33237 53372	   	181.86	DCR|2VULN|2ASPD|1AART	1LEGI|2BELT|3aFEWX|4MBVNT|5aVULN|6RCR|7DMSP|8aASPD|9AART|aBPWR
120	33237 54372	   	181.86	DCR|2VULN|2ASPD|1AART	1LEGI|2BELT|37aFEWX|4MBVNT|5aVULN|6RCR|8aASPD|9AART|aBPWR
121	53314 42212	 * 	181.85	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	1RCVC|2VULN|3DUR|4LHND|5DMG|6AART|79ASPD|8FEWX|aRCR
122	22531 15211	   	181.79	DCR|2VULN|1AART|1DMG|1CDMG	1RPLT|2RMIN|3LWND|4aVULN|5CDMG|6ERES|7RCR|8AART|9DMG
123	22531 15221	   	181.79	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2RMIN|3LWND|4aVULN|5CDMG|6ERES|7RCR|8AART|9ASPD
124	16623 42212	 * 	181.73	DCR|1MDPS|1VULN|1AART|1DMG|1NUKE|1DUR	1DUST|2DUR|3AART|4VULN|57FEWX|6RCR|8DMG|9NUKE|aMDPS
125	36116 33111	   	181.71	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|2VULN|3TLV|49AART|5ZMB|6ASPD|7CDMG|8LHND|aRCR
126	26331 61316	   	181.66	DCR|3VULN|1AART|1CDMG	1RPLT|2AART|38DMSP|4LHND|59aVULN|6RCR|7CDMG
127	26331 61412	   	181.66	DCR|3VULN|1AART|1CDMG	1RPLT|2AART|3DMSP|4LHND|589VULN|6RCR|7CDMG|aRCVC
128	26331 61413	   	181.66	DCR|3VULN|1AART|1CDMG	1RPLT|2AART|3DMSP|4LHND|589VULN|6RCR|7CDMG|aLWND
129	36116 33411	   	181.61	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|2VULN|3TLV|49AART|5ZMB|6ASPD|7CDMG|8DUST|aRCR
130	24121 61412	   	181.56	DCR|3VULN|1AART|1CDMG	1RPLT|2AME|3AART|4ERES|589VULN|6RCR|7CDMG|aRCVC
131	24121 61413	   	181.56	DCR|3VULN|1AART|1CDMG	1RPLT|2AME|3AART|4ERES|589VULN|6RCR|7CDMG|aLHND
132	26121 61412	   	181.56	DCR|3VULN|1AART|1CDMG	1RPLT|2AART|3MLV|4ERES|589VULN|6RCR|7CDMG|aRCVC
133	26121 61413	   	181.56	DCR|3VULN|1AART|1CDMG	1RPLT|2AART|3MLV|4ERES|589VULN|6RCR|7CDMG|aLHND
134	43251 43222	 * 	181.45	DCR|1VULN|1ASPD|1DMG|1CDMG|2ZMB|1DUR	1BASFIG|2DUR|3ASPD|4VULN|5DUST|6RCR|7CDMG|8aZMB|9DMG
135	36111 24613	 * 	181.38	DCR|2VULN|1AART|1ASPD|1AAC|2DUR	1LEGI|28VULN|3TLV|4AART|58DUR|68AME|7RCR|8BPWR|9ASPD|aAAC
136	26331 62322	   	181.36	DCR|4VULN|1AART	1RPLT|2AART|3DMSP|48LHND|589aVULN|6RCR|7BELT|8BPWR
137	55321 62322	   	181.36	DCR|4VULN|1AART	1RCVC|2RPLT|38LWND|4AART|589aVULN|6RCR|7BELT|8BPWR
138	26331 62122	   	181.26	DCR|4VULN|1AART	1RPLT|2AART|3DMSP|4LHND|589aVULN|6RCR|7BELT
139	55321 62122	   	181.26	DCR|4VULN|1AART	1RCVC|2RPLT|3LWND|4AART|589aVULN|6RCR|7BELT
140	26121 62122	   	181.16	DCR|4VULN|1AART	1RPLT|2AART|3MLV|4ERES|589aVULN|6RCR|7BELT
141	16621 41311	 * 	180.99	DCR|2VULN|1AART|1DMG|2DUR	1DUST|28DUR|3AART|4aVULN|5LWND|6RCR|7ERES|9DMG
142	16621 41321	   	180.99	DCR|2VULN|1AART|1ASPD|2DUR	1DUST|28DUR|3AART|4aVULN|5LWND|6RCR|7ERES|9ASPD
143	16623 41311	   	180.99	DCR|2VULN|1AART|1DMG|2DUR	1DUST|28DUR|3AART|4aVULN|5FEWX|6RCR|7ERES|9DMG
144	16623 41321	   	180.99	DCR|2VULN|1AART|1ASPD|2DUR	1DUST|28DUR|3AART|4aVULN|5FEWX|6RCR|7ERES|9ASPD
145	36112 65313	 * 	180.96	DCR|3AART|2VULN|1CDMG	1LEGI|2aVULN|3TLV|479AART|5LWND|6CDMG|8RCR
146	36131 65313	   	180.96	DCR|3AART|2VULN|1CDMG	1LEGI|2aVULN|3TLV|4LWND|5CDMG|679AART|8RCR
147	16622 41311	   	180.89	DCR|2VULN|1AART|1DMG|2DUR	1DUST|28DUR|3AART|4aVULN|5LEGI|6RCR|7ERES|9DMG
148	16622 41321	   	180.89	DCR|2VULN|1AART|1ASPD|2DUR	1DUST|28DUR|3AART|4aVULN|5LEGI|6RCR|7ERES|9ASPD
149	26331 65211	 * 	180.19	DCR|2VULN|2AART|1MDPS|1ZMB	1RPLT|29AART|3DMSP|4LHND|58VULN|6RCR|7ZMB|aMDPS
150	24121 65211	   	180.09	DCR|2VULN|2AART|1MDPS|1ZMB	1RPLT|2AME|39AART|4ERES|58VULN|6RCR|7ZMB|aMDPS
151	26121 65211	   	180.09	DCR|2VULN|2AART|1MDPS|1ZMB	1RPLT|29AART|3MLV|4ERES|58VULN|6RCR|7ZMB|aMDPS
152	26511 21431	   	179.96	DCR|2VULN|2AART|1CDMG|1DUR|1SELL	1RPLT|25AART|3CDMG|4DUR|68VULN|7LWND|9SELL|aRCR
153	22616 21532	   	179.89	DCR|2VULN|1AART|1ASPD|1CDMG	1RPLT|2RMIN|3BEXP|4BELT|5ASPD|67VULN|8RCR|9AART|aCDMG
154	33213 21545	   	179.79	DCR|2VULN|1AART|1ASPD|1CDMG	1LEGI|2BELT|3FEWX|4BEXP|5CDMG|67VULN|8RCR|9AART|aASPD
155	33213 21546	   	179.79	DCR|2VULN|1AART|1NUKE|1CDMG	1LEGI|2BELT|3FEWX|4BEXP|5CDMG|67VULN|8RCR|9AART|aNUKE
156	16621 34212	   	179.73	DCR|1MDPS|1VULN|1AART|1DMG|1NUKE|1DUR	1DUST|2DUR|3AART|4VULN|56LWND|7RCR|8DMG|9NUKE|aMDPS
157	16623 24212	   	179.73	DCR|1MDPS|1VULN|1AART|1DMG|1NUKE|1DUR	1DUST|2DUR|3AART|4VULN|56FEWX|7RCR|8DMG|9NUKE|aMDPS
158	33313 21545	   	179.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LEGI|2BELT|3DUST|4BEXP|5CDMG|67VULN|8RCR|9AART|aASPD
159	33313 21546	   	179.69	DCR|2VULN|1AART|1NUKE|1CDMG	1LEGI|2BELT|3DUST|4BEXP|5CDMG|67VULN|8RCR|9AART|aNUKE
160	36114 33321	   	179.69	DCR|2VULN|1AART|1ASPD|1CDMG	1LEGI|2aVULN|3TLV|4AART|5AME|6ASPD|7CDMG|8RCR|9RPLT
161	43251 31153	   	179.66	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1BASFIG|2DUR|3ASPD|4VULN|5DUST|6DLOT|7ZMB|8AART|9RCR|aDMG
162	23131 62541	   	179.66	DCR|3VULN|1AART|1CDMG	1RPLT|2LHND|3CGEN|46aVULN|5CDMG|7RCR|8FEWX|9AART
163	13135 24212	 * 	179.63	DCR|1MDPS|1AART|1VULN|1DMG|1NUKE|1AAC|1DUR	1DUST|2AAC|3CGEN|4AART|5DUR|6VULN|7RCR|8DMG|9NUKE|aMDPS
