0	Index      	 *	Score 	Summary	Detail	
1	43312 42511	 * 	238.58	DCR|3VULN|2AART|1MDPS|2CDMG|1ZMB	1ZMB|25CDMG|359VULN|48AART|5BPWR|6RCR|7RMIN|aMDPS
20	54217 61134	 * 	223.85	DCR|3VULN|1AART|2CDMG|1ASPD|3DUR	1MBVNT|29aVULN|3AART|4ASPD|57aDUR|6aCDMG|8RCR|aBPWR
21	22323 46434	 * 	223.30	DCR|3VULN|2AART|2DMG	1RCVC|24AART|39aVULN|5aDMG|6RCR|7RPLT|8MBVNT|aBPWR
22	22323 42442	   	223.02	DCR|2VULN|2AART|1ASPD|1DMG|1AAC|1DUR	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8DUR|aAAC
23	43312 22263	 * 	222.88	DCR|2VULN|2AART|3CDMG|1DMG|1ZMB	1ZMB|259CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|aDMG
24	53213 28134	   	222.84	DCR|3VULN|2DMG|1AART|2CDMG	1MBVNT|2aCDMG|3AART|45LHND|69aVULN|7aDMG|8RCR|aBPWR
25	62323 42243	   	222.60	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1DMSP|24AART|39VULN|5DMG|6RCR|7ASPD|8LHND|aMDPS
26	62323 42343	   	222.50	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1DMSP|24AART|39VULN|5DMG|6RCR|7ASPD|8DUST|aMDPS
27	22323 45111	 * 	222.26	DCR|3DMG|2VULN|2AART	18RCVC|24AART|3aVULN|579DMG|6RCR
28	54623 48134	   	222.15	DCR|3VULN|2DMG|1AART|1CDMG	1MBVNT|29aVULN|3CDMG|4aERES|5RMIN|6AART|7aDMG|8RCR|aBPWR
29	54213 64448	 * 	221.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|289VULN|3AART|4ASPD|5MULARM|6RCR|7CDMG|aDMG
30	22323 44363	   	221.12	DCR|3DMG|2VULN|2AART	1RCVC|24AART|37VULN|59aDMG|6RCR|8LIT
31	22323 45211	   	221.12	DCR|3DMG|2VULN|2AART	1RCVC|24AART|3aVULN|579DMG|6RCR|8AELBLL
32	54218 63134	 * 	221.10	DCR|4VULN|1AART|2CDMG|1ASPD	1MBVNT|279aVULN|3AART|4ASPD|5aBEXP|6aCDMG|8RCR|aBPWR
33	54414 23311	   	220.80	DCR|3VULN|1AART|2CDMG|1ASPD|2DUR	1MBVNT|289VULN|38DUR|48CDMG|5RPLT|6AART|7RCR|8BPWR|aASPD
34	54614 23311	   	220.80	DCR|3VULN|1AART|2CDMG|1ASPD|2DUR	1MBVNT|289VULN|38CDMG|48DUR|5RPLT|6AART|7RCR|8BPWR|aASPD
35	22323 42451	   	220.41	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8DUR|9RMIN
36	54213 64418	   	219.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1MBVNT|28VULN|39AART|4ASPD|5MULARM|6RCR|7CDMG|aDMG
37	43312 22153	   	219.81	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|25CDMG|35VULN|4AART|5BPWR|6LIT|7RCR|8DMSP|9DMG|aASPD
38	43312 42513	   	219.66	DCR|3VULN|2AART|2CDMG|1ZMB	1ZMB|25CDMG|359VULN|48AART|5BPWR|6RCR|7RMIN|aDLOT
39	43312 42531	   	219.66	DCR|3VULN|2AART|2CDMG|1ZMB	1ZMB|25CDMG|35aVULN|48AART|5BPWR|6RCR|7RMIN|9TLV
40	43312 41335	   	219.58	DCR|3VULN|1AART|2CDMG|1ASPD|1ZMB	1ZMB|25CDMG|359VULN|4AART|5BPWR|6RCR|7FEWX|8LHND|aASPD
41	54222 64448	   	219.21	DCR|3VULN|2DMG|1AART|1CDMG	1MBVNT|289VULN|3AART|4MULARM|5aDMG|6RCR|7CDMG
42	43312 22222	   	219.04	DCR|2VULN|2AART|2CDMG|1ASPD|2ZMB	1aZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9ASPD
43	43312 22252	   	219.04	DCR|2VULN|2AART|2CDMG|1DMG|2ZMB	1aZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9DMG
44	35133 25153	 * 	218.68	DCR|4VULN|2ASPD|1AART	1RPLT|249aVULN|39ASPD|5RMIN|69MLV|7AART|8RCR|9BPWR
45	53231 28162	 * 	218.24	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|2ZMB	1MBVNT|29CDMG|3AART|49ZMB|5CGEN|6VULN|79DMG|8RCR|9BPWR|aASPD
46	62323 45111	   	218.13	DCR|3DMG|2VULN|2AART	1DMSP|24AART|3aVULN|579DMG|6RCR|8RCVC
47	13621 42221	   	218.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1aVULN|2LIT|38AART|4DMSP|5DMG|6CDMG|7RCR|9ASPD
48	13643 12221	   	218.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1aVULN|2LIT|38AART|4DMG|5CDMG|6AELBLL|7RCR|9ASPD
49	13643 62221	   	218.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1aVULN|26LIT|38AART|4DMG|5CDMG|7RCR|9ASPD
50	54213 64413	   	217.70	DCR|3VULN|2AART|1ASPD|1CDMG	1MBVNT|28aVULN|39AART|4ASPD|5MULARM|6RCR|7CDMG
51	54216 64413	   	217.70	DCR|3VULN|2AART|1ASPD|1CDMG	1MBVNT|28aVULN|39AART|4ASPD|5SNIFST|6RCR|7CDMG
52	54222 64413	   	217.70	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|28aVULN|39AART|4MULARM|5DMG|6RCR|7CDMG
53	54252 64413	   	217.60	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|28aVULN|39AART|4TSLFST|5DMG|6RCR|7CDMG
54	54282 64413	   	217.60	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|28aVULN|39AART|4CANARM|5DMG|6RCR|7CDMG
55	43312 22121	   	217.58	DCR|3VULN|1AART|2CDMG|1ASPD|1ZMB	1ZMB|25CDMG|35aVULN|4AART|5BPWR|6LIT|7RCR|8DMSP|9ASPD
56	43312 22151	   	217.58	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|25CDMG|35aVULN|4AART|5BPWR|6LIT|7RCR|8DMSP|9DMG
57	54213 64443	   	217.47	DCR|4VULN|1AART|1ASPD|1CDMG	1MBVNT|289aVULN|3AART|4ASPD|5MULARM|6RCR|7CDMG
58	54216 64443	   	217.47	DCR|4VULN|1AART|1ASPD|1CDMG	1MBVNT|289aVULN|3AART|4ASPD|5SNIFST|6RCR|7CDMG
59	54222 64443	 * 	217.47	DCR|4VULN|1AART|1DMG|1CDMG	1MBVNT|289aVULN|3AART|4MULARM|5DMG|6RCR|7CDMG
60	54222 64418	 * 	217.45	DCR|2VULN|2AART|2DMG|1CDMG	1MBVNT|28VULN|39AART|4MULARM|5aDMG|6RCR|7CDMG
61	54252 64443	   	217.37	DCR|4VULN|1AART|1DMG|1CDMG	1MBVNT|289aVULN|3AART|4TSLFST|5DMG|6RCR|7CDMG
62	54282 64443	   	217.37	DCR|4VULN|1AART|1DMG|1CDMG	1MBVNT|289aVULN|3AART|4CANARM|5DMG|6RCR|7CDMG
63	62323 45211	   	216.96	DCR|3DMG|2VULN|2AART	1DMSP|24AART|3aVULN|579DMG|6RCR|8AELBLL
64	54414 22841	   	216.80	DCR|3VULN|1AART|2CDMG|1ASPD|2DUR	1MBVNT|278VULN|37DUR|47CDMG|5RPLT|6AART|7BPWR|9RCR|aASPD
65	54614 22841	   	216.80	DCR|3VULN|1AART|2CDMG|1ASPD|2DUR	1MBVNT|278VULN|37CDMG|47DUR|5RPLT|6AART|7BPWR|9RCR|aASPD
66	22323 42421	 * 	216.75	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|24AART|3VULN|5DMG|6RCR|7ASPD|8DUR|9CDMG|aMDPS
67	53254 54434	   	216.73	DCR|3VULN|3CDMG|1AART|2DUR	1MBVNT|25aCDMG|3AART|4RMIN|6RCR|7aDUR|89aVULN|aBPWR
68	54414 23317	   	216.58	DCR|4VULN|1AART|2CDMG|2DUR	1MBVNT|289aVULN|38DUR|48CDMG|5RPLT|6AART|7RCR|8BPWR
69	54614 23317	   	216.58	DCR|4VULN|1AART|2CDMG|2DUR	1MBVNT|289aVULN|38CDMG|48DUR|5RPLT|6AART|7RCR|8BPWR
70	43312 42111	   	216.26	DCR|3VULN|1MDPS|1AART|2CDMG|2ZMB	18ZMB|25CDMG|359VULN|4AART|5BPWR|6RCR|7RMIN|aMDPS
71	22223 42441	   	216.25	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1RCVC|24AART|3LWND|5DMG|6RCR|7ASPD|8DUR|9aVULN
72	22323 42211	   	216.25	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8LHND|9DUR
73	22323 42431	   	216.25	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8DUR|9LIT
74	22323 42441	   	216.25	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8DUR|aLWND
75	43312 22224	   	215.83	DCR|2VULN|2AART|2CDMG|1ASPD|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6aLIT|7RCR|9ASPD
76	43312 22225	   	215.83	DCR|2VULN|2AART|2CDMG|1ASPD|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9ASPD|aLWND
77	43312 22254	   	215.83	DCR|2VULN|2AART|2CDMG|1DMG|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6aLIT|7RCR|9DMG
78	43312 22255	   	215.83	DCR|2VULN|2AART|2CDMG|1DMG|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9DMG|aLWND
79	43312 22211	   	215.73	DCR|2VULN|2AART|2CDMG|1ASPD|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9DUST|aASPD
80	43312 22216	 * 	215.73	DCR|2VULN|2AART|2CDMG|1NUKE|1ZMB	1ZMB|25CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|9DUST|aNUKE
81	43312 41333	   	215.37	DCR|4VULN|1AART|2CDMG|1ZMB	1ZMB|25CDMG|359aVULN|4AART|5BPWR|6RCR|7FEWX|8LHND
82	43312 44333	   	215.37	DCR|4VULN|1AART|2CDMG|1ZMB	1ZMB|25CDMG|359aVULN|4AART|5BPWR|6RCR|7BEXP|8LHND
83	43312 46333	   	215.37	DCR|4VULN|1AART|2CDMG|1ZMB	1ZMB|25CDMG|359aVULN|4AART|5BPWR|6RCR|7LWND|8LHND
84	43312 42112	   	215.21	DCR|3VULN|1AART|2CDMG|2ZMB|1DUR	18ZMB|25CDMG|359VULN|4AART|5BPWR|6RCR|7RMIN|aDUR
85	53227 28134	   	215.14	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1MBVNT|2aCDMG|3AART|4aERES|5ZMB|69VULN|7aDMG|8RCR|aBPWR
86	22323 42242	   	214.72	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8LHND|aAAC
87	22323 42642	   	214.72	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8FEWX|aAAC
88	22323 42342	   	214.62	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1RCVC|24AART|39VULN|5DMG|6RCR|7ASPD|8DUST|aAAC
89	43312 42311	   	214.23	DCR|3VULN|1MDPS|1AART|2CDMG|1ZMB	1ZMB|25CDMG|359VULN|4AART|5BPWR|6RCR|7RMIN|8RCVC|aMDPS
90	53231 78432	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2CDMG|3AART|4ZMB|5CGEN|6RCR|7DMG|89VULN|aASPD
91	54113 56134	   	214.12	DCR|3VULN|1AART|2CDMG|3DUR|1ZMB	1MBVNT|29aVULN|3ZMB|45aDUR|6aCDMG|7AART|8RCR|aBPWR
92	43312 22123	   	213.97	DCR|2VULN|2ASPD|1AART|2CDMG|1ZMB	1ZMB|25CDMG|35VULN|4AART|5BPWR|6LIT|7RCR|8DMSP|9aASPD
93	43312 22231	   	213.59	DCR|3VULN|2AART|2CDMG|1ZMB	1ZMB|25CDMG|35aVULN|48AART|5BPWR|6LIT|7RCR|9CGEN
94	54218 63133	   	213.47	DCR|4VULN|1AART|1ASPD|1CDMG	1MBVNT|279aVULN|3AART|4ASPD|5BEXP|6CDMG|8RCR
95	54213 66443	   	213.34	DCR|3VULN|2ASPD|1AART|2ZMB	1MBVNT|29aVULN|3AART|49ASPD|5MULARM|6RCR|7LHND|89ZMB|9BPWR
96	54213 68443	   	213.34	DCR|3VULN|2ASPD|1AART|2ZMB	1MBVNT|29aVULN|3AART|49ASPD|5MULARM|6RCR|7BEXP|89ZMB|9BPWR
97	43312 22563	   	213.30	DCR|2VULN|1AART|2CDMG|1DMG|2DUR|1ZMB	1ZMB|25CDMG|35VULN|4AART|5BPWR|6LIT|7RCR|8aDUR|9DMG
98	43312 42312	   	213.17	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	1ZMB|25CDMG|359VULN|4AART|5BPWR|6RCR|7RMIN|8RCVC|aDUR
99	54414 23466	   	213.13	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|2aVULN|3aDUR|4CDMG|5RPLT|6AART|7RCR|8BEXP|9aDMG|aBPWR
100	54433 22814	   	212.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	1MBVNT|27VULN|3aDUR|47LWND|57DMG|6AART|7BPWR|8ASPD|9RCR
101	22223 42521	 * 	212.88	DCR|3ASPD|2AART|2DMG	1RCVC|24AART|3aLWND|5aDMG|6RCR|79aASPD|8RMIN|aBPWR
102	51543 22833	   	212.87	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|27DUR|3BEXP|478VULN|57DMG|6AART|7BPWR|9RMIN|aRCR
103	51543 24433	   	212.87	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|28DUR|3BEXP|478VULN|58DMG|6AART|8BPWR|9RMIN|aRCR
104	51343 22833	   	212.77	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|27DUR|3DUST|478VULN|57DMG|6AART|7BPWR|9RMIN|aRCR
105	51343 24433	   	212.77	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|28DUR|3DUST|478VULN|58DMG|6AART|8BPWR|9RMIN|aRCR
106	54247 52441	 * 	212.67	DCR|3ASPD|2VULN|1AART|2DUR|1AAC|1ZMB	1MBVNT|28VULN|3AART|4ZMB|58DUR|68aASPD|7AAC|8BPWR|9RCR
107	54414 22847	   	212.58	DCR|4VULN|1AART|2CDMG|2DUR	1MBVNT|278aVULN|37DUR|47CDMG|5RPLT|6AART|7BPWR|9RCR
108	62323 42421	   	212.58	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMSP|24AART|3VULN|5DMG|6RCR|7ASPD|8DUR|9CDMG|aMDPS
109	22323 42422	   	212.43	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1aRCVC|24AART|3VULN|5DMG|6RCR|7ASPD|8DUR|9CDMG
110	22323 45116	   	212.21	DCR|3DMG|2AART|1VULN|1ZMB	18RCVC|24AART|3VULN|579DMG|6RCR|aZMB
111	22323 42424	   	212.12	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|24AART|3VULN|5DMG|6RCR|7ASPD|8DUR|9CDMG|aLWND
112	22323 42622	   	212.12	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|24AART|3VULN|5DMG|6RCR|7ASPD|8FEWX|9CDMG|aDUR
113	22323 42251	   	212.11	DCR|2VULN|2AART|1ASPD|1DMG	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8LHND|9RMIN
114	22323 42541	   	212.11	DCR|2VULN|2AART|1ASPD|1DMG	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8RMIN|9FEWX
115	22323 42651	   	212.11	DCR|2VULN|2AART|1ASPD|1DMG	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8FEWX|9RMIN
116	62323 42211	   	212.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DMSP|24AART|3aVULN|5DMG|6RCR|7ASPD|8LHND|9DUR
117	62323 42431	   	212.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1DMSP|24AART|3aVULN|5DMG|6RCR|7ASPD|8DUR|9LIT
118	53271 38134	   	212.06	DCR|2VULN|2DMG|3CDMG|1AART	1MBVNT|24aCDMG|3AART|59VULN|6aLHND|7aDMG|8RCR|aBPWR
119	22323 42322	   	212.02	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|24AART|3VULN|5DMG|6RCR|7ASPD|8DUST|9CDMG|aDUR
120	22323 42426	   	212.02	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RCVC|24AART|3VULN|5DMG|6RCR|7ASPD|8DUR|9CDMG|aMBVNT
121	22323 42351	   	212.01	DCR|2VULN|2AART|1ASPD|1DMG	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8DUST|9RMIN
122	22323 42511	   	212.01	DCR|2VULN|2AART|1ASPD|1DMG	1RCVC|24AART|3aVULN|5DMG|6RCR|7ASPD|8RMIN|9DUST
123	54213 64444	   	211.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|289VULN|3AART|4ASPD|5MULARM|6RCR|7CDMG|aZMB
124	54216 64444	   	211.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|289VULN|3AART|4ASPD|5SNIFST|6RCR|7CDMG|aZMB
125	54222 64444	   	211.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|289VULN|3AART|4MULARM|5DMG|6RCR|7CDMG|aZMB
126	54243 64448	   	211.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|289VULN|3AART|4ZMB|5MULARM|6RCR|7CDMG|aDMG
127	54252 64444	   	211.85	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|289VULN|3AART|4TSLFST|5DMG|6RCR|7CDMG|aZMB
128	54282 64444	   	211.85	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|289VULN|3AART|4CANARM|5DMG|6RCR|7CDMG|aZMB
129	13643 26221	   	211.80	DCR|3VULN|2AART|1DMG|1CDMG	17aVULN|2LIT|38AART|4DMG|5CDMG|6RPLT|9RCR
130	35131 15133	 * 	211.58	DCR|5VULN|1AART|1ASPD	1RPLT|2469aVULN|3ASPD|5BEXP|7AART|8RCR
131	35131 15135	   	211.54	DCR|4VULN|2ASPD|1AART	1RPLT|2469VULN|3aASPD|5BEXP|7AART|8RCR
132	22336 46133	   	211.53	DCR|3VULN|2DMG|1AART|1DUR	1RCVC|2AART|39aVULN|46DMG|5DUR|7RPLT|8RCR
133	53235 83134	   	211.37	DCR|4VULN|1AART|2CDMG|1ZMB	1MBVNT|2aCDMG|3AART|4ZMB|5aBEXP|679aVULN|8RCR|aBPWR
134	53238 83134	   	211.37	DCR|4VULN|1AART|2CDMG|1ZMB	1MBVNT|2aCDMG|3AART|4ZMB|5aLHND|679aVULN|8RCR|aBPWR
135	43312 42521	   	211.19	DCR|2VULN|2AART|1MDPS|2CDMG|1ZMB|1MSE	1ZMB|25CDMG|35VULN|48AART|5BPWR|6RCR|7RMIN|9MSE|aMDPS
136	54217 61133	   	211.17	DCR|3VULN|1AART|1ASPD|1CDMG|2DUR	1MBVNT|29aVULN|3AART|4ASPD|57DUR|6CDMG|8RCR
137	43312 22265	   	211.12	DCR|2VULN|2AART|3CDMG|1ZMB|1DUR	1ZMB|259CDMG|35VULN|48AART|5BPWR|6LIT|7RCR|aDUR
138	51543 27433	   	211.12	DCR|2VULN|2AART|2DMG|2DUR	1MBVNT|28DUR|3BEXP|48VULN|58DMG|67AART|8BPWR|9RMIN|aRCR
139	22323 45216	   	211.07	DCR|3DMG|2AART|1VULN|1ZMB	1RCVC|24AART|3VULN|579DMG|6RCR|8AELBLL|aZMB
140	54414 23313	   	211.07	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	1MBVNT|289VULN|38DUR|48CDMG|5RPLT|6AART|7RCR|8BPWR|aZMB
141	54614 23313	   	211.07	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	1MBVNT|289VULN|38CDMG|48DUR|5RPLT|6AART|7RCR|8BPWR|aZMB
142	51343 27433	   	211.02	DCR|2VULN|2AART|2DMG|2DUR	1MBVNT|28DUR|3DUST|48VULN|58DMG|67AART|8BPWR|9RMIN|aRCR
143	62323 42242	   	210.55	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1DMSP|24AART|39VULN|5DMG|6RCR|7ASPD|8LHND|aAAC
144	62323 42342	   	210.45	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1DMSP|24AART|39VULN|5DMG|6RCR|7ASPD|8DUST|aAAC
145	54213 64414	   	210.20	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1MBVNT|28VULN|39AART|4ASPD|5MULARM|6RCR|7CDMG|aZMB
146	54216 64414	   	210.20	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1MBVNT|28VULN|39AART|4ASPD|5SNIFST|6RCR|7CDMG|aZMB
147	54222 64414	   	210.20	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1MBVNT|28VULN|39AART|4MULARM|5DMG|6RCR|7CDMG|aZMB
148	54243 64418	   	210.20	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1MBVNT|28VULN|39AART|4ZMB|5MULARM|6RCR|7CDMG|aDMG
149	53231 28132	   	210.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2CDMG|3AART|4ZMB|5CGEN|69VULN|7DMG|8RCR|aASPD
150	53247 28132	   	210.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MBVNT|2CDMG|3AART|4CGEN|5ZMB|69VULN|7DMG|8RCR|aASPD
151	54252 64414	   	210.10	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1MBVNT|28VULN|39AART|4TSLFST|5DMG|6RCR|7CDMG|aZMB
152	54282 64414	   	210.10	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1MBVNT|28VULN|39AART|4CANARM|5DMG|6RCR|7CDMG|aZMB
153	22323 42216	 * 	210.09	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1RCVC|24AART|3VULN|5DMG|6RCR|7aASPD|8LHND|9DUR
154	12314 61131	 * 	209.76	DCR|5VULN|1AART|1CDMG|1AAC	1356aVULN|2AAC|46BEXP|6BPWR|7RCR|8AART|9CDMG
155	22331 61653	   	209.76	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1RCVC|2AART|38VULN|48DMG|5LWND|6DUR|78DUST|8BPWR|9ASPD|aRCR
156	22336 42243	   	209.76	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1RCVC|2AART|39VULN|46DMG|5DUR|7ASPD|8LHND|aRCR
157	53253 54434	   	209.68	DCR|3VULN|1AART|2CDMG|2DUR	1MBVNT|2aCDMG|3AART|4RMIN|5AELBLL|6RCR|7aDUR|89aVULN|aBPWR
158	12314 21131	   	209.66	DCR|5VULN|1AART|1CDMG|1AAC	1356aVULN|2AAC|4BEXP|7RCR|8AART|9CDMG
159	22336 42343	   	209.66	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1RCVC|2AART|39VULN|46DMG|5DUR|7ASPD|8DUST|aRCR
160	12314 61122	   	209.65	DCR|4VULN|1AART|1ASPD|1AAC|1ZMB	1356VULN|2AAC|46BEXP|6BPWR|7RCR|8AART|9ASPD|aZMB
