0	Index      	 *	Score 	Summary	Detail	
1	13523 11141	 * 	285.44	DCR|DCR|2VULN|2TLV	1aERES|2CGEN|3aVULN|4DUST|5RCVC|69RCR|7ZMB|8aTLV|aBPWR
16	22226 21641	   	257.61	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1BASARM|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7RCR|8RCVC|9MLV|aDMG
17	22226 26411	   	257.61	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1BASARM|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7DMG|8MLV|9RCR|aCGEN
18	22226 26413	   	257.61	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1BASARM|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7DMG|8MLV|9RCR|aLWND
19	32226 21641	   	257.61	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1TSLFST|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7RCR|8RCVC|9MLV|aDMG
20	32226 26411	   	257.61	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1TSLFST|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7DMG|8MLV|9RCR|aCGEN
21	32226 26413	   	257.61	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1TSLFST|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7DMG|8MLV|9RCR|aLWND
22	52226 31141	   	257.61	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1MGNSTR|2MDPS|3BBNT|48TLV|56LIT|7RCR|9MLV|aDMG
23	22226 31141	   	257.51	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1BASARM|2MDPS|3BBNT|48TLV|56LIT|7RCR|9MLV|aDMG
24	32226 31141	   	257.51	DCR|2TLV|2LIT|1MLV|1DMG|1BBNT	1TSLFST|2MDPS|3BBNT|48TLV|56LIT|7RCR|9MLV|aDMG
25	63232 24443	 * 	257.15	DCR|DCR|1TLV|1MLV|1DMG|1BBNT	1TBNT|2MLV|3ERES|4DMG|5BBNT|6TLV|7MBVNT|8aRCR|9LHND
26	63432 24443	   	257.15	DCR|DCR|1TLV|1MLV|1DMG|1BBNT	1TBNT|2MLV|3AME|4DMG|5BBNT|6TLV|7MBVNT|8aRCR|9LHND
27	63232 24473	   	257.05	DCR|DCR|1TLV|1MLV|1DMG|1BBNT	1TBNT|2MLV|3ERES|4DMG|5BBNT|6TLV|7MBVNT|8aRCR|9DUST
28	43211 61261	   	256.92	DCR|DCR|1TLV|1DMG|1CDMG	1CDMG|2DMG|3AART|4AME|5AAC|6TLV|7RPLT|8CGEN|9aRCR
29	22226 23416	   	256.75	DCR|2TLV|2LIT|1MLV|1ASPD|1BBNT	1BASARM|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7ASPD|8MLV|9RCR|aTBNT
30	32226 23416	   	256.75	DCR|2TLV|2LIT|1MLV|1ASPD|1BBNT	1TSLFST|2MDPS|3BBNT|46TLV|56LIT|6BPWR|7ASPD|8MLV|9RCR|aTBNT
31	52226 41112	   	256.51	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1BBNT	1MGNSTR|2MDPS|3BBNT|4TLV|5LIT|6aVULN|7RCR|8CDMG|9DMG
32	22226 41112	   	256.41	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1BBNT	1BASARM|2MDPS|3BBNT|4TLV|5LIT|6aVULN|7RCR|8CDMG|9DMG
33	32226 41112	   	256.41	DCR|2VULN|1TLV|1LIT|1DMG|1CDMG|1BBNT	1TSLFST|2MDPS|3BBNT|4TLV|5LIT|6aVULN|7RCR|8CDMG|9DMG
