0	Index      	 *	Score 	Summary	Detail	
1	63521 52112	 * 	237.11	ACR|3VULN|3DMG|2ASPD|1AART|1DUR	157DMG|2RCR|35ASPD|4AART|5BPWR|6DUR|89aVULN
21	16312 61214	   	220.33	DCR|4VULN|2ASPD|1DMG|1DUR	1279VULN|39LIT|4DUR|5LHND|6RCR|89ASPD|9BPWR|aDMG
22	16313 61214	   	220.23	DCR|4VULN|2ASPD|1DMG|1DUR	1279VULN|39LIT|4DUR|5DUST|6RCR|89ASPD|9BPWR|aDMG
23	44126 21313	 * 	220.20	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG|1ZMB	16AART|27ASPD|3DMG|4ZMB|5CDMG|8RCR|9MLV|aVULN
24	44126 21333	   	220.20	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG|1ZMB	16AART|27ASPD|3DMG|4ZMB|5CDMG|8RCR|9CGEN|aVULN
25	63521 31242	 * 	220.18	ACR|3ASPD|2AART|2DMG|1VULN|1CDMG	15DMG|2RCR|356ASPD|49AART|5BPWR|7CDMG|8MLV|aVULN
26	11214 13152	 * 	220.03	DCR|2VULN|2DMG|1AART|1NUKE|1ZMB|1DUR	16VULN|2DUR|37BEXP|4AART|56DMG|6BPWR|8RCR|9ZMB|aNUKE
27	11214 13155	   	220.03	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB|1DUR	16VULN|2DUR|37BEXP|4AART|56DMG|6BPWR|8RCR|9ZMB|aASPD
28	63521 31613	 * 	219.84	ACR|3ASPD|2DMG|1VULN|1AART|2CDMG|1DUR	15DMG|2RCR|356ASPD|4AART|5BPWR|79CDMG|8VULN|aDUR
29	65222 22431	   	219.75	DCR|3VULN|2ASPD|1AART|1DMG	1DMG|2aASPD|3BELT|4BEXP|578VULN|6RCR|9AART
30	63521 52113	   	219.28	ACR|3DMG|2VULN|2ASPD|1AART|1DUR	157DMG|2RCR|35ASPD|4AART|5BPWR|6DUR|89VULN|aBEXP
31	63521 52111	   	219.18	ACR|3DMG|2VULN|2ASPD|1AART|1DUR	157DMG|2RCR|35ASPD|4AART|5BPWR|6DUR|89VULN|aMBVNT
32	16221 11166	 * 	219.12	DCR|3VULN|2DMG|1AART|1ASPD	126VULN|3FEWX|4AART|5LWND|79DMG|8RCR|aASPD
33	26522 34318	 * 	218.81	DCR|2DMG|2ASPD|1VULN|1AART|2CDMG	1aASPD|2aCDMG|3MBVNT|4AART|5CGEN|6LEGI|7VULN|8RCR|9aDMG|aBPWR
34	25222 12626	   	218.46	DCR|3ASPD|2DMG|1AART|1VULN|1DUR	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LWND|9AART|aDUR
35	16224 36222	   	218.07	DCR|4VULN|2ASPD|1AART|1ZMB	1278VULN|3FEWX|4AART|57LHND|67ASPD|7BPWR|9ZMB|aRCR
36	45123 11111	 * 	217.13	DCR|3DMG|2VULN|1AART|1CDMG	1AART|234DMG|4BPWR|5RMIN|6RCR|7LHND|89VULN|aCDMG
37	45123 14111	   	217.13	DCR|3DMG|2VULN|1AART|1CDMG	1AART|234DMG|4BPWR|5RMIN|6RCR|7BEXP|89VULN|aCDMG
38	45323 11111	   	217.13	DCR|3DMG|2VULN|1AART|1CDMG	1AART|234DMG|34BPWR|5RMIN|6RCR|7LHND|89VULN|aCDMG
39	45323 14111	   	217.13	DCR|3DMG|2VULN|1AART|1CDMG	1AART|234DMG|34BPWR|5RMIN|6RCR|7BEXP|89VULN|aCDMG
40	16312 61213	 * 	216.52	DCR|4VULN|2ASPD|1CDMG|1DUR	1279VULN|39LIT|4DUR|5LHND|6RCR|89ASPD|9BPWR|aCDMG
41	16313 61213	   	216.42	DCR|4VULN|2ASPD|1CDMG|1DUR	1279VULN|39LIT|4DUR|5DUST|6RCR|89ASPD|9BPWR|aCDMG
42	63521 53214	 * 	216.13	ACR|3ASPD|2DMG|1VULN|1AART|1NUKE|1DUR	15DMG|2RCR|358ASPD|4AART|5BPWR|6DUR|7MBVNT|9VULN|aNUKE
43	11214 13151	 * 	216.04	DCR|2VULN|2AART|2DMG|1ZMB|1DUR	16VULN|2DUR|37BEXP|4aAART|56DMG|6BPWR|8RCR|9ZMB
44	16224 36122	   	215.95	DCR|3VULN|2ASPD|1AART|1DMG	127VULN|3FEWX|4AART|579LHND|67ASPD|7BPWR|8RCR|aDMG
45	16224 36132	   	215.95	DCR|3VULN|2ASPD|1AART|1DMG	127VULN|39FEWX|4AART|57LHND|67ASPD|7BPWR|8RCR|aDMG
46	11324 36222	   	215.77	DCR|3VULN|2ASPD|1AART|2DUR|1ZMB	178VULN|23DUR|4AART|57LHND|67ASPD|7BPWR|9ZMB|aRCR
47	62523 16211	   	215.17	ACR|2VULN|2DMG|2ASPD|1AART|2ZMB|1DUR	19DMG|29ZMB|3RCR|4AART|5DUR|6aVULN|7DLOT|89ASPD|9BPWR
48	65222 22343	 * 	215.15	DCR|4VULN|2DMG|1ASPD|1SELL	1aDMG|2ASPD|3BELT|4aBEXP|579aVULN|6RCR|8SELL|aBPWR
49	23524 31362	   	215.11	ACR|3ASPD|2VULN|1AART|1DMG|1CDMG|1DUR	136ASPD|2RCR|4CDMG|5DUR|7DMG|8aVULN|9AART
50	25222 12164	   	215.06	DCR|3ASPD|2VULN|2DMG|1DUR	124ASPD|34DMG|4BPWR|5LIT|69VULN|7RCR|8LHND|aDUR
51	25241 31324	   	215.05	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG|1ZMB	126ASPD|3DMG|4VULN|5ZMB|7CDMG|8LIT|9RCR|aAART
52	25122 11116	 * 	214.85	DCR|3ASPD|2VULN|1AART|1DMG	124ASPD|3RMIN|4BPWR|5AART|6RCR|7LHND|89VULN|aDMG
53	25122 14116	   	214.85	DCR|3ASPD|2VULN|1AART|1DMG	124ASPD|3RMIN|4BPWR|5AART|6RCR|7BEXP|89VULN|aDMG
54	25132 11116	   	214.85	DCR|3ASPD|2VULN|1AART|1DMG	124ASPD|3RMIN|5AART|6RCR|7LHND|89VULN|aDMG
55	25132 14116	   	214.85	DCR|3ASPD|2VULN|1AART|1DMG	124ASPD|3RMIN|5AART|6RCR|7BEXP|89VULN|aDMG
56	43242 11162	 * 	214.81	DCR|3VULN|3DMG|1AART	1AART|24LHND|346VULN|4BPWR|5FEWX|79aDMG|8RCR
57	16224 11162	   	214.71	DCR|3VULN|3DMG|1AART	126VULN|3FEWX|4AART|5LHND|79aDMG|8RCR
58	16312 61211	 * 	214.52	DCR|5VULN|2ASPD|1DUR	1279aVULN|39LIT|4DUR|5LHND|6RCR|89ASPD|9BPWR
59	42113 15611	 * 	214.49	DCR|2DMG|1MDPS|2ASPD|3CDMG|1AART|1DUR	1AART|2MDPS|35aCDMG|4DUR|6RCR|7BELT|8aASPD|9aDMG|aBPWR
60	16313 61211	   	214.42	DCR|5VULN|2ASPD|1DUR	1279aVULN|39LIT|4DUR|5DUST|6RCR|89ASPD|9BPWR
61	25241 32136	   	214.39	DCR|3ASPD|2DMG|1VULN|1AART|1ZMB	126ASPD|39DMG|4VULN|5ZMB|7AART|8AME|aRCR
62	25241 32336	   	214.29	DCR|3ASPD|2DMG|1VULN|1AART|1ZMB	126ASPD|39DMG|4VULN|5ZMB|7AART|8TLV|aRCR
63	11324 36622	   	214.02	DCR|2VULN|2AART|2ASPD|2DUR|1ZMB	17VULN|23DUR|48AART|57LHND|67ASPD|7BPWR|9ZMB|aRCR
64	11624 36222	   	213.84	DCR|3VULN|2ASPD|1AART|1ZMB|1DUR	178VULN|2DUR|3RCVC|4AART|57LHND|67ASPD|7BPWR|9ZMB|aRCR
65	31153 51631	   	213.80	DCR|3VULN|2AART|1ASPD|1CDMG	1LIT|2ASPD|3CDMG|49aVULN|57AART|6FEWX|8RCR
66	25223 25111	 * 	213.78	DCR|3DMG|3ASPD|1VULN|2DUR	124ASPD|349DMG|49BPWR|59DUR|69FEWX|7RMIN|8RCR|aVULN
67	25223 55111	   	213.78	DCR|3DMG|3ASPD|1VULN|2DUR	124ASPD|349DMG|49BPWR|59DUR|69BEXP|7RMIN|8RCR|aVULN
68	43242 11612	 * 	213.71	DCR|3VULN|2AART|1ASPD|1DMG	18AART|24LHND|346VULN|4BPWR|5FEWX|7DMG|9ASPD|aRCR
69	31153 35631	   	213.70	DCR|3VULN|2AART|1ASPD|1CDMG	1LIT|2ASPD|3CDMG|49aVULN|56AART|7DUST|8RCR
70	16224 11612	   	213.61	DCR|3VULN|2AART|1ASPD|1DMG	126VULN|3FEWX|48AART|5LHND|7DMG|9ASPD|aRCR
71	25223 15111	   	213.58	DCR|3DMG|3ASPD|1VULN|2DUR	124ASPD|349DMG|49BPWR|59DUR|69DUST|7RMIN|8RCR|aVULN
72	65222 22323	   	213.52	DCR|3VULN|2DMG|2ASPD|1SELL	1aDMG|29ASPD|3BELT|4aBEXP|57aVULN|6RCR|8SELL|aBPWR
73	44113 11363	 * 	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1AART|2ASPD|3DMG|4LWND|5aDUR|69VULN|7CDMG|8RCR
74	61523 11363	   	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1DMG|2BEXP|3ASPD|4AART|5aDUR|69VULN|7CDMG|8RCR
75	65323 11363	   	213.50	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1DMG|2ASPD|3BEXP|4AART|5aDUR|69VULN|7CDMG|8RCR
76	43242 11212	   	213.48	DCR|4VULN|1AART|1ASPD|1DMG	1AART|24LHND|3468VULN|4BPWR|5FEWX|7DMG|9ASPD|aRCR
77	16224 11212	   	213.38	DCR|4VULN|1AART|1ASPD|1DMG	1268VULN|3FEWX|4AART|5LHND|7DMG|9ASPD|aRCR
78	63521 31163	 * 	213.37	ACR|3ASPD|1MDPS|2DMG|1VULN|1AART|1CDMG	15DMG|2RCR|356ASPD|4AART|5BPWR|7CDMG|8DUST|9VULN|aMDPS
79	63521 31633	   	213.37	ACR|3ASPD|1MDPS|2DMG|1VULN|1AART|1CDMG	15DMG|2RCR|356ASPD|4AART|5BPWR|7CDMG|8VULN|9DUST|aMDPS
80	44113 11315	 * 	212.57	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1AART|2ASPD|3DMG|4LWND|5DUR|6VULN|7CDMG|8RCR|9NUKE|aMDPS
81	61523 11315	   	212.57	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2BEXP|3ASPD|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aMDPS
82	65323 11315	   	212.57	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1DMG|2ASPD|3BEXP|4AART|5DUR|6VULN|7CDMG|8RCR|9NUKE|aMDPS
83	12661 32361	 * 	212.48	DCR|3ASPD|2VULN|3CDMG|1ZMB|1DUR	13VULN|237CDMG|3BPWR|4DUR|5ZMB|689ASPD|aRCR
84	63523 16111	   	212.48	ACR|3VULN|2DMG|1AART|1ASPD|2DUR	19DMG|2RCR|3ASPD|4AART|59DUR|69aVULN|7DLOT|8RMIN|9BPWR
85	25225 21336	   	212.36	DCR|3DMG|3ASPD|1VULN|1ZMB	124ASPD|348DMG|4BPWR|5FEWX|6BELT|7RCR|9VULN|aZMB
86	12653 12224	   	212.30	DCR|3VULN|3CDMG|1AART|1ASPD	139VULN|236CDMG|3BPWR|4ASPD|5LHND|7BEXP|8RCR|aAART
87	12611 32125	   	212.30	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4CGEN|5BEXP|6ASPD|8RCR|9AART
88	12613 32125	   	212.30	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4CGEN|5LHND|6ASPD|8RCR|9AART
89	12635 32125	   	212.30	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4LHND|5CGEN|6ASPD|8RCR|9AART
90	12651 22125	   	212.30	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4ASPD|5BEXP|6MLV|8RCR|9AART
91	12653 22125	   	212.30	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4ASPD|5LHND|6MLV|8RCR|9AART
92	12615 32125	   	212.20	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4CGEN|5DUST|6ASPD|8RCR|9AART
93	12625 32125	   	212.20	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4DUST|5CGEN|6ASPD|8RCR|9AART
94	12632 32125	   	212.20	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4LHND|5TLV|6ASPD|8RCR|9AART
95	12622 32125	   	212.10	DCR|3VULN|3CDMG|1AART|1ASPD	13aVULN|237CDMG|3BPWR|4DUST|5TLV|6ASPD|8RCR|9AART
96	43242 36232	   	212.05	DCR|3VULN|2ASPD|1AART|1DMG	1AART|247LHND|348VULN|47BPWR|57FEWX|67ASPD|9DMG|aRCR
97	25222 12233	 * 	211.99	DCR|3ASPD|1MDPS|2DMG|1VULN|1CDMG	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9CDMG|aMDPS
98	63521 31141	 * 	211.96	ACR|3DMG|3ASPD|2AART|1CDMG	159DMG|2RCR|356ASPD|4aAART|5BPWR|7CDMG|8DUST
99	11324 36122	   	211.67	DCR|2VULN|2ASPD|1AART|1DMG|2DUR	17VULN|23DUR|4AART|579LHND|67ASPD|7BPWR|8RCR|aDMG
100	12633 25224	 * 	211.56	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	135VULN|23CDMG|3BPWR|4LHND|6DMG|7LWND|8DUR|9RCR|aAART
101	26522 44318	   	211.48	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1aASPD|2CDMG|3MBVNT|4AART|5aCGEN|6LWND|7VULN|8RCR|9aDMG|aBPWR
102	63521 31611	   	211.44	ACR|3ASPD|2DMG|1VULN|1AART|2CDMG	15DMG|2RCR|356ASPD|4AART|5BPWR|79CDMG|8VULN|aDUST
103	63521 31612	   	211.44	ACR|3ASPD|2DMG|1VULN|1AART|2CDMG|1MSE	15DMG|2RCR|356ASPD|4AART|5BPWR|79CDMG|8VULN|aMSE
104	25225 21335	 * 	211.39	DCR|3DMG|3ASPD|1MDPS|1VULN	124ASPD|348DMG|4BPWR|5FEWX|6BELT|7RCR|9VULN|aMDPS
105	65222 24323	 * 	211.34	DCR|3DMG|2VULN|2ASPD|1SELL	17aDMG|29ASPD|3BELT|4aBEXP|5aVULN|6RCR|8SELL|aBPWR
106	26253 24313	   	211.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1AAC	14ASPD|2CDMG|3AAC|56DMG|7AART|8RCR|9MLV|aVULN
107	26253 24333	   	211.28	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG|1AAC	14ASPD|2CDMG|3AAC|56DMG|7AART|8RCR|9CGEN|aVULN
108	12614 22163	 * 	211.25	DCR|3VULN|2ASPD|3CDMG|1DUR	13aVULN|237CDMG|3aBPWR|4aCGEN|5DUR|6MLV|8RCR|9aASPD
109	12614 11163	   	211.15	DCR|3VULN|2ASPD|3CDMG|1DUR	13aVULN|236CDMG|3aBPWR|4aCGEN|5DUR|7ERES|8RCR|9aASPD
110	11324 11212	   	211.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	168VULN|23DUR|4AART|5LHND|7DMG|9ASPD|aRCR
111	56324 11212	   	211.08	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	13DUR|268VULN|4AART|5LHND|7DMG|9ASPD|aRCR
112	62523 16213	   	211.04	ACR|2DMG|2ASPD|1VULN|1AART|1CDMG|2ZMB|1DUR	19DMG|29ZMB|3RCR|4AART|5DUR|6VULN|7DLOT|89ASPD|9BPWR|aCDMG
113	25122 11111	   	211.03	DCR|3ASPD|2VULN|1AART|1CDMG	124ASPD|3RMIN|4BPWR|5AART|6RCR|7LHND|89VULN|aCDMG
114	25122 14111	   	211.03	DCR|3ASPD|2VULN|1AART|1CDMG	124ASPD|3RMIN|4BPWR|5AART|6RCR|7BEXP|89VULN|aCDMG
115	25132 11111	   	211.03	DCR|3ASPD|2VULN|1AART|1CDMG	124ASPD|3RMIN|5AART|6RCR|7LHND|89VULN|aCDMG
116	25132 14111	   	211.03	DCR|3ASPD|2VULN|1AART|1CDMG	124ASPD|3RMIN|5AART|6RCR|7BEXP|89VULN|aCDMG
117	63521 42113	   	210.97	ACR|3DMG|2VULN|2ASPD|1AART	157DMG|2RCR|35ASPD|4AART|5BPWR|6LHND|89VULN|aBEXP
118	63521 62113	   	210.97	ACR|3DMG|2VULN|2ASPD|1AART	157DMG|2RCR|35ASPD|4AART|5BPWR|6aBEXP|89VULN
119	63523 16113	   	210.90	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	19DMG|2RCR|3ASPD|4AART|59DUR|69VULN|7DLOT|8RMIN|9BPWR|aCDMG
120	12661 22125	   	210.88	DCR|3VULN|3CDMG|1AART|1ZMB|1DUR	13aVULN|237CDMG|3BPWR|4DUR|5ZMB|6MLV|8RCR|9AART
121	63521 42111	   	210.87	ACR|3DMG|2VULN|2ASPD|1AART	157DMG|2RCR|35ASPD|4AART|5BPWR|6LHND|89VULN|aMBVNT
122	63521 62111	   	210.87	ACR|3DMG|2VULN|2ASPD|1AART	157DMG|2RCR|35ASPD|4AART|5BPWR|6BEXP|89VULN|aMBVNT
123	25216 32125	   	210.85	DCR|3ASPD|2VULN|1AART|1DMG	127ASPD|3DMG|4MLV|5aVULN|6BEXP|8RCR|9AART
124	22521 52116	   	210.51	ACR|3ASPD|2VULN|1AART|1DMG|2ZMB|1DUR	157ASPD|25ZMB|3RCR|4AART|5BPWR|6DUR|89VULN|aDMG
125	45123 11114	 * 	210.24	DCR|3DMG|2VULN|1MDPS|1AART	1AART|234DMG|4BPWR|5RMIN|6RCR|7LHND|89VULN|aMDPS
126	45323 11114	   	210.24	DCR|3DMG|2VULN|1MDPS|1AART	1AART|234DMG|34BPWR|5RMIN|6RCR|7LHND|89VULN|aMDPS
127	25222 12122	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5aLIT|6VULN|7RCR|8LHND|9AART
128	25222 12123	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8aLHND|9AART
129	25222 12124	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LHND|9AART|aAME
130	25222 12125	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LHND|9AART|aLWND
131	25222 12126	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LHND|9AART|aDMSP
132	25222 12224	   	210.15	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9LWND|aAART
133	25222 12242	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9AART|aBEXP
134	25222 12243	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8aCGEN|9AART
135	25222 12245	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9AART|aRPLT
136	25222 12622	   	210.15	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|5aLIT|6VULN|7RCR|8LWND|9AART
137	25222 12623	   	210.15	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LWND|9AART|aLHND
138	25222 12624	   	210.15	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LWND|9AART|aAME
139	25222 12625	   	210.15	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8aLWND|9AART
140	25222 12121	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LHND|9AART|aTLV
141	25222 12241	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9AART|aDUST
142	25222 12244	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART|1SELL	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9AART|aSELL
143	25222 12246	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9AART|aERES
144	25222 12324	   	210.05	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8DUST|9DMSP|aAART
145	25222 12364	   	210.05	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|59LIT|6VULN|7RCR|8DUST|aAART
146	25222 12621	   	210.05	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8LWND|9AART|aTLV
147	25222 12235	 * 	210.05	DCR|3ASPD|2DMG|1VULN|2CDMG	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|8CGEN|9aCDMG
148	22222 22431	   	210.02	DCR|3VULN|2ASPD|1AART|1ZMB	1aASPD|2ZMB|3BELT|4BEXP|578VULN|6RCR|9AART
149	25222 12354	   	209.95	DCR|3ASPD|2DMG|1AART|1VULN	124ASPD|34DMG|4BPWR|5LIT|6VULN|7RCR|89DUST|aAART
150	11624 36122	   	209.74	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	17VULN|2DUR|3RCVC|4AART|579LHND|67ASPD|7BPWR|8RCR|aDMG
151	11214 13112	   	209.60	DCR|2VULN|2DMG|1AART|1NUKE|1DUR	16VULN|2DUR|37BEXP|4AART|56DMG|6BPWR|8RCR|9ERES|aNUKE
152	11214 13115	   	209.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	16VULN|2DUR|37BEXP|4AART|56DMG|6BPWR|8RCR|9ERES|aASPD
153	25241 31214	 * 	209.55	DCR|3ASPD|2VULN|1DMG|1CDMG|1ZMB	126ASPD|3DMG|48VULN|5ZMB|7CDMG|9ERES|aRCR
154	43242 11163	   	209.49	DCR|3VULN|2DMG|1AART|1ZMB	1AART|24LHND|346VULN|4BPWR|5FEWX|79DMG|8RCR|aZMB
155	16224 11163	   	209.39	DCR|3VULN|2DMG|1AART|1ZMB	126VULN|3FEWX|4AART|5LHND|79DMG|8RCR|aZMB
156	11324 11612	   	209.33	DCR|2VULN|2AART|1ASPD|1DMG|2DUR	16VULN|23DUR|48AART|5LHND|7DMG|9ASPD|aRCR
157	63521 52232	   	209.23	ACR|3DMG|2ASPD|1VULN|1AART|1ZMB|1DUR	157DMG|2RCR|35ASPD|4AART|5BPWR|6DUR|8ZMB|9MLV|aVULN
158	45123 11113	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	1AART|234DMG|4BPWR|5RMIN|6RCR|7LHND|89VULN|aDUR
159	45123 14113	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	1AART|234DMG|4BPWR|5RMIN|6RCR|7BEXP|89VULN|aDUR
160	45323 11113	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	1AART|234DMG|34BPWR|5RMIN|6RCR|7LHND|89VULN|aDUR
161	45323 14113	   	209.19	DCR|3DMG|2VULN|1AART|1DUR	1AART|234DMG|34BPWR|5RMIN|6RCR|7BEXP|89VULN|aDUR
162	11624 11212	   	209.15	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	168VULN|2DUR|3RCVC|4AART|5LHND|7DMG|9ASPD|aRCR
163	25223 22213	   	208.93	DCR|3ASPD|2DMG|1VULN|1CDMG|1DUR	124ASPD|34DMG|4BPWR|5DUR|6FEWX|7BEXP|8RCR|9CDMG|aVULN
