0	Index      	 *	Score 	Summary	Detail	
1	62342 43713	 * 	217.01	DCR|4VULN|2DMG|2DUR|1ZMB	1589VULN|29DUR|3DLOT|4MBVNT|69DMG|7RCR|9BPWR|aZMB
19	63131 22155	   	209.05	DCR|3ASPD|2VULN|1DMG|2DUR|1ZMB	18VULN|278ASPD|3DMG|4ERES|58DUR|6DMSP|8BPWR|9RCR|aZMB
20	23122 16232	 * 	208.85	ACR|4VULN|2AART|1ASPD|2ZMB	1RCR|2aCGEN|3ASPD|46AART|579aVULN|8aZMB|aBPWR
21	63515 22321	 * 	208.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|23aASPD|4LIT|5DMG|6LHND|7RCR|8CDMG|9AART
22	63121 23214	 * 	208.24	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1VULN|2aASPD|39DMG|4DUR|5CDMG|6RMIN|7RCR|8ZMB
23	63121 43214	   	208.24	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1VULN|2aASPD|39DMG|4DUR|5CDMG|6CGEN|7RCR|8ZMB
24	62342 12245	   	207.65	DCR|3VULN|2AART|1ASPD|1DUR	15aVULN|2DUR|3DLOT|4MBVNT|69AART|7RCR|8ASPD
25	63121 43612	 * 	207.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|39DMG|4DUR|5CDMG|6CGEN|7RCR|8ERES|aAART
26	23122 11432	 * 	207.22	ACR|3VULN|2AART|2ASPD|2ZMB	1RCR|2aCGEN|38ASPD|46AART|59aVULN|7aZMB|aBPWR
27	23122 16252	   	207.22	ACR|3VULN|2AART|2ASPD|2ZMB	1RCR|2aCGEN|39ASPD|46AART|57aVULN|8aZMB|aBPWR
28	24124 62232	   	207.22	ACR|3VULN|2AART|2ASPD|2ZMB	1RCR|2aAME|35ASPD|46AART|79aVULN|8aZMB|aBPWR
29	23122 66232	 * 	206.99	ACR|4VULN|2ASPD|1AART|2ZMB	1RCR|2aCGEN|36ASPD|4AART|579aVULN|8aZMB|aBPWR
30	62342 43712	   	206.68	DCR|4VULN|2DMG|2DUR	1589VULN|29DUR|3DLOT|4MBVNT|69DMG|7RCR|9BPWR|aLWND
31	62342 43714	   	206.68	DCR|4VULN|2DMG|2DUR	1589VULN|29DUR|3DLOT|4MBVNT|69DMG|7RCR|9BPWR|aBEXP
32	62342 43711	   	206.58	DCR|4VULN|2DMG|2DUR	1589VULN|29DUR|3DLOT|4MBVNT|69DMG|7RCR|9BPWR|aERES
33	25215 37243	 * 	205.52	ACR|2VULN|2DMG|2ASPD|2CDMG|1DUR	1RCR|2RPLT|39VULN|45ASPD|6MBVNT|79DMG|89CDMG|9BPWR|aDUR
34	63241 23521	 * 	205.29	DCR|4VULN|3ASPD|1DUR	1578VULN|278ASPD|3MULARM|4TLV|678CGEN|78BPWR|9DUR|aRCR
35	63251 23521	   	205.29	DCR|4VULN|3ASPD|1DUR	1578VULN|278ASPD|3MULARM|4ERES|678CGEN|78BPWR|9DUR|aRCR
36	26121 62623	 * 	205.17	ACR|3DMG|3ASPD|1VULN|1AART|1SELL	1RCR|28DUST|389DMG|4AART|568ASPD|7SELL|8BPWR|aVULN
37	63114 21254	 * 	204.89	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	189VULN|2ASPD|38DMG|4RPLT|5MDPS|68DUR|7MBVNT|8BPWR|aRCR
38	63633 32153	 * 	204.62	DCR|3VULN|3ASPD|1AART	158VULN|278ASPD|3TLV|4ERES|68LWND|8BPWR|9AART|aRCR
39	62431 35331	 * 	204.59	DCR|3VULN|1MDPS|1AART|1CDMG|2DUR	167VULN|2aDUR|3DUST|4CDMG|5AART|8RCR|9MDPS
40	62431 35332	 * 	204.59	DCR|3VULN|2AART|1MDPS|1CDMG|1DUR	167VULN|2DUR|3DUST|4CDMG|5aAART|8RCR|9MDPS
41	62431 35333	   	204.59	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB|1DUR	167VULN|2DUR|3DUST|4CDMG|5AART|8RCR|9MDPS|aZMB
42	63121 23361	   	204.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC|1DUR	1aVULN|2ASPD|3aDMG|4DUR|5CDMG|6RMIN|7RCR|8aLHND|9AAC|aBPWR
43	63121 23124	   	204.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	19VULN|2ASPD|3aDMG|4DUR|5CDMG|6RMIN|7RCR|8VENFST
44	63121 43124	   	204.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	19VULN|2ASPD|3aDMG|4DUR|5CDMG|6CGEN|7RCR|8MULFIG
45	63121 23613	   	203.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1aVULN|2ASPD|39DMG|4DUR|5CDMG|6RMIN|7RCR|8ERES
46	63133 32221	 * 	203.88	DCR|2VULN|2DMG|2ASPD|1CDMG	16VULN|27ASPD|35DMG|46ERES|6BPWR|8CDMG|9LHND|aRCR
47	63133 32231	   	203.88	DCR|2VULN|2DMG|2ASPD|1CDMG	16VULN|27ASPD|35DMG|46ERES|6BPWR|8CDMG|9LWND|aRCR
48	21511 14613	   	203.60	ACR|3VULN|2ASPD|3ZMB|1AART	1RCR|2RMIN|389VULN|4LHND|59aZMB|69ASPD|7AART|9BPWR
49	63151 23231	 * 	203.52	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR|1ZMB	1VULN|2aASPD|3DMG|4BEXP|5aCDMG|6RMIN|7RCR|8ZMB|9aDUR|aBPWR
50	21531 14613	   	203.50	ACR|3VULN|2ASPD|3ZMB|1AART	1RCR|2RMIN|389VULN|4DUST|59aZMB|69ASPD|7AART|9BPWR
51	62223 11161	   	203.46	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR|1AAC	135VULN|24DUR|6DMG|7AAC|8CDMG|9ASPD|aRCR
52	62223 52111	   	203.46	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	135VULN|24DUR|6ERES|7ASPD|8CDMG|9DMG|aRCR
53	31123 63341	 * 	203.44	DCR|3VULN|3ASPD|3DUR	157ERES|29aVULN|379ASPD|467DUR|79BPWR|8RCR
54	63161 23231	   	203.42	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR|1ZMB	1VULN|2aASPD|3DMG|4DUST|5aCDMG|6RMIN|7RCR|8ZMB|9aDUR|aBPWR
55	62161 11233	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	17VULN|2DUR|3DMG|4BEXP|5ZMB|6ASPD|8RCR|9SNIFST|aAART
56	63156 31233	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	17VULN|2ASPD|3DMG|4BEXP|5ZMB|6DUR|8RCR|9SNIFST|aAART
57	63133 32616	   	201.86	DCR|2VULN|2DMG|2ASPD|1ZMB	16VULN|27ASPD|35DMG|46ERES|6BPWR|8RCR|9DUST|aZMB
58	31113 13631	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|26VULN|3ASPD|4RPLT|5RMIN|7RCR|8CDMG|9AART|aDMG
59	61623 13631	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	16VULN|2RPLT|3ERES|4ASPD|5RMIN|7RCR|8CDMG|9AART|aDMG
60	62431 35311	   	201.84	DCR|3VULN|2AART|1CDMG|1DUR	167VULN|2DUR|39DUST|4CDMG|5aAART|8RCR
61	62431 35323	 * 	201.71	DCR|4VULN|1AART|1CDMG|1DUR	167aVULN|2DUR|3DUST|4CDMG|5AART|8RCR|9RMIN
62	23122 66253	 * 	201.65	ACR|3ASPD|2VULN|1MDPS|1AART|1ZMB	1RCR|2CGEN|369ASPD|4AART|57VULN|8ZMB|aMDPS
63	31236 23424	 * 	201.63	DCR|3VULN|1AART|2CDMG|1ZMB|1DUR	1ERES|26aVULN|3TSLARM|4DUR|56CDMG|6BPWR|7ZMB|8AART|9RCR
64	62431 35312	   	201.61	DCR|4VULN|1AART|1CDMG|1DUR	167aVULN|2DUR|39DUST|4CDMG|5AART|8RCR
65	22252 14613	   	201.48	ACR|3VULN|2ASPD|1AART|2DUR|1ZMB	1RCR|2DMSP|39DUR|4BEXP|589VULN|69ASPD|7AART|9BPWR|aZMB
66	22232 14613	   	201.38	ACR|3VULN|2ASPD|1AART|2DUR|1ZMB	1RCR|2DMSP|39DUR|4DUST|589VULN|69ASPD|7AART|9BPWR|aZMB
67	63151 23215	   	201.37	DCR|3DMG|1VULN|1ASPD|1CDMG|1ZMB	1VULN|2ASPD|39aDMG|4BEXP|5CDMG|6RMIN|7RCR|8ZMB
68	63161 23215	   	201.27	DCR|3DMG|1VULN|1ASPD|1CDMG|1ZMB	1VULN|2ASPD|39aDMG|4DUST|5CDMG|6RMIN|7RCR|8ZMB
69	21622 16232	 * 	201.14	ACR|4VULN|2AART|3ZMB	1RCR|2RMIN|39aERES|46AART|579aVULN|89aZMB|9aBPWR
70	25222 31612	 * 	200.93	ACR|3VULN|2DMG|2CDMG|1ASPD	1RCR|2RPLT|36aVULN|4MULFIG|5aDMG|7ASPD|8LIT|9aCDMG|aBPWR
71	62125 61321	 * 	200.31	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	1aVULN|246DUR|3DMG|5AART|7ASPD|8CGEN|9RCR
72	62125 61221	   	200.21	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	1aVULN|246DUR|3DMG|5AART|7ASPD|8ERES|9RCR
73	62342 12242	   	200.15	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	15VULN|2DUR|3DLOT|4MBVNT|69AART|7RCR|8ASPD|aZMB
74	12221 46252	   	200.15	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2DUR|3VULN|4BEXP|5AART|6RCR|7SPLREG|8ASPD|9aDMG
75	63121 23251	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ASPD|3DMG|4DUR|5CDMG|6RMIN|7RCR|8ZMB|9BASFIG|aAART
76	63121 43251	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ASPD|3DMG|4DUR|5CDMG|6CGEN|7RCR|8ZMB|9CANARM|aAART
77	62161 11225	   	200.06	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	17VULN|29DUR|3DMG|4BEXP|5ZMB|6ASPD|8RCR|aCDMG
78	62311 12351	   	200.01	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUR|3DLOT|4TLV|5ASPD|6AART|7RCR|8CDMG|9ZMB|aDMG
79	63151 23214	   	199.93	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	1VULN|2aASPD|39DMG|4BEXP|5CDMG|6RMIN|7RCR|8ZMB
80	63133 32614	   	199.84	DCR|2VULN|2DMG|2ASPD|1DUR	16VULN|27ASPD|35DMG|46ERES|6BPWR|8RCR|9DUST|aDUR
81	63161 23214	   	199.83	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	1VULN|2aASPD|39DMG|4DUST|5CDMG|6RMIN|7RCR|8ZMB
82	21521 14612	   	199.45	ACR|3VULN|2ASPD|1AART|2ZMB|1DUR	1RCR|2RMIN|389VULN|4DUR|59ZMB|69ASPD|7AART|9BPWR|aLWND
83	21521 14611	   	199.35	ACR|3VULN|2ASPD|1AART|2ZMB|1DUR	1RCR|2RMIN|389VULN|4DUR|59ZMB|69ASPD|7AART|9BPWR|aERES
84	22425 42232	 * 	199.31	ACR|3VULN|2AART|1ASPD|1DMG	1RCR|2DMSP|3ASPD|4LHND|57AART|689VULN|aDMG
85	63121 23216	   	199.26	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR|1ZMB	1VULN|2ASPD|39DMG|4aDUR|5CDMG|6RMIN|7RCR|8ZMB
86	63121 43216	   	199.26	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR|1ZMB	1VULN|2ASPD|39DMG|4aDUR|5CDMG|6CGEN|7RCR|8ZMB
87	63121 23615	   	199.24	DCR|3DMG|1VULN|1ASPD|1CDMG|1DUR	1VULN|2ASPD|39aDMG|4DUR|5CDMG|6RMIN|7RCR|8ERES
88	63131 22152	   	198.72	DCR|3ASPD|2VULN|1DMG|2DUR	18VULN|278ASPD|3DMG|4ERES|58DUR|6DMSP|8BPWR|9RCR|aRCVC
89	63131 22153	   	198.72	DCR|3ASPD|2VULN|1DMG|2DUR	18VULN|278ASPD|3DMG|4ERES|58DUR|6DMSP|8BPWR|9RCR|aRPLT
90	63131 22151	   	198.62	DCR|3ASPD|2VULN|1DMG|2DUR|1MSE	18VULN|278ASPD|3DMG|4ERES|58DUR|6DMSP|8BPWR|9RCR|aMSE
91	63131 22154	   	198.62	DCR|3ASPD|2VULN|1DMG|2DUR	18VULN|278ASPD|3DMG|4ERES|58DUR|6DMSP|8BPWR|9RCR|aDUST
92	63131 22156	   	198.62	DCR|3ASPD|2VULN|1DMG|2DUR	18VULN|278ASPD|3DMG|4ERES|58DUR|6DMSP|8BPWR|9RCR|aTLV
93	12331 36223	   	198.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|3DUST|4CDMG|5AART|6aVULN|7DMG|8RCR|9ZMB
94	63133 32643	   	198.41	DCR|2VULN|2DMG|2ASPD|1AAC	16VULN|27ASPD|35DMG|46ERES|6BPWR|8RCR|9BEXP|aAAC
95	63133 32613	   	198.31	DCR|2VULN|2DMG|2ASPD|1AAC	16VULN|27ASPD|35DMG|46ERES|6BPWR|8RCR|9DUST|aAAC
96	63133 32633	   	198.31	DCR|2VULN|2DMG|2ASPD|1AAC|1MSE	16VULN|27ASPD|35DMG|46ERES|6BPWR|8RCR|9MSE|aAAC
97	63121 23221	   	198.28	DCR|2ASPD|1VULN|2CDMG|1DMG|1ZMB|1DUR	1VULN|2aASPD|3DMG|4DUR|5aCDMG|6RMIN|7RCR|8ZMB|9aFEWX|aBPWR
98	12251 14633	   	198.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LWND|2DUR|38VULN|4DMG|5ZMB|6ASPD|7AART|9MBVNT|aRCR
99	62111 14633	   	198.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	18VULN|2DUR|3DMG|4LHND|5ZMB|6ASPD|7AART|9MBVNT|aRCR
100	62213 53214	   	198.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	13VULN|2DUR|46RPLT|59DMG|7RCR|8ZMB|aASPD
101	31133 43663	   	197.99	DCR|4VULN|2ASPD|1ZMB	14ERES|256aVULN|36ASPD|6BPWR|7AME|8RCR|9ZMB
102	63121 23614	   	197.80	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1VULN|2aASPD|39DMG|4DUR|5CDMG|6RMIN|7RCR|8ERES
103	62211 35135	 * 	197.72	DCR|5VULN|1AART|1DUR	1367aVULN|2DUR|4RPLT|5AART|8ERES|9RCR
104	61122 22113	 * 	197.57	DCR|3DMG|2VULN|1ASPD|1DUR	16VULN|2RPLT|3DUR|4MULFIG|567DMG|6BPWR|8BEXP|9ASPD|aRCR
105	12111 11461	   	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3aDMG|4LHND|5ZMB|6ASPD|7VULN|8AART|9RCR
106	12111 14261	   	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3aDMG|4LHND|5ZMB|6ASPD|7AART|8VULN|9RCR
107	12161 11461	   	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3aDMG|4BEXP|5ZMB|6ASPD|7VULN|8AART|9RCR
108	12161 14261	   	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3aDMG|4BEXP|5ZMB|6ASPD|7AART|8VULN|9RCR
109	12251 14161	   	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3VULN|4aDMG|5ZMB|6ASPD|7AART|8LHND|9RCR
110	12251 14261	   	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3VULN|4aDMG|5ZMB|6ASPD|7AART|8FEWX|9RCR
111	62111 14161	   	197.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2DUR|3aDMG|4LHND|5ZMB|6ASPD|7AART|8LWND|9RCR
112	62111 14261	   	197.55	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	1VULN|2DUR|3aDMG|4LHND|5ZMB|6ASPD|7AART|8FEWX|9RCR
113	63111 35434	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	167VULN|2ASPD|3DMG|4RPLT|5AART|8LHND|9MBVNT|aRCR
114	53126 14133	 * 	197.34	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1AAC	1NUKE|2DUST|3ASPD|48AART|5CDMG|6AAC|7RCR|9VULN|aDMG
115	25215 37241	   	197.21	ACR|2VULN|2DMG|2ASPD|2CDMG	1RCR|2RPLT|39VULN|45ASPD|6MBVNT|79DMG|89CDMG|9BPWR|aSNIFST
116	25215 37242	   	197.21	ACR|2VULN|2DMG|2ASPD|2CDMG	1RCR|2RPLT|39VULN|45ASPD|6MBVNT|79DMG|89CDMG|9BPWR|aAELBLL
117	25215 37244	   	197.21	ACR|2VULN|2DMG|2ASPD|2CDMG	1RCR|2RPLT|39VULN|45ASPD|6MBVNT|79DMG|89CDMG|9BPWR|aLWND
118	26252 16131	 * 	197.11	ACR|2VULN|2DMG|2ASPD|1AART	1RCR|2DUST|37VULN|4aDMG|56ASPD|8FEWX|9AART
119	32422 16232	   	197.04	ACR|4VULN|2AART|3ZMB|1AAC	19aERES|2AAC|3RCR|46AART|579aVULN|89aZMB|9aBPWR
120	51422 16232	 * 	197.04	ACR|4VULN|2AART|3ZMB|1NUKE	1NUKE|29aERES|3RCR|46AART|579aVULN|89aZMB|9aBPWR
121	63241 23531	   	196.98	DCR|4VULN|3ASPD	1578VULN|278ASPD|3MULARM|4TLV|678CGEN|78BPWR|9BEXP|aRCR
122	63251 23531	   	196.98	DCR|4VULN|3ASPD	1578VULN|278ASPD|3MULARM|4ERES|678CGEN|78BPWR|9BEXP|aRCR
123	26121 12642	   	196.97	ACR|2VULN|2DMG|2ASPD|1AART|1SELL	1RCR|28DUST|38DMG|4AART|58ASPD|6DMSP|7SELL|8BPWR|9aVULN
124	63121 23233	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2ASPD|3DMG|4DUR|5CDMG|6RMIN|7RCR|8ZMB|9RCVC
125	63121 23263	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2ASPD|3DMG|4DUR|5CDMG|69RMIN|7RCR|8ZMB
126	63121 43224	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2ASPD|3DMG|4DUR|5CDMG|6CGEN|7RCR|8ZMB|9FEWX
127	63121 43233	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2ASPD|3DMG|4DUR|5CDMG|6CGEN|7RCR|8ZMB|9RCVC
128	22223 64211	 * 	196.20	ACR|3VULN|2ASPD|1AART|3DUR	1RCR|2DMSP|379DUR|4AART|5FEWX|69ASPD|89aVULN|9BPWR
129	63222 52142	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19VULN|2ASPD|3MULARM|45LIT|6RCR|7DUR|8AART|aDMG
130	63151 23123	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	19aVULN|2ASPD|3DMG|4BEXP|5CDMG|6RMIN|7RCR|8VENFST
131	63151 43123	   	196.01	DCR|3VULN|1ASPD|1DMG|1CDMG	19aVULN|2ASPD|3DMG|4BEXP|5CDMG|6CGEN|7RCR|8MULFIG
132	63225 21142	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2ASPD|3MULARM|4LIT|5ZMB|6TLV|7RCR|8AART|aDMG
133	62213 53213	   	195.92	DCR|3VULN|2DMG|1ZMB|1DUR	13aVULN|2DUR|46RPLT|59DMG|7RCR|8ZMB
134	12221 42131	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2DUR|39VULN|4BEXP|5AART|6RCR|7DUST|8ASPD|aDMG
135	16221 44131	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2DUST|39VULN|4BEXP|5AART|6RCR|7DUR|8ASPD|aDMG
136	63151 23361	   	195.86	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	1aVULN|2ASPD|3aDMG|4BEXP|5CDMG|6RMIN|7RCR|8aLHND|9AAC|aBPWR
137	63515 22322	   	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|23ASPD|4LIT|5DMG|6LHND|7RCR|8CDMG|9AART|aFEWX
138	63151 23124	   	195.76	DCR|2VULN|2DMG|1ASPD|1CDMG	19VULN|2ASPD|3aDMG|4BEXP|5CDMG|6RMIN|7RCR|8VENFST
139	23122 14432	 * 	195.70	ACR|2VULN|2AART|2ASPD|1DMG	1RCR|2CGEN|38ASPD|46AART|59VULN|7MLV|aDMG
140	23122 22432	   	195.70	ACR|2VULN|2AART|2ASPD|1DMG	1RCR|2CGEN|38ASPD|47AART|59VULN|6AME|aDMG
141	31133 43624	   	195.59	DCR|3VULN|2ASPD|1AART	14ERES|256VULN|36ASPD|6BPWR|7AME|8RCR|9AART|aRCVC
142	31133 43625	   	195.59	DCR|3VULN|2ASPD|1AART	14ERES|256VULN|36ASPD|6BPWR|7AME|8RCR|9AART|aMULFIG
143	31133 43626	   	195.59	DCR|3VULN|2ASPD|1AART	14ERES|256VULN|36ASPD|6BPWR|7AME|8RCR|9AART|aDMSP
144	66122 31431	 * 	195.58	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1SELL	16VULN|2SELL|3MDPS|4MULFIG|5DMG|78ASPD|9RCR|aAART
145	23122 16331	 * 	195.50	ACR|3VULN|2AART|1ASPD|1CDMG	1RCR|2CGEN|3ASPD|46AART|579VULN|8LWND|aCDMG
146	31133 43623	   	195.49	DCR|3VULN|2ASPD|1AART|1SELL	14ERES|256VULN|36ASPD|6BPWR|7AME|8RCR|9AART|aSELL
147	31133 46623	   	195.49	DCR|3VULN|2ASPD|1AART|1SELL	14ERES|256VULN|36ASPD|6BPWR|7CGEN|8RCR|9AART|aSELL
148	12331 36213	 * 	195.20	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1LWND|2DUR|3DUST|49CDMG|5AART|6VULN|7DMG|8RCR|aASPD
149	63121 43532	   	195.12	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1VULN|2ASPD|3DMG|48DUR|5CDMG|6CGEN|7RCR|9AME|aAART
150	12131 62212	 * 	194.83	DCR|2DMG|1VULN|1AART|2CDMG|1DUR	1LWND|2DUR|39DMG|4CGEN|58CDMG|6VULN|7RCR|aAART
151	12151 62212	   	194.83	DCR|2DMG|1VULN|1AART|2CDMG|1DUR	1LWND|2DUR|39DMG|4AME|58CDMG|6VULN|7RCR|aAART
152	62211 43434	   	194.80	DCR|3VULN|1AART|1CDMG|1DUR	13aVULN|2DUR|4RPLT|5AART|6CDMG|7RCR|8MBVNT|9SPLREG
153	62131 12212	   	194.73	DCR|2DMG|1VULN|1AART|2CDMG|1DUR	1VULN|2DUR|39DMG|4CGEN|58CDMG|6LEGI|7RCR|aAART
154	62151 12212	   	194.73	DCR|2DMG|1VULN|1AART|2CDMG|1DUR	1VULN|2DUR|39DMG|4AME|58CDMG|6LEGI|7RCR|aAART
155	63553 22111	   	194.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	15VULN|23ASPD|4ERES|6CDMG|7DUR|8DMSP|9DMG|aRCR
156	63515 22233	   	194.17	DCR|3VULN|2ASPD|1DMG	19aVULN|23ASPD|49LIT|5DMG|6LHND|7RCR|89FEWX|9BPWR
157	62112 46312	   	194.15	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1VULN|2DUR|3aDMG|48LHND|5ASPD|6AART|7SPLREG|9RCR
158	63121 23211	   	194.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1VULN|2ASPD|39DMG|4DUR|5CDMG|6RMIN|7RCR|8ZMB|aRCVC
