0	Index      	 *	Score 	Summary	Detail	
1	11242 23442	 * 	223.75	DCR|3VULN|2DMG|1AART|2DUR	19DMG|2RMIN|38DUR|479VULN|59CGEN|6RCR|9BPWR|aAART
73	32145 23142	   	203.10	DCR|2VULN|2ASPD|1AART|1DMG	19ERES|29LWND|3DMG|47VULN|59ASPD|6RCR|8RCVC|9BPWR|aAART
74	43145 21222	   	202.96	DCR|3VULN|2DMG|1AART	1LHND|2TLV|37DMG|458VULN|6RCR|9AART|aBEXP
75	13123 25631	   	202.85	ACR|3DMG|1VULN|1AART|1NUKE|1CDMG|1ZMB	137DMG|2RCR|4VULN|5DMSP|6ZMB|8AART|9CDMG|aNUKE
76	13123 25635	   	202.85	ACR|3DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	137DMG|2RCR|4VULN|5DMSP|6ZMB|8AART|9CDMG|aASPD
77	31245 23321	   	202.75	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1ERES|2RMIN|3DUR|47VULN|5ASPD|6RCR|8TLV|9DMG|aAART
78	31245 23143	   	202.67	DCR|3VULN|2ASPD|1ZMB|1DUR	19ERES|2RMIN|3DUR|479VULN|59ASPD|6RCR|8RCVC|9BPWR|aZMB
79	21241 18348	 * 	202.17	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1RPLT|2DMG|34AART|5MBVNT|6CDMG|7aVULN|8DUR|9RCR
80	11242 23162	   	201.90	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2RMIN|3DUR|479VULN|5CGEN|6RCR|8RCVC|aAART
81	21241 18343	 * 	201.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1RPLT|2DMG|34AART|5MBVNT|6CDMG|7VULN|8DUR|9RCR|aASPD
82	11242 26142	   	201.85	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2RMIN|3DUR|49VULN|579CGEN|6RCR|8RCVC|9BPWR|aAART
83	32145 26132	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1ERES|2LWND|3DMG|4aVULN|59ASPD|6RCR|7CGEN|8AART
84	11244 23162	   	201.80	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2RMIN|3DUR|479VULN|5ERES|6RCR|8RCVC|aAART
85	31245 23162	   	201.80	DCR|3VULN|1AART|1ASPD|1DUR	1ERES|2RMIN|3DUR|479VULN|5ASPD|6RCR|8RCVC|aAART
86	36145 23311	   	201.72	DCR|2VULN|2ASPD|1AART|1DMG	1ERES|2DUST|3DMG|47VULN|58ASPD|6RCR|9FEWX|aAART
87	25356 13321	 * 	201.62	DCR|3VULN|1AART|1DMG|1CDMG	1RPLT|237VULN|3BPWR|4CDMG|5FEWX|6RCR|8TLV|9DMG|aAART
88	16122 21152	   	201.56	DCR|3DMG|2VULN|1CDMG|1DUR	137DMG|2DUST|48VULN|5MLV|6RCR|9CDMG|aDUR
89	16121 21152	   	201.46	DCR|3DMG|2VULN|1CDMG|1DUR	137DMG|2DUST|48VULN|5ERES|6RCR|9CDMG|aDUR
90	13123 45216	 * 	201.24	ACR|2AART|2DMG|1VULN|1ASPD|1CDMG|1DUR	13DMG|2RCR|4VULN|5DMSP|69AART|7DUR|8ASPD|aCDMG
91	13123 43315	   	201.17	ACR|3DMG|2VULN|2AART|1DUR	138DMG|2RCR|48VULN|5DMSP|69AART|78CGEN|8BPWR|aDUR
92	56226 23321	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	13ZMB|23DUST|3BPWR|47VULN|5FEWX|6RCR|8ASPD|9DMG|aAART
93	16122 21513	   	200.78	DCR|3DMG|2VULN|1AART	137DMG|2DUST|4aVULN|5MLV|6RCR|8AART|9LWND
94	16122 21523	   	200.78	DCR|3DMG|2VULN|1AART	137DMG|2DUST|4aVULN|5MLV|6RCR|8AART|9FEWX
95	16122 21553	   	200.78	DCR|3DMG|2VULN|1AART	137DMG|2DUST|4aVULN|5MLV|6RCR|8AART|9LHND
96	16121 21513	   	200.68	DCR|3DMG|2VULN|1AART	137DMG|2DUST|4aVULN|5ERES|6RCR|8AART|9LWND
97	16121 21523	   	200.68	DCR|3DMG|2VULN|1AART	137DMG|2DUST|4aVULN|5ERES|6RCR|8AART|9FEWX
98	16121 21553	   	200.68	DCR|3DMG|2VULN|1AART	137DMG|2DUST|4aVULN|5ERES|6RCR|8AART|9LHND
99	22245 13142	   	200.63	DCR|3VULN|2ASPD|1AART|1SELL	1RPLT|2SELL|39ERES|479VULN|59ASPD|6RCR|8RCVC|9BPWR|aAART
100	12154 21122	 * 	200.56	DCR|3DMG|1AART|1VULN|1ASPD	137DMG|2LWND|4AME|5LHND|6RCR|8VULN|9ASPD|aAART
101	16112 21533	   	200.46	DCR|3DMG|1VULN|1AART|1ASPD	137DMG|2DUST|4LWND|5MLV|6RCR|8AART|9ASPD|aVULN
102	16122 21344	   	200.46	DCR|3DMG|1VULN|1AART|1ASPD	137DMG|2DUST|4VULN|5MLV|6RCR|8BELT|9ASPD|aAART
103	16152 21533	   	200.46	DCR|3DMG|1VULN|1AART|1ASPD	137DMG|2DUST|4AME|5LWND|6RCR|8AART|9ASPD|aVULN
104	13121 26435	 * 	200.44	ACR|3VULN|3DMG|1NUKE|1CDMG|2DUR	13aDMG|2RCR|49aVULN|5ERES|6CDMG|7NUKE|8aDUR|aBPWR
105	16111 21533	   	200.36	DCR|3DMG|1VULN|1AART|1ASPD	137DMG|2DUST|4LWND|5ERES|6RCR|8AART|9ASPD|aVULN
106	16122 21533	   	200.36	DCR|3DMG|1VULN|1AART|1ASPD	137DMG|29DUST|4VULN|5MLV|6RCR|8AART|aASPD
107	16121 21533	   	200.26	DCR|3DMG|1VULN|1AART|1ASPD	137DMG|29DUST|4VULN|5ERES|6RCR|8AART|aASPD
108	11222 54223	   	200.26	DCR|3DMG|1VULN|1ASPD|2DUR	159DMG|2RMIN|35DUR|4RCVC|5BPWR|6RCR|7LHND|8VULN|aASPD
109	11222 52223	   	200.16	DCR|3DMG|1VULN|1ASPD|2DUR	159DMG|2RMIN|35DUR|4RCVC|5BPWR|6RCR|7DUST|8VULN|aASPD
110	11112 55631	 * 	200.07	DCR|3DMG|1AART|1NUKE|1CDMG	157DMG|2RMIN|3DMSP|45LWND|5BPWR|6RCR|8AART|9CDMG|aNUKE
111	53122 11634	 * 	199.96	ACR|2VULN|2DMG|3ZMB|1ASPD|2DUR	15aZMB|2RCR|35DMG|4RCVC|5aBPWR|6aVULN|7MULARM|8ASPD|9aDUR
112	25433 23361	   	199.89	DCR|3VULN|2ASPD|1AART	1RPLT|289VULN|3LHND|4AART|59MULFIG|6RCR|79ASPD|9BPWR|aLWND
113	25433 23362	   	199.89	DCR|3VULN|2ASPD|1AART	1RPLT|289VULN|3LHND|4AART|59MULFIG|6RCR|79ASPD|9BPWR|aFEWX
114	11242 23441	   	199.87	DCR|3VULN|2DMG|2DUR	19DMG|2RMIN|38DUR|479VULN|59CGEN|6RCR|9BPWR|aTLV
115	13123 43336	   	199.81	ACR|3DMG|2VULN|1AART|1CDMG|1AAC	138DMG|2RCR|48VULN|5DMSP|6AART|78CGEN|8BPWR|9CDMG|aAAC
116	25433 23363	   	199.79	DCR|3VULN|2ASPD|1AART|1MSE	1RPLT|289VULN|3LHND|4AART|59MULFIG|6RCR|79ASPD|9BPWR|aMSE
117	16235 31321	   	199.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	17DMG|2DUST|3DUR|4CGEN|56VULN|8RCR|9ZMB|aAART
118	11221 56222	   	199.73	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2RMIN|3DUR|4RCVC|5ERES|6aVULN|7AART|8ASPD|9RCR
119	13142 41623	   	199.53	ACR|3DMG|2VULN|1AART|1ASPD	137DMG|2RCR|4RCVC|5AME|6ASPD|8AART|9aVULN
120	13125 31154	   	199.45	ACR|3DMG|2VULN|1ASPD|1CDMG|1ZMB	137DMG|2RCR|48VULN|5ASPD|6BEXP|9CDMG|aZMB
121	13125 11154	   	199.35	ACR|3DMG|2VULN|1ASPD|1CDMG|1ZMB	137DMG|2RCR|48VULN|5ASPD|6DUST|9CDMG|aZMB
122	13125 21165	   	199.35	ACR|3DMG|2VULN|1ASPD|1CDMG|1ZMB	137DMG|2RCR|48VULN|5ASPD|6MBVNT|9CDMG|aZMB
123	12345 21232	   	199.34	DCR|3VULN|2DMG|1ASPD	17DMG|2LWND|3MLV|458VULN|6RCR|9LHND|aASPD
124	21211 65321	   	199.29	DCR|2DMG|2ASPD|1VULN|1AART	1RPLT|2aDMG|3AART|4AME|5VULN|6RMIN|79ASPD|8RCR
125	16345 21232	   	199.24	DCR|3VULN|2DMG|1ASPD	17DMG|2DUST|3MLV|458VULN|6RCR|9LWND|aASPD
126	13123 45211	 * 	199.21	ACR|2AART|2DMG|2ASPD|1VULN|1DUR	13DMG|2RCR|4VULN|5DMSP|69AART|7DUR|8aASPD
127	21251 65321	   	199.19	DCR|2DMG|2ASPD|1VULN|1AART	1RPLT|2aDMG|3AART|4TLV|5VULN|6RMIN|79ASPD|8RCR
128	21211 35311	   	199.16	DCR|3VULN|2DMG|1AART	1RPLT|2aDMG|3AART|4AME|57aVULN|6aBEXP|8RCR|9LEGI|aBPWR
129	21251 35311	   	199.06	DCR|3VULN|2DMG|1AART	1RPLT|2aDMG|3AART|4TLV|57aVULN|6aBEXP|8RCR|9LEGI|aBPWR
130	13136 41623	   	199.01	ACR|3DMG|2VULN|1AART|1ASPD	137DMG|2RCR|4ERES|5RCVC|6ASPD|8AART|9aVULN
131	11242 46222	   	198.98	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2RMIN|3DUR|4aVULN|5CGEN|6RCVC|7AART|8ASPD|9RCR
132	13123 54631	   	198.85	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2RCR|46VULN|5DMSP|7RCVC|8AART|9ASPD|aCDMG
133	21211 65361	   	198.82	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1RPLT|2aDMG|3AART|4aAME|5VULN|6RMIN|7ASPD|8RCR|9aDUR|aBPWR
134	13545 31221	   	198.73	ACR|3VULN|2DMG|1AART|1ASPD	17DMG|2RCR|3TLV|458VULN|6LWND|9AART|aASPD
135	13543 51221	   	198.63	ACR|3VULN|2DMG|1AART|1ASPD	17DMG|2RCR|3TLV|468VULN|5LEGI|9AART|aASPD
136	13545 11221	   	198.63	ACR|3VULN|2DMG|1AART|1ASPD	17DMG|2RCR|3TLV|458VULN|6DUST|9AART|aASPD
137	12345 23132	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|2LWND|3MLV|45VULN|6RCR|7LHND|8AART|9ASPD|aZMB
138	62145 23132	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1CGEN|2LWND|3DMG|45VULN|6RCR|7LHND|8AART|9ASPD|aZMB
139	11326 23143	   	197.93	DCR|3VULN|2DMG|1ZMB	19DMG|2RMIN|3AME|479VULN|59FEWX|6RCR|8RCVC|9BPWR|aZMB
140	11442 23143	   	197.93	DCR|3VULN|2DMG|1ZMB	19DMG|2RMIN|3LWND|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aZMB
141	12542 23143	   	197.93	DCR|3VULN|2DMG|1ZMB	19DMG|2LWND|3RMIN|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aZMB
142	32145 23224	   	197.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ERES|2LWND|3DMG|47VULN|5ASPD|6RCR|8DUST|9ZMB|aAART
143	11642 23143	   	197.83	DCR|3VULN|2DMG|1ZMB	19DMG|2RMIN|3DUST|479VULN|59CGEN|6RCR|8RCVC|9BPWR|aZMB
144	16126 23353	   	197.56	DCR|2VULN|2DMG|1ASPD|1CDMG	13DMG|29DUST|47VULN|5FEWX|6RCR|8ASPD|aCDMG
145	16344 23323	   	197.56	DCR|2VULN|2DMG|1ASPD|1CDMG	19DMG|2DUST|3MLV|47VULN|5ERES|6RCR|8ASPD|aCDMG
146	16345 22323	   	197.56	DCR|2VULN|2DMG|1ASPD|1CDMG	19DMG|2DUST|3MLV|45VULN|6RCR|7ERES|8ASPD|aCDMG
147	32145 23323	   	197.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1ERES|2LWND|39DMG|47VULN|5ASPD|6RCR|8TLV|aCDMG
148	53122 16221	   	197.53	ACR|2VULN|2DMG|1AART|1ASPD|2ZMB	15ZMB|2RCR|35DMG|4RCVC|5BPWR|68VULN|7LHND|9AART|aASPD
149	13125 14341	   	197.52	ACR|3DMG|2VULN|2ASPD|1ZMB	139DMG|2RCR|49VULN|58ASPD|6DUST|79AME|9BPWR|aZMB
150	53122 14221	   	197.43	ACR|2VULN|2DMG|1AART|1ASPD|2ZMB	15ZMB|2RCR|35DMG|4RCVC|5BPWR|68VULN|7LEGI|9AART|aASPD
151	13125 31152	   	197.43	ACR|3DMG|2VULN|1ASPD|1CDMG|1DUR	137DMG|2RCR|48VULN|5ASPD|6BEXP|9CDMG|aDUR
152	13126 61152	   	197.43	ACR|3DMG|2VULN|1ASPD|1CDMG|1DUR	137DMG|2RCR|48VULN|5FEWX|6ASPD|9CDMG|aDUR
153	13112 22364	   	197.42	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|49LWND|5MLV|6CDMG|789VULN|9BPWR|aZMB
154	13122 21364	   	197.42	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|489VULN|5MLV|6CDMG|79LHND|9BPWR|aZMB
155	13122 22164	   	197.42	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|479VULN|5MLV|6CDMG|89LWND|9BPWR|aZMB
156	13122 22264	   	197.42	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|479VULN|5MLV|6CDMG|89BEXP|9BPWR|aZMB
157	13152 22364	   	197.42	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|49AME|5LWND|6CDMG|789VULN|9BPWR|aZMB
158	53143 31225	   	197.40	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCR|37DMG|468VULN|5LHND|9AART|aDUR
159	21211 34311	 * 	197.40	DCR|2VULN|2AART|2DMG	1RPLT|2aDMG|37AART|4AME|5aVULN|6aBEXP|8RCR|9LEGI|aBPWR
160	13125 11152	   	197.33	ACR|3DMG|2VULN|1ASPD|1CDMG|1DUR	137DMG|2RCR|48VULN|5ASPD|6DUST|9CDMG|aDUR
161	13125 21162	   	197.33	ACR|3DMG|2VULN|1ASPD|1CDMG|1DUR	137DMG|2RCR|48VULN|5ASPD|6MBVNT|9CDMG|aDUR
162	13125 12341	   	197.32	ACR|3DMG|2VULN|2ASPD|1ZMB	139DMG|2RCR|49VULN|58ASPD|6DUST|79ERES|9BPWR|aZMB
163	13125 63341	   	197.32	ACR|3DMG|2VULN|2ASPD|1ZMB	139DMG|2RCR|49VULN|58ASPD|6ERES|79DUST|9BPWR|aZMB
164	13125 21281	   	197.32	ACR|3DMG|2VULN|2ASPD|1ZMB	137DMG|2RCR|49VULN|59ASPD|6MBVNT|89ERES|9BPWR|aZMB
165	13111 22364	   	197.32	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|49LWND|5ERES|6CDMG|789VULN|9BPWR|aZMB
166	13121 21364	   	197.32	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|489VULN|5ERES|6CDMG|79LHND|9BPWR|aZMB
167	13121 22164	   	197.32	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|479VULN|5ERES|6CDMG|89LWND|9BPWR|aZMB
168	13121 22264	   	197.32	ACR|3VULN|3DMG|1CDMG|1ZMB	139DMG|2RCR|479VULN|5ERES|6CDMG|89BEXP|9BPWR|aZMB
169	21251 34311	   	197.30	DCR|2VULN|2AART|2DMG	1RPLT|2aDMG|37AART|4TLV|5aVULN|6aBEXP|8RCR|9LEGI|aBPWR
