0	Index      	 *	Score 	Summary	Detail	
1	22235 43251	 * 	219.04	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	17DMG|27LIT|3LWND|4ASPD|57DUR|6RCR|7BPWR|8aVULN|9AART
51	26333 16224	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ERES|3CDMG|4LWND|5DUR|6ASPD|7RCR|8VULN|9AART|aZMB
52	22116 32531	 * 	199.90	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	19DMG|2LIT|3CGEN|4aASPD|5AART|6RCR|7DUR|8CDMG
53	22316 32531	   	199.90	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	19DMG|2LIT|3MLV|4aASPD|5AART|6RCR|7DUR|8CDMG
54	13413 31141	 * 	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|269VULN|3ERES|4AART|5CDMG|7RCR|8LHND|aDMG
55	33315 31141	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|269VULN|3ERES|4AART|5CDMG|7RCR|8LHND|aDMG
56	51123 35142	 * 	199.55	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1ZMB	16CDMG|2MDPS|3FEWX|45VULN|7RCR|8ZMB|9AART|aDMG
57	52122 51613	   	199.43	DCR|3VULN|3CDMG|1AART	19aCDMG|2AME|3AART|4RCVC|5BELT|6RCR|79aLHND|89aVULN|9aBPWR
58	52122 52613	   	199.43	DCR|3VULN|3CDMG|1AART	19aCDMG|2AME|3AART|4RCVC|5BELT|6RCR|79aLWND|89aVULN|9aBPWR
59	52122 54213	   	199.43	DCR|3VULN|3CDMG|1AART	19aCDMG|2AME|3AART|4RCVC|5BELT|6RCR|79aVULN|89aBEXP|9aBPWR
60	26332 23551	   	199.06	DCR|2DMG|1AART|1VULN|1NUKE|1CDMG	16DMG|2ERES|3CDMG|4LWND|5AME|7RCR|8VULN|9AART|aNUKE
61	32312 23132	 * 	198.88	DCR|2AART|2DMG|2CDMG|1ASPD	1BEXP|25CDMG|3LHND|46DMG|7RCR|89AART|aASPD
62	53312 23132	   	198.88	DCR|2AART|2DMG|2CDMG|1ASPD	15CDMG|2BEXP|3LHND|46DMG|7RCR|89AART|aASPD
63	13313 22531	 * 	198.81	DCR|3VULN|2DMG|1AART|1SELL	17FEWX|259VULN|3SELL|46DMG|8RCR|aAART
64	22235 43252	   	198.56	DCR|2DMG|1AART|1VULN|1ASPD|2DUR|1MSE	17DMG|27LIT|3LWND|4ASPD|57DUR|6RCR|7BPWR|8VULN|9AART|aMSE
65	22235 43253	   	198.56	DCR|2DMG|1AART|1VULN|1ASPD|2DUR	17DMG|27LIT|3LWND|4ASPD|57DUR|6RCR|7BPWR|8VULN|9AART|aDUST
66	51321 52316	   	198.29	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MDPS|3AART|48VULN|5ZMB|6RCR|7LIT|9RMIN|aDMG
67	22531 44312	   	197.91	DCR|2AART|1VULN|1ASPD|1DMG|1DUR|2RMIN	1DMG|2LIT|3ASPD|4DUR|58RMIN|69AART|7RCR|aVULN
68	26333 16261	   	197.80	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1aDMG|2ERES|3CDMG|4LWND|5DUR|69ASPD|7RCR|8VULN
69	55111 21334	   	197.65	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1ZMB	19CDMG|29CGEN|3AART|4ERES|5DMG|69VULN|7MDPS|8RCR|9BPWR|aZMB
70	13413 32341	   	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1FEWX|269VULN|3ERES|4AART|5CDMG|7LHND|8RCR|aDMG
71	33315 32341	   	197.62	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|269VULN|3ERES|4AART|5CDMG|7LHND|8RCR|aDMG
72	33656 32123	 * 	197.33	DCR|4VULN|2DMG|1MDPS|1DUR	1BEXP|2678VULN|3DUR|4MDPS|5aDMG|9RCR
73	21412 12551	 * 	197.26	DCR|3VULN|2DMG|1AART	17DMG|27CGEN|3LWND|4BEXP|5BELT|678VULN|7BPWR|9RCR|aAART
74	21622 12551	   	197.26	DCR|3VULN|2DMG|1AART	17DMG|27CGEN|3BEXP|4LWND|5BELT|678VULN|7BPWR|9RCR|aAART
75	51321 54133	 * 	197.24	DCR|2AART|1MDPS|1VULN|2CDMG|1DMG|1ZMB	17CDMG|2MDPS|3aAART|4VULN|5ZMB|6RCR|8MULARM|9DMG
76	21432 12551	   	197.16	DCR|3VULN|2DMG|1AART	17DMG|27CGEN|3LWND|4DUST|5BELT|678VULN|7BPWR|9RCR|aAART
77	13313 15241	 * 	197.10	DCR|3VULN|2DMG|1ASPD|1SELL	1FEWX|258VULN|3SELL|49DMG|6LIT|7RCR|aASPD
78	22131 36264	   	197.03	DCR|3VULN|1ASPD|1DMG|1ZMB	1DMG|2LIT|3CGEN|48aVULN|5RMIN|6ASPD|7RCR|9ZMB
79	26232 12551	   	196.96	DCR|3VULN|2DMG|1AART	17DMG|27ERES|3DUST|4LWND|5BELT|678VULN|7BPWR|9RCR|aAART
80	22116 31541	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|8VULN|9aDUR
81	22316 31541	   	196.95	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	1DMG|2LIT|3MLV|4ASPD|57AART|6RCR|8VULN|9aDUR
82	32312 23555	   	196.86	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1BEXP|25CDMG|3LHND|46DMG|7RCR|8VULN|9AART|aZMB
83	22516 12321	 * 	196.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|2LIT|34ASPD|57VULN|6RCVC|8CDMG|9DUR|aRCR
84	22231 44531	   	196.54	DCR|2DMG|2ASPD|1AART|1CDMG	19DMG|2LIT|3LWND|4aASPD|5RMIN|6AART|7RCR|8CDMG
85	22235 41251	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2LIT|37LWND|4ASPD|5DUR|6RCR|8aVULN|9AART
86	22116 32441	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2LIT|3CGEN|4ASPD|5AART|6RCR|7DUR|8ERES|9aVULN
87	22116 35351	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2LIT|3CGEN|4ASPD|5AART|6RCR|7TLV|8aVULN|9DUR
88	21313 45241	 * 	195.66	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC	19DMG|2CGEN|3CDMG|4LIT|58VULN|6AAC|7RCR|aASPD
89	24351 23421	   	195.64	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2RCVC|3BELT|4MLV|5VULN|6CDMG|7RCR|8ASPD|9ZMB|aAART
90	64311 23421	   	195.64	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2RCVC|3BELT|4DMG|5VULN|6CDMG|7RCR|8ASPD|9ZMB|aAART
91	13313 25552	 * 	195.10	DCR|3VULN|2DMG|1ASPD|1SELL	1FEWX|257VULN|3SELL|46DMG|8RCR|9ASPD|aDMSP
92	13313 25553	 * 	195.10	DCR|3VULN|2DMG|1ASPD|1SELL	1FEWX|257VULN|3SELL|46DMG|8RCR|9ASPD|aBEXP
93	26322 33551	   	195.02	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|2DUR	1DMG|2ERES|3CDMG|46DUR|5AME|7RCR|8VULN|9AART|aNUKE
94	13313 25551	 * 	195.00	DCR|3VULN|2DMG|1ASPD|1SELL	1FEWX|257VULN|3SELL|46DMG|8RCR|9ASPD|aDUST
95	32312 23554	   	194.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1BEXP|25CDMG|3LHND|46DMG|7RCR|8VULN|9AART|aDUR
96	22516 52321	   	194.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|26LIT|34ASPD|57VULN|8CDMG|9DUR|aRCR
97	21343 23532	   	194.65	DCR|3DMG|1AART|1VULN|1CDMG	169DMG|2CGEN|3CDMG|4TLV|5LWND|7RCR|8VULN|aAART
98	21346 23532	   	194.65	DCR|3DMG|1VULN|1AART|1CDMG	169DMG|2CGEN|3CDMG|4TLV|5LHND|7RCR|8VULN|aAART
99	21363 21532	   	194.65	DCR|3DMG|1VULN|1AART|1CDMG|1AAC	169DMG|2CGEN|3CDMG|4AAC|5LWND|7RCR|8VULN|aAART
100	21366 21532	   	194.65	DCR|3DMG|1AART|1VULN|1CDMG|1AAC	169DMG|2CGEN|3CDMG|4AAC|5LHND|7RCR|8VULN|aAART
101	52132 54322	   	194.40	DCR|2VULN|2AART|1CDMG|1ZMB	1CDMG|2AME|34AART|5BELT|6RCR|7aVULN|8ZMB|9RMIN
102	22131 44533	   	194.34	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	19DMG|2LIT|3CGEN|4VULN|5RMIN|6AART|7RCR|8CDMG|aDUR
103	22331 44533	   	194.34	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	19DMG|2LIT|3MLV|4VULN|5RMIN|6AART|7RCR|8CDMG|aDUR
104	54315 23132	   	194.34	DCR|2AART|2DMG|1ASPD|1CDMG	1CDMG|26DMG|3BEXP|4RCVC|5LWND|7RCR|89AART|aASPD
105	54316 23132	   	194.34	DCR|2AART|2DMG|1ASPD|1CDMG	1CDMG|26DMG|3BEXP|4RCVC|5LHND|7RCR|89AART|aASPD
106	21322 23562	   	194.34	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	16DMG|2CGEN|3CDMG|4DUR|5AME|7RCR|8aVULN|9ZMB
107	51321 52326	   	194.12	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MDPS|3AART|48VULN|5ZMB|6RCR|7LIT|9CGEN|aDMG
108	33315 31135	 * 	194.08	DCR|3VULN|1SPLARM|1AART|1CDMG	1BEXP|26aVULN|3ERES|4AART|5CDMG|7RCR|8LHND|9SPLARM
109	51321 52336	   	194.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1CDMG|2MDPS|3AART|48VULN|5ZMB|6RCR|7LIT|9ERES|aDMG
110	22313 35211	 * 	193.92	DCR|2VULN|2ASPD|2CDMG|1DMG	1DMG|28LIT|3MLV|49ASPD|58CDMG|6ERES|78VULN|8BPWR|aRCR
111	22553 35211	   	193.92	DCR|2VULN|2ASPD|2CDMG|1DMG	1DMG|28LIT|39ASPD|4MLV|58CDMG|6ERES|78VULN|8BPWR|aRCR
112	26323 55132	   	193.85	DCR|3DMG|1VULN|2CDMG|2DUR	189DMG|2ERES|37CDMG|45DUR|6RCR|aVULN
113	13437 41413	 * 	193.79	DCR|3VULN|1SPLARM|1AART|1ASPD	1FEWX|27aVULN|3ERES|4MBVNT|5SPLARM|6AART|8ASPD|9RCR
114	33337 41413	   	193.79	DCR|3VULN|1SPLARM|1AART|1ASPD	1BEXP|27aVULN|3ERES|4MBVNT|5SPLARM|6AART|8ASPD|9RCR
115	22313 64422	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1DMG|2LIT|3MLV|46ASPD|5CDMG|7AART|8RCR|9VULN|aBEXP
116	22313 64423	   	193.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1DMG|2LIT|3MLV|46ASPD|5CDMG|7AART|8RCR|9VULN|aLWND
117	22116 31531	   	193.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|8VULN|9MLV|aZMB
118	22116 31561	   	193.63	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|8VULN|9TLV|aZMB
119	51123 16336	 * 	193.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1CDMG|2MDPS|3FEWX|457VULN|6AART|8ASPD|9VENFST|aRCR
120	13312 13211	 * 	193.53	DCR|2DMG|3CDMG|1AART|1VULN|1SELL	18FEWX|2VULN|3SELL|48DMG|568CDMG|7RCR|8BPWR|9LIT|aAART
121	51362 34411	 * 	193.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2MDPS|34AART|5DMG|6VULN|7MBVNT|8ASPD|9RCR|aAME
122	51362 34412	   	193.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2MDPS|34AART|5DMG|6VULN|7MBVNT|8ASPD|9RCR|aLHND
123	51362 34414	   	193.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2MDPS|34AART|5DMG|6VULN|7MBVNT|8ASPD|9RCR|aLWND
124	22131 36263	   	193.42	DCR|2VULN|2ASPD|1DMG|1ZMB	1DMG|2LIT|3CGEN|48VULN|5RMIN|6aASPD|7RCR|9ZMB
125	51362 34413	   	193.34	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1MSE	1CDMG|2MDPS|34AART|5DMG|6VULN|7MBVNT|8ASPD|9RCR|aMSE
126	22116 31513	 * 	193.29	DCR|3AART|1MDPS|1VULN|1ASPD|1DMG	1DMG|2LIT|3CGEN|4ASPD|579AART|6RCR|8VULN|aMDPS
127	22316 31513	   	193.29	DCR|3AART|1MDPS|1VULN|1ASPD|1DMG	1DMG|2LIT|3MLV|4ASPD|579AART|6RCR|8VULN|aMDPS
128	22516 13231	   	193.26	DCR|2DMG|2ASPD|1VULN|2CDMG	18DMG|28LIT|34ASPD|5VULN|6RCVC|78CDMG|8BPWR|9FEWX|aRCR
129	25241 36231	   	193.25	DCR|3DMG|2VULN|1CDMG	178DMG|24AME|38VULN|58CANARM|6RCR|8BPWR|9CDMG|aERES
130	25251 36231	   	193.25	DCR|3DMG|2VULN|1CDMG	178DMG|2AME|38VULN|4DMSP|58CANARM|6RCR|8BPWR|9CDMG|aERES
131	22516 13211	   	193.16	DCR|2DMG|2ASPD|1VULN|2CDMG	18DMG|28LIT|34ASPD|5VULN|6RCVC|78CDMG|8BPWR|9LEGI|aRCR
132	13313 22521	 * 	192.92	DCR|3DMG|2VULN|1NUKE|1SELL	17FEWX|25VULN|3SELL|469DMG|8RCR|aNUKE
133	13313 15245	   	192.88	DCR|4VULN|2DMG|1SELL	1FEWX|258aVULN|3SELL|49DMG|6LIT|7RCR
134	22116 31143	 * 	192.86	DCR|3DMG|2AART|1ASPD	18aDMG|29LIT|3CGEN|4ASPD|57AART|6RCR
135	52141 51132	   	192.71	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2AME|3AART|4ASPD|5DMG|6DUR|7MDPS|8SPLREG|9RCR|aVULN
136	24411 26231	   	192.67	DCR|2DMG|1AART|1ASPD|1CDMG|2DUR	15DMG|2RCVC|3CDMG|4CGEN|6ASPD|7RCR|89DUR|aAART
137	22131 36451	   	192.64	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3CGEN|4aVULN|5RMIN|6ASPD|7RCR|8LWND|9AART
138	22231 16251	   	192.64	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3LWND|4ASPD|5RMIN|6CGEN|7RCR|8aVULN|9AART
139	22231 56251	   	192.64	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3LWND|4ASPD|5RMIN|6AME|7RCR|8aVULN|9AART
140	22251 36251	   	192.64	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3LWND|4CGEN|5RMIN|6ASPD|7RCR|8aVULN|9AART
141	22521 16251	   	192.64	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3ASPD|4LWND|5RMIN|6CGEN|7RCR|8aVULN|9AART
142	31236 36251	   	192.64	DCR|2VULN|1AART|1ASPD|1DMG	1BEXP|2RMIN|3LIT|4ASPD|5CGEN|6DMG|7RCR|8aVULN|9AART
143	22131 36351	   	192.54	DCR|2VULN|1AART|1ASPD|1DMG	1DMG|2LIT|3CGEN|4aVULN|5RMIN|6ASPD|7RCR|8DUST|9AART
144	24351 23423	   	192.24	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2RCVC|3BELT|4MLV|5aVULN|6CDMG|7RCR|8ASPD|9ZMB
145	64311 23423	   	192.24	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2RCVC|3BELT|4DMG|5aVULN|6CDMG|7RCR|8ASPD|9ZMB
146	52122 51612	   	192.17	DCR|3VULN|1AART|2CDMG	19CDMG|2AME|3AART|4RCVC|5BELT|6RCR|79LHND|89aVULN|9BPWR
147	52122 52612	   	192.17	DCR|3VULN|1AART|2CDMG	19CDMG|2AME|3AART|4RCVC|5BELT|6RCR|79LWND|89aVULN|9BPWR
148	52122 54212	   	192.17	DCR|3VULN|1AART|2CDMG	19CDMG|2AME|3AART|4RCVC|5BELT|6RCR|79aVULN|89BEXP|9BPWR
149	13413 31315	   	192.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1FEWX|26VULN|3ERES|4AART|5CDMG|7RCR|8CGEN|9DMG|aZMB
150	33315 31315	   	192.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|26VULN|3ERES|4AART|5CDMG|7RCR|8CGEN|9DMG|aZMB
151	33315 32335	   	192.08	DCR|3VULN|1SPLARM|1AART|1CDMG	1BEXP|26aVULN|3ERES|4AART|5CDMG|7LHND|8RCR|9SPLARM
152	21112 36521	   	192.07	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2CGEN|3TLV|4AART|57VULN|6ASPD|8DUR|9RMIN|aRCR
153	52122 54323	   	192.05	DCR|2VULN|1AART|2CDMG|2ZMB	1aCDMG|2AME|3AART|4RCVC|5BELT|6RCR|7aVULN|8aZMB|9RMIN|aBPWR
154	26112 36521	   	191.97	DCR|2VULN|1AART|1DMG|1ASPD|1DUR	1DMG|2ERES|3TLV|4AART|57VULN|6ASPD|8DUR|9RMIN|aRCR
155	22531 43313	   	191.91	DCR|2AART|1VULN|1ASPD|1DMG|1DUR|2RMIN	1DMG|2LIT|3ASPD|4DUR|58RMIN|69AART|7VULN|aRCR
156	41311 23561	   	191.90	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	12CGEN|3BELT|4DMG|5VULN|6CDMG|7RCR|8ZMB|9ASPD|aAART
157	22116 32551	   	191.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DMG|2LIT|3CGEN|4ASPD|5AART|6RCR|7DUR|8CDMG|9RPLT|aVULN
158	22316 32551	   	191.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2LIT|3MLV|4ASPD|5AART|6RCR|7DUR|8CDMG|9RPLT|aVULN
159	51362 31126	 * 	191.86	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	1CDMG|2MDPS|34AART|5DMG|69VULN|7FEWX|8MULARM|aRCR
160	22116 31345	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DMG|2LIT|3CGEN|4ASPD|57AART|6RCR|8LWND|9DUR|aVULN
