0	Index      	 *	Score 	Summary	Detail	
1	61216 21143	 * 	223.31	DCR|2DMG|2ASPD|1VULN|2CDMG|1AART|1DUR	1LIT|29CDMG|3LHND|4AART|5DUR|69DMG|7VULN|89ASPD|9BPWR|aRCR
26	61411 13151	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3ASPD|4DUR|5FEWX|6DMG|78aVULN|9RCR
27	34531 11151	   	200.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	18aVULN|2DUST|3LIT|4CDMG|5ASPD|6DMG|7DUR|9RCR
28	61413 13151	   	200.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2CDMG|3ASPD|4DUR|5DUST|6DMG|78aVULN|9RCR
29	31531 11651	   	200.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1aVULN|2FEWX|3LIT|4CDMG|5ASPD|68DMG|7DUR|9RCR
30	32531 11651	   	200.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1aVULN|2BEXP|3LIT|4CDMG|5ASPD|68DMG|7DUR|9RCR
31	61231 13651	   	200.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1LIT|2CDMG|3LHND|4DUR|5ASPD|68DMG|7aVULN|9RCR
32	33162 31253	 * 	199.62	ACR|2VULN|2DMG|2ASPD|1AART|1AAC|1DUR	19VULN|2LWND|3RPLT|4RCR|59DMG|6AART|79ASPD|8AAC|9BPWR|aDUR
33	61411 13253	   	199.35	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR	1LIT|2CDMG|3aASPD|4aDUR|5FEWX|6aDMG|7VULN|8MLV|9RCR|aBPWR
34	61413 13253	   	199.25	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR	1LIT|2CDMG|3aASPD|4aDUR|5DUST|6aDMG|7VULN|8MLV|9RCR|aBPWR
35	22124 53143	   	198.17	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1DLOT|2LIT|39BEXP|4ASPD|5DUR|69DMG|7CDMG|89VULN|9BPWR|aRCR
36	31434 11252	   	197.69	DCR|3DMG|2VULN|1CDMG|1ZMB	16VULN|2FEWX|3ZMB|456DMG|6BPWR|7CDMG|8ERES|9RCR|aRPLT
37	31434 11251	   	197.59	DCR|3DMG|2VULN|1CDMG|1ZMB	16VULN|2FEWX|3ZMB|456DMG|6BPWR|7CDMG|8ERES|9RCR|aDLOT
38	33221 16451	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	19VULN|2LWND|3AIRARM|4AART|5ASPD|6BEXP|78DMG|aRCR
39	33443 14472	   	196.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|2LWND|3ZMB|4DUR|57ASPD|6MBVNT|8RCR|9AART|aDMG
40	32125 32662	 * 	196.00	DCR|3VULN|2AART|1CDMG	158VULN|25BEXP|3RPLT|47AART|5BPWR|6CDMG|9RCR|aRMIN
41	31126 32652	   	195.90	DCR|3VULN|2AART|1CDMG	158VULN|2FEWX|3RPLT|47AART|6CDMG|9RCR|aRMIN
42	35116 12162	   	195.46	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	14VULN|2AAC|3AME|5ZMB|6RCR|7LIT|8aDMG|9AART
43	32463 51312	 * 	194.56	DCR|1SPLARM|2VULN|1AART|1CDMG|2ZMB	1aVULN|2BEXP|3aZMB|4CDMG|5RCVC|6RCR|7AART|8SPLARM|9aMLV|aBPWR
44	33221 41363	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19VULN|2LWND|3AIRARM|4AART|5ASPD|6DUR|7RCR|8FEWX|aDMG
45	36221 41363	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19VULN|2LHND|3AIRARM|4AART|5ASPD|6DUR|7RCR|8FEWX|aDMG
46	33221 41463	   	193.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	19VULN|2LWND|38AIRARM|4AART|5ASPD|6DUR|7RCR|aDMG
47	32423 22635	 * 	193.35	DCR|3VULN|3ZMB|1ASPD|2DUR	169VULN|2BEXP|379ZMB|4DUST|5ASPD|89DUR|9BPWR|aRCR
48	33423 22635	   	193.35	DCR|3VULN|3ZMB|1ASPD|2DUR	169VULN|2LWND|379ZMB|4DUST|5ASPD|89DUR|9BPWR|aRCR
