0	Index      	 *	Score 	Summary	Detail	
1	34233 33246	 * 	225.41	DCR|3VULN|3DMG|2CDMG|1AAC|1SELL	1RMIN|24aVULN|3aCDMG|5AAC|6RCR|78aDMG|9SELL|aBPWR
48	34233 33314	   	202.47	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79DMG|89CGEN|9BPWR|aDUST
49	34233 35211	   	202.37	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79TLV|89DMG|9BPWR|aLHND
50	34233 35216	   	202.37	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79TLV|89DMG|9BPWR|aMLV
51	34233 33265	   	202.27	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|24aVULN|3CDMG|5AAC|6RCR|78DMG|9TLV
52	34233 35212	   	202.27	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79TLV|89DMG|9BPWR|aERES
53	34233 35213	   	202.27	DCR|3VULN|2DMG|1CDMG|1AAC|1MSE	1RMIN|249VULN|3CDMG|5AAC|6RCR|79TLV|89DMG|9BPWR|aMSE
54	34233 35214	   	202.27	DCR|3VULN|2DMG|1CDMG|1AAC	1RMIN|249VULN|3CDMG|5AAC|6RCR|79TLV|89DMG|9BPWR|aDUST
55	34233 33242	   	202.12	DCR|3VULN|2DMG|1CDMG|1AAC|1SELL	1RMIN|24aVULN|3CDMG|5AAC|6RCR|78DMG|9SELL
56	11661 33151	 * 	202.03	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG|1ZMB	1BELT|25ASPD|36AART|4MDPS|5BPWR|7RCR|8ZMB|9VULN|aCDMG
57	33426 13234	 * 	201.86	DCR|2AART|2DMG|1VULN|1CDMG|1SELL	1RMIN|2SELL|34AART|59DMG|6AME|7RCR|8VULN|aCDMG
58	34241 42312	 * 	201.63	DCR|3VULN|2ASPD|1CDMG|1ZMB	1RMIN|289VULN|3CDMG|49LHND|5ZMB|6CGEN|79ASPD|9BPWR|aRCR
59	11631 12671	   	201.54	DCR|2VULN|2ASPD|1AART|2CDMG	1BELT|29ASPD|3AART|4MBVNT|5DUST|69VULN|79CDMG|8RCR|9BPWR|aAME
60	11631 12674	   	201.54	DCR|2VULN|2ASPD|1AART|2CDMG	1BELT|29ASPD|3AART|4MBVNT|5DUST|69VULN|79CDMG|8RCR|9BPWR|aBEXP
61	34612 33315	   	201.52	DCR|3VULN|1DMG|1CDMG|2ZMB	1RMIN|29aVULN|39AME|4RCVC|5CDMG|6RCR|7DMG|89ZMB|9BPWR
62	33412 21612	   	200.72	DCR|2VULN|2ASPD|1AART|1DMG|1AAC|1SELL	1RMIN|2SELL|3AART|49FEWX|5DMG|69VULN|79ASPD|8AAC|9BPWR|aRCR
63	34622 33315	   	199.90	DCR|3VULN|1DMG|1CDMG|2ZMB|2RMIN	14RMIN|29aVULN|39AME|5CDMG|6RCR|7DMG|89ZMB|9BPWR
64	11225 24361	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1BELT|2ASPD|3AME|4DMG|5AART|67aVULN|8AAC|9RCR
65	11225 33253	 * 	198.56	DCR|3DMG|1VULN|1AART|1ASPD	1BELT|2ASPD|3AME|489DMG|5AART|6MLV|7RCR|aVULN
66	21326 61163	   	198.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AELBLL|2VULN|3ZMB|4LHND|5CDMG|6DUR|7DMG|8RCR|9ASPD|aAART
67	21326 62163	   	198.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AELBLL|2VULN|3ZMB|4LHND|5CDMG|6DUR|7ASPD|8RCR|9DMG|aAART
68	21316 61163	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AELBLL|2VULN|3ZMB|4LEGI|5CDMG|6DUR|7DMG|8RCR|9ASPD|aAART
69	21316 62163	   	198.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AELBLL|2VULN|3ZMB|4LEGI|5CDMG|6DUR|7ASPD|8RCR|9DMG|aAART
70	34312 31211	   	198.05	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39MLV|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aLHND
71	34312 31216	   	198.05	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39aMLV|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR
72	34312 31212	   	197.95	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39MLV|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aERES
73	34312 31213	   	197.95	DCR|2VULN|2DMG|1CDMG|1ZMB|1MSE	1RMIN|29VULN|39MLV|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aMSE
74	34312 31214	   	197.95	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39MLV|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aDUST
75	34512 31211	   	197.85	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39ERES|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aLHND
76	34512 31213	   	197.85	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39ERES|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aFEWX
77	34512 31216	   	197.85	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39ERES|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aMLV
78	34512 31214	   	197.75	DCR|2VULN|2DMG|1CDMG|1ZMB	1RMIN|29VULN|39ERES|4RCVC|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aDUST
79	34216 31234	   	197.45	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1RMIN|27VULN|3CDMG|4LWND|5DMG|6RCR|8ASPD|9CGEN|aZMB
80	34226 31234	   	197.45	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1RMIN|27VULN|3CDMG|4BEXP|5DMG|6RCR|8ASPD|9CGEN|aZMB
81	34211 31223	   	197.20	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1RMIN|27VULN|3CDMG|4LWND|5ZMB|6RCR|8ASPD|9SELL|aDMG
82	34216 31226	   	197.20	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1RMIN|27VULN|3CDMG|4LWND|5DMG|6RCR|8ASPD|9SELL|aZMB
83	34221 31223	   	197.20	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1RMIN|27VULN|3CDMG|4BEXP|5ZMB|6RCR|8ASPD|9SELL|aDMG
84	34241 31223	   	197.20	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1RMIN|27VULN|3CDMG|4LHND|5ZMB|6RCR|8ASPD|9SELL|aDMG
85	34252 31223	   	197.20	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1RMIN|27VULN|3CDMG|4ZMB|5LWND|6RCR|8ASPD|9SELL|aDMG
86	34253 31223	   	197.20	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1RMIN|27VULN|3CDMG|4ZMB|5BEXP|6RCR|8ASPD|9SELL|aDMG
87	13513 65131	   	196.70	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG|1DUR	1BELT|2DUR|3MDPS|46VULN|56ASPD|6BPWR|7CGEN|8CDMG|9RCR|aDMG
88	34216 31216	   	196.69	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|2RMIN	19RMIN|27VULN|3CDMG|4LWND|5DMG|6RCR|8ASPD|aDUR
89	34226 31216	   	196.69	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR|2RMIN	19RMIN|27VULN|3CDMG|4BEXP|5DMG|6RCR|8ASPD|aDUR
90	34322 31211	   	196.44	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39MLV|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aLHND
91	34322 31216	   	196.44	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39aMLV|5CDMG|6RCR|7ZMB|89DMG|9BPWR
92	34233 31255	   	196.38	DCR|3VULN|1DMG|1CDMG|1AAC|1ZMB|2RMIN	19RMIN|24aVULN|3CDMG|5AAC|6RCR|7ZMB|8DMG
93	34322 31212	   	196.34	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39MLV|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aERES
94	34322 31213	   	196.34	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN|1MSE	14RMIN|29VULN|39MLV|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aMSE
95	34322 31214	   	196.34	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39MLV|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aDUST
96	34522 31211	   	196.24	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39ERES|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aLHND
97	34522 31213	   	196.24	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39ERES|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aFEWX
98	34522 31216	   	196.24	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39ERES|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aMLV
99	34522 31214	   	196.14	DCR|2VULN|2DMG|1CDMG|1ZMB|2RMIN	14RMIN|29VULN|39ERES|5CDMG|6RCR|7ZMB|89DMG|9BPWR|aDUST
100	13513 66212	   	196.03	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR|1ZMB	1BELT|2aDUR|3MDPS|46VULN|56ASPD|6BPWR|7DMG|8ZMB|9RCR
101	23366 11263	 * 	195.99	DCR|3DMG|3CDMG|1VULN|1ZMB	13AELBLL|236CDMG|36BPWR|4BELT|569DMG|7RCR|8ZMB|aVULN
102	11661 33353	   	195.83	DCR|2VULN|2AART|1MDPS|2ASPD	1BELT|25ASPD|36AART|4MDPS|5BPWR|7RCR|8CGEN|9aVULN
103	34216 31212	   	195.81	DCR|2VULN|2CDMG|1ASPD|1DMG|2RMIN	19RMIN|27VULN|3aCDMG|4LWND|5DMG|6RCR|8ASPD
104	34226 31212	   	195.81	DCR|2VULN|2CDMG|1ASPD|1DMG|2RMIN	19RMIN|27VULN|3aCDMG|4BEXP|5DMG|6RCR|8ASPD
105	11213 23555	 * 	195.55	DCR|3VULN|2AART|1ASPD	1BELT|2ASPD|3AME|4DMSP|5aAART|678VULN|9RCR
