0	Index      	 *	Score 	Summary	Detail	
1	44331 32433	 * 	221.50	DCR|2VULN|2ASPD|1AART|2CDMG|1NUKE	1TLV|2MBVNT|36CDMG|46ASPD|5AART|6BPWR|79VULN|8RCR|aNUKE
35	32631 11244	   	209.52	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	14ASPD|2AART|36CDMG|5DMG|7DMSP|8RCR|9VULN|aDUR
36	32631 36613	 * 	209.18	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|1CDMG	14ASPD|2AART|3CDMG|5aDMG|6MDPS|7VULN|8TLV|9RCR
37	21333 87514	   	208.92	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	16VULN|2TLV|3LWND|4MBVNT|56ASPD|6BPWR|7RCR|8ZMB|9AART|aMDPS
38	23253 13352	   	208.70	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	137VULN|23LIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|9DUR|aMDPS
39	23353 13352	   	208.60	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	137VULN|2LIT|4CGEN|5ASPD|6AART|8RCR|9DUR|aMDPS
40	35625 21221	   	208.51	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DUR	1ASPD|26CDMG|3DUR|4LIT|567VULN|6BPWR|8RCVC|9RCR|aMDPS
41	23433 13352	   	208.50	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	147VULN|2LIT|3ERES|5ASPD|6AART|8RCR|9DUR|aMDPS
42	32444 64334	 * 	208.38	ACR|3VULN|1MDPS|2ASPD|1AART|1DMG	17ASPD|2AART|379VULN|4MBVNT|5RCR|67LHND|7BPWR|8DMG|aMDPS
43	32631 11246	 * 	208.27	DCR|2ASPD|3CDMG|1VULN|1AART|1DMG	14ASPD|2AART|36aCDMG|5DMG|7DMSP|8RCR|9VULN
44	44331 32438	   	208.21	DCR|2VULN|2ASPD|1AART|2CDMG|1AAC	1TLV|2MBVNT|36CDMG|46ASPD|5AART|6BPWR|79VULN|8RCR|aAAC
45	32463 21242	 * 	208.16	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AART|39VULN|4MDPS|5CDMG|6RMIN|7DUR|8RCR|aDMG
46	32463 15213	 * 	208.08	DCR|2VULN|2AART|1MDPS|2ASPD|1CDMG	1aASPD|28AART|36VULN|4MDPS|5CDMG|7FEWX|9RCR
47	32462 31242	   	208.06	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AART|39VULN|4MDPS|5ERES|6CDMG|7DUR|8RCR|aDMG
48	32514 13242	   	208.06	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AART|3MDPS|4CDMG|5DUR|69VULN|7ERES|8RCR|aDMG
49	23253 13461	 * 	208.04	DCR|3VULN|2ASPD|1AART|1CDMG	137VULN|23LIT|3BPWR|4CGEN|59ASPD|6AART|8CDMG|aRCR
50	23353 13461	   	207.94	DCR|3VULN|2ASPD|1AART|1CDMG	137VULN|2LIT|4CGEN|59ASPD|6AART|8CDMG|aRCR
51	23433 13461	   	207.84	DCR|3VULN|2ASPD|1AART|1CDMG	147VULN|2LIT|3ERES|59ASPD|6AART|8CDMG|aRCR
52	32543 15213	 * 	207.76	DCR|2AART|1MDPS|2ASPD|1VULN|1DMG|1CDMG	17ASPD|28AART|3MDPS|4BEXP|5CDMG|6VULN|9RCR|aDMG
53	34233 61112	 * 	207.72	DCR|3VULN|2DMG|2ASPD|1SELL	18ASPD|2RPLT|3CGEN|489VULN|5SELL|68DMG|7RCVC|8BPWR|aRCR
54	32553 15213	   	207.66	DCR|2AART|1MDPS|2ASPD|1VULN|1DMG|1CDMG	17ASPD|28AART|3MDPS|4DUST|5CDMG|6VULN|9RCR|aDMG
55	31226 32624	   	207.48	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	15ASPD|2FEWX|3BEXP|45DMG|5BPWR|6MLV|7VULN|8AART|9CDMG|aRCR
56	31226 52224	   	207.48	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	15ASPD|2FEWX|3BEXP|45DMG|5BPWR|6RMIN|7VULN|8AART|9CDMG|aRCR
57	23231 26115	 * 	206.88	DCR|4VULN|2DMG|2DUR	138aVULN|23LIT|3aBPWR|4aDUR|5ERES|6LHND|7RCR|9aDMG
58	23331 26115	   	206.78	DCR|4VULN|2DMG|2DUR	138aVULN|2LIT|4aDUR|5ERES|6LHND|7RCR|9aDMG|aBPWR
59	32131 43352	   	206.75	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1ASPD|23AART|4LIT|5TLV|67VULN|8RCR|9DUR|aMDPS
60	32631 51243	   	206.71	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	14aASPD|2AART|3CDMG|5DMG|6AELBLL|7DMSP|8RCR|9VULN
61	32463 14113	   	206.16	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AART|36VULN|4MDPS|5CDMG|7AELBLL|8DUR|9RCR|aDMG
62	32131 43461	   	206.08	DCR|2VULN|2AART|2ASPD|1CDMG	19ASPD|23AART|4LIT|5TLV|67VULN|8CDMG|aRCR
63	34113 13335	   	205.98	DCR|2VULN|2DMG|2ASPD|1CDMG	1aASPD|2RPLT|34ERES|5aDMG|6MLV|7CDMG|8aVULN|9RCR|aBPWR
64	32143 11231	   	205.85	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|23AART|4LWND|59aVULN|6AME|7DUR|8RCR
65	32143 63231	   	205.85	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|23AART|4LWND|59aVULN|6RMIN|7DUR|8RCR
66	23222 63532	   	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|23LIT|3BPWR|4DUST|5DUR|7DMG|8ASPD|9AART|aRCR
67	23233 43532	   	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|23LIT|36BPWR|4DUR|56DUST|7DMG|8ASPD|9AART|aRCR
68	23233 63532	   	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|23LIT|3BPWR|4DUR|5DUST|7DMG|8ASPD|9AART|aRCR
69	32131 43362	   	205.75	DCR|3VULN|2AART|1ASPD|1DUR	1ASPD|23AART|4LIT|5TLV|679VULN|8RCR|aDUR
70	23322 63532	   	205.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2LIT|4DUST|5DUR|7DMG|8ASPD|9AART|aRCR
71	23333 43532	   	205.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2LIT|4DUR|56DUST|6BPWR|7DMG|8ASPD|9AART|aRCR
72	23333 63532	   	205.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|2LIT|4DUR|5DUST|7DMG|8ASPD|9AART|aRCR
73	24232 63532	   	205.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	136VULN|23DUST|3BPWR|4LIT|5DUR|7DMG|8ASPD|9AART|aRCR
74	36224 12632	 * 	205.74	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1ASPD|259VULN|3BEXP|4DMG|6DUR|7MDPS|8AART|aRCR
75	23253 13362	   	205.72	DCR|4VULN|1AART|1ASPD|1DUR	1379VULN|23LIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|aDUR
76	36322 24882	 * 	205.64	DCR|3VULN|3ASPD|3DUR	19aASPD|29aVULN|3LWND|4LHND|5MBVNT|69aDUR|7RCR|8DLOT|9aBPWR
77	36332 24882	   	205.64	DCR|3VULN|3ASPD|3DUR	19aASPD|29aVULN|3LWND|4MBVNT|5FEWX|69aDUR|7RCR|8DLOT|9aBPWR
78	23353 13362	   	205.62	DCR|4VULN|1AART|1ASPD|1DUR	1379VULN|2LIT|4CGEN|5ASPD|6AART|8RCR|aDUR
79	23433 13362	   	205.52	DCR|4VULN|1AART|1ASPD|1DUR	1479VULN|2LIT|3ERES|5ASPD|6AART|8RCR|aDUR
80	32632 11244	   	205.44	DCR|2AART|2ASPD|1VULN|2CDMG|1DUR	14ASPD|27AART|36CDMG|5ERES|8RCR|9VULN|aDUR
81	21325 34135	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	189VULN|2TLV|3LWND|4LHND|5DMG|6RCR|7AART|aASPD
82	32444 14331	 * 	205.41	ACR|4VULN|2ASPD|1AART|1DMG	17ASPD|2AART|379aVULN|4MBVNT|5RCR|67LWND|7BPWR|8DMG
83	32444 64331	   	205.41	ACR|4VULN|2ASPD|1AART|1DMG	17ASPD|2AART|379aVULN|4MBVNT|5RCR|67LHND|7BPWR|8DMG
84	36644 14331	   	205.41	ACR|4VULN|2ASPD|1AART|1DMG	17ASPD|279aVULN|3AART|4MBVNT|5RCR|67LWND|7BPWR|8DMG
85	32444 44731	   	205.21	ACR|4VULN|2ASPD|1AART|1DMG	17ASPD|2AART|379aVULN|4MBVNT|5RCR|67DUST|7BPWR|8DMG
86	32621 11226	   	205.19	DCR|2AART|2DMG|2CDMG|1ASPD|1DUR	1ASPD|24AART|36CDMG|5aDMG|7DMSP|8RCR|9DUR
87	35525 31121	   	204.99	DCR|3VULN|1MDPS|2ASPD|1CDMG	18ASPD|2CDMG|357VULN|4LIT|6FEWX|9RCR|aMDPS
88	32225 61131	   	204.54	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC|1ZMB	14ASPD|2aAART|3AAC|5ZMB|6RCVC|7RCR|8VULN|9CDMG
89	31224 13632	   	204.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1ASPD|2FEWX|3BEXP|4DMG|59VULN|6DUST|7RCR|8AART|aMDPS
90	36225 13632	   	204.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1ASPD|29VULN|3BEXP|4DMG|5FEWX|6DUST|7RCR|8AART|aMDPS
91	32621 11241	   	204.38	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|24AART|36CDMG|5DMG|7DMSP|8RCR|9VULN|aRCVC
92	32613 16521	   	204.27	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1ASPD|29AART|3CDMG|4RMIN|5LIT|6aVULN|7DUR|8RCR
93	32155 61323	   	204.19	DCR|2AART|2DMG|1ASPD|1CDMG|1ZMB	1ASPD|23AART|4aDMG|5ZMB|6RCVC|7RCR|8TLV|9CDMG
94	32632 11246	 * 	204.18	DCR|2AART|2ASPD|3CDMG|1VULN	14ASPD|27AART|36aCDMG|5ERES|8RCR|9VULN
95	31226 21612	   	204.08	DCR|2VULN|2DMG|2ASPD|1CDMG	15ASPD|2FEWX|3BEXP|45DMG|5BPWR|6LIT|79VULN|8CDMG|aRCR
96	31426 21612	   	204.08	DCR|2VULN|2DMG|2ASPD|1CDMG	15ASPD|2FEWX|3LHND|45DMG|5BPWR|6LIT|79VULN|8CDMG|aRCR
97	36122 36113	   	204.06	DCR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|28VULN|3FEWX|4aDMG|5ZMB|6MLV|7RCR
98	36222 36113	   	204.06	DCR|2VULN|2DMG|2ASPD|1ZMB	19ASPD|28VULN|3BEXP|4aDMG|5ZMB|6MLV|7RCR
99	32412 11231	   	204.00	DCR|3VULN|2ASPD|1AART|1DUR	15ASPD|2AART|39aVULN|4LWND|6AME|7DUR|8RCR
100	32412 63231	   	204.00	DCR|3VULN|2ASPD|1AART|1DUR	15ASPD|2AART|39aVULN|4LWND|6RMIN|7DUR|8RCR
101	36612 11231	   	204.00	DCR|3VULN|2ASPD|1AART|1DUR	15ASPD|29aVULN|3AART|4LWND|6AME|7DUR|8RCR
102	36612 63231	   	204.00	DCR|3VULN|2ASPD|1AART|1DUR	15ASPD|29aVULN|3AART|4LWND|6RMIN|7DUR|8RCR
103	24246 11113	   	203.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	13aVULN|23DUST|3BPWR|4DUR|5CDMG|6LWND|7ASPD|8AART|9RCR
104	32463 26213	   	203.88	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|28AART|3VULN|4MDPS|5CDMG|6RMIN|7ZMB|9RCR|aDMG
105	32453 52333	   	203.33	DCR|3VULN|1AART|1ASPD|1NUKE|1SELL	1ASPD|2AART|358VULN|4ERES|6LWND|7RCR|9SELL|aNUKE
106	32631 11226	   	203.33	DCR|2DMG|2ASPD|1AART|2CDMG|1DUR	14ASPD|2AART|36CDMG|5aDMG|7DMSP|8RCR|9DUR
107	32153 15335	   	203.22	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	1ASPD|23AART|49DMG|5DUST|6ZMB|7LWND|8VULN|aRCR
108	31224 13634	 * 	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2FEWX|3BEXP|4aDMG|59VULN|6DUST|7RCR|8AART
109	32621 11242	   	203.07	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|24AART|36CDMG|5DMG|7DMSP|8RCR|9VULN|aMLV
110	32621 11245	   	203.07	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|24AART|36CDMG|5DMG|7DMSP|8RCR|9VULN|aCGEN
111	21333 87173	   	202.97	DCR|3VULN|1MDPS|2ASPD|1ZMB	168VULN|2TLV|3LWND|4MBVNT|56ASPD|6BPWR|7RCR|9ZMB|aMDPS
112	44331 32437	   	202.74	DCR|2VULN|2ASPD|1AART|2CDMG	1TLV|2MBVNT|36CDMG|46ASPD|5AART|6BPWR|79VULN|8RCR|aRCVC
113	44334 42433	   	202.56	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG	1TLV|2MBVNT|3CDMG|4ASPD|5RCVC|6AART|79VULN|8RCR|aNUKE
114	32155 61123	   	202.54	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|23AART|4DMG|5ZMB|6RCVC|7RCR|8VULN|9CGEN|aDUR
115	32631 11241	   	202.52	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	14ASPD|2AART|36CDMG|5DMG|7DMSP|8RCR|9VULN|aRCVC
116	32444 14336	 * 	202.49	ACR|3VULN|3ASPD|1AART|1DMG	17aASPD|2AART|379VULN|4MBVNT|5RCR|67LWND|7BPWR|8DMG
117	21333 84833	   	202.29	DCR|3VULN|1MDPS|2ASPD|2ZMB	168VULN|28TLV|3LWND|4MBVNT|56ASPD|68BPWR|78ZMB|9RCR|aMDPS
118	32444 44144	   	202.28	ACR|3VULN|3ASPD|1AART|1DMG	179ASPD|2AART|379VULN|4MBVNT|5RCR|678DUST|79BPWR|aDMG
119	36644 44144	   	202.28	ACR|3VULN|3ASPD|1AART|1DMG	179ASPD|279VULN|3AART|4MBVNT|5RCR|678DUST|79BPWR|aDMG
120	32143 11235	   	202.24	DCR|2VULN|2AART|2ASPD|1DUR	1aASPD|23AART|4LWND|59VULN|6AME|7DUR|8RCR
121	32143 63235	   	202.24	DCR|2VULN|2AART|2ASPD|1DUR	1aASPD|23AART|4LWND|59VULN|6RMIN|7DUR|8RCR
122	44332 42434	   	202.21	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1TLV|2MBVNT|3CDMG|45ASPD|6AART|79VULN|8RCR|aDUR
123	35625 21123	   	202.00	DCR|3VULN|2ASPD|2CDMG|1DUR	18ASPD|26CDMG|3DUR|4LIT|567VULN|6BPWR|9RCR|aRMIN
124	35511 11116	   	201.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2CDMG|3VULN|4CGEN|5DUR|6LWND|7DMG|8aAART|9RCR
125	36333 77143	   	201.94	DCR|2VULN|2DMG|2ASPD|1DUR	15ASPD|28VULN|3LWND|4MBVNT|6aDMG|7RCR|9DUR
126	35625 21122	   	201.90	DCR|3VULN|2ASPD|2CDMG|1DUR	18ASPD|26CDMG|3DUR|4LIT|567VULN|6BPWR|9RCR|aERES
127	32115 21113	   	201.85	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|23AART|4DMSP|5CDMG|6VULN|7MDPS|8DUR|9RCR|aDMG
128	32621 11223	   	201.82	DCR|2AART|2ASPD|2CDMG|1DMG|1DUR	1aASPD|24AART|36CDMG|5DMG|7DMSP|8RCR|9DUR
129	32143 12651	 * 	201.78	DCR|2VULN|2AART|1ASPD|1DMG	1ASPD|23AART|4LWND|5aVULN|6AME|7RCR|8CGEN|9DMG
130	41331 62623	   	201.75	DCR|2VULN|1AART|1ASPD|1NUKE|1CDMG	19TLV|2FEWX|3CDMG|4ASPD|5AART|68VULN|7RCR|aNUKE
131	32632 11226	   	201.72	DCR|2AART|2ASPD|2CDMG|1DMG|1DUR	14ASPD|27AART|36CDMG|5ERES|8RCR|9DUR|aDMG
132	32143 12333	 * 	201.68	DCR|2VULN|2AART|1ASPD|1NUKE|1SELL	1ASPD|23AART|4LWND|58VULN|6AME|7RCR|9SELL|aNUKE
133	32143 22651	   	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1ASPD|23AART|4LWND|5aVULN|6ERES|7RCR|8CGEN|9DMG
134	32162 22651	   	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1ASPD|23AART|4ERES|5aVULN|6LHND|7RCR|8CGEN|9DMG
135	36122 24233	   	201.66	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	17ASPD|2VULN|37FEWX|49DMG|5ZMB|67BEXP|7BPWR|8AART|aRCR
136	36222 24233	   	201.66	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	17ASPD|2VULN|37BEXP|49DMG|5ZMB|67FEWX|7BPWR|8AART|aRCR
137	21325 34136	 * 	201.62	DCR|3VULN|1AART|1DMG|1CDMG	189VULN|2TLV|3LWND|4LHND|5DMG|6RCR|7AART|aCDMG
138	32143 22333	 * 	201.58	DCR|2VULN|2AART|1ASPD|1NUKE|1SELL	1ASPD|23AART|4LWND|58VULN|6ERES|7RCR|9SELL|aNUKE
139	32162 52333	 * 	201.58	DCR|2VULN|2AART|1ASPD|1NUKE|1SELL	1ASPD|23AART|4ERES|58VULN|6LWND|7RCR|9SELL|aNUKE
140	32433 41531	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2AART|35aVULN|4AELBLL|6FEWX|7BEXP|8RCR|9DMG
141	23253 13331	   	201.53	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|23LIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|9NUKE|aBASFIG
142	23253 13332	   	201.53	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|23aLIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|9NUKE
143	23253 13333	   	201.53	DCR|3VULN|1AART|1ASPD|1NUKE|1DUR	137VULN|23LIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|9NUKE|aDUR
144	23253 13334	 * 	201.53	DCR|3VULN|2AART|1ASPD|1NUKE	137VULN|23LIT|3BPWR|4CGEN|5ASPD|6aAART|8RCR|9NUKE
145	23253 13335	   	201.53	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|23LIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|9NUKE|aLWND
146	23253 13336	   	201.53	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|23LIT|3BPWR|4CGEN|5ASPD|6AART|8RCR|9NUKE|aLHND
147	31222 12233	   	201.46	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	16ASPD|2FEWX|3BEXP|49DMG|5ZMB|7VULN|8AART|aRCR
148	36222 64233	   	201.46	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	17ASPD|2VULN|37BEXP|49DMG|5ZMB|67DUST|7BPWR|8AART|aRCR
149	23222 43232	   	201.45	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	136VULN|23LIT|36BPWR|4DUST|56DUR|7DMG|8ZMB|9AART|aRCR
150	23222 46232	   	201.45	DCR|3VULN|1AART|1ASPD|2DUR|1ZMB	136VULN|23LIT|36BPWR|4DUST|56DUR|7ASPD|8ZMB|9AART|aRCR
151	44331 32431	   	201.44	DCR|2VULN|2ASPD|1AART|2CDMG	1TLV|2MBVNT|36CDMG|46ASPD|5AART|6BPWR|79VULN|8RCR|aLIT
152	44331 32435	   	201.44	DCR|2VULN|2ASPD|1AART|2CDMG	1TLV|2MBVNT|36CDMG|46ASPD|5AART|6BPWR|79VULN|8RCR|aLWND
153	23353 13331	   	201.43	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|2LIT|4CGEN|5ASPD|6AART|8RCR|9NUKE|aBASFIG
154	23353 13332	   	201.43	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|2aLIT|4CGEN|5ASPD|6AART|8RCR|9NUKE
155	23353 13333	   	201.43	DCR|3VULN|1AART|1ASPD|1NUKE|1DUR	137VULN|2LIT|4CGEN|5ASPD|6AART|8RCR|9NUKE|aDUR
156	23353 13334	   	201.43	DCR|3VULN|2AART|1ASPD|1NUKE	137VULN|2LIT|4CGEN|5ASPD|6aAART|8RCR|9NUKE
157	23353 13335	   	201.43	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|2LIT|4CGEN|5ASPD|6AART|8RCR|9NUKE|aLWND
158	23353 13336	   	201.43	DCR|3VULN|1AART|1ASPD|1NUKE	137VULN|2LIT|4CGEN|5ASPD|6AART|8RCR|9NUKE|aLHND
159	36122 15233	   	201.36	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	16ASPD|2VULN|3FEWX|49DMG|5ZMB|7DUST|8AART|aRCR
