0	Index      	 *	Score 	Summary	Detail	
1	24256 32211	 * 	222.06	DCR|4VULN|2DMG|1ASPD|1DUR	1DMSP|24DMG|346aVULN|4BPWR|5RCVC|7DUR|8RCR|9ASPD
15	11643 12235	   	210.54	DCR|3VULN|2DMG|2CDMG|2RMIN	16RMIN|2RPLT|3aDMG|45aVULN|7RCR|8RCVC|9aCDMG|aBPWR
16	24251 13262	   	210.50	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB|1DUR	1DMSP|24DMG|34VULN|4BPWR|5DUR|6LIT|7ZMB|8CDMG|9RCR|aASPD
17	42224 31623	 * 	210.01	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1SELL	1LWND|2DMG|3SELL|4CDMG|5ASPD|69VULN|7RCR|8AART|aDUR
18	24254 11213	   	209.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6MBVNT|7DUR|8RCR|9LHND|aAART
19	24231 32216	   	209.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|27DMG|34VULN|5DUR|6AELBLL|8RCR|9ASPD|aAART
20	24254 11234	   	209.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6MBVNT|7DUR|8RCR|9CANSTR|aAART
21	24231 52211	   	208.89	DCR|3VULN|2DMG|1ASPD|2DUR	1DMSP|27DMG|34aVULN|56DUR|8RCR|9ASPD
22	24251 52233	 * 	208.53	DCR|3DMG|2VULN|1AART|2DUR	1DMSP|247DMG|34VULN|4BPWR|56DUR|8MLV|9RCR|aAART
23	13635 32216	   	208.23	DCR|2VULN|2DMG|1AART|1ASPD	1RMIN|27DMG|3AME|45VULN|6AELBLL|8RCR|9ASPD|aAART
24	24342 32235	   	207.84	DCR|2VULN|2DMG|2CDMG|1ASPD	1DMSP|2aDMG|38RCVC|4ASPD|5aVULN|6RPLT|7RCR|9aCDMG|aBPWR
25	32513 51225	 * 	207.84	DCR|3DMG|2ASPD|1VULN|1ZMB|1DUR	1DUR|26aDMG|3VULN|4ZMB|5aASPD|7RCR|8MLV|9aCGEN|aBPWR
26	24231 52335	 * 	207.64	DCR|3VULN|3DMG|3DUR	1DMSP|27aDMG|34aVULN|56aDUR|8LEGI|9RCR|aBPWR
27	21262 62133	 * 	207.34	DCR|3DMG|2VULN|2ASPD|1SELL	1DMSP|2SELL|3aVULN|49aDMG|5LWND|6LIT|7aASPD|8RCR|aBPWR
28	21266 62133	 * 	207.34	DCR|3DMG|2VULN|2ASPD|1SELL	1DMSP|2SELL|3aVULN|49aDMG|5LHND|6LIT|7aASPD|8RCR|aBPWR
29	13513 62253	 * 	206.60	DCR|3DMG|2VULN|1CDMG|1DUR	1RMIN|269DMG|3DUR|4LIT|58VULN|7RCR|aCDMG
30	32113 62253	   	206.60	DCR|3DMG|2VULN|1CDMG|1DUR	1DUR|269DMG|3RMIN|4LIT|58VULN|7RCR|aCDMG
31	24256 32213	   	206.21	DCR|3VULN|2DMG|1ASPD|1DUR	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7DUR|8RCR|9ASPD|aCGEN
32	24256 32212	   	206.11	DCR|3VULN|2DMG|1ASPD|1DUR	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7DUR|8RCR|9ASPD|aERES
33	24213 13552	   	205.91	DCR|4VULN|1ASPD|1DMG|1DUR	1DMSP|2DMG|389aVULN|4BELT|5ASPD|6RCR|7DUR
34	32513 51143	   	205.71	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8LWND|9RMIN|aAART
35	32513 51313	   	205.71	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8RMIN|9LHND|aAART
36	24236 32335	   	205.24	DCR|4VULN|2DMG|2DUR	1DMSP|2aDMG|346aVULN|5RCVC|7aDUR|8LEGI|9RCR|aBPWR
37	24254 32231	   	204.47	DCR|2VULN|2DMG|2CDMG|1ASPD	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8RCVC|9aCDMG
38	24236 32211	   	204.37	DCR|4VULN|1ASPD|1DMG|1DUR	1DMSP|2DMG|346aVULN|5RCVC|7DUR|8RCR|9ASPD
39	32224 31114	 * 	204.07	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1DUR|2DMG|3SELL|4CDMG|5ASPD|69aVULN|7RCR|8LWND
40	32224 31225	   	204.02	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR|1SELL	1DUR|2aDMG|3SELL|4CDMG|5ASPD|6aVULN|7RCR|8MLV|9aCGEN|aBPWR
41	24236 33216	   	203.99	DCR|3VULN|1AART|1ASPD|1DMG	1DMSP|2DMG|346VULN|5RCVC|7BEXP|8RCR|9ASPD|aAART
42	32224 31425	   	203.92	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR|1SELL	1DUR|2aDMG|3SELL|4CDMG|5ASPD|6aVULN|7RCR|8ERES|9aCGEN|aBPWR
43	24231 32211	   	203.65	DCR|3VULN|2DMG|1ASPD|1DUR	1DMSP|27DMG|34aVULN|5DUR|6AELBLL|8RCR|9ASPD
44	24635 32211	   	203.65	DCR|3VULN|2DMG|1ASPD|1DUR	1DMSP|27DMG|3DUR|45aVULN|6AELBLL|8RCR|9ASPD
45	24254 32322	   	203.57	DCR|3DMG|2VULN|1ASPD|1DUR	1DMSP|24aDMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8CGEN|9DUR
46	32513 51112	   	203.39	DCR|2VULN|2DMG|1ASPD|2DUR|1ZMB	1aDUR|26DMG|39VULN|4ZMB|5ASPD|7RCR|8LWND
47	24251 32233	   	203.29	DCR|3DMG|2VULN|1AART|1DUR	1DMSP|247DMG|34VULN|4BPWR|5DUR|6AELBLL|8MLV|9RCR|aAART
48	24251 32433	   	203.19	DCR|3DMG|2VULN|1AART|1DUR	1DMSP|247DMG|34VULN|4BPWR|5DUR|6AELBLL|8ERES|9RCR|aAART
49	13513 52253	   	202.86	DCR|3VULN|2DMG|1ZMB|1DUR	1RMIN|29DMG|3DUR|4LIT|568VULN|7RCR|aZMB
50	32113 52253	   	202.86	DCR|3VULN|2DMG|1ZMB|1DUR	1DUR|29DMG|3RMIN|4LIT|568VULN|7RCR|aZMB
51	24336 32262	 * 	202.68	DCR|3DMG|2VULN|2CDMG	1DMSP|27aDMG|35RCVC|4FEWX|6aVULN|8RCR|9aCDMG|aBPWR
52	26236 32216	   	202.57	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1DMSP|246VULN|3ZMB|5RCVC|7DUR|8RCR|9ASPD|aAART
53	14313 22254	   	202.54	DCR|4VULN|1ASPD|1DMG	1RMIN|2ASPD|3FEWX|4LIT|568aVULN|7RCR|9DMG
54	53632 32433	   	202.53	DCR|3ASPD|2VULN|1AART|2ZMB	17ZMB|27MLV|3AME|46VULN|578ASPD|7BPWR|9RCR|aAART
55	53132 32433	   	202.43	DCR|3ASPD|2VULN|1AART|2ZMB	17ZMB|27MLV|3ERES|46VULN|578ASPD|7BPWR|9RCR|aAART
56	52632 32433	   	202.33	DCR|3ASPD|2VULN|1AART|2ZMB	17ZMB|27ERES|3AME|46VULN|578ASPD|7BPWR|9RCR|aAART
57	13635 32211	   	202.28	DCR|3VULN|2DMG|1ASPD	1RMIN|27DMG|3AME|45aVULN|6AELBLL|8RCR|9ASPD
58	54132 32433	   	202.23	DCR|3ASPD|2VULN|1AART|2ZMB	17ZMB|27TLV|3ERES|46VULN|578ASPD|7BPWR|9RCR|aAART
59	32513 51324	   	202.22	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|26DMG|3aVULN|4ZMB|5ASPD|7RCR|8RMIN|9TLV
60	13634 32314	 * 	202.20	DCR|3VULN|2DMG|1AART	1RMIN|27DMG|3AME|467VULN|578MLV|7BPWR|9AART|aRCR
61	13632 32533	   	202.18	DCR|3VULN|2DMG|1ASPD	1RMIN|2aDMG|3AME|46aVULN|5ASPD|7MSLREG|8RCR|9aERES|aBPWR
62	13134 32314	   	202.10	DCR|3VULN|2DMG|1AART	1RMIN|27DMG|3ERES|467VULN|578MLV|7BPWR|9AART|aRCR
63	24256 32221	   	201.99	DCR|4VULN|2DMG|1DUR	1DMSP|24DMG|346aVULN|4BPWR|5RCVC|7DUR|8RCR|9CGEN
64	42224 31621	 * 	201.71	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1LWND|2DMG|3SELL|4CDMG|5ASPD|69VULN|7RCR|8AART|aCGEN
65	13211 61651	   	201.63	DCR|2DMG|2ASPD|1CDMG|2DUR|1AAC|1ZMB	1RMIN|29DMG|3ZMB|4RCVC|59DUR|6RCR|7AAC|89ASPD|9BPWR|aCDMG
66	42224 31622	 * 	201.61	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1LWND|2DMG|3SELL|4CDMG|5ASPD|69VULN|7RCR|8AART|aDUST
67	24256 12333	   	201.60	DCR|3DMG|2VULN|1AART	1DMSP|247DMG|34VULN|4BPWR|5RCVC|6LHND|8RMIN|9RCR|aAART
68	32513 51133	   	201.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8LWND|9CGEN|aAART
69	32513 51253	   	201.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8MLV|9LHND|aAART
70	32513 51213	   	201.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8MLV|9LEGI|aAART
71	32513 51413	   	201.35	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8ERES|9LEGI|aAART
72	33125 22234	   	201.12	DCR|4VULN|1DMG|1ZMB|1DUR	1DUR|2ZMB|3RMIN|458aVULN|6LIT|7RCR|9DMG
73	24251 62323	   	201.00	DCR|3DMG|2VULN|1CDMG|2DUR	1DMSP|248DMG|34VULN|4BPWR|5aDUR|6CDMG|7LIT|9RCR
74	14323 22254	   	200.91	DCR|3VULN|2ASPD|1DMG	1RMIN|25ASPD|3FEWX|48aVULN|6LIT|7RCR|9DMG
75	32224 31364	   	200.73	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|2DMG|3SELL|4CDMG|5ASPD|6aVULN|7RCR|8RMIN|9ZMB
76	11223 23213	 * 	200.73	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1RMIN|2RPLT|3CDMG|4VULN|57ASPD|6DMG|8RCR|9LHND|aAART
77	11223 23263	   	200.63	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1RMIN|2RPLT|3CDMG|4VULN|57ASPD|6DMG|8RCR|9ERES|aAART
78	32513 36331	 * 	200.53	DCR|2VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1DUR|2DMG|39VULN|4ZMB|5ASPD|6DLOT|7RCR|8LWND|aNUKE
79	32513 36431	   	200.53	DCR|2VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1DUR|2DMG|39VULN|4ZMB|5ASPD|6DLOT|7RCR|8FEWX|aNUKE
80	32513 36631	   	200.53	DCR|2VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	1DUR|2DMG|39VULN|4ZMB|5ASPD|6DLOT|7RCR|8BEXP|aNUKE
81	24256 32331	   	200.29	DCR|3VULN|2DMG|1CDMG|1DUR	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7DUR|8LEGI|9RCR|aCDMG
82	32224 31463	   	199.87	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|2DMG|3SELL|4CDMG|5ASPD|6VULN|7RCR|8ERES|9ZMB|aAART
83	14232 65322	   	199.59	DCR|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RMIN|25ASPD|3ZMB|4BEXP|6RCR|7CDMG|8VULN|9DUR|aDMG
84	32513 53213	   	199.45	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7AAC|8RCR|9LHND|aAART
85	24231 32245	   	199.44	DCR|3VULN|3DMG|1DUR	1DMSP|27aDMG|34aVULN|5DUR|6AELBLL|8RCR|9aLHND|aBPWR
86	24231 32255	   	199.44	DCR|3VULN|3DMG|1DUR	1DMSP|27aDMG|34aVULN|5DUR|6AELBLL|8RCR|9aFEWX|aBPWR
87	15132 32434	 * 	199.24	DCR|3VULN|3ASPD|1MDPS	1RMIN|27AME|3ERES|467VULN|578ASPD|7BPWR|9RCR|aMDPS
88	14133 32434	   	199.04	DCR|3VULN|3ASPD|1MDPS	1RMIN|278ASPD|3ERES|467VULN|57TLV|7BPWR|9RCR|aMDPS
89	15322 13515	   	199.01	DCR|3VULN|2ASPD|1DMG	1RMIN|2aAME|3FEWX|49aVULN|5TLV|6DMG|7aASPD|8RCR|aBPWR
90	32113 54422	   	198.95	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|4LIT|56VULN|7LHND|8RCR|9AART|aASPD
91	32113 55422	   	198.95	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|3RMIN|4LIT|56VULN|7LWND|8RCR|9AART|aASPD
92	42224 31631	 * 	198.81	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1SELL	1LWND|2aDMG|3SELL|4CDMG|5ASPD|6VULN|7RCR|8AART|9LEGI
93	36361 41182	   	198.78	DCR|2VULN|2DMG|1AART|2DUR	19DUR|29VULN|3MBVNT|4BELT|5BEXP|6RCR|7DUST|89DMG|9BPWR|aAART
94	13322 43535	   	198.77	DCR|2VULN|2DMG|2ASPD	1RMIN|2aDMG|3FEWX|4aVULN|5TLV|69CGEN|7aASPD|8RCR|aBPWR
95	14134 32314	   	198.73	DCR|3VULN|2ASPD|1AART	1RMIN|27ASPD|3ERES|467VULN|578MLV|7BPWR|9AART|aRCR
96	13632 33154	   	198.54	DCR|4VULN|1ASPD|1DMG	1RMIN|2DMG|3AME|467aVULN|5ASPD|8RPLT|9RCR
97	24213 13415	   	198.46	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1DMSP|29DMG|3VULN|4BELT|5ASPD|6RCR|7aDUR|8AART
98	13132 33154	   	198.44	DCR|4VULN|1ASPD|1DMG	1RMIN|2DMG|3ERES|467aVULN|5ASPD|8RPLT|9RCR
99	36633 23113	 * 	198.38	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	13DUR|26VULN|4SPLREG|5CDMG|7LWND|8AART|9RCR|aASPD
100	13313 62253	   	198.29	DCR|3DMG|2VULN|1CDMG	1RMIN|269DMG|3FEWX|4LIT|58VULN|7RCR|aCDMG
101	24254 32121	   	198.25	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8DUR|9ZMB|aCGEN
102	13531 33514	   	198.24	DCR|3VULN|1ASPD|1DMG|2DUR	1RMIN|2DMG|34DUR|5FEWX|69aVULN|7ASPD|8RCR
103	13533 33514	   	198.24	DCR|3VULN|1ASPD|1DMG|2DUR	1RMIN|2DMG|34DUR|5BEXP|69aVULN|7ASPD|8RCR
104	32131 33514	   	198.24	DCR|3VULN|1ASPD|1DMG|2DUR	14DUR|2DMG|3RMIN|5FEWX|69aVULN|7ASPD|8RCR
105	32133 33514	   	198.24	DCR|3VULN|1ASPD|1DMG|2DUR	14DUR|2DMG|3RMIN|5BEXP|69aVULN|7ASPD|8RCR
106	31552 32216	   	198.20	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	13DUR|2RCVC|47DMG|5AELBLL|6VULN|8RCR|9ASPD|aAART
107	11643 63132	   	198.19	DCR|2VULN|2DMG|1CDMG|2DUR	1RMIN|2RPLT|37DMG|45VULN|6RCR|8aDUR|9CDMG
108	32513 51315	   	198.18	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|26DMG|3VULN|4ZMB|5ASPD|7RCR|8RMIN|9LHND|aCDMG
109	24234 32122	   	198.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DMSP|2aDMG|34VULN|5ASPD|6RPLT|7RCR|8DUR|9ZMB
110	24254 32123	   	198.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8DUR|9ZMB|aDUST
111	32513 51224	   	198.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|26DMG|3aVULN|4ZMB|5ASPD|7RCR|8MLV|9CGEN
112	32136 33514	   	198.14	DCR|3VULN|1ASPD|1DMG|2DUR	14DUR|2DMG|3RMIN|5DUST|69aVULN|7ASPD|8RCR
113	61111 52234	 * 	198.11	DCR|5VULN|1DMG|1DUR	1LIT|2LWND|3568aVULN|4DUR|7RCR|9DMG
114	32513 36333	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2aDMG|39VULN|4ZMB|5ASPD|6DLOT|7RCR|8LWND
115	32513 36433	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2aDMG|39VULN|4ZMB|5ASPD|6DLOT|7RCR|8FEWX
116	32513 36633	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2aDMG|39VULN|4ZMB|5ASPD|6DLOT|7RCR|8BEXP
117	32513 51111	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|26DMG|39VULN|4ZMB|5ASPD|7RCR|8LWND|aERES
118	32513 51113	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|26DMG|39VULN|4ZMB|5ASPD|7RCR|8LWND|aDUST
119	32513 51115	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|26DMG|39VULN|4ZMB|5ASPD|7RCR|8LWND|aAIRARM
120	32513 51116	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|26DMG|39VULN|4ZMB|5ASPD|7RCR|8LWND|aTLV
121	32123 56512	   	198.00	DCR|2VULN|2DMG|1ASPD|2DUR	1aDUR|26DMG|3RMIN|49VULN|5ASPD|7LHND|8RCR
122	32126 43512	   	198.00	DCR|2VULN|2DMG|1ASPD|2DUR	1aDUR|26DMG|3RMIN|49VULN|5BEXP|7ASPD|8RCR
123	26256 32211	   	197.96	DCR|4VULN|1ASPD|2ZMB|1DUR	1DMSP|246aVULN|34ZMB|4BPWR|5RCVC|7DUR|8RCR|9ASPD
124	36313 23275	   	197.93	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	14DUR|2aVULN|3MBVNT|57ASPD|6DMG|8RCR|9ZMB
125	24256 33213	   	197.90	DCR|3VULN|2DMG|1ASPD	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7BEXP|8RCR|9ASPD|aCGEN
126	14134 12433	   	197.85	DCR|3ASPD|2VULN|1AART	1RMIN|278ASPD|3ERES|47VULN|57MLV|6RCVC|7BPWR|9RCR|aAART
127	15132 12433	   	197.85	DCR|3ASPD|2VULN|1AART	1RMIN|27AME|3ERES|47VULN|578ASPD|6RCVC|7BPWR|9RCR|aAART
128	24236 12211	   	197.80	DCR|3VULN|2DMG|1ASPD	1DMSP|27DMG|34aVULN|5RCVC|6LHND|8RCR|9ASPD
129	24236 52211	   	197.80	DCR|3VULN|2DMG|1ASPD	1DMSP|27DMG|34aVULN|5RCVC|6LWND|8RCR|9ASPD
130	24256 33212	   	197.80	DCR|3VULN|2DMG|1ASPD	1DMSP|24DMG|346VULN|4BPWR|5RCVC|7BEXP|8RCR|9ASPD|aERES
131	14633 12433	   	197.75	DCR|3ASPD|2VULN|1AART	1RMIN|278ASPD|3AME|47VULN|57TLV|6RCVC|7BPWR|9RCR|aAART
132	14133 12433	   	197.65	DCR|3ASPD|2VULN|1AART	1RMIN|278ASPD|3ERES|47VULN|57TLV|6RCVC|7BPWR|9RCR|aAART
133	24213 11552	   	197.60	DCR|4VULN|1ASPD|1DMG	1DMSP|2DMG|389aVULN|4BELT|5ASPD|6RCR|7LHND
134	23232 61135	 * 	197.49	DCR|3VULN|2ASPD|2CDMG	1DMSP|259ERES|34aVULN|6aCDMG|7RCR|8aASPD|aBPWR
135	26132 61135	   	197.49	DCR|3VULN|2ASPD|2CDMG	1DMSP|24aVULN|359ERES|6aCDMG|7RCR|8aASPD|aBPWR
136	11223 23224	   	197.23	DCR|2VULN|2ASPD|1DMG|1CDMG	1RMIN|2RPLT|3CDMG|4aVULN|57ASPD|6DMG|8RCR|9TLV
137	11223 23264	   	197.23	DCR|2VULN|2ASPD|1DMG|1CDMG	1RMIN|2RPLT|3CDMG|4aVULN|57ASPD|6DMG|8RCR|9ERES
138	31556 32211	   	197.18	DCR|2VULN|2DMG|1ASPD|2DUR	13DUR|25RCVC|47DMG|6aVULN|8RCR|9ASPD
139	13523 36331	   	197.13	DCR|2VULN|1ASPD|1DMG|1NUKE|1DUR	1RMIN|2DMG|3DUR|49VULN|5ASPD|6DLOT|7RCR|8LWND|aNUKE
140	13523 36431	   	197.13	DCR|2VULN|1ASPD|1DMG|1NUKE|1DUR	1RMIN|2DMG|3DUR|49VULN|5ASPD|6DLOT|7RCR|8FEWX|aNUKE
141	13523 36631	   	197.13	DCR|2VULN|1ASPD|1DMG|1NUKE|1DUR	1RMIN|2DMG|3DUR|49VULN|5ASPD|6DLOT|7RCR|8BEXP|aNUKE
142	32123 36331	   	197.13	DCR|2VULN|1ASPD|1DMG|1NUKE|1DUR	1DUR|2DMG|3RMIN|49VULN|5ASPD|6DLOT|7RCR|8LWND|aNUKE
143	32123 36431	   	197.13	DCR|2VULN|1ASPD|1DMG|1NUKE|1DUR	1DUR|2DMG|3RMIN|49VULN|5ASPD|6DLOT|7RCR|8FEWX|aNUKE
144	32123 36631	   	197.13	DCR|2VULN|1ASPD|1DMG|1NUKE|1DUR	1DUR|2DMG|3RMIN|49VULN|5ASPD|6DLOT|7RCR|8BEXP|aNUKE
145	24254 32232	   	197.04	DCR|2VULN|2DMG|1ASPD|1CDMG	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8RCVC|9CDMG|aLWND
146	24254 32233	   	197.04	DCR|2VULN|2DMG|1ASPD|1CDMG	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|8RCVC|9CDMG|aLHND
147	41523 24113	   	196.87	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2RCVC|3DUR|47VULN|5CDMG|6SPLREG|8AART|9RCR|aASPD
148	24234 32125	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2DMG|34VULN|5ASPD|6RPLT|7RCR|8DUR|9ZMB|aCDMG
149	32113 54423	   	196.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2DMG|3RMIN|4LIT|56aVULN|7LHND|8RCR|9AART
150	32113 55423	   	196.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2DMG|3RMIN|4LIT|56aVULN|7LWND|8RCR|9AART
151	24231 15262	   	196.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMSP|2DMG|34VULN|5DUR|6LIT|7aASPD|8CDMG|9RCR
152	11643 63111	 * 	196.66	DCR|2VULN|2DMG|1NUKE|1DUR	1RMIN|2RPLT|37DMG|45VULN|6RCR|8DUR|9NUKE|aCGEN
153	11643 63112	 * 	196.66	DCR|3DMG|2VULN|1NUKE|1DUR	1RMIN|2RPLT|37aDMG|45VULN|6RCR|8DUR|9NUKE
154	11643 63113	   	196.66	DCR|2VULN|2DMG|1NUKE|1DUR	1RMIN|2RPLT|37DMG|45VULN|6RCR|8DUR|9NUKE|aDUST
155	26213 13526	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1DMSP|28aVULN|3ZMB|4BELT|5ASPD|6RCR|7DUR|9CDMG
156	32224 31264	   	196.57	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1SELL	1DUR|2DMG|3SELL|4CDMG|5ASPD|6aVULN|7RCR|8MLV|9ZMB
157	31231 61362	   	196.55	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|3ZMB|47VULN|5CDMG|6LIT|8DMG|9RCR|aASPD
158	31235 62362	   	196.55	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUR|2RCVC|3ZMB|45VULN|6CDMG|7LIT|8DMG|9RCR|aASPD
159	24254 32133	   	196.50	DCR|2VULN|2DMG|1ASPD|2DUR|1AAC	1DMSP|24DMG|34VULN|4BPWR|5ASPD|6RPLT|7RCR|89DUR|aAAC
160	32113 64423	   	196.47	DCR|2VULN|2DMG|1AART|1DUR	1DUR|26DMG|3RMIN|4LIT|5aVULN|7LHND|8RCR|9AART
