0	Index      	 *	Score 	Summary	Detail	
1	35112 25341	 * 	237.61	DCR|2VULN|2AART|2DMG|1ASPD|1CDMG	19VULN|2ASPD|38DMG|4LWND|5aAART|6RCR|7CDMG
28	35112 25322	   	216.81	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2ASPD|389DMG|4LWND|5AART|6RCR|7CDMG|aAME
29	35112 25324	   	216.81	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2ASPD|389DMG|4LWND|5AART|6RCR|7CDMG|aLHND
30	35112 25325	   	216.81	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2ASPD|389DMG|4LWND|5AART|6RCR|7CDMG|aBEXP
31	35112 25321	   	216.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2ASPD|389DMG|4LWND|5AART|6RCR|7CDMG|aTLV
32	35112 25323	   	216.71	DCR|3DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2ASPD|389DMG|4LWND|5AART|6RCR|7CDMG|aERES
33	21521 12366	 * 	216.70	DCR|2DMG|2ASPD|1AART|1NUKE|1CDMG	19CGEN|2AART|39DMG|4RMIN|5ERES|6CDMG|7RCR|89ASPD|9BPWR|aNUKE
34	35112 26226	   	215.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	18aVULN|2ASPD|3DMG|4LWND|5AART|6RCR|7ZMB|9BELT
35	35112 26323	   	215.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	19aVULN|2ASPD|3DMG|4LWND|5AART|6RCR|7ZMB|8MLV
36	35112 26333	   	215.62	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1aVULN|2ASPD|39DMG|4LWND|5AART|6RCR|7ZMB|8MLV
37	21516 12241	   	215.55	DCR|2VULN|2AART|2DMG|1CDMG	1CGEN|2aAART|35DMG|4CDMG|6BEXP|7RCR|89VULN
38	35223 32462	   	214.70	DCR|3VULN|2DMG|2ASPD	148VULN|28ASPD|3RMIN|5LIT|6BEXP|78DMG|8BPWR|9RCR|aRPLT
39	35112 26231	   	214.61	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	18VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7ZMB|9CDMG|aRCVC
40	35223 32463	   	214.60	DCR|3VULN|2DMG|2ASPD	148VULN|28ASPD|3RMIN|5LIT|6BEXP|78DMG|8BPWR|9RCR|aTLV
41	35112 26232	   	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	18VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7ZMB|9CDMG|aBEXP
42	35112 26233	   	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	18VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7ZMB|9CDMG|aLHND
43	35112 26234	   	214.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	18VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7ZMB|9CDMG|aCGEN
44	15122 21156	 * 	213.76	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	1DUST|28ASPD|3DMG|4VULN|59AART|6RCR|7LIT|aCDMG
45	15122 26221	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8DUR|aMLV
46	15122 26223	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8DUR|aLHND
47	15122 26224	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8DUR|aLWND
48	15122 26225	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8DUR|aRPLT
49	15122 26341	   	213.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8RPLT|aDUR
50	15122 26222	   	213.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8DUR|aTLV
51	15122 26226	   	213.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8DUR|aMBVNT
52	15122 26231	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUST|2ASPD|39DMG|47VULN|5AART|6RCR|8DUR|aMLV
53	15122 26233	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUST|2ASPD|39DMG|47VULN|5AART|6RCR|8DUR|aLHND
54	15122 26234	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUST|2ASPD|39DMG|47VULN|5AART|6RCR|8DUR|aLWND
55	15122 26235	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUST|2ASPD|39DMG|47VULN|5AART|6RCR|8DUR|aRPLT
56	15122 26232	   	213.40	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUST|2ASPD|39DMG|47VULN|5AART|6RCR|8DUR|aTLV
57	15122 26236	   	213.40	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUST|2ASPD|39DMG|47VULN|5AART|6RCR|8DUR|aMBVNT
58	21535 12243	   	213.03	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	1CGEN|2AART|35DMG|4aDUR|6CDMG|7RCR|89VULN
59	35223 32434	   	212.70	DCR|3VULN|2DMG|2ASPD	148VULN|28ASPD|3RMIN|5LIT|6BEXP|78DMG|8BPWR|9AME|aRCR
60	35223 32425	   	212.60	DCR|3VULN|2DMG|2ASPD	148VULN|28ASPD|3RMIN|5LIT|6BEXP|78DMG|8BPWR|9DUST|aRCR
61	35413 53121	   	212.58	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	15VULN|2ASPD|3LHND|4DUR|6RCR|7CDMG|8DMG|9AART|aRCVC
62	15122 26523	 * 	212.58	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DUST|2ASPD|3DMG|47VULN|5AART|6RCR|8RMIN|9RCVC|aNUKE
63	35413 53122	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	15VULN|2ASPD|3LHND|4DUR|6RCR|7CDMG|8DMG|9AART|aLIT
64	35112 25141	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	19VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7CDMG|8FEWX|aDUR
65	35112 25241	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	19VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7CDMG|8BEXP|aDUR
66	35123 13461	   	212.18	DCR|3VULN|2DMG|1ASPD|1ZMB|1DUR	148VULN|2ASPD|38DMG|5LIT|6ZMB|78FEWX|8BPWR|9RCR|aDUR
67	35413 53123	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	15VULN|2ASPD|3LHND|4DUR|6RCR|7CDMG|8DMG|9AART|aERES
68	35413 53222	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	15VULN|2ASPD|3LHND|4DUR|6RCR|7CDMG|8AART|9DUST|aDMG
69	15112 23341	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3DMG|4LWND|5AART|6RCR|79VULN|8CDMG|aDUR
70	15122 26136	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3DMG|47VULN|5AART|6RCR|8AME|9CDMG|aDUR
71	15161 23341	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3DMG|4AART|5LHND|6RCR|79VULN|8CDMG|aDUR
72	35112 24341	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	19VULN|2ASPD|3DMG|4LWND|5AART|6RCR|7DUST|8CDMG|aDUR
73	21522 22163	 * 	211.91	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE	1CGEN|2AART|35DMG|4RMIN|6RCR|7AME|8ASPD|9VULN|aNUKE
74	51522 22163	   	211.81	DCR|2DMG|1VULN|1AART|1ASPD|1NUKE	1TLV|2AART|35DMG|4RMIN|6RCR|7AME|8ASPD|9VULN|aNUKE
75	51516 12222	   	210.72	DCR|3DMG|2AART|1VULN|1CDMG	1TLV|2aAART|359DMG|4CDMG|6BEXP|7RCR|8VULN
76	15122 21145	   	210.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUST|28ASPD|3DMG|49VULN|5AART|6RCR|7LIT|aDUR
77	15122 26241	   	210.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUST|2aASPD|3DMG|47VULN|5AART|6RCR|8DUR|9CGEN
78	15122 26311	   	210.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DUST|29ASPD|3DMG|47VULN|5AART|6RCR|8RPLT|aDUR
79	21513 62224	   	209.92	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	1CGEN|2AART|39DMG|4CDMG|5RCVC|6DUR|7RCR|8VULN|aASPD
80	35112 25351	   	209.79	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|38DMG|4LWND|5AART|6RCR|7CDMG|9DUR|aRCVC
81	21511 23343	   	209.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|2AART|38DMG|4CDMG|5DUST|6RCR|79VULN|aDUR
82	15122 26343	   	209.60	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2ASPD|3DMG|479VULN|5AART|6RCR|8RPLT|aRMIN
83	35112 25352	   	209.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|38DMG|4LWND|5AART|6RCR|7CDMG|9DUR|aLIT
84	35112 25353	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1VULN|2ASPD|38DMG|4LWND|5AART|6RCR|7CDMG|9DUR|aERES
85	51531 63312	   	209.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1TLV|2AART|3aDMG|4DUR|5LHND|6RCR|7VULN|8CDMG|9ASPD
86	51533 63312	   	209.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1TLV|2AART|3aDMG|4DUR|5DUST|6RCR|7VULN|8CDMG|9ASPD
87	35212 65331	   	209.15	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2ASPD|3RMIN|4LWND|5AART|6RCR|7CDMG|8DMG|9ZMB|aDUR
88	21342 16222	 * 	209.10	DCR|3VULN|2AART|1DMG|2DUR	1CGEN|25AART|36aVULN|46DUR|6BPWR|7DLOT|8DMG|9RCR
89	21342 16622	 * 	209.10	DCR|3VULN|2AART|1ASPD|2DUR	1CGEN|25AART|36aVULN|46DUR|6BPWR|7DLOT|8ASPD|9RCR
90	35212 62631	   	208.86	DCR|2VULN|2ASPD|1AART|1DMG	18VULN|2aASPD|3RMIN|4LWND|5AART|6RCR|7BEXP|9DMG
91	34222 52324	 * 	208.78	DCR|4VULN|2DMG|1NUKE|2DUR	148aVULN|2aDUR|3NUKE|5BEXP|6RCR|7LHND|9aDMG|aBPWR
92	34322 52324	   	208.78	DCR|4VULN|2DMG|2DUR|1AAC	148aVULN|2aDUR|3AAC|5BEXP|6RCR|7LHND|9aDMG|aBPWR
93	15212 63631	   	208.76	DCR|2VULN|2ASPD|1AART|1DMG	1DUST|2aASPD|3RMIN|4LWND|5AART|6RCR|78VULN|9DMG
94	15222 62631	   	208.76	DCR|2VULN|2ASPD|1AART|1DMG	1DUST|2aASPD|3RMIN|48VULN|5AART|6RCR|7BEXP|9DMG
95	21513 62241	   	208.73	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CGEN|2aAART|3DMG|4CDMG|5RCVC|6DUR|7RCR|89VULN
96	21535 12251	   	208.72	DCR|2AART|2DMG|1VULN|1CDMG|2DUR	1CGEN|2aAART|35DMG|49DUR|6CDMG|7RCR|8VULN
97	35126 34331	 * 	208.65	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	148VULN|2ASPD|3DMG|5ZMB|6LHND|7CDMG|9DUR|aRCR
98	33221 63144	 * 	208.56	DCR|3VULN|1AART|1ASPD|1CDMG	149VULN|2ERES|3RMIN|5FEWX|6RCR|7CDMG|8AART|aASPD
99	33611 52423	 * 	208.56	DCR|3ASPD|2VULN|2DMG	1aVULN|2ERES|38aASPD|4LWND|5TLV|6RCR|7LEGI|9aDMG|aBPWR
100	21522 22563	   	208.24	DCR|2VULN|2AART|2DMG	1CGEN|28AART|35DMG|4RMIN|6RCR|7AME|9aVULN
101	35212 65312	   	208.00	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2ASPD|3RMIN|4LWND|5AART|6RCR|7CDMG|8aDMG|9DUST
102	21522 22462	   	207.92	DCR|3DMG|2VULN|1AART	1aCGEN|2AART|35aDMG|4RMIN|6RCR|7AME|8ERES|9aVULN|aBPWR
103	51522 22362	   	207.82	DCR|3DMG|2VULN|1AART	1aTLV|2AART|35aDMG|4RMIN|6RCR|7AME|8CGEN|9aVULN|aBPWR
104	21516 12243	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|2AART|35DMG|4CDMG|6BEXP|7RCR|89VULN|aDUR
105	21516 32241	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|2AART|35DMG|4CDMG|6LHND|7RCR|89VULN|aDUR
106	21535 12242	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|2AART|35DMG|4DUR|6CDMG|7RCR|89VULN|aLIT
107	21535 12263	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CGEN|2AART|35DMG|4DUR|6CDMG|7RCR|8aVULN|9LIT
108	35111 53213	   	207.67	DCR|2VULN|1AART|1NUKE|1ASPD|1DMG	18VULN|2ASPD|3DMG|4LWND|5TLV|6RCR|7AART|9CGEN|aNUKE
109	35111 53323	   	207.67	DCR|2VULN|1AART|1NUKE|1DMG|1ASPD	19VULN|2ASPD|3DMG|4LWND|5TLV|6RCR|7AART|8MLV|aNUKE
