0	Index      	 *	Score 	Summary	Detail	
1	54311 21622	 * 	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2ZMB|3RPLT|4CDMG|5LEGI|6RCR|7ASPD|8aVULN|9DMG
39	56612 21121	   	199.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9LHND|aDUST
40	56612 21131	   	199.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9ERES|aFEWX
41	56612 21132	   	199.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	17AART|2MDPS|38VULN|4CDMG|5DMG|6RCR|9ERES|aBEXP
42	53411 11431	   	199.64	DCR|2VULN|2ASPD|1AART|2CDMG	1AART|28CDMG|3LHND|4BELT|58ASPD|68VULN|7LEGI|8BPWR|9RCR|aLWND
43	53411 11433	   	199.54	DCR|2VULN|2ASPD|1AART|2CDMG	1AART|28CDMG|3LHND|4BELT|58ASPD|68VULN|7LEGI|8BPWR|9RCR|aDUST
44	56612 23213	 * 	199.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1aAART|2MDPS|3VULN|4CDMG|5DMG|6RCR|7BEXP|8ASPD|9DUST
45	53311 51522	 * 	199.26	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2CDMG|346MLV|56DMG|6BPWR|7RCR|8RPLT|9ASPD|aVULN
46	21378 13453	   	198.76	DCR|3VULN|2DMG|1AART	1ERES|2MBVNT|3TLV|4AART|579VULN|6aDMG|8RCR
47	21863 13453	   	198.76	DCR|3VULN|2DMG|1AART|1AAC	1ERES|2MBVNT|379VULN|4AART|5AAC|6aDMG|8RCR
48	53211 26511	   	198.45	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	19AART|2CDMG|3aRCVC|4RMIN|5DMG|6RCR|7VULN|8DUR
49	53336 22214	 * 	198.27	DCR|2VULN|3CDMG|1AART|1ASPD	1AART|24aCDMG|3MLV|5aTLV|6RCR|7DUST|8ASPD|9aVULN|aBPWR
50	53211 24116	   	198.14	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	19AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7FEWX|8VULN|aDUR
51	53211 26216	   	198.14	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	19AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7VULN|8FEWX|aDUR
52	53211 26512	   	198.14	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	19AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7VULN|8DUR|aLWND
53	53211 26513	   	198.14	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	19AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7VULN|8DUR|aBEXP
54	53331 22226	   	197.84	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1AART|24CDMG|3MLV|5DMG|6RCR|7DUST|8ASPD|9SPLREG|aVULN
55	56612 22133	   	197.46	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC|1ZMB	1AART|2MDPS|39VULN|4CDMG|5DMG|6RCR|7CGEN|8ZMB|aAAC
56	52124 83432	 * 	197.39	DCR|2VULN|2DMG|1AART|1ASPD	1AART|27LIT|3MBVNT|47VULN|57DMG|6BELT|7BPWR|8CGEN|9ASPD|aRCR
57	52124 83732	   	197.39	DCR|2VULN|2DMG|1AART|1ASPD	1AART|27LIT|3MBVNT|47VULN|57DMG|6BELT|7BPWR|8AME|9ASPD|aRCR
58	53211 26121	   	197.38	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9AAC|aLWND
59	53211 26122	   	197.38	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9AAC|aBEXP
60	53211 26123	   	197.38	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9AAC|aRPLT
61	53211 26125	   	197.38	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9AAC|aMLV
62	53211 26126	   	197.38	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	1AART|2CDMG|3aRCVC|4RMIN|5DMG|6RCR|78VULN|9AAC
63	52124 83532	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|27LIT|3MBVNT|47VULN|57DMG|6BELT|7BPWR|8ERES|9ASPD|aRCR
64	21162 42514	   	197.24	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1ERES|2MBVNT|39DUR|4AART|5CDMG|6RCR|7aVULN|8DMG
65	52134 77333	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LIT|3MBVNT|4CGEN|57VULN|6ASPD|89DMG|aRCR
66	52137 47333	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LIT|3MBVNT|4CGEN|5ASPD|67VULN|89DMG|aRCR
67	52121 73333	   	197.19	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LIT|3MBVNT|45VULN|6ASPD|7CGEN|89DMG|aRCR
68	52124 83136	   	197.16	DCR|3VULN|2DMG|1AART	1AART|27LIT|3MBVNT|47aVULN|57DMG|6BELT|7BPWR|8SPLJET|9RCR
69	52121 77333	   	197.09	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LIT|3MBVNT|45VULN|6ASPD|7TLV|89DMG|aRCR
70	53233 15161	 * 	196.91	DCR|3ASPD|2VULN|3CDMG|1AART|1SELL	1AART|249CDMG|3RCVC|579ASPD|69VULN|8SELL|9BPWR|aRCR
71	53311 26163	   	196.59	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1AART|2CDMG|34MLV|5DMG|6RCR|78VULN|9MDPS|aAAC
72	21863 13483	 * 	196.58	DCR|3DMG|2VULN|1AART|1AAC	1ERES|2MBVNT|37VULN|4AART|5AAC|69aDMG|8RCR
73	53331 25126	   	196.51	DCR|1VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1AART|24CDMG|3MLV|5DMG|6RCR|7ZMB|8DUR|9SPLREG|aVULN
74	53211 12166	   	196.35	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3RCVC|4RMIN|5DMG|68VULN|7DUST|9RCR|aDUR
75	21162 42533	   	196.31	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2MBVNT|3DUR|4AART|5CDMG|6RCR|7VULN|8DMG|9ASPD|aMDPS
76	53331 24124	 * 	195.78	DCR|2DMG|3CDMG|1AART|1VULN	1AART|24aCDMG|3MLV|5aDMG|6RCR|7FEWX|8VULN|9aCGEN|aBPWR
77	53331 26224	   	195.78	DCR|2DMG|3CDMG|1AART|1VULN	1AART|24aCDMG|3MLV|5aDMG|6RCR|7VULN|8FEWX|9aCGEN|aBPWR
78	22114 16324	 * 	195.74	DCR|3VULN|2DMG|1CDMG|1DUR	1ERES|2LHND|3DUR|478VULN|59DMG|6CDMG|aRCR
79	53331 22124	   	195.68	DCR|2DMG|3CDMG|1AART|1VULN	1AART|24aCDMG|3MLV|5aDMG|6RCR|7DUST|8VULN|9aCGEN|aBPWR
80	53331 22154	   	195.68	DCR|2DMG|3CDMG|1AART|1VULN	1AART|24aCDMG|3MLV|5aDMG|6RCR|7DUST|8VULN|9aAME|aBPWR
81	53331 26511	   	195.64	DCR|2AART|1VULN|2CDMG|1DMG|1DUR	19AART|24CDMG|3MLV|5DMG|6RCR|7VULN|8DUR|aRCVC
82	53331 22144	   	195.48	DCR|2DMG|3CDMG|1AART|1VULN	1AART|24aCDMG|3MLV|5aDMG|6RCR|7DUST|8VULN|9aERES|aBPWR
83	53211 26311	   	195.41	DCR|2VULN|1AART|1DMG|1CDMG|2RMIN	1AART|2CDMG|3RCVC|48RMIN|5DMG|6RCR|7aVULN|9LIT
84	21162 42523	   	195.33	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1ERES|2MBVNT|3DUR|4AART|5CDMG|6RCR|79VULN|8DMG|aAAC
85	53331 26512	   	195.32	DCR|2AART|1VULN|2CDMG|1DMG|1DUR	19AART|24CDMG|3MLV|5DMG|6RCR|7VULN|8DUR|aLWND
86	53331 26513	   	195.32	DCR|2AART|1VULN|2CDMG|1DMG|1DUR	19AART|24CDMG|3MLV|5DMG|6RCR|7VULN|8DUR|aBEXP
87	53211 23335	 * 	195.24	DCR|2AART|2DMG|1CDMG|1ZMB|2RMIN	17AART|2CDMG|3RCVC|48RMIN|5aDMG|6RCR|9ZMB
88	21418 74734	 * 	195.21	DCR|3VULN|1ASPD|1DMG|2DUR	17ERES|2MBVNT|3LWND|479VULN|57DUR|6RCR|7BPWR|8DMG|aASPD
89	53331 24213	   	195.16	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1AART|24CDMG|3MLV|5DMG|6RCR|7FEWX|8ASPD|9VULN|aRMIN
90	53211 23635	   	195.12	DCR|2AART|2DMG|1CDMG|1ZMB	17AART|2CDMG|38RCVC|4RMIN|5aDMG|6RCR|9ZMB
91	53211 24213	   	195.09	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2RMIN	1AART|2CDMG|3RCVC|4aRMIN|5DMG|6RCR|7FEWX|8ASPD|9VULN
92	53331 22213	   	195.06	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1AART|24CDMG|3MLV|5DMG|6RCR|7DUST|8ASPD|9VULN|aRMIN
93	32524 13324	 * 	194.96	DCR|3VULN|2DMG|2CDMG	17FEWX|2LEGI|378VULN|4ERES|59DMG|67CDMG|7BPWR|aRCR
94	52126 44333	   	194.96	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|467VULN|5LHND|89DMG|aRCR
95	52121 17333	   	194.96	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|457VULN|6LWND|89DMG|aRCR
96	52121 44533	   	194.96	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|456VULN|79DMG|8BEXP|aRCR
97	52121 45333	   	194.96	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|456VULN|7LWND|89DMG|aRCR
98	52121 64333	   	194.96	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|457VULN|6LHND|89DMG|aRCR
99	52121 87333	   	194.96	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|457VULN|6BEXP|89DMG|aRCR
100	52124 38533	   	194.96	DCR|3VULN|2DMG|1AART	1AART|2LIT|3MBVNT|467VULN|59DMG|8BEXP|aRCR
101	21865 13423	   	194.58	DCR|2VULN|2DMG|1AART|2ZMB	1ERES|2MBVNT|37VULN|4AART|59ZMB|6aDMG|8RCR
102	53331 26121	   	194.55	DCR|2VULN|1AART|2CDMG|1DMG|1AAC	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9AAC|aLHND
103	53331 26122	   	194.55	DCR|2VULN|1AART|2CDMG|1DMG|1AAC	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9AAC|aBEXP
104	53331 26123	   	194.55	DCR|2VULN|1AART|2CDMG|1DMG|1AAC	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9AAC|aRPLT
105	53331 26124	   	194.55	DCR|2VULN|1AART|2CDMG|1DMG|1AAC	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9AAC|aLWND
106	53331 26125	   	194.55	DCR|2VULN|1AART|2CDMG|1DMG|1AAC	1AART|24CDMG|3aMLV|5DMG|6RCR|78VULN|9AAC
107	53331 26126	   	194.55	DCR|2VULN|1AART|2CDMG|1DMG|1AAC	1AART|24CDMG|3MLV|5DMG|6RCR|78VULN|9AAC|aBASARM
108	53311 26131	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|34MLV|5DMG|6RCR|78VULN|9ZMB|aLHND
109	53311 26132	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|34MLV|5DMG|6RCR|78VULN|9ZMB|aBEXP
110	53311 26133	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|34MLV|5DMG|6RCR|78VULN|9ZMB|aRPLT
111	53311 26134	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|34MLV|5DMG|6RCR|78VULN|9ZMB|aLWND
112	53311 26135	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|34aMLV|5DMG|6RCR|78VULN|9ZMB
113	53211 26112	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9LIT|aLWND
114	53211 26113	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9LIT|aCGEN
115	53211 26114	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9LIT|aLHND
116	53211 26115	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9LIT|aFEWX
117	53211 26116	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9LIT|aBEXP
118	53211 26141	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9SPLJET|aLWND
119	53211 26143	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9SPLJET|aRPLT
120	53211 26151	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9CGEN|aLHND
121	53211 26152	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9CGEN|aBEXP
122	53211 26153	   	194.14	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9CGEN|aRPLT
123	53211 24215	   	194.13	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3aRCVC|4RMIN|5DMG|6RCR|7FEWX|8ASPD|9VULN
124	54311 22622	   	194.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2ZMB|3RPLT|4CDMG|5LEGI|6RCR|7MLV|8aVULN|9ASPD
125	54311 23622	   	194.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2ZMB|3RPLT|4CDMG|5LEGI|6RCR|7CGEN|8aVULN|9ASPD
126	53311 26136	   	194.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|34MLV|5DMG|6RCR|78VULN|9ZMB|aBASARM
127	56612 22132	   	194.12	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1AART|2MDPS|39VULN|4CDMG|5DMG|6RCR|7CGEN|8ZMB|aLWND
128	53211 26142	   	194.04	DCR|2VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|78VULN|9SPLJET|aERES
129	54311 24322	   	194.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1AART|2ZMB|3RPLT|4CDMG|5LEGI|6RCR|7aVULN|8ERES|9ASPD
130	56612 22131	   	194.02	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1ZMB	1AART|2MDPS|39VULN|4CDMG|5DMG|6RCR|7CGEN|8ZMB|aDUST
131	53331 43161	   	193.95	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|24CDMG|3MLV|5DMG|6DUR|78VULN|9RCR|aRCVC
132	51635 13422	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2MLV|3MBVNT|4LHND|5ZMB|6DMG|7aVULN|8RCR|9ASPD
133	51635 41422	   	193.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2MLV|3MBVNT|4LHND|5ZMB|6aVULN|7ASPD|8RCR|9DMG
134	21562 42542	   	193.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2MBVNT|3DUST|4AART|5CDMG|6RCR|7aVULN|8DMG|9ZMB
135	36411 13717	 * 	193.89	DCR|3VULN|1SPLARM|1AART|1DMG	1FEWX|2MBVNT|3DMG|468VULN|5BEXP|7AART|9RCR|aSPLARM
136	53211 24211	   	193.82	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7FEWX|8ASPD|9VULN|aCGEN
137	53211 24214	   	193.82	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7FEWX|8ASPD|9VULN|aMULARM
138	53211 24216	   	193.82	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7FEWX|8ASPD|9VULN|aBEXP
139	54311 21621	   	193.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1AART|2ZMB|3RPLT|4CDMG|5LEGI|6RCR|7ASPD|8VULN|9DMG|aFEWX
140	54311 21633	   	193.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1AART|2ZMB|3RPLT|4CDMG|5LEGI|6RCR|7ASPD|8VULN|9BEXP|aDMG
141	56612 23221	   	193.80	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2MDPS|3VULN|4CDMG|5DMG|6RCR|7BEXP|8ASPD|9DMSP|aZMB
142	53331 25113	   	193.74	DCR|1VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1AART|24CDMG|3MLV|5DMG|6RCR|7ZMB|8DUR|9VULN|aRMIN
143	53331 25363	   	193.74	DCR|1VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1AART|24CDMG|3MLV|5DMG|6RCR|7ZMB|8VULN|9DUR|aRMIN
144	36467 34224	 * 	193.72	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1FEWX|2MBVNT|3DMG|4AART|58ASPD|6RCVC|7CDMG|9RCR|aVULN
145	53211 24212	   	193.72	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RCVC|4RMIN|5DMG|6RCR|7FEWX|8ASPD|9VULN|aTLV
146	53211 25113	   	193.66	DCR|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|2RMIN	1AART|2CDMG|3RCVC|4aRMIN|5DMG|6RCR|7ZMB|8DUR|9VULN
147	53211 25363	   	193.66	DCR|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|2RMIN	1AART|2CDMG|3RCVC|4aRMIN|5DMG|6RCR|7ZMB|8VULN|9DUR
148	53331 43162	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|24CDMG|3MLV|5DMG|6DUR|78VULN|9RCR|aLWND
149	53331 43163	   	193.62	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|24CDMG|3MLV|5DMG|6DUR|78VULN|9RCR|aBEXP
150	52121 44127	   	193.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LIT|3MBVNT|456VULN|7DMG|8RPLT|9CDMG|aRCR
151	52124 38127	   	193.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2LIT|3MBVNT|467VULN|5DMG|8RPLT|9CDMG|aRCR
152	36462 47243	   	193.44	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2MBVNT|3DMG|4aAART|5CDMG|6MDPS|7VULN|8ASPD|9RCR
153	36611 18223	   	193.41	DCR|3VULN|1ASPD|1DMG|2DUR	18FEWX|2MBVNT|348VULN|5RPLT|68DUR|7RCR|8BPWR|9DMG|aASPD
154	52126 44373	   	193.22	DCR|4VULN|1AART|1DMG	1AART|2LIT|3MBVNT|4679VULN|5LHND|8DMG|aRCR
155	52126 44483	   	193.22	DCR|4VULN|1AART|1DMG	1AART|2LIT|3MBVNT|4678VULN|5LHND|9DMG|aRCR
156	52121 17373	   	193.22	DCR|4VULN|1AART|1DMG	1AART|2LIT|3MBVNT|4579VULN|6LWND|8DMG|aRCR
157	52121 44573	   	193.22	DCR|4VULN|1AART|1DMG	1AART|2LIT|3MBVNT|4569VULN|7DMG|8BEXP|aRCR
158	52121 45373	   	193.22	DCR|4VULN|1AART|1DMG	1AART|2LIT|3MBVNT|4569VULN|7LWND|8DMG|aRCR
159	52121 64373	   	193.22	DCR|4VULN|1AART|1DMG	1AART|2LIT|3MBVNT|4579VULN|6LHND|8DMG|aRCR
