0	Index      	 *	Score 	Summary	Detail	
1	26413 32151	 * 	249.13	DCR|3VULN|3DMG|1AART|1ASPD|1CDMG	1AART|235DMG|35BPWR|45aVULN|6ASPD|7CGEN|8CDMG|9RCR
59	21565 31323	   	222.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|26ASPD|3FEWX|4CDMG|5DMG|7ZMB|8aVULN|9RCR
60	26512 11323	   	222.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3FEWX|4ZMB|57ASPD|6CDMG|8aVULN|9RCR
61	52512 26323	   	222.50	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1ZMB	15ASPD|2AART|3FEWX|4ZMB|6CDMG|7DMG|8aVULN|9RCR
62	21413 34531	   	222.50	DCR|3ASPD|2VULN|1AART|1DMG|2DUR	1AART|235ASPD|35BPWR|45VULN|6DMG|78DUR|9RCR|aBEXP
63	21413 34533	   	222.50	DCR|3ASPD|2VULN|1AART|1DMG|2DUR	1AART|235ASPD|35BPWR|45VULN|6DMG|78DUR|9RCR|aLIT
64	21413 34532	   	222.40	DCR|3ASPD|2VULN|1AART|1DMG|2DUR	1AART|235ASPD|35BPWR|45VULN|6DMG|78DUR|9RCR|aCANARM
65	21332 23441	   	222.29	DCR|3VULN|2ASPD|1AART|1DMG|1ZMB	1AART|29ASPD|3LIT|469VULN|5DMG|7ZMB|89CGEN|9BPWR|aRCR
66	52332 23441	   	222.29	DCR|3VULN|2ASPD|1AART|1DMG|1ZMB	19ASPD|2AART|3LIT|469VULN|5DMG|7ZMB|89CGEN|9BPWR|aRCR
67	21331 33141	 * 	222.04	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	1AART|29ASPD|3LIT|49VULN|5RCVC|6CGEN|7ZMB|89DMG|9BPWR|aRCR
68	21332 63441	   	222.04	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	1AART|29ASPD|3LIT|49VULN|56DMG|7ZMB|89CGEN|9BPWR|aRCR
69	52331 33141	   	222.04	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	19ASPD|2AART|3LIT|49VULN|5RCVC|6CGEN|7ZMB|89DMG|9BPWR|aRCR
70	21331 63141	   	221.94	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	1AART|29ASPD|3LIT|49VULN|5RCVC|6ERES|7ZMB|89DMG|9BPWR|aRCR
71	52331 63141	   	221.94	DCR|2VULN|2DMG|2ASPD|1AART|1ZMB	19ASPD|2AART|3LIT|49VULN|5RCVC|6ERES|7ZMB|89DMG|9BPWR|aRCR
72	26413 22152	   	221.46	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	1AART|235DMG|35BPWR|45VULN|6ZMB|7CGEN|8CDMG|9RCR|aMBVNT
73	26413 12153	   	221.46	DCR|3DMG|2VULN|1AART|1CDMG|1AAC|1ZMB	1AART|235DMG|35BPWR|45VULN|6AAC|7CGEN|8CDMG|9RCR|aZMB
74	21413 52152	   	221.21	DCR|3ASPD|2VULN|2AART|1CDMG	17AART|235ASPD|35BPWR|45VULN|6BEXP|8CDMG|9RCR|aRMIN
75	21422 22154	   	221.21	DCR|3ASPD|2VULN|2AART|1CDMG	14AART|236ASPD|36BPWR|56LWND|7CDMG|8aVULN|9RCR
76	21413 52151	   	221.11	DCR|3ASPD|2VULN|2AART|1CDMG	17AART|235ASPD|35BPWR|45VULN|6BEXP|8CDMG|9RCR|aERES
77	23134 35341	 * 	221.07	DCR|2VULN|1MDPS|2DMG|2CDMG|1AART|1ASPD	1AART|28VULN|38DMG|4MDPS|5ASPD|6AME|78CDMG|8BPWR|9LIT|aRCR
78	21262 26343	   	220.48	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1AART|25ASPD|3DUR|4RMIN|6CDMG|7DMG|8aVULN|9RCR
79	26262 11343	   	220.48	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|3DUR|4RMIN|57ASPD|6CDMG|8aVULN|9RCR
80	23415 11321	 * 	220.17	DCR|3VULN|2ASPD|1AART|1NUKE|1CDMG|1ZMB	1AART|28aVULN|37ASPD|4ZMB|5NUKE|6CDMG|9RCR
81	26212 16343	   	219.81	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2ZMB|1DUR	1AART|2DMG|3DUR|47ZMB|5ASPD|6CDMG|8aVULN|9RCR
