0	Index      	 *	Score 	Summary	Detail	
1	22611 36261	 * 	203.33	DCR|3VULN|1AART|1NUKE|1ASPD	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9ASPD|aNUKE
13	64236 13312	   	191.70	DCR|3VULN|1AART|1ASPD|1ZMB	1FEWX|2DMSP|346VULN|5AART|7MBVNT|8RCR|9ZMB|aASPD
14	25212 26216	 * 	191.59	DCR|4VULN|1DMG|1CDMG	1TLV|2469VULN|3LEGI|5DMG|7RCR|8BELT|aCDMG
15	25212 23155	 * 	191.40	DCR|4VULN|1ASPD|1DMG	1TLV|2467VULN|3LEGI|5DMG|8FEWX|9RCR|aASPD
16	25212 23635	   	191.40	DCR|4VULN|1ASPD|1DMG	1TLV|2467VULN|3LEGI|5DMG|8LWND|9RCR|aASPD
17	34151 13232	   	190.03	DCR|2VULN|2AART|2ASPD	158LWND|23AART|4MBVNT|68VULN|78ASPD|8BPWR|9FEWX|aRCR
18	34151 13252	   	190.03	DCR|2VULN|2AART|2ASPD	158LWND|23AART|4MBVNT|68VULN|78ASPD|8BPWR|9LHND|aRCR
19	25212 26152	 * 	189.29	DCR|3VULN|1DMG|1CDMG|2DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9aDUR
20	64232 22152	 * 	187.86	DCR|3VULN|1AART|1CDMG|1DUR	1FEWX|2DMSP|346VULN|5DUST|7RCR|8CDMG|9DUR|aAART
21	64236 13314	 * 	187.72	DCR|3VULN|2AART|1ZMB	1FEWX|2DMSP|346VULN|5aAART|7MBVNT|8RCR|9ZMB
22	22613 36161	 * 	187.51	DCR|3VULN|2DMG|1ZMB	1aTLV|2ERES|3BELT|46aVULN|5AELBLL|7RCR|8ZMB|9aDMG|aBPWR
23	22611 36161	   	187.41	DCR|3VULN|2DMG|1ZMB	1aTLV|2aERES|3BELT|456VULN|7RCR|8ZMB|9aDMG|aBPWR
24	34125 16223	 * 	186.95	3VULN|3DMG|2AART|1ASPD|1ZMB	189LWND|23AART|4RMIN|5ZMB|689VULN|789DMG|89BPWR|aASPD
25	52112 36412	 * 	186.84	DCR|3VULN|3ASPD	1BELT|23AME|46aVULN|589ASPD|7RCR
26	22212 26154	   	186.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1TLV|2ERES|36VULN|4CGEN|5DMG|7RCR|8CDMG|9DUR|aASPD
27	34154 25341	   	186.11	DCR|2VULN|2AART|1CDMG|1DUR	1LWND|23AART|4MBVNT|5LIT|6DUR|7RCR|8aVULN|9CDMG
28	34231 43153	   	186.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2AART|3CANARM|4RCVC|5DUR|6aVULN|7ASPD|8CDMG|9RCR
29	25212 26126	   	186.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LWND|aZMB
30	25212 26131	   	186.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9ZMB|aCGEN
31	25212 26132	   	186.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9ZMB|aRCVC
32	25212 26134	   	186.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9ZMB|aLWND
33	25212 26135	   	186.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9ZMB|aLHND
34	25212 26136	   	186.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9ZMB|aRPLT
35	25212 26116	   	185.98	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUST|aZMB
36	25212 26133	   	185.98	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9ZMB|aDUST
37	32266 14311	 * 	185.69	DCR|3VULN|2DMG|1MDPS|1DUR	1aLWND|2BEXP|36aVULN|4DUR|5MDPS|7RCR|8MLV|9aDMG|aBPWR
38	16325 22531	 * 	185.62	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|2AME|3AIRARM|47DMG|59VULN|6DUR|8RCR|aASPD
39	23325 22531	   	185.62	DCR|2VULN|2DMG|1ASPD|1DUR	1TLV|2BEXP|3AIRARM|47DMG|59VULN|6DUR|8RCR|aASPD
40	63325 22531	   	185.62	DCR|2VULN|2DMG|1ASPD|1DUR	1FEWX|2TLV|3AIRARM|47DMG|59VULN|6DUR|8RCR|aASPD
41	24213 36261	   	185.60	DCR|2VULN|1AART|1ASPD|1NUKE	1TLV|24CGEN|36VULN|5BELT|7RCR|8AART|9ASPD|aNUKE
42	25113 36261	   	185.60	DCR|2VULN|1AART|1ASPD|1NUKE	1TLV|26VULN|34CGEN|5BELT|7RCR|8AART|9ASPD|aNUKE
43	25212 23152	   	185.60	DCR|5VULN|1DMG	1TLV|2467aVULN|3LEGI|5DMG|8FEWX|9RCR
44	13325 22531	   	185.52	DCR|2VULN|2DMG|1ASPD|1DUR	1DUST|2TLV|3AIRARM|47DMG|59VULN|6DUR|8RCR|aASPD
45	22613 36261	   	185.50	DCR|2VULN|1AART|1NUKE|1ASPD	1TLV|2ERES|3BELT|46VULN|5AELBLL|7RCR|8AART|9ASPD|aNUKE
46	64236 13344	   	185.46	DCR|4VULN|1AART|1DUR	1FEWX|2DMSP|346aVULN|5AART|7MBVNT|8RCR|9DUR
47	22612 36261	   	185.40	DCR|2VULN|1AART|1NUKE|1ASPD	1TLV|25ERES|3BELT|46VULN|7RCR|8AART|9ASPD|aNUKE
48	25312 25152	 * 	184.99	DCR|4VULN|1DMG|2DUR	1TLV|246aVULN|37DUR|5DMG|8FEWX|9RCR
49	36143 24333	 * 	184.56	ACR|3ASPD|2VULN|2DMG	1aLWND|2RCR|3RMIN|4RPLT|58VULN|6aDMG|79aASPD|aBPWR
50	64232 22132	   	184.15	DCR|3VULN|1DMG|1CDMG|1DUR	1FEWX|2DMSP|346VULN|5DUST|7RCR|8CDMG|9DMG|aDUR
51	25212 26122	   	184.05	DCR|3VULN|1DMG|1CDMG|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LWND|aDUR
52	25212 26151	   	184.05	DCR|3VULN|1DMG|1CDMG|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUR|aRPLT
53	25212 26153	   	184.05	DCR|3VULN|1DMG|1CDMG|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUR|aLWND
54	25212 26162	   	184.05	DCR|3VULN|1DMG|1CDMG|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LHND|aDUR
55	25312 41335	 * 	183.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|24VULN|3DUR|5DMG|6ERES|7LWND|8CDMG|9AART|aRCR
56	25312 43335	   	183.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|24VULN|3DUR|5DMG|6ERES|7LHND|8CDMG|9AART|aRCR
57	25212 26112	   	183.95	DCR|3VULN|1DMG|1CDMG|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUST|aDUR
58	34154 25244	   	183.76	DCR|2AART|2ASPD|1VULN|1DUR	1LWND|23AART|4MBVNT|5LIT|6DUR|7RCR|8aASPD|9VULN
59	13413 53153	   	183.66	DCR|3VULN|1AART|1CDMG|1DUR	1DUST|2TLV|3DUR|45aVULN|6CDMG|7BASARM|8AART|9RCR
60	25311 53153	   	183.66	DCR|3VULN|1AART|1CDMG|1DUR	1TLV|24aVULN|3DUR|5DUST|6CDMG|7BASARM|8AART|9RCR
61	25333 53153	   	183.66	DCR|3VULN|1AART|1CDMG|1DUR	1TLV|25aVULN|3DUR|4DUST|6CDMG|7BASARM|8AART|9RCR
62	22611 36421	   	183.65	DCR|4VULN|1ASPD|1DUR	1TLV|2ERES|3BELT|4569VULN|7RCR|8ASPD|aDUR
63	25512 24231	 * 	183.65	DCR|1MDPS|2ASPD|1VULN|2CDMG|1DMG|1DUR	18TLV|2VULN|38CDMG|4LHND|5MDPS|6DMG|78ASPD|8BPWR|9RCR|aDUR
64	22611 36214	   	183.27	DCR|3VULN|1AART|1NUKE	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9FEWX|aNUKE
65	22611 36235	   	183.27	DCR|3VULN|1AART|1ASPD	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9LIT|aASPD
66	22611 36251	   	183.27	DCR|3VULN|1AART|1DMG	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9AME|aDMG
67	22611 36262	   	183.27	DCR|3VULN|1AART|1ASPD	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9ASPD|aLHND
68	22611 36263	   	183.27	DCR|3VULN|1AART|1ASPD	1TLV|2ERES|3BELT|456VULN|7RCR|8AART|9ASPD|aAELBLL
69	34154 34148	 * 	182.88	DCR|3AART|2VULN|1ASPD	1LWND|236AART|4MBVNT|5LIT|78VULN|9RCR|aASPD
70	34162 14148	   	182.88	DCR|3AART|2VULN|1ASPD	1LWND|234AART|5LIT|6MBVNT|78VULN|9RCR|aASPD
71	31553 23532	   	182.52	DCR|2AART|1VULN|1DMG|1CDMG|1SPLREG	1LWND|2CGEN|3CDMG|4MULARM|5DMG|6VULN|79AART|8RCR|aSPLREG
72	34224 23153	   	182.01	DCR|2VULN|2AART|1CDMG|1DUR	1LWND|24AART|3CANARM|5aVULN|6TLV|7DUR|8CDMG|9RCR
73	61323 33542	 * 	181.91	DCR|2VULN|2AART|1ASPD|1AAC	1FEWX|2CGEN|3LHND|46AART|59VULN|7ASPD|8RCR|aAAC
74	36513 62213	   	181.87	ACR|2VULN|2DMG|2ASPD|1ZMB	1LWND|2RCR|3AME|4aVULN|5aDMG|6LIT|7aASPD|8ZMB|9TLV|aBPWR
75	34221 43151	   	181.79	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LWND|24AART|3CANARM|5DUR|6VULN|7ASPD|8CDMG|9RCR|aBEXP
76	34221 43152	   	181.69	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LWND|24AART|3CANARM|5DUR|6VULN|7ASPD|8CDMG|9RCR|aDUST
77	25212 22335	   	181.67	DCR|4VULN|1DMG|1ZMB	1TLV|246aVULN|3LEGI|5DMG|7LIT|8ZMB|9RCR
78	56111 36111	 * 	181.55	DCR|3VULN|1ASPD|2ZMB|1DUR	1BELT|28ZMB|3AME|456VULN|7RCR|9ASPD|aDUR
79	56211 36111	   	181.55	DCR|3VULN|1ASPD|2ZMB|1DUR	1BELT|28ZMB|3CGEN|456VULN|7RCR|9ASPD|aDUR
80	64236 13322	   	181.37	DCR|3VULN|1AART|1ASPD	1FEWX|2DMSP|346VULN|5AART|7MBVNT|8RCR|9CGEN|aASPD
81	33312 24365	 * 	181.30	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	1LWND|2TLV|3DUR|4VULN|57DMG|6RMIN|8CDMG|9AART|aRCR
82	34125 13223	 * 	180.85	3VULN|3ASPD|2AART|1DMG|1ZMB	189LWND|23AART|4RMIN|5ZMB|689VULN|789ASPD|89BPWR|aDMG
83	36213 44331	 * 	180.76	ACR|3DMG|1VULN|1AART|1CDMG|1DUR	1LWND|2RCR|3VULN|4AELBLL|579DMG|6DUR|8CDMG|aAART
84	36223 44331	   	180.76	ACR|3DMG|1VULN|1AART|1CDMG|1DUR	1LWND|2RCR|3VULN|4RCVC|579DMG|6DUR|8CDMG|aAART
85	34154 34142	 * 	180.65	DCR|3VULN|3AART	1LWND|236AART|4MBVNT|5LIT|78aVULN|9RCR
86	34162 14142	   	180.65	DCR|3VULN|3AART	1LWND|234AART|5LIT|6MBVNT|78aVULN|9RCR
87	25313 61363	   	180.15	DCR|3VULN|1DMG|1CDMG|1DUR	1TLV|248VULN|3DUR|5AELBLL|6LIT|7CDMG|9RCR|aDMG
88	64232 22153	   	179.93	DCR|4VULN|1CDMG|1DUR	1FEWX|2DMSP|346aVULN|5DUST|7RCR|8CDMG|9DUR
89	52112 36235	   	179.86	DCR|2VULN|2ASPD|1AART	1BELT|23AME|46VULN|5aASPD|7RCR|8AART|9LIT
90	25312 23151	   	179.75	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8FEWX|9RCR|aLWND
91	25312 23154	   	179.75	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8FEWX|9RCR|aDMSP
92	25312 23155	   	179.75	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8aFEWX|9RCR
93	25312 23156	   	179.75	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8FEWX|9RCR|aRPLT
94	25312 23651	   	179.75	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8aLWND|9RCR
95	25312 23652	   	179.75	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8LWND|9RCR|aBEXP
96	25312 53152	   	179.75	DCR|4VULN|1DMG|1DUR	1TLV|247aVULN|3DUR|5DMG|6AELBLL|8FEWX|9RCR
97	34433 32523	   	179.71	DCR|2VULN|2AART|1ASPD	1LWND|26AART|3FEWX|4ASPD|5aVULN|7CGEN|8RCR|9RPLT
98	34433 33523	   	179.71	DCR|2VULN|2AART|1ASPD	1LWND|26AART|3FEWX|4ASPD|5aVULN|7MLV|8RCR|9RPLT
99	61323 33541	   	179.71	DCR|2VULN|2AART|1ASPD	1FEWX|2CGEN|3aLHND|46AART|59VULN|7ASPD|8RCR
100	25312 23153	   	179.65	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8FEWX|9RCR|aERES
101	25312 23653	   	179.65	DCR|4VULN|1DMG|1DUR	1TLV|2467VULN|3DUR|5DMG|8LWND|9RCR|aERES
102	34433 31523	   	179.61	DCR|2VULN|2AART|1ASPD|1AAC	1LWND|26AART|3FEWX|4ASPD|5aVULN|7AAC|8RCR|9RPLT
103	61323 33543	   	179.61	DCR|2VULN|2AART|1ASPD|1MSE	1FEWX|2CGEN|3LHND|46AART|59VULN|7ASPD|8RCR|aMSE
104	22611 36212	   	179.06	DCR|4VULN|1AART	1TLV|2ERES|3BELT|456aVULN|7RCR|8AART|9FEWX
105	52112 36121	   	178.33	DCR|3VULN|1ASPD|1ZMB|1DUR	1BELT|23AME|469VULN|5ASPD|7RCR|8ZMB|aDUR
106	25212 26321	   	178.13	DCR|3VULN|1DMG|1ZMB|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8LWND|9ZMB|aDUR
107	25212 26421	   	178.13	DCR|3VULN|1DMG|1ZMB|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8FEWX|9ZMB|aDUR
108	25212 26521	   	178.13	DCR|3VULN|1DMG|1ZMB|1DUR	1TLV|246VULN|3LEGI|5DMG|7RCR|8BEXP|9ZMB|aDUR
109	22212 26124	   	177.97	DCR|2VULN|1ASPD|1DMG|1CDMG	1TLV|2ERES|36VULN|4CGEN|5DMG|7RCR|8CDMG|9LWND|aASPD
110	22212 26164	   	177.97	DCR|2VULN|1ASPD|1DMG|1CDMG	1TLV|2ERES|36VULN|4CGEN|5DMG|7RCR|8CDMG|9LHND|aASPD
111	22212 26114	   	177.87	DCR|2VULN|1ASPD|1DMG|1CDMG	1TLV|2ERES|36VULN|4CGEN|5DMG|7RCR|8CDMG|9DUST|aASPD
112	34633 61233	 * 	177.69	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC	1LWND|2AART|3DUST|4ASPD|56VULN|7AAC|8BELT|9RCR|aCDMG
113	13325 43153	   	177.59	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2TLV|3AIRARM|4DMG|5aVULN|6AME|7AART|8CDMG|9RCR
114	13325 53153	   	177.59	DCR|2VULN|1AART|1DMG|1CDMG	1DUST|2TLV|3AIRARM|4DMG|5aVULN|6MLV|7AART|8CDMG|9RCR
115	12253 38833	   	177.46	DCR|3VULN|1AART|1CDMG	1DUST|2BEXP|369VULN|4BELT|5MBVNT|7AART|8RCR|aCDMG
116	36111 62632	 * 	177.43	ACR|3VULN|1AART|1ASPD|1CDMG	1LWND|2RCR|3RMIN|469VULN|5AART|7CGEN|8ASPD|aCDMG
117	36123 62632	   	177.43	ACR|3VULN|1AART|1ASPD|1CDMG	1LWND|2RCR|3RMIN|4AART|569VULN|7CGEN|8ASPD|aCDMG
118	11161 35431	 * 	177.37	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG	1DUST|23CGEN|4ASPD|5MDPS|6DMG|7CDMG|8VULN|9RCR|aAART
119	25513 61232	 * 	177.36	DCR|1SPLARM|1AART|1VULN|1DMG|1CDMG|1DUR	1TLV|2VULN|3CDMG|4LHND|5SPLARM|6BEXP|7DUR|8RCR|9DMG|aAART
120	16321 12561	   	177.31	DCR|2VULN|2DMG|1ASPD	1DUST|2AME|3AIRARM|47DMG|5BEXP|69VULN|8RCR|aASPD
121	16322 12561	   	177.31	DCR|2VULN|2DMG|1ASPD	1DUST|2AME|3AIRARM|47DMG|5FEWX|69VULN|8RCR|aASPD
122	16325 12521	   	177.31	DCR|2VULN|2DMG|1ASPD	1DUST|2AME|3AIRARM|49DMG|56VULN|7LHND|8RCR|aASPD
123	23325 12521	   	177.31	DCR|2VULN|2DMG|1ASPD	1TLV|2BEXP|3AIRARM|49DMG|56VULN|7LHND|8RCR|aASPD
124	63325 12521	   	177.31	DCR|2VULN|2DMG|1ASPD	1FEWX|2TLV|3AIRARM|49DMG|56VULN|7LHND|8RCR|aASPD
125	13325 12521	   	177.21	DCR|2VULN|2DMG|1ASPD	1DUST|2TLV|3AIRARM|49DMG|56VULN|7LHND|8RCR|aASPD
126	22611 32264	   	177.17	DCR|3VULN|1AART|1ASPD	1TLV|2ERES|3BELT|456VULN|7DUST|8AART|9ASPD|aRCR
127	25212 26224	   	177.08	DCR|3VULN|2DMG	1TLV|246VULN|3LEGI|5aDMG|7RCR|8BELT|9AME
128	25212 26611	   	177.08	DCR|3VULN|2DMG	1TLV|246VULN|3LEGI|59DMG|7RCR|8CGEN|aFEWX
129	25212 26613	   	177.08	DCR|3VULN|2DMG	1TLV|246VULN|3LEGI|59DMG|7RCR|8CGEN|aLIT
130	36213 44332	 * 	177.05	ACR|3DMG|1VULN|1NUKE|1CDMG|1DUR	1LWND|2RCR|3VULN|4AELBLL|579DMG|6DUR|8CDMG|aNUKE
131	36223 44332	   	177.05	ACR|3DMG|1VULN|1NUKE|1CDMG|1DUR	1LWND|2RCR|3VULN|4RCVC|579DMG|6DUR|8CDMG|aNUKE
132	34125 13224	 * 	177.04	3VULN|3ASPD|2AART|1CDMG|1ZMB	189LWND|23AART|4RMIN|5ZMB|689VULN|789ASPD|89BPWR|aCDMG
133	25212 26612	   	176.98	DCR|3VULN|2DMG	1TLV|246VULN|3LEGI|59DMG|7RCR|8CGEN|aDUST
134	56111 36131	 * 	176.96	DCR|3VULN|1AART|2ZMB	19BELT|28ZMB|3AME|456VULN|7RCR|aAART
135	56211 36131	   	176.96	DCR|3VULN|1AART|2ZMB	19BELT|28ZMB|3CGEN|456VULN|7RCR|aAART
136	22212 26156	   	176.55	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR	1TLV|2ERES|36VULN|4CGEN|5DMG|7RCR|8CDMG|9DUR|aZMB
137	25512 14231	 * 	176.44	DCR|2VULN|1MDPS|2ASPD|1CDMG|1AAC|1DUR	18TLV|28VULN|3CDMG|4LHND|5MDPS|6AAC|78ASPD|8BPWR|9RCR|aDUR
138	26132 63153	   	176.36	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1TLV|2AART|3DUR|4AME|5ZMB|6aVULN|7SNIFST|8CDMG|9RCR
139	23413 53153	   	176.26	DCR|2VULN|1AART|1CDMG|1ZMB|1DUR	1TLV|2BEXP|3DUR|45VULN|6CDMG|7BASARM|8AART|9RCR|aZMB
140	56332 81414	   	176.02	DCR|2ASPD|1VULN|1AART|1ZMB|1DUR	1BELT|2ZMB|3AELBLL|4MBVNT|57ASPD|6DUR|8RCR|9VULN|aAART
141	52112 36142	   	175.97	DCR|2VULN|1AART|1ASPD|1ZMB	1BELT|23AME|46VULN|5ASPD|7RCR|8ZMB|9FEWX|aAART
142	52112 36262	   	175.97	DCR|2VULN|1AART|1ASPD|1ZMB	1BELT|23AME|46VULN|5ASPD|7RCR|8AART|9ZMB|aLHND
143	52112 36263	   	175.97	DCR|2VULN|1AART|1ASPD|1ZMB	1BELT|23AME|46VULN|5ASPD|7RCR|8AART|9ZMB|aAELBLL
144	31163 26126	   	175.94	DCR|3VULN|1ASPD|1CDMG	19LWND|23CGEN|4ASPD|56aVULN|7RCR|8CDMG
145	64232 22131	   	175.84	DCR|3VULN|1DMG|1CDMG	1FEWX|2DMSP|346VULN|5DUST|7RCR|8CDMG|9DMG|aCGEN
146	64232 22133	   	175.84	DCR|3VULN|1DMG|1CDMG	1FEWX|2DMSP|346VULN|5DUST|7RCR|8CDMG|9DMG|aRMIN
147	64232 22134	   	175.84	DCR|3VULN|1DMG|1CDMG	1FEWX|2DMSP|346VULN|5DUST|7RCR|8CDMG|9DMG|aLWND
148	64232 22135	   	175.84	DCR|3VULN|1DMG|1CDMG	1FEWX|2DMSP|346VULN|5DUST|7RCR|8CDMG|9DMG|aLHND
149	64232 22136	   	175.84	DCR|3VULN|1DMG|1CDMG	1FEWX|2DMSP|346VULN|5DUST|7RCR|8CDMG|9DMG|aRPLT
150	23412 36251	 * 	175.74	DCR|2VULN|2CDMG|1DMG|1DUR	1TLV|2BEXP|3DUR|4aVULN|5LIT|6RCR|7DMG|89CDMG
151	25212 26121	   	175.74	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LWND|aRPLT
152	25212 26123	   	175.74	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LWND|aMLV
153	25212 26125	   	175.74	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LWND|aRMIN
154	25212 26161	   	175.74	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LHND|aRPLT
155	25212 26163	   	175.74	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9LHND|aMLV
156	25212 26236	   	175.74	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8BELT|9BEXP|aCDMG
157	12253 38843	   	175.70	DCR|2VULN|2AART|1CDMG	1DUST|2BEXP|36VULN|4BELT|5MBVNT|79AART|8RCR|aCDMG
158	36111 32632	 * 	175.67	ACR|2VULN|2AART|1ASPD|1CDMG	1LWND|2RCR|3RMIN|49VULN|56AART|7CGEN|8ASPD|aCDMG
159	36123 32632	   	175.67	ACR|2VULN|2AART|1ASPD|1CDMG	1LWND|2RCR|3RMIN|46AART|59VULN|7CGEN|8ASPD|aCDMG
160	36124 35132	   	175.67	ACR|2VULN|2AART|1ASPD|1CDMG	1LWND|2RCR|3RMIN|46AART|5CGEN|7ASPD|89VULN|aCDMG
161	36124 36132	 * 	175.67	ACR|2VULN|2AART|1DMG|1CDMG	1LWND|2RCR|3RMIN|46AART|5CGEN|7DMG|89VULN|aCDMG
162	25212 26111	   	175.64	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUST|aRPLT
163	25212 26113	   	175.64	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUST|aMLV
164	25212 26115	   	175.64	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8CDMG|9DUST|aRMIN
165	25212 26242	   	175.64	DCR|3VULN|1DMG|1CDMG	1TLV|246VULN|3LEGI|5DMG|7RCR|8BELT|9BASFIG|aCDMG
166	31553 23533	   	175.58	DCR|2AART|1VULN|1DMG|1CDMG	1LWND|2aCGEN|3CDMG|4MULARM|5DMG|6VULN|79AART|8RCR
167	22263 63252	   	175.56	DCR|3VULN|1ASPD|1DMG	1TLV|2ERES|36aVULN|47LHND|5DMG|8ASPD|9RCR
168	25212 26332	   	175.44	DCR|4VULN|1DMG	1aTLV|246aVULN|3LEGI|5DMG|7RCR|8LWND|9aCGEN|aBPWR
169	11413 52511	 * 	175.36	DCR|2VULN|1MDPS|1AART|2CDMG|1DUR	1DUST|2CGEN|3DUR|45VULN|69CDMG|7MDPS|8RCR|aAART
170	23413 52511	   	175.36	DCR|2VULN|1MDPS|1AART|2CDMG|1DUR	1TLV|2BEXP|3DUR|45VULN|69CDMG|7MDPS|8RCR|aAART
171	22611 36423	   	175.34	DCR|4VULN|1ASPD	1TLV|2ERES|3BELT|4569VULN|7RCR|8ASPD|aBEXP
172	25212 26212	   	175.34	DCR|4VULN|1DMG	1TLV|2469VULN|3LEGI|5DMG|7RCR|8BELT|aMULFIG
173	25212 26215	   	175.34	DCR|4VULN|1DMG	1TLV|2469VULN|3LEGI|5DMG|7RCR|8BELT|aCGEN
174	25212 26232	   	175.34	DCR|4VULN|1DMG	1TLV|246aVULN|3LEGI|5DMG|7RCR|8BELT|9BEXP
175	25212 26632	   	175.34	DCR|4VULN|1DMG	1TLV|246aVULN|3LEGI|5DMG|7RCR|8CGEN|9MLV
