0	Index      	 *	Score 	Summary	Detail	
1	32341 12325	 * 	286.42	DCR|3LIT|3VULN|1DMG|1CDMG	19TLV|2CDMG|3AART|479VULN|589LIT|6RCR|9BPWR|aDMG
16	32122 78437	 * 	268.64	DCR|3VULN|1LIT|1MLV|3CDMG	1TLV|258CDMG|359VULN|4MBVNT|5BPWR|6LIT|7RCR|aMLV
17	32122 35272	   	267.93	DCR|4VULN|1LIT|2CDMG|1DMG	1TLV|25CDMG|3579VULN|4MBVNT|5BPWR|6DMG|8RCR|aLIT
18	32122 31242	   	266.55	DCR|3VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9RCVC|aLIT
19	32122 31261	   	266.55	DCR|3VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9LIT|aLWND
20	32122 31262	   	266.55	DCR|3VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9LIT|aLHND
21	32122 31265	   	266.55	DCR|3VULN|1LIT|2DMG|2CDMG	17aTLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9LIT
22	32122 31266	   	266.45	DCR|3VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9LIT|aLEGI
23	32122 31267	   	266.45	DCR|3VULN|1LIT|2DMG|2CDMG|1DUR	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9LIT|aDUR
24	32126 31272	   	266.45	DCR|3VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|379VULN|4MBVNT|67DMG|7BPWR|8RCR|aLIT
25	32341 12321	   	266.36	DCR|3LIT|3VULN|1CDMG	19TLV|2CDMG|3AART|479VULN|589LIT|6RCR|9BPWR|aCGEN
26	32341 12323	   	266.36	DCR|3LIT|3VULN|1CDMG	19TLV|2CDMG|3AART|479VULN|589LIT|6RCR|9BPWR|aLHND
27	32341 12326	   	266.36	DCR|3LIT|3VULN|1CDMG	19TLV|2CDMG|3AART|479VULN|589LIT|6RCR|9BPWR|aLWND
28	32341 12322	   	266.26	DCR|3LIT|3VULN|1CDMG	19TLV|2CDMG|3AART|479VULN|589LIT|6RCR|9BPWR|aDUST
29	32122 35872	   	266.13	DCR|4VULN|1LIT|2CDMG|1DMG	1TLV|25CDMG|3578VULN|4MBVNT|5BPWR|6DMG|9RCR|aLIT
30	51632 31262	   	265.85	DCR|4VULN|1LIT|2DMG	1DMSP|2579VULN|3RPLT|457CGEN|57BPWR|67DMG|8RCR|aLIT
31	51214 53121	 * 	265.41	ACR|2LIT|3VULN|1MLV|2ASPD	1DMSP|26aVULN|3aASPD|4FEWX|5RCR|7MLV|8RPLT|9aLIT|aBPWR
32	51224 53121	   	265.31	ACR|2LIT|3VULN|1MLV|2ASPD|1DUR	1DMSP|26aVULN|3aASPD|4DUR|5RCR|7MLV|8RPLT|9aLIT|aBPWR
33	32122 31214	 * 	264.74	DCR|3VULN|2DMG|1MLV|2CDMG|1DUR	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8RCR|9DUR|aMLV
34	32126 31872	   	264.65	DCR|3VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|378VULN|4MBVNT|67DMG|7BPWR|9RCR|aLIT
35	32122 35372	   	264.55	DCR|3VULN|1LIT|2DMG|2CDMG	1TLV|25CDMG|357VULN|4MBVNT|5BPWR|68DMG|9RCR|aLIT
36	32131 21441	   	264.30	DCR|3VULN|1LIT|1MLV|2CDMG	1TLV|24CDMG|35aVULN|6RCR|7ERES|8LIT|9MLV
37	32341 16325	   	264.18	DCR|3LIT|2VULN|1DMG|1CDMG	19TLV|2CDMG|37AART|49VULN|589LIT|6RCR|9BPWR|aDMG
38	51332 32533	   	263.90	DCR|2LIT|3VULN|1MLV	1DMSP|29aVULN|39LIT|4LHND|5MLV|679FEWX|8RCR|9BPWR
39	21135 11413	   	263.85	DCR|2LIT|2VULN|1MLV|1CDMG	1DUST|2CGEN|3MLV|4aVULN|59LIT|6CDMG|7RCR|8ZMB
40	21135 11315	 * 	263.27	DCR|2MLV|1LIT|2VULN|2CDMG|1ASPD	19DUST|2CGEN|39MLV|48VULN|5LIT|69CDMG|7RCR|9BPWR|aASPD
41	21135 11433	   	263.12	DCR|3VULN|1LIT|1MLV|1CDMG	1DUST|2CGEN|3MLV|49aVULN|5LIT|6CDMG|7RCR|8ZMB
42	32122 31538	   	262.95	DCR|3VULN|1LIT|2DMG|2CDMG	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8LIT|9AART|aRCR
43	32122 35264	   	262.42	DCR|3VULN|1LIT|2CDMG|1DMG|1ASPD	1TLV|25CDMG|357VULN|4MBVNT|5BPWR|6DMG|8RCR|9LIT|aASPD
44	51312 54131	   	262.00	DCR|2LIT|3VULN|1MLV	18DMSP|26aVULN|3aLIT|4DUST|5MLV|7aBEXP|9RCR|aBPWR
45	51312 52331	   	261.90	DCR|2LIT|3VULN|1MLV	1DMSP|26aVULN|3aLIT|48DUST|5MLV|7aLWND|9RCR|aBPWR
46	51312 54231	   	261.90	DCR|2LIT|3VULN|1MLV	1DMSP|26aVULN|3aLIT|48DUST|5MLV|7aBEXP|9RCR|aBPWR
47	26612 52331	   	261.80	DCR|2LIT|3VULN|1MLV	18aDUST|2aLIT|346VULN|5MLV|7aLWND|9RCR|aBPWR
48	32122 31432	   	261.24	DCR|3VULN|2DMG|1MLV|2CDMG	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8MLV|9LWND|aRCR
49	32122 31452	   	261.24	DCR|3VULN|2DMG|1MLV|2CDMG	17TLV|25CDMG|357VULN|4MBVNT|57BPWR|67DMG|8MLV|9LHND|aRCR
50	32122 11883	   	260.70	DCR|3VULN|1LIT|1MLV|2CDMG	1TLV|25CDMG|35aVULN|4MBVNT|5BPWR|6DUST|7MLV|8RCR|9LIT
51	32133 64252	   	260.55	DCR|3VULN|1LIT|1MLV|2CDMG|1SELL	1TLV|24CDMG|37aVULN|5MLV|6SELL|8RCR|9LIT
52	16612 42333	   	260.10	DCR|2LIT|3VULN|1MLV	19LWND|26LIT|349VULN|5MLV|7LHND|89DUST|9BPWR|aRCR
53	32341 13234	   	258.81	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|2CDMG|3AART|4aVULN|57LIT|6RCR|8LWND|9MLV
54	32341 13624	   	258.81	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|2CDMG|3AART|4aVULN|57LIT|6RCR|8BEXP|9MLV
55	32353 12224	   	258.81	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|2CDMG|3AART|48LIT|5BEXP|6RCR|7aVULN|9MLV
56	32353 12624	   	258.81	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|2CDMG|3AART|49LIT|5BEXP|6RCR|7aVULN|8MLV
57	32341 12364	   	258.81	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|2CDMG|3AART|47VULN|58LIT|6RCR|9CGEN|aMLV
58	32341 12314	   	258.71	DCR|2LIT|2VULN|1MLV|1CDMG	1TLV|2CDMG|3AART|47VULN|58LIT|6RCR|9ERES|aMLV
59	32122 11888	 * 	258.62	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG	1TLV|25CDMG|35VULN|4MBVNT|5BPWR|6DUST|7MLV|8RCR|9LIT|aDMG
60	32353 12634	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1TLV|2CDMG|3AART|4LIT|5BEXP|6RCR|79aVULN|8MLV
61	32341 12234	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1TLV|2CDMG|3AART|47aVULN|5LIT|6RCR|8LWND|9MLV
62	32341 12624	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1TLV|2CDMG|3AART|47aVULN|5LIT|6RCR|8BEXP|9MLV
63	32353 12124	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1TLV|2CDMG|3AART|4LIT|5BEXP|6RCR|78aVULN|9MLV
64	51332 32532	   	258.01	DCR|2LIT|2VULN|1MLV|1AART	1DMSP|29VULN|39LIT|4LHND|5MLV|679FEWX|8RCR|9BPWR|aAART
65	32141 21441	   	257.98	DCR|3VULN|1LIT|1MLV|1CDMG	1TLV|2CDMG|35aVULN|4DMSP|6RCR|7ERES|8LIT|9MLV
66	32126 31264	   	257.96	DCR|1LIT|2VULN|2DMG|2CDMG|1ASPD	17TLV|25CDMG|37VULN|4MBVNT|67DMG|7BPWR|8RCR|9LIT|aASPD
67	32341 11324	   	257.47	DCR|3LIT|2VULN|2CDMG	19TLV|27CDMG|3AART|49VULN|589LIT|6RCR|9BPWR|aZMB
68	32122 78734	 * 	257.34	DCR|2LIT|2VULN|2ASPD|2CDMG	1TLV|25CDMG|35VULN|4MBVNT|5BPWR|68LIT|7RCR|9aASPD
69	51312 44131	   	257.16	DCR|3LIT|2VULN|1MLV	18DMSP|2aVULN|36aLIT|4DUST|5MLV|7aBEXP|9RCR|aBPWR
70	35353 11481	   	257.11	DCR|2LIT|2VULN|1MLV|1CDMG	1aTLV|2BELT|3aLIT|4CDMG|5MLV|6MBVNT|7RCR|8AART|9aVULN|aBPWR
71	12315 43331	   	257.06	DCR|3LIT|2VULN|1MLV	12aLWND|2aBPWR|36aLIT|48DUST|5MLV|7aVULN|9RCR
72	16315 13331	   	257.06	DCR|3LIT|2VULN|1MLV	1aLWND|23aLIT|48DUST|5MLV|6RCVC|7aVULN|9RCR|aBPWR
73	51312 42331	   	257.06	DCR|3LIT|2VULN|1MLV	1DMSP|2aVULN|36aLIT|48DUST|5MLV|7aLWND|9RCR|aBPWR
74	51312 44231	   	257.06	DCR|3LIT|2VULN|1MLV	1DMSP|2aVULN|36aLIT|48DUST|5MLV|7aBEXP|9RCR|aBPWR
75	26612 42331	   	256.96	DCR|3LIT|2VULN|1MLV	18aDUST|26aLIT|34VULN|5MLV|7aLWND|9RCR|aBPWR
76	53325 43331	   	256.96	DCR|3LIT|2VULN|1MLV	1DMSP|28aDUST|36aLIT|4LWND|5MLV|7aVULN|9RCR|aBPWR
77	56612 13121	   	256.89	DCR|2LIT|2MLV|2VULN|1DUR	15DMSP|2RMIN|3aMLV|4DUR|6RCR|7aVULN|8RPLT|9aLIT|aBPWR
