0	Index      	 *	Score 	Summary	Detail	
1	32811 27162	 * 	288.86	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1MBVNT|2BEXP|35VULN|4LSRREG|69RCR|7DMG|8DUR|aTLV
39	37141 52464	   	265.68	DCR|DCR|2VULN|2TLV	1MBVNT|2aVULN|3CGEN|4aTLV|5BASARM|6LHND|79RCR|8aZMB|aBPWR
40	34431 38163	   	265.61	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1MBVNT|2AME|3MLV|4BASHEA|5DMG|6VULN|79RCR|8DUR|aCDMG
41	34434 27163	   	265.61	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1MBVNT|2AME|3MLV|4BASHEA|5VULN|69RCR|7DMG|8DUR|aCDMG
42	34461 27163	   	265.61	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1MBVNT|2AME|3MLV|4VULN|5BASARM|69RCR|7DMG|8DUR|aCDMG
43	37241 22464	   	265.58	DCR|DCR|2VULN|2TLV	1MBVNT|2aVULN|3ERES|4aTLV|5BASARM|69RCR|7LHND|8aZMB|aBPWR
44	37241 52464	   	265.58	DCR|DCR|2VULN|2TLV	1MBVNT|2aVULN|3ERES|4aTLV|5BASARM|6LHND|79RCR|8aZMB|aBPWR
45	34434 23165	   	265.03	DCR|DCR|2VULN|1MLV|1DUR	1MBVNT|2AME|3MLV|4BASHEA|5aVULN|69RCR|7ASPD|8DUR
46	34461 23165	   	265.03	DCR|DCR|2VULN|1MLV|1DUR	1MBVNT|2AME|3MLV|4aVULN|5BASARM|69RCR|7ASPD|8DUR
47	34434 23162	   	265.03	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1MBVNT|2AME|3MLV|4BASHEA|5VULN|69RCR|7ASPD|8DUR|aTLV
48	34461 23162	   	265.03	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1MBVNT|2AME|3MLV|4VULN|5BASARM|69RCR|7ASPD|8DUR|aTLV
49	32541 12827	   	264.73	DCR|DCR|3VULN|1AART	1MBVNT|2BEXP|3FRZICY|4DUST|568VULN|7aRCR|9AART
50	32811 32827	   	264.73	DCR|DCR|3VULN|1AART	1MBVNT|2BEXP|358VULN|4LSRREG|6FEWX|7aRCR|9AART
51	37541 24427	   	264.63	DCR|DCR|3VULN|1AART	1MBVNT|257VULN|3SPLARM|4DUST|6aRCR|8FEWX|9AART
52	32711 12827	   	264.63	DCR|DCR|3VULN|1AART	1MBVNT|2BEXP|3DUST|4MSLFST|568VULN|7aRCR|9AART
53	32811 42827	   	264.63	DCR|DCR|3VULN|1AART	1MBVNT|2BEXP|358VULN|4LSRREG|6DUST|7aRCR|9AART
54	34425 44128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV	1MBVNT|2AME|3MLV|4LWND|5ZMB|6DMG|79VULN|8aRCR
55	34443 14128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1MBVNT|2AME|3MLV|4DMG|5AAC|6LHND|79VULN|8aRCR
56	34443 34128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1MBVNT|2AME|3MLV|4DMG|5AAC|6LWND|79VULN|8aRCR
57	34448 14128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV	1MBVNT|2AME|3MLV|4DMG|5ZMB|6LHND|79VULN|8aRCR
58	34448 34128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV	1MBVNT|2AME|3MLV|4DMG|5ZMB|6LWND|79VULN|8aRCR
59	34463 16128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1MBVNT|2AME|3MLV|49VULN|5AAC|6FEWX|7DMG|8aRCR
60	34463 26128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1MBVNT|2AME|3MLV|49VULN|5AAC|6BEXP|7DMG|8aRCR
61	34463 45128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1MBVNT|2AME|3MLV|49VULN|5AAC|6DMG|7BEXP|8aRCR
62	34463 46128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV|1AAC	1MBVNT|2AME|3MLV|49VULN|5AAC|6DMG|7LWND|8aRCR
63	34871 44128	   	264.61	DCR|DCR|2VULN|1DMG|1MLV	1MBVNT|2AME|3LHND|4ZMB|5MLV|6DMG|79VULN|8aRCR
64	34482 44128	   	264.51	DCR|DCR|2VULN|1DMG|1MLV	1MBVNT|2AME|3MLV|4ZMB|5DUST|6DMG|79VULN|8aRCR
65	34431 38562	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MBVNT|2AME|3MLV|4BASHEA|5DMG|6VULN|79RCR|8BEXP|aTLV
66	34434 27562	   	264.51	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MBVNT|2AME|3MLV|4BASHEA|5VULN|69RCR|7DMG|8BEXP|aTLV
67	34431 38662	   	264.41	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MBVNT|2AME|3MLV|4BASHEA|5DMG|6VULN|79RCR|8LEGI|aTLV
68	34434 27662	   	264.41	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1MBVNT|2AME|3MLV|4BASHEA|5VULN|69RCR|7DMG|8LEGI|aTLV
69	37571 23434	   	263.18	DCR|DCR|2VULN|1DUR|1CDMG	1MBVNT|25VULN|3SPLARM|4FEWX|6aRCR|7ASPD|8CDMG|9DUR
70	37541 23163	   	263.08	DCR|DCR|2VULN|1DUR|1CDMG	1MBVNT|25VULN|3SPLARM|4DUST|69RCR|7ASPD|8DUR|aCDMG
71	32223 36188	   	262.93	DCR|DCR|2DMG|1VULN|1MLV	1MBVNT|2BEXP|3ERES|4ASPD|5VULN|6MLV|79DMG|8aRCR
72	32811 27161	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1MBVNT|2BEXP|35VULN|4LSRREG|69RCR|7DMG|8DUR|aLHND
73	35211 38162	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2SNITOX|3DMSP|4LWND|5DMG|6VULN|79RCR|8DUR|aTLV
74	37141 27161	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3CGEN|4TLV|5BASARM|69RCR|7DMG|8DUR|aLHND
75	37141 27164	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3CGEN|4TLV|5BASARM|69RCR|7DMG|8DUR|aLIT
76	35214 27162	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2SNITOX|3DMSP|4LWND|5VULN|69RCR|7DMG|8DUR|aTLV
77	31166 21428	   	262.55	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1MBVNT|2NUKE|3FEWX|49VULN|5DMG|6DUR|7aRCR|8AEFRZ
78	31168 41428	   	262.55	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1MBVNT|2NUKE|3FEWX|49VULN|5DUR|6DMG|7aRCR|8AEFRZ
79	31266 21428	   	262.55	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1MBVNT|2NUKE|3BEXP|49VULN|5DMG|6DUR|7aRCR|8AEFRZ
80	31268 41428	   	262.55	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1MBVNT|2NUKE|3BEXP|49VULN|5DUR|6DMG|7aRCR|8AEFRZ
81	31368 41428	   	262.55	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1MBVNT|2NUKE|3LWND|49VULN|5DUR|6DMG|7aRCR|8AEFRZ
82	31826 24128	   	262.55	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1MBVNT|2NUKE|3LEGI|4DUR|5DMG|6RCVC|79VULN|8aRCR
83	32811 27164	   	262.55	DCR|DCR|2VULN|1DMG|1DUR	1MBVNT|2BEXP|35VULN|4LSRREG|69RCR|7DMG|8DUR|aTBNT
84	34631 38162	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2AME|3CGEN|4BASHEA|5DMG|6VULN|79RCR|8DUR|aTLV
85	34634 27162	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2AME|3CGEN|4BASHEA|5VULN|69RCR|7DMG|8DUR|aTLV
86	35231 38162	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2SNITOX|3DMSP|4AETHUN|5DMG|6VULN|79RCR|8DUR|aTLV
87	35234 27162	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2SNITOX|3DMSP|4AETHUN|5VULN|69RCR|7DMG|8DUR|aTLV
88	35244 27162	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2SNITOX|3DMSP|4DUST|5VULN|69RCR|7DMG|8DUR|aTLV
89	37141 27163	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3CGEN|4TLV|5BASARM|69RCR|7DMG|8DUR|aDUST
90	37241 27161	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3ERES|4TLV|5BASARM|69RCR|7DMG|8DUR|aLHND
91	37241 27164	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3ERES|4TLV|5BASARM|69RCR|7DMG|8DUR|aLIT
92	37241 27163	   	262.45	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2VULN|3ERES|4TLV|5BASARM|69RCR|7DMG|8DUR|aDUST
93	37141 23162	   	259.86	DCR|DCR|2TLV|1VULN|1DUR	1MBVNT|2VULN|3CGEN|4aTLV|5BASARM|69RCR|7ASPD|8DUR
94	37241 23162	   	259.76	DCR|DCR|2TLV|1VULN|1DUR	1MBVNT|2VULN|3ERES|4aTLV|5BASARM|69RCR|7ASPD|8DUR
95	37124 36148	   	259.09	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|3CGEN|4ASPD|5DUR|6MLV|7DMG|8aRCR|9DMSP
96	37124 36128	   	258.99	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|3CGEN|4ASPD|5DUR|6MLV|7DMG|8aRCR|9AEFBLL
