0	Index      	 *	Score 	Summary	Detail	
1	52614 21233	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2TLV|3RPLT|4DMSP|5DMG|6FRZICY|7DUST|89RCR|aVULN
18	52311 21516	 * 	235.83	DCR|2VULN|2TLV|2MLV|1DUR|1AART	1TBNT|29TLV|39CGEN|46VULN|5AART|7DUR|89MLV|9BPWR|aRCR
19	13124 12432	   	235.05	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUST|29VULN|3DUR|4TLV|5AART|67DMG|8ZMB|aRCR
20	13124 62232	   	235.05	DCR|2VULN|2DMG|1TLV|1DUR|1AART|1AAC	1DUST|29VULN|3DUR|4TLV|5AART|6AAC|78DMG|aRCR
21	23224 12432	   	235.05	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1DUR|29VULN|3DUST|4TLV|5AART|67DMG|8ZMB|aRCR
22	23224 62232	   	235.05	DCR|2VULN|2DMG|1TLV|1DUR|1AART|1AAC	1DUR|29VULN|3DUST|4TLV|5AART|6AAC|78DMG|aRCR
23	23152 13534	   	232.09	DCR|3VULN|2DUR|1TLV|1CDMG	13DUR|267VULN|4FEWX|5TLV|8BOSS|9RCR|aCDMG
24	23152 13536	   	232.09	DCR|3VULN|2DUR|1TLV|1AAC	13DUR|267VULN|4FEWX|5TLV|8BOSS|9RCR|aAAC
25	13122 23336	 * 	231.99	DCR|4VULN|1TLV|1DUR	1DUST|267aVULN|3DUR|4TLV|5BELT|8ASPD|9RCR
26	23222 23336	   	231.99	DCR|4VULN|1TLV|1DUR	1DUR|267aVULN|3DUST|4TLV|5BELT|8ASPD|9RCR
27	23224 27723	   	231.89	DCR|3VULN|2DUR|1TLV|1AART	18DUR|28aVULN|3DUST|4TLV|5AART|6MBVNT|78TSLARM|8BPWR|9RCR
28	23151 51522	 * 	231.58	DCR|3VULN|3DUR|2MLV	13aDUR|27aVULN|4FEWX|59ERES|6aMLV|8RCR|aBPWR
29	52614 21231	   	230.56	DCR|DCR|1TLV|1DMG|1CDMG	1TBNT|2TLV|3RPLT|4DMSP|5DMG|6FRZICY|7DUST|89RCR|aCDMG
30	52614 21232	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	1TBNT|2TLV|3RPLT|4DMSP|5DMG|6FRZICY|7DUST|89RCR|aDUR
31	13124 14432	   	229.92	DCR|2VULN|2DUR|1TLV|1DMG|1AART	1DUST|29VULN|37DUR|4TLV|5AART|6DMG|8ZMB|aRCR
32	23224 14432	   	229.92	DCR|2VULN|2DUR|1TLV|1DMG|1AART	17DUR|29VULN|3DUST|4TLV|5AART|6DMG|8ZMB|aRCR
33	52311 21426	 * 	229.92	DCR|2VULN|2AART|1TLV|1DMG|1DUR	1TBNT|2TLV|3CGEN|46VULN|58AART|7DUR|9DMG|aRCR
34	23132 23645	   	229.79	DCR|3VULN|3DUR|1TLV	135DUR|26aVULN|4ZMB|7TLV|8BBNT|9RCR
35	23223 51522	   	229.69	DCR|3VULN|3DUR|1TLV	16aDUR|27aVULN|3DUST|4TLV|59aERES|8RCR|aBPWR
36	13124 12641	   	229.44	DCR|2DMG|1VULN|1TLV|1DUR|1AART|1CDMG	1DUST|2VULN|3DUR|4TLV|5AART|67DMG|8ASPD|9RCR|aCDMG
37	23224 12641	   	229.44	DCR|2DMG|1VULN|1TLV|1DUR|1AART|1CDMG	1DUR|2VULN|3DUST|4TLV|5AART|67DMG|8ASPD|9RCR|aCDMG
38	23152 13431	   	228.78	DCR|3VULN|2TLV|2DUR	13DUR|267VULN|4FEWX|59TLV|8RAT|aRCR
39	13124 62132	 * 	227.80	DCR|2VULN|2TLV|1DMG|1DUR|1AART|1AAC	1DUST|29VULN|3DUR|48TLV|5AART|6AAC|7DMG|aRCR
40	23224 62132	   	227.80	DCR|2VULN|2TLV|1DMG|1DUR|1AART|1AAC	1DUR|29VULN|3DUST|48TLV|5AART|6AAC|7DMG|aRCR
41	23132 23641	 * 	227.71	DCR|2VULN|3DUR|1TLV|1DMG	135DUR|26VULN|4ZMB|7TLV|8BBNT|9RCR|aDMG
42	52311 21636	   	226.48	DCR|3VULN|1TLV|1DUR|1AART	1TBNT|2TLV|3CGEN|468VULN|5AART|7DUR|9ASPD|aRCR
43	52311 23636	   	226.48	DCR|3VULN|1TLV|1DUR|1AART	1TBNT|2TLV|3CGEN|467VULN|5AART|8DUR|9ASPD|aRCR
44	23443 13313	   	226.46	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4MLV|6TLV|7ASPD|8DMG|9LWND|aRCR
45	23443 13343	   	226.46	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4MLV|6TLV|7ASPD|8DMG|9FEWX|aRCR
46	23413 13361	   	226.36	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4TLV|6AME|7ASPD|8DMG|9MLV|aRCR
47	23413 23361	   	226.36	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4TLV|6ERES|7ASPD|8DMG|9MLV|aRCR
48	23443 13333	   	226.36	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4MLV|6TLV|7ASPD|8DMG|9DUST|aRCR
49	23443 23321	   	226.36	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4MLV|6ERES|7ASPD|8DMG|9TLV|aRCR
50	23443 63321	   	226.36	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4MLV|6AME|7ASPD|8DMG|9TLV|aRCR
51	52311 13626	   	225.95	DCR|3VULN|1TLV|1DMG|1AART	1TBNT|2TLV|3CGEN|478VULN|5AART|6LHND|9DMG|aRCR
52	52311 23226	   	225.85	DCR|3VULN|1TLV|1DMG|1AART	1TBNT|2TLV|3CGEN|467VULN|5AART|8LEGI|9DMG|aRCR
53	23152 51523	   	225.46	DCR|2VULN|2DUR|1TLV|1MLV|1AAC	13DUR|27VULN|4FEWX|5TLV|6MLV|8RCR|9TSLFST|aAAC
54	13122 23333	   	225.28	DCR|3VULN|2DUR|1TLV	1DUST|267VULN|3aDUR|4TLV|5BELT|8ASPD|9RCR
55	23222 23333	   	225.28	DCR|3VULN|2DUR|1TLV	1aDUR|267VULN|3DUST|4TLV|5BELT|8ASPD|9RCR
56	13122 23436	   	225.05	DCR|4VULN|1TLV|1DUR	1DUST|267aVULN|3DUR|4TLV|5BELT|8ZMB|9RCR
57	13122 23636	   	225.05	DCR|4VULN|1TLV|1DUR|1AAC	1DUST|267aVULN|3DUR|4TLV|5BELT|8AAC|9RCR
58	23222 23436	   	225.05	DCR|4VULN|1TLV|1DUR	1DUR|267aVULN|3DUST|4TLV|5BELT|8ZMB|9RCR
59	23222 23636	   	225.05	DCR|4VULN|1TLV|1DUR|1AAC	1DUR|267aVULN|3DUST|4TLV|5BELT|8AAC|9RCR
60	13122 23114	   	224.95	DCR|4VULN|1TLV|1DUR	1DUST|2679VULN|3DUR|4TLV|5BELT|8ERES|aRCR
61	23222 23114	   	224.95	DCR|4VULN|1TLV|1DUR	1DUR|2679VULN|3DUST|4TLV|5BELT|8ERES|aRCR
62	13124 15632	   	224.30	DCR|2VULN|1TLV|1DMG|1DUR|1AART	1DUST|29VULN|3DUR|4TLV|5AART|6DMG|7AEBURN|8ASPD|aRCR
63	23224 15632	   	224.30	DCR|2VULN|1TLV|1DMG|1DUR|1AART	1DUR|29VULN|3DUST|4TLV|5AART|6DMG|7AEBURN|8ASPD|aRCR
64	21542 11261	   	223.60	DCR|2VULN|1FLTARM|1TLV|1DUR|1CDMG|1AAC	1DUR|2AAC|3CDMG|4FLTARM|5FEWX|6AME|7RCR|8aVULN|9TLV
65	25543 21312	 * 	223.39	DCR|2VULN|2DMG|2MLV|1DUR	1DUR|2LHND|3aMLV|4aDMG|5BEXP|6aVULN|7ZMB|8RCR|9FEWX|aBPWR
66	23152 51512	   	223.36	DCR|2VULN|3DUR|1TLV|1MLV	13aDUR|27VULN|4aFEWX|5TLV|6MLV|8RCR|9aAEBURN|aBPWR
67	11136 24212	   	223.33	DCR|DCR|1VULN|1AART|1AAC	1DUST|2AAC|3BEXP|4ASPD|5AART|6TBNT|7aRCR|8VULN|9BELT
68	15543 21332	   	223.29	DCR|2VULN|2DMG|2MLV|1DUR	1DUST|2LHND|3aMLV|4aDMG|5BEXP|6aVULN|7ZMB|8RCR|9DUR|aBPWR
69	26543 21312	   	223.29	DCR|2VULN|2DMG|2MLV|1DUR	1DUR|2DUST|3aMLV|4aDMG|5BEXP|6aVULN|7ZMB|8RCR|9FEWX|aBPWR
70	23152 12662	   	223.21	DCR|2VULN|2DUR|1TLV|1DMG	13DUR|26VULN|4FEWX|5TLV|7DMG|8BBNT|9ASPD|aRCR
71	12252 31126	   	222.70	DCR|DCR|1VULN|1DMG	1DUST|2RAT|3AEBURN|4VULN|5BBNT|6aRCR|7DMG|8RPLT|9LIT
72	12254 31126	   	222.70	DCR|DCR|1VULN|1DMG	1DUST|2RAT|3AEBURN|4VULN|5TBNT|6aRCR|7DMG|8RPLT|9LIT
73	12552 31126	   	222.70	DCR|DCR|1VULN|1DMG	13DUST|2RAT|4VULN|5BBNT|6aRCR|7DMG|8RPLT|9LIT
74	33611 12233	   	222.60	DCR|DCR|1VULN|1DMG	1RMIN|2RPLT|3ERES|4MULHEA|5DMG|6AME|7TBNT|89RCR|aVULN
75	13124 12441	   	222.50	DCR|2DMG|1VULN|1TLV|1DUR|1AART|1CDMG	1DUST|2VULN|3DUR|4TLV|5AART|67DMG|8ZMB|9RCR|aCDMG
76	13124 62241	   	222.50	DCR|2DMG|1VULN|1TLV|1DUR|1AART|1CDMG|1AAC	1DUST|2VULN|3DUR|4TLV|5AART|6AAC|78DMG|9RCR|aCDMG
77	23224 12441	   	222.50	DCR|2DMG|1VULN|1TLV|1DUR|1AART|1CDMG	1DUR|2VULN|3DUST|4TLV|5AART|67DMG|8ZMB|9RCR|aCDMG
78	23224 62241	   	222.50	DCR|2DMG|1VULN|1TLV|1DUR|1AART|1CDMG|1AAC	1DUR|2VULN|3DUST|4TLV|5AART|6AAC|78DMG|9RCR|aCDMG
79	52311 13516	   	222.18	DCR|2VULN|2TLV|2MLV|1AART	1TBNT|29TLV|39CGEN|47VULN|5AART|6LHND|89MLV|9BPWR|aRCR
80	22416 12211	   	221.60	DCR|2VULN|3DUR|1TLV|1AART|1AAC	139DUR|29RAT|4AAC|5LWND|6TLV|7AART|89VULN|9BPWR|aRCR
81	23431 53161	   	221.59	DCR|3VULN|1TLV|1MLV|1DUR	1DUR|256VULN|38RAT|4FRZICY|7MLV|9TLV|aRCR
82	25155 12211	   	221.50	DCR|2VULN|3DUR|1TLV|1AART	139DUR|2LHND|49RAT|5ERES|6TLV|7AART|89VULN|9BPWR|aRCR
83	23421 53161	   	221.49	DCR|3VULN|1TLV|1MLV|1DUR	1DUR|256VULN|38RAT|4MSLREG|7MLV|9TLV|aRCR
84	13262 16513	   	221.39	DCR|3VULN|1TLV|1MLV|1DUR	1DUST|246VULN|3RMIN|5DUR|7TLV|8RCR|9AEBURN|aMLV
85	13124 54221	   	221.30	DCR|2VULN|3DUR|1TLV|1AART	1DUST|29VULN|378DUR|4TLV|5AART|6CGEN|aRCR
86	23224 54221	   	221.30	DCR|2VULN|3DUR|1TLV|1AART	178DUR|29VULN|3DUST|4TLV|5AART|6CGEN|aRCR
87	23625 52222	   	221.30	DCR|2VULN|2DMG|1TLV|1DUR	1DUR|24VULN|3BBNT|58DMG|6TLV|7RMIN|9MBVNT|aRCR
88	13126 51512	   	221.29	DCR|3VULN|1TLV|1MLV|1DUR	1DUST|27aVULN|3DUR|4TLV|5aAEPOI|6MLV|8RCR|9aAEBURN|aBPWR
89	23226 51512	   	221.29	DCR|3VULN|1TLV|1MLV|1DUR	1DUR|27aVULN|3DUST|4TLV|5aAEPOI|6MLV|8RCR|9aAEBURN|aBPWR
90	23155 33341	 * 	221.22	ACR|DCR|1VULN|2DUR|1TLV	13DUR|2VULN|4FEWX|59RCR|6TLV|7ERES|8ZMB|aBEXP
91	23155 33343	   	221.22	ACR|DCR|1VULN|2DUR|1TLV	13DUR|2VULN|4aFEWX|59RCR|6TLV|7ERES|8ZMB
92	23224 27721	   	221.20	DCR|2VULN|3DUR|1TLV|1AART	18aDUR|28VULN|3DUST|4TLV|5AART|6MBVNT|78TSLARM|8BPWR|9RCR
93	13124 14326	 * 	221.20	DCR|2DMG|1VULN|2DUR|1TLV|1AART	1DUST|2VULN|37DUR|4TLV|5AART|69DMG|8MDPS|aRCR
94	13154 12242	   	221.20	DCR|2DMG|1VULN|2DUR|1TLV|1AART|1NUKE	1DUST|2VULN|38DUR|4NUKE|5AART|67DMG|9TLV|aRCR
95	23224 14326	   	221.20	DCR|2DMG|1VULN|2DUR|1TLV|1AART	17DUR|2VULN|3DUST|4TLV|5AART|69DMG|8MDPS|aRCR
96	23254 12242	   	221.20	DCR|2DMG|1VULN|2DUR|1TLV|1AART|1NUKE	18DUR|2VULN|3DUST|4NUKE|5AART|67DMG|9TLV|aRCR
97	23155 33342	   	221.12	ACR|DCR|1VULN|2DUR|1TLV	13DUR|2VULN|4FEWX|59RCR|6TLV|7ERES|8ZMB|aMDPS
98	52314 32251	   	220.29	DCR|2VULN|2TLV|2DUR|1CDMG	1TBNT|27TLV|3CGEN|47VULN|57DUR|6MDPS|7BPWR|8ZMB|9CDMG|aRCR
99	33611 32231	   	219.86	DCR|DCR|1DMG|1MLV|1CDMG	1RMIN|2RPLT|3ERES|4MULHEA|5DMG|6MLV|7TBNT|89RCR|aCDMG
100	33611 32232	   	219.86	DCR|DCR|1DMG|1MLV|1DUR	1RMIN|2RPLT|3ERES|4MULHEA|5DMG|6MLV|7TBNT|89RCR|aDUR
101	23443 14312	   	219.52	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4MLV|6TLV|7CGEN|8DMG|9LWND|aRCR
102	13621 42325	   	219.44	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|246VULN|3BBNT|5DMSP|7CDMG|8TLV|9DUR|aRCR
103	13622 42325	   	219.44	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|246VULN|3BBNT|5RCVC|7CDMG|8TLV|9DUR|aRCR
104	52311 21616	   	219.44	DCR|3VULN|1TLV|1DUR|1AART	1TBNT|2TLV|3CGEN|468VULN|5AART|7DUR|9DUST|aRCR
105	52311 23616	   	219.44	DCR|3VULN|1TLV|1DUR|1AART	1TBNT|2TLV|3CGEN|467VULN|5AART|8DUR|9DUST|aRCR
106	13126 13534	   	219.44	DCR|3VULN|1TLV|1DUR|1CDMG	1DUST|267VULN|3DUR|4TLV|5AEPOI|8BOSS|9RCR|aCDMG
107	13126 13536	   	219.44	DCR|3VULN|1TLV|1DUR|1AAC	1DUST|267VULN|3DUR|4TLV|5AEPOI|8BOSS|9RCR|aAAC
108	23226 13534	   	219.44	DCR|3VULN|1TLV|1DUR|1CDMG	1DUR|267VULN|3DUST|4TLV|5AEPOI|8BOSS|9RCR|aCDMG
109	23226 13536	   	219.44	DCR|3VULN|1TLV|1DUR|1AAC	1DUR|267VULN|3DUST|4TLV|5AEPOI|8BOSS|9RCR|aAAC
110	23443 14332	   	219.42	DCR|2VULN|1TLV|1DMG|1MLV|1DUR	1DUR|25VULN|3RAT|4MLV|6TLV|7CGEN|8DMG|9DUST|aRCR
111	13124 24732	   	219.34	DCR|3VULN|1TLV|1DUR|1AART	17DUST|289VULN|3DUR|4TLV|5AART|6MBVNT|aRCR
112	23224 24732	   	219.34	DCR|3VULN|1TLV|1DUR|1AART	1DUR|289VULN|37DUST|4TLV|5AART|6MBVNT|aRCR
113	13124 27323	   	219.34	DCR|3VULN|1TLV|1DUR|1AART	1DUST|28aVULN|3DUR|4TLV|5AART|6MBVNT|7TSLARM|9RCR
114	13124 27723	   	219.34	DCR|3VULN|1TLV|1DUR|1AART	18DUST|28aVULN|3DUR|4TLV|5AART|6MBVNT|78TSLARM|8BPWR|9RCR
115	23224 27323	   	219.34	DCR|3VULN|1TLV|1DUR|1AART	1DUR|28aVULN|3DUST|4TLV|5AART|6MBVNT|7TSLARM|9RCR
116	22451 13263	   	219.32	DCR|2VULN|2DUR|1DMG|1MLV|1CDMG	13DUR|2RAT|4aVULN|5DUST|6CDMG|7RCR|8MLV|9DMG
