0	Index      	 *	Score 	Summary	Detail	
1	53643 11331	 * 	231.46	3BASARM|3ASPD|3DMG|1VULN|2BEXP	168DMG|2RMIN|39aASPD|4VULN|569BASARM|69BPWR|79BEXP
42	53643 12333	 * 	203.40	DCR|2BASARM|3DMG|1VULN|1ASPD|1SELL	169DMG|2RMIN|3ASPD|4VULN|56BASARM|6BPWR|7SELL|8ZMB|aRCR
43	54531 11122	 * 	203.11	ACR|3VULN|2DMG|1ASPD|1BEXP	17DMG|25aVULN|3RCR|4ZMB|6ASPD|8BEXP|9LWND
44	54113 13312	   	203.10	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|2AAC	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8aAAC|9CDMG
45	54113 53312	   	203.10	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|2AAC	1DMG|2VULN|3LIT|4RCR|5BEXP|6LWND|7BASARM|8aAAC|9CDMG
46	11631 15225	   	202.98	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8RMIN|9DMG|aVULN
47	11631 15312	   	202.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1MDPS|2CDMG|3aLIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9VULN
48	11631 15313	   	202.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9VULN|aRMIN
49	11631 15314	   	202.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9VULN|aLHND
50	11631 15315	   	202.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9VULN|aMLV
51	11631 15316	   	202.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9VULN|aDUR
52	54113 13113	 * 	202.98	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8ZMB|9aCDMG
53	54113 53113	   	202.98	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5BEXP|6LWND|7BASARM|8ZMB|9aCDMG
54	11631 15325	   	202.88	ACR|1BASARM|1ASPD|1DMG|1VULN|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9NUKE|aVULN
55	54113 13413	   	202.88	ACR|1BASARM|1VULN|2CDMG|1DMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8TLV|9aCDMG
56	54113 13513	   	202.88	ACR|1BASARM|1VULN|1DMG|2CDMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8AME|9aCDMG
57	54112 23213	   	201.77	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5DUR|6LWND|7BASARM|8BEXP|9LHND|aASPD
58	54113 13613	   	201.77	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5BEXP|6DUR|7BASARM|8FEWX|9LHND|aASPD
59	11631 15224	   	201.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8RMIN|9DMG|aBEXP
60	54112 23263	   	201.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DMG|2VULN|3LIT|4RCR|5DUR|6LWND|7BASARM|8BEXP|9DUST|aASPD
61	12332 15254	 * 	201.63	ACR|3VULN|2DMG|2BEXP|1CDMG	1MDPS|29aVULN|3aBEXP|4LIT|5RCR|6CDMG|7BELT|8aDMG|aBPWR
62	11631 15324	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9NUKE|aBEXP
63	11631 15336	   	201.57	ACR|1BASARM|1ASPD|1DMG|1AART|1CDMG	1MDPS|2CDMG|3LIT|4RCR|5ASPD|6ZMB|7BASARM|8DMG|9MSLREG|aAART
