0	Index      	 *	Score 	Summary	Detail	
1	62321 23451	 * 	220.01	ACR|1BASARM|3VULN|1ASPD|1DMG|1CDMG	127VULN|35FEWX|4RCR|6ASPD|8DMG|9CDMG|aBASARM
13	35317 33432	   	203.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|89DMG|aBEXP
14	11223 42153	 * 	203.75	DCR|1BASARM|3BEXP|2ASPD|1DMG	18ASPD|257BEXP|3LHND|4DMG|6VULN|9BASARM|aRCR
15	11223 42553	 * 	203.75	DCR|1BASARM|3BEXP|2DMG|1ASPD	1ASPD|257BEXP|3LHND|48DMG|6VULN|9BASARM|aRCR
16	35311 33481	 * 	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|8DMG|9aBEXP
17	35318 33481	   	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|8DMG|9aBEXP
18	35317 33481	   	201.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|8DMG|9aBEXP
19	26264 32112	   	200.25	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG|1AAC	1LIT|2ASPD|3RCR|4BEXP|59VULN|6DMG|7AART|8CDMG|aAAC
20	26222 54222	 * 	199.16	ACR|2ASPD|2BEXP|1DMG|1CDMG|1AAC	18LIT|28ASPD|3RCR|4AAC|5ERES|6DUR|78BEXP|8BPWR|9CDMG|aDMG
21	26225 14222	   	199.16	ACR|2ASPD|2BEXP|1DMG|1CDMG|1AAC	18LIT|28ASPD|3RCR|4AAC|5DUR|6ERES|78BEXP|8BPWR|9CDMG|aDMG
22	26225 34222	   	199.16	ACR|2ASPD|2BEXP|1DMG|1CDMG|1AAC	18LIT|28ASPD|3RCR|4AAC|5DUR|6AME|78BEXP|8BPWR|9CDMG|aDMG
23	26264 31122	 * 	197.69	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2ASPD|3RCR|48BEXP|5VULN|6aDMG|7CGEN|9CDMG
24	35318 34483	   	197.38	ACR|1BASARM|2ASPD|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7VULN|8aASPD|9CDMG
25	23232 43255	   	197.30	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	124LIT|3VULN|5RCR|6AART|7CDMG|8DMG|9BASARM|aBEXP
26	26223 23324	 * 	197.00	ACR|3ASPD|2DMG|1AAC	1LIT|28aASPD|3RCR|4AAC|59DMG|6AME|7VULN
27	26266 32112	   	196.50	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AART	1LIT|2ASPD|3RCR|4BEXP|5FEWX|6aDMG|7AART|8CDMG|9VULN
28	26265 32112	   	196.40	ACR|2DMG|1ASPD|1BEXP|1AART|1CDMG	1LIT|2ASPD|3RCR|4BEXP|5MBVNT|6aDMG|7AART|8CDMG|9VULN
29	23232 43254	 * 	196.10	ACR|1BASARM|2AART|1DMG|1CDMG	124LIT|3VULN|5RCR|6aAART|7CDMG|8DMG|9BASARM
30	26266 32313	 * 	195.88	ACR|2DMG|1ASPD|1BASICY|1BEXP|1AART	1LIT|2ASPD|3RCR|4BEXP|5FEWX|6aDMG|7AART|8ERES|9BASICY
31	26265 32313	   	195.78	ACR|2DMG|1ASPD|1BASICY|1BEXP|1AART	1LIT|2ASPD|3RCR|4BEXP|5MBVNT|6aDMG|7AART|8ERES|9BASICY
32	26265 34213	 * 	195.78	ACR|2DMG|2VULN|1ASPD|1BEXP|1CDMG	1LIT|2ASPD|3RCR|4BEXP|5MBVNT|6aDMG|7CDMG|89VULN
33	26225 22214	   	194.81	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1LIT|2ASPD|3RCR|4AAC|5DUR|6AART|7CDMG|8AME|9TLV|aBASARM
34	26223 33624	 * 	194.37	ACR|2ASPD|2DMG|2VULN|1AAC	1LIT|2aASPD|3RCR|4AAC|59DMG|6ERES|78VULN
35	26265 41214	 * 	194.01	ACR|2ASPD|3VULN|1DMG|1BEXP|1SELL	1aLIT|2aASPD|3RCR|4BEXP|5MBVNT|6SELL|7DMG|89aVULN|aBPWR
36	35311 33486	   	193.45	ACR|1BASARM|1DMG|1BEXP|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|8DMG|9BEXP|aVULN
37	35318 34481	   	193.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7VULN|8ASPD|9CDMG|aBEXP
38	35318 34484	   	193.45	ACR|1BASARM|1ASPD|1AART|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7VULN|8ASPD|9CDMG|aAART
39	26265 34244	   	193.23	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	19aLIT|2ASPD|3RCR|4aBEXP|5MBVNT|6DMG|7CDMG|8aVULN|aBPWR
40	35311 33423	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|8DMG|9LWND|aASPD
41	35311 33443	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|8DMG|9LHND|aASPD
42	35311 38447	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7DMG|8DMSP|9CDMG|aASPD
43	35311 38622	   	192.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7DMG|8BEXP|9LIT|aASPD
44	35318 33423	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|8DMG|9LWND|aASPD
45	35318 33443	   	192.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|8DMG|9LHND|aASPD
46	35317 33423	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|8DMG|9LWND|aASPD
47	35317 33443	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|8DMG|9LHND|aASPD
48	13211 23251	   	192.58	ACR|1BASARM|2ASPD|1CDMG	16ASPD|23ZMB|4RCR|5DUR|7RCVC|8VULN|9CDMG|aBASARM
49	13411 23251	   	192.48	ACR|1BASARM|2ASPD|1CDMG	16ASPD|2ZMB|3AEMAG|4RCR|5DUR|7RCVC|8VULN|9CDMG|aBASARM
50	26226 25322	 * 	192.07	ACR|2ASPD|1BASICY|2AAC|1BEXP|1CDMG	1LIT|2aASPD|3RCR|49AAC|5CDMG|6RPLT|7BASICY|8BEXP
51	26264 32111	   	191.94	ACR|2VULN|1ASPD|1DMG|1CDMG|1BEXP|1AART	1LIT|2ASPD|3RCR|4BEXP|59VULN|6DMG|7AART|8CDMG|aFEWX
52	26264 32113	   	191.94	ACR|2VULN|1ASPD|1DMG|1CDMG|1BEXP|1AART	1LIT|2ASPD|3RCR|4BEXP|59VULN|6DMG|7AART|8CDMG|aRCVC
53	22365 22433	 * 	191.89	ACR|2DMG|2BEXP|2AART|1CDMG	1LIT|25FEWX|35BEXP|4RCR|5BPWR|68AART|7CDMG|9aDMG
54	26266 31322	 * 	191.57	ACR|3DMG|1ASPD|1BEXP|1CDMG	1LIT|2ASPD|3RCR|4BEXP|5FEWX|68aDMG|7CGEN|9CDMG
55	35312 54614	 * 	191.38	ACR|2BASARM|2ASPD	1RMIN|2aAEFBLL|3RCR|4MBVNT|5LHND|6aASPD|7MDPS|8aBASARM|9RPLT|aBPWR
56	35312 84614	 * 	191.38	ACR|2BASARM|2DMG	1RMIN|2aAEFBLL|3RCR|4MBVNT|5LHND|6aDMG|7MDPS|8aBASARM|9RPLT|aBPWR
57	26264 32123	 * 	191.37	ACR|2AART|1ASPD|1DMG|1BEXP|1CDMG	1LIT|2ASPD|3RCR|4BEXP|5VULN|6DMG|7aAART|8CDMG|9CGEN
58	26264 32133	   	191.27	ACR|2AART|1ASPD|1DMG|1CDMG|1BEXP	1LIT|2ASPD|3RCR|4BEXP|5VULN|6DMG|7aAART|8CDMG|9ERES
59	65321 22351	   	191.05	ACR|1BASARM|1ASPD|2AAC|1CDMG	1VULN|2AEMAG|35FEWX|4RCR|6ASPD|78AAC|9CDMG|aBASARM
60	26266 31222	   	190.95	ACR|2DMG|2BEXP|1ASPD|1CDMG	18LIT|2ASPD|3RCR|48BEXP|5FEWX|6aDMG|78CGEN|8BPWR|9CDMG
61	62323 12551	   	190.89	ACR|1BASARM|4VULN|1CDMG	1268VULN|3FEWX|4RCR|5RMIN|7ZMB|9CDMG|aBASARM
62	26266 22222	   	190.75	ACR|2ASPD|2BEXP|1DMG|1CDMG	18LIT|28ASPD|3RCR|47BEXP|5FEWX|68DUST|8BPWR|9CDMG|aDMG
63	26266 31122	   	190.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2ASPD|3RCR|48BEXP|5FEWX|6aDMG|7CGEN|9CDMG
64	26255 34333	   	190.65	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2ASPD|3RCR|4DUR|5MBVNT|6aDMG|7CDMG|89BEXP
65	26264 32333	 * 	190.64	ACR|2AART|2VULN|1ASPD|1DMG|1BEXP	1LIT|2ASPD|3RCR|4BEXP|5aVULN|6DMG|79AART|8ERES
66	35311 33418	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|8aDMG|9LIT
67	35311 33433	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|89DMG|aFEWX
68	35311 33435	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|89DMG|aDUR
69	35311 33436	   	190.44	ACR|1BASARM|2DMG|1CDMG	1aRMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|89DMG
70	35311 38131	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|59CGEN|6BASARM|78DMG|aCDMG
71	35311 38143	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9CDMG|aFEWX
72	35311 38145	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9CDMG|aDUR
73	35311 38146	   	190.44	ACR|1BASARM|2DMG|1CDMG	1aRMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9CDMG
74	35311 38181	   	190.44	ACR|1BASARM|2DMG|1CDMG	19RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|aCDMG
75	35318 33418	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|8aDMG|9LIT
76	35318 33433	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|89DMG|aFEWX
77	35318 33435	   	190.44	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|89DMG|aDUR
78	35318 33436	   	190.44	ACR|1BASARM|2DMG|1CDMG	1aRMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|89DMG
79	35311 33431	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|89DMG|aDUST
80	35311 33438	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|7CDMG|89DMG|aERES
81	35311 38118	   	190.34	ACR|1BASARM|2DMG|1BEXP	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9DUST|aBEXP
82	35311 38141	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9CDMG|aDUST
83	35311 38148	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5CGEN|6BASARM|78DMG|9CDMG|aERES
84	35317 33418	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|8aDMG|9LIT
85	35317 33433	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|89DMG|aFEWX
86	35317 33435	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|89DMG|aDUR
87	35317 33436	   	190.34	ACR|1BASARM|2DMG|1CDMG	1aRMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|89DMG
88	35318 33431	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|89DMG|aDUST
89	35318 33438	   	190.34	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5MLV|6BASARM|7CDMG|89DMG|aERES
90	35317 33431	   	190.24	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|89DMG|aDUST
91	35317 33438	   	190.24	ACR|1BASARM|2DMG|1CDMG	1RMIN|2AEFBLL|3RCR|4MBVNT|5AME|6BASARM|7CDMG|89DMG|aERES
92	22365 22214	   	190.03	ACR|1BASARM|2BEXP|1AART|1CDMG	1LIT|25FEWX|35BEXP|4RCR|5BPWR|6AART|7CDMG|8AME|9TLV|aBASARM
