0	Index      	 *	Score 	Summary	Detail	
1	43611 23162	 * 	257.60	ACR|2VULN|1BASARM|2DMG|1ASPD|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9ASPD|aBEXP
16	43611 23433	   	239.54	ACR|2VULN|3DMG|1BASARM|1AART	15VULN|25aDMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LWND|9RMIN
17	43611 23513	   	239.54	ACR|2VULN|3DMG|1BASARM|1AART	15VULN|25aDMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8FEWX|9CGEN
18	43611 21213	   	237.44	ACR|2VULN|1BASARM|2DMG|1AART|1CDMG	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7CDMG|8CGEN|9MDPS|aBASARM
19	43611 31333	 * 	236.16	ACR|3VULN|3DMG|2AART|1BEXP	159VULN|258DMG|3RCR|4aAART|5BPWR|6BEXP|7RMIN
20	43611 31321	 * 	235.34	ACR|2VULN|3DMG|2BEXP|2AART	15VULN|258DMG|3RCR|49AART|5BPWR|6aBEXP|7RMIN
21	43611 23112	   	235.23	ACR|2VULN|1BASARM|2DMG|1BEXP|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9CGEN|aBEXP
22	43611 23214	   	235.23	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LHND|9CGEN|aBEXP
23	43611 23234	   	235.23	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LHND|9RMIN|aBEXP
24	43611 23322	   	235.23	ACR|2VULN|1BASARM|2DMG|1BEXP|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8CGEN|9DUR|aBEXP
25	43611 23334	   	235.23	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8CGEN|9LHND|aBEXP
26	43611 23412	   	235.23	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LWND|9CGEN|aBEXP
27	43611 23432	   	235.23	ACR|2VULN|1BASARM|2DMG|1AART|1BEXP	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LWND|9RMIN|aBEXP
28	43611 23512	   	235.23	ACR|2VULN|1BASARM|2DMG|1BEXP|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8FEWX|9CGEN|aBEXP
29	43611 23122	 * 	234.80	ACR|3VULN|1BASARM|2DMG|1AART	15aVULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9LHND
30	43611 23142	   	234.80	ACR|3VULN|1BASARM|2DMG|1AART	15aVULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9RPLT
31	43611 23242	   	234.80	ACR|3VULN|1BASARM|2DMG|1AART	15aVULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LHND|9RPLT
32	43611 23522	   	234.80	ACR|3VULN|1BASARM|2DMG|1AART	15aVULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8FEWX|9LHND
33	43611 23222	   	234.70	ACR|3VULN|1BASARM|2DMG|1AART	15aVULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LHND|9LEGI
34	43611 23422	   	234.70	ACR|3VULN|1BASARM|2DMG|1AART	15aVULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8LWND|9LEGI
35	43611 31323	 * 	234.16	ACR|2VULN|3DMG|3AART|1BEXP	15VULN|258DMG|3RCR|49aAART|5BPWR|6BEXP|7RMIN
36	43611 33236	   	234.15	ACR|3VULN|2DMG|2AART|1BEXP|1CDMG	15aVULN|25DMG|3RCR|49AART|5BPWR|6BEXP|7FEWX|8CDMG
37	43611 32236	   	234.05	ACR|3VULN|2DMG|2AART|1BEXP|1CDMG	15aVULN|25DMG|3RCR|49AART|5BPWR|6BEXP|7DUST|8CDMG
38	43611 31331	 * 	233.65	ACR|3VULN|3DMG|2BEXP|1AART	159VULN|258DMG|3RCR|4AART|5BPWR|6aBEXP|7RMIN
39	43611 33232	   	233.34	ACR|2VULN|2DMG|2BEXP|2AART|1CDMG	15VULN|25DMG|3RCR|49AART|5BPWR|6aBEXP|7FEWX|8CDMG
40	43611 32232	   	233.24	ACR|2VULN|2DMG|2BEXP|2AART|1CDMG	15VULN|25DMG|3RCR|49AART|5BPWR|6aBEXP|7DUST|8CDMG
41	43611 22361	   	230.34	ACR|3VULN|2ASPD|2DMG|1AART	159VULN|25DMG|3RCR|4AART|59BPWR|69LIT|7MBVNT|89ASPD|aFEWX
42	43611 22363	   	230.34	ACR|3VULN|2ASPD|2DMG|1AART	159VULN|25DMG|3RCR|4AART|59BPWR|69LIT|7MBVNT|89ASPD|aRMIN
43	43611 22364	   	230.24	ACR|3VULN|2ASPD|2DMG|1AART	159VULN|25DMG|3RCR|4AART|59BPWR|69LIT|7MBVNT|89ASPD|aTLV
44	43611 23131	   	229.88	ACR|2VULN|1BASARM|2DMG|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9AAC|aLHND
45	43611 23342	   	229.88	ACR|2VULN|1BASARM|2DMG|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8CGEN|9AAC|aLHND
46	43611 23531	   	229.88	ACR|2VULN|1BASARM|2DMG|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8FEWX|9AAC|aLHND
47	43611 23135	   	229.78	ACR|2VULN|1BASARM|2DMG|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8DUR|9AAC|aERES
48	43611 23341	   	229.78	ACR|2VULN|1BASARM|2DMG|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8CGEN|9AAC|aAEMAG
49	43611 23343	   	229.78	ACR|2VULN|1BASARM|2DMG|1AART	15VULN|25DMG|3RCR|4AART|5BPWR|6LIT|7BASARM|8CGEN|9AAC|aNUKE
50	43616 23133	   	229.78	ACR|2VULN|1BASARM|2DMG|1AART	15VULN|2aDMG|3RCR|4AART|6LIT|7BASARM|8DUR|9AAC
51	43611 21613	 * 	229.22	ACR|2VULN|3DMG|2CDMG|1AART|1BEXP	15VULN|258DMG|3RCR|4AART|5BPWR|6LIT|7aCDMG|9BEXP
52	43611 33252	 * 	228.85	ACR|2VULN|3BEXP|2DMG|1AART|1CDMG	15VULN|25DMG|3RCR|4AART|5BPWR|69aBEXP|7FEWX|8CDMG
53	43611 32252	   	228.75	ACR|2VULN|3BEXP|2DMG|1AART|1CDMG	15VULN|25DMG|3RCR|4AART|5BPWR|69aBEXP|7DUST|8CDMG
