0	Index      	 *	Score 	Summary	Detail	
1	15561 31331	 * 	253.71	ACR|1BASARM|2AART|2DMG|1ASPD|1BEXP	19AART|2RCR|3BEXP|4BASARM|5LHND|68DMG|7DUST|aASPD
88	15552 21213	   	225.33	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2RCR|3BEXP|4VULN|5BELT|6CDMG|7aDMG|8ASPD|9LHND
89	15552 21313	   	225.33	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP|1CDMG	1AART|2RCR|3BEXP|4VULN|5BELT|6CDMG|7aDMG|8LHND|9ASPD
90	15552 21112	   	225.23	ACR|2ASPD|1VULN|1AART|1DMG|1BEXP|1CDMG	1AART|2RCR|3BEXP|4VULN|5BELT|6CDMG|7DMG|8DUST|9aASPD
91	15523 43123	 * 	225.08	ACR|2VULN|2AART|1DMG|1BASICY|1BEXP	16AART|2RCR|3BEXP|4CGEN|5MDPS|79VULN|8DMG|aBASICY
92	15563 13232	   	224.87	ACR|1BASARM|2BEXP|1AART|1VULN|1DMG|1CDMG|1SELL	1AART|2RCR|38BEXP|4BASARM|5SELL|6DMG|7TLV|9VULN|aCDMG
93	15563 13322	   	224.75	ACR|1BASARM|1VULN|1AART|1ASPD|1DMG|1BEXP|1AAC|1SELL	1AART|2RCR|3BEXP|4BASARM|5SELL|6DMG|7TLV|8VULN|9AAC|aASPD
94	15231 21432	   	224.41	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2RCR|3RPLT|47DMG|5LHND|6CGEN|8LIT|9VULN|aBASARM
95	15231 51432	   	224.41	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2RCR|3RPLT|47DMG|5LHND|6MLV|8LIT|9VULN|aBASARM
96	15235 63132	   	224.41	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2RCR|3RPLT|48DMG|5CGEN|6LIT|7LHND|9VULN|aBASARM
97	15236 15122	   	224.41	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|48DMG|5VULN|6LIT|7MLV|9LHND|aBASARM
98	15236 21422	   	224.41	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|47DMG|5VULN|6CGEN|8LIT|9LHND|aBASARM
99	15161 34121	   	224.41	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|5LHND|6aDMG|7VULN|89DUR
100	15161 34332	   	224.41	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|5LHND|68DMG|7VULN|9MLV|aLIT
101	15161 34333	   	224.41	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|5LHND|68DMG|7VULN|9MLV|aCGEN
102	15231 15132	   	224.31	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2RCR|3RPLT|48DMG|5LHND|6LIT|7AME|9VULN|aBASARM
103	15236 13312	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|48DMG|5VULN|6LIT|7LWND|9AME|aBASARM
104	15236 14312	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|48DMG|5VULN|6LIT|7DUR|9AME|aBASARM
105	15236 14332	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|48DMG|5VULN|6LIT|7DUR|9TLV|aBASARM
106	15236 15112	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|48DMG|5VULN|6LIT|7MLV|9DUST|aBASARM
107	15236 21412	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|47DMG|5VULN|6CGEN|8LIT|9DUST|aBASARM
108	15161 14221	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|5LHND|6CGEN|7VULN|8ERES|9aDMG
109	15161 14311	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|5LHND|6CGEN|7VULN|8aDMG|9ERES
110	15161 34211	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|5LHND|6aDMG|7VULN|8CGEN|9ERES
111	15161 34313	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|59LHND|68DMG|7VULN|aTLV
112	15161 34331	   	224.31	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3LWND|4BASARM|5LHND|68DMG|7VULN|9MLV|aERES
113	15161 43321	   	224.31	ACR|1BASARM|2DMG|1AART|1VULN	1AART|2RCR|3LWND|4BASARM|5LHND|6FEWX|7ERES|89DMG|aVULN
114	15162 23331	   	224.31	ACR|1BASARM|2ASPD|1AART|1VULN	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|79ASPD|8DUR|aVULN
115	15162 23631	   	224.31	ACR|1BASARM|2ASPD|1AART|1VULN	1AART|2RCR|3LWND|4BASARM|5MDPS|6VENTOX|79ASPD|8LHND|aVULN
116	15562 32233	 * 	224.21	ACR|1BASARM|3BEXP|1AART|1VULN	1AART|2RCR|38aBEXP|4BASARM|5MDPS|67DUST|9VULN
117	15562 32323	   	224.21	ACR|1BASARM|3BEXP|1VULN|1AART	1AART|2RCR|39aBEXP|4BASARM|5MDPS|67DUST|8VULN
118	15236 11312	   	224.21	ACR|1BASARM|2DMG|1VULN|1AART	1AART|2RCR|3RPLT|48DMG|5VULN|6LIT|7DUST|9AME|aBASARM
119	15153 12632	   	224.18	ACR|1BASARM|2AART|1VULN|1DMG	17AART|2RCR|3LWND|4VULN|5MLV|6LHND|8AIRHEL|9BASARM|aDMG
120	15122 12632	   	224.08	ACR|1BASARM|2AART|1VULN|1DMG	17AART|2RCR|3LWND|4ERES|5VULN|6LHND|8AIRHEL|9BASARM|aDMG
121	15151 12632	   	224.08	ACR|1BASARM|2AART|1VULN|1DMG	17AART|2RCR|3LWND|4VULN|5AME|6LHND|8AIRHEL|9BASARM|aDMG
