0	Index      	 *	Score 	Summary	Detail	
1	31131 23242	 * 	299.41	DCR|3VULN|1TLV|2DMG|2AEBURN|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aASPD
44	31131 23243	   	285.66	DCR|3VULN|1TLV|2DMG|2AEBURN	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aAETHUN
45	31131 23245	   	285.66	DCR|3VULN|1TLV|2DMG|2AEBURN|1MSE	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aMSE
46	31131 23246	   	285.66	DCR|3VULN|1TLV|2DMG|2AEBURN	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|89DMG|aAEWIND
47	31141 23243	   	285.66	DCR|3VULN|1TLV|2DMG|1AEBURN	1MDPS|2AEBURN|345VULN|6TLV|7RCR|89DMG|aAETHUN
48	31141 23245	   	285.66	DCR|3VULN|1TLV|2DMG|1AEBURN|1MSE	1MDPS|2AEBURN|345VULN|6TLV|7RCR|89DMG|aMSE
49	31141 23246	   	285.66	DCR|3VULN|1TLV|2DMG|1AEBURN	1MDPS|2AEBURN|345VULN|6TLV|7RCR|89DMG|aAEWIND
50	52141 23243	   	285.66	DCR|3VULN|1TLV|2DMG|1AEFBLL	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|89DMG|aAETHUN
51	21131 23661	   	284.96	DCR|3VULN|1TLV|1AEPOI|2DUR|1AART	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9AART|aFRZARM
52	21141 23234	   	284.88	DCR|3VULN|1TLV|1DMG|1AEPOI	1LHND|2DUR|345VULN|6TLV|7RCR|8DMG|9RAT|aAEPOI
53	21434 33234	   	284.88	DCR|3VULN|1TLV|1DMG|1AEPOI	1LHND|2DUR|3TLV|456VULN|7RCR|8DMG|9RAT|aAEPOI
54	22433 33234	   	284.88	DCR|3VULN|1TLV|1DMG|1AEPOI	1LHND|245VULN|3TLV|6DUR|7RCR|8DMG|9RAT|aAEPOI
55	21131 23241	   	284.60	DCR|3VULN|1TLV|2DMG|2DUR	1aLHND|24DUR|345VULN|4BPWR|6TLV|7RCR|89DMG
56	21131 23244	   	284.60	DCR|3VULN|1TLV|2DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|89DMG|aLWND
57	21131 23242	   	284.50	DCR|3VULN|1TLV|2DMG|2DUR|1MSE	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|89DMG|aMSE
58	21131 23245	   	284.50	DCR|3VULN|1TLV|2DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|89DMG|aDUST
59	21131 23246	   	284.50	DCR|3VULN|1TLV|2DMG|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|89DMG|aAEWIND
60	22434 33225	 * 	283.98	DCR|3VULN|2TLV|1DMG	1LHND|24aVULN|35TLV|6DUR|7RCR|8DMG|9ERES
61	22434 33243	 * 	283.91	DCR|2TLV|2VULN|2DMG	1LHND|24VULN|35TLV|6DUR|7RCR|89DMG|aRAT
62	31131 23343	   	282.81	DCR|4VULN|1TLV|2AEBURN|1ASPD	1MDPS|24AEBURN|3459VULN|4BPWR|6TLV|7RCR|8BEXP|aASPD
63	31141 23343	   	282.81	DCR|4VULN|1TLV|1AEBURN|1ASPD	1MDPS|2AEBURN|3459VULN|6TLV|7RCR|8BEXP|aASPD
64	52141 23343	   	282.81	DCR|4VULN|1TLV|1AEFBLL|1ASPD	1AEFBLL|2MDPS|3459VULN|6TLV|7RCR|8BEXP|aASPD
65	21141 23243	   	282.40	DCR|3VULN|1TLV|2DMG	1LHND|2DUR|345VULN|6TLV|7RCR|89DMG|aRAT
66	21434 33243	   	282.40	DCR|3VULN|1TLV|2DMG	1LHND|2DUR|3TLV|456VULN|7RCR|89DMG|aRAT
67	22433 33243	   	282.40	DCR|3VULN|1TLV|2DMG	1LHND|245VULN|3TLV|6DUR|7RCR|89DMG|aRAT
68	31131 23143	   	281.83	DCR|3VULN|1TLV|1DMG|2AEBURN|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8CGEN|9DMG|aASPD
69	31131 23212	   	281.83	DCR|3VULN|1TLV|1DMG|2AEBURN|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8DMG|9RCVC|aASPD
70	31131 23233	   	281.83	DCR|3VULN|1TLV|2AEBURN|1DMG|1ASPD	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8DMG|9MLV|aASPD
71	31141 23143	   	281.83	DCR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8CGEN|9DMG|aASPD
72	31141 23212	   	281.83	DCR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8DMG|9RCVC|aASPD
73	31141 23233	   	281.83	DCR|3VULN|1TLV|1AEBURN|1DMG|1ASPD	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8DMG|9MLV|aASPD
74	31434 43212	   	281.83	DCR|3VULN|1TLV|1DMG|1AEBURN|1ASPD	1MDPS|2AEBURN|3TLV|456VULN|7RCR|8DMG|9RCVC|aASPD
75	31434 43233	   	281.83	DCR|3VULN|1TLV|1AEBURN|1DMG|1ASPD	1MDPS|2AEBURN|3TLV|456VULN|7RCR|8DMG|9MLV|aASPD
76	52141 23143	   	281.83	DCR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|8CGEN|9DMG|aASPD
77	52141 23212	   	281.83	DCR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|8DMG|9RCVC|aASPD
78	52141 23233	   	281.83	DCR|3VULN|1TLV|1AEFBLL|1DMG|1ASPD	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|8DMG|9MLV|aASPD
79	21131 23343	   	281.65	DCR|4VULN|1TLV|2DUR|1ASPD	1LHND|24DUR|3459VULN|4BPWR|6TLV|7RCR|8BEXP|aASPD
80	21131 24256	 * 	281.55	DCR|3VULN|2TLV|3DUR	1LHND|247DUR|345VULN|4BPWR|69TLV|8DUST|aRCR
81	21131 21253	   	280.89	DCR|3VULN|1TLV|1AEBURN|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7ZMB|8AEBURN|9RCR|aRAT
82	21131 23434	   	280.89	DCR|3VULN|1TLV|1AEPOI|2DUR	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8ZMB|9RAT|aAEPOI
83	21131 23143	   	280.67	DCR|3VULN|1TLV|1DMG|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8CGEN|9DMG|aASPD
84	21131 23631	   	280.67	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD	1aLHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9ASPD
85	21131 23634	   	280.67	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9ASPD|aLWND
86	21131 23653	   	280.67	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9BEXP|aASPD
87	21131 23223	   	280.57	DCR|3VULN|1TLV|1DMG|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8DMG|9ERES|aASPD
88	21131 23632	   	280.57	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD|1MSE	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9ASPD|aMSE
89	21131 23635	   	280.57	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9ASPD|aDUST
90	21131 23636	   	280.57	DCR|3VULN|1TLV|1AEPOI|2DUR|1ASPD	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9ASPD|aAEWIND
91	22433 55122	   	280.27	DCR|4VULN|1TLV|1AEPOI|1AART	1LHND|2457VULN|3TLV|6AART|8AEPOI|9FEWX|aRCR
92	22352 24316	 * 	280.25	ACR|2VULN|1TLV|1DMG|1AEPOI|2CDMG	1LHND|25VULN|35CDMG|4RCR|5BPWR|6RAT|7TLV|8DUR|9AEPOI|aDMG
93	22434 33633	   	279.97	DCR|2TLV|2VULN|1AEPOI|1ASPD	1LHND|24VULN|35TLV|6DUR|7RCR|8AEPOI|9ASPD|aRAT
94	22434 33215	 * 	279.45	DCR|2TLV|2VULN|1DMG|1AEBURN	1LHND|24VULN|35TLV|6DUR|7RCR|8DMG|9BELT|aAEBURN
95	33164 13153	   	279.31	ACR|2TLV|2VULN|2DMG|1ASPD|1CDMG|1MSE	1MDPS|2SPLARM|3RCR|4aTLV|5CDMG|6ASPD|7aDMG|8MSE|9aVULN|aBPWR
96	21141 23145	   	278.92	DCR|4VULN|1TLV|1DMG	1LHND|2DUR|345aVULN|6TLV|7RCR|8CGEN|9DMG
97	22433 33145	   	278.92	DCR|4VULN|1TLV|1DMG	1LHND|245aVULN|3TLV|6DUR|7RCR|8CGEN|9DMG
98	22131 23645	   	278.82	DCR|4VULN|1TLV|1AEPOI	1LHND|235aVULN|4DUST|6TLV|7RCR|8AEPOI|9DUR
99	31131 23645	 * 	278.82	DCR|4VULN|1TLV|1AEPOI|2AEBURN	1MDPS|24AEBURN|345aVULN|4BPWR|6TLV|7RCR|8AEPOI|9DUR
100	21141 23225	   	278.82	DCR|4VULN|1TLV|1DMG	1LHND|2DUR|345aVULN|6TLV|7RCR|8DMG|9ERES
101	21434 33225	   	278.82	DCR|4VULN|1TLV|1DMG	1LHND|2DUR|3TLV|456aVULN|7RCR|8DMG|9ERES
102	22433 33225	   	278.82	DCR|4VULN|1TLV|1DMG	1LHND|245aVULN|3TLV|6DUR|7RCR|8DMG|9ERES
103	21141 23443	   	278.46	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8ZMB|9DMG|aASPD
104	21141 23633	   	278.46	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9ASPD|aRAT
105	21434 33633	   	278.46	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|2DUR|3TLV|456VULN|7RCR|8AEPOI|9ASPD|aRAT
106	22433 33443	   	278.46	DCR|3VULN|1TLV|1DMG|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8ZMB|9DMG|aASPD
107	22433 33633	   	278.46	DCR|3VULN|1TLV|1AEPOI|1ASPD	1LHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9ASPD|aRAT
108	31131 23444	   	278.41	DCR|3VULN|1TLV|1DMG|2AEBURN|2ZMB	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8aZMB|9DMG
109	21141 23215	   	277.94	DCR|3VULN|1TLV|1DMG|1AEBURN	1LHND|2DUR|345VULN|6TLV|7RCR|8DMG|9BELT|aAEBURN
110	21434 33215	   	277.94	DCR|3VULN|1TLV|1DMG|1AEBURN	1LHND|2DUR|3TLV|456VULN|7RCR|8DMG|9BELT|aAEBURN
111	22433 33215	   	277.94	DCR|3VULN|1TLV|1DMG|1AEBURN	1LHND|245VULN|3TLV|6DUR|7RCR|8DMG|9BELT|aAEBURN
112	21131 23662	   	277.92	DCR|3VULN|1TLV|1AEPOI|2DUR|1AART	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|9AART|aERES
113	21131 23665	 * 	277.92	DCR|3VULN|1TLV|2AEPOI|2DUR|1AART	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8aAEPOI|9AART
114	21142 23663	   	277.92	DCR|3VULN|1TLV|1AEPOI|2DUR|1AART	1LHND|25DUR|34aVULN|6TLV|7RCR|8AEPOI|9AART
115	22434 33343	   	277.66	DCR|3VULN|2TLV|1ASPD	1LHND|249VULN|35TLV|6DUR|7RCR|8BEXP|aASPD
116	21153 14322	 * 	277.63	DCR|2VULN|1TLV|3DMG|1AART	17LHND|2DUR|37VULN|4AART|5AAC|678DMG|7BPWR|9TLV|aRCR
117	21131 23444	   	277.25	DCR|3VULN|1TLV|1DMG|2DUR|2ZMB	1LHND|24DUR|345VULN|4BPWR|6TLV|7RCR|8aZMB|9DMG
118	21141 23345	   	277.20	DCR|5VULN|1TLV	1LHND|2DUR|3459aVULN|6TLV|7RCR|8BEXP
119	22433 33345	   	277.20	DCR|5VULN|1TLV	1LHND|2459aVULN|3TLV|6DUR|7RCR|8BEXP
120	22434 33241	   	276.97	DCR|2TLV|2VULN|2DMG	1aLHND|24VULN|35TLV|6DUR|7RCR|89DMG
121	22434 33242	   	276.87	DCR|2TLV|2VULN|2DMG|1MSE	1LHND|24VULN|35TLV|6DUR|7RCR|89DMG|aMSE
122	22352 24614	 * 	276.63	ACR|2TLV|2VULN|1AEPOI|2CDMG	1LHND|25VULN|35CDMG|4RCR|5BPWR|6RAT|7aTLV|8MBVNT|9AEPOI
123	54332 42222	 * 	276.36	DCR|DCR|1TLV|2DMG|1AEFBLL|1AART	1AEFBLL|2LIT|3LHND|46DMG|5MBVNT|7TLV|8AART|9aRCR
124	22131 23445	   	276.10	DCR|4VULN|1TLV|1DMG	1LHND|235aVULN|4DUST|6TLV|7RCR|8ZMB|9DMG
125	31131 23435	   	276.10	DCR|4VULN|1TLV|2AEBURN	1MDPS|24AEBURN|345aVULN|4BPWR|6TLV|7RCR|8ZMB|9MLV
126	31131 23465	   	276.10	DCR|4VULN|1TLV|2AEBURN	1MDPS|24AEBURN|345aVULN|4BPWR|6TLV|7RCR|8ZMB|9RMIN
127	31141 23435	   	276.10	DCR|4VULN|1TLV|1AEBURN	1MDPS|2AEBURN|345aVULN|6TLV|7RCR|8ZMB|9MLV
128	21141 23661	   	275.82	DCR|3VULN|1TLV|1AEPOI|1AART	1LHND|2DUR|345VULN|6TLV|7RCR|8AEPOI|9AART|aFRZARM
129	22433 33661	   	275.82	DCR|3VULN|1TLV|1AEPOI|1AART	1LHND|245VULN|3TLV|6DUR|7RCR|8AEPOI|9AART|aFRZARM
130	21131 23612	   	275.51	DCR|3VULN|1TLV|3DUR|1AEPOI	19LHND|24aDUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI
131	21131 23642	   	275.51	DCR|3VULN|1TLV|3DUR|1AEPOI	1LHND|249DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|aCGEN
132	21131 23644	   	275.51	DCR|3VULN|1TLV|3DUR|1AEPOI	1LHND|249DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|aLWND
133	21131 23646	   	275.51	DCR|3VULN|1TLV|3DUR|1AEPOI	1aLHND|249DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI
134	21141 23241	   	275.46	DCR|3VULN|1TLV|2DMG	1aLHND|2DUR|345VULN|6TLV|7RCR|89DMG
135	21141 23244	   	275.46	DCR|3VULN|1TLV|2DMG	1LHND|2DUR|345VULN|6TLV|7RCR|89DMG|aLWND
136	21434 33241	   	275.46	DCR|3VULN|1TLV|2DMG	1aLHND|2DUR|3TLV|456VULN|7RCR|89DMG
137	22433 33241	   	275.46	DCR|3VULN|1TLV|2DMG	1aLHND|245VULN|3TLV|6DUR|7RCR|89DMG
138	22433 33244	   	275.46	DCR|3VULN|1TLV|2DMG	1LHND|245VULN|3TLV|6DUR|7RCR|89DMG|aLWND
139	21131 23643	   	275.41	DCR|3VULN|1TLV|3DUR|1AEPOI	1LHND|249DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|aDUST
140	21131 23645	   	275.41	DCR|3VULN|1TLV|3DUR|1AEPOI	1LHND|249DUR|345VULN|4BPWR|6TLV|7RCR|8AEPOI|aMDPS
141	21141 23642	   	275.41	DCR|3VULN|1TLV|3DUR|1AEPOI	1LHND|29aDUR|345VULN|6TLV|7RCR|8AEPOI
142	21142 23641	   	275.41	DCR|3VULN|1TLV|3DUR|1AEPOI	1LHND|259DUR|34aVULN|6TLV|7RCR|8AEPOI
143	22433 33642	   	275.41	DCR|3VULN|1TLV|3DUR|1AEPOI	1LHND|245VULN|3TLV|69aDUR|7RCR|8AEPOI
144	21141 23242	   	275.36	DCR|3VULN|1TLV|2DMG|1MSE	1LHND|2DUR|345VULN|6TLV|7RCR|89DMG|aMSE
145	21141 23245	   	275.36	DCR|3VULN|1TLV|2DMG	1LHND|2DUR|345VULN|6TLV|7RCR|89DMG|aDUST
146	21141 23246	   	275.36	DCR|3VULN|1TLV|2DMG	1LHND|2DUR|345VULN|6TLV|7RCR|89DMG|aAEWIND
147	21434 33242	   	275.36	DCR|3VULN|1TLV|2DMG|1MSE	1LHND|2DUR|3TLV|456VULN|7RCR|89DMG|aMSE
148	22433 33242	   	275.36	DCR|3VULN|1TLV|2DMG|1MSE	1LHND|245VULN|3TLV|6DUR|7RCR|89DMG|aMSE
149	22433 33245	   	275.36	DCR|3VULN|1TLV|2DMG	1LHND|245VULN|3TLV|6DUR|7RCR|89DMG|aDUST
150	22433 33246	   	275.36	DCR|3VULN|1TLV|2DMG	1LHND|245VULN|3TLV|6DUR|7RCR|89DMG|aAEWIND
151	26131 23234	   	275.32	DCR|3VULN|1TLV|1DMG|1AEPOI	1LHND|24LWND|345VULN|4BPWR|6TLV|7RCR|8DMG|9RAT|aAEPOI
152	22141 23234	   	275.22	DCR|3VULN|1TLV|1DMG|1AEPOI	1LHND|235VULN|4LWND|6TLV|7RCR|8DMG|9RAT|aAEPOI
153	26141 23234	   	275.22	DCR|3VULN|1TLV|1DMG|1AEPOI	1LHND|2LWND|345VULN|6TLV|7RCR|8DMG|9RAT|aAEPOI
154	22352 24232	 * 	275.22	ACR|3VULN|1TLV|1DMG|2CDMG	1LHND|25aVULN|35CDMG|4RCR|5BPWR|6RAT|7TLV|8DMG|9VENTOX
155	31131 23144	   	275.12	DCR|3VULN|1TLV|1DMG|2AEBURN	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8CGEN|9DMG|aZMB
156	31131 23234	   	275.12	DCR|3VULN|1TLV|2AEBURN|1DMG	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8DMG|9MLV|aZMB
157	31131 23442	   	275.12	DCR|3VULN|1TLV|1DMG|2AEBURN	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aTSLFST
158	31141 23144	   	275.12	DCR|3VULN|1TLV|1DMG|1AEBURN	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8CGEN|9DMG|aZMB
159	31141 23234	   	275.12	DCR|3VULN|1TLV|1AEBURN|1DMG	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8DMG|9MLV|aZMB
160	31141 23442	   	275.12	DCR|3VULN|1TLV|1DMG|1AEBURN	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8ZMB|9DMG|aTSLFST
161	52141 23234	   	275.12	DCR|3VULN|1TLV|1AEFBLL|1DMG	1AEFBLL|2MDPS|345VULN|6TLV|7RCR|8DMG|9MLV|aZMB
162	31131 23441	   	275.02	DCR|3VULN|1TLV|2AEBURN|1DMG	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aAETHUN
163	31131 23446	   	275.02	DCR|3VULN|1TLV|2AEBURN|1DMG	1MDPS|24AEBURN|345VULN|4BPWR|6TLV|7RCR|8ZMB|9DMG|aERES
164	31141 23441	   	275.02	DCR|3VULN|1TLV|1AEBURN|1DMG	1MDPS|2AEBURN|345VULN|6TLV|7RCR|8ZMB|9DMG|aAETHUN
165	21131 23425	   	274.84	DCR|4VULN|1TLV|2DUR	1LHND|24DUR|345aVULN|4BPWR|6TLV|7RCR|8ZMB|9ERES
166	31151 23242	   	274.72	DCR|2VULN|1TLV|2DMG|1AEBURN|1ASPD	1MDPS|2AEBURN|35VULN|4DMSP|6TLV|7RCR|89DMG|aASPD
167	52151 23242	   	274.72	DCR|2VULN|1TLV|2DMG|1AEFBLL|1ASPD	1AEFBLL|2MDPS|35VULN|4DMSP|6TLV|7RCR|89DMG|aASPD
