0	Index      	 *	Score 	Summary	Detail	
1	12521 13241	 * 	290.57	DCR|2TLV|2VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aAEPOI
18	25322 41632	 * 	271.37	DCR|3TLV|1VULN|2DMG|1AEPOI	127LWND|3CGEN|467TLV|57DMG|7BPWR|8RCR|9AEPOI|aVULN
19	35132 13562	 * 	270.78	DCR|2VULN|1TLV|1DMG|1AEPOI|1ASPD|1CDMG	1MLV|2DMG|35VULN|4ERES|6ASPD|7AEPOI|8CDMG|9RCR|aTLV
20	12521 13143	   	270.61	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LWND|9RCR|aAME
21	12521 13543	   	270.61	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LHND|9RCR|aAME
22	12521 13643	   	270.61	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8FEWX|9RCR|aAME
23	12521 13141	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LWND|9RCR|aAETHUN
24	12521 13142	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LWND|9RCR|aDUST
25	12521 13144	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LWND|9RCR|aERES
26	12521 13243	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aMLV
27	12521 13246	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aAME
28	12521 13541	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LHND|9RCR|aAETHUN
29	12521 13542	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8LHND|9RCR|aDUST
30	12521 13641	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8FEWX|9RCR|aAETHUN
31	12521 13642	   	270.51	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8FEWX|9RCR|aDUST
32	12521 13242	   	270.41	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aDUST
33	12521 13244	   	270.41	DCR|2TLV|2VULN|3DUR|1ASPD	1ASPD|235DUR|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aERES
34	53234 21211	 * 	268.88	DCR|3VULN|1TLV|1DMG|1AART|1DUR	1AART|23BEXP|4TLV|569VULN|7RCR|8DUR|aDMG
35	53334 21211	   	268.78	DCR|3VULN|1TLV|1DMG|1AART|1DUR	1AART|2BEXP|3AEWIND|4TLV|569VULN|7RCR|8DUR|aDMG
36	12521 12232	   	267.76	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9AEPOI|aMLV
37	12521 12233	   	267.76	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9AEPOI|aCGEN
38	12521 12235	   	267.76	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9AEPOI|aRCVC
39	12521 24232	   	267.76	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6ZMB|7VULN|8RCR|9AEPOI|aMLV
40	12521 24233	   	267.76	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6ZMB|7VULN|8RCR|9AEPOI|aCGEN
41	12521 24235	   	267.76	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6ZMB|7VULN|8RCR|9AEPOI|aRCVC
42	12521 12231	   	267.66	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9AEPOI|aERES
43	12521 12262	   	267.66	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9BASICY|aDMG
44	12521 24231	   	267.66	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6ZMB|7VULN|8RCR|9AEPOI|aERES
45	12521 24262	   	267.66	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6ZMB|7VULN|8RCR|9BASICY|aDMG
46	62521 12234	   	267.66	DCR|2TLV|1VULN|3DUR|1AEPOI|1ASPD|1NUKE	1NUKE|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9AEPOI|aASPD
47	15322 11262	 * 	266.66	DCR|2TLV|3DMG|3ASPD|1CDMG|1NUKE	167ASPD|2NUKE|3CGEN|47TLV|578DMG|7BPWR|9CDMG|aRCR
48	14421 33361	 * 	266.56	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1CDMG	15ASPD|2FEWX|3AEFBLL|45TLV|5BPWR|6RAT|7MSLFST|8RCR|9VULN|aCDMG
49	26321 25531	 * 	266.42	DCR|2TLV|2VULN|2CDMG|1DUR	1LWND|2aTLV|3RMIN|4DUR|5ZMB|6aVULN|7FEWX|8aCDMG|9RCR|aBPWR
50	14133 64233	 * 	264.21	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	1ASPD|2FEWX|3MDPS|4aRCR|5DMG|6CDMG|79VULN|8CGEN
51	12212 25114	   	263.88	DCR|2TLV|2VULN|1ASPD|1AART|1DUR	1ASPD|2DUR|3AART|4CGEN|58TLV|6aVULN|7MBVNT|9RCR
52	12521 12224	   	263.44	DCR|2TLV|1VULN|3DUR|2ASPD|2ZMB	1aASPD|235DUR|45TLV|5BPWR|6VULN|79ZMB|8RCR
53	12521 24224	   	263.44	DCR|2TLV|1VULN|3DUR|2ASPD|2ZMB	1aASPD|235DUR|45TLV|5BPWR|69ZMB|7VULN|8RCR
54	15322 61352	 * 	263.41	DCR|2TLV|1VULN|2DMG|2ASPD|1NUKE|1SELL	17ASPD|2NUKE|36CGEN|47TLV|57DMG|7BPWR|8RCR|9SELL|aVULN
55	14621 13241	   	263.37	DCR|2TLV|2VULN|1AEPOI|1ASPD	1ASPD|235FEWX|45TLV|5BPWR|67VULN|8AETHUN|9RCR|aAEPOI
56	12421 33353	   	262.57	DCR|2TLV|1VULN|2ASPD|1AEFBLL|1DUR	15ASPD|2DUR|3AEFBLL|45TLV|5BPWR|6RAT|7MSLFST|8RCR|9LIT|aVULN
57	63234 23362	 * 	262.29	DCR|2VULN|1TLV|1DMG|2CDMG|2DUR|1NUKE	1NUKE|27VULN|37DUR|47CDMG|5RCVC|6DMSP|7BPWR|8DMG|9RCR|aTLV
58	52432 33214	   	262.03	DCR|2TLV|2VULN|1DMG|1AART|1DUR|1MSE	1AART|2ZMB|34TLV|5MSE|6DUR|7RCR|8DMG|9aVULN
59	15126 13335	   	261.81	DCR|2TLV|2VULN|2DUR|1ASPD|1NUKE	1ASPD|2NUKE|35VULN|4aDUR|68TLV|7AETHUN|9RCR
60	63226 13335	   	261.81	DCR|2TLV|2VULN|2DUR|1ASPD|1NUKE	1NUKE|25VULN|3aDUR|4ASPD|68TLV|7AETHUN|9RCR
61	66322 61332	   	261.44	DCR|2TLV|1VULN|2DMG|1CDMG|2ZMB|1NUKE	1NUKE|27ZMB|36CGEN|47TLV|57DMG|7BPWR|8RCR|9CDMG|aVULN
62	12521 12246	   	261.34	DCR|2TLV|1VULN|3DUR|1ASPD|1CDMG	1ASPD|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9LIT|aCDMG
63	12521 14226	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|45aTLV|5BPWR|6VULN|7AAC|8RCR|9ZMB
64	12521 12216	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|45aTLV|5BPWR|6VULN|7ZMB|8RCR|9MLV
65	12521 12252	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6VULN|7ZMB|8RCR|aRMIN
66	12521 12253	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6VULN|7ZMB|8RCR|aLIT
67	12521 12255	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6VULN|7ZMB|8RCR|aBEXP
68	12521 24216	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|45aTLV|5BPWR|6ZMB|7VULN|8RCR|9MLV
69	12521 24252	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6ZMB|7VULN|8RCR|aRMIN
70	12521 24253	   	261.34	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6ZMB|7VULN|8RCR|aLIT
71	12521 12251	   	261.24	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6VULN|7ZMB|8RCR|aLEGI
72	12521 12254	   	261.24	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6VULN|7ZMB|8RCR|aAEFRZ
73	12521 12256	   	261.24	DCR|3TLV|1VULN|3DUR|1ASPD|1MSE	1ASPD|235DUR|459TLV|5BPWR|6VULN|7ZMB|8RCR|aMSE
74	12521 24251	   	261.24	DCR|3TLV|1VULN|3DUR|1ASPD	1ASPD|235DUR|459TLV|5BPWR|6ZMB|7VULN|8RCR|aLEGI
75	62521 12236	   	260.95	DCR|2TLV|1VULN|3DUR|1AEPOI|1NUKE	1NUKE|235DUR|45TLV|5BPWR|6VULN|7ZMB|8RCR|9AEPOI|aRAT
76	12521 11143	   	260.82	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LWND|9RCR|aAME
77	12521 11543	   	260.82	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LHND|9RCR|aAME
78	12521 11643	   	260.82	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8FEWX|9RCR|aAME
79	12521 14233	   	260.82	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AAC|8RCR|9DMG|aAME
80	32522 41335	 * 	260.82	DCR|3TLV|2DMG|3DUR|1AEPOI	17MLV|23aDUR|467TLV|57DMG|7BPWR|8AEPOI|9RCR
81	12521 11141	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LWND|9RCR|aAETHUN
82	12521 11142	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LWND|9RCR|aDUST
83	12521 11144	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LWND|9RCR|aERES
84	12521 11241	 * 	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1AEPOI|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8AETHUN|9RCR|aAEPOI
85	12521 11243	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8AETHUN|9RCR|aMLV
86	12521 11246	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8AETHUN|9RCR|aAME
87	12521 11541	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LHND|9RCR|aAETHUN
88	12521 11542	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8LHND|9RCR|aDUST
89	12521 11641	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8FEWX|9RCR|aAETHUN
90	12521 11642	   	260.72	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8FEWX|9RCR|aDUST
91	12521 14231	   	260.72	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AAC|8RCR|9DMG|aAETHUN
92	12521 14232	   	260.72	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AAC|8RCR|9DMG|aDUST
93	12521 14234	   	260.72	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AAC|8RCR|9DMG|aERES
94	12521 14262	   	260.72	DCR|2TLV|1VULN|3DUR|1DMG|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AAC|8RCR|9BASICY|aDMG
95	12521 11242	   	260.62	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8AETHUN|9RCR|aDUST
96	12521 11244	   	260.62	DCR|2TLV|1VULN|3DUR|1AEFBLL|1ASPD	1ASPD|235DUR|45TLV|5BPWR|6VULN|7AEFBLL|8AETHUN|9RCR|aERES
