0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45332 36233	2	 * 	278.50	橙4易伤2时间2等级1伤害	13等级2368易伤3序列升级49时间5金币生成7核a伤害
28	45433 11224	10	 * 	259.66	橙2易伤3时间2伤害2等级	17等级24易伤37伤害579时间6加一7序列升级8掉矿a核
29	51121 61223	2	   	258.88	橙3易伤3时间1伤害1全技能	1a最后敌人2随机矿3全技能4伤害57a易伤68a时间9核a序列升级
30	51431 61223	3	   	258.88	橙3易伤3时间1伤害1全技能	1a最后敌人2随机矿3伤害4全技能57a易伤68a时间9核a序列升级
31	53221 61223	1	   	258.88	橙3易伤3时间1伤害1全技能	1a最后敌人2全技能3随机矿4伤害57a易伤68a时间9核a序列升级
32	45322 16231	4	   	258.54	橙4易伤2时间2等级	1a等级248a易伤3基地爆炸56金币生成7核9a时间a序列升级
33	45322 33121	4	   	258.54	橙4易伤2时间2等级	1a等级246a易伤39基地爆炸5金币生成7a时间8核a序列升级
34	45322 33131	4	   	258.54	橙4易伤2时间2等级	1a等级246a易伤3基地爆炸5金币生成7a时间8核9双倍矿a序列升级
35	45322 36321	4	   	258.54	橙4易伤2时间2等级	1a等级246a易伤39基地爆炸5金币生成7核8a时间a序列升级
36	45322 36331	4	   	258.54	橙4易伤2时间2等级	1a等级246a易伤3基地爆炸5金币生成7核8a时间9双倍矿a序列升级
37	45342 33121	2	 * 	258.54	橙4易伤2时间3等级	13a等级236a易伤3a序列升级49基地爆炸5金币生成7a时间8核
38	45342 33131	2	   	258.54	橙4易伤2时间3等级	13a等级236a易伤3a序列升级4基地爆炸5金币生成7a时间8核9双倍矿
39	45332 36232	2	   	258.44	橙4易伤2时间2等级	13等级2368易伤3序列升级49时间5金币生成7核a平台
40	41422 36231	4	   	258.44	橙4易伤2时间2等级	1a等级2掉矿368a易伤4策反5金币生成7核9a时间a序列升级
41	41433 16231	4	   	258.44	橙4易伤2时间2等级	1a等级2掉矿348a易伤5金币生成6策反7核9a时间a序列升级
42	45136 22231	8	   	258.44	橙4易伤2时间2等级	1a等级245a易伤3矿等6掉矿7随机矿8核9a时间a序列升级
43	45322 36231	2	   	258.44	橙4易伤2时间3等级	13a等级2368易伤3a序列升级4挖青5a金币生成7核9a时间
44	45325 33121	4	   	258.44	橙4易伤2时间2等级	1a等级245a易伤39基地爆炸6掉矿7a时间8核a序列升级
45	45325 33131	4	   	258.44	橙4易伤2时间2等级	1a等级245a易伤3基地爆炸6掉矿7a时间8核9双倍矿a序列升级
46	35323 51214	10	   	258.34	橙4易伤2时间1伤害	178掉矿247a易伤3基地爆炸5伤害67时间7序列升级9核
47	35332 36235	2	   	258.34	橙4易伤2时间1伤害	13掉矿2368易伤3序列升级49时间5金币生成7核a伤害
48	45332 36231	2	   	258.34	橙4易伤2时间2等级	13等级2368易伤3序列升级49时间5金币生成7核a掉矿
49	31151 44322	2	   	258.08	橙5易伤1时间2雷电	127掉矿3467a易伤57雷电7序列升级8核9时间
50	33151 44322	2	   	258.08	橙5易伤1时间2雷电	127掉矿27序列升级3467a易伤57雷电8核9时间
51	16422 36231	1	   	258.01	橙5易伤2时间	1a敌人爆炸2368a易伤4掉矿5金币生成7核9a时间a序列升级
52	35136 26231	5	   	257.91	橙5易伤2时间	1a掉矿2458a易伤3矿等6最后敌人7核9a时间a序列升级
53	35136 34231	8	   	257.91	橙5易伤2时间	1a掉矿2457a易伤3矿等6基地爆炸8核9a时间a序列升级
54	35136 36231	6	   	257.91	橙5易伤2时间	1a掉矿2458a易伤3矿等6基地爆炸7核9a时间a序列升级
55	35322 36231	4	   	257.91	橙5易伤2时间	1a掉矿2468a易伤3基地爆炸5金币生成7核9a时间a序列升级
56	35342 36231	2	   	257.91	橙5易伤2时间	13a掉矿2368a易伤3a序列升级4基地爆炸5金币生成7核9a时间
57	35332 36231	2	   	257.81	橙5易伤2时间	13掉矿2368a易伤3序列升级49时间5金币生成7核
58	44115 31111	6	   	257.67	橙2易伤3时间1伤害1等级1攻速	1等级2雷电345时间6核79易伤8伤害a攻速
59	45133 12421	10	 * 	257.42	橙3易伤1伤害2暴击1等级1时间	1等级24a易伤3矿等5时间69暴击7核8伤害
60	45133 12115	8	   	256.64	橙3易伤2时间1等级1暴击1攻速	1等级24a易伤3矿等59时间6暴击7核8攻速
61	13252 51523	7	   	256.51	橙3易伤3时间1等级1攻速	179敌人爆炸2立即金币379易伤4等级5攻速679时间79序列升级8赏金邻近a核
62	44115 31133	6	   	256.33	橙2易伤3时间1伤害1等级1全技能	1等级2雷电345时间6核7a易伤8伤害9全技能
63	41411 12431	10	 * 	256.26	橙3易伤2伤害2等级1暴击	19等级2掉矿39a易伤45低血量敌人6暴击7核89伤害9序列升级
64	45433 11411	10	   	256.20	橙2易伤2伤害2时间2等级1全技能	17等级24易伤37伤害57时间6加一7序列升级8全技能9立即金币a核
65	12435 31223	2	   	256.01	橙4易伤2时间2全技能	1a敌人爆炸2基地爆炸367a易伤48全技能5a时间9核a序列升级
66	45332 36313	2	   	255.86	橙3易伤2时间2等级1伤害	13等级236易伤3序列升级48时间5金币生成7核9立即金币a伤害
67	45332 36322	2	   	255.86	橙3易伤2时间2等级1伤害	13等级236易伤3序列升级48时间5金币生成7核9伤害a平台
68	41431 26312	6	   	255.86	橙3易伤2时间2等级1伤害	1a等级2掉矿34a易伤5平台6金币生成7伤害8核9a时间a序列升级
69	45332 16233	2	   	255.86	橙3易伤2时间2等级1伤害	13等级238易伤3序列升级49时间56金币生成7核a伤害
70	35434 11424	10	   	255.85	橙2易伤3时间2伤害1等级	17掉矿24易伤37伤害579时间6加一7序列升级8等级a核
71	45332 36321	2	   	255.76	橙3易伤2时间2等级1伤害	13等级236易伤3序列升级48时间5金币生成7核9伤害a挖尘
72	45332 36323	2	   	255.76	橙3易伤2时间2等级1伤害	13等级236易伤3序列升级48时间5金币生成7核9伤害a掉矿
73	35351 41121	2	   	255.25	橙5易伤1伤害	137掉矿23468易伤3序列升级5雷电9伤害a核
74	13252 36231	4	   	254.82	橙4易伤2时间1等级	1a敌人爆炸2立即金币368a易伤4等级5金币生成7核9a时间a序列升级
75	13254 36231	3	   	254.82	橙4易伤2时间1等级	1a敌人爆炸2立即金币368a易伤4金币生成5等级7核9a时间a序列升级
76	13232 46231	6	   	254.72	橙4易伤2时间1等级	1a敌人爆炸2立即金币348a易伤5掉矿6等级7核9a时间a序列升级
77	13255 36231	4	   	254.72	橙4易伤2时间1等级	1a敌人爆炸2立即金币358a易伤4等级6掉矿7核9a时间a序列升级
78	21252 36231	4	   	254.72	橙4易伤2时间1等级	1a策反2掉矿368a易伤4等级5金币生成7核9a时间a序列升级
79	26422 36231	3	   	254.72	橙4易伤2时间1等级	1a策反2等级368a易伤4掉矿5金币生成7核9a时间a序列升级
80	26432 36231	4	   	254.72	橙4易伤2时间1等级	1a策反2等级368a易伤4金币生成5掉矿7核9a时间a序列升级
81	31166 36213	2	   	254.65	橙4易伤2伤害1全技能	125掉矿356a易伤4全技能5序列升级7核89伤害
82	33166 36213	2	   	254.65	橙4易伤2伤害1全技能	125掉矿25序列升级356a易伤4全技能7核89伤害
83	35324 36231	4	   	254.52	橙4易伤2时间1等级	16a掉矿248a易伤3基地爆炸5等级7核9a时间a序列升级
84	13253 22266	9	   	253.51	橙4易伤1伤害1等级1全技能	1敌人爆炸2立即金币3789易伤4等级5伤害6全技能a核
85	25153 22262	9	   	253.51	橙4易伤1伤害1等级1全技能	1策反2789易伤3矿等4等级5伤害6全技能a核
86	45123 22262	9	   	253.51	橙4易伤1伤害1等级1全技能	1等级2789易伤3矿等4策反5伤害6全技能a核
87	45323 22216	9	   	253.51	橙4易伤1伤害1等级1全技能	1等级2478易伤39基地爆炸5伤害6全技能a核
88	35336 36233	2	   	253.23	橙4易伤2时间2雷电	136掉矿2358易伤38序列升级48时间78雷电9核a低血量敌人
89	31136 36232	2	   	253.13	橙4易伤2时间2雷电	126掉矿358a易伤48时间78雷电8序列升级9核
90	33136 36232	2	   	253.13	橙4易伤2时间2雷电	126掉矿28序列升级358a易伤48时间78雷电9核
91	34216 12232	7	   	253.13	橙4易伤2时间2雷电	156掉矿28雷电378a易伤48时间8序列升级9核
92	34216 14232	6	   	253.13	橙4易伤2时间2雷电	156掉矿28雷电378a易伤48时间8序列升级9核
93	34216 53232	5	   	253.13	橙4易伤2时间2雷电	157掉矿28雷电368a易伤48时间8序列升级9核
94	35616 12232	7	   	253.13	橙4易伤2时间2雷电	156掉矿278a易伤38雷电48时间8序列升级9核
95	34313 22232	7	   	253.13	橙4易伤2时间2雷电	135掉矿28雷电48时间678a易伤8序列升级9核
96	34313 24232	6	   	253.13	橙4易伤2时间2雷电	135掉矿28雷电48时间678a易伤8序列升级9核
97	34341 22232	7	   	253.13	橙4易伤2时间2雷电	134掉矿28雷电58时间678a易伤8序列升级9核
98	34341 24232	6	   	253.13	橙4易伤2时间2雷电	134掉矿28雷电58时间678a易伤8序列升级9核
99	13236 66232	5	   	252.99	橙5易伤1时间1全技能	1敌人爆炸2立即金币3458a易伤6时间7核9全技能
100	35336 16232	2	   	252.89	橙5易伤1时间1全技能	13掉矿2358a易伤3序列升级4时间6策反7核9全技能
101	31151 44111	2	   	252.84	橙5易伤2雷电1攻速	127掉矿34678易伤57雷电7序列升级9攻速a核
102	33151 44111	2	   	252.84	橙5易伤2雷电1攻速	127掉矿27序列升级34678易伤57雷电9攻速a核
103	13233 12464	9	   	252.55	橙3易伤2伤害1时间1暴击	1a敌人爆炸2立即金币34a易伤5时间6暴击7核8a伤害9挖青a序列升级
104	44212 32353	10	   	252.26	橙4易伤2等级1时间	19等级2雷电3689易伤4时间5最后敌人79敌人爆炸9序列升级a核
105	42433 11422	9	 * 	252.17	橙3易伤2伤害3等级1全技能	157等级2基地爆炸37伤害47a易伤6加一7序列升级8全技能9核
106	42433 11424	10	   	252.17	橙3易伤2伤害3等级1全技能	157等级2基地爆炸37伤害47a易伤6加一7序列升级8全技能9核
107	42433 11432	8	   	252.17	橙3易伤2伤害3等级1全技能	157等级2基地爆炸37伤害47a易伤6加一7序列升级8全技能9核
108	42433 11464	10	   	252.17	橙3易伤2伤害3等级1全技能	157等级2基地爆炸37伤害479易伤6加一7序列升级8全技能a核
109	16412 22142	1	   	252.15	橙3易伤2时间1伤害1等级	1a敌人爆炸236易伤46时间5随机矿6序列升级7等级8核9伤害
110	25352 22612	9	 * 	252.08	橙3易伤2攻速1伤害1等级1全技能	1策反278易伤35攻速4等级6全技能9伤害a核
111	43433 11422	9	   	252.07	橙3易伤2伤害3等级1全技能	157等级2挖尘37伤害47a易伤6加一7序列升级8全技能9核
112	43433 11432	8	   	252.07	橙3易伤2伤害3等级1全技能	157等级2挖尘37伤害47a易伤6加一7序列升级8全技能9核
113	16412 22141	1	   	252.05	橙3易伤2时间1伤害1等级	1敌人爆炸236易伤46时间5随机矿6序列升级7等级8核9伤害a掉矿
114	21524 61353	8	   	251.70	橙4易伤3时间	147策反28掉矿3加一5789易伤678时间78序列升级a核
115	35332 36236	2	   	251.60	橙4易伤3时间	13a掉矿2368易伤3a序列升级49a时间5a金币生成7核
116	35351 41322	2	   	251.43	橙5易伤1时间	137掉矿2346a易伤3序列升级5雷电8核9时间
117	25312 51323	7	 * 	250.57	橙3易伤3时间2攻速	179策反267易伤39攻速49低血量敌人578时间79序列升级a核
118	45133 12431	10	   	250.10	橙2易伤2伤害1等级1时间1暴击	1等级24易伤3矿等5时间6暴击7核8a伤害9雷电
119	31151 44321	2	   	249.55	橙4易伤1时间2雷电1攻速	127掉矿3467易伤57雷电7序列升级8核9时间a攻速
120	33151 44321	2	   	249.55	橙4易伤1时间2雷电1攻速	127掉矿27序列升级3467易伤57雷电8核9时间a攻速
121	13233 12415	8	   	249.45	橙3易伤2时间1伤害1暴击	1敌人爆炸2立即金币34a易伤59时间6暴击7核8伤害
122	13233 12466	7	   	249.45	橙3易伤2时间1伤害1暴击	1敌人爆炸2立即金币349易伤58时间6暴击7核a伤害
123	45332 21215	2	   	249.45	橙3易伤2时间2等级1暴击	13等级23a易伤3序列升级49时间5金币生成6暴击7策反8核
124	45332 23215	2	   	249.45	橙3易伤2时间2等级1暴击	13等级23a易伤3序列升级49时间5金币生成6暴击7矿等8核
125	35322 51214	10	   	249.28	橙4易伤2时间1攻速	178掉矿247a易伤3基地爆炸5攻速67时间7序列升级9核
126	31232 61325	9	 * 	249.25	橙2易伤2伤害2攻速1等级1时间	125掉矿38攻速4时间68伤害78易伤8序列升级9核a等级
127	33232 61325	9	   	249.25	橙2易伤2伤害2攻速1等级1时间	125掉矿28序列升级38攻速4时间68伤害78易伤9核a等级
128	13233 56252	6	 * 	249.12	橙3易伤3时间2等级	1a敌人爆炸2立即金币348易伤56a时间7核9a等级a序列升级
129	13233 66252	5	   	249.12	橙3易伤3时间2等级	1a敌人爆炸2立即金币348易伤56a时间7核9a等级a序列升级
130	45332 36332	2	   	249.02	橙3易伤3时间2等级	13等级236易伤3序列升级489时间5金币生成7核a敌人爆炸
131	35412 61111	9	   	249.02	橙3易伤3时间1伤害	17掉矿27a易伤3伤害4低血量敌人567时间7序列升级8矿等9核
132	35412 51211	10	   	248.92	橙3易伤3时间1伤害	178掉矿267易伤3伤害4低血量敌人57a时间7序列升级9核
133	45332 36333	2	   	248.92	橙3易伤3时间2等级	13等级236易伤3序列升级489时间5金币生成7核a挖青
134	35323 51211	10	   	248.92	橙3易伤3时间1伤害	178掉矿247易伤3基地爆炸5伤害67a时间7序列升级9核
135	35433 51211	10	   	248.92	橙3易伤3时间1伤害	178掉矿247易伤3伤害5最后敌人67a时间7序列升级9核
136	45332 36331	2	   	248.78	橙3易伤3时间2等级1卖塔	13等级236易伤3序列升级489时间5金币生成7核a卖塔
137	31232 61324	9	 * 	248.66	橙2易伤3伤害2攻速1时间	125掉矿38攻速4时间68a伤害78易伤8序列升级9核
138	33232 61324	9	   	248.66	橙2易伤3伤害2攻速1时间	125掉矿28序列升级38攻速4时间68a伤害78易伤9核
