0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11312 46115	6	 * 	291.73	橙5易伤2时间2等级1暴击	1246a易伤3立即金币5暴击7a等级8a时间9核a序列升级
21	15312 21624	6	   	276.12	橙4易伤2伤害2时间	1379易伤2敌人爆炸49时间59伤害6平台8赏金邻近9序列升级a核
22	15312 21624	7	   	276.12	橙4易伤2伤害2时间	1379易伤2敌人爆炸49时间59伤害6平台8赏金邻近9序列升级a核
23	11623 71464	5	 * 	274.30	橙5易伤1伤害1等级1攻速	1267a易伤3攻速4等级5加一8核9伤害
24	42715 14421	7	   	274.17	橙3易伤3伤害3暴击1全技能	1随机矿2加一3全技能478易伤578暴击678伤害78序列升级9敌人爆炸a核
25	11123 61515	10	   	272.97	橙5易伤2时间2雷电	1259a易伤39雷电4平台69时间7随机矿8核9序列升级
26	62231 25143	7	   	272.61	橙3易伤2伤害2等级1时间1暴击	17等级29最后敌人37伤害4暴击5时间67a易伤7序列升级8核
27	13312 46115	6	   	272.19	橙4易伤2时间2等级1暴击	146a易伤23立即金币5暴击7a等级8a时间9核a序列升级
28	31312 46115	6	   	272.19	橙4易伤2时间2等级1暴击	1双倍矿246a易伤3立即金币5暴击7a等级8a时间9核a序列升级
29	13123 61514	10	   	271.86	橙4易伤3时间3雷电	159a易伤2立即金币39a雷电4平台69a时间7随机矿8核9a序列升级
30	15613 11613	5	   	271.86	橙4易伤3时间3雷电	157a易伤2a敌人爆炸37a雷电467时间7a序列升级8随机矿9核
31	31123 61514	10	   	271.86	橙4易伤3时间3雷电	1双倍矿259a易伤39a雷电4平台69a时间7随机矿8核9a序列升级
32	11312 44115	7	   	271.76	橙5易伤2时间1暴击	1246a易伤3立即金币5暴击7a金币生成8a时间9核a序列升级
33	11551 31163	7	   	271.76	橙5易伤2时间1暴击	1279a易伤3低血量敌人47基地爆炸57时间6核7序列升级8暴击
34	15316 31163	7	   	271.76	橙5易伤2时间1暴击	1379a易伤2敌人爆炸47时间57基地爆炸6核7序列升级8暴击
35	15351 31163	7	   	271.76	橙5易伤2时间1暴击	1379a易伤2敌人爆炸47基地爆炸57时间6核7序列升级8暴击
36	11312 43115	6	   	271.56	橙5易伤2时间1暴击	1246a易伤3立即金币5暴击7a掉矿8a时间9核a序列升级
37	11416 31261	9	   	271.54	橙5易伤3时间	12789易伤3最后敌人478时间578基地爆炸6核78序列升级a立即金币
38	11416 31261	10	   	271.54	橙5易伤3时间	12789易伤3最后敌人478时间578基地爆炸6核78序列升级a敌人爆炸
39	11416 31262	10	   	271.54	橙5易伤3时间	12789易伤3最后敌人478时间578基地爆炸6核78序列升级a金币生成
40	11416 31263	9	   	271.54	橙5易伤3时间	12789易伤3最后敌人478时间578基地爆炸6核78序列升级a随机矿
41	11451 31261	10	   	271.54	橙5易伤3时间	12789易伤3最后敌人478基地爆炸578时间6核78序列升级a敌人爆炸
42	11451 31261	9	   	271.54	橙5易伤3时间	12789易伤3最后敌人478基地爆炸578时间6核78序列升级a立即金币
43	11451 31262	10	   	271.54	橙5易伤3时间	12789易伤3最后敌人478基地爆炸578时间6核78序列升级a金币生成
44	11451 31263	9	   	271.54	橙5易伤3时间	12789易伤3最后敌人478基地爆炸578时间6核78序列升级a随机矿
45	11551 31261	9	   	271.54	橙5易伤3时间	12789易伤3低血量敌人478基地爆炸578时间6核78序列升级a立即金币
46	11551 31261	10	   	271.54	橙5易伤3时间	12789易伤3低血量敌人478基地爆炸578时间6核78序列升级a敌人爆炸
47	11551 31262	10	   	271.54	橙5易伤3时间	12789易伤3低血量敌人478基地爆炸578时间6核78序列升级a金币生成
48	11551 31263	9	   	271.54	橙5易伤3时间	12789易伤3低血量敌人478基地爆炸578时间6核78序列升级a随机矿
49	11416 31214	8	   	271.44	橙5易伤3时间	1278a易伤3最后敌人478时间578基地爆炸6核78序列升级9赏金邻近
50	11451 31214	8	   	271.44	橙5易伤3时间	1278a易伤3最后敌人478基地爆炸578时间6核78序列升级9赏金邻近
51	11551 31214	8	   	271.44	橙5易伤3时间	1278a易伤3低血量敌人478基地爆炸578时间6核78序列升级9赏金邻近
52	11333 22324	7	   	270.11	橙4易伤2伤害2雷电1全技能	1279易伤3立即金币47雷电5全技能679金币生成79序列升级89伤害a核
53	11143 14324	5	   	269.91	橙4易伤2伤害2雷电1全技能	1279易伤34雷电5全技能69金币生成89伤害9序列升级a核
54	11143 24324	7	   	269.91	橙4易伤2伤害2雷电1全技能	1279易伤34雷电5全技能69金币生成89伤害9序列升级a核
55	11143 24324	6	   	269.91	橙4易伤2伤害2雷电1全技能	1279易伤34雷电5全技能69金币生成89伤害9序列升级a核
56	11123 61514	9	   	269.68	橙4易伤2时间1等级2雷电	1259易伤39雷电4平台69时间7随机矿8核9序列升级a等级
57	11135 13774	2	   	269.65	橙4易伤2伤害1时间	1249易伤3雷电5加一67伤害8核a时间
58	11135 13774	3	   	269.65	橙4易伤2伤害1时间	1249易伤3雷电5加一67伤害8核a时间
59	11311 16452	8	   	269.63	橙3易伤2伤害2时间1等级	124易伤3立即金币59时间68伤害7核a等级
60	16431 32313	5	   	269.46	橙4易伤2时间2全技能1暴击1核弹	148a易伤2核弹34时间4序列升级5暴击67全技能9核
61	11412 23326	9	 * 	269.14	橙3易伤3伤害2时间	128易伤3最后敌人48时间589伤害6平台7加一8序列升级a核
62	11412 23366	8	   	269.14	橙3易伤3伤害2时间	128易伤3最后敌人48时间589伤害6平台7加一8序列升级a核
63	15312 23326	9	   	269.14	橙3易伤3伤害2时间	138易伤2敌人爆炸48时间589伤害6平台7加一8序列升级a核
64	11135 13773	2	 * 	269.05	橙4易伤3伤害	1249易伤3雷电5加一67a伤害8核
65	11135 13773	3	   	269.05	橙4易伤3伤害	1249易伤3雷电5加一67a伤害8核
66	15531 31163	7	   	268.80	橙3易伤2伤害1等级1时间1暴击	19a易伤24敌人爆炸34伤害4序列升级5暴击6等级7时间8核
67	11165 32362	5	   	268.37	橙4易伤1伤害1等级2雷电1全技能	127a易伤36雷电4等级5全技能8伤害9核
68	16431 32163	7	   	268.27	橙4易伤2时间1等级1暴击1核弹	149a易伤2核弹34时间4序列升级5暴击6等级7低血量敌人8核
69	16431 33163	6	   	268.27	橙4易伤2时间1等级1暴击1核弹	149a易伤2核弹34时间4序列升级5暴击6等级7基地爆炸8核
70	11416 31222	9	   	268.25	橙4易伤3时间1等级	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9立即金币a等级
71	11416 31225	8	   	268.25	橙4易伤3时间1等级	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9金币生成a等级
72	11416 31232	9	   	268.25	橙4易伤3时间1等级	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9双倍矿a等级
73	11451 31222	9	   	268.25	橙4易伤3时间1等级	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9立即金币a等级
74	11451 31225	8	   	268.25	橙4易伤3时间1等级	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9金币生成a等级
75	11451 31232	9	   	268.25	橙4易伤3时间1等级	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9双倍矿a等级
76	11551 31222	9	   	268.25	橙4易伤3时间1等级	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9立即金币a等级
77	11551 31225	8	   	268.25	橙4易伤3时间1等级	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9金币生成a等级
78	11551 31232	8	   	268.25	橙4易伤3时间1等级	1278易伤39低血量敌人478基地爆炸578时间6核78序列升级a等级
79	11551 31232	9	   	268.25	橙4易伤3时间1等级	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9双倍矿a等级
80	13416 31262	9	   	268.25	橙4易伤3时间1等级	1789易伤2立即金币3最后敌人478时间578基地爆炸6核78序列升级a等级
81	13451 31262	9	   	268.25	橙4易伤3时间1等级	1789易伤2立即金币3最后敌人478基地爆炸578时间6核78序列升级a等级
82	13551 31262	9	   	268.25	橙4易伤3时间1等级	1789易伤2立即金币3低血量敌人478基地爆炸578时间6核78序列升级a等级
83	31416 31262	9	   	268.25	橙4易伤3时间1等级	1双倍矿2789易伤3最后敌人478时间578基地爆炸6核78序列升级a等级
84	31451 31262	9	   	268.25	橙4易伤3时间1等级	1双倍矿2789易伤3最后敌人478基地爆炸578时间6核78序列升级a等级
85	31551 31262	9	   	268.25	橙4易伤3时间1等级	1双倍矿2789易伤3低血量敌人478基地爆炸578时间6核78序列升级a等级
86	15323 36352	3	   	268.20	橙4易伤2时间1伤害1全技能	1389易伤28敌人爆炸4全技能5赏金邻近68时间7核8序列升级a伤害
87	16431 13163	7	   	268.17	橙4易伤2时间1等级1暴击1核弹	149a易伤2核弹34时间4序列升级5暴击6挖尘7等级8核
88	11416 31215	9	   	268.15	橙4易伤3时间1等级	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9掉矿a等级
89	11451 31215	9	   	268.15	橙4易伤3时间1等级	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9掉矿a等级
90	11551 31215	9	   	268.15	橙4易伤3时间1等级	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9掉矿a等级
91	11413 41265	10	   	268.15	橙4易伤3时间1等级	1278易伤3最后敌人478时间5加一678低血量敌人78序列升级9等级a核
92	11232 36423	10	   	268.10	橙3易伤3伤害1等级1暴击	12a易伤3金币生成458伤害6等级7核9暴击
93	11431 26411	6	   	268.03	橙3易伤3伤害2暴击1全技能	127易伤3最后敌人47暴击5立即金币67a伤害7序列升级8全技能9核
94	13165 32324	5	   	267.23	橙3易伤2伤害2等级2雷电1全技能	179易伤2立即金币36雷电49等级5全技能89伤害9序列升级a核
95	31165 32324	5	   	267.23	橙3易伤2伤害2等级2雷电1全技能	1双倍矿279易伤36雷电49等级5全技能89伤害9序列升级a核
96	11236 51115	7	   	267.13	橙3易伤2伤害2时间1暴击	12a易伤3金币生成4a伤害5低血量敌人6暴击7a时间8核9挖青a序列升级
97	16431 32311	5	   	266.88	橙3易伤2时间1伤害2全技能1暴击1核弹	148易伤2核弹34时间4序列升级5暴击67全技能9核a伤害
98	11411 33453	6	 * 	266.81	橙3易伤3时间2伤害	129易伤39最后敌人45a时间6核7矿等89伤害9序列升级
99	11511 33453	6	   	266.81	橙3易伤3时间2伤害	129易伤39低血量敌人45a时间6核7矿等89伤害9序列升级
100	15311 33453	6	   	266.81	橙3易伤3时间2伤害	139易伤29敌人爆炸45a时间6核7矿等89伤害9序列升级
101	11112 62325	9	   	266.74	橙4易伤2时间2暴击	126a易伤3雷电4a暴击5掉矿7低血量敌人8a时间9核a序列升级
102	11412 51632	9	   	266.57	橙3易伤3时间2伤害1卖塔	12a易伤3最后敌人46a时间5a伤害7额外掉落8卖塔9核a序列升级
103	11623 16813	9	 * 	266.52	橙3易伤3时间2攻速1等级	128易伤38攻速4等级5加一6基地爆炸789时间8序列升级a核
104	11623 46213	9	   	266.52	橙3易伤3时间2攻速1等级	128易伤38攻速4等级5加一6最后敌人789时间8序列升级a核
105	11135 48215	3	   	266.35	橙5易伤1伤害1攻速	12468易伤3雷电5加一7伤害9攻速a核
106	11135 48215	2	   	266.35	橙5易伤1伤害1攻速	12468易伤3雷电5加一7伤害9攻速a核
107	11164 16311	10	   	265.97	橙3易伤1伤害1时间1等级2雷电1暴击	129易伤38雷电4等级5暴击6时间7核a伤害
108	11622 42226	6	   	265.95	橙3易伤2伤害1等级1时间1攻速	128易伤3攻速4等级5a伤害6时间7赏金塔9核
109	11114 23355	4	   	265.81	橙4易伤1伤害1时间1暴击	1269易伤3雷电4暴击5时间7伤害8策反a核
110	11161 51136	10	   	265.81	橙4易伤1伤害1等级1暴击	127a易伤3雷电4等级5伤害6额外掉落8核9暴击
111	11451 43121	2	   	265.81	橙4易伤1伤害1时间1暴击	1238易伤4平台5时间6核7雷电9伤害a暴击
112	11416 31261	8	   	265.65	橙4易伤3时间1暴击	1278易伤3a最后敌人478时间578基地爆炸6核78序列升级9暴击
113	11416 31262	8	   	265.65	橙4易伤3时间1暴击	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9暴击a敌人爆炸
114	11416 31263	8	   	265.65	橙4易伤3时间1暴击	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9暴击a双倍矿
115	11451 31261	8	   	265.65	橙4易伤3时间1暴击	1278易伤3a最后敌人478基地爆炸578时间6核78序列升级9暴击
116	11451 31262	8	   	265.65	橙4易伤3时间1暴击	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9暴击a敌人爆炸
117	11451 31263	8	   	265.65	橙4易伤3时间1暴击	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9暴击a双倍矿
118	11551 31261	8	   	265.65	橙4易伤3时间1暴击	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9暴击a最后敌人
119	11113 31654	5	   	265.63	橙4易伤2等级2暴击1全技能	1268易伤3雷电48暴击5全技能78等级8序列升级9矿等a核
120	11113 31661	5	   	265.63	橙4易伤2等级2暴击1全技能	1268易伤3雷电48暴击5全技能78等级8序列升级9核a矿等
121	11113 31662	5	   	265.63	橙4易伤2等级2暴击1全技能	1268易伤3雷电48暴击5全技能78等级8序列升级9核a低血量敌人
122	11113 31664	5	   	265.63	橙4易伤2暴击2等级1全技能	1268易伤3雷电48暴击5全技能78等级8序列升级9核a敌人爆炸
123	11113 31665	5	   	265.63	橙4易伤2等级2暴击1全技能	1268易伤3雷电48暴击5全技能78等级8序列升级9核a金币生成
124	11113 31666	5	   	265.63	橙4易伤2等级2暴击1全技能	1268易伤3雷电48暴击5全技能78等级8序列升级9核a策反
125	36343 32216	4	   	265.62	橙3易伤2时间1伤害2暴击1全技能	1双倍矿27暴击3全技能47a易伤57时间6核7序列升级8伤害9策反
126	11416 31212	10	   	265.55	橙4易伤3时间1暴击	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9掉矿a暴击
127	11451 31212	10	   	265.55	橙4易伤3时间1暴击	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9掉矿a暴击
128	11551 31212	8	   	265.55	橙4易伤3时间1暴击	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9赏金邻近a暴击
129	11551 31212	10	   	265.55	橙4易伤3时间1暴击	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9掉矿a暴击
130	11551 31252	8	   	265.55	橙4易伤3时间1暴击	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9赏金塔a暴击
131	11551 31263	8	   	265.55	橙4易伤3时间1暴击	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9暴击a赏金塔
132	11113 31663	5	   	265.53	橙4易伤2等级2暴击1全技能	1268易伤3雷电48暴击5全技能78等级8序列升级9核a挖尘
133	36343 32226	4	   	265.52	橙3易伤2时间1伤害2暴击1全技能	1双倍矿27暴击3全技能47a易伤57时间6核7序列升级8伤害9掉矿
134	11254 33226	9	 * 	265.35	橙4易伤2伤害2暴击	127a易伤34金币生成5a暴击6额外掉落8核9a伤害a序列升级
135	11352 63226	9	   	265.35	橙4易伤2伤害2暴击	127a易伤3立即金币4额外掉落5金币生成6a暴击8核9a伤害a序列升级
136	11364 33226	9	   	265.35	橙4易伤2伤害2暴击	127a易伤3立即金币4金币生成5a暴击6额外掉落8核9a伤害a序列升级
137	15311 33415	8	   	265.27	橙3易伤3时间1伤害1等级	13a易伤2敌人爆炸457时间6核8等级9伤害
138	11353 63226	9	   	265.25	橙4易伤2伤害2暴击	127a易伤3立即金币4额外掉落5掉矿6a暴击8核9a伤害a序列升级
139	11135 42823	3	   	265.19	橙5易伤1时间1暴击	12467易伤3雷电5加一8时间9暴击a核
140	11135 42823	2	   	265.19	橙5易伤1时间1暴击	12467易伤3雷电5加一8时间9暴击a核
141	11623 81464	5	 * 	264.96	橙4易伤2攻速1伤害1等级	127a易伤36攻速4等级5加一8核9伤害
142	11123 61511	10	   	264.43	橙4易伤2时间2雷电1攻速	1259易伤39雷电4平台69时间7随机矿8核9序列升级a攻速
143	14222 33623	3	   	264.24	橙3易伤2伤害2时间1攻速1卖塔	159易伤2卖塔3最后敌人49时间6核79伤害8赏金邻近9序列升级a攻速
144	11232 36411	10	   	264.11	橙3易伤3伤害1等级1全技能	12a易伤3金币生成458伤害6等级7核9全技能
145	15312 21225	9	   	264.02	橙4易伤2等级1伤害1时间	137a易伤2a敌人爆炸4时间5伤害6平台8a等级9核a序列升级
146	15613 11214	5	   	263.98	橙3易伤3时间1伤害2雷电	157易伤2敌人爆炸37雷电467时间7序列升级8掉矿9核a伤害
147	11261 33623	2	   	263.55	橙3易伤2伤害1时间1暴击1攻速	129易伤39最后敌人4暴击5时间6核79伤害8赏金邻近9序列升级a攻速
148	11431 33623	4	   	263.55	橙3易伤2伤害1时间1暴击1攻速	129易伤39最后敌人4暴击5时间6核79伤害8赏金邻近9序列升级a攻速
149	11461 33623	3	   	263.55	橙3易伤2伤害1时间1暴击1攻速	129易伤39最后敌人4暴击5时间6核79伤害8赏金邻近9序列升级a攻速
150	11333 14324	5	   	263.36	橙4易伤2伤害1全技能	1279易伤3立即金币4雷电5全技能69金币生成89伤害9序列升级a核
151	11333 24324	6	   	263.36	橙4易伤2伤害1全技能	1279易伤3立即金币4雷电5全技能69金币生成89伤害9序列升级a核
152	11333 24324	7	   	263.36	橙4易伤2伤害1全技能	1279易伤3立即金币4雷电5全技能69金币生成89伤害9序列升级a核
153	11622 12336	9	   	263.35	橙3易伤2伤害1等级1暴击1攻速	127易伤3攻速4等级58伤害6掉矿9暴击a核
154	11636 32336	9	   	263.35	橙3易伤2伤害1等级1暴击1攻速	125易伤3攻速48伤害6等级7掉矿9暴击a核
155	11311 16384	10	   	263.29	橙5易伤1伤害1时间	1249a易伤3立即金币5时间6伤害7核8加一
156	11311 16384	9	   	263.29	橙5易伤1伤害1时间	1249a易伤3立即金币5时间6伤害7核8加一
157	11313 24221	10	 * 	263.29	橙5易伤3等级1时间	12478易伤3立即金币568等级8序列升级9核a时间
158	36343 32233	4	   	263.27	橙2易伤2时间1伤害2暴击1等级1全技能	1双倍矿27暴击3全技能47易伤57时间6核7序列升级8伤害9雷电a等级
159	11134 13514	2	   	263.26	橙3易伤2伤害1等级1时间	124易伤3雷电5时间67伤害8等级9赏金塔a核
160	11134 13514	3	   	263.26	橙3易伤2伤害1等级1时间	124易伤3雷电5时间67伤害8等级9赏金塔a核
161	15316 31135	7	   	263.23	橙4易伤2时间1暴击1攻速	137a易伤2敌人爆炸47时间57基地爆炸6核7序列升级8暴击9攻速
162	15316 31162	7	   	263.23	橙4易伤2时间1暴击1攻速	1379易伤2敌人爆炸47时间57基地爆炸6核7序列升级8暴击a攻速
163	15351 31135	7	   	263.23	橙4易伤2时间1暴击1攻速	137a易伤2敌人爆炸47基地爆炸57时间6核7序列升级8暴击9攻速
164	15351 31162	7	   	263.23	橙4易伤2时间1暴击1攻速	1379易伤2敌人爆炸47基地爆炸57时间6核7序列升级8暴击a攻速
165	11551 31162	7	   	263.23	橙4易伤2时间1暴击1攻速	1279易伤3低血量敌人47基地爆炸57时间6核7序列升级8暴击a攻速
166	11232 42562	5	   	263.16	橙4易伤2伤害1全技能	127a易伤3金币生成45伤害6全技能8雷电9核
167	11333 54124	8	   	263.16	橙4易伤2伤害1全技能	1279易伤3立即金币4雷电5全技能69伤害89掉矿9序列升级a核
168	11333 35324	5	   	263.09	橙4易伤2时间2雷电1全技能	1269易伤37立即金币49雷电5全技能89时间9序列升级a核
169	11416 31252	10	   	263.00	橙4易伤3时间1攻速	1278易伤3最后敌人478时间578基地爆炸6核78序列升级9随机矿a攻速
170	11451 31252	10	   	263.00	橙4易伤3时间1攻速	1278易伤3最后敌人478基地爆炸578时间6核78序列升级9随机矿a攻速
171	11551 31252	10	   	263.00	橙4易伤3时间1攻速	1278易伤3低血量敌人478基地爆炸578时间6核78序列升级9随机矿a攻速
172	11311 16453	9	   	262.76	橙3易伤3伤害1时间	124易伤3立即金币5时间68a伤害7核9雷电
173	11135 42215	2	   	262.54	橙5易伤1等级1攻速	12467易伤3雷电5加一8等级9攻速a核
174	11135 42215	3	   	262.54	橙5易伤1等级1攻速	12467易伤3雷电5加一8等级9攻速a核
175	36622 31363	2	 * 	262.51	橙2易伤3伤害2攻速1时间1暴击	1双倍矿2暴击35攻速456伤害5序列升级79易伤8时间a核
176	11114 25314	4	   	261.96	橙4易伤1时间2雷电1暴击1全技能	1267易伤38雷电4暴击5时间9全技能a核
177	11632 35411	6	   	261.86	橙2易伤3伤害1等级1暴击1攻速1全技能	12易伤3攻速45a伤害6等级7暴击8全技能9核
178	15323 36353	3	   	261.78	橙4易伤2时间1暴击1全技能	1389易伤28敌人爆炸4全技能5赏金邻近68时间7核8序列升级a暴击
