0	Index      	 *	Score 	Summary	Detail	
1	61126 12422	 * 	244.97	ACR|3VULN|3ASPD|3BEXP|1BASICY	158VULN|289ASPD|3RCR|4MDPS|678BEXP|8BPWR|aBASICY
22	61122 63316	 * 	228.65	ACR|2VULN|3ASPD|2DMG|1BEXP	18VULN|28aASPD|3RCR|4MDPS|5CGEN|6TLV|78DMG|8BPWR|9BEXP
23	31115 34412	 * 	228.40	ACR|3DMG|2ASPD|2BEXP|1VULN	189DMG|28BEXP|3RCR|4LHND|5VULN|6RMIN|78ASPD|8BPWR|aRCVC
24	32135 34412	   	228.40	ACR|3DMG|2ASPD|2BEXP|1VULN	189DMG|2FEWX|3RCR|48BEXP|5VULN|6ZMB|78ASPD|8BPWR|aRCVC
25	34225 12422	   	228.05	ACR|3VULN|3BEXP|2DMG|1ASPD	18DMG|2RCVC|3MDPS|4RCR|58aVULN|678BEXP|8BPWR|9ASPD
26	31115 34411	   	227.98	ACR|3DMG|2ASPD|1VULN|2BEXP	189DMG|28BEXP|3RCR|4LHND|5VULN|6RMIN|78ASPD|8BPWR|aERES
27	31115 34413	   	227.98	ACR|3DMG|2ASPD|2BEXP|1VULN	189DMG|28BEXP|3RCR|4LHND|5VULN|6RMIN|78ASPD|8BPWR|aNUKE
28	31115 34423	   	227.98	ACR|3DMG|2ASPD|1VULN|2BEXP	18aDMG|28BEXP|3RCR|4LHND|5VULN|6RMIN|78ASPD|8BPWR|9TLV
29	32131 34414	   	227.98	ACR|3DMG|2ASPD|2BEXP|1VULN	189DMG|2FEWX|3RCR|48BEXP|5TLV|6LWND|78ASPD|8BPWR|aVULN
30	32135 34411	   	227.98	ACR|3DMG|2ASPD|1VULN|2BEXP	189DMG|2FEWX|3RCR|48BEXP|5VULN|6ZMB|78ASPD|8BPWR|aERES
31	32135 34413	   	227.98	ACR|3DMG|2ASPD|2BEXP|1VULN	189DMG|2FEWX|3RCR|48BEXP|5VULN|6ZMB|78ASPD|8BPWR|aNUKE
32	32131 24414	   	227.88	ACR|3DMG|2ASPD|2BEXP|1VULN	189DMG|2FEWX|3RCR|48BEXP|5TLV|6DUST|78ASPD|8BPWR|aVULN
33	31161 61413	   	226.68	ACR|3DMG|2VULN|2BEXP|1ASPD	189DMG|28BEXP|3RCR|4RCVC|5FEWX|6LHND|78VULN|8BPWR|aASPD
34	31141 11653	 * 	226.47	ACR|3DMG|2BEXP|1VULN|2CDMG|1AART	18aDMG|28BEXP|3RCR|4AART|5ERES|6LHND|78CDMG|8BPWR|9VULN
35	31142 21653	   	226.47	ACR|3DMG|2BEXP|1VULN|2CDMG|1AART	18aDMG|28BEXP|3RCR|4AART|5FEWX|6ERES|78CDMG|8BPWR|9VULN
36	31123 23515	 * 	226.36	ACR|1BASARM|3BEXP|1DMG|1VULN|1CDMG	1DMG|27aBEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9VULN
37	61142 31611	 * 	226.27	ACR|2VULN|2ASPD|2BEXP|2CDMG|1AART	18VULN|28ASPD|3RCR|4AART|5FEWX|6ZMB|78CDMG|8BPWR|9aBEXP
38	31123 13515	   	226.26	ACR|1BASARM|3BEXP|1DMG|1VULN|1CDMG	1DMG|27aBEXP|3RCR|4MDPS|5CDMG|6ERES|8BASARM|9VULN
39	31123 63515	   	226.26	ACR|1BASARM|3BEXP|1DMG|1VULN|1CDMG	1DMG|27aBEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9VULN
40	32135 34422	   	225.97	ACR|2ASPD|2DMG|1VULN|2BEXP|1CDMG	18DMG|2FEWX|3RCR|48BEXP|5VULN|6ZMB|78ASPD|8BPWR|9TLV|aCDMG
41	61111 46113	 * 	225.62	ACR|2VULN|2ASPD|2DMG|2BEXP	17VULN|27ASPD|3RCR|4LHND|5TLV|67BEXP|7BPWR|8RMIN|9aDMG
42	61161 34334	   	225.43	ACR|3VULN|3DMG|1ASPD|1CDMG	189VULN|2ASPD|3RCR|4BELT|589CGEN|6MBVNT|789DMG|89BPWR|aCDMG
43	32161 14213	 * 	225.29	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2FEWX|3RCR|4RCVC|59aBEXP|6VULN|7LHND|8aASPD|aBPWR
44	32161 61213	   	225.29	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2FEWX|3RCR|4RCVC|59aBEXP|6LHND|7VULN|8aASPD|aBPWR
45	61162 11351	   	225.20	ACR|3VULN|3ASPD|3BEXP	189VULN|289ASPD|3RCR|4BELT|5LHND|6LWND|789BEXP|89BPWR|aCGEN
46	61162 11352	   	225.10	ACR|3VULN|3ASPD|3BEXP	189VULN|289ASPD|3RCR|4BELT|5LHND|6LWND|789BEXP|89BPWR|aAEMAG
47	61162 21351	   	225.10	ACR|3VULN|3ASPD|3BEXP	189VULN|289ASPD|3RCR|4BELT|5LHND|6DUST|789BEXP|89BPWR|aCGEN
48	61135 12531	 * 	225.10	ACR|4VULN|3ASPD|2BEXP	1567VULN|279ASPD|3RCR|47BEXP|7BPWR|8MLV|aFEWX
49	61135 12532	   	225.10	ACR|4VULN|3ASPD|2BEXP	1567VULN|279ASPD|3RCR|47BEXP|7BPWR|8MLV|aLHND
50	61135 12533	   	225.10	ACR|4VULN|3ASPD|2BEXP	1567VULN|279ASPD|3RCR|47BEXP|7BPWR|8MLV|aRPLT
51	61162 21352	   	225.00	ACR|3VULN|3ASPD|3BEXP	189VULN|289ASPD|3RCR|4BELT|5LHND|6DUST|789BEXP|89BPWR|aAEMAG
52	61135 12218	   	225.00	ACR|4VULN|3ASPD|2BEXP	1567VULN|27aASPD|3RCR|47BEXP|7BPWR|8DUR|9MBVNT
53	61135 12326	   	225.00	ACR|4VULN|3ASPD|2BEXP	1567VULN|27aASPD|3RCR|47BEXP|7BPWR|8FLTFST|9CGEN
54	61126 12421	   	224.90	ACR|3VULN|3ASPD|3BEXP	158VULN|289ASPD|3RCR|4MDPS|678BEXP|8BPWR|aLWND
55	61126 12423	   	224.90	ACR|3VULN|3ASPD|3BEXP	158VULN|289ASPD|3RCR|4MDPS|678BEXP|8BPWR|aRPLT
56	61135 12336	   	224.90	ACR|4VULN|3ASPD|2BEXP	1567VULN|27aASPD|3RCR|47BEXP|7BPWR|8FLTFST|9TLV
57	62225 12531	 * 	224.84	ACR|4VULN|2DMG|2BEXP|1ASPD	1567VULN|27BEXP|37DMG|4RCR|7BPWR|8MLV|9ASPD|aRCVC
58	31123 31213	 * 	224.59	ACR|2VULN|2DMG|2BEXP|3CDMG|1AAC	1aDMG|2aBEXP|3RCR|4MDPS|568CDMG|7aVULN|9AAC|aBPWR
59	61123 33213	 * 	224.59	ACR|2VULN|2ASPD|2BEXP|3CDMG|1AAC	1aVULN|2aASPD|3RCR|4MDPS|568CDMG|7aBEXP|9AAC|aBPWR
60	62225 12532	   	224.51	ACR|4VULN|2DMG|2BEXP|1ASPD	1567VULN|27BEXP|37DMG|4RCR|7BPWR|8MLV|9ASPD|aBELT
61	32135 64213	   	224.44	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2FEWX|3RCR|49aBEXP|5VULN|6RCVC|7LHND|8aASPD|aBPWR
62	62225 12218	   	224.41	ACR|4VULN|2DMG|2BEXP|1ASPD	1567VULN|27BEXP|37DMG|4RCR|7BPWR|8DUR|9MBVNT|aASPD
63	62225 12326	   	224.41	ACR|4VULN|2DMG|2BEXP|1ASPD	1567VULN|27BEXP|37DMG|4RCR|7BPWR|8FLTFST|9CGEN|aASPD
64	62225 12533	   	224.41	ACR|4VULN|2DMG|2BEXP|1ASPD	1567VULN|27BEXP|37DMG|4RCR|7BPWR|8MLV|9ASPD|aDUST
65	62225 12336	   	224.31	ACR|4VULN|2DMG|2BEXP|1ASPD	1567VULN|27BEXP|37DMG|4RCR|7BPWR|8FLTFST|9TLV|aASPD
66	32131 34462	 * 	224.10	ACR|3ASPD|2DMG|2BEXP|1AART	18DMG|2FEWX|3RCR|48BEXP|5TLV|6LWND|78aASPD|8BPWR|9AART
67	61123 46313	 * 	223.88	ACR|2VULN|3ASPD|2CDMG|1AART|1AAC	17VULN|27aASPD|3RCR|4MDPS|57CDMG|6AART|7BPWR|8LHND|9AAC
68	31132 51413	   	223.79	ACR|3DMG|2VULN|2BEXP|1ASPD	189DMG|28BEXP|3RCR|4FEWX|5RMIN|6ZMB|78VULN|8BPWR|aASPD
69	31134 51413	   	223.69	ACR|3DMG|2VULN|2BEXP|1ASPD	189DMG|28BEXP|3RCR|4FEWX|5AAC|6ZMB|78VULN|8BPWR|aASPD
70	31123 23514	 * 	222.71	ACR|1BASARM|2BEXP|1DMG|2CDMG|1VULN	1DMG|27BEXP|3RCR|4MDPS|5aCDMG|6MLV|8BASARM|9VULN
71	31123 13514	   	222.61	ACR|1BASARM|2BEXP|2CDMG|1DMG|1VULN	1DMG|27BEXP|3RCR|4MDPS|5aCDMG|6ERES|8BASARM|9VULN
72	31123 63514	   	222.61	ACR|1BASARM|2BEXP|1DMG|2CDMG|1VULN	1DMG|27BEXP|3RCR|4MDPS|5aCDMG|6TLV|8BASARM|9VULN
73	32132 51213	   	222.41	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2FEWX|3RCR|49aBEXP|5RMIN|6ZMB|7VULN|8aASPD|aBPWR
74	32135 14253	   	222.41	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2FEWX|3RCR|46aBEXP|5VULN|79LHND|8aASPD|aBPWR
75	32135 24213	   	222.41	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|26FEWX|3RCR|49aBEXP|5VULN|7LHND|8aASPD|aBPWR
76	32124 35334	 * 	222.31	ACR|3DMG|1BASARM|1AART|1BEXP	178DMG|2FEWX|3RCR|4MDPS|5RCVC|6AART|9BEXP|aBASARM
77	32134 51213	   	222.31	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|2FEWX|3RCR|49aBEXP|5AAC|6ZMB|7VULN|8aASPD|aBPWR
78	32135 45213	   	222.31	ACR|3BEXP|2ASPD|2DMG|1VULN	1aDMG|27FEWX|3RCR|49aBEXP|5VULN|6DUST|8aASPD|aBPWR
79	31123 24322	   	221.69	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|6MLV|78VULN|8BPWR|9ZMB|aASPD
80	61123 13361	   	221.59	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28ASPD|3RCR|4MDPS|5CDMG|6ERES|78BEXP|8BPWR|9DMG|aCGEN
81	61123 13363	   	221.59	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28ASPD|3RCR|4MDPS|5CDMG|6ERES|78BEXP|8BPWR|9DMG|aLIT
82	61123 13364	   	221.59	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28ASPD|3RCR|4MDPS|5CDMG|6ERES|78BEXP|8BPWR|9DMG|aFEWX
83	31123 14322	   	221.59	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|6ERES|78VULN|8BPWR|9ZMB|aASPD
84	31123 24332	   	221.59	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|6MLV|78VULN|8BPWR|9TLV|aASPD
85	31123 24342	   	221.59	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|6MLV|78VULN|8BPWR|9ERES|aASPD
86	31123 64322	   	221.59	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|6TLV|78VULN|8BPWR|9ZMB|aASPD
87	61123 13365	   	221.49	ACR|2VULN|2ASPD|2BEXP|1DMG|1CDMG	18VULN|28ASPD|3RCR|4MDPS|5CDMG|6ERES|78BEXP|8BPWR|9DMG|aDUST
88	31123 14332	   	221.49	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|6ERES|78VULN|8BPWR|9TLV|aASPD
89	31123 64342	   	221.49	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|6TLV|78VULN|8BPWR|9ERES|aASPD
90	31153 23164	 * 	221.26	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART|1SELL	1DMG|27BEXP|3RCR|4DUST|5SELL|6RMIN|8BASARM|9ASPD|aAART
91	31153 23166	 * 	221.26	ACR|1BASARM|2BEXP|1ASPD|1DMG|1VULN|1SELL	1DMG|27BEXP|3RCR|4DUST|5SELL|6RMIN|8BASARM|9ASPD|aVULN
92	31141 11651	 * 	220.82	ACR|3BEXP|2DMG|1VULN|2CDMG|1AART	18DMG|28aBEXP|3RCR|4AART|5ERES|6LHND|78CDMG|8BPWR|9VULN
93	31142 21651	   	220.82	ACR|3BEXP|2DMG|1VULN|2CDMG|1AART	18DMG|28aBEXP|3RCR|4AART|5FEWX|6ERES|78CDMG|8BPWR|9VULN
94	61161 34333	   	220.73	ACR|4VULN|3DMG|1ASPD	189aVULN|2ASPD|3RCR|4BELT|589CGEN|6MBVNT|789DMG|89BPWR
95	62222 34411	   	220.72	ACR|2VULN|2ASPD|2DMG|2BEXP	18VULN|28BEXP|39DMG|4RCR|5RMIN|6LWND|78ASPD|8BPWR|aDUR
96	61115 12533	 * 	220.63	ACR|4VULN|3ASPD|1DMG	1567VULN|279ASPD|3RCR|47LHND|7BPWR|8MLV|aDMG
97	61163 23733	   	220.63	ACR|4VULN|3ASPD|1DMG	1579VULN|279ASPD|3RCR|4BELT|6MBVNT|79BPWR|89CGEN|aDMG
98	62222 24411	   	220.62	ACR|2VULN|2ASPD|2DMG|2BEXP	18VULN|28BEXP|39DMG|4RCR|5RMIN|6DUST|78ASPD|8BPWR|aDUR
99	62222 24413	   	220.62	ACR|2VULN|2ASPD|2DMG|2BEXP	18VULN|28BEXP|39DMG|4RCR|5RMIN|6DUST|78ASPD|8BPWR|aLHND
100	62222 34412	   	220.62	ACR|2VULN|2ASPD|2DMG|2BEXP	18VULN|28BEXP|39DMG|4RCR|5RMIN|6LWND|78ASPD|8BPWR|aDUST
101	62222 24412	   	220.52	ACR|2VULN|2ASPD|2DMG|2BEXP	18VULN|28BEXP|39DMG|4RCR|5RMIN|6aDUST|78ASPD|8BPWR
102	62222 34413	   	220.48	ACR|2VULN|2ASPD|2DMG|2BEXP|1SELL	18VULN|28BEXP|39DMG|4RCR|5RMIN|6LWND|78ASPD|8BPWR|aSELL
103	61142 31631	   	220.08	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18VULN|28ASPD|3RCR|4AART|5FEWX|6ZMB|78CDMG|8BPWR|9DMG|aDUR
104	62225 12361	   	220.00	ACR|4VULN|3DMG|2BEXP	1567VULN|27BEXP|379DMG|4RCR|7BPWR|8FLTFST|aLIT
105	62225 12363	   	220.00	ACR|4VULN|3DMG|2BEXP	1567VULN|27BEXP|379DMG|4RCR|7BPWR|8FLTFST|aFEWX
106	61142 31632	   	219.98	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18VULN|28ASPD|3RCR|4AART|5FEWX|6ZMB|78CDMG|8BPWR|9DMG|aMBVNT
107	61142 31633	   	219.98	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	18VULN|28ASPD|3RCR|4AART|5FEWX|6ZMB|78CDMG|8BPWR|9DMG|aERES
108	31123 23526	   	219.79	ACR|1BASARM|2DMG|2BEXP|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9RCVC
109	31123 13526	   	219.69	ACR|1BASARM|2DMG|2BEXP|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6ERES|8BASARM|9RCVC
110	31123 63526	   	219.69	ACR|1BASARM|2DMG|2BEXP|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9RCVC
111	61123 31422	 * 	219.55	ACR|2VULN|3ASPD|1DMG|2CDMG	17VULN|289ASPD|3RCR|4MDPS|56CDMG|aDMG
112	31124 51423	   	219.42	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|268BEXP|3RCR|4MDPS|5RCVC|78VULN|8BPWR|9ASPD|aCGEN
113	31124 51421	   	219.32	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|268BEXP|3RCR|4MDPS|5RCVC|78VULN|8BPWR|9ASPD|aDUST
114	61131 12112	 * 	219.12	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1aVULN|2ASPD|3RCR|4BEXP|5TLV|6CGEN|7LIT|8DMG|9BASARM
115	31123 23561	   	218.93	ACR|1BASARM|2DMG|2BEXP|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6MLV|8BASARM|9DUST
116	31123 63536	   	218.93	ACR|1BASARM|2DMG|2BEXP|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9CGEN
117	31123 13561	   	218.83	ACR|1BASARM|2DMG|2BEXP|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6ERES|8BASARM|9DUST
118	31123 63561	   	218.83	ACR|1BASARM|2DMG|2BEXP|1CDMG	1aDMG|27BEXP|3RCR|4MDPS|5CDMG|6TLV|8BASARM|9DUST
119	61163 23112	   	218.71	ACR|3VULN|3ASPD|1BEXP|1AART	157VULN|27aASPD|3RCR|4BELT|6MBVNT|7BPWR|8AART|9BEXP
120	34223 35334	   	218.59	ACR|3DMG|1BASARM|1AART|1BEXP	178DMG|2RCVC|3MDPS|4RCR|5FEWX|6AART|9BEXP|aBASARM
121	31126 41833	   	217.95	ACR|3VULN|2DMG|2BEXP|1ASPD	18DMG|28BEXP|3RCR|4MDPS|578VULN|6MBVNT|8BPWR|9LHND|aASPD
122	31126 41843	   	217.95	ACR|3VULN|2DMG|2BEXP|1ASPD	18DMG|28BEXP|3RCR|4MDPS|578VULN|6MBVNT|8BPWR|9LWND|aASPD
123	61163 23153	   	217.86	ACR|4VULN|3ASPD|1AART	157aVULN|279ASPD|3RCR|4BELT|6MBVNT|7BPWR|8AART
124	31123 44142	   	217.85	ACR|1BASARM|2DMG|1BEXP|1AART|1CDMG	1aDMG|2BEXP|3RCR|4MDPS|5CDMG|6AART|7FEWX|8LHND|9BASARM
125	31141 51633	 * 	217.65	ACR|3DMG|2BEXP|2AART|1ASPD	189DMG|28BEXP|3RCR|47AART|58ERES|6RPLT|8BPWR|aASPD
126	61123 13346	   	217.38	ACR|2VULN|2ASPD|2BEXP|1AART|1CDMG	18VULN|28ASPD|3RCR|4MDPS|5CDMG|69ERES|78BEXP|8BPWR|aAART
127	31123 14346	   	217.38	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|69ERES|78VULN|8BPWR|aAART
128	31123 64336	   	217.38	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	18DMG|28BEXP|3RCR|4MDPS|5CDMG|69TLV|78VULN|8BPWR|aAART
129	31126 22424	   	217.28	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4MDPS|58VULN|6DMSP|8BPWR|9ASPD|aRCVC
130	61123 13322	   	217.18	ACR|2VULN|3ASPD|2BEXP|1CDMG	18VULN|28aASPD|3RCR|4MDPS|5CDMG|6ERES|78BEXP|8BPWR|9ZMB
131	31123 14363	   	217.18	ACR|3DMG|2VULN|2BEXP|1CDMG	189DMG|28BEXP|3RCR|4MDPS|5CDMG|6ERES|78VULN|8BPWR|aLHND
132	31123 14364	   	217.18	ACR|3DMG|2VULN|2BEXP|1CDMG	189DMG|28BEXP|3RCR|4MDPS|5CDMG|6ERES|78VULN|8BPWR|aRMIN
133	31123 14366	   	217.18	ACR|3DMG|2VULN|2BEXP|1CDMG	189DMG|28BEXP|3RCR|4MDPS|5CDMG|6ERES|78VULN|8BPWR|aCGEN
134	31123 24351	   	217.18	ACR|3DMG|2VULN|2BEXP|1CDMG	18aDMG|28BEXP|3RCR|4MDPS|5CDMG|6MLV|78VULN|8BPWR|9SPLARM
135	61123 13332	   	217.08	ACR|2VULN|3ASPD|2BEXP|1CDMG	18VULN|28aASPD|3RCR|4MDPS|5CDMG|6ERES|78BEXP|8BPWR|9TLV
136	31123 64351	   	217.08	ACR|3DMG|2VULN|2BEXP|1CDMG	18aDMG|28BEXP|3RCR|4MDPS|5CDMG|6TLV|78VULN|8BPWR|9SPLARM
137	31115 22422	   	217.06	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4LHND|5aVULN|68FEWX|8BPWR|9ASPD
138	31135 14422	   	217.06	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|268BEXP|3RCR|4FEWX|5aVULN|78LHND|8BPWR|9ASPD
139	32115 12422	   	217.06	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|28FEWX|3RCR|4LHND|5aVULN|678BEXP|8BPWR|9ASPD
140	31126 22423	   	216.96	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4MDPS|58VULN|6DMSP|8BPWR|9ASPD|aCGEN
141	31126 22426	   	216.96	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4MDPS|58VULN|6DMSP|8BPWR|9ASPD|aLWND
142	31126 22442	   	216.96	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4MDPS|58VULN|6DMSP|8BPWR|9LHND|aASPD
143	31123 14361	   	216.93	ACR|3DMG|2VULN|2BEXP|1CDMG|1SELL	189DMG|28BEXP|3RCR|4MDPS|5CDMG|6ERES|78VULN|8BPWR|aSELL
144	31126 22421	   	216.86	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4MDPS|58VULN|6DMSP|8BPWR|9ASPD|aDUST
145	31126 42812	   	216.86	ACR|2VULN|3BEXP|2DMG|1ASPD	18DMG|278BEXP|3RCR|4MDPS|58VULN|6MBVNT|8BPWR|9ZMB|aASPD
146	61135 12321	   	216.55	ACR|4VULN|3BEXP|2ASPD	1567VULN|27ASPD|3RCR|47aBEXP|7BPWR|8FLTFST|9CGEN
147	61126 12412	   	216.55	ACR|4VULN|3BEXP|2ASPD	158aVULN|28ASPD|3RCR|4MDPS|678BEXP|8BPWR|9CGEN
148	31141 41362	   	216.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4AART|5ERES|6VULN|7CDMG|8LHND|9BASARM|aRMIN
149	31121 34261	   	216.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4MDPS|5RMIN|6CDMG|7VULN|8AART|9LIT|aBASARM
150	61135 12331	   	216.45	ACR|4VULN|3BEXP|2ASPD	1567VULN|27ASPD|3RCR|47aBEXP|7BPWR|8FLTFST|9TLV
151	61126 12432	   	216.45	ACR|4VULN|3BEXP|2ASPD	158aVULN|28ASPD|3RCR|4MDPS|678BEXP|8BPWR|9TLV
152	31123 42222	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4MDPS|5CDMG|6AART|7MULARM|8VULN|9BASARM|aLIT
153	31123 42223	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1DMG|2BEXP|3RCR|4MDPS|5CDMG|6AART|7MULARM|8VULN|9BASARM|aFEWX
154	31123 42225	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2BEXP|3RCR|4MDPS|5CDMG|6AART|7MULARM|8VULN|9BASARM|aLHND
155	31123 42226	   	216.41	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1DMG|2BEXP|3RCR|4MDPS|5CDMG|6AART|7MULARM|8VULN|9BASARM|aCGEN
