0	Index      	 *	Score 	Summary	Detail	
1	56135 31112	 * 	220.95	ACR|3ASPD|3DMG|2BEXP|1SELL	1SELL|2aBEXP|3ZMB|4RCR|5DMSP|69aDMG|78aASPD|aBPWR
23	53136 31112	 * 	194.92	ACR|3ASPD|3DMG|1SELL	1SELL|2aZMB|3LHND|4RCR|5RCVC|69aDMG|78aASPD|aBPWR
24	35152 21143	   	194.87	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1VULN|2AME|3RCVC|4RMIN|5RCR|6CGEN|7DMG|8BASARM|9BEXP|aAART
25	35122 61143	   	194.77	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1VULN|2AME|3RCVC|4ERES|5RCR|6RMIN|7DMG|8BASARM|9BEXP|aAART
26	54611 12113	 * 	194.77	ACR|2ASPD|2DMG|2CDMG|1BEXP|1SELL	1SELL|2aDMG|3LIT|4RCR|5aASPD|6FEWX|7RPLT|8BEXP|9aCDMG|aBPWR
27	31322 51353	   	194.29	ACR|3VULN|1BASARM|1AART|1BEXP	139VULN|26FEWX|46DUR|5RCR|6BPWR|7BEXP|8BASARM|aAART
28	33352 51353	   	194.29	ACR|3VULN|1BASARM|1AART|1BEXP	139VULN|26LHND|46FEWX|5RCR|6BPWR|7BEXP|8BASARM|aAART
29	31322 61353	   	194.19	ACR|3VULN|1BASARM|1AART|1BEXP	139VULN|2FEWX|46DUR|5RCR|7BEXP|8BASARM|aAART
30	31352 11353	   	194.19	ACR|3VULN|1BASARM|1AART|1BEXP	139VULN|24FEWX|5RCR|6DUR|7BEXP|8BASARM|aAART
31	35122 31152	   	193.65	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2AME|3aRCVC|4ERES|5RCR|67BEXP|8BASARM|9DMG
32	43132 13155	   	193.60	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DMSP|2VULN|3ERES|4MLV|5RCR|6RCVC|7BEXP|8BASARM|9DMG|aAART
33	43322 13155	   	193.60	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DMSP|2VULN|3CGEN|4ERES|5RCR|6RCVC|7BEXP|8BASARM|9DMG|aAART
34	35122 31144	 * 	193.42	ACR|1BASARM|2VULN|3BEXP	1aVULN|2AME|3RCVC|4ERES|5RCR|679BEXP|8BASARM
35	35122 31151	   	193.34	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2AME|3RCVC|4ERES|5RCR|67BEXP|8BASARM|9DMG|aLWND
36	35122 31156	   	193.24	ACR|1BASARM|1VULN|2BEXP|1DMG	1VULN|2AME|3RCVC|4ERES|5RCR|67BEXP|8BASARM|9DMG|aMDPS
37	53435 31112	 * 	192.47	ACR|3ASPD|3DMG|1SELL	1SELL|2aZMB|3DUR|4RCR|5DMSP|69aDMG|78aASPD|aBPWR
38	43132 13154	   	192.16	ACR|1BASARM|1VULN|2BEXP|1DMG	1DMSP|2VULN|3ERES|4MLV|5RCR|6RCVC|7aBEXP|8BASARM|9DMG
39	43322 13154	   	192.16	ACR|1BASARM|1VULN|2BEXP|1DMG	1DMSP|2VULN|3CGEN|4ERES|5RCR|6RCVC|7aBEXP|8BASARM|9DMG
40	35122 31164	 * 	191.91	ACR|1BASARM|1VULN|2BEXP|1BASICY	1VULN|2AME|3RCVC|4ERES|5RCR|67BEXP|8BASARM|9DUST|aBASICY
41	43132 61143	   	191.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DMSP|2VULN|3ERES|4MLV|5RCR|6RMIN|7DMG|8BASARM|9BEXP|aAART
42	43152 21143	   	191.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DMSP|2VULN|3ERES|4RMIN|5RCR|6CGEN|7DMG|8BASARM|9BEXP|aAART
43	43322 61143	   	191.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DMSP|2VULN|3CGEN|4ERES|5RCR|6RMIN|7DMG|8BASARM|9BEXP|aAART
44	43322 23155	   	191.56	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART	1DMSP|2VULN|36CGEN|4ERES|5RCR|7BEXP|8BASARM|9DMG|aAART
