0	Index      	 *	Score 	Summary	Detail	
1	13231 14434	 * 	237.92	ACR|3VULN|3ASPD|2DMG|1BEXP	168ASPD|28aVULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9BEXP
14	16223 23751	   	229.30	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2RCVC|3RCR|4DUR|5MBVNT|6BEXP|8BASARM|9VULN|aDMG
15	16226 23633	 * 	229.28	ACR|1BASARM|2ASPD|2BEXP|1DMG	17ASPD|2RCVC|3RCR|4DUR|5FEWX|6aBEXP|8BASARM|9DMG
16	16223 23733	   	229.18	ACR|1BASARM|2ASPD|2BEXP|1DMG	17ASPD|2RCVC|3RCR|4DUR|5MBVNT|6aBEXP|8BASARM|9DMG
17	33231 43424	   	225.87	ACR|4VULN|2ASPD|2DMG|1AAC	18DMG|268aVULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|9AAC
18	11226 11641	   	225.66	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	16ASPD|2AEMAG|3RCR|4DUR|56FEWX|6BPWR|7BEXP|8BASARM|9VULN|aDMG
19	11226 23641	   	225.56	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2AEMAG|3RCR|4DUR|5FEWX|6BEXP|8BASARM|9VULN|aDMG
20	11226 11633	   	225.55	ACR|1BASARM|2ASPD|2BEXP|1DMG	16ASPD|2AEMAG|3RCR|4DUR|56FEWX|6BPWR|7aBEXP|8BASARM|9DMG
21	11223 23734	   	225.46	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2AEMAG|3RCR|4DUR|5MBVNT|6BEXP|8BASARM|9DMG|aVULN
22	11223 23751	   	225.46	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2AEMAG|3RCR|4DUR|5MBVNT|6BEXP|8BASARM|9VULN|aDMG
23	16223 27514	 * 	225.45	ACR|3ASPD|3BEXP|2DMG	18aASPD|2RCVC|3RCR|4DUR|5MBVNT|67aBEXP|9aDMG|aBPWR
24	16223 23614	   	225.45	ACR|3ASPD|3BEXP|2DMG	17aASPD|2RCVC|3RCR|4DUR|5MBVNT|68aBEXP|9aDMG|aBPWR
25	11226 23633	   	225.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	17ASPD|2AEMAG|3RCR|4DUR|5FEWX|6aBEXP|8BASARM|9DMG
26	11223 23733	   	225.35	ACR|1BASARM|2ASPD|2BEXP|1DMG	17ASPD|2AEMAG|3RCR|4DUR|5MBVNT|6aBEXP|8BASARM|9DMG
27	16223 27734	   	225.25	ACR|1BASARM|2BEXP|1ASPD|1DMG|1VULN	1ASPD|2RCVC|3RCR|4DUR|5MBVNT|67BEXP|8BASARM|9DMG|aVULN
28	33233 23466	   	224.72	ACR|3VULN|2ASPD|2DMG|1CDMG	18DMG|289VULN|3FEWX|4RCR|5RCVC|6DUR|78ASPD|8BPWR|aCDMG
29	13231 14463	   	224.59	ACR|3VULN|3ASPD|2DMG	168ASPD|289VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|aRCVC
30	33231 16463	   	224.59	ACR|3VULN|3DMG|2ASPD	178DMG|289VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|aRCVC
31	13233 64431	   	224.30	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	18ASPD|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78DMG|8BPWR|9RMIN|aCDMG
32	33233 63431	   	224.30	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	18DMG|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9RMIN|aCDMG
33	33533 63431	   	224.30	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	18DMG|28VULN|3LHND|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9RMIN|aCDMG
34	13231 14461	   	224.27	ACR|3VULN|3ASPD|2DMG	168ASPD|289VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|aCGEN
35	33231 16461	   	224.27	ACR|3VULN|3DMG|2ASPD	178DMG|289VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|aCGEN
36	13233 64411	   	224.20	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	18ASPD|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78DMG|8BPWR|9ERES|aCDMG
37	33233 63411	   	224.20	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	18DMG|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9ERES|aCDMG
38	33533 63411	   	224.20	ACR|2VULN|2ASPD|2DMG|1BEXP|1CDMG	18DMG|28VULN|3LHND|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9ERES|aCDMG
39	13231 14414	   	224.17	ACR|3VULN|3ASPD|2DMG	168ASPD|28aVULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9LEGI
40	13231 14462	   	224.17	ACR|3VULN|3ASPD|2DMG	168ASPD|289VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|aERES
41	33231 16414	   	224.17	ACR|3VULN|3DMG|2ASPD	178DMG|28aVULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9LEGI
42	33231 16462	   	224.17	ACR|3VULN|3DMG|2ASPD	178DMG|289VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|aERES
43	33231 13466	   	223.87	ACR|3VULN|2ASPD|2DMG|1CDMG	18DMG|289VULN|3FEWX|4RCR|5DUR|68ASPD|7RCVC|8BPWR|aCDMG
44	13231 14432	   	223.85	ACR|2VULN|3ASPD|2DMG|1BEXP	168ASPD|28VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9BEXP|aCGEN
45	13231 14433	   	223.85	ACR|2VULN|3ASPD|2DMG|1BEXP	168ASPD|28VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9BEXP|aLIT
46	33231 16432	   	223.85	ACR|2VULN|3DMG|2ASPD|1BEXP	178DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9BEXP|aCGEN
47	33231 16433	   	223.85	ACR|2VULN|3DMG|2ASPD|1BEXP	178DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9BEXP|aLIT
48	13231 14431	   	223.75	ACR|2VULN|3ASPD|2DMG|1BEXP	168ASPD|28VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9BEXP|aTLV
49	13231 14436	   	223.75	ACR|2VULN|3ASPD|2DMG|1BEXP	168ASPD|28VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9BEXP|aDUST
50	33231 16431	   	223.75	ACR|2VULN|3DMG|2ASPD|1BEXP	178DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9BEXP|aTLV
51	33231 16436	   	223.75	ACR|2VULN|3DMG|2ASPD|1BEXP	178DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9BEXP|aDUST
52	14233 23641	   	223.12	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	17ASPD|2LHND|3FEWX|4RCR|5RCVC|6BEXP|8BASARM|9VULN|aDMG
53	14233 23633	   	223.00	ACR|1BASARM|2ASPD|2BEXP|1DMG	17ASPD|2LHND|3FEWX|4RCR|5RCVC|6aBEXP|8BASARM|9DMG
54	16223 27733	 * 	222.86	ACR|1BASARM|3BEXP|1ASPD|1DMG	1ASPD|2RCVC|3RCR|4DUR|5MBVNT|67aBEXP|8BASARM|9DMG
55	13231 44431	   	222.26	ACR|3VULN|2ASPD|2DMG|1CDMG	18ASPD|268VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9RMIN|aCDMG
56	33231 43431	   	222.26	ACR|3VULN|2ASPD|2DMG|1CDMG	18DMG|268VULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|9RMIN|aCDMG
57	33531 43431	   	222.26	ACR|3VULN|2ASPD|2DMG|1CDMG	18DMG|268VULN|3LHND|4RCR|5DUR|78ASPD|8BPWR|9RMIN|aCDMG
58	13231 44411	   	222.16	ACR|3VULN|2ASPD|2DMG|1CDMG	18ASPD|268VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9ERES|aCDMG
59	33231 43411	   	222.16	ACR|3VULN|2ASPD|2DMG|1CDMG	18DMG|268VULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|9ERES|aCDMG
60	33531 43411	   	222.16	ACR|3VULN|2ASPD|2DMG|1CDMG	18DMG|268VULN|3LHND|4RCR|5DUR|78ASPD|8BPWR|9ERES|aCDMG
61	11251 62242	   	221.63	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	15ASPD|26AEMAG|3RCR|4CDMG|7LWND|8AART|9VULN|aBASARM
62	13233 14463	   	221.57	ACR|3VULN|2ASPD|2DMG|1BEXP	18ASPD|289VULN|3FEWX|4RCR|5RCVC|6LWND|78DMG|8BPWR|aBEXP
63	13233 24463	   	221.57	ACR|3VULN|2ASPD|2DMG|1BEXP	18ASPD|289VULN|3FEWX|4RCR|5RCVC|6DUR|78DMG|8BPWR|aBEXP
64	33233 23463	   	221.57	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|289VULN|3FEWX|4RCR|5RCVC|6DUR|78ASPD|8BPWR|aBEXP
65	33233 63434	   	221.57	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|28aVULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9RMIN
66	33233 63463	   	221.57	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|289VULN|3aFEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR
67	33233 63414	   	221.47	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|28aVULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9ERES
68	33233 63461	   	221.47	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|289VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|aERES
69	33233 63462	   	221.47	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|289VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|aDUST
70	11253 15116	   	221.43	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ASPD|2AEMAG|3RCR|4CDMG|5TLV|6DMG|7ERES|8VULN|9BASARM|aBEXP
71	11223 27734	   	221.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1VULN	1ASPD|2AEMAG|3RCR|4DUR|5MBVNT|67BEXP|8BASARM|9DMG|aVULN
72	11223 27751	 * 	221.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1VULN	1ASPD|2AEMAG|3RCR|4DUR|5MBVNT|67BEXP|8BASARM|9VULN|aDMG
73	33231 13463	   	220.72	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|289VULN|3FEWX|4RCR|5DUR|68ASPD|7RCVC|8BPWR|aBEXP
74	33235 13463	   	220.72	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|289VULN|3FEWX|4RCR|5LWND|68ASPD|7RCVC|8BPWR|aBEXP
75	13234 63521	   	220.66	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2VULN|3FEWX|4RCR|5CGEN|6MLV|8BEXP|9BASARM|aDMG
76	13234 13521	   	220.56	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2VULN|3FEWX|4RCR|5CGEN|6ERES|8BEXP|9BASARM|aDMG
77	13634 13521	   	220.56	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2VULN|3LHND|4RCR|5CGEN|6ERES|8BEXP|9BASARM|aDMG
78	14334 13521	   	220.56	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	17ASPD|2LHND|3VULN|4RCR|5CGEN|6ERES|8BEXP|9BASARM|aDMG
79	16223 23752	 * 	220.39	ACR|1BASARM|2ASPD|2VULN|1BEXP	17ASPD|2RCVC|3RCR|4DUR|5MBVNT|6BEXP|8BASARM|9aVULN
80	36253 22242	   	220.25	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2RCVC|3RCR|4CDMG|5TLV|6BEXP|7MLV|8AART|9VULN|aBASARM
81	36253 26212	   	220.25	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1DMG|2RCVC|3RCR|4CDMG|5TLV|6BEXP|7CGEN|8AART|9VULN|aBASARM
82	12333 24766	   	219.94	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	17ASPD|2MDPS|3RCVC|4RCR|5AART|6MBVNT|8VULN|9CDMG|aBASARM
83	33231 12323	   	219.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AART	1DMG|2VULN|3FEWX|4RCR|5DUR|6ASPD|7AART|8CDMG|9ERES|aBASARM
84	33235 12323	   	219.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1DMG|2VULN|3FEWX|4RCR|5LWND|6ASPD|7AART|8CDMG|9ERES|aBASARM
85	33531 12323	   	219.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1DMG|2VULN|3LHND|4RCR|5DUR|6ASPD|7AART|8CDMG|9ERES|aBASARM
86	34331 12323	   	219.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1DMG|2LHND|3VULN|4RCR|5DUR|6ASPD|7AART|8CDMG|9ERES|aBASARM
87	11226 26633	   	219.12	ACR|1BASARM|3BEXP|1ASPD|1DMG	1ASPD|2AEMAG|3RCR|4DUR|5FEWX|67aBEXP|8BASARM|9DMG
88	33231 43453	   	219.11	ACR|3VULN|2ASPD|2DMG|1BEXP	18DMG|268VULN|39FEWX|4RCR|5DUR|78ASPD|8BPWR|aBEXP
89	11251 63116	   	219.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	15ASPD|26AEMAG|3RCR|4CDMG|7RMIN|8VULN|9BASARM|aBEXP
90	11223 27733	   	219.02	ACR|1BASARM|3BEXP|1ASPD|1DMG	1ASPD|2AEMAG|3RCR|4DUR|5MBVNT|67aBEXP|8BASARM|9DMG
91	13233 14421	   	218.96	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18ASPD|28VULN|3FEWX|4RCR|5RCVC|6LWND|78DMG|8BPWR|9AAC|aCDMG
92	13233 24421	   	218.96	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18ASPD|28VULN|3FEWX|4RCR|5RCVC|6DUR|78DMG|8BPWR|9AAC|aCDMG
93	13633 14421	   	218.96	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18ASPD|28VULN|3LHND|4RCR|5RCVC|6LWND|78DMG|8BPWR|9AAC|aCDMG
94	13633 24421	   	218.96	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18ASPD|28VULN|3LHND|4RCR|5RCVC|6DUR|78DMG|8BPWR|9AAC|aCDMG
95	33233 23421	   	218.96	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|28VULN|3FEWX|4RCR|5RCVC|6DUR|78ASPD|8BPWR|9AAC|aCDMG
96	33533 23421	   	218.96	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|28VULN|3LHND|4RCR|5RCVC|6DUR|78ASPD|8BPWR|9AAC|aCDMG
97	16211 52122	   	218.94	ACR|3DMG|2VULN|2ASPD	19ASPD|2RCVC|3RCR|4RPLT|5CGEN|6BELT|79VULN|89aDMG|9BPWR
98	16216 52122	   	218.84	ACR|3DMG|2VULN|2ASPD	19ASPD|2RCVC|3RCR|4RPLT|5ERES|6BELT|79VULN|89aDMG|9BPWR
99	13231 14421	   	218.51	ACR|2VULN|3ASPD|2DMG|1AAC	168ASPD|28VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9MLV|aAAC
100	13235 14431	   	218.51	ACR|2VULN|3ASPD|2DMG|1AAC	168ASPD|28VULN|3FEWX|4RCR|5LWND|78DMG|8BPWR|9CGEN|aAAC
101	13631 14431	   	218.51	ACR|2VULN|3ASPD|2DMG|1AAC	168ASPD|28VULN|3LHND|4RCR|5DUR|78DMG|8BPWR|9CGEN|aAAC
102	33231 16421	   	218.51	ACR|2VULN|3DMG|2ASPD|1AAC	178DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9MLV|aAAC
103	33235 16431	   	218.51	ACR|2VULN|3DMG|2ASPD|1AAC	178DMG|28VULN|3FEWX|4RCR|5LWND|68ASPD|8BPWR|9CGEN|aAAC
104	33531 16431	   	218.51	ACR|2VULN|3DMG|2ASPD|1AAC	178DMG|28VULN|3LHND|4RCR|5DUR|68ASPD|8BPWR|9CGEN|aAAC
105	13231 14415	   	218.41	ACR|2VULN|3ASPD|2DMG|1AAC	168ASPD|28VULN|3FEWX|4RCR|5DUR|78DMG|8BPWR|9LEGI|aAAC
106	33231 16415	   	218.41	ACR|2VULN|3DMG|2ASPD|1AAC	178DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|8BPWR|9LEGI|aAAC
107	11251 51631	 * 	218.37	ACR|3ASPD|3BEXP|3CDMG|1AAC	15aASPD|2AEMAG|3RCR|47aCDMG|68aBEXP|9AAC|aBPWR
108	31254 21631	 * 	218.37	ACR|3DMG|3BEXP|3CDMG|1AAC	15aDMG|2AEMAG|3RCR|47aCDMG|68aBEXP|9AAC|aBPWR
109	33231 13421	   	218.11	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|28VULN|3FEWX|4RCR|5DUR|68ASPD|7RCVC|8BPWR|9AAC|aCDMG
110	33235 13421	   	218.11	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|28VULN|3FEWX|4RCR|5LWND|68ASPD|7RCVC|8BPWR|9AAC|aCDMG
111	33531 13421	   	218.11	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|28VULN|3LHND|4RCR|5DUR|68ASPD|7RCVC|8BPWR|9AAC|aCDMG
112	33231 43434	   	217.56	ACR|4VULN|2ASPD|2DMG	18DMG|268aVULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|9RMIN
113	33231 43414	   	217.46	ACR|4VULN|2ASPD|2DMG	18DMG|268aVULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|9ERES
114	33231 43461	   	217.46	ACR|4VULN|2ASPD|2DMG	18DMG|2689VULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|aERES
115	33231 43462	   	217.46	ACR|4VULN|2ASPD|2DMG	18DMG|2689VULN|3FEWX|4RCR|5DUR|78ASPD|8BPWR|aDUST
116	34333 63421	   	217.00	ACR|2ASPD|2DMG|1VULN|1BEXP|1CDMG|1AAC	18DMG|28LHND|3VULN|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC|aCDMG
117	13631 11355	   	216.83	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	16ASPD|2VULN|3LHND|4RCR|5DUR|7LWND|8AART|9CDMG|aBASARM
118	14331 11355	   	216.83	ACR|1BASARM|2ASPD|1VULN|1AART|1CDMG	16ASPD|2LHND|3VULN|4RCR|5DUR|7LWND|8AART|9CDMG|aBASARM
119	11226 11642	   	216.75	ACR|1BASARM|2ASPD|2VULN|1BEXP	16ASPD|2AEMAG|3RCR|4DUR|56FEWX|6BPWR|7BEXP|8BASARM|9aVULN
120	14233 26633	   	216.68	ACR|1BASARM|3BEXP|1ASPD|1DMG	1ASPD|2LHND|3FEWX|4RCR|5RCVC|67aBEXP|8BASARM|9DMG
121	13232 51441	   	216.68	ACR|2VULN|1BASARM|2ASPD|1AART	19ASPD|29VULN|3FEWX|4RCR|5RPLT|6DUR|79LIT|8AART|9BPWR|aBASARM
122	33232 51441	 * 	216.68	ACR|2VULN|1BASARM|2DMG|1AART	19DMG|29VULN|3FEWX|4RCR|5RPLT|6DUR|79LIT|8AART|9BPWR|aBASARM
123	13233 64422	   	216.65	ACR|2VULN|2ASPD|2DMG|1BEXP|1AAC	18ASPD|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78DMG|8BPWR|9AAC|aLIT
124	33233 63422	   	216.65	ACR|2VULN|2ASPD|2DMG|1BEXP|1AAC	18DMG|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC|aLIT
125	33533 63422	   	216.65	ACR|2VULN|2ASPD|2DMG|1BEXP|1AAC	18DMG|28VULN|3LHND|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC|aLIT
126	11226 23642	   	216.65	ACR|1BASARM|2ASPD|2VULN|1BEXP	17ASPD|2AEMAG|3RCR|4DUR|5FEWX|6BEXP|8BASARM|9aVULN
127	33233 63425	   	216.55	ACR|2VULN|2ASPD|2DMG|1BEXP|1AAC	18DMG|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC|aDUST
128	33233 63426	   	216.55	ACR|2VULN|2ASPD|2DMG|1BEXP|1AAC	18DMG|28VULN|3FEWX|4RCR|5RCVC|6BEXP|78ASPD|8BPWR|9AAC|aMDPS
129	11223 23752	   	216.55	ACR|1BASARM|2ASPD|2VULN|1BEXP	17ASPD|2AEMAG|3RCR|4DUR|5MBVNT|6BEXP|8BASARM|9aVULN
130	34331 43421	   	216.50	ACR|2VULN|2ASPD|2DMG|1CDMG|1AAC	18DMG|28LHND|36VULN|4RCR|5DUR|78ASPD|8BPWR|9AAC|aCDMG
131	26253 22242	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1AEFBLL|2DMG|3RCR|4CDMG|5TLV|6BEXP|7MLV|8AART|9VULN|aBASARM
132	26253 26212	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG|1BEXP	1AEFBLL|2DMG|3RCR|4CDMG|5TLV|6BEXP|7CGEN|8AART|9VULN|aBASARM
133	31253 22242	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1DMG|2AEMAG|3RCR|4CDMG|5TLV|6BEXP|7MLV|8AART|9VULN|aBASARM
134	31253 26212	   	216.41	ACR|1BASARM|1VULN|1DMG|1AART|1CDMG|1BEXP	1DMG|2AEMAG|3RCR|4CDMG|5TLV|6BEXP|7CGEN|8AART|9VULN|aBASARM
135	13233 14424	   	216.23	ACR|3VULN|2ASPD|2DMG|1AAC	18ASPD|28aVULN|3FEWX|4RCR|5RCVC|6LWND|78DMG|8BPWR|9AAC
136	13233 24424	   	216.23	ACR|3VULN|2ASPD|2DMG|1AAC	18ASPD|28aVULN|3FEWX|4RCR|5RCVC|6DUR|78DMG|8BPWR|9AAC
137	33233 23424	   	216.23	ACR|3VULN|2ASPD|2DMG|1AAC	18DMG|28aVULN|3FEWX|4RCR|5RCVC|6DUR|78ASPD|8BPWR|9AAC
138	33533 23424	   	216.23	ACR|3VULN|2ASPD|2DMG|1AAC	18DMG|28aVULN|3LHND|4RCR|5RCVC|6DUR|78ASPD|8BPWR|9AAC
139	12261 41136	 * 	215.52	ACR|2VULN|2ASPD|2DMG|2BEXP	19ASPD|2MDPS|39BEXP|4AAC|5RCR|6aVULN|7LWND|89DMG|9BPWR
140	32261 41136	   	215.52	ACR|2VULN|2ASPD|2DMG|2BEXP	19DMG|2MDPS|39BEXP|4AAC|5RCR|6aVULN|7LWND|89ASPD|9BPWR
141	12261 43136	   	215.42	ACR|2VULN|2ASPD|2DMG|2BEXP	19ASPD|2MDPS|39BEXP|4AAC|5RCR|6aVULN|7DUST|89DMG|9BPWR
142	32261 43136	   	215.42	ACR|2VULN|2ASPD|2DMG|2BEXP	19DMG|2MDPS|39BEXP|4AAC|5RCR|6aVULN|7DUST|89ASPD|9BPWR
143	33231 13424	   	215.38	ACR|3VULN|2ASPD|2DMG|1AAC	18DMG|28aVULN|3FEWX|4RCR|5DUR|68ASPD|7RCVC|8BPWR|9AAC
144	33235 13424	   	215.38	ACR|3VULN|2ASPD|2DMG|1AAC	18DMG|28aVULN|3FEWX|4RCR|5LWND|68ASPD|7RCVC|8BPWR|9AAC
145	33531 13424	   	215.38	ACR|3VULN|2ASPD|2DMG|1AAC	18DMG|28aVULN|3LHND|4RCR|5DUR|68ASPD|7RCVC|8BPWR|9AAC
146	12333 42255	 * 	214.97	ACR|1BASARM|1VULN|2AART|1ASPD|1CDMG	1ASPD|2MDPS|3RCVC|4RCR|56AART|7VULN|8LHND|9CDMG|aBASARM
147	32333 42255	 * 	214.97	ACR|1BASARM|1VULN|2AART|1DMG|1CDMG	1DMG|2MDPS|3RCVC|4RCR|56AART|7VULN|8LHND|9CDMG|aBASARM
148	12333 42155	   	214.87	ACR|1BASARM|1VULN|2AART|1ASPD|1CDMG	1ASPD|2MDPS|3RCVC|4RCR|56AART|7VULN|8DUST|9CDMG|aBASARM
149	32333 42155	   	214.87	ACR|1BASARM|1VULN|2AART|1DMG|1CDMG	1DMG|2MDPS|3RCVC|4RCR|56AART|7VULN|8DUST|9CDMG|aBASARM
150	16211 52126	   	214.62	ACR|2VULN|2ASPD|2DMG|1BEXP	19ASPD|2RCVC|3RCR|4RPLT|5CGEN|6BELT|79VULN|89DMG|9BPWR|aBEXP
