0	Index      	 *	Score 	Summary	Detail	
1	64512 13312	 * 	213.64	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG|1BEXP|1AAC	1VULN|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8AAC|9BEXP
12	62423 31342	 * 	200.72	3VULN|3ASPD|3DMG|1AART|1BEXP	14aVULN|2AART|3BEXP|58aASPD|69aDMG|7RCVC|aBPWR
13	24512 13431	 * 	199.19	ACR|2ASPD|1VULN|1DMG|2CDMG|1AART	18LWND|28ASPD|3DMG|49DUR|5RCR|6AART|78CDMG|8BPWR|aVULN
14	24512 13422	   	199.09	ACR|2ASPD|1VULN|1DMG|2CDMG|1AART	18LWND|28ASPD|3DMG|4DUR|5RCR|6AART|78CDMG|8BPWR|9FLTARM|aVULN
15	13412 61351	 * 	197.58	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|2ERES|3BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|9BELT|aAART
16	62463 31321	 * 	196.45	DCR|2VULN|2ASPD|2BEXP|1AART|1DMG	14VULN|2AART|34BEXP|4BPWR|58ASPD|6DMG|7RCVC|9RMIN|aRCR
17	13412 61223	   	195.76	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8CGEN|aDMG
18	13412 61321	   	195.76	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|aBELT
19	13412 61322	   	195.76	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|aDUR
20	13412 61324	   	195.76	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|aDMSP
21	13412 61326	   	195.76	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|aLHND
22	13412 61423	   	195.76	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8MLV|aDMG
23	13412 61523	   	195.76	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8RMIN|aDMG
24	44532 21333	 * 	195.76	ACR|3BEXP|2ASPD|2DMG	169BEXP|29ASPD|3aDMG|47DUST|5RCR|89AEFBLL|9BPWR
25	13412 61323	   	195.66	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|aNUKE
26	13412 61325	   	195.66	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2aERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD
27	13412 61335	   	195.66	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2ERES|3aBEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|9TLV
28	13412 61362	   	195.58	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1RPLT|2ERES|3BEXP|4VULN|5RCR|6BASARM|7RCVC|8ASPD|9LIT|aCDMG
29	13412 63351	   	195.27	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1RPLT|27ERES|3BEXP|4VULN|5RCR|6BASARM|8ASPD|9BELT|aAART
30	32121 36224	   	195.10	DCR|1BASARM|2ASPD|2DMG|1AART	1AEMAG|25TLV|35DMG|4AART|5BPWR|6ZMB|79ASPD|8BASARM|aRCR
31	64512 13311	   	195.05	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP|1AAC	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8AAC|9BEXP|aDMSP
32	64512 13322	   	195.05	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP|1AAC	1VULN|2ASPD|3DMG|49DUR|5RCR|6AART|7CDMG|8AAC|aBEXP
33	64512 13313	   	194.95	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP|1AAC	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8AAC|9BEXP|aAME
34	15461 33232	 * 	194.94	ACR|2VULN|1BASARM|1AART|1CDMG	1RPLT|2MSLREG|36VULN|4RCR|56FEWX|6BPWR|7CDMG|8AART|9ERES|aBASARM
35	62423 12341	   	194.15	DCR|2VULN|2ASPD|2BEXP|1AART|1DMG	14VULN|2AART|36BEXP|57ASPD|8CGEN|9DMG|aRCR
36	62423 36321	   	194.15	DCR|2VULN|2ASPD|2BEXP|1AART|1DMG	14VULN|2AART|37BEXP|58ASPD|6DMG|9RMIN|aRCR
37	62422 12341	   	194.05	DCR|2VULN|2ASPD|2BEXP|1AART|1DMG	14VULN|2AART|36BEXP|5ERES|78ASPD|9DMG|aRCR
38	13412 62123	   	193.56	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|78CGEN|aDMG
39	13412 62343	   	193.56	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|2ERES|3aBEXP|4VULN|5RCR|6BASARM|7CGEN|8LHND|9ASPD
40	13412 62223	   	193.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|28ERES|39BEXP|4VULN|5RCR|6BASARM|7CGEN|aDMG
41	13412 62413	   	193.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|2ERES|38BEXP|4VULN|5RCR|6BASARM|7CGEN|9AEFBLL|aDMG
42	13412 63223	   	193.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8CGEN|aDMG
43	13412 63321	   	193.46	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8ASPD|aBELT
44	13412 63322	   	193.46	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8ASPD|aDUR
45	13412 63324	   	193.46	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8ASPD|aDMSP
46	13412 63326	   	193.46	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8ASPD|aLHND
47	13412 63423	   	193.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8MLV|aDMG
48	13412 63523	   	193.46	ACR|1BASARM|1VULN|2BEXP|1DMG	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8RMIN|aDMG
49	13412 62332	   	193.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RPLT|2ERES|3BEXP|4VULN|5RCR|6BASARM|7CGEN|8LHND|9CDMG|aDMG
50	13412 64232	   	193.37	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RPLT|2ERES|3BEXP|4VULN|5RCR|6BASARM|7FEWX|8CGEN|9CDMG|aDMG
51	13412 63323	   	193.36	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8ASPD|aNUKE
52	13412 63325	   	193.36	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|27aERES|39BEXP|4VULN|5RCR|6BASARM|8ASPD
53	13412 63335	   	193.36	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RPLT|27ERES|3aBEXP|4VULN|5RCR|6BASARM|8ASPD|9TLV
54	24532 52231	 * 	193.28	ACR|2DMG|2AART|1VULN|1ASPD	1LWND|2ASPD|36DMG|4DUST|5RCR|78AART|9ERES|aVULN
55	13412 63362	   	193.27	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1RPLT|27ERES|3BEXP|4VULN|5RCR|6BASARM|8ASPD|9LIT|aCDMG
56	13412 64332	   	193.27	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1RPLT|2ERES|3BEXP|4VULN|5RCR|6BASARM|7FEWX|8AME|9CDMG|aDMG
57	62333 22614	 * 	192.93	DCR|1BASARM|2AART|1VULN|1ASPD|1CDMG	1VULN|27AART|3CGEN|4RMIN|5ASPD|6CDMG|8BASARM|9BELT|aRCR
58	24512 13312	   	192.87	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG|1AAC	1LWND|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8AAC|9BEXP
59	24512 13362	   	192.87	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG|1AAC	1LWND|29ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8AAC|aBEXP
60	62423 33322	   	192.68	2VULN|1BASARM|3BEXP|1AART|1ASPD|1DMG|1AAC	14VULN|2AART|38aBEXP|5ASPD|6DMG|7AAC|9BASARM
61	64512 32133	 * 	191.87	ACR|3VULN|2ASPD|1DMG|1BEXP	189VULN|29ASPD|3DMG|4DUR|5RCR|6DMSP|79LWND|9BPWR|aBEXP
62	64512 33133	   	191.87	ACR|3VULN|2ASPD|1DMG|1BEXP	189VULN|29ASPD|3DMG|4DUR|5RCR|6DMSP|79FEWX|9BPWR|aBEXP
63	64512 12331	 * 	191.86	ACR|2VULN|2DMG|1ASPD|1AART	1aVULN|2ASPD|3aDMG|4DUR|5RCR|6AART|7RPLT|8LIT|9aLHND|aBPWR
64	64512 13232	   	191.68	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	1VULN|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8CGEN|9FEWX
65	64512 31133	   	191.67	ACR|3VULN|2ASPD|1DMG|1BEXP	189VULN|29ASPD|3DMG|4DUR|5RCR|6DMSP|79DUST|9BPWR|aBEXP
66	65133 23432	 * 	191.66	ACR|3DMG|2VULN|1AART	19VULN|2MDPS|39DUST|4AART|5RCR|6RCVC|79aDMG|8RPLT|9BPWR
67	64512 13132	   	191.58	ACR|2ASPD|1VULN|1DMG|1AART|1CDMG	1VULN|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8ERES|9FEWX
68	64532 11311	 * 	191.56	ACR|2VULN|2ASPD|1DMG|1AART	18VULN|29ASPD|3DMG|4DUST|5RCR|6AART|7BELT|aZMB
69	13412 61115	   	191.56	ACR|1BASARM|2VULN|1ASPD|1BEXP	1RPLT|2ERES|3BEXP|49VULN|5RCR|6BASARM|7RCVC|8DMSP|aASPD
70	62463 33121	   	191.52	3VULN|1BASARM|2BEXP|1AART|1ASPD|1DMG|1AAC	148VULN|2AART|34BEXP|4BPWR|5ASPD|6DMG|7AAC|9BASARM|aRMIN
71	62463 33123	   	191.52	3VULN|1BASARM|2BEXP|1AART|1ASPD|1DMG|1AAC	148VULN|2AART|34BEXP|4BPWR|5ASPD|6DMG|7AAC|9BASARM|aLHND
72	64532 11313	   	191.46	ACR|2VULN|2ASPD|1DMG|1AART	18VULN|29ASPD|3DMG|4DUST|5RCR|6AART|7BELT|aAME
73	65133 23433	 * 	191.46	ACR|2VULN|2DMG|2AART	19VULN|2MDPS|39DUST|4aAART|5RCR|6RCVC|79DMG|8RPLT|9BPWR
74	62423 33122	   	191.42	3VULN|1BASARM|2BEXP|1AART|1ASPD|1DMG|1AAC	148VULN|2AART|3aBEXP|5ASPD|6DMG|7AAC|9BASARM
75	13412 61224	 * 	191.35	ACR|1BASARM|1VULN|2BEXP|1AART	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|7RCVC|8CGEN|aAART
76	24512 13412	   	190.98	ACR|2ASPD|1DMG|2CDMG|1AART|1BEXP	18LWND|28ASPD|3DMG|4DUR|5RCR|6AART|78CDMG|8BPWR|9AME|aBEXP
77	64532 12232	   	190.58	ACR|2ASPD|1VULN|1DMG|1AART|1BEXP	1VULN|2aASPD|3DMG|4DUST|5RCR|6AART|7aFEWX|8BEXP|9aERES|aBPWR
78	64532 32231	 * 	190.33	ACR|2VULN|2AART|1ASPD|1DMG	1aVULN|2ASPD|3DMG|4DUST|5RCR|6DMSP|78AART|9ERES
79	62423 31351	   	189.82	DCR|2VULN|2ASPD|1AART|1DMG|1BEXP|1AAC	14VULN|2AART|3BEXP|58ASPD|6DMG|7RCVC|9AAC|aRCR
80	64512 12113	   	189.55	ACR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2ASPD|3DMG|4DUR|5RCR|69AART|7RPLT|8FEWX|aCDMG
81	64512 12213	   	189.45	ACR|2AART|1VULN|1ASPD|1DMG|1CDMG	1VULN|2ASPD|3DMG|4DUR|5RCR|69AART|7RPLT|8DUST|aCDMG
82	13412 63115	   	189.25	ACR|1BASARM|2VULN|1ASPD|1BEXP	1RPLT|27ERES|3BEXP|49VULN|5RCR|6BASARM|8DMSP|aASPD
83	13412 65213	   	189.25	ACR|2VULN|1BASARM|1DMG|1BEXP	1RPLT|2ERES|3BEXP|47VULN|5RCR|6BASARM|8CGEN|9AEFBLL|aDMG
84	13412 65311	   	189.25	ACR|2VULN|1BASARM|1ASPD|1BEXP	1RPLT|2ERES|3BEXP|47VULN|5RCR|6BASARM|8ASPD|9AEFBLL|aBELT
85	13412 65312	   	189.25	ACR|2VULN|1BASARM|1ASPD|1BEXP	1RPLT|2ERES|3BEXP|47VULN|5RCR|6BASARM|8ASPD|9AEFBLL|aDUR
86	13412 65332	   	189.25	ACR|2VULN|1BASARM|1ASPD|1BEXP	1RPLT|2ERES|3BEXP|47VULN|5RCR|6BASARM|8ASPD|9TLV|aDUR
87	13412 65333	   	189.25	ACR|2VULN|1BASARM|1ASPD|1BEXP	1RPLT|2ERES|3BEXP|47VULN|5RCR|6BASARM|8ASPD|9TLV|aFEWX
88	13412 65313	   	189.15	ACR|2VULN|1BASARM|1ASPD|1BEXP	1RPLT|2ERES|3BEXP|47VULN|5RCR|6BASARM|8ASPD|9AEFBLL|aNUKE
89	13412 65331	   	189.15	ACR|2VULN|1BASARM|1ASPD|1BEXP	1RPLT|2aERES|3BEXP|47VULN|5RCR|6BASARM|8ASPD|9TLV
90	13412 62124	   	189.15	ACR|1BASARM|1VULN|2BEXP|1AART	1RPLT|2ERES|39BEXP|4VULN|5RCR|6BASARM|78CGEN|aAART
91	13412 62224	   	189.05	ACR|1BASARM|1VULN|2BEXP|1AART	1RPLT|28ERES|39BEXP|4VULN|5RCR|6BASARM|7CGEN|aAART
92	13412 63224	   	189.05	ACR|1BASARM|1VULN|2BEXP|1AART	1RPLT|27ERES|39BEXP|4VULN|5RCR|6BASARM|8CGEN|aAART
93	24552 13311	   	188.74	ACR|2AART|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1LWND|2ASPD|3DMG|4LHND|5RCR|6aAART|7CDMG|8AAC|9BEXP
94	64512 13333	   	188.61	ACR|1VULN|1ASPD|1DMG|2CDMG|1AART|1AAC	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7aCDMG|8AAC|9ERES
95	24532 11214	 * 	188.40	ACR|2ASPD|2DMG|1AART|1BEXP	1LWND|29ASPD|38DMG|4DUST|5RCR|6AART|7BELT|aBEXP
96	64512 13222	   	188.35	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8CGEN|9RCVC|aBEXP
97	64512 13122	   	188.25	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8ERES|9RCVC|aBEXP
98	62123 25421	 * 	188.16	4VULN|2ASPD|2DMG|1AART|1BEXP|1CDMG	149aVULN|2AART|3FEWX|59ASPD|6CDMG|7BEXP|89DMG|9BPWR
99	61211 42214	 * 	187.69	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1SELL	1VULN|2LIT|3SELL|4RCR|5DUR|6DMG|79BEXP|8ASPD|aAART
100	61213 42214	 * 	187.69	ACR|1VULN|2BEXP|1ASPD|1DMG|1AART|1SELL	1VULN|2LIT|3SELL|4RCR|5LWND|6DMG|79BEXP|8ASPD|aAART
101	41216 12123	 * 	187.36	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1BEXP|2LIT|3SELL|4RCR|5AART|6DMG|7DUST|8LHND|9DUR|aBASARM
102	41216 12163	 * 	187.36	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1BEXP|2LIT|3SELL|4RCR|5AART|6DMG|7DUST|8LHND|9FEWX|aBASARM
103	62123 25422	 * 	187.17	3VULN|2ASPD|2DMG|1AART|2CDMG|1BEXP	149VULN|2AART|3FEWX|59ASPD|6aCDMG|7BEXP|89DMG|9BPWR
104	13412 62335	   	187.15	ACR|1BASARM|1VULN|2BEXP|1CDMG	1RPLT|2ERES|3aBEXP|4VULN|5RCR|6BASARM|7CGEN|8LHND|9CDMG
105	65133 33136	   	187.05	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|2MDPS|3DUST|4AART|5RCR|6aDMG|7ZMB|9CDMG
106	65133 32136	   	186.95	ACR|2VULN|2DMG|1AART|1CDMG	18VULN|2MDPS|3DUST|4AART|5RCR|6aDMG|7AME|9CDMG
107	64512 13211	   	186.74	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG|1BEXP	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8CGEN|9BEXP|aDMSP
108	24552 13212	   	186.74	ACR|1ASPD|1DMG|1VULN|1AART|1CDMG|1BEXP	1LWND|2ASPD|3DMG|4LHND|5RCR|6AART|7CDMG|8CGEN|9BEXP|aVULN
109	64512 13111	   	186.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8ERES|9BEXP|aDMSP
110	64512 13213	   	186.64	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8CGEN|9BEXP|aAME
111	24552 13112	   	186.64	ACR|1ASPD|1DMG|1VULN|1AART|1BEXP|1CDMG	1LWND|2ASPD|3DMG|4LHND|5RCR|6AART|7CDMG|8ERES|9BEXP|aVULN
112	64512 13113	   	186.54	ACR|1VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG	1VULN|2ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8ERES|9BEXP|aAME
113	64512 32132	   	186.52	ACR|3VULN|2ASPD|1DMG|1AAC	189VULN|29ASPD|3DMG|4DUR|5RCR|6DMSP|79LWND|9BPWR|aAAC
114	64512 33132	   	186.52	ACR|3VULN|2ASPD|1DMG|1AAC	189VULN|29ASPD|3DMG|4DUR|5RCR|6DMSP|79FEWX|9BPWR|aAAC
115	24532 11225	 * 	186.47	ACR|3DMG|1ASPD|1AART|1BEXP	1LWND|2ASPD|38aDMG|4DUST|5RCR|6AART|7BELT|9BEXP
116	41211 23625	 * 	186.36	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1BEXP|27LIT|3SELL|4RCR|5DUR|6AART|8BASARM|9MDPS|aDMG
117	64512 31132	   	186.32	ACR|3VULN|2ASPD|1DMG|1AAC	189VULN|29ASPD|3DMG|4DUR|5RCR|6DMSP|79DUST|9BPWR|aAAC
118	41216 15123	 * 	186.17	ACR|2BEXP|1DMG|1AART|1VULN|1CDMG|1SELL	19BEXP|2LIT|3SELL|4RCR|5AART|6DMG|7CDMG|8NUKE|aVULN
119	15461 33223	   	186.11	ACR|2VULN|2AART|1DMG|1CDMG	1RPLT|2MSLREG|36VULN|4RCR|56FEWX|6BPWR|7CDMG|8aAART|9DMG
120	13412 64112	   	185.84	ACR|1BASARM|2VULN|1AART|1BEXP	1RPLT|2ERES|3BEXP|48VULN|5RCR|6BASARM|7FEWX|9AEFBLL|aAART
121	13412 65122	   	185.84	ACR|2VULN|1BASARM|1AART|1BEXP	1RPLT|2ERES|3BEXP|47VULN|5RCR|6BASARM|8DMSP|9DUST|aAART
122	32122 36244	   	185.81	DCR|1BASARM|2DMG|1AART|1ASPD|1AAC	1AEMAG|2TLV|36DMG|4AART|5AAC|7ASPD|8BASARM|9DMSP|aRCR
123	61211 42221	 * 	185.69	ACR|1VULN|2BEXP|1ASPD|1DMG|1CDMG|1SELL	1VULN|2LIT|3SELL|4RCR|5DUR|6DMG|7aBEXP|8ASPD|9CDMG
124	61213 42221	 * 	185.69	ACR|1VULN|2BEXP|1ASPD|1DMG|1CDMG|1SELL	1VULN|2LIT|3SELL|4RCR|5LWND|6DMG|7aBEXP|8ASPD|9CDMG
125	61214 42221	 * 	185.69	ACR|1VULN|2BEXP|1ASPD|1DMG|1CDMG|1SELL	1VULN|2LIT|3SELL|4RCR|5LHND|6DMG|7aBEXP|8ASPD|9CDMG
126	64532 11321	   	185.62	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	18VULN|2ASPD|3DMG|4DUST|5RCR|6AART|7BELT|9BEXP|aLIT
127	64532 11322	   	185.52	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP	18VULN|2ASPD|3DMG|4DUST|5RCR|6AART|7BELT|9BEXP|aERES
128	24532 52232	   	185.17	ACR|2DMG|2AART|1ASPD|1BEXP	1LWND|2ASPD|36DMG|4DUST|5RCR|78AART|9ERES|aBEXP
129	15462 33232	   	185.01	ACR|1BASARM|1VULN|1AART|1CDMG	1RPLT|2MSLREG|3VULN|4RCR|5RCVC|6FEWX|7CDMG|8AART|9ERES|aBASARM
130	41216 15121	 * 	185.00	ACR|2DMG|2BEXP|1AART|1CDMG|1SELL	19BEXP|2LIT|3SELL|4RCR|5AART|6aDMG|7CDMG|8NUKE
131	15462 13232	   	184.91	ACR|1BASARM|1VULN|1AART|1CDMG	1RPLT|2MSLREG|3VULN|4RCR|5RCVC|6DUST|7CDMG|8AART|9ERES|aBASARM
132	41211 23661	   	184.77	ACR|1BASARM|1AART|1VULN|1BEXP|1SELL	1BEXP|27LIT|3SELL|4RCR|5DUR|6AART|8BASARM|9RCVC|aVULN
133	24512 13212	   	184.57	ACR|2ASPD|1DMG|1AART|1CDMG|1BEXP	1LWND|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8CGEN|9BEXP
134	24512 13262	   	184.57	ACR|2ASPD|1DMG|1AART|1CDMG|1BEXP	1LWND|29ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8CGEN|aBEXP
135	24512 13112	   	184.47	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG	1LWND|2aASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8ERES|9BEXP
136	24512 13162	   	184.47	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG	1LWND|29ASPD|3DMG|4DUR|5RCR|6AART|7CDMG|8ERES|aBEXP
137	13412 61226	   	184.33	ACR|1BASARM|2VULN|2BEXP	1RPLT|2ERES|39BEXP|4aVULN|5RCR|6BASARM|7RCVC|8CGEN
138	41216 23622	   	184.06	ACR|1BASARM|1AART|1VULN|1BEXP|1SELL	1BEXP|27LIT|3SELL|4RCR|5AART|6FEWX|8BASARM|9MDPS|aVULN
139	41216 23631	   	184.06	ACR|1BASARM|1AART|1VULN|1BEXP|1SELL	1BEXP|27LIT|3SELL|4RCR|5AART|6FEWX|8BASARM|9AEFBLL|aVULN
140	23125 15114	 * 	183.83	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	1LWND|2FEWX|3ERES|46BEXP|5RCR|7ASPD|8VULN|9AART|aDMG
141	23225 15114	   	183.83	ACR|2BEXP|1VULN|1ASPD|1DMG|1AART	1LWND|2FEWX|3TLV|46BEXP|5RCR|7ASPD|8VULN|9AART|aDMG
142	65133 32142	   	183.81	ACR|2VULN|2AART|1DMG|1BEXP	18VULN|2MDPS|3DUST|49AART|5RCR|6DMG|7AME|aBEXP
143	62413 31342	 * 	183.80	3DMG|2VULN|2ASPD|2BEXP|1AART	1aVULN|2AART|3aBEXP|4AEFBLL|58ASPD|69aDMG|7RCVC|aBPWR
144	23225 12316	 * 	183.76	ACR|1BASARM|3BEXP|1VULN	1LWND|2FEWX|3TLV|467BEXP|5RCR|8RPLT|9BASARM|aVULN
145	22355 24111	 * 	183.70	DCR|1BASARM|2AART|1VULN|2BEXP	1LWND|29AART|3CGEN|46BEXP|5VULN|7BASARM|8LHND|aRCR
146	13412 22818	 * 	183.66	ACR|1BASARM|3BEXP|1VULN	1RPLT|2ERES|379BEXP|4VULN|5RCR|6MBVNT|8RMIN|aBASARM
147	13412 62421	   	183.66	ACR|1BASARM|3BEXP|1VULN	1RPLT|2ERES|389BEXP|4VULN|5RCR|6BASARM|7CGEN|aAEFBLL
148	13412 62422	   	183.66	ACR|1BASARM|3BEXP|1VULN	1RPLT|2ERES|389BEXP|4VULN|5RCR|6BASARM|7CGEN|aLEGI
