0	Index      	 *	Score 	Summary	Detail	
1	21143 62216	 * 	235.95	ACR|2VULN|3ASPD|3BEXP|1AART	17MLV|2RCR|36VULN|479BEXP|578ASPD|7BPWR|aAART
19	21112 21126	   	219.99	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MLV|2RCR|3VULN|4AEMAG|58BEXP|6CDMG|7TLV|9ASPD|aBASARM
20	61112 34236	   	219.99	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1AME|2RCR|3VULN|4AEMAG|56BEXP|7CGEN|8ASPD|9CDMG|aBASARM
21	21143 62133	   	219.95	ACR|3VULN|2ASPD|2BEXP|1AART	17MLV|2RCR|369VULN|47BEXP|57ASPD|7BPWR|8RMIN|aAART
22	61112 21126	   	219.89	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1AME|2RCR|3VULN|4AEMAG|58BEXP|6CDMG|7TLV|9ASPD|aBASARM
23	61143 62133	   	219.75	ACR|3VULN|2ASPD|2BEXP|1AART	17AME|2RCR|369VULN|47BEXP|57ASPD|7BPWR|8RMIN|aAART
24	21143 62231	   	219.49	ACR|3VULN|3ASPD|2BEXP	17MLV|2RCR|36aVULN|47BEXP|578ASPD|7BPWR|9RCVC
25	61143 62231	   	219.29	ACR|3VULN|3ASPD|2BEXP	17AME|2RCR|36aVULN|47BEXP|578ASPD|7BPWR|9RCVC
26	14541 42343	   	217.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8FEWX|9AART|aDMG
27	14543 82543	   	217.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1MBVNT|2LHND|3VULN|4RCR|5FEWX|6DMG|7BASARM|8BEXP|9AART|aASPD
28	14544 82543	   	217.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1MBVNT|2LHND|3VULN|4RCR|5DUR|6DMG|7BASARM|8BEXP|9AART|aASPD
29	21121 61436	   	217.81	ACR|2VULN|1BASARM|1DMG|1BEXP|1CDMG	16MLV|2RCR|35VULN|4CGEN|7DMG|8BEXP|9CDMG|aBASARM
30	21122 64236	   	217.81	ACR|2VULN|1BASARM|1ASPD|1BEXP|1CDMG	1MLV|2RCR|36VULN|47CGEN|5BEXP|8ASPD|9CDMG|aBASARM
31	21143 62211	   	217.65	ACR|2VULN|3ASPD|3BEXP	17MLV|2RCR|36VULN|479BEXP|578ASPD|7BPWR|aFEWX
32	21143 62215	   	217.65	ACR|2VULN|3ASPD|3BEXP	17MLV|2RCR|36VULN|479BEXP|578ASPD|7BPWR|aDUR
33	21143 62213	   	217.55	ACR|2VULN|3ASPD|3BEXP	17MLV|2RCR|36VULN|479BEXP|578ASPD|7BPWR|aLEGI
34	61143 62211	   	217.45	ACR|2VULN|3ASPD|3BEXP	17AME|2RCR|36VULN|479BEXP|578ASPD|7BPWR|aFEWX
35	61143 62213	   	217.35	ACR|2VULN|3ASPD|3BEXP	17AME|2RCR|36VULN|479BEXP|578ASPD|7BPWR|aLEGI
36	51531 33532	 * 	217.21	ACR|2ASPD|2DMG|1VULN|1AART|1BEXP	1ERES|2RCR|3AART|4VULN|5CGEN|67DMG|8aASPD|9BEXP
37	14541 42521	 * 	216.98	ACR|3VULN|1BASARM|2BEXP|1ASPD	1MBVNT|2LHND|39aVULN|4RCR|5ASPD|68BEXP|7BASARM
38	14541 42727	   	216.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9MLV|aCDMG
39	14541 42784	   	216.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|29LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|aCDMG
40	14541 42157	   	216.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8AAC|9DMG|aCDMG
41	14541 42457	   	216.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8ERES|9DMG|aCDMG
42	14541 42717	   	216.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9AME|aCDMG
43	14541 42733	   	216.53	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9SNITOX|aCDMG
44	14541 42536	 * 	216.41	ACR|1BASARM|1VULN|2BEXP|1ASPD|1DMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|68BEXP|7BASARM|9MSLREG|aDMG
45	14541 42743	   	216.38	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9SELL|aCDMG
46	21112 33331	 * 	216.29	ACR|1BASARM|3BEXP|1VULN|1DMG	1MLV|2RCR|3VULN|4AEMAG|567BEXP|8DMG|9ERES|aBASARM
47	61112 36361	   	216.29	ACR|1BASARM|3BEXP|1VULN|1DMG	1AME|2RCR|3VULN|4AEMAG|569BEXP|7DMG|8MLV|aBASARM
48	61112 33331	   	216.19	ACR|1BASARM|3BEXP|1VULN|1DMG	1AME|2RCR|3VULN|4AEMAG|567BEXP|8DMG|9ERES|aBASARM
49	51331 51326	   	215.41	ACR|1BASARM|2ASPD|1DMG|1AART	1ERES|2RCR|3MDPS|4CGEN|5aASPD|6DMG|7AART|8DUST|9BASARM
50	51521 11326	   	215.41	ACR|1BASARM|2ASPD|1DMG|1AART	1ERES|2RCR|3AART|4CGEN|5aASPD|6DMG|7DUST|8MDPS|9BASARM
51	33126 43253	 * 	215.27	ACR|2VULN|2ASPD|2DMG|1AART	17AEMAG|2DMSP|3RCR|4CGEN|57VULN|67DMG|7BPWR|89ASPD|aAART
52	21515 61132	   	214.86	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AART	1MLV|2RCR|3AART|4ERES|5CDMG|69VULN|7BEXP|8RCVC|aBASARM
53	21143 62242	   	214.69	ACR|2VULN|3ASPD|2BEXP|1AAC	17MLV|2RCR|36VULN|47BEXP|578ASPD|7BPWR|9RPLT|aAAC
54	21143 62261	   	214.69	ACR|2VULN|3ASPD|2BEXP|1AAC	17MLV|2RCR|36VULN|47BEXP|578ASPD|7BPWR|9AAC|aLHND
55	21143 62314	   	214.69	ACR|2VULN|3ASPD|2BEXP|1AAC	17MLV|2RCR|36VULN|47BEXP|57aASPD|7BPWR|8FEWX|9AAC
56	21143 62413	   	214.69	ACR|2VULN|3ASPD|2BEXP|1AAC	17MLV|2RCR|36VULN|47BEXP|57aASPD|7BPWR|8LHND|9AAC
57	21143 62263	   	214.59	ACR|2VULN|3ASPD|2BEXP|1AAC	17MLV|2RCR|36VULN|47BEXP|578ASPD|7BPWR|9AAC|aERES
58	21153 63223	 * 	214.47	ACR|3VULN|2ASPD|1DMG|1AART	1MLV|2RCR|367VULN|4DUR|58ASPD|9DMG|aAART
59	61153 63223	   	214.37	ACR|3VULN|2ASPD|1DMG|1AART	1AME|2RCR|367VULN|4DUR|58ASPD|9DMG|aAART
60	21363 46113	   	214.27	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1MLV|2RCR|3MDPS|4VULN|5FEWX|6AART|7BASARM|8ASPD|9RMIN|aDMG
61	21363 46133	   	214.17	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1MLV|2RCR|3MDPS|4VULN|5FEWX|6AART|7BASARM|8ASPD|9ERES|aDMG
62	14541 42674	 * 	214.15	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|59ASPD|6BEXP|7BASARM|8CGEN|aCDMG
63	14543 82452	   	214.15	ACR|1BASARM|2DMG|1VULN|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5FEWX|69DMG|7BASARM|8CDMG|aBEXP
64	14541 42771	 * 	214.12	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1MBVNT|2LHND|3aVULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9LWND
65	14541 42174	   	214.05	ACR|1BASARM|2ASPD|1VULN|1BEXP|1CDMG	1MBVNT|2LHND|3VULN|4RCR|59ASPD|6BEXP|7BASARM|8AAC|aCDMG
66	14541 42738	   	214.02	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1MBVNT|2LHND|3aVULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9SNITOX
67	14541 42761	   	214.02	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1MBVNT|2LHND|3aVULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9LEGI
68	51531 31532	   	213.96	ACR|2VULN|2ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|3AART|47VULN|5CGEN|6DMG|8aASPD|9BEXP
69	14541 42535	 * 	213.93	ACR|1BASARM|2ASPD|1VULN|2BEXP	1MBVNT|2LHND|3VULN|4RCR|5aASPD|68BEXP|7BASARM|9MSLREG
70	21142 43313	 * 	213.71	ACR|3DMG|2VULN|1ASPD|1BEXP|1SELL	18MLV|2RCR|38VULN|4BEXP|5FEWX|6SELL|789DMG|8BPWR|aASPD
71	21563 51132	   	213.68	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AART	14MLV|2RCR|3AART|59VULN|6BEXP|7ERES|8CDMG|aBASARM
72	51531 51132	   	213.58	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AART	1ERES|2RCR|3AART|47VULN|5CGEN|6BEXP|8CDMG|9AEFBLL|aBASARM
73	51142 43313	 * 	213.51	ACR|3DMG|2VULN|1ASPD|1BEXP|1SELL	18ERES|2RCR|38VULN|4BEXP|5FEWX|6SELL|789DMG|8BPWR|aASPD
74	61142 43313	 * 	213.51	ACR|3DMG|2VULN|1ASPD|1BEXP|1SELL	18AME|2RCR|38VULN|4BEXP|5FEWX|6SELL|789DMG|8BPWR|aASPD
75	51513 63332	   	213.48	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AART	14ERES|2RCR|3AART|59VULN|6CDMG|7TLV|8BEXP|aBASARM
76	61514 32132	   	213.48	ACR|1BASARM|2VULN|1BEXP|1CDMG|1AART	15AME|2RCR|3AART|4ERES|69VULN|7BEXP|8CDMG|aBASARM
77	61515 32132	   	213.48	ACR|2VULN|1BASARM|1BEXP|1CDMG|1AART	16AME|2RCR|3AART|4ERES|59VULN|7BEXP|8CDMG|aBASARM
78	21112 36263	 * 	213.19	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	1MLV|2RCR|3VULN|4AEMAG|56BEXP|79DMG|8ASPD|aAART
79	61112 36263	   	213.09	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	1AME|2RCR|3VULN|4AEMAG|56BEXP|79DMG|8ASPD|aAART
80	21111 26226	   	212.96	ACR|2VULN|1BASARM|2CDMG|1ASPD	17MLV|2RCR|37VULN|4AEMAG|5LHND|67CDMG|7BPWR|8CGEN|9ASPD|aBASARM
81	21111 26266	 * 	212.96	ACR|2VULN|1BASARM|2CDMG|1DMG	17MLV|2RCR|37VULN|4AEMAG|5LHND|67CDMG|7BPWR|8CGEN|9DMG|aBASARM
82	21111 26526	   	212.86	ACR|2VULN|1BASARM|2CDMG|1ASPD	17MLV|2RCR|37VULN|4AEMAG|5LHND|67CDMG|7BPWR|8ERES|9ASPD|aBASARM
83	21112 21326	   	212.78	ACR|1BASARM|1VULN|1ASPD|2CDMG|1BEXP	1MLV|2RCR|3VULN|4AEMAG|5BEXP|68CDMG|7TLV|9ASPD|aBASARM
84	61111 26226	   	212.76	ACR|2VULN|1BASARM|2CDMG|1ASPD	17AME|2RCR|37VULN|4AEMAG|5LHND|67CDMG|7BPWR|8CGEN|9ASPD|aBASARM
85	61112 21326	   	212.68	ACR|1BASARM|1VULN|1ASPD|2CDMG|1BEXP	1AME|2RCR|3VULN|4AEMAG|5BEXP|68CDMG|7TLV|9ASPD|aBASARM
86	21515 16232	   	212.29	ACR|3VULN|1BASARM|1CDMG|1AART	1MLV|2RCR|3AART|4ERES|5CDMG|6LEGI|789VULN|aBASARM
87	51532 21132	   	212.29	ACR|3VULN|1BASARM|1CDMG|1AART	1ERES|2RCR|3AART|479VULN|5DUR|6TLV|8CDMG|aBASARM
88	51534 21132	   	212.29	ACR|3VULN|1BASARM|1AART|1CDMG	1ERES|2RCR|3AART|479VULN|5LHND|6TLV|8CDMG|aBASARM
89	21143 64311	   	212.24	ACR|3VULN|1BASARM|1ASPD|1BEXP	1MLV|2RCR|36aVULN|4BEXP|5ASPD|7CGEN|8BASARM|9DUR
90	21143 64331	   	212.24	ACR|3VULN|1BASARM|1ASPD|1BEXP	1MLV|2RCR|36aVULN|4BEXP|5ASPD|7CGEN|8BASARM|9LWND
91	51533 31162	 * 	212.02	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1ERES|2RCR|3aAART|47VULN|5DUST|6DMG|8CDMG|9ASPD
92	21143 21152	   	211.88	ACR|2VULN|2AART|1ASPD|1BEXP|1CDMG|1AAC	1MLV|2RCR|37VULN|4BEXP|5ASPD|6aAART|8CDMG|9AAC
93	51143 21152	   	211.78	ACR|2VULN|2AART|1ASPD|1BEXP|1CDMG|1AAC	1ERES|2RCR|37VULN|4BEXP|5ASPD|6aAART|8CDMG|9AAC
94	61143 21152	   	211.78	ACR|2VULN|2AART|1ASPD|1BEXP|1CDMG|1AAC	1AME|2RCR|37VULN|4BEXP|5ASPD|6aAART|8CDMG|9AAC
95	21243 23224	   	211.77	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1MLV|2RCR|38LWND|4BEXP|5ASPD|6AART|7BELT|9DMG|aBASARM
96	21153 11363	   	211.69	ACR|1BASARM|2ASPD|1VULN|1AART	1MLV|2RCR|3VULN|4DUR|59ASPD|6TLV|7AEFBLL|8BASARM|aAART
97	21153 51363	   	211.69	ACR|1BASARM|2ASPD|1VULN|1AART	1MLV|2RCR|3VULN|4DUR|59ASPD|6ERES|7AEMAG|8BASARM|aAART
98	21142 22641	   	211.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1aMLV|2RCR|3VULN|4BEXP|5FEWX|6ASPD|7DUST|8BASARM|9DMG
99	21142 22642	   	211.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1MLV|2RCR|3VULN|4BEXP|5FEWX|6ASPD|7DUST|8BASARM|9DMG|aLWND
100	21142 22643	   	211.67	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1MLV|2RCR|3VULN|4BEXP|5FEWX|6ASPD|7DUST|8BASARM|9DMG|aDUR
101	51243 23224	   	211.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|38LWND|4BEXP|5ASPD|6AART|7BELT|9DMG|aBASARM
102	61243 23224	   	211.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1AME|2RCR|38LWND|4BEXP|5ASPD|6AART|7BELT|9DMG|aBASARM
103	51123 11363	   	211.59	ACR|1BASARM|2ASPD|1VULN|1AART	1ERES|2RCR|3VULN|4DUR|59ASPD|6TLV|7AEMAG|8BASARM|aAART
104	61153 11363	   	211.59	ACR|1BASARM|2ASPD|1VULN|1AART	1AME|2RCR|3VULN|4DUR|59ASPD|6TLV|7AEFBLL|8BASARM|aAART
105	51521 12321	   	211.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|3AART|4CGEN|5ASPD|6DMG|7BEXP|8MDPS|9BASARM|aRPLT
106	51521 12324	   	211.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|3AART|4CGEN|5ASPD|6DMG|7BEXP|8MDPS|9BASARM|aRMIN
107	51243 25313	   	211.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	19ERES|2RCR|3LWND|4BEXP|5ASPD|6AART|7RMIN|8BASARM|aDMG
108	21143 62523	 * 	211.54	ACR|2VULN|2ASPD|2BEXP|1DMG	17MLV|2RCR|36VULN|47BEXP|57ASPD|7BPWR|8BELT|9RCVC|aDMG
109	14541 42347	   	211.51	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8FEWX|9AART|aCDMG
110	51521 12322	   	211.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|3AART|4CGEN|5ASPD|6DMG|7BEXP|8MDPS|9BASARM|aAIRARM
111	51521 12323	   	211.47	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1ERES|2RCR|3AART|4CGEN|5ASPD|6DMG|7BEXP|8MDPS|9BASARM|aTLV
112	51521 12325	   	211.47	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|3AART|4CGEN|5ASPD|6DMG|7BEXP|8MDPS|9BASARM|aAIRHEL
113	21143 25141	 * 	211.31	ACR|2VULN|2BEXP|1ASPD|2CDMG|1AART	19MLV|2RCR|39VULN|47BEXP|5ASPD|6AART|89CDMG|9BPWR|aERES
114	21143 25142	   	211.31	ACR|2VULN|2BEXP|1ASPD|2CDMG|1AART	19MLV|2RCR|39VULN|47BEXP|5ASPD|6AART|89CDMG|9BPWR|aDUST
115	21143 25143	   	211.31	ACR|2VULN|2BEXP|1ASPD|2CDMG|1AART	19MLV|2RCR|39VULN|47BEXP|5ASPD|6AART|89CDMG|9BPWR|aAEMAG
116	21143 21146	 * 	210.96	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19MLV|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aRCVC
117	21143 62161	   	210.79	ACR|2VULN|2ASPD|2BEXP|1DMG	17MLV|2RCR|36VULN|47BEXP|57ASPD|7BPWR|8RMIN|9DMG|aZMB
118	21143 62162	   	210.79	ACR|2VULN|2ASPD|2BEXP|1DMG	17MLV|2RCR|36VULN|47BEXP|57ASPD|7BPWR|8RMIN|9DMG|aLWND
119	21143 62533	   	210.79	ACR|2VULN|2ASPD|2BEXP|1DMG	17MLV|2RCR|36VULN|47BEXP|57ASPD|7BPWR|8BELT|9FEWX|aDMG
120	21143 62163	   	210.69	ACR|2VULN|2ASPD|2BEXP|1DMG	17MLV|2RCR|36VULN|47BEXP|57ASPD|7BPWR|8RMIN|9DMG|aERES
121	21143 21141	   	210.54	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19MLV|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aERES
122	21143 21142	   	210.54	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19MLV|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aDUST
123	21143 21143	   	210.54	ACR|3VULN|1ASPD|2CDMG|1BEXP|1AART	19MLV|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aAEMAG
124	21143 21144	   	210.54	ACR|3VULN|1ASPD|2CDMG|1BEXP|1AART	19MLV|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aSPLARM
125	21143 21145	   	210.54	ACR|3VULN|1ASPD|2CDMG|1BEXP|1AART	19MLV|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aAME
126	51143 21142	   	210.44	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19ERES|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aMLV
127	51143 21143	   	210.44	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19ERES|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aLHND
128	21331 12242	   	210.38	ACR|1BASARM|2ASPD|2BEXP	1aMLV|2RCR|3MDPS|4CGEN|5aASPD|6MBVNT|7BASARM|8AEFBLL|9aBEXP|aBPWR
129	51143 21141	   	210.34	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19aERES|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR
130	61143 21141	   	210.34	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19AME|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aERES
131	61143 21142	   	210.34	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	19AME|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aDUST
132	61143 21143	   	210.34	ACR|3VULN|1ASPD|2CDMG|1BEXP|1AART	19AME|2RCR|379VULN|4BEXP|5ASPD|6AART|89CDMG|9BPWR|aAEMAG
133	21253 62623	 * 	210.33	ACR|2BASARM|2ASPD|1VULN	1aMLV|2RCR|3LWND|4aDUR|59ASPD|6VULN|7MDPS|8aBASARM|aBPWR
134	21143 25152	 * 	210.11	ACR|1VULN|2BEXP|2AART|1ASPD|1CDMG|1AAC	1MLV|2RCR|3VULN|47BEXP|5ASPD|6aAART|8CDMG|9AAC
135	14541 42564	   	210.09	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|68BEXP|7BASARM|9CGEN|aCDMG
136	14541 42581	   	210.09	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|68BEXP|7BASARM|9CDMG|aFEWX
137	14541 42583	   	210.09	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|68BEXP|7BASARM|9CDMG|aCGEN
138	14541 42684	   	210.09	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|69BEXP|7BASARM|8CGEN|aCDMG
139	14541 42882	   	210.09	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6aBEXP|7BASARM|8LWND|9CDMG
140	14541 42346	   	210.09	ACR|1BASARM|2VULN|1ASPD|1BEXP|1AART	1MBVNT|2LHND|3aVULN|4RCR|5ASPD|6BEXP|7BASARM|8FEWX|9AART
141	14541 42184	   	209.99	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|69BEXP|7BASARM|8AAC|aCDMG
142	14541 42282	   	209.99	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6aBEXP|7BASARM|8AEFBLL|9CDMG
143	14541 42574	   	209.99	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG	1MBVNT|2LHND|3VULN|4RCR|5ASPD|68BEXP|7BASARM|9AME|aCDMG
144	14541 42731	   	209.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AAC	1MBVNT|2LHND|3VULN|4RCR|5ASPD|6BEXP|7BASARM|8DMG|9SNITOX|aAAC
145	14541 42584	   	209.85	ACR|1BASARM|1VULN|2BEXP|1ASPD|1CDMG|1SELL	1MBVNT|2LHND|3VULN|4RCR|5ASPD|68BEXP|7BASARM|9CDMG|aSELL
146	14543 82721	 * 	209.45	ACR|3VULN|1BASARM|2DMG	1MBVNT|2LHND|39aVULN|4RCR|5FEWX|68DMG|7BASARM
147	21523 33226	 * 	209.27	ACR|1BASARM|2AART|1ASPD|1DMG	1MLV|2RCR|39AART|4LWND|5DUST|6DMG|7CGEN|8ASPD|aBASARM
148	21531 11226	   	209.27	ACR|1BASARM|2AART|1ASPD|1DMG	1MLV|2RCR|39AART|4CGEN|5ASPD|6DMG|7DUST|8DUR|aBASARM
149	21531 11526	   	209.27	ACR|1BASARM|2AART|1ASPD|1DMG	1MLV|2RCR|39AART|4CGEN|5ASPD|6DMG|7DUST|8LHND|aBASARM
150	51521 11226	   	209.17	ACR|1BASARM|2AART|1ASPD|1DMG	1ERES|2RCR|39AART|4CGEN|5ASPD|6DMG|7DUST|8DUR|aBASARM
