0	Index      	 *	Score 	Summary	Detail	
1	12111 11324	 * 	258.19	ACR|3ASPD|3DMG|3BEXP|1VULN|1SELL	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8SELL|aVULN
21	12131 33452	   	239.69	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|458ASPD|6AART|7LHND|9BASARM|aDUST
22	12131 33455	   	239.69	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|458ASPD|6AART|7LHND|9BASARM|aTLV
23	12131 41211	 * 	239.44	ACR|3ASPD|3BEXP|1VULN|1DMG|1AART	127BEXP|3RCR|457ASPD|6MBVNT|7BPWR|8VULN|9DMG|aAART
24	12131 43465	   	238.99	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|457ASPD|6MBVNT|8AART|9BASARM|aRCVC
25	12133 21234	   	238.68	ACR|1BASARM|3BEXP|1ASPD|1DMG|1AART	126BEXP|3RCR|4ASPD|5RCVC|7CGEN|8AART|9DMG|aBASARM
26	12111 11514	 * 	238.55	ACR|3BEXP|2ASPD|2DMG|2VULN	127BEXP|3RCR|4CGEN|57ASPD|67DMG|7BPWR|8RPLT|9aVULN
27	12131 43461	   	237.69	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|457ASPD|6MBVNT|8AART|9BASARM|aZMB
28	12131 43467	   	237.69	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|457ASPD|6MBVNT|8AART|9BASARM|aCGEN
29	12131 43468	   	237.69	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|457ASPD|6MBVNT|8AART|9BASARM|aDUR
30	12111 11612	   	237.66	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8aRMIN
31	12111 11613	   	237.66	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8RMIN|aRPLT
32	12131 43462	   	237.59	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|457ASPD|6MBVNT|8AART|9BASARM|aDUST
33	12131 43464	   	237.59	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|457ASPD|6MBVNT|8AART|9BASARM|aERES
34	12131 43466	   	237.59	ACR|3ASPD|1BASARM|2BEXP|1AART	12BEXP|3RCR|457ASPD|6MBVNT|8AART|9BASARM|aTLV
35	12111 11615	   	237.56	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8RMIN|aMDPS
36	12111 11616	   	237.56	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8RMIN|aMBVNT
37	12161 11612	   	237.46	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49AME|579ASPD|679DMG|79BPWR|8aRMIN
38	12161 11613	   	237.46	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49AME|579ASPD|679DMG|79BPWR|8RMIN|aRPLT
39	12111 11323	   	237.42	ACR|3ASPD|3DMG|3BEXP|1SELL	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8SELL|aLIT
40	12161 11615	   	237.36	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49AME|579ASPD|679DMG|79BPWR|8RMIN|aMDPS
41	12161 11616	   	237.36	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|49AME|579ASPD|679DMG|79BPWR|8RMIN|aMBVNT
42	12161 11632	   	237.36	ACR|3ASPD|3DMG|3BEXP	127BEXP|3RCR|4aAME|57aASPD|679DMG|7aBPWR|8RMIN
43	12111 11234	   	237.36	ACR|3DMG|3BEXP|2ASPD|1AART	127BEXP|3RCR|4CGEN|57ASPD|67aDMG|7BPWR|8TLV|9AART
44	12161 11434	   	237.36	ACR|3DMG|3BEXP|2ASPD|1AART	127BEXP|3RCR|4AME|57ASPD|67aDMG|7BPWR|8CGEN|9AART
45	12111 11321	   	237.32	ACR|3ASPD|3DMG|3BEXP|1SELL	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8SELL|aTLV
46	12111 11322	   	237.32	ACR|3ASPD|3DMG|3BEXP|1SELL	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8SELL|aAME
47	12111 11325	   	237.32	ACR|3ASPD|3DMG|3BEXP|1SELL	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8SELL|aERES
48	12111 11326	   	237.32	ACR|3ASPD|3DMG|3BEXP|1SELL	127BEXP|3RCR|49CGEN|579ASPD|679DMG|79BPWR|8SELL|aDUST
49	12161 11334	   	237.26	ACR|3DMG|3BEXP|2ASPD|1AART	127BEXP|3RCR|4AME|57ASPD|67aDMG|7BPWR|8TLV|9AART
50	12161 11534	   	237.26	ACR|3DMG|3BEXP|2ASPD|1AART	127BEXP|3RCR|4AME|57ASPD|67aDMG|7BPWR|8ERES|9AART
51	12111 11545	   	236.46	ACR|3ASPD|3BEXP|2DMG|1AART	127BEXP|3RCR|4CGEN|579ASPD|67DMG|7BPWR|8RPLT|aAART
52	12131 44574	   	235.68	ACR|1BASARM|2ASPD|2BEXP|1AART|1CDMG	12BEXP|3RCR|45ASPD|6MBVNT|7BELT|8AART|9BASARM|aCDMG
53	12131 31244	   	235.20	ACR|1BASARM|3BEXP|2ASPD|1AART	128BEXP|3RCR|45ASPD|6AART|7AME|9NUKE|aBASARM
54	12144 22533	 * 	233.78	ACR|2VULN|1BASARM|2DMG|2BEXP	12BEXP|3RCR|46VULN|57DMG|8MLV|9MDPS|aBASARM
55	12131 21244	   	233.30	ACR|1BASARM|3BEXP|2ASPD|1AART	126BEXP|3RCR|45ASPD|7CGEN|8AART|9NUKE|aBASARM
56	12111 11515	   	233.23	ACR|3BEXP|2ASPD|2DMG|1VULN	127BEXP|3RCR|4CGEN|57ASPD|67DMG|7BPWR|8RPLT|9VULN|aAAC
57	12111 11421	   	233.23	ACR|3BEXP|2ASPD|2DMG|1VULN	127BEXP|3RCR|48CGEN|57ASPD|67DMG|7BPWR|9AAC|aVULN
58	12131 25233	   	233.09	ACR|3BEXP|2ASPD|1DMG|1VULN|1AART	126BEXP|3RCR|45ASPD|7AAC|8AART|9DMG|aVULN
59	12161 11221	   	233.03	ACR|3BEXP|2ASPD|2DMG|1VULN	127BEXP|3RCR|4AME|57ASPD|67DMG|7BPWR|8AEMAG|9AAC|aVULN
60	12131 36112	 * 	232.17	ACR|3ASPD|2BEXP|1DMG|1VULN|1AART	12BEXP|3RCR|459ASPD|6AART|7DMG|8LWND|aVULN
61	12131 36212	   	232.17	ACR|3ASPD|2BEXP|1DMG|1VULN|1AART	12BEXP|3RCR|459ASPD|6AART|7DMG|8FEWX|aVULN
62	22534 31251	   	231.39	ACR|3ASPD|1BASARM|2BEXP|1AART	17FEWX|27BEXP|3RCVC|467ASPD|5RCR|7BPWR|8AART|9BASARM|aZMB
63	13131 36441	   	231.37	ACR|3ASPD|2BEXP|2CDMG|1DMG|1AART	1aBEXP|2AEFBLL|3RCR|45aASPD|6AART|7DMG|8ERES|9aCDMG|aBPWR
64	22534 31252	   	231.29	ACR|3ASPD|1BASARM|2BEXP|1AART	17FEWX|27BEXP|3RCVC|467ASPD|5RCR|7BPWR|8AART|9BASARM|aDUST
65	12131 41217	   	231.09	ACR|3ASPD|3BEXP|1VULN|1DMG	127BEXP|3RCR|457ASPD|6MBVNT|7BPWR|8VULN|9DMG|aAAC
66	66131 21313	   	230.17	ACR|3ASPD|2BEXP|1DMG|1VULN|1AART	17AEFBLL|2LWND|3RCR|457ASPD|67BEXP|7BPWR|8AART|9DMG|aVULN
67	12111 11632	   	230.12	ACR|3DMG|3BEXP|2ASPD	127BEXP|3RCR|4CGEN|57ASPD|679DMG|7BPWR|8RMIN|aAAC
68	13131 41313	   	230.07	ACR|3ASPD|2BEXP|1DMG|1VULN|1AART	17BEXP|27AEFBLL|3RCR|457ASPD|6MBVNT|7BPWR|8AART|9DMG|aVULN
69	65131 41313	   	230.07	ACR|3ASPD|2BEXP|1DMG|1VULN|1AART	17AEFBLL|27BEXP|3RCR|457ASPD|6MBVNT|7BPWR|8AART|9DMG|aVULN
70	12131 36442	   	230.07	ACR|2ASPD|2BEXP|1DMG|1VULN|1AART|1CDMG	12BEXP|3RCR|45ASPD|6AART|7DMG|8ERES|9CDMG|aVULN
71	12134 44113	   	229.92	ACR|3ASPD|3BEXP|2DMG	127BEXP|3RCR|478ASPD|5MDPS|67DMG|7BPWR|9ERES|aAAC
72	12133 36441	   	229.89	ACR|3BEXP|2ASPD|1DMG|2CDMG|1AART	12aBEXP|3RCR|4aASPD|5RCVC|6AART|7DMG|8ERES|9aCDMG|aBPWR
