0	Index      	 *	Score 	Summary	Detail	
1	64343 13231	 * 	269.93	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	1LIT|2BEXP|3MLV|4CGEN|5ASPD|68aVULN|7RCR|9CDMG
27	61523 13532	   	252.91	DCR|2LIT|1FLTARM|1VULN|1MLV|1DUR	16LIT|2RCVC|3ERES|4CGEN|5VULN|7MLV|8RCR|9FLTARM|aDUR
28	64323 33143	 * 	251.84	DCR|1LIT|2VULN|1MLV|2ASPD	1LIT|26BEXP|3MLV|4ZMB|56ASPD|6BPWR|7RMIN|8RCR|9aVULN
29	61323 11251	   	251.61	DCR|2LIT|2VULN|1MLV|1ASPD	16LIT|2RCVC|3MLV|4CGEN|59VULN|7ASPD|8LHND|aRCR
30	61321 11251	   	251.51	DCR|2LIT|2VULN|1MLV|1ASPD	16LIT|2RCVC|3MLV|4CGEN|5DUST|7ASPD|89VULN|aRCR
31	61323 11151	   	251.51	DCR|2LIT|2VULN|1MLV|1ASPD	16LIT|2RCVC|3MLV|4CGEN|59VULN|7ASPD|8DUST|aRCR
32	65432 33213	   	250.67	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1aLIT|2BASICY|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9LWND
33	66432 33213	   	250.67	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1aLIT|2MULARM|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9LWND
34	62332 33233	   	250.30	DCR|2LIT|2VULN|1MLV	19LIT|2FEWX|3LWND|4CGEN|5ZMB|6MLV|7RCR|8aVULN
35	63132 33233	   	250.30	DCR|2LIT|2VULN|1MLV	19LIT|2LWND|3BEXP|4CGEN|5ZMB|6MLV|7RCR|8aVULN
36	63632 33233	   	250.20	DCR|2LIT|2VULN|1MLV|1DUR	19LIT|2LWND|3DUR|4CGEN|5ZMB|6MLV|7RCR|8aVULN
37	64323 13353	   	249.94	DCR|1LIT|2VULN|1MLV|2ASPD	1LIT|2BEXP|3MLV|4ZMB|58ASPD|6aVULN|7TLV|9RCR
38	11162 21551	 * 	249.73	DCR|3VULN|1LIT|2DMG	1LWND|2ZMB|3CGEN|469VULN|58DMG|7LIT|aRCR
39	62425 33132	   	248.99	DCR|1LIT|2VULN|1MLV|1DMG|2ZMB	1LIT|2FEWX|3RCVC|49ZMB|5DMG|67VULN|8RCR|aMLV
40	64125 33132	   	248.99	DCR|1LIT|2VULN|1MLV|1DMG|2ZMB	1LIT|23BEXP|49ZMB|5DMG|67VULN|8RCR|aMLV
41	33361 21433	   	247.96	DCR|4VULN|1MLV|1DMG	14DUST|25LHND|356aVULN|5BPWR|7RCR|8DMG|9MLV
42	33363 21433	   	247.86	DCR|4VULN|1MLV|1DMG	14DUST|2LHND|356aVULN|7RCR|8DMG|9MLV
43	64343 13131	   	247.79	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1LIT|2BEXP|3MLV|4CGEN|5ASPD|6aVULN|7RCR|8RCVC|9CDMG
44	64343 13232	   	247.79	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1LIT|2BEXP|3MLV|4CGEN|5ASPD|68VULN|7RCR|9CDMG|aLHND
45	64263 13233	   	247.79	DCR|1LIT|2VULN|1MLV|1CDMG|1ASPD	1LIT|2BEXP|3CGEN|4TLV|5ASPD|68VULN|7RCR|9CDMG|aMLV
46	61321 53513	 * 	247.49	DCR|1LIT|3DMG|1VULN|1MLV	1LIT|2RCVC|3MLV|4CGEN|5DUST|689DMG|7RCR|aVULN
47	21162 31552	   	247.19	DCR|1LIT|2VULN|1MLV|1DMG|2ZMB	1FEWX|2aZMB|3CGEN|45VULN|6MLV|7LIT|8DMG|9RCR
48	51222 35413	   	247.15	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1SELL	1CGEN|2SELL|3VULN|4CDMG|58DMG|6RCR|7MLV|9FEWX|aLIT
49	31162 31552	   	247.09	DCR|1LIT|2VULN|1MLV|1DMG|2ZMB	1DUST|2aZMB|3CGEN|45VULN|6MLV|7LIT|8DMG|9RCR
50	62351 13231	 * 	247.06	DCR|2LIT|3VULN|1CDMG	15LIT|2FEWX|3LWND|4RMIN|68aVULN|7RCR|9CDMG
51	62351 13263	   	247.06	DCR|2LIT|3VULN|1ASPD	15LIT|2FEWX|3LWND|4RMIN|68aVULN|7RCR|9ASPD
52	51222 31516	   	246.96	DCR|1LIT|3DMG|1VULN|1AART|1CDMG|1SELL	1CGEN|2SELL|3VULN|4CDMG|589DMG|6RCR|7LIT|aAART
53	21343 31342	 * 	246.83	ACR|3VULN|1LIT|1MLV|1DMG	16FEWX|2ZMB|3RCR|459VULN|7LIT|8DMG|aMLV
54	31343 42523	   	246.73	ACR|3VULN|1LIT|1MLV|1DMG	1DUST|2ZMB|3RCR|459VULN|6DMG|7FEWX|8MLV|aLIT
55	61321 36316	 * 	246.04	DCR|2LIT|2MLV|2VULN	18LIT|2RCVC|38MLV|4CGEN|5DUST|6AART|78VULN|8BPWR|9BEXP|aRCR
56	21343 16413	 * 	245.94	ACR|4VULN|1LIT|1MLV	1FEWX|2ZMB|3RCR|458aVULN|6LHND|7MLV|9LIT
57	51222 31652	   	245.81	DCR|3VULN|1LIT|1DMG|1CDMG|1SELL	1CGEN|2SELL|39aVULN|4CDMG|5DMG|6RCR|7LIT|8RCVC
58	51222 32344	   	245.71	DCR|3VULN|1LIT|1DMG|1CDMG|1SELL	1CGEN|2SELL|39aVULN|4CDMG|5DMG|6RCR|7ERES|8LIT
59	62333 53633	   	245.16	DCR|2LIT|2VULN|1MLV	19LIT|2FEWX|3LWND|4CGEN|5RMIN|6RCR|7aVULN|8MLV
60	63133 53233	   	245.16	DCR|2LIT|2VULN|1MLV	19LIT|2LWND|3BEXP|4CGEN|5RMIN|6RCR|7MLV|8aVULN
61	63633 53233	   	245.06	DCR|2LIT|2VULN|1MLV|1DUR	19LIT|2LWND|3DUR|4CGEN|5RMIN|6RCR|7MLV|8aVULN
62	51222 31535	   	244.95	DCR|1LIT|2DMG|1VULN|1AART|1ASPD|1CDMG|1SELL	1CGEN|2SELL|3VULN|4CDMG|58DMG|6RCR|7LIT|9ASPD|aAART
63	61211 16151	   	244.80	DCR|2LIT|2VULN|1MLV|1DUR	16LIT|2RCVC|3CGEN|4DUR|5MLV|79VULN|8ZMB|aRCR
64	61323 14151	   	244.80	DCR|2LIT|2VULN|1MLV|1DUR	16LIT|2RCVC|3MLV|4CGEN|59VULN|7DUR|8ZMB|aRCR
65	61323 16151	   	244.80	DCR|2LIT|2VULN|1MLV	16LIT|2RCVC|3MLV|4CGEN|59VULN|7DUST|8ZMB|aRCR
66	64333 31141	   	244.80	DCR|1LIT|2VULN|1MLV|2ASPD	1LIT|2BEXP|3MLV|45ASPD|69VULN|7RCVC|8RCR|aCGEN
67	64333 31142	 * 	244.80	DCR|2MLV|1LIT|2VULN|2ASPD	1LIT|2BEXP|3aMLV|45ASPD|69VULN|7RCVC|8RCR
68	64333 31143	   	244.80	DCR|1LIT|2VULN|1MLV|2ASPD	1LIT|2BEXP|3MLV|45ASPD|69VULN|7aRCVC|8RCR
69	64333 31123	   	244.70	DCR|1LIT|2VULN|1MLV|2ASPD	1LIT|2BEXP|3MLV|45ASPD|6aVULN|7RCVC|8RCR|9MBVNT
70	64333 36123	   	244.70	DCR|1LIT|2VULN|1MLV|2ASPD	1LIT|27BEXP|3MLV|45ASPD|6aVULN|8RCR|9MBVNT
71	62131 13233	   	244.46	DCR|2LIT|1VULN|1MLV|1CDMG|1ASPD	15LIT|2FEWX|3BEXP|4CGEN|6VULN|7RCR|8CDMG|9MLV|aASPD
72	62141 13233	   	244.36	DCR|2LIT|1VULN|1MLV|1ASPD|1CDMG	15LIT|2FEWX|3BEXP|4ERES|6VULN|7RCR|8CDMG|9MLV|aASPD
73	65432 33222	 * 	244.29	DCR|2MLV|1LIT|1VULN|1DMG|1CDMG|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6aMLV|7RCR|8VULN|9CDMG
74	66432 33222	   	244.29	DCR|2MLV|1LIT|1VULN|1DMG|1CDMG|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6aMLV|7RCR|8VULN|9CDMG
75	61424 13231	   	244.15	DCR|3VULN|1LIT|1DMG|1CDMG	1LIT|2RCVC|3DUST|4DMG|5LHND|68aVULN|7RCR|9CDMG
76	64332 12611	   	244.09	DCR|1LIT|2VULN|1MLV|1ASPD|1CDMG	1LIT|2BEXP|3MLV|4ASPD|5ERES|6aVULN|7AART|8CDMG|9RCR
77	31162 31351	   	243.97	DCR|3VULN|1LIT|1MLV	18DUST|2ZMB|3CGEN|459VULN|6MLV|7LIT|aRCR
78	65432 33242	   	243.95	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9ERES|aAART
79	66432 33242	   	243.95	DCR|1LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9ERES|aAART
80	21162 31551	   	243.90	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2ZMB|3aCGEN|45VULN|6MLV|7LIT|8DMG|9RCR
81	21162 31553	   	243.90	DCR|1LIT|2VULN|1MLV|1DMG	1FEWX|2ZMB|3CGEN|45VULN|6MLV|7LIT|8DMG|9RCR|aBEXP
82	31162 31551	   	243.80	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2ZMB|3aCGEN|45VULN|6MLV|7LIT|8DMG|9RCR
83	31162 31553	   	243.80	DCR|1LIT|2VULN|1MLV|1DMG	1DUST|2ZMB|3CGEN|45VULN|6MLV|7LIT|8DMG|9RCR|aBEXP
84	62131 13413	   	243.36	DCR|2LIT|2VULN|1MLV	15LIT|2FEWX|3BEXP|4CGEN|6aVULN|7RCR|8MLV|9RMIN
85	62333 33233	   	243.36	DCR|2LIT|2VULN|1MLV	19LIT|2FEWX|3LWND|4CGEN|5RMIN|6MLV|7RCR|8aVULN
86	62131 13423	   	243.26	DCR|2LIT|2VULN|1MLV	15LIT|2FEWX|3BEXP|4CGEN|6aVULN|7RCR|8MLV|9NUKE
87	62131 13536	   	243.26	DCR|2LIT|2VULN|1MLV	15LIT|2FEWX|3BEXP|4CGEN|6aVULN|7RCR|8DLOT|9MLV
88	62141 13433	   	243.26	DCR|2LIT|2VULN|1MLV	15LIT|2FEWX|3BEXP|4ERES|6aVULN|7RCR|8MLV|9RCVC
89	51224 32433	   	243.11	DCR|1LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG|1SELL	1CGEN|2SELL|3VULN|4CDMG|5ASPD|6RCR|7ERES|8DMG|9MLV|aLIT
90	23331 21433	   	242.64	DCR|3VULN|1MLV|1DMG|1CDMG	14FEWX|25LHND|356VULN|5BPWR|7RCR|8DMG|9CDMG|aMLV
91	23333 21433	   	242.54	DCR|3VULN|1MLV|1DMG|1CDMG	14FEWX|2LHND|356VULN|7RCR|8DMG|9CDMG|aMLV
92	62435 33122	   	242.45	DCR|3VULN|1LIT|1DMG|1ASPD	1LIT|2FEWX|3RCVC|4ASPD|5DMG|67aVULN|8RCR|9RPLT
93	64135 33122	   	242.45	DCR|3VULN|1LIT|1DMG|1ASPD	1LIT|23BEXP|4ASPD|5DMG|67aVULN|8RCR|9RPLT
94	62435 33133	   	242.35	DCR|3VULN|1LIT|1DMG|1ASPD	1LIT|2FEWX|3RCVC|4ASPD|5DMG|67aVULN|8RCR|9DUST
95	64135 33133	   	242.35	DCR|3VULN|1LIT|1DMG|1ASPD	1LIT|23BEXP|4ASPD|5DMG|67aVULN|8RCR|9DUST
96	21352 36212	 * 	242.35	ACR|2LIT|2DMG|1VULN|1MLV|2ZMB	14FEWX|26ZMB|3RCR|56LIT|6BPWR|79DMG|8MLV|aVULN
97	11151 13323	   	241.61	DCR|2LIT|1FLTARM|1VULN|1CDMG	1LWND|2ZMB|3CGEN|4FLTARM|5TLV|6CDMG|7VULN|8RCR|9aLIT
98	63131 12536	   	241.56	DCR|2LIT|2VULN|1MLV	15LIT|2LWND|3BEXP|4CGEN|6aVULN|7AART|8RCR|9MLV
99	11156 13323	   	241.51	DCR|2LIT|1FLTARM|1VULN|1CDMG	1LWND|2ZMB|3CGEN|4FLTARM|5NUKE|6CDMG|7VULN|8RCR|9aLIT
100	31151 13323	   	241.51	DCR|2LIT|1FLTARM|1VULN|1CDMG	1DUST|2ZMB|3CGEN|4FLTARM|5TLV|6CDMG|7VULN|8RCR|9aLIT
101	65432 13222	   	241.45	DCR|1LIT|1MLV|1VULN|1DMG|1CDMG|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6TLV|7RCR|8VULN|9CDMG|aMLV
102	65432 33214	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9LWND|aCDMG
103	65432 33221	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9CDMG|aCGEN
104	65432 33224	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9CDMG|aLWND
105	66432 13222	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6TLV|7RCR|8VULN|9CDMG|aMLV
106	66432 33214	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9LWND|aCDMG
107	66432 33221	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9CDMG|aCGEN
108	66432 33224	   	241.45	DCR|1LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8VULN|9CDMG|aLWND
109	31156 13323	   	241.41	DCR|2LIT|1FLTARM|1VULN|1CDMG	1DUST|2ZMB|3CGEN|4FLTARM|5NUKE|6CDMG|7VULN|8RCR|9aLIT
110	64333 12141	 * 	241.36	DCR|2LIT|1VULN|1MLV|2ASPD	16LIT|2BEXP|3MLV|45ASPD|7DUST|8RCR|9VULN|aCGEN
111	64333 12143	   	241.36	DCR|2LIT|1VULN|1MLV|2ASPD	16LIT|2BEXP|3MLV|45ASPD|7DUST|8RCR|9VULN|aFEWX
112	64333 26123	   	241.36	DCR|2LIT|1VULN|1MLV|2ASPD	17LIT|27BEXP|3MLV|45ASPD|67DUST|7BPWR|8RCR|9MBVNT|aVULN
113	64333 31115	   	241.36	DCR|2LIT|1VULN|1MLV|2ASPD	1aLIT|2BEXP|3MLV|45ASPD|6VULN|7RCVC|8RCR|9SPLREG
114	64333 12123	   	241.26	DCR|2LIT|1VULN|1MLV|2ASPD	16LIT|2BEXP|3MLV|45ASPD|7DUST|8RCR|9MBVNT|aVULN
115	64333 12142	   	241.26	DCR|2LIT|1VULN|1MLV|2ASPD	16LIT|2BEXP|3MLV|45ASPD|7aDUST|8RCR|9VULN
116	64333 14123	   	241.26	DCR|2LIT|1VULN|1MLV|2ASPD|1DUR	16LIT|2BEXP|3MLV|45ASPD|7DUR|8RCR|9MBVNT|aVULN
117	51222 31551	   	241.26	DCR|1LIT|2VULN|2DMG|1CDMG|1SELL	1CGEN|2SELL|39VULN|4CDMG|58DMG|6RCR|7LIT|aRMIN
118	51222 31553	   	241.26	DCR|1LIT|2VULN|2DMG|1CDMG|1SELL	1CGEN|2SELL|39VULN|4CDMG|58DMG|6RCR|7LIT|aBEXP
119	51222 31612	   	241.26	DCR|1LIT|2VULN|2DMG|1CDMG|1SELL	1CGEN|2SELL|3aVULN|4CDMG|59DMG|6RCR|7LIT|8RCVC
120	22266 31511	   	241.19	DCR|2LIT|2VULN|1DMG|1CDMG	1FEWX|2DLOT|3DMG|48LIT|5DUST|6aVULN|7CDMG|9RCR
121	21343 31641	 * 	241.15	ACR|2LIT|2VULN|1MLV|1CDMG	16FEWX|2ZMB|3RCR|45VULN|7aLIT|8CDMG|9MLV
122	64333 31351	   	241.10	DCR|1LIT|2VULN|1MLV|2ASPD	1LIT|2BEXP|3MLV|45ASPD|69VULN|7RCVC|8ERES|aRCR
123	21113 13232	   	241.08	DCR|1LIT|2VULN|1MLV|1CDMG	1FEWX|2ZMB|3CGEN|4RMIN|5LIT|6aVULN|7RCR|8CDMG|9MLV
124	24333 13232	   	241.08	DCR|1LIT|2VULN|1MLV|1CDMG	1FEWX|2RMIN|3ZMB|4CGEN|5LIT|6aVULN|7RCR|8CDMG|9MLV
125	11113 13233	   	241.08	DCR|1LIT|2VULN|1MLV|1CDMG	1LWND|2ZMB|3CGEN|4RMIN|5LIT|68VULN|7RCR|9CDMG|aMLV
126	64343 13212	   	241.08	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4CGEN|5ASPD|68VULN|7RCR|9RCVC|aZMB
127	31333 52532	   	241.05	ACR|2LIT|2VULN|1MLV|1CDMG	1DUST|2ZMB|3RCR|4LHND|5aVULN|6CDMG|78LIT|9MLV
128	64322 13163	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ZMB|5ERES|6aVULN|7RCR|8RCVC|9ASPD
129	64322 13215	   	240.98	DCR|1LIT|2VULN|1MLV|1CDMG	1LIT|2BEXP|3MLV|4ZMB|5ERES|68VULN|7RCR|9RCVC|aCDMG
130	64322 13261	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ZMB|5ERES|68VULN|7RCR|9ASPD|aCGEN
131	64332 13163	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ASPD|5ERES|6aVULN|7RCR|8RCVC|9ZMB
132	64332 13212	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ASPD|5ERES|68VULN|7RCR|9RCVC|aZMB
133	64332 13261	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ASPD|5ERES|68VULN|7RCR|9ZMB|aCGEN
134	64343 13222	   	240.98	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4CGEN|5ASPD|68VULN|7RCR|9ERES|aZMB
135	31342 22632	   	240.95	ACR|2LIT|2VULN|1MLV|1CDMG	1DUST|2ZMB|3RCR|4aVULN|5CDMG|6MBVNT|78LIT|9MLV
136	31342 62532	   	240.95	ACR|2LIT|2VULN|1MLV|1CDMG	1DUST|2ZMB|3RCR|4aVULN|5CDMG|6LEGI|78LIT|9MLV
137	31342 22134	   	240.95	ACR|2LIT|2VULN|1MLV|1CDMG	1DUST|2ZMB|3RCR|48VULN|5CDMG|6MBVNT|7aLIT|9MLV
138	24361 21413	   	240.94	DCR|3VULN|1LIT|1DMG|2ZMB	1FEWX|2RMIN|35ZMB|456VULN|5BPWR|7RCR|8DMG|9LWND|aLIT
139	64322 13225	   	240.88	DCR|1LIT|2VULN|1MLV|1CDMG	1LIT|2BEXP|3MLV|4ZMB|59ERES|68VULN|7RCR|aCDMG
140	64322 13262	   	240.88	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ZMB|5ERES|68VULN|7RCR|9ASPD|aDUST
141	64322 13363	   	240.88	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ZMB|58ERES|6aVULN|7RCR|9ASPD
142	64332 13222	   	240.88	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ASPD|59ERES|68VULN|7RCR|aZMB
143	64332 13262	   	240.88	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ASPD|5ERES|68VULN|7RCR|9ZMB|aDUST
144	64332 13363	   	240.88	DCR|1LIT|2VULN|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ASPD|58ERES|6aVULN|7RCR|9ZMB
145	34361 21413	   	240.84	DCR|3VULN|1LIT|1DMG|2ZMB	1DUST|2RMIN|35ZMB|456VULN|5BPWR|7RCR|8DMG|9LWND|aLIT
146	34361 21423	   	240.84	DCR|3VULN|1LIT|1DMG|2ZMB	1DUST|2RMIN|35ZMB|456VULN|5BPWR|7RCR|8DMG|9FEWX|aLIT
147	61323 32552	   	240.83	DCR|3VULN|1LIT|1MLV	1LIT|27RCVC|3MLV|4CGEN|59aVULN|6TLV|8RCR
148	23331 31553	   	240.75	DCR|3VULN|1LIT|1DMG|1ASPD	14FEWX|25LHND|35aVULN|5BPWR|6ASPD|7LIT|8DMG|9RCR
149	26331 31553	   	240.75	DCR|3VULN|1LIT|1DMG|1ASPD	14FEWX|25BEXP|35aVULN|5BPWR|6ASPD|7LIT|8DMG|9RCR
150	11333 26461	   	240.68	DCR|1LIT|1FLTARM|1VULN|1MLV|1DUR	1LWND|2ZMB|3BEXP|4DUR|5VULN|6RCR|7AART|8LIT|9MLV|aFLTARM
151	21233 26461	   	240.68	DCR|1LIT|1FLTARM|1VULN|1MLV|1DUR	1FEWX|2ZMB|3DUR|4LHND|5VULN|6RCR|7AART|8LIT|9MLV|aFLTARM
152	23333 31553	   	240.65	DCR|3VULN|1LIT|1DMG|1ASPD	14FEWX|2LHND|35aVULN|6ASPD|7LIT|8DMG|9RCR
153	31233 26461	   	240.58	DCR|1LIT|1FLTARM|1VULN|1MLV|1DUR	1DUST|2ZMB|3DUR|4LHND|5VULN|6RCR|7AART|8LIT|9MLV|aFLTARM
154	62335 33213	   	240.56	DCR|1LIT|2VULN|1MLV|1DMG	1LIT|2FEWX|39LWND|4CGEN|5DMG|6MLV|7RCR|8aVULN
155	62335 33223	   	240.56	DCR|1LIT|2VULN|1MLV|1DMG	1LIT|2FEWX|3LWND|4CGEN|5DMG|6MLV|7RCR|8aVULN|9DMSP
156	62335 33261	   	240.56	DCR|1LIT|2VULN|1MLV|1DMG	1LIT|2FEWX|3LWND|4CGEN|5DMG|6MLV|7RCR|8aVULN|9BEXP
157	62335 33341	   	240.56	DCR|1LIT|2VULN|1MLV|1DMG	1LIT|2FEWX|3LWND|4CGEN|5DMG|6MLV|7RCR|8LHND|9aVULN
158	33361 31553	   	240.55	DCR|3VULN|1LIT|1DMG|1ASPD	14DUST|25LHND|35aVULN|5BPWR|6ASPD|7LIT|8DMG|9RCR
159	61331 53343	   	240.46	DCR|1LIT|2VULN|1MLV|1DMG	1LIT|2RCVC|3MLV|4FEWX|5TLV|6DMG|7RCR|8NUKE|9aVULN
