0	Index      	 *	Score 	Summary	Detail	
1	64261 22321	 * 	358.44	DCR|3VULN|1MDPS|1CDMG|1DUR|1MSE	1CDMG|23aVULN|4BELT|5DUR|6DMSP|7RCR|8MSE|9MDPS
19	36251 31335	   	344.22	ACR|DCR|1MDPS|1VULN|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aCANARM
20	36251 31336	   	344.22	ACR|DCR|1MDPS|1VULN|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aAME
21	36251 31337	   	344.22	ACR|DCR|1MDPS|1VULN|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aDUST
22	36251 31338	 * 	344.22	ACR|DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aCDMG
23	32623 13436	 * 	343.63	DCR|1MDPS|1VULN|2CDMG|2DUR|1AART	18ZMB|28CDMG|3AEFBLL|4AART|5FEWX|68DUR|7RCR|8BPWR|9VULN|aMDPS
24	11313 13514	 * 	343.60	DCR|2VULN|1MDPS|2DUR	17AEWIND|2SPLARM|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9LWND|aMDPS
25	11313 13554	   	343.60	DCR|2VULN|1MDPS|2DUR	17AEWIND|2SPLARM|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9FEWX|aMDPS
26	11313 13564	   	343.60	DCR|2VULN|1MDPS|2DUR	17AEWIND|2SPLARM|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9BEXP|aMDPS
27	15313 13514	   	343.60	DCR|2VULN|1MDPS|2DUR	17AEWIND|2AIRBOS|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9LWND|aMDPS
28	51313 13514	   	343.60	DCR|2VULN|1MDPS|2DUR	17AEFRZ|2SPLARM|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9LWND|aMDPS
29	11313 13524	   	343.50	DCR|2VULN|1MDPS|2DUR|1MSE	17AEWIND|2SPLARM|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9MSE|aMDPS
30	15313 13524	   	343.50	DCR|2VULN|1MDPS|2DUR|1MSE	17AEWIND|2AIRBOS|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9MSE|aMDPS
31	51313 13524	   	343.50	DCR|2VULN|1MDPS|2DUR|1MSE	17AEFRZ|2SPLARM|37VULN|4RMIN|57DUR|6AAC|7BPWR|8RCR|9MSE|aMDPS
32	64322 21612	 * 	341.55	4VULN|1MDPS|1CDMG|1DUR	1CDMG|2456VULN|36ZMB|6BPWR|7RAT|8DUR|9AEFRZ|aMDPS
33	64322 21621	 * 	341.55	5VULN|1MDPS|1CDMG|1DUR	1CDMG|2456aVULN|36ZMB|6BPWR|7RAT|8DUR|9MDPS
34	64322 21622	   	341.55	4VULN|1MDPS|1CDMG|1DUR	1CDMG|2456VULN|36ZMB|6BPWR|7RAT|8DUR|9MDPS|aMLV
35	64322 21623	   	341.55	4VULN|1MDPS|1CDMG|1DUR	1CDMG|2456VULN|36ZMB|6BPWR|7RAT|8DUR|9MDPS|aLHND
36	63122 61631	 * 	339.99	3VULN|1MDPS|3CDMG|2DUR	139CDMG|2AEBURN|479VULN|5RAT|6LHND|89DUR|9BPWR|aMDPS
37	63322 61631	   	339.99	3VULN|1MDPS|3CDMG|2DUR	139CDMG|23AEBURN|39BPWR|479VULN|5RAT|6LHND|89DUR|aMDPS
38	64213 11113	 * 	339.18	2MDPS|2VULN|1CDMG|1DUR	1CDMG|23VULN|4ERES|5RAT|6DUR|7MLV|8aMDPS|9RPLT
39	45333 25231	 * 	339.09	DCR|3VULN|2DMG|1TLV|1DUR	157VULN|25DMG|3RCVC|4RMIN|5BPWR|6TLV|8DUR|9RCR|aLWND
40	45333 25233	   	339.09	DCR|3VULN|2DMG|1TLV|1DUR	157VULN|25DMG|3RCVC|4aRMIN|5BPWR|6TLV|8DUR|9RCR
41	45333 25232	   	338.99	DCR|3VULN|2DMG|1TLV|1DUR	157VULN|25DMG|3RCVC|4RMIN|5BPWR|6TLV|8DUR|9RCR|aLEGI
42	45311 51132	   	338.59	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR|1AART	1VULN|2DMG|3RCVC|4LWND|5ERES|6RCR|7DUR|8AART|9CDMG|aMDPS
43	42114 51132	   	338.49	DCR|1MDPS|1VULN|1CDMG|1DMG|1DUR|1AART	1VULN|23ERES|4LWND|5DMG|6RCR|7DUR|8AART|9CDMG|aMDPS
44	61362 26211	   	337.39	DCR|1MDPS|1VULN|2CDMG|1DMG|1DUR	13CDMG|2LWND|4BELT|5VULN|6DUR|7RCR|8DMG|9MBVNT|aMDPS
45	43212 63114	   	331.14	DCR|2VULN|1MDPS|1DUR	18VULN|2CGEN|3DUST|4LWND|5LIT|6MLV|7DUR|9RCR|aMDPS
46	41313 61324	   	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1VULN|2RPLT|3CGEN|4MLV|5CDMG|6BBNT|7DUR|8TLV|9RCR|aMDPS
47	12523 32414	   	331.04	DCR|2VULN|1MDPS|1DUR	1AEWIND|2FEWX|3DUR|47VULN|5AETHUN|6BEXP|8LIT|9RCR|aMDPS
48	12521 51114	   	331.04	DCR|2VULN|1MDPS|1DUR	1AEWIND|2FEWX|3DUR|48VULN|5LIT|6LWND|7DUST|9RCR|aMDPS
49	42211 61114	   	331.04	DCR|2VULN|1MDPS|1DUR	18VULN|2ERES|3DUR|4LWND|5BOSS|6CGEN|7DUST|9RCR|aMDPS
50	42212 61114	   	331.04	DCR|2VULN|1MDPS|1DUR	18VULN|2ERES|3DUR|4LWND|5LIT|6MLV|7DUST|9RCR|aMDPS
51	43131 51114	   	331.04	DCR|2VULN|1MDPS|1DUR	18VULN|2CGEN|3ERES|4DUR|5LIT|6LWND|7DUST|9RCR|aMDPS
52	11336 33514	   	330.84	DCR|2VULN|1MDPS|1DUR	17AEWIND|2SPLARM|37VULN|4DUST|5DUR|67AEBURN|7BPWR|8RCR|9LWND|aMDPS
53	32222 51166	   	330.84	DCR|1MDPS|1VULN|1CDMG|2DUR|1AART|1SELL	1ZMB|2CDMG|3SELL|4VULN|5LWND|6RCR|79DUR|8AART|aMDPS
54	46261 22321	 * 	330.80	DCR|3VULN|1MDPS|1DUR|1SELL|1MSE	13aVULN|2SELL|4BELT|5DUR|6DMSP|7RCR|8MSE|9MDPS
55	46261 22322	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL|1MSE	13VULN|2SELL|4BELT|5DUR|6DMSP|7RCR|8MSE|9MDPS|aLHND
56	46261 22323	   	330.80	DCR|2VULN|1MDPS|1DUR|1SELL|1MSE	13VULN|2SELL|4BELT|5DUR|6DMSP|7RCR|8MSE|9MDPS|aBEXP
57	11336 33524	   	330.74	DCR|2VULN|1MDPS|1DUR|1MSE	17AEWIND|2SPLARM|37VULN|4DUST|5DUR|67AEBURN|7BPWR|8RCR|9MSE|aMDPS
