0	Index      	 *	Score 	Summary	Detail	
1	11132 52435	 * 	386.69	DCR|2VULN|1MDPS|2TLV|2DUR	1RCVC|28VULN|38DUR|4AEFRZ|5BLAICY|68TLV|7RCR|8BPWR|9DUST|aMDPS
14	43233 25532	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	18DMG|25VULN|3RAT|4CGEN|6DUR|7RCR|9AME|aMDPS
15	51134 21234	   	368.79	DCR|2VULN|1MDPS|3DUR|1AART	136DUR|2RCVC|48VULN|5RAT|7RCR|9AART|aMDPS
16	33223 25154	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	1AME|25VULN|3RAT|4DMG|6DUR|7RCR|8AART|9BBNT|aMDPS
17	32151 34522	 * 	361.93	ACR|DCR|3VULN|1TLV|1DMG|1DUR	1AME|2CGEN|3DUR|46RCR|58aVULN|7TLV|9DMG
18	53123 61113	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2FEWX|3BEXP|46VULN|5CGEN|7RCR|8DUST|9CDMG|aMDPS
19	61123 61113	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1FEWX|2DUR|3BEXP|46VULN|5CGEN|7RCR|8DUST|9CDMG|aMDPS
20	25313 13561	 * 	358.28	DCR|3VULN|2TLV|1CDMG|2DUR	1RAT|29DUR|3LWND|4CGEN|59TLV|6CDMG|789VULN|9BPWR|aRCR
21	33332 16133	   	358.20	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1AME|26VULN|3MSLTOX|4SELL|5BASHEA|7DUR|8CDMG|9RCR|aMDPS
22	11142 12626	 * 	358.11	DCR|2MDPS|1VULN|1DUR	1RCVC|2VULN|3DUR|4CGEN|5LWND|6RCR|79BOSS|8aMDPS
23	11142 12636	   	358.11	DCR|2MDPS|1VULN|1DUR	1RCVC|2VULN|3DUR|4CGEN|5LWND|6RCR|7BOSS|8aMDPS|9DMSP
24	51232 12626	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2RCVC|3CGEN|4VULN|5LWND|6RCR|79BOSS|8aMDPS
25	51232 12636	   	358.11	DCR|2MDPS|1VULN|1DUR	1DUR|2RCVC|3CGEN|4VULN|5LWND|6RCR|7BOSS|8aMDPS|9DMSP
26	32151 34351	 * 	357.87	ACR|DCR|1MDPS|1VULN|1TLV|1DUR|1AART	1AME|2CGEN|3DUR|46RCR|5VULN|7TLV|8BBNT|9AART|aMDPS
27	23236 42111	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8CGEN|9DMSP|aMDPS
28	23236 42131	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	19RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8CGEN|aMDPS
29	23236 42411	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MLV|9DMSP|aMDPS
30	23236 42431	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	19RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MLV|aMDPS
31	21542 62213	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2RMIN|38VULN|4DUR|5MULARM|6RCR|7TLV|9LWND|aMDPS
32	21534 62223	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2RMIN|38VULN|4TSLFST|5LHND|6RCR|7TLV|9DUR|aMDPS
33	23236 42121	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8CGEN|9AEFBLL|aMDPS
34	23236 42421	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MLV|9AEFBLL|aMDPS
35	21536 62223	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2RMIN|38VULN|4TSLFST|5DUST|6RCR|7TLV|9DUR|aMDPS
36	33242 62213	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|28VULN|3RAT|4DUR|5AIRARM|6RCR|7TLV|9LHND|aMDPS
37	33366 62223	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|28VULN|3MSLTOX|4RAT|5DUST|6RCR|7TLV|9DUR|aMDPS
38	23236 42311	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1aRAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MLV
39	23236 42312	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MLV|aRMIN
40	23236 42313	 * 	357.25	DCR|3VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56aVULN|7RCR|8MDPS|9MLV
41	23236 42314	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MLV|aLEGI
42	23236 42315	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MLV|aAEPOI
43	23236 42316	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MLV|aLHND
44	23236 42321	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9LIT|aASPD
45	23236 42322	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9LIT|aLHND
46	23236 42323	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9LIT|aERES
47	23236 42324	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9LIT|aAME
48	23236 42325	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9LIT|aRPLT
49	23236 42326	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9LIT|aRMIN
50	23236 42331	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MSE|aLHND
51	23236 42332	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MSE|aBBNT
52	23236 42333	   	357.25	DCR|2VULN|1MDPS|2DUR|1TLV|1MSE	1RAT|2BOSS|3aDUR|4TLV|56VULN|7RCR|8MDPS|9MSE
53	23236 42334	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MSE|aAEFBLL
54	23236 42335	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MSE|aAME
55	23236 42336	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR|1MSE	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9MSE|aAEPOI
56	23236 42341	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9BEXP|aLHND
57	23236 42342	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9BEXP|aBBNT
58	23236 42343	   	357.25	DCR|2VULN|1MDPS|2DUR|1TLV	1RAT|2BOSS|3aDUR|4TLV|56VULN|7RCR|8MDPS|9BEXP
59	23236 42351	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9aLHND
60	23236 42352	   	357.25	DCR|2VULN|1MDPS|2DUR|1TLV	1RAT|2BOSS|3aDUR|4TLV|56VULN|7RCR|8MDPS|9LHND
61	23236 42353	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9LHND|aAART
62	23236 42361	   	357.25	DCR|2VULN|1MDPS|2DUR|1TLV	1RAT|2BOSS|3aDUR|4TLV|56VULN|7RCR|8MDPS|9DMSP
63	23236 42362	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1aRAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9DMSP
64	23236 42363	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1RAT|2BOSS|3DUR|4TLV|56VULN|7RCR|8MDPS|9DMSP|aAETHUN
65	11132 52245	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1RCVC|29VULN|3DUR|4AEFRZ|5BLAICY|6TLV|7RCR|8DUST|aMDPS
66	33236 62223	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1AME|28VULN|3RAT|4MSLFST|5DUST|6RCR|7TLV|9DUR|aMDPS
67	33622 43422	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	13AME|23VULN|3BPWR|4MBVNT|5FEWX|6DUST|7DUR|8TLV|9RCR|aMDPS
