0	Index      	 *	Score 	Summary	Detail	
1	43134 51132	 * 	365.58	DCR|DCR|2VULN|1CDMG|1TLV|1DUR	1LIT|29VULN|3CGEN|4BOSS|5CDMG|68RCR|7DUR|aTLV
16	31212 33242	   	350.96	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5AETHUN|6DMG|8AART|9MDPS|aAME
17	31212 33243	   	350.96	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5AETHUN|6DMG|8AART|9MDPS|aBBNT
18	31212 33244	   	350.96	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5AETHUN|6DMG|8AART|9MDPS|aZMB
19	31212 33245	   	350.96	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5AETHUN|6DMG|8AART|9MDPS|aFEWX
20	31212 33246	 * 	350.96	ACR|3VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47aVULN|5AETHUN|6DMG|8AART|9MDPS
21	31211 21456	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2RCR|3DUR|47VULN|5AEPOI|6LIT|8BOSS|9CDMG|aMDPS
22	31211 61244	   	344.65	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2RCR|3DUR|47VULN|5AEPOI|6MLV|8AEWIND|9CDMG|aMDPS
23	31214 11642	   	344.65	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2RCR|3DUR|47VULN|5RAT|6AME|8CDMG|9BASICY|aMDPS
24	31211 31244	   	344.55	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1TLV|2RCR|3DUR|47VULN|5AEPOI|6ASPD|8AEWIND|9CDMG|aMDPS
25	31245 42213	 * 	344.43	ACR|1MDPS|1VULN|2TLV|2CDMG|3DUR	14TLV|2RCR|346DUR|46BPWR|56CDMG|7BBNT|8ASPD|9VULN|aMDPS
26	31212 13631	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEWIND|7LHND|89MDPS|aBEXP
27	31212 13632	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEWIND|7LHND|89MDPS|aCGEN
28	31212 13633	   	344.12	ACR|2MDPS|1VULN|2DUR|1TLV	1TLV|2RCR|3aDUR|4VULN|5AETHUN|6AEWIND|7LHND|89MDPS
29	31212 13634	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEWIND|7LHND|89MDPS|aAEFBLL
30	31212 13635	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEWIND|7LHND|89MDPS|aRCVC
31	31212 13636	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR|1SELL	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEWIND|7LHND|89MDPS|aSELL
32	31212 43631	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEFBLL|7LHND|89MDPS|aBEXP
33	31212 43632	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEFBLL|7LHND|89MDPS|aCGEN
34	31212 43633	   	344.12	ACR|2MDPS|1VULN|2DUR|1TLV	1TLV|2RCR|3aDUR|4VULN|5AETHUN|6AEFBLL|7LHND|89MDPS
35	31212 43634	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6aAEFBLL|7LHND|89MDPS
36	31212 43635	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEFBLL|7LHND|89MDPS|aRCVC
37	31212 43636	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR|1SELL	1TLV|2RCR|3DUR|4VULN|5AETHUN|6AEFBLL|7LHND|89MDPS|aSELL
38	31211 35226	   	344.02	ACR|2MDPS|1VULN|1TLV|1DUR	1TLV|2RCR|3DUR|4VULN|5AEPOI|6ASPD|7aMDPS|8LHND|9BELT
39	31245 31324	   	340.59	ACR|1MDPS|1VULN|2TLV|1CDMG|2DUR|1DMG	14TLV|2RCR|34DUR|4BPWR|5CDMG|6VULN|7DUST|8DMG|9FEWX|aMDPS
40	31245 33324	   	340.59	ACR|1MDPS|1VULN|2TLV|1CDMG|2DUR|1DMG	14TLV|2RCR|34DUR|4BPWR|5CDMG|6VULN|7AETHUN|8DMG|9FEWX|aMDPS
41	31245 31334	   	340.49	ACR|1MDPS|1VULN|2TLV|1CDMG|2DUR|1DMG|1MSE	14TLV|2RCR|34DUR|4BPWR|5CDMG|6VULN|7DUST|8DMG|9MSE|aMDPS
42	31245 33334	   	340.49	ACR|1MDPS|1VULN|2TLV|1CDMG|2DUR|1DMG|1MSE	14TLV|2RCR|34DUR|4BPWR|5CDMG|6VULN|7AETHUN|8DMG|9MSE|aMDPS
43	43343 21523	   	340.25	DCR|4VULN|1TLV|1DUR	1LIT|258aVULN|3AAC|4TLV|6DUST|7DUR|9RCR
44	43134 51131	   	339.38	DCR|DCR|2VULN|1CDMG|1DUR	1LIT|29VULN|3CGEN|4BOSS|5CDMG|68RCR|7DUR|aLHND
45	43134 51133	   	339.28	DCR|DCR|2VULN|1CDMG|1DUR	1LIT|29VULN|3CGEN|4BOSS|5CDMG|68RCR|7DUR|aDUST
46	31213 33612	 * 	337.51	ACR|4VULN|2TLV|1DMG|1DUR	1aTLV|2RCR|3DUR|479aVULN|5FEWX|6DMG|8aRAT|aBPWR
47	31615 33612	   	337.51	ACR|4VULN|2TLV|1DMG|1DUR	1aTLV|2RCR|3LWND|479aVULN|5DUR|6DMG|8aRAT|aBPWR
48	31212 31554	   	337.21	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR	1TLV|2RCR|3DUR|49VULN|5AETHUN|6DMG|7AME|8BASHEA|aMDPS
