0	Index      	 *	Score 	Summary	Detail	
1	24631 31422	 * 	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	17LHND|27VULN|3CDMG|4BOSS|5DUR|67CANARM|7BPWR|8BEXP|9RCR|aMDPS
15	24211 33522	 * 	341.65	DCR|4VULN|1CDMG|1DUR	1LHND|2458VULN|34MLV|4BPWR|6RCR|7CGEN|9DUR|aCDMG
16	34211 33522	   	341.65	DCR|4VULN|1CDMG|1DUR	1LWND|2458VULN|34MLV|4BPWR|6RCR|7CGEN|9DUR|aCDMG
17	24211 31622	   	341.55	DCR|4VULN|1CDMG|1DUR	1LHND|2458VULN|34MLV|4BPWR|6RCR|7ERES|9DUR|aCDMG
18	12142 62727	 * 	340.35	DCR|4VULN|2DUR|1AART	1AART|2MBVNT|378CGEN|468aVULN|58DUR|8BPWR|9RCR
19	11632 21652	   	337.39	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1AART|2BEXP|3VULN|4DMG|5DUR|6TLV|7RCR|8AEPOI|9LIT|aMDPS
20	11632 21341	   	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1AART|2BEXP|3VULN|4DMG|5DUR|6TLV|7RCR|8VENFST|9MDPS|aLHND
21	11632 21342	   	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1AART|1DUR	1AART|2BEXP|3VULN|4DMG|5DUR|6TLV|7RCR|8VENFST|9MDPS|aLIT
22	11632 21343	   	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1AART|2BEXP|3VULN|4DMG|5DUR|6TLV|7RCR|8VENFST|9MDPS|aDUST
23	11632 21344	   	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1AART|2BEXP|3VULN|4DMG|5DUR|6TLV|7RCR|8VENFST|9MDPS|aBBNT
24	11632 21345	   	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1AART|2BEXP|3VULN|4DMG|5DUR|6TLV|7RCR|8VENFST|9MDPS|aERES
25	11632 21346	   	337.29	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR|1AART	1AART|2BEXP|3VULN|4DMG|5DUR|6TLV|7RCR|8VENFST|9MDPS|aRMIN
26	24621 12513	 * 	336.15	3VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1LHND|268VULN|3CDMG|4DMG|5AART|7FLTFST|9DUR|aMDPS
27	34621 12113	   	336.15	3VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1LWND|267VULN|3CDMG|4DMG|5AART|8TSLFST|9DUR|aMDPS
28	34621 12613	   	336.15	3VULN|1MDPS|1CDMG|1DMG|1DUR|1AART	1LWND|267VULN|3CDMG|4DMG|5AART|8TSLARM|9DUR|aMDPS
29	11552 53133	 * 	334.74	DCR|2MDPS|1TLV|1DUR|1AART	1AART|2BEXP|3TLV|4FEWX|5DUR|6RCR|7aMDPS|8LWND|9TBNT
30	11552 53333	   	334.74	DCR|2MDPS|1TLV|1DUR|1AART	1AART|2BEXP|3TLV|4FEWX|5DUR|6RCR|7aMDPS|8TBNT|9LWND
31	24211 32322	   	334.31	DCR|4VULN|1DMG|1DUR	1LHND|2458VULN|34MLV|4BPWR|6RCR|7BOSS|9DUR|aDMG
32	12786 32243	 * 	333.34	DCR|DCR|1MDPS|2DUR|2AART	15AART|2MBVNT|38SNIFST|48MSLFST|68DUR|79RCR|8BPWR|aMDPS
33	12786 44243	   	333.34	DCR|DCR|1MDPS|2DUR|2AART	15AART|2MBVNT|38SNIFST|48MSLFST|69RCR|78DUR|8BPWR|aMDPS
34	24631 13521	   	331.18	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1LHND|2VULN|3CDMG|4BOSS|5DUR|6RPLT|7LIT|8RCR|9TLV|aMDPS
35	34631 13521	   	331.18	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1LWND|2VULN|3CDMG|4BOSS|5DUR|6RPLT|7LIT|8RCR|9TLV|aMDPS
36	24121 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5TBNT|6CGEN|8BEXP|9RCR|aMDPS
37	24121 11422	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5TBNT|6CGEN|8LWND|9RCR|aMDPS
38	24123 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5BBNT|6CGEN|8BEXP|9RCR|aMDPS
39	24123 11422	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5BBNT|6CGEN|8LWND|9RCR|aMDPS
40	24161 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4MLV|5TBNT|6CGEN|8BEXP|9RCR|aMDPS
41	24163 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4MLV|5BBNT|6CGEN|8BEXP|9RCR|aMDPS
42	24562 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3TBNT|4DUR|5RMIN|6CGEN|8BEXP|9RCR|aMDPS
43	34111 62162	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|29VULN|3DUR|4AAC|5TBNT|6RPLT|7LHND|8RCR|aMDPS
44	34113 62162	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|29VULN|3DUR|4AAC|5BBNT|6RPLT|7LHND|8RCR|aMDPS
45	34121 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5TBNT|6CGEN|8BEXP|9RCR|aMDPS
46	34121 11422	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5TBNT|6CGEN|8LHND|9RCR|aMDPS
47	34123 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5BBNT|6CGEN|8BEXP|9RCR|aMDPS
48	34123 11422	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5BBNT|6CGEN|8LHND|9RCR|aMDPS
49	34161 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5TBNT|6CGEN|8BEXP|9RCR|aMDPS
50	34161 11422	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5TBNT|6CGEN|8LHND|9RCR|aMDPS
51	34163 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5BBNT|6CGEN|8BEXP|9RCR|aMDPS
52	34163 11422	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5BBNT|6CGEN|8LHND|9RCR|aMDPS
53	34562 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3TBNT|4DUR|5RMIN|6CGEN|8BEXP|9RCR|aMDPS
54	24121 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5TBNT|6ERES|8BEXP|9RCR|aMDPS
55	24121 31422	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5TBNT|6ERES|8LWND|9RCR|aMDPS
56	24123 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5BBNT|6ERES|8BEXP|9RCR|aMDPS
57	24123 31422	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4RMIN|5BBNT|6ERES|8LWND|9RCR|aMDPS
58	24161 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4MLV|5TBNT|6ERES|8BEXP|9RCR|aMDPS
59	24163 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3DUR|4MLV|5BBNT|6ERES|8BEXP|9RCR|aMDPS
60	24562 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|27VULN|3TBNT|4DUR|5RMIN|6ERES|8BEXP|9RCR|aMDPS
61	34121 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5TBNT|6ERES|8BEXP|9RCR|aMDPS
62	34121 31422	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5TBNT|6ERES|8LHND|9RCR|aMDPS
63	34123 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5BBNT|6ERES|8BEXP|9RCR|aMDPS
64	34123 31422	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4RMIN|5BBNT|6ERES|8LHND|9RCR|aMDPS
65	34161 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5TBNT|6ERES|8BEXP|9RCR|aMDPS
66	34161 31422	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5TBNT|6ERES|8LHND|9RCR|aMDPS
67	34163 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5BBNT|6ERES|8BEXP|9RCR|aMDPS
68	34163 31422	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3DUR|4MLV|5BBNT|6ERES|8LHND|9RCR|aMDPS
69	34562 31122	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3TBNT|4DUR|5RMIN|6ERES|8BEXP|9RCR|aMDPS
70	21231 64162	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|3ZMB|4DUST|5TBNT|6RPLT|79VULN|8RCR|aMDPS
71	21311 64162	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|3AETHUN|4AAC|5TBNT|6RPLT|79VULN|8RCR|aMDPS
72	21313 64162	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|3AETHUN|4AAC|5BBNT|6RPLT|79VULN|8RCR|aMDPS
73	24111 41354	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|29VULN|3DUR|4AAC|5TBNT|6BEXP|7RCR|8MBVNT|aMDPS
74	24113 41354	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|29VULN|3DUR|4AAC|5BBNT|6BEXP|7RCR|8MBVNT|aMDPS
75	31231 64162	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2DUR|3ZMB|4DUST|5TBNT|6RPLT|79VULN|8RCR|aMDPS
76	31311 64162	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2DUR|3AETHUN|4AAC|5TBNT|6RPLT|79VULN|8RCR|aMDPS
77	31313 64162	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|2DUR|3AETHUN|4AAC|5BBNT|6RPLT|79VULN|8RCR|aMDPS
78	34111 41354	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|29VULN|3DUR|4AAC|5TBNT|6BEXP|7RCR|8MBVNT|aMDPS
79	34113 41354	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|29VULN|3DUR|4AAC|5BBNT|6BEXP|7RCR|8MBVNT|aMDPS
80	34241 11522	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3MLV|4LEGI|5TBNT|6CGEN|8DUR|9RCR|aMDPS
81	34243 11522	   	331.04	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3MLV|4LEGI|5BBNT|6CGEN|8DUR|9RCR|aMDPS
82	22216 43621	   	330.94	DCR|2VULN|1MDPS|1DUR	1LHND|2ERES|3DUR|4FLTFST|5RPLT|67VULN|8RCR|9MDPS|aMSLTOX
83	22216 43622	   	330.94	DCR|2VULN|1MDPS|1DUR|1MSE	1LHND|2ERES|3DUR|4FLTFST|5RPLT|67VULN|8RCR|9MDPS|aMSE
84	22216 43623	   	330.94	DCR|2VULN|1MDPS|1DUR	1LHND|2ERES|3DUR|4FLTFST|5RPLT|67VULN|8RCR|9MDPS|aLWND
85	34241 31522	   	330.94	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3MLV|4LEGI|5TBNT|6ERES|8DUR|9RCR|aMDPS
86	34243 31522	   	330.94	DCR|2VULN|1MDPS|1DUR	1LWND|27VULN|3MLV|4LEGI|5BBNT|6ERES|8DUR|9RCR|aMDPS
87	12142 21882	 * 	329.78	DCR|1MDPS|1VULN|2DUR|1TLV|1AART	1AART|2MBVNT|3CGEN|4VULN|59DUR|6TLV|7RCR|8BOSS|aMDPS
88	12242 21822	 * 	329.68	DCR|1MDPS|1VULN|2AART|1TLV|1DUR	19AART|2MBVNT|3ERES|4VULN|5DUR|6TLV|7RCR|8BOSS|aMDPS
89	12242 21882	   	329.68	DCR|1MDPS|1VULN|2DUR|1TLV|1AART	1AART|2MBVNT|3ERES|4VULN|59DUR|6TLV|7RCR|8BOSS|aMDPS
90	12342 21882	   	329.68	DCR|1MDPS|1VULN|2DUR|1TLV|1AART	1AART|2MBVNT|3AME|4VULN|59DUR|6TLV|7RCR|8BOSS|aMDPS
91	12564 22215	 * 	328.74	3VULN|1MDPS|1CDMG|2DUR|1AART	1AART|2MBVNT|38DUR|4CDMG|5BELT|689VULN|78LHND|8BPWR|aMDPS
