0	Index      	 *	Score 	Summary	Detail	
1	62143 32225	 * 	295.11	DCR|2TLV|2VULN|2DMG|1AART|1DUR	1aDMG|2AART|3DUR|4RPLT|5aVULN|6LWND|7RAT|8RCR|9aTLV|aBPWR
39	31243 26132	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|2aCGEN|38VULN|4DMG|5RCR|69TLV|7AEPOI
40	31243 26133	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|2CGEN|38VULN|4DMG|5RCR|69TLV|7AEPOI|aLIT
41	31243 26134	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|2CGEN|38VULN|4DMG|5RCR|69TLV|7AEPOI|aAAC
42	31243 26135	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|2CGEN|38VULN|4DMG|5RCR|69TLV|7AEPOI|aFEWX
43	33243 26131	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3CGEN|4DMG|5RCR|69TLV|7AEPOI|aRCVC
44	33243 26132	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3aCGEN|4DMG|5RCR|69TLV|7AEPOI
45	33243 26133	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3CGEN|4DMG|5RCR|69TLV|7AEPOI|aLIT
46	33243 26134	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3CGEN|4DMG|5RCR|69TLV|7AEPOI|aAAC
47	33243 26135	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3CGEN|4DMG|5RCR|69TLV|7AEPOI|aFEWX
48	31243 26136	   	269.69	ACR|2TLV|2VULN|1DMG|1AEPOI|1MSE	1BEXP|2CGEN|38VULN|4DMG|5RCR|69TLV|7AEPOI|aMSE
49	33243 26136	   	269.69	ACR|2TLV|2VULN|1DMG|1AEPOI|1MSE	1BEXP|28VULN|3CGEN|4DMG|5RCR|69TLV|7AEPOI|aMSE
50	33343 26131	   	269.69	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3ERES|4DMG|5RCR|69TLV|7AEPOI|aRCVC
51	33343 26132	   	269.69	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3ERES|4DMG|5RCR|69TLV|7AEPOI|aCGEN
52	33343 26134	   	269.69	ACR|2TLV|2VULN|1AEPOI|1DMG	1BEXP|28VULN|3ERES|4DMG|5RCR|69TLV|7AEPOI|aAAC
53	33343 26135	   	269.69	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3ERES|4DMG|5RCR|69TLV|7AEPOI|aFEWX
54	33343 26133	   	269.59	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|28VULN|3aERES|4DMG|5RCR|69TLV|7AEPOI
55	33343 26136	   	269.59	ACR|2TLV|2VULN|1DMG|1AEPOI|1MSE	1BEXP|28VULN|3ERES|4DMG|5RCR|69TLV|7AEPOI|aMSE
56	22132 14116	   	269.30	DCR|3VULN|1TLV|1ASPD|1AART|1DUR	1ERES|2DUR|3AART|49aVULN|5TLV|6RCR|7RAT|8ASPD
57	22132 13452	   	268.78	DCR|3VULN|1TLV|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|489VULN|5TLV|6RCR|7AEBURN|aMLV
58	22132 13454	   	268.78	DCR|3VULN|1TLV|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|489VULN|5TLV|6RCR|7AEBURN|aAME
59	22133 13453	   	268.78	DCR|3VULN|1TLV|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|489VULN|5AME|6RCR|7AEBURN|aTLV
60	22132 13446	   	268.68	DCR|3VULN|1TLV|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|48aVULN|5TLV|6RCR|7AEBURN|9MSLREG
61	22132 13451	   	268.68	DCR|3VULN|1TLV|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|489VULN|5TLV|6RCR|7AEBURN|aDUST
62	22132 13455	   	268.68	DCR|3VULN|1TLV|1AEBURN|1AART|1DUR|1MSE	1ERES|2DUR|3AART|489VULN|5TLV|6RCR|7AEBURN|aMSE
63	22132 13456	   	268.68	DCR|3VULN|1TLV|1AEBURN|1AART|1DUR	1aERES|2DUR|3AART|489VULN|5TLV|6RCR|7AEBURN
64	22233 26635	   	268.68	ACR|3VULN|1TLV|1AEPOI|1AART|1DUR|1NUKE	1ERES|2DUR|39aVULN|4NUKE|5RCR|6TLV|7AEPOI|8AART
65	22243 22635	   	268.68	ACR|3VULN|1TLV|1DMG|1AART|1DUR	1ERES|2DUR|39aVULN|4DMG|5RCR|6TLV|7AEFRZ|8AART
66	41143 32124	 * 	268.53	ACR|DCR|1TLV|1AEFBLL|1DMG|1AART|1DUR	1LWND|2CGEN|3DUR|4DMG|5aRCR|6AART|7TLV|8AEFBLL|9RPLT
67	41143 32324	 * 	268.53	ACR|DCR|1TLV|1DMG|1AEBURN|1AART|1DUR	1LWND|2CGEN|3DUR|4DMG|5aRCR|6AART|7TLV|8AEBURN|9RPLT
68	22543 32124	   	268.43	ACR|DCR|1TLV|1AEFBLL|1DMG|1AART|1DUR	1ERES|2DUR|3LHND|4DMG|5aRCR|6AART|7TLV|8AEFBLL|9RPLT
69	22543 32324	   	268.43	ACR|DCR|1TLV|1DMG|1AEBURN|1AART|1DUR	1ERES|2DUR|3LHND|4DMG|5aRCR|6AART|7TLV|8AEBURN|9RPLT
70	26243 26121	   	268.08	ACR|3VULN|1TLV|1DMG|1AEPOI	1ERES|2DUST|389VULN|4DMG|5RCR|6TLV|7AEPOI|aRCVC
71	26243 26122	   	268.08	ACR|3VULN|1TLV|1DMG|1AEPOI	1ERES|2DUST|389VULN|4DMG|5RCR|6TLV|7AEPOI|aCGEN
72	26243 26132	   	268.08	ACR|3VULN|1TLV|1DMG|1AEPOI	1ERES|2DUST|38aVULN|4DMG|5RCR|6TLV|7AEPOI|9AME
73	26243 26123	   	267.98	ACR|3VULN|1TLV|1DMG|1AEPOI	1aERES|2DUST|389VULN|4DMG|5RCR|6TLV|7AEPOI
74	43243 23511	   	267.87	ACR|2TLV|2VULN|1DMG|1AART	1LWND|29VULN|3CGEN|4DMG|5RCR|69TLV|7RAT|89LHND|9BPWR|aAART
75	31243 26363	   	267.23	ACR|2TLV|1VULN|1DMG|1AEPOI|1ASPD|1CDMG	1BEXP|2CGEN|3VULN|4DMG|5RCR|69TLV|7AEPOI|8CDMG|aASPD
76	33243 26363	   	267.23	ACR|2TLV|1VULN|1DMG|1AEPOI|1ASPD|1CDMG	1BEXP|2VULN|3CGEN|4DMG|5RCR|69TLV|7AEPOI|8CDMG|aASPD
77	61251 36323	 * 	267.18	DCR|2TLV|3ASPD|2DMG|1AEFBLL|1DUR	18DMG|2CGEN|348ASPD|5DUR|6AEFBLL|78TLV|8BPWR|9FEWX|aRCR
78	22243 26136	   	266.80	ACR|2VULN|1TLV|1DMG|1AEPOI|1CDMG|1DUR	1ERES|2DUR|38VULN|4DMG|5RCR|6TLV|7AEPOI|9AME|aCDMG
79	22243 26312	   	266.80	ACR|2VULN|1TLV|1DMG|1AEPOI|1CDMG|1DUR	1ERES|2DUR|3aVULN|4DMG|5RCR|6TLV|7AEPOI|8CDMG|9DMSP
80	33243 23112	   	266.32	ACR|2TLV|2VULN|1DMG|1DUR	1BEXP|29VULN|3CGEN|4DMG|5RCR|69TLV|7RAT|89DUST|9BPWR|aDUR
81	61612 13133	   	266.32	DCR|2TLV|2VULN|1DMG|1DUR	1DMG|2CGEN|3FLTHEA|4aTLV|5DUR|6RPLT|79VULN|8RCR
82	22132 14363	   	266.21	DCR|2TLV|2VULN|2DUR|1AART	1ERES|28DUR|3AART|4aVULN|59TLV|6RCR|7RAT
83	53111 13136	   	265.98	ACR|DCR|1TLV|1VULN|1CDMG	1CDMG|2LIT|3aRCR|4AME|5RMIN|6TLV|7SPLREG|8VULN|9ZMB
84	31262 23461	 * 	265.90	DCR|3VULN|1TLV|2DMG	19BEXP|2CGEN|349VULN|5AEFRZ|6BELT|7TLV|89DMG|9BPWR|aRCR
85	53334 33713	 * 	265.76	DCR|DCR|1TLV|1AEBURN|1ASPD|1CDMG|1AART|1SELL	1CDMG|2LIT|3MBVNT|4SELL|5TLV|6ASPD|7AEBURN|8aRCR|9AART
86	33343 21112	   	265.45	ACR|DCR|1TLV|1VULN|1DMG	1BEXP|2VULN|3ERES|4DMG|5aRCR|6TLV|7CGEN|8LIT|9MLV
87	33343 21152	   	265.45	ACR|DCR|1TLV|1VULN|1DMG	1BEXP|2VULN|3ERES|4DMG|5aRCR|6TLV|7CGEN|8LIT|9RMIN
88	43243 52212	   	265.45	ACR|DCR|1TLV|1VULN|1DMG	1LWND|2VULN|3CGEN|4DMG|5aRCR|6LIT|7ERES|8TLV|9MLV
89	43343 21112	   	265.45	ACR|DCR|1TLV|1VULN|1DMG	1LWND|2VULN|3ERES|4DMG|5aRCR|6TLV|7CGEN|8LIT|9MLV
90	43343 21152	   	265.45	ACR|DCR|1TLV|1VULN|1DMG	1LWND|2VULN|3ERES|4DMG|5aRCR|6TLV|7CGEN|8LIT|9RMIN
91	63652 21222	 * 	265.45	DCR|DCR|1TLV|2DMG|2CDMG	18DMG|2RPLT|38LIT|4BEXP|5VENFST|68CDMG|7aRCR|8BPWR|9TLV
92	63653 21222	   	265.45	DCR|DCR|1TLV|2DMG|2CDMG	18DMG|2RPLT|38LIT|4BEXP|5SNITOX|68CDMG|7aRCR|8BPWR|9TLV
93	26243 21112	   	265.35	ACR|DCR|1TLV|1VULN|1DMG	1ERES|2DUST|3VULN|4DMG|5aRCR|6TLV|7CGEN|8LIT|9MLV
94	26243 21152	   	265.35	ACR|DCR|1TLV|1VULN|1DMG	1ERES|2DUST|3VULN|4DMG|5aRCR|6TLV|7CGEN|8LIT|9RMIN
95	12251 61121	   	265.35	ACR|DCR|1TLV|1VULN|2CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67CDMG|9TLV|aLHND
96	12251 61124	   	265.35	ACR|DCR|1TLV|1VULN|2CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67CDMG|9TLV|aLWND
97	31121 13335	   	265.26	DCR|3VULN|2TLV|1AART	1BEXP|2CGEN|3AART|4ERES|59aVULN|6RCR|78TLV
98	12251 61114	   	265.25	ACR|DCR|1TLV|1VULN|2CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67CDMG|9MGNSTR|aTLV
99	12251 61122	   	265.25	ACR|DCR|1TLV|1VULN|2CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67CDMG|9TLV|aAIRARM
100	12251 61126	   	265.25	ACR|DCR|1TLV|1VULN|2CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67CDMG|9TLV|aDUST
101	12251 61134	   	265.25	ACR|DCR|1TLV|1VULN|2CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67CDMG|9CANSTR|aTLV
102	12251 65123	   	265.25	ACR|DCR|1TLV|1VULN|2CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|6aCDMG|7AEWIND|9TLV
103	66332 21222	   	265.25	DCR|DCR|1TLV|2DMG|2CDMG	18DMG|28DUST|3LIT|4RPLT|5VENFST|68CDMG|7aRCR|8BPWR|9TLV
104	66333 21222	   	265.25	DCR|DCR|1TLV|2DMG|2CDMG	18DMG|28DUST|3LIT|4RPLT|5SNITOX|68CDMG|7aRCR|8BPWR|9TLV
