0	Index      	 *	Score 	Summary	Detail	
1	32313 24433	 * 	274.32	DCR|3VULN|2TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7aTLV|9RCR
19	54321 63132	   	260.17	DCR|2VULN|1TLV|1DMG|2DUR|1AART	1AME|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aAART
20	64321 63132	   	260.07	DCR|2VULN|1TLV|1DMG|2DUR|1AART	1ERES|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aAART
21	51311 42623	 * 	259.28	DCR|2VULN|1TLV|2ASPD|3ZMB|1DUR	1AME|28ASPD|3DUR|4LWND|58VULN|6TLV|789ZMB|8BPWR|aRCR
22	23523 53163	 * 	259.12	ACR|3VULN|1TLV|1AEFBLL|1AART	1BEXP|2LHND|3AART|4RCR|5BLASTR|69aVULN|7AEFBLL|8TLV
23	23523 61363	 * 	259.12	ACR|3VULN|1TLV|1AEBURN|1AART	1BEXP|2LHND|3AART|4RCR|5BLASTR|6TLV|7AEBURN|89aVULN
24	11134 33363	 * 	259.02	DCR|3VULN|2TLV|2CDMG|1MSE	1MSE|29aVULN|3DUST|4FEWX|59CDMG|6RCR|7SNIHEL|89TLV|9BPWR
25	11134 35363	 * 	259.02	DCR|3VULN|2TLV|2CDMG|1MSE	1MSE|29aVULN|3DUST|4FEWX|59CDMG|6RCR|7BLASTR|89TLV|9BPWR
26	44611 31211	 * 	257.97	ACR|3VULN|1TLV|1DMG|1DUR	1aMLV|2TLV|3RCR|4LEGI|56aVULN|7DMG|8DUR|9aFEWX|aBPWR
27	54611 31211	   	257.97	ACR|3VULN|1TLV|1DMG|1DUR	1aAME|2TLV|3RCR|4LEGI|56aVULN|7DMG|8DUR|9aFEWX|aBPWR
28	44611 31231	   	257.77	ACR|3VULN|1TLV|1DMG|1DUR	1aMLV|2TLV|3RCR|4LEGI|56aVULN|7DMG|8DUR|9aDUST|aBPWR
29	54611 31231	   	257.77	ACR|3VULN|1TLV|1DMG|1DUR	1aAME|2TLV|3RCR|4LEGI|56aVULN|7DMG|8DUR|9aDUST|aBPWR
30	44611 31222	   	257.73	ACR|2VULN|1TLV|1DMG|1CDMG|1AART|1DUR	1MLV|2TLV|3RCR|4LEGI|56VULN|7DMG|8DUR|9CDMG|aAART
31	54611 31222	   	257.73	ACR|2VULN|1TLV|1DMG|1CDMG|1AART|1DUR	1AME|2TLV|3RCR|4LEGI|56VULN|7DMG|8DUR|9CDMG|aAART
32	61322 33435	   	257.73	DCR|2VULN|1TLV|1DMG|1ASPD|1AART|1DUR	1ERES|2ASPD|3DUR|4DMG|5FEWX|69VULN|7TLV|8AART|aRCR
33	23523 43263	 * 	256.29	ACR|DCR|1TLV|1VULN|1AART	1BEXP|2LHND|3AART|4aRCR|5BLASTR|6MBVNT|7VULN|8AAC|9TLV
34	33331 31225	   	255.23	DCR|DCR|1TLV|1AEBURN|1CDMG	1BASFIG|2CDMG|3FLTHEA|4TLV|5AEBURN|67BEXP|8RAT|9aRCR
35	33451 31225	   	255.23	DCR|DCR|1TLV|1AEBURN|1CDMG	1BASFIG|2CDMG|3TLV|4FRZICY|5AEBURN|67BEXP|8RAT|9aRCR
36	33331 46325	   	255.13	DCR|DCR|1TLV|1AEBURN|1CDMG	1BASFIG|2CDMG|3FLTHEA|4TLV|5AEBURN|6ERES|7RAT|8AME|9aRCR
37	21342 51631	 * 	255.09	DCR|DCR|3VULN|2RAT	1BEXP|279VULN|3AIRHEA|46RAT|5DMSP|8aRCR
38	21412 51631	   	255.09	DCR|DCR|3VULN|2RAT	1BEXP|279VULN|36RAT|4AIRHEL|5DMSP|8aRCR
39	32313 24435	   	255.05	DCR|3VULN|1TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7TLV|9RCR|aZMB
40	33162 31323	   	255.01	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|7ZMB|8TLV|9aVULN
41	33162 35211	   	255.01	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|78VULN|9TLV|aZMB
42	32513 24433	   	254.25	DCR|3VULN|2TLV	1BASFIG|26LHND|3RCVC|458VULN|7aTLV|9RCR
43	22266 26233	   	253.58	DCR|2TLV|1VULN|1AEBURN|1DMG|1ASPD	12BEXP|3DMG|4ASPD|5VULN|67TLV|8RCR|9AEBURN|aAME
44	22266 26231	   	253.48	DCR|2TLV|1VULN|1AEBURN|1DMG|1ASPD	12BEXP|3DMG|4ASPD|5VULN|67TLV|8RCR|9AEBURN|aERES
45	41212 33651	 * 	253.11	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aZMB
46	41232 33651	   	253.11	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aZMB
47	41233 33651	   	253.11	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aZMB
48	51212 33651	   	253.11	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aZMB
49	51232 33651	   	253.11	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aZMB
50	51233 33651	   	253.11	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aZMB
51	44121 21533	 * 	253.11	DCR|2TLV|3DMG|1VULN	168MLV|25TLV|3AETHUN|458DMG|58BPWR|78ERES|9VULN|aRCR
52	61212 33651	   	253.01	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aZMB
53	61232 33651	   	253.01	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aZMB
54	61233 33651	   	253.01	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aZMB
55	23525 23362	   	252.80	ACR|3VULN|1TLV|1CDMG|1AART	1BEXP|2LHND|3AART|4RCR|568VULN|7CGEN|9TLV|aCDMG
56	22122 33651	   	251.21	DCR|3TLV|1VULN|2DMG	128BEXP|3AETHUN|48DMG|5FEWX|6VULN|78aTLV|8BPWR|9RCR
57	22123 33651	   	251.21	DCR|3TLV|1VULN|2DMG	128BEXP|3AETHUN|48DMG|5LWND|6VULN|78aTLV|8BPWR|9RCR
58	44321 61132	   	251.12	DCR|2VULN|1TLV|1DMG|1AART|1DUR	1MLV|2TLV|3DUR|4DMG|5FLTARM|68VULN|7RCVC|9RCR|aAART
59	54321 61132	   	251.12	DCR|2VULN|1TLV|1DMG|1AART|1DUR	1AME|2TLV|3DUR|4DMG|5FLTARM|68VULN|7RCVC|9RCR|aAART
60	64321 61132	   	251.02	DCR|2VULN|1TLV|1DMG|1AART|1DUR	1ERES|2TLV|3DUR|4DMG|5FLTARM|68VULN|7RCVC|9RCR|aAART
61	64121 31221	   	251.01	DCR|3TLV|1VULN|2DMG	1ERES|258TLV|3AETHUN|45DMG|5BPWR|6VULN|7RPLT|9LIT|aRCR
62	33431 34343	   	250.56	DCR|2TLV|1VULN|2ASPD|1CDMG|1AART	18BASFIG|2CDMG|38TLV|4AAC|5AART|6RCR|78ASPD|8BPWR|9CGEN|aVULN
63	21342 53631	 * 	250.46	DCR|DCR|2VULN|1AEBURN|2RAT	1BEXP|29VULN|3AIRHEA|46RAT|5DMSP|7AEBURN|8aRCR
64	21412 53631	   	250.46	DCR|DCR|2VULN|1AEBURN|2RAT	1BEXP|29VULN|36RAT|4AIRHEL|5DMSP|7AEBURN|8aRCR
65	33431 34335	   	250.46	DCR|2TLV|1VULN|2ASPD|1CDMG|1AART	18BASFIG|2CDMG|38TLV|4AAC|5AART|6RCR|78ASPD|8BPWR|9AEWIND|aVULN
66	44622 33332	   	250.25	ACR|2TLV|2VULN|1CDMG	1MLV|2aTLV|3RCR|4RAT|56VULN|7BEXP|8CDMG|9RPLT
67	31222 22625	   	250.22	DCR|2TLV|2VULN|1AART|1DUR	1BASFIG|2AART|3DUR|4LHND|57TLV|69VULN|8LWND|aRCR
68	64162 13231	   	250.05	DCR|2TLV|2VULN|1CDMG	1ERES|28TLV|3AETHUN|49VULN|5CDMG|6FLTARM|7LIT|aRCR
69	64162 23231	   	250.05	DCR|2TLV|2VULN|1CDMG	1ERES|28TLV|3AETHUN|49VULN|5CDMG|6FRZICY|7LIT|aRCR
70	44612 13231	 * 	249.82	ACR|2TLV|2VULN|1DMG	1aMLV|2aTLV|3RCR|4LEGI|5LWND|6DMG|7AAC|8aVULN|9RMIN|aBPWR
71	54612 13231	   	249.82	ACR|2TLV|2VULN|1DMG	1aAME|2aTLV|3RCR|4LEGI|5LWND|6DMG|7AAC|8aVULN|9RMIN|aBPWR
72	21132 45162	 * 	249.62	DCR|2TLV|2VULN|1AEBURN	1BEXP|29VULN|3DUST|4FEWX|5AEBURN|67TLV|8MLV|aRCR
73	54322 32623	 * 	249.59	DCR|2TLV|1VULN|1DMG|3ZMB|1DUR	1AME|28TLV|3DUR|4DMG|58FEWX|6VULN|789ZMB|8BPWR|aRCR
74	54323 32623	   	249.59	DCR|2TLV|1VULN|1DMG|3ZMB|1DUR	1AME|28TLV|3DUR|4DMG|58LWND|6VULN|789ZMB|8BPWR|aRCR
75	34312 61362	   	249.52	ACR|2TLV|2VULN|1AEBURN	1BASFIG|2DLOT|3FEWX|4LWND|5RCR|6aTLV|7AEBURN|89VULN
76	66214 11313	   	249.52	ACR|2TLV|2VULN|1AEFBLL	1ERES|2DMSP|3MSLREG|4RCR|5AEFBLL|69VULN|7MLV|8aTLV
77	64322 32623	   	249.49	DCR|2TLV|1VULN|1DMG|3ZMB|1DUR	1ERES|28TLV|3DUR|4DMG|58FEWX|6VULN|789ZMB|8BPWR|aRCR
78	64323 32623	   	249.49	DCR|2TLV|1VULN|1DMG|3ZMB|1DUR	1ERES|28TLV|3DUR|4DMG|58LWND|6VULN|789ZMB|8BPWR|aRCR
79	63214 11313	   	249.42	ACR|2TLV|2VULN|1AEFBLL	12ERES|3MSLREG|4RCR|5AEFBLL|69VULN|7MLV|8aTLV
80	23525 23361	 * 	249.36	ACR|3VULN|1TLV|2AART	1BEXP|2LHND|3aAART|4RCR|568VULN|7CGEN|9TLV
81	44321 63133	   	249.16	DCR|2VULN|1TLV|1DMG|2DUR	1aMLV|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR
82	54321 63133	   	249.16	DCR|2VULN|1TLV|1DMG|2DUR	1AME|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aMLV
83	44321 63131	   	249.06	DCR|2VULN|1TLV|1DMG|2DUR|1MSE	1MLV|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aMSE
84	54321 63131	   	249.06	DCR|2VULN|1TLV|1DMG|2DUR|1MSE	1AME|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aMSE
85	64321 63133	   	249.06	DCR|2VULN|1TLV|1DMG|2DUR	1ERES|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aMLV
86	64321 63131	   	248.96	DCR|2VULN|1TLV|1DMG|2DUR|1MSE	1ERES|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aMSE
87	24432 33632	 * 	248.56	DCR|2TLV|2VULN|2DUR	18BEXP|2CGEN|38DUR|4RCVC|5FEWX|69VULN|78TLV|8BPWR|aRCR
88	44611 31111	   	248.31	ACR|3VULN|1TLV|1DMG	1aMLV|2TLV|3RCR|4LEGI|56aVULN|7DMG|8LHND|9aFEWX|aBPWR
89	54611 31111	   	248.31	ACR|3VULN|1TLV|1DMG	1aAME|2TLV|3RCR|4LEGI|56aVULN|7DMG|8LHND|9aFEWX|aBPWR
90	21523 23225	   	248.17	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1BEXP|27VULN|3AART|4LWND|5ASPD|6DMG|8MLV|9TLV|aRCR
91	21563 23225	   	248.17	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1BEXP|27VULN|3AART|4FEWX|5ASPD|6DMG|8MLV|9TLV|aRCR
92	21563 26233	   	248.17	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1BEXP|2aVULN|3AART|4FEWX|5ASPD|6DMG|7RCR|8MLV|9TLV
93	44611 31131	   	248.11	ACR|3VULN|1TLV|1DMG	1aMLV|2TLV|3RCR|4LEGI|56aVULN|7DMG|8LHND|9aDUST|aBPWR
94	54611 31131	   	248.11	ACR|3VULN|1TLV|1DMG	1aAME|2TLV|3RCR|4LEGI|56aVULN|7DMG|8LHND|9aDUST|aBPWR
95	32313 15433	   	248.11	DCR|3VULN|1TLV|1AEFBLL	1BASFIG|27LHND|3AEFBLL|458VULN|6CGEN|9RCR|aTLV
96	32313 24431	   	248.11	DCR|3VULN|1TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7TLV|9RCR|aLIT
97	32313 24432	   	248.11	DCR|3VULN|1TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7TLV|9RCR|aBEXP
98	32313 24436	   	248.11	DCR|3VULN|1TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7TLV|9RCR|aLWND
99	33336 12485	 * 	248.09	DCR|DCR|1TLV|1AEFBLL|1CDMG	1BASFIG|2CDMG|3FLTHEA|4TLV|5MBVNT|6LHND|7DUST|89RCR|aAEFBLL
100	44611 31122	   	248.07	ACR|2VULN|1TLV|1DMG|1CDMG|1AART	1MLV|2TLV|3RCR|4LEGI|56VULN|7DMG|8LHND|9CDMG|aAART
101	54611 31122	   	248.07	ACR|2VULN|1TLV|1DMG|1CDMG|1AART	1AME|2TLV|3RCR|4LEGI|56VULN|7DMG|8LHND|9CDMG|aAART
102	21523 23125	   	248.07	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1BEXP|27VULN|3AART|4LWND|5ASPD|6DMG|8ERES|9TLV|aRCR
103	21563 23125	   	248.07	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1BEXP|27VULN|3AART|4FEWX|5ASPD|6DMG|8ERES|9TLV|aRCR
104	33162 35212	   	248.07	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|78VULN|9TLV|aBEXP
105	33162 35214	   	248.07	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|78VULN|9TLV|aCGEN
106	33162 35216	   	248.07	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|78VULN|9TLV|aLIT
107	36221 31362	   	248.07	ACR|2VULN|1TLV|1AEBURN|1CDMG|1AART	1BASFIG|2RPLT|3LHND|4CDMG|5RCR|6AART|7AEBURN|89VULN|aTLV
108	36621 31362	   	248.07	ACR|2VULN|1TLV|1AEBURN|1CDMG|1AART	1BASFIG|2RPLT|3LWND|4CDMG|5RCR|6AART|7AEBURN|89VULN|aTLV
109	61212 33435	   	248.07	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1ERES|2ASPD|3DMG|4LWND|5FEWX|69VULN|7TLV|8AART|aRCR
110	61232 33435	   	248.07	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1ERES|2ASPD|3DMG|4BEXP|5FEWX|69VULN|7TLV|8AART|aRCR
111	33162 32323	   	248.07	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|7AAC|8TLV|9aVULN
112	33162 35413	   	248.07	DCR|2VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|7aVULN|8DMSP|9TLV
113	44611 11231	   	248.01	ACR|3VULN|1TLV|1DMG	1MLV|2TLV|3RCR|4LEGI|59aVULN|6DMG|7SPLARM|8LIT
114	54611 11231	   	248.01	ACR|3VULN|1TLV|1DMG	1AME|2TLV|3RCR|4LEGI|59aVULN|6DMG|7SPLARM|8LIT
115	32313 22433	   	248.01	DCR|3VULN|1TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7ERES|9RCR|aTLV
116	32313 24434	   	248.01	DCR|3VULN|1TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7TLV|9RCR|aAIRARM
117	34312 52262	   	248.01	ACR|3VULN|1TLV|1DMG	1BASFIG|2DLOT|3FEWX|4LWND|5RCR|689VULN|7DMG|aTLV
118	34312 61363	   	248.01	ACR|3VULN|1TLV|1AEBURN	1BASFIG|2DLOT|3FEWX|4LWND|5RCR|6TLV|7AEBURN|89aVULN
119	11134 33361	 * 	247.97	DCR|2TLV|2VULN|2CDMG|1ASPD|1MSE	1MSE|29VULN|3DUST|4FEWX|59CDMG|6RCR|7SNIHEL|89TLV|9BPWR|aASPD
120	11134 35361	 * 	247.97	DCR|2TLV|2VULN|2CDMG|1ASPD|1MSE	1MSE|29VULN|3DUST|4FEWX|59CDMG|6RCR|7BLASTR|89TLV|9BPWR|aASPD
121	61122 33435	   	247.97	DCR|2VULN|1TLV|1DMG|1ASPD|1AART	1ERES|2ASPD|3AETHUN|4DMG|5FEWX|69VULN|7TLV|8AART|aRCR
122	36313 62521	   	247.30	DCR|2TLV|1VULN|1AEBURN|1ASPD	1BASFIG|2RPLT|3AEBURN|4RAT|56TLV|7RCR|8VULN|9FRZICY|aASPD
123	21353 14136	 * 	247.26	DCR|4VULN|2DMG|2DUR	1aBEXP|268aVULN|3AIRHEA|45DUR|7aDMG|9RCR|aBPWR
124	22125 33652	   	247.22	DCR|2TLV|1VULN|2DMG|1DUR	128BEXP|3AETHUN|48DMG|5DUR|6VULN|78TLV|8BPWR|9RCR|aLIT
125	22125 33653	   	247.22	DCR|2TLV|1VULN|2DMG|1DUR	128BEXP|3AETHUN|48DMG|5DUR|6VULN|78TLV|8BPWR|9RCR|aFEWX
126	44331 63132	   	247.04	DCR|2VULN|1TLV|2DUR|1AART	1MLV|2TLV|37DUR|4ZMB|5FLTARM|68VULN|9RCR|aAART
127	54331 63132	   	247.04	DCR|2VULN|1TLV|2DUR|1AART	1AME|2TLV|37DUR|4ZMB|5FLTARM|68VULN|9RCR|aAART
128	64331 63132	   	246.94	DCR|2VULN|1TLV|2DUR|1AART	1ERES|2TLV|37DUR|4ZMB|5FLTARM|68VULN|9RCR|aAART
129	21313 14136	 * 	246.90	DCR|5VULN|2DMG	1aBEXP|2568aVULN|3AIRHEA|4FEWX|7aDMG|9RCR|aBPWR
130	36313 62511	   	246.77	DCR|2TLV|1VULN|1AEBURN|1DMG	1BASFIG|2RPLT|3AEBURN|4RAT|56TLV|7RCR|8VULN|9RMIN|aDMG
131	36313 62531	   	246.77	DCR|2TLV|1VULN|1AEBURN|1DMG	1BASFIG|2RPLT|3AEBURN|4RAT|56TLV|7RCR|8VULN|9AAC|aDMG
132	44611 31221	   	246.73	ACR|2VULN|1TLV|1DMG|1CDMG|1DUR	1MLV|2TLV|3RCR|4LEGI|56VULN|7DMG|8DUR|9CDMG|aAAC
133	54611 31221	   	246.73	ACR|2VULN|1TLV|1DMG|1CDMG|1DUR	1AME|2TLV|3RCR|4LEGI|56VULN|7DMG|8DUR|9CDMG|aAAC
134	33134 51142	   	246.73	ACR|2VULN|1TLV|1DMG|1CDMG|1DUR	1BASFIG|2CDMG|3DMG|4AAC|5RCR|6LHND|79VULN|8DUR|aTLV
135	44611 31223	   	246.63	ACR|2VULN|1TLV|1DMG|1CDMG|1DUR	1MLV|2TLV|3RCR|4LEGI|56VULN|7DMG|8DUR|9CDMG|aAEWIND
136	54611 31223	   	246.63	ACR|2VULN|1TLV|1DMG|1CDMG|1DUR	1AME|2TLV|3RCR|4LEGI|56VULN|7DMG|8DUR|9CDMG|aAEWIND
137	41623 23533	   	246.63	DCR|2VULN|1TLV|1AEBURN|1ASPD|1DUR	1MLV|2ASPD|3MDPS|4MULFIG|5DUR|6aVULN|7AEBURN|8TLV|9RCR
138	51623 23533	   	246.63	DCR|2VULN|1TLV|1AEBURN|1ASPD|1DUR	1AME|2ASPD|3MDPS|4MULFIG|5DUR|6aVULN|7AEBURN|8TLV|9RCR
139	33134 11142	   	246.63	ACR|2VULN|1TLV|1DMG|1CDMG|1DUR	1BASFIG|2CDMG|3DMG|4AAC|5RCR|6DUST|79VULN|8DUR|aTLV
140	33331 56225	   	246.54	DCR|DCR|1TLV|1AEBURN|2FLTHEA|1CDMG|2MSE	17BASFIG|2CDMG|37FLTHEA|4TLV|5AEBURN|67MSE|7BPWR|8RAT|9aRCR
141	33332 46225	 * 	246.54	DCR|DCR|1TLV|2AEPOI|2FLTHEA|1CDMG|1MSE	17BASFIG|2CDMG|37FLTHEA|4TLV|5MSE|67AEPOI|7BPWR|8RAT|9aRCR
142	22261 24622	 * 	246.43	DCR|2TLV|2ASPD|1DMG|1AEBURN|1AART	129BEXP|3DMG|49ASPD|5AART|6AEBURN|7RAT|89TLV|9BPWR|aRCR
143	41212 33652	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aAAC
144	41212 33653	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aRPLT
145	41232 33652	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aAAC
146	41232 33653	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aRPLT
147	41233 33652	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aAAC
148	41233 33653	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1MLV|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aRPLT
149	51212 33652	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aAAC
150	51212 33653	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aRPLT
151	51232 33652	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aAAC
152	51232 33653	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4BEXP|58FEWX|6VULN|78TLV|8BPWR|9RCR|aRPLT
153	51233 33652	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aAAC
154	51233 33653	   	246.17	DCR|2TLV|1VULN|2ASPD|1DMG	1AME|28ASPD|3DMG|4BEXP|58LWND|6VULN|78TLV|8BPWR|9RCR|aRPLT
155	23525 26312	   	246.09	ACR|3VULN|1TLV|1AART	1BEXP|2LHND|3AART|4RCR|568VULN|7AAC|9FLTARM|aTLV
156	61212 33652	   	246.07	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aAAC
157	61212 33653	   	246.07	DCR|2TLV|1VULN|2ASPD|1DMG	1ERES|28ASPD|3DMG|4LWND|58FEWX|6VULN|78TLV|8BPWR|9RCR|aRPLT
