0	Index      	 *	Score 	Summary	Detail	
1	57342 21152	 * 	298.79	DCR|DCR|3TLV|1VULN|1CDMG	1MBVNT|267TLV|3VULN|4AME|5CDMG|8aRCR|9MULHEA
73	57334 27412	 * 	274.52	ACR|3VULN|2TLV|1DMG	1MBVNT|29TLV|39aVULN|4RCR|5RMIN|6CGEN|7DMG|89MLV|9BPWR
74	57123 41811	   	274.42	DCR|3VULN|2TLV|1AEFBLL	1MBVNT|29TLV|39BEXP|459VULN|6RCR|7AETHUN|8RCVC|9BPWR|aAEFBLL
75	57336 22411	   	274.42	ACR|3VULN|2TLV|1AEFBLL	1MBVNT|29TLV|379VULN|4RCR|5DUST|6AME|89MLV|9BPWR|aAEFBLL
76	57123 44531	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1MBVNT|28TLV|3BEXP|459VULN|6RCR|7LHND|aAEFBLL
77	57325 33122	   	274.32	ACR|3VULN|2TLV|1DMG	1MBVNT|29TLV|348VULN|5RCR|6DMG|7RPLT|aAAC
78	57325 33123	   	274.32	ACR|3VULN|2TLV|1DMG	1MBVNT|29TLV|348VULN|5RCR|6DMG|7RPLT|aCGEN
79	57323 44531	   	274.22	DCR|3VULN|2TLV|1AEFBLL	1MBVNT|28TLV|349VULN|5LWND|6RCR|7LEGI|aAEFBLL
80	57423 44531	   	274.22	DCR|3VULN|2TLV|1AEFBLL	1MBVNT|28TLV|3DUST|459VULN|6RCR|7LHND|aAEFBLL
81	36125 13422	 * 	274.22	DCR|3VULN|2TLV|2AEPOI	19ERES|2MDPS|39AEPOI|47aVULN|5LHND|6RCR|89TLV|9BPWR
82	57325 33121	   	274.22	ACR|3VULN|2TLV|1DMG|1MSE	1MBVNT|29TLV|348VULN|5RCR|6DMG|7RPLT|aMSE
83	57325 33124	   	274.22	ACR|3VULN|2TLV|1DMG	1MBVNT|29TLV|348VULN|5RCR|6DMG|7RPLT|aLSRICY
84	36143 13422	   	274.12	DCR|3VULN|2TLV|2AEPOI	19ERES|2MDPS|39AEPOI|4DUST|57aVULN|6RCR|89TLV|9BPWR
85	32226 36135	 * 	273.46	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1MSE	1ERES|2MSE|3DUR|4VULN|5aRCR|6DMG|7TLV|8BEXP|9CDMG
86	32226 36335	 * 	273.46	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1MSE	1ERES|2MSE|3DUR|4VULN|5aRCR|6DMG|7TLV|8FEWX|9CDMG
87	54233 55344	 * 	273.32	DCR|2TLV|1VULN|2DMG|2ASPD	1MBVNT|27ASPD|3DUR|4AAC|57TLV|67DMG|7BPWR|8VENTOX|9VULN|aRCR
88	57225 42331	   	273.26	DCR|3VULN|2TLV|2DUR	1MBVNT|29TLV|35DUR|459VULN|59BPWR|6RCR|7BELT|89CGEN|aLIT
89	57223 42334	   	273.16	DCR|3VULN|2TLV|2DUR	1MBVNT|29TLV|3aDUR|459VULN|6RCR|7BELT|89CGEN|9BPWR
90	57225 42333	   	273.16	DCR|3VULN|2TLV|2DUR	1MBVNT|29TLV|35DUR|459VULN|59BPWR|6RCR|7BELT|89CGEN|aERES
91	57332 22417	   	273.16	ACR|3VULN|2TLV|2DUR	1MBVNT|29TLV|379VULN|4RCR|5aDUR|6AME|89MLV|9BPWR
92	58424 41372	   	273.06	DCR|3VULN|2TLV|2DUR	1MBVNT|2aDUR|35aVULN|4MDPS|6RCR|7LHND|8LWND|9aTLV|aBPWR
93	57241 22834	   	272.96	DCR|3VULN|2TLV|2DUR	1MBVNT|29TLV|37DUR|4BELT|59ERES|69aVULN|8RCR|9BPWR
94	57241 31834	   	272.96	DCR|3VULN|2TLV|2DUR	1MBVNT|29TLV|39DUR|4BELT|5ERES|6AEWIND|79aVULN|8RCR|9BPWR
95	58424 41472	   	272.96	DCR|3VULN|2TLV|2DUR	1MBVNT|2aDUR|35aVULN|4MDPS|6RCR|7LHND|8DUST|9aTLV|aBPWR
96	54233 11531	   	272.94	DCR|2TLV|2VULN|1AEFBLL|1ASPD	1MBVNT|2ASPD|3DUR|4AAC|58TLV|69VULN|7RCR|aAEFBLL
97	54234 81531	   	272.94	DCR|2TLV|2VULN|1AEFBLL|1ASPD	1MBVNT|2ASPD|3DUR|4AAC|59VULN|68TLV|7RCR|aAEFBLL
98	57223 44524	   	272.94	DCR|2TLV|2VULN|1AEPOI|1ASPD	1MBVNT|28TLV|3DUR|45VULN|6RCR|7LHND|9ASPD|aAEPOI
99	57321 44524	   	272.94	DCR|2TLV|2VULN|1AEPOI|1ASPD	1MBVNT|28TLV|34VULN|5DUR|6RCR|7LHND|9ASPD|aAEPOI
100	57332 32523	   	272.94	ACR|2TLV|2VULN|1DMG|1CDMG	1MBVNT|29TLV|37VULN|4RCR|5DUR|6DMG|8CDMG|aCGEN
101	57332 32521	   	272.84	ACR|2TLV|2VULN|1DMG|1CDMG|1MSE	1MBVNT|29TLV|37VULN|4RCR|5DUR|6DMG|8CDMG|aMSE
102	57332 32524	   	272.84	ACR|2TLV|2VULN|1DMG|1CDMG	1MBVNT|29TLV|37VULN|4RCR|5DUR|6DMG|8CDMG|aLSRICY
103	57333 31415	   	272.77	ACR|3VULN|1TLV|1DMG|1CDMG|1AART	1MBVNT|2TLV|39aVULN|4RCR|5DMSP|6DMG|7AART|8CDMG
104	57334 11415	   	272.77	ACR|3VULN|1TLV|1AEFBLL|1CDMG|1AART	1MBVNT|2TLV|39aVULN|4RCR|5RMIN|6AEFBLL|7AART|8CDMG
105	57325 31243	   	272.77	ACR|3VULN|1TLV|1DMG|1ASPD|1AART	1MBVNT|2TLV|34aVULN|5RCR|6DMG|7AART|8BEXP|9ASPD
106	57325 31343	   	272.77	ACR|3VULN|1TLV|1DMG|1ASPD|1AART	1MBVNT|2TLV|34aVULN|5RCR|6DMG|7AART|8LWND|9ASPD
107	57325 31414	   	272.77	ACR|3VULN|1TLV|1DMG|1CDMG|1AART	1MBVNT|2TLV|349VULN|5RCR|6DMG|7AART|8CDMG|aRCVC
108	57325 31411	   	272.67	ACR|3VULN|1TLV|1DMG|1CDMG|1AART	1MBVNT|2TLV|349VULN|5RCR|6DMG|7AART|8CDMG|aBASARM
109	57325 31413	   	272.67	ACR|3VULN|1TLV|1DMG|1CDMG|1AART	1MBVNT|2TLV|349VULN|5RCR|6DMG|7AART|8CDMG|aDUST
110	57334 14542	   	272.15	ACR|DCR|1TLV|1VULN|1AEFBLL|1SELL	1MBVNT|2TLV|3VULN|4aRCR|5RMIN|6AEFBLL|7LWND|8SELL|9FRZARM
111	65311 23213	   	271.61	ACR|3VULN|1TLV|2DUR|1CDMG|1AART	1AART|2RCR|3RMIN|4RPLT|57DUR|67aVULN|7BPWR|8CDMG|9TLV
112	65311 23333	   	271.61	ACR|3VULN|1TLV|2DUR|1CDMG|1AART	1AART|2RCR|3RMIN|4RPLT|57DUR|678VULN|7BPWR|9CDMG|aTLV
113	65351 23213	   	271.61	ACR|3VULN|1TLV|2DUR|1CDMG|1AART	1AART|2RCR|3RMIN|47DUR|5RPLT|67aVULN|7BPWR|8CDMG|9TLV
114	65351 23333	   	271.61	ACR|3VULN|1TLV|2DUR|1CDMG|1AART	1AART|2RCR|3RMIN|47DUR|5RPLT|678VULN|7BPWR|9CDMG|aTLV
115	57331 44184	   	271.49	ACR|DCR|2TLV|1VULN	1MBVNT|28TLV|3VULN|4aRCR|5FEWX|6RPLT|7AME|9MDPS
116	63443 84433	 * 	271.42	DCR|2TLV|1VULN|1AEFBLL|1DMG|1CDMG|1AART	1AART|2MBVNT|3DMG|4AEFBLL|58TLV|6RAT|7VULN|9RCR|aCDMG
117	51344 26152	   	271.15	DCR|DCR|2TLV|1VULN|1SELL	1MBVNT|2MDPS|3CGEN|4SELL|5VULN|67TLV|8aRCR|9CANARM
118	58124 31233	   	270.84	DCR|2TLV|2VULN|3DUR	1MBVNT|239DUR|4LWND|59VULN|6RAT|7ZMB|89TLV|9BPWR|aRCR
119	54227 81432	   	270.75	DCR|3VULN|1TLV|2ASPD	1MBVNT|28ASPD|3DUR|49aVULN|5ZMB|6TLV|7RCR
120	58114 31233	   	270.74	DCR|2TLV|2VULN|3DUR	1MBVNT|239DUR|4LEGI|59VULN|6RAT|7ZMB|89TLV|9BPWR|aRCR
121	65221 33633	   	270.71	ACR|2VULN|1TLV|2DMG|2DUR|1AART	1AART|2RCR|349ERES|59DMG|6aDUR|7TLV|89VULN|9BPWR
122	57261 43441	   	270.61	DCR|3TLV|2VULN|3DUR	1MBVNT|249TLV|345DUR|49BPWR|6RCR|79VULN|8BELT|aLHND
123	57261 43442	   	270.61	DCR|3TLV|2VULN|3DUR	1MBVNT|249TLV|345DUR|49BPWR|6RCR|79VULN|8BELT|aRCVC
124	57261 43443	   	270.61	DCR|3TLV|2VULN|3DUR	1MBVNT|249TLV|345DUR|49BPWR|6RCR|79VULN|8BELT|aRPLT
125	57261 43324	   	270.51	DCR|3TLV|2VULN|3DUR	1MBVNT|248TLV|345DUR|4BPWR|6RCR|7aVULN|9LIT
126	63382 23742	   	270.49	DCR|2TLV|2VULN|1AEFBLL|1AART	1AART|2MBVNT|39LHND|4DUR|59TLV|69VULN|7RCR|8DMSP|9BPWR|aAEFBLL
127	57325 31213	   	270.29	ACR|2TLV|2VULN|1DMG|1AART	1MBVNT|29TLV|34VULN|5RCR|6DMG|7AART|8BEXP|aDUR
128	57325 31313	   	270.29	ACR|2TLV|2VULN|1DMG|1AART	1MBVNT|29TLV|34VULN|5RCR|6DMG|7AART|8LWND|aDUR
129	57333 71121	   	270.29	ACR|2TLV|2VULN|1AEFBLL|1AART	1MBVNT|28TLV|39VULN|4RCR|5DMSP|6AEFBLL|7DUR|aAART
130	57331 32522	   	270.21	ACR|2TLV|2VULN|1DMG|1CDMG	1MBVNT|29TLV|37VULN|4RCR|5FEWX|6DMG|8CDMG|aZMB
131	57336 32432	   	269.06	ACR|4VULN|1TLV|1DMG	1MBVNT|2TLV|379aVULN|4RCR|5DUST|6DMG|8MLV
132	57423 47432	   	269.06	DCR|4VULN|1TLV|1DMG	1MBVNT|2TLV|3DUST|459aVULN|6RCR|7DMG|8MLV
