0	Index      	 *	Score 	Summary	Detail	
1	22222 35264	 * 	308.49	DCR|DCR|2TLV|2VULN	1aTLV|2AAC|34VULN|5ZMB|6TSLFST|79RCR|8CGEN
15	62221 35261	   	291.95	DCR|DCR|2VULN|1TLV	1ZMB|2AAC|34VULN|5TLV|6TSLFST|79RCR|8CGEN|aDUR
16	22221 52411	   	291.02	DCR|3VULN|2TLV|1AEFBLL	15TLV|2AAC|347VULN|6RAT|8DUR|9AEFBLL|aRCR
17	22221 52461	   	291.02	DCR|3VULN|2TLV|1AEBURN	15TLV|2AAC|347VULN|6RAT|8DUR|9AEBURN|aRCR
18	23212 56315	 * 	290.57	DCR|2TLV|2VULN|3DUR|1AEPOI|1ASPD	15TLV|268DUR|3AEPOI|47VULN|9ASPD|aRCR
19	22253 14222	   	290.01	DCR|DCR|2TLV|1VULN|1DMG|1ASPD|1MSE	16TLV|2AAC|3VULN|4MDPS|5MSE|7aRCR|8ASPD|9DMG
20	22223 35562	   	289.00	DCR|DCR|2VULN|1TLV|1ASPD	1TLV|2AAC|34VULN|5ASPD|6TSLFST|79RCR|8CGEN|aAME
21	22223 35563	   	289.00	DCR|DCR|2VULN|1TLV|1ASPD	1TLV|2AAC|34VULN|5ASPD|6TSLFST|79RCR|8CGEN|aFEWX
22	11223 13422	 * 	288.07	DCR|3TLV|3VULN|2AEBURN	18AEBURN|2RCVC|3MDPS|468VULN|578TLV|8BPWR|9RMIN|aRCR
23	15222 23452	   	288.07	DCR|3TLV|3VULN|2AEBURN	18AEBURN|2FEWX|348VULN|5DUST|6CGEN|789TLV|8BPWR|aRCR
24	23331 67337	 * 	287.83	DCR|2TLV|2VULN|2DMG|1AART|1SELL	1aTLV|2DUR|3RPLT|4aDMG|5MBVNT|6aVULN|7RCR|8SELL|9AART|aBPWR
25	16632 22221	   	286.59	DCR|2TLV|2VULN|1DMG|1AEBURN	1AEBURN|28VULN|3RAT|4DUR|58TLV|6DMG|78VENTOX|8BPWR|9CGEN|aRCR
26	16632 26221	   	286.39	DCR|2TLV|2VULN|1DMG|1AEBURN	1AEBURN|28VULN|3RAT|4DUR|58TLV|6DMG|78MSLTOX|8BPWR|9CGEN|aRCR
27	21122 64143	 * 	285.69	DCR|2TLV|2VULN|2ASPD|1AEBURN	19TLV|2LWND|39AME|46VULN|5DUR|79ASPD|8RCR|9BPWR|aAEBURN
28	22312 35562	   	285.34	DCR|DCR|2TLV|1VULN|1ASPD	15TLV|2AAC|3ASPD|4VULN|6TSLFST|79RCR|8CGEN|aAME
29	22312 35563	   	285.34	DCR|DCR|2TLV|1VULN|1ASPD	15TLV|2AAC|3ASPD|4VULN|6TSLFST|79RCR|8CGEN|aFEWX
30	23134 16123	   	285.26	DCR|4VULN|2TLV	19TLV|2DUR|39AME|4MLV|5FEWX|679aVULN|8RCR|9BPWR
31	23144 16123	   	285.16	DCR|4VULN|2TLV	19TLV|2DUR|39AME|4ERES|5FEWX|679aVULN|8RCR|9BPWR
32	23134 16122	   	284.28	DCR|3VULN|2TLV|1AEFBLL	19TLV|2DUR|39AME|4MLV|5FEWX|679VULN|8RCR|9BPWR|aAEFBLL
33	21266 11143	   	284.18	DCR|3VULN|2TLV|2AEPOI	19TLV|2LWND|39AEPOI|4FEWX|5DUR|69aVULN|7RCVC|8RCR|9BPWR
34	21266 12143	   	284.18	DCR|3VULN|2TLV|2AEPOI	19TLV|2LWND|39AEPOI|47FEWX|5DUR|69aVULN|8RCR|9BPWR
35	23144 16122	   	284.18	DCR|3VULN|2TLV|1AEFBLL	19TLV|2DUR|39AME|4ERES|5FEWX|679VULN|8RCR|9BPWR|aAEFBLL
36	23261 11143	   	284.18	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|4FEWX|5LWND|69aVULN|7RCVC|8RCR|9BPWR
37	23261 12143	   	284.18	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|47FEWX|5LWND|69aVULN|8RCR|9BPWR
38	23261 16142	   	284.18	DCR|3VULN|2TLV|1AEFBLL|2AEPOI	19TLV|2DUR|39AEPOI|4FEWX|5LWND|679VULN|8RCR|9BPWR|aAEFBLL
39	23265 11143	   	284.18	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|4FEWX|5BEXP|69aVULN|7RCVC|8RCR|9BPWR
40	23265 12143	   	284.18	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|47FEWX|5BEXP|69aVULN|8RCR|9BPWR
41	23215 21143	   	284.08	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|49aVULN|5MDPS|6DMSP|7RCVC|8RCR|9BPWR
42	23241 11143	   	284.08	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|4DUST|5LWND|69aVULN|7RCVC|8RCR|9BPWR
43	23244 11143	   	284.08	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|4DUST|5FEWX|69aVULN|7RCVC|8RCR|9BPWR
44	23244 12143	   	284.08	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|4DUST|57FEWX|69aVULN|8RCR|9BPWR
45	23212 13165	   	284.04	DCR|2TLV|2VULN|1AEPOI|1CDMG|1AART	15TLV|2DUR|3AEPOI|4aVULN|6MLV|7CDMG|8AART|9RCR
46	23244 13143	   	283.98	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|47DUST|5FEWX|69aVULN|8RCR|9BPWR
47	15223 66112	   	283.96	DCR|2TLV|2VULN|1AEBURN|1ASPD|1CDMG	1AEBURN|2FEWX|34VULN|5CDMG|6RAT|7ASPD|8RCR|9aTLV
48	16123 66112	   	283.96	DCR|2TLV|2VULN|1AEBURN|1ASPD|1CDMG	1AEBURN|24VULN|3LHND|5CDMG|6RAT|7ASPD|8RCR|9aTLV
49	16213 66112	   	283.96	DCR|2TLV|2VULN|1AEBURN|1ASPD|1CDMG	1AEBURN|23VULN|4BEXP|5CDMG|6RAT|7ASPD|8RCR|9aTLV
50	16223 66112	   	283.96	DCR|2TLV|2VULN|1AEBURN|1ASPD|1CDMG	1AEBURN|23VULN|4LHND|5CDMG|6RAT|7ASPD|8RCR|9aTLV
51	22222 53616	   	283.45	DCR|3TLV|2VULN|2DUR|1AART|2ZMB	17aTLV|2AAC|34VULN|5aZMB|6aDUR|8RCR|9AART|aBPWR
52	22231 13141	   	282.82	DCR|3VULN|2TLV|2DUR	19TLV|2AAC|369VULN|4BEXP|5ERES|79DUR|8RCR|9BPWR|aNUKE
53	22244 13141	   	282.82	DCR|3VULN|2TLV|2DUR	19TLV|2AAC|369VULN|4ERES|5FEWX|79DUR|8RCR|9BPWR|aNUKE
54	22222 35262	   	282.29	DCR|DCR|2VULN|1TLV	1TLV|2AAC|34VULN|5ZMB|6TSLFST|79RCR|8CGEN|aAME
55	22222 35263	   	282.29	DCR|DCR|2VULN|1TLV	1TLV|2AAC|34VULN|5ZMB|6TSLFST|79RCR|8CGEN|aFEWX
56	62221 35262	   	282.29	DCR|DCR|2VULN|1TLV	1ZMB|2AAC|34VULN|5TLV|6TSLFST|79RCR|8CGEN|aAME
57	62221 35263	   	282.29	DCR|DCR|2VULN|1TLV	1ZMB|2AAC|34VULN|5TLV|6TSLFST|79RCR|8CGEN|aFEWX
58	22244 33141	   	282.28	DCR|3TLV|2VULN|1DMG|2DUR	169TLV|2AAC|39VULN|4ERES|56FEWX|69BPWR|79DUR|8RCR|aDMG
59	22222 35266	   	282.19	DCR|DCR|2VULN|1TLV	1TLV|2AAC|34VULN|5ZMB|6TSLFST|79RCR|8CGEN|aAEFRZ
60	22231 33141	   	282.18	DCR|3TLV|2VULN|1DMG|2DUR	169TLV|2AAC|39VULN|4BEXP|56ERES|69BPWR|79DUR|8RCR|aDMG
61	23214 13462	   	282.18	DCR|3TLV|2VULN|1AEPOI|2DUR	178TLV|28DUR|3AEPOI|46VULN|58FEWX|8BPWR|9ERES|aRCR
62	22231 13146	 * 	281.65	DCR|3VULN|2TLV|3DUR	19TLV|2AAC|369VULN|4BEXP|5ERES|79aDUR|8RCR|9BPWR
63	22221 52311	   	281.36	DCR|3VULN|2TLV|1AEFBLL	15TLV|2AAC|347VULN|6RAT|8LHND|9AEFBLL|aRCR
64	22221 52511	   	281.36	DCR|3VULN|2TLV|1AEFBLL	15TLV|2AAC|347VULN|6RAT|8BEXP|9AEFBLL|aRCR
65	22221 52611	   	281.36	DCR|3VULN|2TLV|1AEFBLL	15TLV|2AAC|347VULN|6RAT|8FEWX|9AEFBLL|aRCR
66	26341 13142	 * 	280.96	DCR|2TLV|2VULN|3ASPD|1CDMG	19TLV|2CGEN|379ASPD|4DUST|5LWND|69VULN|8RCR|9BPWR|aCDMG
67	56123 31222	 * 	280.96	DCR|3TLV|2VULN|2DMG	1BEXP|26DMG|3AME|48VULN|569TLV|6BPWR|7ERES|aRCR
68	21262 16143	   	280.27	DCR|4VULN|2TLV|2AEPOI|1MSE	19TLV|2LWND|39AEPOI|4FEWX|5MSE|679aVULN|8RCR|9BPWR
69	22231 13144	   	280.10	DCR|3VULN|2TLV|2DUR	19TLV|2AAC|369VULN|4BEXP|5ERES|79DUR|8RCR|9BPWR|aRAT
70	22221 52441	   	280.00	DCR|3VULN|2TLV|2DUR	15TLV|2AAC|347VULN|6RAT|89DUR|aRCR
71	45141 13322	 * 	279.10	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1MDPS|2RCVC|3RMIN|48RCR|5VULN|6LHND|7CDMG|9AEPOI|aTLV
72	45141 23322	   	279.10	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1MDPS|2RCVC|3RMIN|48RCR|5VULN|6LWND|7CDMG|9AEPOI|aTLV
73	62216 36332	   	278.63	DCR|DCR|2TLV|1VULN	1ZMB|2AAC|3VULN|4RPLT|5BEXP|6FEWX|78RCR|9aTLV
