0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33454 13212	5	 * 	302.96	橙4易伤3伤害1等级2暴击	1279易伤37a伤害4攻速5等级67暴击7序列升级8核
50	33233 36162	9	   	277.55	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a低血量敌人
51	33233 36163	10	   	277.55	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a基地爆炸
52	33233 36165	9	   	277.55	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a最后敌人
53	33233 36165	10	   	277.55	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a随机矿
54	33233 36162	10	   	277.45	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a挖尘
55	33233 36163	9	   	277.45	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a挖青
56	33233 36164	9	   	277.45	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a挖尘
57	33233 36166	9	   	277.45	橙5易伤3时间3雷电1核弹	12689易伤359时间459雷电59序列升级7核a核弹
58	33453 13212	4	   	276.76	橙4易伤3伤害2暴击	1279易伤37a伤害4攻速5金币生成67暴击7序列升级8核
59	33454 13212	4	   	276.76	橙4易伤3伤害2暴击	1279易伤37a伤害4攻速5矿等67暴击7序列升级8核
60	33456 13212	5	   	276.76	橙4易伤3伤害2暴击	1279易伤37a伤害4攻速5金币生成67暴击7序列升级8核
61	23313 13451	6	   	276.76	橙4易伤3伤害3雷电	179雷电2攻速379伤害4679易伤5平台79序列升级8赏金邻近a核
62	33354 13212	5	   	276.37	橙4易伤2等级1伤害2攻速1卖塔	1279易伤3策反47攻速57等级6卖塔7序列升级8核a伤害
63	36126 34321	5	   	276.20	橙3易伤2等级2时间2攻速	18a易伤2a等级38攻速48时间5全技能6核7额外掉落8a序列升级9a低血量敌人
64	36126 34331	5	   	276.20	橙3易伤2等级2时间2攻速	18a易伤2a等级38攻速48时间5全技能6核7额外掉落8a序列升级9a最后敌人
65	22312 51673	9	   	275.81	橙3易伤3时间2伤害3雷电	17a雷电2随机矿3a伤害47a易伤567时间7a序列升级8加一9核
66	36162 11512	9	   	275.72	橙2易伤3等级2时间1伤害1暴击	17易伤267等级3攻速4雷电57时间7序列升级8暴击9伤害a核
67	22421 31215	5	   	275.32	橙4易伤2等级1伤害2雷电	17雷电2随机矿3金币生成457a易伤67等级7序列升级8核9伤害
68	35261 31215	5	   	275.22	橙4易伤2等级1伤害2雷电	157a易伤2掉矿3随机矿47雷电67等级7序列升级8核9伤害
69	21611 43521	5	 * 	275.02	橙2等级3时间1易伤2伤害2雷电1暴击	17雷电2暴击378时间4a伤害5易伤67等级7序列升级9核
70	32512 22441	7	   	274.77	橙3易伤2等级2伤害	168易伤2挖尘3加一4全技能58等级78伤害8序列升级9攻速a核
71	32512 22741	8	   	274.77	橙3易伤2等级2伤害	168易伤2挖尘3加一4全技能58等级78伤害8序列升级9攻速a核
72	36121 42531	10	 * 	274.57	橙3易伤2时间1等级3攻速1伤害1卖塔	159易伤2等级369攻速49时间7卖塔8核9序列升级a伤害
73	33232 36651	7	   	273.98	橙4易伤2时间1等级1暴击	1269易伤35时间4雷电7核8暴击a等级
74	13221 63223	3	   	273.96	橙4易伤3时间1等级	17a金币生成279a易伤3随机矿4攻速5等级67a时间7a序列升级8核
75	36122 13251	3	 * 	273.73	橙3易伤2等级3暴击1伤害	17a易伤27等级3攻速4伤害5双倍矿679暴击7序列升级8核
76	36121 42533	9	 * 	273.52	橙3易伤2等级2时间3攻速1卖塔	159易伤2a等级369攻速49时间7卖塔8核9序列升级
77	36631 21223	8	   	273.35	橙3易伤2等级2时间2雷电	157易伤27等级3最后敌人4攻速67雷电7序列升级89时间a核
78	36631 21423	7	   	273.35	橙3易伤2等级2时间2雷电	157易伤27等级3最后敌人4攻速67雷电7序列升级89时间a核
79	36631 21321	8	   	273.35	橙3易伤2等级2时间2雷电	157易伤27等级3最后敌人4攻速67雷电7序列升级8核9a时间
80	36226 34321	5	   	273.27	橙3易伤2等级3时间	18a易伤28等级3随机矿48a时间5全技能6核7额外掉落8a序列升级9a低血量敌人
81	36226 34331	5	   	273.27	橙3易伤2等级3时间	18a易伤28等级3随机矿48a时间5全技能6核7额外掉落8a序列升级9a最后敌人
82	36533 31353	9	   	273.25	橙3易伤2等级2伤害1时间	14a易伤2a等级37金币生成5平台6核8时间9a伤害a序列升级
83	33421 41243	3	   	273.15	橙3易伤2等级2伤害1时间	12a易伤3a伤害4掉矿5立即金币6时间7核8随机矿9a等级a序列升级
84	33431 41243	4	   	273.15	橙3易伤2等级2伤害1时间	12a易伤3a伤害4掉矿5立即金币6时间7核8随机矿9a等级a序列升级
85	33224 62123	9	   	273.07	橙3易伤2等级3时间	127易伤347时间57等级6双倍矿7序列升级8立即金币9核a全技能
