0	Index      	 *	Score 	Summary	Detail	
1	42121 24622	 * 	304.98	DCR|DCR|2LIT|1TLV|1DMG|2AART	16LIT|29AART|3DUR|4TLV|5RMIN|78RCR|aDMG
24	42622 53133	   	278.99	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2AART|3FEWX|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aDUST
25	46231 51332	 * 	277.91	ACR|DCR|2VULN|1TLV|1LIT	1LIT|2DUR|39RCR|4aVULN|5AART|6TLV|7DMSP|8VENFST
26	24224 23333	   	277.90	DCR|DCR|1LIT|1VULN|1DMG|1RPLT|1ASPD	1ASPD|2BBNT|3RPLT|4MBVNT|5DMG|6aRCR|7FEWX|8LIT|9VULN
27	24224 25343	   	277.90	DCR|DCR|1LIT|1VULN|1DMG|1RPLT|1ASPD	1ASPD|2BBNT|3RPLT|4MBVNT|5DMG|6aRCR|7VULN|8LIT|9FEWX
28	23134 24113	 * 	277.64	DCR|3VULN|2LIT|1TLV|1ASPD	1ASPD|2AART|3LHND|46LIT|5TLV|7RCR|89aVULN
29	33134 24113	   	277.64	DCR|3VULN|2LIT|1TLV|1ASPD	1AART|2ASPD|3LHND|46LIT|5TLV|7RCR|89aVULN
30	42121 24143	 * 	277.17	DCR|3LIT|1TLV|1VULN|2ASPD|2DUR	16aLIT|2AART|3aDUR|4TLV|5RMIN|7RCR|8VULN|9aASPD|aBPWR
31	42121 24613	   	277.07	DCR|DCR|2LIT|1TLV	16LIT|2AART|3DUR|4TLV|5RMIN|78RCR|9LWND|aBEXP
32	42121 24631	   	277.07	DCR|DCR|2LIT|1TLV	16LIT|2AART|3DUR|4TLV|5RMIN|78RCR|9CGEN|aLWND
33	42121 24632	   	277.07	DCR|DCR|2LIT|1TLV	16LIT|2AART|3DUR|4TLV|5RMIN|78RCR|9CGEN|aFEWX
34	42121 24633	   	277.07	DCR|DCR|2LIT|1TLV	16LIT|2AART|3DUR|4TLV|5RMIN|78RCR|9CGEN|aLHND
35	42163 23251	 * 	276.55	DCR|2VULN|2LIT|1TLV|1MLV	19LIT|2AART|3DUR|48VULN|5MLV|6TLV|7BBNT|aRCR
36	32227 54622	   	276.34	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1AART|2MBVNT|3DMG|4MLV|57TLV|6VULN|8LIT|9RPLT|aRCR
37	32521 24871	 * 	275.40	DCR|DCR|2MLV|1TLV|1VULN	1AART|2MBVNT|34MLV|5VULN|6FEWX|7TLV|89RCR|aCGEN
38	32521 24873	   	275.40	DCR|DCR|2MLV|1TLV|1VULN	1AART|2MBVNT|34MLV|5VULN|6FEWX|7TLV|89RCR|aLHND
39	32521 24874	   	275.40	DCR|DCR|2MLV|1TLV|1VULN	1AART|2MBVNT|34MLV|5VULN|6FEWX|7TLV|89RCR|aLWND
40	32332 54874	 * 	275.39	DCR|DCR|2TLV|1VULN|2AART	14AART|2MBVNT|3FEWX|5CGEN|6VULN|7aTLV|89RCR
41	32521 24872	   	275.30	DCR|DCR|2MLV|1TLV|1VULN	1AART|2MBVNT|34MLV|5VULN|6FEWX|7TLV|89RCR|aLEGI
