0	Index      	 *	Score 	Summary	Detail	
1	15343 22226	 * 	275.45	DCR|3LIT|2DMG|1VULN|1MLV	1TLV|27DMG|368LIT|4ZMB|5MLV|9RCR|aVULN
52	15336 62323	   	256.34	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|25DMG|3LIT|4MLV|69VULN|7RCVC|8RCR|aRPLT
53	21312 21156	   	256.28	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|2FEWX|3CDMG|468VULN|5LHND|7RCR|9LIT|aMLV
54	24311 21156	   	256.28	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|248VULN|3CDMG|5FEWX|6BEXP|7RCR|9LIT|aMLV
55	24313 21156	   	256.28	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|248VULN|3CDMG|5LHND|6BEXP|7RCR|9LIT|aMLV
56	15336 12326	   	256.24	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|25DMG|3LIT|4MLV|6LEGI|7RCVC|8RCR|9aVULN
57	15336 62321	   	256.24	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|25DMG|3LIT|4MLV|69VULN|7RCVC|8RCR|aERES
58	15336 62322	   	256.24	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1TLV|25DMG|3LIT|4MLV|69VULN|7RCVC|8RCR|aDUR
59	15352 35341	   	256.24	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|2aDMG|3LIT|4FEWX|59VULN|6MBVNT|7MLV|8RCR
60	21313 21156	   	256.18	DCR|3VULN|1LIT|1MLV|1CDMG|1DUR	1LWND|2FEWX|3CDMG|468VULN|5DUR|7RCR|9LIT|aMLV
61	12232 64841	   	256.14	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1TLV|2DUR|3MLV|4LIT|5aDMG|69VULN|7MBVNT|8RCR
62	15132 35341	   	256.14	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|2aDMG|3DUST|4LIT|59VULN|6MBVNT|7MLV|8RCR
63	15312 35341	   	256.14	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|2aDMG|3LIT|4DUST|59VULN|6MBVNT|7MLV|8RCR
64	45213 22332	 * 	255.43	ACR|2LIT|2VULN|3DMG|1ASPD	1aERES|28aDMG|3RCR|4AART|57LIT|6ASPD|9aVULN|aBPWR
65	22232 24621	   	255.23	DCR|2LIT|2MLV|1VULN|1DMG	19LWND|2ZMB|39MLV|46LIT|5VULN|7RCR|89LSRREG|9BPWR|aDMG
66	22232 24436	   	255.05	DCR|3LIT|1VULN|1MLV|1ASPD	1LWND|2ZMB|3MLV|469LIT|5VULN|7RCR|8LHND|aASPD
67	22632 24251	   	255.05	DCR|3LIT|1VULN|1MLV|1CDMG	1LWND|2ZMB|3CGEN|469LIT|5VULN|7RCR|8CDMG|aMLV
68	22236 33626	 * 	255.00	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1ASPD	1LWND|2ZMB|3MLV|4LIT|5ASPD|6FRZICY|7RCR|8DMG|9FLTARM|aVULN
69	22232 24334	   	254.95	DCR|3LIT|1VULN|1MLV|1ASPD	1LWND|2ZMB|3MLV|469LIT|5VULN|7RCR|8MBVNT|aASPD
70	15333 61227	   	254.68	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|6aVULN|7ZMB|8MBVNT|9RCR
71	15311 35381	   	254.62	ACR|2LIT|2VULN|2DMG|1MLV	19TLV|2aDMG|39LIT|4DUST|5RCR|6MBVNT|7MLV|89VULN|9BPWR
72	21332 41244	   	254.41	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|29FEWX|3CDMG|4DMG|59VULN|6MLV|7RCR|89BEXP|9BPWR|aLIT
73	15233 35382	   	254.38	ACR|2LIT|2VULN|1MLV|1DMG|1CDMG	19TLV|2DMG|3RCR|49LIT|5BEXP|6MBVNT|7MLV|89VULN|9BPWR|aCDMG
74	15233 31482	   	254.38	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	19TLV|2DMG|3RCR|49LIT|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR|aMLV
75	15234 32423	   	254.28	ACR|2LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2DMG|3RCR|46LIT|5CDMG|78VULN|9RPLT|aMLV
76	15511 21342	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2DMG|3MLV|4LWND|58VULN|6LHND|7RCR|9LIT|aCDMG
77	21332 41114	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4DMG|58VULN|6MLV|7RCR|9LHND|aLIT
78	21332 41131	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4DMG|58VULN|6MLV|7RCR|9RCVC|aLIT
79	21332 41154	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4DMG|58VULN|6MLV|7RCR|9LIT|aCGEN
80	25332 41111	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|29LHND|3CDMG|4DMG|58VULN|6MLV|7RCR|aLIT
81	25332 41126	   	254.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2LHND|3CDMG|4DMG|58VULN|6MLV|7RCR|9RMIN|aLIT
82	45233 31482	   	254.18	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	19ERES|2DMG|3RCR|49LIT|5BEXP|6MBVNT|7ASPD|89VULN|9BPWR|aMLV
83	14231 41342	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1TLV|2LHND|3MLV|4DMG|58VULN|6DUR|7RCR|9LIT|aCDMG
84	15521 21342	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1TLV|2DMG|3MLV|4DUR|58VULN|6LHND|7RCR|9LIT|aCDMG
85	66332 41131	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DUST|2LWND|3CDMG|4DMG|58VULN|6MLV|7RCR|9RCVC|aLIT
86	12224 61341	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1TLV|2DUR|3MLV|4LHND|58VULN|6ASPD|7RCR|9LIT|aDMG
87	12453 21342	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1TLV|2DUR|38VULN|4MLV|5DMG|6LHND|7RCR|9LIT|aCDMG
88	21332 41151	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1LWND|2FEWX|3CDMG|4DMG|58VULN|6MLV|7RCR|9LIT|aDUR
89	21332 41152	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4DMG|58VULN|6MLV|7RCR|9LIT|aDUST
90	21332 41155	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4DMG|58VULN|6MLV|7RCR|9LIT|aMBVNT
91	35324 32532	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1BELT|2MLV|3DUR|4ASPD|5aVULN|6AART|7RCR|8DMG|9LIT
92	46263 13331	   	253.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|26VULN|3SNITOX|4MBVNT|5LIT|7RCR|8ASPD|9DMG|aMLV
93	15234 32126	   	253.62	ACR|2LIT|2VULN|2DMG|1CDMG|1ASPD	1TLV|2aDMG|3RCR|46LIT|5CDMG|7aVULN|8ASPD|9aFEWX|aBPWR
94	15234 32161	   	253.42	ACR|2LIT|2VULN|2DMG|1CDMG|1ASPD	1TLV|29DMG|3RCR|46LIT|5CDMG|7aVULN|8ASPD
95	15234 42111	   	253.42	ACR|2LIT|2VULN|2DMG|1CDMG|1ASPD	1TLV|26DMG|3RCR|49LIT|5CDMG|7aVULN|8ASPD
96	15234 32113	   	253.13	ACR|3LIT|2VULN|1DMG|1CDMG|1ASPD	1TLV|2DMG|3RCR|469LIT|5CDMG|7aVULN|8ASPD
97	22234 32161	   	252.90	DCR|1LIT|1VULN|1MLV|2CDMG|1DMG|1ASPD|2ZMB	1LWND|26ZMB|3MLV|4LIT|56CDMG|6BPWR|7VULN|8ASPD|9DMG|aRCR
98	22234 32261	   	252.90	DCR|1LIT|1VULN|1MLV|2CDMG|1DMG|1ASPD|2ZMB	1LWND|26ZMB|3MLV|4LIT|56CDMG|6BPWR|7VULN|8DMG|9ASPD|aRCR
99	24331 65321	   	252.68	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|278VULN|3CDMG|4MLV|5RMIN|6LHND|9RCR|aLIT
100	24332 11421	   	252.68	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|257VULN|3CDMG|4MLV|6CGEN|8LHND|9RCR|aLIT
101	24313 55221	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|247VULN|3CDMG|5LHND|6MLV|8ERES|9RCR|aLIT
102	24332 41421	   	252.58	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|257VULN|3CDMG|4MLV|6ERES|8LHND|9RCR|aLIT
103	24332 45321	   	252.48	DCR|3VULN|1LIT|1MLV|1CDMG	1LWND|258VULN|3CDMG|4MLV|6ERES|7DUST|9RCR|aLIT
104	13334 25236	   	252.44	DCR|3VULN|1LIT|1MLV|1ASPD|1SELL	1TLV|2SELL|3ASPD|456VULN|7AART|8MLV|9RCR|aLIT
105	15352 35342	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2DMG|3LIT|4FEWX|59VULN|6MBVNT|7MLV|8RCR|aCDMG
106	12232 64842	   	252.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1TLV|2DUR|3MLV|4LIT|5DMG|69VULN|7MBVNT|8RCR|aCDMG
107	15132 35342	   	252.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2DMG|3DUST|4LIT|59VULN|6MBVNT|7MLV|8RCR|aCDMG
108	15312 35342	   	252.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2DMG|3LIT|4DUST|59VULN|6MBVNT|7MLV|8RCR|aCDMG
109	11335 23622	   	252.05	DCR|1LIT|2VULN|2DMG|2ASPD	1TLV|2MULHEA|3aASPD|48DMG|59VULN|6LIT|7RCR
110	41335 23622	   	251.95	DCR|1LIT|2VULN|2DMG|2ASPD	1ERES|2MULHEA|3aASPD|48DMG|59VULN|6LIT|7RCR
111	11542 23115	   	251.78	DCR|2LIT|2VULN|1DMG|1CDMG|1SELL	19TLV|2MULHEA|39VULN|4ZMB|5DMG|69LIT|7RCR|8SELL|9BPWR|aCDMG
112	24156 22323	 * 	251.77	DCR|2LIT|3VULN|1DMG	13LWND|269VULN|4RCVC|56LIT|6BPWR|7DMG|8RCR|aRPLT
113	24156 22321	   	251.67	DCR|2LIT|3VULN|1DMG	13LWND|269VULN|4RCVC|56LIT|6BPWR|7DMG|8RCR|aERES
114	24156 22322	   	251.67	DCR|2LIT|3VULN|1DMG|1DUR	13LWND|269VULN|4RCVC|56LIT|6BPWR|7DMG|8RCR|aDUR
115	64212 62323	   	251.57	DCR|2LIT|3VULN|1DMG	1DUST|269VULN|34LIT|5DMG|7RCVC|8RCR|aRPLT
116	64212 62321	   	251.47	DCR|2LIT|3VULN|1DMG	1DUST|269VULN|34LIT|5DMG|7RCVC|8RCR|aERES
117	64212 62322	   	251.47	DCR|2LIT|3VULN|1DMG|1DUR	1DUST|269VULN|34LIT|5DMG|7RCVC|8RCR|aDUR
118	64212 63323	   	251.47	DCR|2LIT|3VULN|1DMG	17DUST|269VULN|34LIT|5DMG|8RCR|aRPLT
119	64212 63321	   	251.37	DCR|2LIT|3VULN|1DMG	17DUST|269VULN|34LIT|5DMG|8RCR|aERES
120	64212 63322	   	251.37	DCR|2LIT|3VULN|1DMG|1DUR	17DUST|269VULN|34LIT|5DMG|8RCR|aDUR
121	22236 16263	   	251.31	DCR|1LIT|1VULN|1MLV|2CDMG|1DMG|1ASPD	1LWND|2ZMB|3MLV|4LIT|5ASPD|67CDMG|8DMG|9RCR|aVULN
122	15351 31482	   	250.78	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	19TLV|2DMG|39LIT|4FEWX|5RCR|6MBVNT|7ASPD|89VULN|9BPWR|aMLV
123	15124 41322	   	250.77	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1TLV|2DMG|3DUST|4LWND|5VULN|6MLV|7RCR|8ASPD|9aLIT
124	15531 51322	   	250.77	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1TLV|2DMG|3MLV|4FEWX|5VULN|6LEGI|7RCR|8ASPD|9aLIT
125	15311 35382	   	250.68	ACR|2LIT|2VULN|1MLV|1DMG|1CDMG	19TLV|2DMG|39LIT|4DUST|5RCR|6MBVNT|7MLV|89VULN|9BPWR|aCDMG
126	15311 31482	   	250.68	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	19TLV|2DMG|39LIT|4DUST|5RCR|6MBVNT|7ASPD|89VULN|9BPWR|aMLV
127	32542 32632	   	250.51	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BELT|2DUST|3DMG|4MLV|5LIT|6FEWX|7aVULN|8CDMG|9RCR
128	45311 31482	   	250.48	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	19ERES|2DMG|39LIT|4DUST|5RCR|6MBVNT|7ASPD|89VULN|9BPWR|aMLV
129	22232 24526	   	250.30	DCR|2LIT|2VULN|1MLV	18LWND|2ZMB|3MLV|46LIT|5aVULN|7RCR|9LHND
130	22224 31442	   	250.30	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|4LHND|58VULN|6CGEN|7RCR|9aLIT
131	22224 61342	   	250.30	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|4LHND|58VULN|6TLV|7RCR|9aLIT
132	22241 21442	   	250.30	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|4RMIN|58VULN|6LHND|7RCR|9aLIT
133	45232 13522	 * 	250.26	ACR|3LIT|2VULN|2DMG	1ERES|25DMG|3RCR|47aLIT|6ZMB|89VULN
134	12231 44135	   	250.20	DCR|2LIT|2VULN|1MLV|1DUR	1TLV|2DUR|3MLV|49LIT|5ZMB|6CGEN|7RCR|8aVULN
135	22222 61342	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|4LHND|5ERES|68VULN|7RCR|9aLIT
136	22224 11342	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|4LHND|58VULN|6ERES|7RCR|9aLIT
137	22232 24145	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|5aVULN|7RCR|8ERES|9CGEN
138	22232 24151	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|59VULN|7RCR|8ERES|aCGEN
139	22232 24152	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|59VULN|7RCR|8ERES|aDMSP
140	22232 24532	   	250.20	DCR|2LIT|2VULN|1MLV	18LWND|2ZMB|3MLV|46LIT|5aVULN|7RCR|9SNITOX
141	22232 24542	   	250.20	DCR|2LIT|2VULN|1MLV	18LWND|2ZMB|3MLV|46LIT|5aVULN|7RCR|9SPLARM
142	22232 24652	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|5aVULN|7RCR|8LSRREG|9TLV
143	22232 24663	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|59VULN|7RCR|8LSRREG|aTLV
144	22452 21342	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|38VULN|4MLV|5ERES|6LHND|7RCR|9aLIT
145	24252 21342	   	250.20	DCR|2LIT|2VULN|1MLV	1LWND|28VULN|3ZMB|4MLV|5ERES|6LHND|7RCR|9aLIT
146	22232 24153	   	250.10	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|59VULN|7RCR|8ERES|aDUST
147	22232 24155	   	250.10	DCR|2LIT|2VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|59VULN|7RCR|8aERES
148	24131 32266	 * 	249.87	DCR|2LIT|3VULN|1DMG|2DUR	136LWND|25aVULN|4DMG|7aLIT|8aDUR|9RCR|aBPWR
149	24131 32366	   	249.87	DCR|2LIT|3VULN|1DMG	136LWND|25aVULN|4DMG|7aLIT|8aDUST|9RCR|aBPWR
150	11251 22531	   	249.86	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1TLV|2MULHEA|3CGEN|4LIT|5RCVC|6RCR|7FLTARM|8MLV|9DMG|aVULN
151	11252 22531	   	249.86	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1TLV|2MULHEA|3CGEN|4LIT|5DMSP|6RCR|7FLTARM|8MLV|9DMG|aVULN
152	11255 22531	   	249.86	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1TLV|2MULHEA|35CGEN|4LIT|6RCR|7FLTARM|8MLV|9DMG|aVULN
153	11451 22531	   	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1TLV|2MULHEA|3ERES|4LIT|5RCVC|6RCR|7FLTARM|8MLV|9DMG|aVULN
154	11452 22531	   	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1TLV|2MULHEA|3ERES|4LIT|5DMSP|6RCR|7FLTARM|8MLV|9DMG|aVULN
155	41251 22531	   	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1ERES|2MULHEA|3CGEN|4LIT|5RCVC|6RCR|7FLTARM|8MLV|9DMG|aVULN
156	41252 22531	   	249.76	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG	1ERES|2MULHEA|3CGEN|4LIT|5DMSP|6RCR|7FLTARM|8MLV|9DMG|aVULN
157	46263 13424	 * 	249.47	DCR|4VULN|1LIT|1DMG	1ERES|2689VULN|3SNITOX|4MBVNT|5LIT|7RCR|aDMG
158	64211 61331	 * 	249.30	DCR|2LIT|2VULN|3ZMB|1DMG	1DUST|26VULN|34LIT|579ZMB|8RCR|aDMG
159	45232 13523	   	249.21	ACR|2LIT|2VULN|2DMG|1AART	1ERES|25DMG|3RCR|47LIT|6ZMB|89VULN|aAART
160	15352 11332	   	249.07	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1TLV|2DMG|3aLIT|4FEWX|5VULN|6LHND|7ASPD|8RCR|9MLV
161	15331 11326	   	248.99	DCR|1LIT|2VULN|1MLV|1DMG|2ZMB	1TLV|2DMG|3LIT|4MLV|5RMIN|67ZMB|8RCR|9aVULN
