0	Index      	 *	Score 	Summary	Detail	Bounty	
1	13211 24514	 * 	284.11	橙4易伤3伤害3暴击1全技能1卖塔	1随机矿2卖塔379a易伤4全技能59a暴击69a伤害8核9a序列升级	9
36	35323 66123	   	258.27	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9矿等a核	2
37	14113 61125	   	258.17	橙3易伤3伤害2时间	1随机矿239易伤4最后敌人569伤害79时间8赏金邻近9序列升级a核	2
38	14213 31125	   	258.17	橙3易伤3伤害2时间	1随机矿279易伤3基地爆炸49时间569伤害8赏金邻近9序列升级a核	4
39	14214 31125	   	258.17	橙3易伤3伤害2时间	1随机矿279易伤3基地爆炸49时间569伤害8赏金邻近9序列升级a核	5
40	14243 31125	   	258.17	橙3易伤3伤害2时间	1随机矿279易伤3基地爆炸49时间569伤害8赏金邻近9序列升级a核	3
41	35323 66111	   	258.17	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9挖尘a核	1
42	35323 66111	   	258.17	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9挖尘a核	2
43	14343 31125	   	258.07	橙3易伤3伤害2时间	1随机矿279易伤3挖尘49时间569伤害8赏金邻近9序列升级a核	2
44	13211 24512	 * 	257.42	橙3易伤2伤害2暴击1时间1全技能1卖塔	1随机矿2卖塔379易伤4全技能59暴击69伤害8核9序列升级a时间	9
45	62126 24232	   	257.29	橙4易伤2伤害1时间	18低血量敌人28伤害3478易伤5赏金邻近6核8序列升级9时间a攻速	1
46	63326 24232	   	257.29	橙4易伤2伤害1时间	18低血量敌人2478易伤38伤害5赏金邻近6核8序列升级9时间a攻速	2
47	14121 63261	   	256.80	橙3易伤2等级2伤害	1随机矿258易伤3挖青48等级68伤害7赏金塔8序列升级9核a敌人爆炸	4
48	14122 63261	   	256.80	橙3易伤2等级2伤害	1随机矿258易伤3挖青48等级68伤害7赏金塔8序列升级9核a敌人爆炸	5
49	35323 36363	   	256.17	橙3易伤2伤害2时间1暴击	1立即金币2随机矿37时间467易伤57伤害7序列升级8掉矿9核a暴击	1
50	35323 36363	   	256.17	橙3易伤2伤害2时间1暴击	1立即金币2随机矿37时间467易伤57伤害7序列升级8掉矿9核a暴击	2
51	63112 33264	   	255.88	橙5易伤1等级1时间	13低血量敌人23568易伤3序列升级4最后敌人7等级9核a时间	10
52	63132 33264	   	255.88	橙5易伤1等级1时间	13低血量敌人23568易伤3序列升级4敌人爆炸7等级9核a时间	10
53	14431 34223	   	255.85	橙3易伤3时间2伤害	1随机矿28a易伤37a时间4策反5金币生成6核9a伤害a序列升级	10
54	16531 34223	   	255.85	橙3易伤3时间2伤害	1随机矿27a时间38a易伤4策反5金币生成6核9a伤害a序列升级	10
55	14413 33125	   	255.75	橙3易伤3时间2伤害	1随机矿268易伤348时间58伤害7赏金邻近8序列升级9金币生成a核	4
56	16143 33125	   	255.75	橙3易伤3时间2伤害	1随机矿248时间368易伤58伤害7赏金邻近8序列升级9金币生成a核	2
57	16423 33125	   	255.75	橙3易伤3时间2伤害	1随机矿238时间468易伤58伤害7赏金邻近8序列升级9金币生成a核	3
58	16513 33125	   	255.75	橙3易伤3时间2伤害	1随机矿248时间368易伤58伤害7赏金邻近8序列升级9金币生成a核	4
59	63326 32235	   	255.75	橙3易伤3时间2伤害	18低血量敌人246易伤38伤害5赏金邻近789时间8序列升级a核	2
60	35323 36361	   	255.75	橙3易伤3时间2伤害	1立即金币2随机矿37a时间467易伤57伤害7序列升级8掉矿9核	1
61	35323 36361	   	255.75	橙3易伤3时间2伤害	1立即金币2随机矿37a时间467易伤57伤害7序列升级8掉矿9核	2
62	63314 32136	   	255.57	橙3易伤2等级2暴击1时间	19低血量敌人257易伤3额外掉落49暴击69等级8核9序列升级a时间	10
63	32653 24223	 * 	255.54	紫3易伤2等级2伤害2时间	1立即金币2核3a等级48a易伤5敌人爆炸67时间9a伤害a序列升级	10
64	32652 18223	   	255.44	紫3易伤2等级2伤害2时间	1立即金币2核3a等级478易伤5a时间6加一9a伤害a序列升级	10
65	63121 36363	   	255.36	橙4易伤2等级2雷电	13a低血量敌人236a易伤36a序列升级4平台56雷电7核8掉矿9a等级	10
