0	Index      	 *	Score 	Summary	Detail	
1	41112 46823	 * 	289.99	DCR|3VULN|1LIT|1FLTARM|1MLV|1CDMG	1CDMG|2BEXP|3MBVNT|4LIT|59aVULN|6MLV|7RCR|8FLTARM
19	41112 46842	   	268.46	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CDMG|2BEXP|3MBVNT|4aLIT|5VULN|6MLV|7RCR|8FLTARM|9CGEN
20	43112 46842	   	268.46	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CDMG|2LWND|3MBVNT|4aLIT|5VULN|6MLV|7RCR|8FLTARM|9CGEN
21	42112 46842	   	268.36	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CDMG|2DUST|3MBVNT|4aLIT|5VULN|6MLV|7RCR|8FLTARM|9CGEN
22	31624 53211	   	268.16	DCR|2MLV|3VULN|1LIT|1CDMG	12LHND|36MLV|456VULN|6BPWR|7LWND|8LIT|9RCR|aCDMG
23	41112 46822	   	267.85	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1CDMG|2aBEXP|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM
24	41112 46833	   	267.85	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1CDMG|2BEXP|3MBVNT|4LIT|5aVULN|6MLV|7RCR|8FLTARM|9RCVC
25	43112 46822	   	267.85	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1CDMG|2LWND|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aBEXP
26	42112 46822	   	267.75	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1CDMG|2DUST|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aBEXP
27	41112 46821	   	267.75	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1ASPD	1CDMG|2BEXP|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aASPD
28	41112 46824	   	267.75	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1CDMG|2BEXP|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aDUST
29	43112 46821	   	267.75	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1ASPD	1CDMG|2LWND|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aASPD
30	42112 46821	   	267.65	DCR|1LIT|2VULN|1FLTARM|1MLV|1ASPD|1CDMG	1CDMG|2DUST|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aASPD
31	13252 31514	   	267.30	DCR|2LIT|3VULN|1MLV	1CGEN|235VULN|4RPLT|6RCR|7BEXP|8MLV|9aLIT
32	13235 12646	 * 	267.17	DCR|3LIT|3VULN|2CDMG	1aCGEN|237VULN|4aCDMG|5MBVNT|68aLIT|9RCR|aBPWR
33	13235 17482	   	266.96	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1CGEN|23VULN|4CDMG|5MBVNT|6aLIT|7MLV|8ASPD|9RCR
34	13252 12551	 * 	265.87	DCR|5VULN|2LIT	1CGEN|2357aVULN|4RPLT|68LIT|9RCR
35	13336 11256	   	265.40	DCR|2LIT|3VULN|1MLV	1CGEN|258VULN|3BELT|4DUST|6aLIT|7RCR|9MLV
36	13246 36112	   	265.16	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1CGEN|23VULN|4ASPD|56LIT|7ERES|8MLV|9CDMG|aRCR
37	41112 43252	   	264.62	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1SELL	1CDMG|2BEXP|3MBVNT|4aLIT|5VULN|6MLV|7FLTARM|8SELL|9RCR
38	43112 43252	   	264.62	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1SELL	1CDMG|2LWND|3MBVNT|4aLIT|5VULN|6MLV|7FLTARM|8SELL|9RCR
39	46112 43252	   	264.62	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1SELL	1CDMG|2FEWX|3MBVNT|4aLIT|5VULN|6MLV|7FLTARM|8SELL|9RCR
40	42112 43252	   	264.52	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1SELL	1CDMG|2DUST|3MBVNT|4aLIT|5VULN|6MLV|7FLTARM|8SELL|9RCR
41	55123 23432	 * 	264.17	DCR|2LIT|2VULN|1MLV|2ASPD	1AART|2CGEN|39ASPD|4DUST|5MLV|69LIT|7BEXP|89VULN|9BPWR|aRCR
42	55123 21432	   	264.07	DCR|2LIT|2VULN|1MLV|2ASPD|1DUR	1AART|2CGEN|39ASPD|4DUST|5MLV|69LIT|7DUR|89VULN|9BPWR|aRCR
43	41112 43256	   	264.00	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1SELL	1CDMG|2BEXP|3MBVNT|4LIT|5aVULN|6MLV|7FLTARM|8SELL|9RCR
44	42112 43256	   	263.90	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1SELL	1CDMG|2DUST|3MBVNT|4LIT|5aVULN|6MLV|7FLTARM|8SELL|9RCR
45	13252 31515	 * 	263.60	DCR|4VULN|1LIT|1MLV	1CGEN|235aVULN|4RPLT|6RCR|7BEXP|8MLV|9LIT
46	13214 25262	 * 	263.52	DCR|2LIT|3VULN|1DMG|1ASPD	14CGEN|234VULN|4BPWR|5ASPD|6ERES|7DMG|8aLIT|9RCR
47	41112 43187	 * 	263.25	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1CDMG|2BEXP|3MBVNT|4LIT|5VULN|6MLV|7FLTARM|8ZMB|9DMG|aRCR
48	43112 43187	   	263.25	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1CDMG|2LWND|3MBVNT|4LIT|5VULN|6MLV|7FLTARM|8ZMB|9DMG|aRCR
49	42112 43187	   	263.15	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG	1CDMG|2DUST|3MBVNT|4LIT|5VULN|6MLV|7FLTARM|8ZMB|9DMG|aRCR
50	13336 11254	   	262.60	DCR|3VULN|1LIT|1MLV|1DMG	1CGEN|258VULN|3BELT|4DUST|6LIT|7RCR|9MLV|aDMG
51	13235 12641	   	262.53	DCR|2LIT|4VULN|1CDMG	1CGEN|237aVULN|4CDMG|5MBVNT|68LIT|9RCR
52	41112 43343	   	262.35	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1ASPD	1CDMG|2BEXP|3MBVNT|4LIT|59VULN|6MLV|7FLTARM|8ASPD|aRCR
53	41162 16413	   	261.66	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2BEXP|3MBVNT|4ASPD|5VULN|68aLIT|7RCR|9MLV
54	43115 26413	   	261.66	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2LWND|3MBVNT|48aLIT|5ASPD|6VULN|7RCR|9MLV
55	43161 26413	   	261.66	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2LWND|3MBVNT|4ASPD|58aLIT|6VULN|7RCR|9MLV
56	43162 16413	   	261.66	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2LWND|3MBVNT|4ASPD|5VULN|68aLIT|7RCR|9MLV
57	31123 21315	   	260.86	DCR|3LIT|2VULN|1MLV	12aLHND|3FEWX|4aVULN|5BEXP|6MLV|7RCR|89aLIT|aBPWR
58	31126 11315	   	260.86	DCR|3LIT|2VULN|1MLV	12aLHND|3FEWX|4aVULN|5MLV|6BEXP|7RCR|89aLIT|aBPWR
59	31621 11315	   	260.86	DCR|3LIT|2VULN|1MLV	12aLHND|3MLV|4aVULN|5LWND|6BEXP|7RCR|89aLIT|aBPWR
60	31121 21315	   	260.76	DCR|3LIT|2VULN|1MLV|1DUR	12aLHND|3FEWX|4aVULN|5DUR|6MLV|7RCR|89aLIT|aBPWR
61	31223 21315	   	260.76	DCR|3LIT|2VULN|1MLV	12aLHND|3DUST|4aVULN|5BEXP|6MLV|7RCR|89aLIT|aBPWR
62	31226 11315	   	260.76	DCR|3LIT|2VULN|1MLV	12aLHND|3DUST|4aVULN|5MLV|6BEXP|7RCR|89aLIT|aBPWR
63	31226 51315	   	260.76	DCR|3LIT|2VULN|1MLV	12aLHND|3DUST|4aVULN|5MLV|6FEWX|7RCR|89aLIT|aBPWR
64	13535 11314	   	260.66	DCR|3LIT|2VULN|1MLV|1DUR	1CGEN|2aVULN|3ERES|4DUR|5aLHND|6MLV|7RCR|89aLIT|aBPWR
65	13536 11314	   	260.66	DCR|3LIT|2VULN|1MLV|1DUR	1CGEN|2aVULN|3ERES|4DUR|5aFEWX|6MLV|7RCR|89aLIT|aBPWR
66	13543 11314	   	260.66	DCR|3LIT|2VULN|1MLV	1CGEN|2aVULN|3ERES|4DUST|5aBEXP|6MLV|7RCR|89aLIT|aBPWR
67	31221 21315	   	260.66	DCR|3LIT|2VULN|1MLV|1DUR	12aLHND|3DUST|4aVULN|5DUR|6MLV|7RCR|89aLIT|aBPWR
68	34126 11315	   	260.66	DCR|3LIT|2VULN|1MLV|2DUR	1aLHND|23DUR|4aVULN|5MLV|6BEXP|7RCR|89aLIT|aBPWR
69	13235 12644	   	260.66	DCR|3LIT|3VULN|1CDMG	1CGEN|237VULN|4CDMG|5MBVNT|68aLIT|9RCR
70	13342 11254	 * 	260.62	DCR|1LIT|2VULN|1MLV|1DMG|1NUKE	1CGEN|28VULN|3BELT|4DMG|5RMIN|6LIT|7RCR|9MLV|aNUKE
71	42162 16413	   	260.51	DCR|2LIT|1VULN|1MLV|1AART|1CDMG|1ASPD	1CDMG|2DUST|3MBVNT|4ASPD|5VULN|68LIT|7RCR|9MLV|aAART
72	13541 11314	   	260.46	DCR|3LIT|2VULN|1MLV|2DUR	1CGEN|2aVULN|3ERES|4DUST|5aDUR|6MLV|7RCR|89aLIT|aBPWR
73	13251 62262	   	260.00	DCR|2LIT|3VULN|1MLV	1CGEN|237VULN|4RPLT|56LIT|8ERES|9MLV|aRCR
