0	Index      	 *	Score 	Summary	Detail	
1	24241 26313	 * 	288.63	ACR|4VULN|2MLV|1LIT|1DMG|1ASPD	1ASPD|26MLV|3RCVC|4RCR|5678VULN|6BPWR|9DMG|aLIT
21	22223 15225	   	268.70	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|26aLIT|3MLV|4LHND|5CDMG|7RCR|8VULN|9ZMB
22	23416 41312	   	267.77	DCR|2LIT|2VULN|2ASPD|1DMG|2ZMB	18ASPD|2DUST|38ZMB|49VULN|5DMG|68LIT|7RCR|8BPWR|aLHND
23	23416 41313	   	267.67	DCR|2LIT|2VULN|2ASPD|1DMG|2ZMB	18ASPD|2aDUST|38ZMB|49VULN|5DMG|68LIT|7RCR|8BPWR
24	22241 62233	 * 	267.64	DCR|2LIT|2MLV|2VULN|1ASPD	1ASPD|2aLIT|34MLV|58RMIN|69VULN|7RCR
25	31211 45262	 * 	267.14	DCR|2LIT|1VULN|1MLV|1DMG|1NUKE|1CDMG	1SPLARM|2DMG|34LIT|5DUST|6MLV|7VULN|8CDMG|9RCR|aNUKE
26	22243 25234	   	267.12	DCR|2LIT|2MLV|2VULN|1ASPD|1SELL	1ASPD|2aLIT|34MLV|5DUST|6SELL|7RCR|89VULN
27	22531 72224	   	266.86	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD|1DUR	1ASPD|23LIT|4CDMG|5MBVNT|6DUR|7MLV|8aVULN|9RCR
28	22531 76224	   	266.86	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD|1DUR	1ASPD|23LIT|4CDMG|5MBVNT|6DUR|7aVULN|8MLV|9RCR
29	23531 32216	 * 	266.74	DCR|3VULN|1LIT|1MLV|2ASPD	14ASPD|2DUST|3MLV|59aVULN|6ERES|7LIT|8RCR
30	23231 12136	 * 	266.56	DCR|1LIT|2VULN|1MLV|2ASPD|2CDMG	1aASPD|2DUST|3aVULN|4RMIN|5LEGI|6MLV|7RCR|8LIT|9aCDMG|aBPWR
31	22241 12116	 * 	266.54	DCR|2MLV|3VULN|1LIT|1ASPD	1ASPD|2LIT|34MLV|5RMIN|6BEXP|7RCR|89aVULN
32	22244 12116	   	266.54	DCR|2MLV|3VULN|1LIT|1ASPD	1ASPD|2LIT|34MLV|5BEXP|6CGEN|7RCR|89aVULN
33	22242 12116	   	266.39	DCR|2MLV|3VULN|1LIT|1ASPD	1ASPD|2LIT|34MLV|5ERES|6BEXP|7RCR|89aVULN
34	22243 12116	   	266.39	DCR|2MLV|3VULN|1LIT|1ASPD	1ASPD|2LIT|34MLV|5DUST|6CGEN|7RCR|89aVULN
35	12261 31351	 * 	266.32	DCR|3LIT|2DMG|1MLV|2ASPD	1AART|29ASPD|3FEWX|49aLIT|5CGEN|6MLV|7RCR|89DMG|9BPWR
36	22223 52564	 * 	266.31	DCR|2MLV|1LIT|2VULN|2ASPD|1CDMG	1aASPD|2LIT|3aMLV|4LHND|5CDMG|6MBVNT|7RCR|8AART|9aVULN|aBPWR
37	22442 22116	   	266.24	DCR|2MLV|3VULN|1LIT|1ASPD	1ASPD|2LIT|3ERES|46MLV|5DUST|7RCR|89aVULN
38	22223 35322	 * 	265.97	DCR|1LIT|1FLTARM|1VULN|1MLV|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2LIT|3MLV|4LHND|5CDMG|6DMG|7VULN|8FLTARM|9DUR|aRCR
39	55613 32211	 * 	265.55	DCR|4VULN|1LIT|2DMG	1LWND|2459VULN|3FEWX|6aDMG|7LIT|8RCR
40	55513 32211	   	265.45	DCR|4VULN|1LIT|2DMG	1LWND|2459VULN|3DUST|6aDMG|7LIT|8RCR
41	31221 13566	 * 	265.44	DCR|2LIT|2MLV|2DMG|1VULN|1SELL	1aSPLARM|25DMG|3aLIT|4VULN|6FEWX|7SELL|8aMLV|9RCR|aBPWR
42	31223 13566	 * 	265.00	DCR|3LIT|2MLV|1VULN|1DMG|1SELL	1aSPLARM|2DMG|35aLIT|4VULN|6FEWX|7SELL|8aMLV|9RCR|aBPWR
43	22214 11414	 * 	264.96	DCR|2LIT|1FLTARM|1MLV|1VULN|1ASPD	1ASPD|28LIT|3MLV|4RMIN|5FLTARM|6FEWX|7AART|9RCR|aVULN
44	55613 32212	 * 	264.86	DCR|5VULN|1LIT|1DMG	1LWND|2459aVULN|3FEWX|6DMG|7LIT|8RCR
45	55513 32212	   	264.76	DCR|5VULN|1LIT|1DMG	1LWND|2459aVULN|3DUST|6DMG|7LIT|8RCR
46	23531 32211	 * 	264.66	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	14ASPD|2DUST|3MLV|59VULN|6ERES|7LIT|8RCR|aDMG
47	22223 15413	   	264.52	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1ASPD|26LIT|3MLV|4LHND|5CDMG|7RCR|8RPLT|9VULN|aDMG
48	22532 25243	 * 	264.48	DCR|2LIT|2VULN|2ASPD|2CDMG	1aASPD|23LIT|4aCDMG|5ZMB|6BEXP|7RCR|8aVULN|9BELT|aBPWR
49	31216 33142	   	264.27	DCR|2LIT|2VULN|2DMG|1CDMG	1SPLARM|25DMG|34LIT|6RCR|7CDMG|8LWND|9aVULN
50	31215 33623	   	263.98	DCR|3LIT|2VULN|1DMG|1CDMG	1SPLARM|2DMG|348LIT|5RCVC|6RCR|7CDMG|9aVULN
51	12433 42121	   	263.95	DCR|2LIT|2VULN|1MLV|1ASPD	1AART|2ASPD|38VULN|4ZMB|5RMIN|6aLIT|7RCR|9MLV
52	22521 62236	   	263.95	DCR|2LIT|2VULN|1MLV|1ASPD	1ASPD|23LIT|4TLV|5RMIN|6aVULN|7RCR|8MLV|9ZMB
53	22241 63216	   	263.69	DCR|2MLV|3VULN|1LIT|1ASPD	1ASPD|2LIT|34MLV|5RMIN|69aVULN|7DUST|8RCR
54	23561 32216	   	263.54	DCR|2MLV|3VULN|1LIT|1ASPD	1ASPD|2DUST|34MLV|59aVULN|6ERES|7LIT|8RCR
55	22211 62236	 * 	263.43	DCR|2LIT|1VULN|1MLV|2ASPD|2CDMG	1aASPD|2aLIT|3MLV|458RMIN|6VULN|7RCR|9aCDMG|aBPWR
56	22241 12111	 * 	263.42	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2LIT|34MLV|5RMIN|6BEXP|7RCR|89VULN|aDMG
57	22244 12111	   	263.42	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2LIT|34MLV|5BEXP|6CGEN|7RCR|89VULN|aDMG
58	33465 33323	   	263.36	DCR|3LIT|1VULN|1MLV|1ASPD|1CDMG	15SPLARM|2ASPD|3ERES|457LIT|5BPWR|6RCR|8MLV|9CDMG|aVULN
59	22242 12111	   	263.27	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2LIT|34MLV|5ERES|6BEXP|7RCR|89VULN|aDMG
60	22243 12111	   	263.27	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2LIT|34MLV|5DUST|6CGEN|7RCR|89VULN|aDMG
61	31365 61112	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	15SPLARM|2DMG|36ASPD|45LIT|5BPWR|7RCR|8LHND|9MLV|aVULN
62	31365 61312	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	15SPLARM|2DMG|36ASPD|45LIT|5BPWR|7RCR|8BEXP|9MLV|aVULN
63	33216 61112	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1SPLARM|26ASPD|34LIT|5DMG|7RCR|8LHND|9MLV|aVULN
64	33216 61312	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1SPLARM|26ASPD|34LIT|5DMG|7RCR|8BEXP|9MLV|aVULN
65	33216 61412	   	263.23	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1SPLARM|26ASPD|34LIT|5DMG|7RCR|8FEWX|9MLV|aVULN
66	22224 11356	 * 	263.15	DCR|2MLV|1LIT|2DMG|1VULN|2ASPD	19ASPD|2LIT|39MLV|4LHND|5AART|6CGEN|7RCR|89DMG|9BPWR|aVULN
67	31365 61212	   	263.13	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	15SPLARM|2DMG|36ASPD|45LIT|5BPWR|7RCR|8MBVNT|9MLV|aVULN
68	33216 61212	   	263.13	DCR|2LIT|1VULN|1MLV|2ASPD|1DMG	1SPLARM|26ASPD|34LIT|5DMG|7RCR|8MBVNT|9MLV|aVULN
69	22442 22111	   	263.12	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2LIT|3ERES|46MLV|5DUST|7RCR|89VULN|aDMG
70	24131 51632	   	263.06	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	14ASPD|2MLV|3FEWX|58VULN|6BEXP|7LIT|9RCR|aDMG
71	23531 51632	   	262.96	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	14ASPD|2DUST|3MLV|58VULN|6BEXP|7LIT|9RCR|aDMG
72	31322 14262	   	262.96	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	1SPLARM|2DMG|36ASPD|4MLV|5LWND|78VULN|9RCR|aLIT
73	55313 12151	 * 	262.77	ACR|2LIT|3VULN|1MLV|1DMG	1LWND|245VULN|3RCR|6FEWX|7MLV|89LIT|aDMG
74	65231 28143	   	262.67	DCR|2LIT|2VULN|2DMG|1CDMG	1RPLT|2aVENTOX|3aLIT|4MBVNT|5CDMG|68DMG|7RCR|9aVULN|aBPWR
75	33214 24241	   	262.62	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8RCR|9VULN|aLWND
76	33214 24242	   	262.52	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8RCR|9VULN|aLEGI
77	33214 24243	   	262.52	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8RCR|9VULN|aERES
78	31213 32655	   	262.52	DCR|3LIT|2VULN|2DMG	1SPLARM|25DMG|345LIT|5BPWR|6ERES|7aVULN|8RPLT|9RCR
79	66231 28143	   	262.47	DCR|2LIT|2VULN|2DMG|1CDMG	1RPLT|2aBASARM|3aLIT|4MBVNT|5CDMG|68DMG|7RCR|9aVULN|aBPWR
80	22223 15251	   	261.76	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|269LIT|3MLV|4LHND|5CDMG|7RCR|8VULN|aFEWX
81	22223 15253	   	261.76	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|269LIT|3MLV|4LHND|5CDMG|7RCR|8VULN|aRPLT
82	22223 15254	   	261.76	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|269LIT|3MLV|4LHND|5CDMG|7RCR|8VULN|aBEXP
83	22223 15256	   	261.76	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|269LIT|3MLV|4aLHND|5CDMG|7RCR|8VULN
84	31216 33621	 * 	261.68	DCR|3LIT|2DMG|1VULN|2CDMG	1SPLARM|25DMG|348LIT|6RCR|7aCDMG|9VULN
85	22212 45252	   	261.66	DCR|3LIT|1VULN|1MLV|1ASPD|1CDMG	1ASPD|29aLIT|3MLV|4RMIN|5ERES|6CDMG|7RCR|8VULN
86	22223 15252	   	261.66	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	1ASPD|269LIT|3MLV|4LHND|5CDMG|7RCR|8VULN|aDUST
87	31216 51112	   	261.65	DCR|2LIT|2DMG|1VULN|1MLV	1SPLARM|25DMG|34LIT|6ZMB|7RCR|8LHND|9MLV|aVULN
88	31216 51412	   	261.65	DCR|2LIT|2DMG|1VULN|1MLV	1SPLARM|25DMG|34LIT|6ZMB|7RCR|8FEWX|9MLV|aVULN
89	31216 51512	   	261.65	DCR|2LIT|2DMG|1VULN|1MLV	1SPLARM|25DMG|34LIT|6ZMB|7RCR|8BEXP|9MLV|aVULN
90	55213 32252	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	14LWND|2aVULN|3DMG|5MLV|6ERES|79LIT|8RCR
91	22223 15255	   	261.51	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD|1SELL	1ASPD|269LIT|3MLV|4LHND|5CDMG|7RCR|8VULN|aSELL
92	12433 42125	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1AART|2ASPD|38VULN|4ZMB|5RMIN|6LIT|7RCR|9MLV|aDMG
93	22534 24122	   	260.82	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ASPD|23LIT|4CDMG|5LSRICY|6DMG|7MLV|8LWND|9RCR|aVULN
94	22534 24321	   	260.82	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ASPD|23LIT|4CDMG|5LSRICY|6DMG|7MLV|8VULN|9RCR|aLWND
95	33214 24122	   	260.82	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8LWND|9RCR|aVULN
96	33214 24321	   	260.82	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8VULN|9RCR|aLWND
97	33214 24325	   	260.82	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8VULN|9RCR|aCGEN
98	33214 24326	   	260.82	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8VULN|9RCR|aRCVC
99	55313 32335	 * 	260.80	ACR|4VULN|1LIT|2DMG|1AART	1LWND|2459VULN|3RCR|68DMG|7LIT|aAART
100	55213 32212	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	14LWND|29aVULN|3DMG|5MLV|6ERES|7LIT|8RCR
101	22534 24322	   	260.72	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ASPD|23LIT|4CDMG|5LSRICY|6DMG|7MLV|8VULN|9RCR|aLEGI
102	22534 24323	   	260.72	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ASPD|23LIT|4CDMG|5LSRICY|6DMG|7MLV|8VULN|9RCR|aERES
103	33211 45262	   	260.72	DCR|2LIT|1VULN|1MLV|1NUKE|1ASPD|1CDMG	1SPLARM|2ASPD|34LIT|5DUST|6MLV|7VULN|8CDMG|9RCR|aNUKE
104	33214 24322	   	260.72	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8VULN|9RCR|aLEGI
105	33214 24323	   	260.72	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8VULN|9RCR|aERES
106	33214 24324	   	260.72	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1CDMG	1SPLARM|2ASPD|34LIT|5CDMG|6DMG|7MLV|8VULN|9RCR|aDUST
107	23633 33562	   	260.72	DCR|2LIT|1VULN|1MLV|1NUKE|1ASPD|1CDMG	1ASPD|2DUST|3CDMG|4MULHEA|5VULN|67LIT|8MLV|9RCR|aNUKE
108	22241 61211	   	260.72	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2LIT|34MLV|5RMIN|69VULN|7LHND|8RCR|aDMG
109	22241 63211	   	260.57	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2LIT|34MLV|5RMIN|69VULN|7DUST|8RCR|aDMG
110	23561 32211	   	260.42	DCR|2MLV|1LIT|2VULN|1DMG|1ASPD	1ASPD|2DUST|34MLV|59VULN|6ERES|7LIT|8RCR|aDMG
111	22225 45232	   	260.25	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	15ASPD|2LIT|3MLV|4LHND|6CDMG|7RCR|89VULN|aBELT
112	22225 45233	   	260.25	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	15ASPD|2LIT|3MLV|4LHND|6CDMG|7RCR|89VULN|aBEXP
113	22225 45231	   	260.15	DCR|1LIT|2VULN|1MLV|2ASPD|1CDMG	15ASPD|2LIT|3MLV|4LHND|6CDMG|7RCR|89VULN|aERES
114	24241 24313	   	259.88	ACR|2MLV|3VULN|1LIT|1DMG|1ASPD	1ASPD|26MLV|37RCVC|4RCR|568VULN|6BPWR|9DMG|aLIT
115	24241 11226	 * 	259.85	ACR|1LIT|2VULN|2DMG|1MLV|2ASPD	1aASPD|2MLV|3RCVC|4RCR|5aVULN|6FEWX|7LIT|8aDMG|9RPLT|aBPWR
116	33213 53422	   	259.81	DCR|3LIT|2VULN|2ASPD	1SPLARM|25ASPD|345LIT|5BPWR|6RPLT|79VULN|8RCR|aZMB
117	12332 64314	 * 	259.55	DCR|1LIT|2VULN|3ASPD|2DMG	1AART|234ASPD|58DMG|69VULN|7RCR|aLIT
118	12431 41533	   	259.52	DCR|3VULN|1LIT|1MLV|1ASPD	1AART|2ASPD|358VULN|4ZMB|6DUST|7MLV|9RCR|aLIT
119	22511 33325	   	259.51	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1ASPD|23LIT|4ZMB|5RMIN|6RCR|7VULN|8DLOT|9MLV|aDMG
120	12212 62132	 * 	259.28	DCR|2LIT|3DMG|1MLV|2ASPD	1AART|27ASPD|35FEWX|479DMG|67LIT|7BPWR|8MLV|aRCR
121	12216 42132	   	259.28	DCR|2LIT|3DMG|1MLV|2ASPD	1AART|27ASPD|36FEWX|479DMG|57LIT|7BPWR|8MLV|aRCR
122	23463 32216	   	259.25	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1ASPD|2DUST|3ZMB|4MLV|5CGEN|6DMG|7LIT|8RCR|9aVULN
123	23416 41333	   	259.16	DCR|2LIT|2DMG|1VULN|2ASPD|2ZMB	18ASPD|2DUST|38ZMB|4VULN|5aDMG|68LIT|7RCR|8BPWR|9BEXP
124	55313 12111	   	259.06	ACR|4VULN|1LIT|1MLV|1DMG	1LWND|2459VULN|3RCR|6FEWX|7MLV|8LIT|aDMG
125	55313 52111	   	259.06	ACR|4VULN|1LIT|1MLV|1DMG	1LWND|2459VULN|3RCR|6BEXP|7MLV|8LIT|aDMG
126	11411 41533	   	259.00	DCR|3VULN|1LIT|1MLV|1DMG	1AART|2CGEN|358VULN|4DMG|6DUST|7MLV|9RCR|aLIT
127	22511 32111	   	258.86	DCR|2LIT|1FLTARM|1MLV|1ASPD|1CDMG	1ASPD|23LIT|4ZMB|57RMIN|6RCR|8CDMG|9FLTARM|aMLV
128	33213 53411	 * 	258.76	DCR|3LIT|1VULN|1MLV|2ASPD	1SPLARM|25ASPD|345LIT|5BPWR|6RPLT|7VULN|8RCR|9LWND|aMLV
129	33213 53431	   	258.76	DCR|3LIT|1VULN|1MLV|2ASPD	1SPLARM|25ASPD|345LIT|5BPWR|6RPLT|7VULN|8RCR|9FEWX|aMLV
130	33213 53451	   	258.76	DCR|3LIT|1VULN|1MLV|2ASPD	1SPLARM|25ASPD|345LIT|5BPWR|6RPLT|7VULN|8RCR|9LHND|aMLV
131	33213 55421	   	258.76	DCR|3LIT|1VULN|1MLV|2ASPD	1SPLARM|25ASPD|345LIT|5BPWR|6RPLT|7BEXP|8RCR|9VULN|aMLV
132	21413 33122	   	258.71	DCR|2LIT|2VULN|1MLV|1ASPD	1ASPD|2DMSP|35LSRREG|45LIT|5BPWR|6RCR|7MLV|8LHND|9aVULN
133	21413 33422	   	258.71	DCR|2LIT|2VULN|1MLV|1ASPD	1ASPD|2DMSP|35LSRREG|45LIT|5BPWR|6RCR|7MLV|8FEWX|9aVULN
134	22555 33122	   	258.71	DCR|2LIT|2VULN|1MLV|1ASPD	1ASPD|23LIT|4LSRHEA|5RCVC|6RCR|7MLV|8LHND|9aVULN
135	33213 51421	   	258.66	DCR|3LIT|1VULN|1MLV|2ASPD|1DUR	1SPLARM|25ASPD|345LIT|5BPWR|6RPLT|7DUR|8RCR|9VULN|aMLV
