0	Index      	 *	Score 	Summary	Detail	
1	43366 33123	 * 	284.40	DCR|2LIT|2MLV|3VULN	1FEWX|24MLV|3LSRREG|59aVULN|67LIT|8RCR
64	62362 33111	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|25VULN|3MLV|4CANARM|67LIT|8RCR|9DMG|aTLV
65	62362 33113	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|25VULN|3MLV|4CANARM|67LIT|8RCR|9DMG|aRPLT
66	62362 33116	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1aLHND|25VULN|3MLV|4CANARM|67LIT|8RCR|9DMG
67	63342 33111	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG|aTLV
68	63342 33113	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG|aRPLT
69	63342 33116	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1aLHND|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG
70	43342 33112	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG|aERES
71	62362 33112	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|25VULN|3MLV|4CANARM|67LIT|8RCR|9DMG|aERES
72	63342 33112	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG|aERES
73	62232 33113	   	260.77	DCR|2LIT|2VULN|2DMG|1ASPD	1LHND|25VULN|3VENTOX|49DMG|67LIT|8RCR|aASPD
74	62232 33116	   	260.77	DCR|2LIT|2VULN|2DMG|1CDMG	1LHND|25VULN|3VENTOX|49DMG|67LIT|8RCR|aCDMG
75	44236 33121	 * 	260.63	DCR|2LIT|2VULN|1FLTARM|1CDMG|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|59VULN|67LIT|8RCR|aLHND
76	44236 33122	 * 	260.53	DCR|2LIT|2VULN|1FLTARM|1CDMG|1DUR|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|59VULN|67LIT|8RCR|aDUR
77	62316 81413	   	260.04	DCR|1LIT|2VULN|2DMG|1MLV	1LHND|2aVULN|3MLV|4BEXP|5MBVNT|6RCR|7aFEWX|8LIT|9aDMG|aBPWR
78	45331 63213	 * 	259.92	ACR|3LIT|2VULN|1MLV|1DMG	18FEWX|2RCR|3MLV|48VULN|568LIT|7BELT|8BPWR|9RPLT|aDMG
79	62331 16421	   	259.90	DCR|4VULN|1LIT|1MLV	1aLHND|2457VULN|3MLV|6BASARM|8RCR|9LIT
80	42513 22334	 * 	259.86	DCR|1LIT|2VULN|2DMG|2CDMG|1ASPD	1FEWX|2aVULN|3LHND|4RCVC|5ASPD|6aDMG|7RCR|8LIT|9aCDMG|aBPWR
81	62331 16422	   	259.80	DCR|4VULN|1LIT|1MLV	1LHND|2457VULN|3MLV|6BASARM|8RCR|9LIT|aDUST
82	13523 34513	   	259.35	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2AART|3LIT|4MLV|57VULN|6ASPD|8RCR|9ZMB|aDMG
83	13533 24513	   	259.35	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2AART|3LIT|4ASPD|57VULN|6MLV|8RCR|9ZMB|aDMG
84	41311 21453	   	259.01	DCR|2LIT|2VULN|1MLV|1CDMG	1FEWX|2aLWND|3MLV|4BEXP|5aLIT|6RCR|7RPLT|8CDMG|9aVULN|aBPWR
85	41351 23153	   	258.71	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1FEWX|2LWND|3MLV|4DUR|58LIT|6RCR|7aVULN|9CDMG
86	65331 21262	   	258.15	ACR|2LIT|3VULN|1MLV|1ASPD	1LHND|2RCR|3MLV|49aVULN|58LIT|6ASPD|7RMIN
87	42332 23635	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1FEWX|248VULN|3MLV|57CGEN|6RCR|9CDMG|aLIT
88	62332 23635	   	258.08	DCR|3VULN|1LIT|1MLV|1CDMG	1LHND|248VULN|3MLV|57CGEN|6RCR|9CDMG|aLIT
89	21335 31265	 * 	257.06	DCR|3LIT|2VULN|1MLV	1ERES|25CGEN|345LIT|5BPWR|6aVULN|7FEWX|8MLV|9RCR
90	41334 22132	   	257.01	DCR|2LIT|2VULN|1MLV|1ASPD	1FEWX|2LWND|3MLV|45VULN|6ASPD|7RCR|8CGEN|9aLIT
91	41334 22314	   	257.01	DCR|2LIT|2VULN|1MLV|1ASPD	1FEWX|2LWND|3MLV|45VULN|6ASPD|7RCR|8aLIT|9LHND
92	42314 22314	   	257.01	DCR|2LIT|2VULN|1MLV|1ASPD	1FEWX|25VULN|3MLV|4BEXP|6ASPD|7RCR|8aLIT|9LHND
93	63634 22132	   	257.01	DCR|2LIT|2VULN|1MLV|1ASPD	1LHND|2MLV|3FEWX|45VULN|6ASPD|7RCR|8CGEN|9aLIT
94	21335 32265	   	256.96	DCR|3LIT|2VULN|1MLV	1ERES|25CGEN|345LIT|5BPWR|6aVULN|7LEGI|8MLV|9RCR
95	26614 22332	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|25VULN|3FEWX|4BEXP|6ASPD|7RCR|8aLIT|9MLV
96	41334 22324	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	1FEWX|2LWND|3MLV|45VULN|6ASPD|7RCR|8aLIT|9DUR
97	42314 22324	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	1FEWX|25VULN|3MLV|4BEXP|6ASPD|7RCR|8aLIT|9DUR
98	42344 22132	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD	1FEWX|25VULN|3MLV|4LEGI|6ASPD|7RCR|8CGEN|9aLIT
99	45331 33231	   	256.28	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	168FEWX|2RCR|3MLV|48VULN|58LIT|7BELT|8BPWR|9ASPD|aDMG
100	26142 34113	   	256.24	DCR|1LIT|2VULN|2DMG|1MLV	179ERES|27VULN|3RPLT|4LIT|5BEXP|67DMG|7BPWR|8RCR|aMLV
101	62335 26331	 * 	256.10	DCR|1LIT|2VULN|1FLTARM|1MLV	1LHND|24VULN|3MLV|5RMIN|6RCR|7FEWX|8LIT|9FLTARM|aCGEN
102	62335 26332	   	256.10	DCR|1LIT|2VULN|1FLTARM|1MLV	1aLHND|24VULN|3MLV|5RMIN|6RCR|7FEWX|8LIT|9FLTARM
103	62335 26333	   	256.10	DCR|1LIT|2VULN|1FLTARM|1MLV	1LHND|24VULN|3MLV|5RMIN|6RCR|7FEWX|8LIT|9FLTARM|aBEXP
104	42336 32372	   	256.08	DCR|3VULN|1LIT|1MLV|1CDMG	1FEWX|24aVULN|3MLV|5MBVNT|6ERES|7RCR|8LIT|9CDMG
105	65331 22521	   	256.08	ACR|2LIT|2VULN|1MLV|1DMG|1ASPD	17LHND|2RCR|3MLV|48VULN|5aLIT|6ASPD|9DMG
106	45331 13214	 * 	256.05	ACR|2LIT|2MLV|3VULN	189FEWX|2RCR|3aMLV|468VULN|58LIT|7BELT|8BPWR
107	43141 23122	   	256.01	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG	1FEWX|2MLV|3RPLT|46LIT|5VULN|7DMG|8RCR|9ZMB|aCDMG
108	62335 21331	   	256.00	DCR|1LIT|2VULN|1FLTARM|1MLV	1LHND|24VULN|3MLV|5RMIN|6RCR|7DUST|8LIT|9FLTARM|aCGEN
109	62335 21332	   	256.00	DCR|1LIT|2VULN|1FLTARM|1MLV	1aLHND|24VULN|3MLV|5RMIN|6RCR|7DUST|8LIT|9FLTARM
110	62335 21333	   	256.00	DCR|1LIT|2VULN|1FLTARM|1MLV	1LHND|24VULN|3MLV|5RMIN|6RCR|7DUST|8LIT|9FLTARM|aBEXP
111	62335 21334	   	256.00	DCR|1LIT|2VULN|1FLTARM|1MLV	1LHND|24VULN|3MLV|5RMIN|6RCR|7DUST|8LIT|9FLTARM|aRPLT
112	62332 25222	   	255.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD|1DUR	1LHND|24VULN|3MLV|5CGEN|6RCR|7DUR|8DMG|9ASPD|aLIT
113	62335 21335	   	255.90	DCR|1LIT|2VULN|1FLTARM|1MLV	1LHND|24VULN|3MLV|5RMIN|6RCR|7DUST|8LIT|9FLTARM|aERES
114	62335 21336	   	255.75	DCR|1LIT|2VULN|1FLTARM|1MLV|1SELL	1LHND|24VULN|3MLV|5RMIN|6RCR|7DUST|8LIT|9FLTARM|aSELL
115	51323 63252	   	255.59	DCR|2LIT|3VULN|1ASPD|2ZMB	15ZMB|2CGEN|36LIT|45aVULN|5BPWR|7ASPD|8RCR|9LHND
116	51323 63212	   	255.49	DCR|2LIT|3VULN|1ASPD|2ZMB|1DUR	15ZMB|2CGEN|36LIT|45aVULN|5BPWR|7ASPD|8RCR|9DUR
117	51323 63222	   	255.49	DCR|2LIT|3VULN|1ASPD|2ZMB	15ZMB|2CGEN|36LIT|45aVULN|5BPWR|7ASPD|8RCR|9DUST
118	51323 63263	   	255.49	DCR|2LIT|3VULN|1ASPD|2ZMB	15ZMB|2CGEN|36LIT|45aVULN|5BPWR|7ASPD|8RCR|9BASARM
119	42335 21333	   	255.49	DCR|2MLV|3VULN|1LIT	1FEWX|24aVULN|39MLV|5RMIN|6RCR|7DUST|8LIT
120	65331 22522	 * 	255.35	ACR|3VULN|1LIT|1MLV|1DMG|1ASPD	17LHND|2RCR|3MLV|48aVULN|5LIT|6ASPD|9DMG
121	41331 14221	   	255.26	DCR|3LIT|2VULN|1MLV	1FEWX|2LWND|3MLV|46VULN|589LIT|7LHND|aRCR
122	41331 16221	   	255.26	DCR|3LIT|2VULN|1MLV	1FEWX|2LWND|3MLV|46VULN|589LIT|7BEXP|aRCR
123	42311 11221	   	255.26	DCR|3LIT|2VULN|1MLV	1FEWX|26VULN|3MLV|4BEXP|589LIT|7LWND|aRCR
124	42311 14221	   	255.26	DCR|3LIT|2VULN|1MLV	1FEWX|26VULN|3MLV|4BEXP|589LIT|7LHND|aRCR
125	61331 16221	   	255.26	DCR|3LIT|2VULN|1MLV	1LHND|2LWND|3MLV|46VULN|589LIT|7FEWX|aRCR
126	62311 11221	   	255.26	DCR|3LIT|2VULN|1MLV	1LHND|26VULN|3MLV|4BEXP|589LIT|7LWND|aRCR
127	63631 11221	   	255.26	DCR|3LIT|2VULN|1MLV	1LHND|2MLV|3FEWX|46VULN|589LIT|7LWND|aRCR
128	42332 22242	 * 	255.22	DCR|3VULN|2DMG|1MLV	1FEWX|24aVULN|3MLV|5CGEN|6RCR|7ZMB|89DMG
129	62644 44421	   	255.17	DCR|2LIT|3VULN|1DMG	1LHND|278VULN|3RCVC|4MBVNT|5aLIT|6RCR|9DMG
130	42341 11221	   	255.16	DCR|3LIT|2VULN|1MLV	1FEWX|26VULN|3MLV|4LEGI|589LIT|7LWND|aRCR
131	42341 14221	   	255.16	DCR|3LIT|2VULN|1MLV	1FEWX|26VULN|3MLV|4LEGI|589LIT|7LHND|aRCR
132	42341 16221	   	255.16	DCR|3LIT|2VULN|1MLV	1FEWX|26VULN|3MLV|4LEGI|589LIT|7BEXP|aRCR
133	42351 11221	   	255.16	DCR|3LIT|2VULN|1MLV|1DUR	1FEWX|26VULN|3MLV|4DUR|589LIT|7LWND|aRCR
134	42351 14221	   	255.16	DCR|3LIT|2VULN|1MLV|1DUR	1FEWX|26VULN|3MLV|4DUR|589LIT|7LHND|aRCR
135	42351 16221	   	255.16	DCR|3LIT|2VULN|1MLV|1DUR	1FEWX|26VULN|3MLV|4DUR|589LIT|7BEXP|aRCR
136	62351 11221	   	255.16	DCR|3LIT|2VULN|1MLV|1DUR	1LHND|26VULN|3MLV|4DUR|589LIT|7LWND|aRCR
137	62351 13221	   	255.16	DCR|3LIT|2VULN|1MLV|1DUR	1LHND|26VULN|3MLV|4DUR|589LIT|7FEWX|aRCR
138	43141 34132	   	254.98	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	17FEWX|27MLV|3RPLT|4LIT|5VULN|67DMG|7BPWR|8RCR|9CGEN|aCDMG
139	63141 34132	   	254.98	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	17LHND|27MLV|3RPLT|4LIT|5VULN|67DMG|7BPWR|8RCR|9CGEN|aCDMG
140	53321 13343	 * 	254.91	DCR|4VULN|1LIT|1DMG	1ZMB|2AART|3BEXP|457aVULN|6DMG|8RCR|9LIT
141	43141 34112	   	254.83	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	17FEWX|27MLV|3RPLT|4LIT|5VULN|67DMG|7BPWR|8RCR|9ERES|aCDMG
142	63141 34112	   	254.83	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	17LHND|27MLV|3RPLT|4LIT|5VULN|67DMG|7BPWR|8RCR|9ERES|aCDMG
143	44233 13123	 * 	254.49	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|57LIT|6LHND|8RCR|9VULN|aDMG
144	44233 43123	 * 	254.49	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|57LIT|6LWND|8RCR|9VULN|aDMG
145	44235 33123	 * 	254.49	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|5LHND|67LIT|8RCR|9VULN|aDMG
146	44236 33111	 * 	254.49	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|5VULN|67LIT|8RCR|9DMG|aTLV
147	44236 33113	 * 	254.49	DCR|2LIT|1FLTARM|1VULN|1DMG|1CDMG|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|5VULN|67LIT|8RCR|9DMG|aRPLT
148	13523 34521	   	254.48	DCR|3VULN|1LIT|1MLV|1ASPD	1TLV|2AART|3LIT|4MLV|57aVULN|6ASPD|8RCR|9BEXP
149	13533 24521	   	254.48	DCR|3VULN|1LIT|1MLV|1ASPD	1TLV|2AART|3LIT|4ASPD|57aVULN|6MLV|8RCR|9BEXP
150	63322 35353	 * 	254.43	DCR|1LIT|3DMG|1VULN|1MLV	1LHND|2MLV|3LSRREG|46aDMG|5VULN|7RCR|8ZMB|9LIT
