0	Index      	 *	Score 	Summary	Detail	
1	23312 66236	 * 	329.75	DCR|4VULN|2MLV|1LIT|2DMG	137aVULN|2RMIN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR
13	21251 81144	   	312.78	DCR|3LIT|2MLV|2VULN|1NUKE	19VULN|279LIT|3TSLARM|4LWND|5MBVNT|6RCR|89MLV|9BPWR|aNUKE
14	21651 81144	   	312.78	DCR|3LIT|2MLV|2VULN|1NUKE	19VULN|279LIT|3DUR|4MGNSTR|5MBVNT|6RCR|89MLV|9BPWR|aNUKE
15	21261 81144	   	312.63	DCR|3LIT|2MLV|2VULN|1NUKE	19VULN|279LIT|3TSLARM|4DUST|5MBVNT|6RCR|89MLV|9BPWR|aNUKE
16	22243 61421	 * 	308.66	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG|1SELL	189VULN|28ASPD|3CGEN|4DMG|58MLV|6RCR|7SELL|8BPWR|aLIT
17	21421 36251	   	307.72	DCR|3LIT|2MLV|3VULN|1SELL	14aVULN|26aLIT|3SELL|5FEWX|7CGEN|8aMLV|9RCR|aBPWR
18	21422 21551	   	307.57	DCR|3LIT|2MLV|3VULN|1SELL	14aVULN|26aLIT|3SELL|5ERES|7LHND|8aMLV|9RCR|aBPWR
19	21422 23551	   	307.57	DCR|3LIT|2MLV|3VULN|1SELL	14aVULN|26aLIT|3SELL|5ERES|7LWND|8aMLV|9RCR|aBPWR
20	21422 25251	   	307.57	DCR|3LIT|2MLV|3VULN|1SELL	14aVULN|26aLIT|3SELL|5ERES|7BEXP|8aMLV|9RCR|aBPWR
21	21423 36251	   	307.57	DCR|3LIT|2MLV|3VULN|1SELL	14aVULN|26aLIT|3SELL|5DUST|7CGEN|8aMLV|9RCR|aBPWR
22	21422 26251	   	307.42	DCR|3LIT|2MLV|3VULN|1SELL	14aVULN|26aLIT|3SELL|5ERES|7DUST|8aMLV|9RCR|aBPWR
23	26342 41121	 * 	306.68	ACR|3MLV|4VULN|1LIT|2DMG	1369VULN|29DMG|4RCR|5LSRICY|7LIT|89aMLV|9BPWR
24	23312 66231	   	304.16	DCR|2MLV|3VULN|1LIT|2DMG	137VULN|2RMIN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aBEXP
25	23312 66233	   	304.16	DCR|2MLV|3VULN|1LIT|2DMG	137VULN|2RMIN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aCGEN
26	63312 66231	   	304.16	DCR|2MLV|3VULN|1LIT|2DMG	1RMIN|237VULN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aBEXP
27	63312 66233	   	304.16	DCR|2MLV|3VULN|1LIT|2DMG	1RMIN|237VULN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aCGEN
28	23312 66232	   	304.01	DCR|2MLV|3VULN|1LIT|2DMG	137VULN|2RMIN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aSNITOX
29	23312 66235	   	304.01	DCR|2MLV|3VULN|1LIT|2DMG	137VULN|2RMIN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aMBVNT
30	43312 66231	   	304.01	DCR|2MLV|3VULN|1LIT|2DMG	1NUKE|237VULN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aBEXP
31	43312 66233	   	304.01	DCR|2MLV|3VULN|1LIT|2DMG	1NUKE|237VULN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aCGEN
32	63312 66232	   	304.01	DCR|2MLV|3VULN|1LIT|2DMG	1RMIN|237VULN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aSNITOX
33	43312 66232	   	303.86	DCR|2MLV|3VULN|1LIT|2DMG	1NUKE|237VULN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR|aSNITOX
34	26232 26125	 * 	303.15	DCR|2LIT|3VULN|2DMG|1MLV	149VULN|29DMG|3CGEN|5LEGI|6DUST|7RCR|89LIT|9BPWR|aMLV
35	26313 46231	 * 	302.99	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	137VULN|27DMG|4MLV|5FEWX|67ASPD|7BPWR|8LIT|9RCR|aBEXP
36	26313 46233	   	302.99	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	137VULN|27DMG|4MLV|5FEWX|67ASPD|7BPWR|8LIT|9RCR|aCGEN
37	26311 46231	   	302.89	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	137VULN|27DMG|4MLV|5DUR|67ASPD|7BPWR|8LIT|9RCR|aBEXP
38	26311 46233	   	302.89	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	137VULN|27DMG|4MLV|5DUR|67ASPD|7BPWR|8LIT|9RCR|aCGEN
39	26313 46232	   	302.89	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	137VULN|27DMG|4MLV|5FEWX|67ASPD|7BPWR|8LIT|9RCR|aSNITOX
40	26311 46232	   	302.79	DCR|3VULN|1LIT|2DMG|1MLV|2ASPD	137VULN|27DMG|4MLV|5DUR|67ASPD|7BPWR|8LIT|9RCR|aSNITOX
41	26312 46231	 * 	302.09	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG	137VULN|2DMG|47MLV|5LEGI|67ASPD|7BPWR|8LIT|9RCR|aBEXP
42	26312 46233	   	302.09	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG	137VULN|2DMG|47MLV|5LEGI|67ASPD|7BPWR|8LIT|9RCR|aCGEN
43	26312 46232	   	301.97	DCR|2MLV|3VULN|1LIT|2ASPD|1DMG	137VULN|2DMG|47MLV|5LEGI|67ASPD|7BPWR|8LIT|9RCR|aSNITOX
44	26342 41122	   	301.41	ACR|4VULN|2MLV|1LIT|2DMG	1369VULN|29DMG|4RCR|5LSRICY|7LIT|89MLV|9BPWR|aBEXP
45	26342 41123	   	301.41	ACR|4VULN|2MLV|1LIT|2DMG	1369VULN|29DMG|4RCR|5LSRICY|7LIT|89MLV|9BPWR|aRPLT
