0	Index      	 *	Score 	Summary	Detail	
1	62331 15152	 * 	297.04	橙橙2易伤2技能1暴击	1a易伤24技能3赏金塔5随机技能6暴雪减费79核8暴击
35	62331 15151	   	268.97	橙橙1易伤2技能1暴击	1易伤24技能3赏金塔5随机技能6暴雪减费79核8暴击a最后敌人
36	62331 15153	   	268.87	橙橙1易伤2技能1暴击	1易伤24技能3赏金塔5随机技能6暴雪减费79核8暴击a掉矿
37	32331 61155	 * 	268.63	橙橙2技能1矿等1暴击	1时间24技能3赏金塔5随机技能69核7立即金币8暴击a矿等
38	32331 15155	   	268.53	橙橙2技能1矿等1暴击	1时间24技能3赏金塔5随机技能6火球减费79核8暴击a矿等
39	12314 43326	 * 	268.10	橙橙1等级1矿等1伤害	1金币生成2伤害3雷电4矿等5全技能6雷电减费7敌人爆炸8a核9等级
40	21632 31156	   	267.79	橙橙1易伤1矿等1技能	1随机矿2赏金邻近3技能4易伤5最后敌人69核7时间8毒气减费a矿等
41	21632 31256	   	267.79	橙橙1易伤1矿等1技能	1随机矿2赏金邻近3技能4易伤5最后敌人69核7时间8风暴减费a矿等
42	62322 31156	   	267.79	橙橙1易伤1矿等1技能	1易伤2技能3赏金塔4金币生成5最后敌人69核7时间8烈焰减费a矿等
43	63332 31156	   	267.69	橙橙1易伤1矿等1技能	1易伤2掉矿3赏金塔4技能5最后敌人69核7时间8烈焰减费a矿等
44	62321 26121	 * 	267.43	橙3易伤2矿等1伤害1技能	156易伤2技能3赏金塔45金币生成5序列升级7a矿等8伤害9核
45	63331 26121	   	267.23	橙3易伤2矿等1伤害1技能	156易伤25掉矿3赏金塔4技能5序列升级7a矿等8伤害9核
