0	Index      	 *	Score 	Summary	Detail	
1	36433 82344	 * 	201.46	DCR|4VULN|2AART|1ZMB	1ERES|2MBVNT|367aVULN|4ZMB|58AART|9RCR
35	12111 16436	 * 	185.46	DCR|3VULN|1AART|2ZMB|1DUR	19LWND|29ZMB|3DUR|4RPLT|5AART|6MLV|7RCR|89aVULN|9BPWR
36	12311 16436	   	185.46	DCR|3VULN|1AART|2ZMB|1DUR	19LWND|29ZMB|3RPLT|4DUR|5AART|6MLV|7RCR|89aVULN|9BPWR
37	36433 82744	   	185.39	DCR|4VULN|1AART|1ZMB	1ERES|2MBVNT|367aVULN|4ZMB|5AART|8RCVC|9RCR
38	26412 64724	 * 	185.37	DCR|3VULN|1AART|1DMG	1CGEN|2MBVNT|38aVULN|4RPLT|5LHND|6RCR|7AART|9DMG
39	33561 24363	 * 	185.30	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1AAC	1ERES|2AAC|3MBVNT|4DMG|58VULN|6MDPS|7RCR|9AART|aASPD
40	36413 84354	 * 	185.17	DCR|3VULN|1AART|1ASPD	15ERES|2MBVNT|37aVULN|4RPLT|6RCR|8AART|9ASPD
41	36413 85133	 * 	184.61	DCR|2DMG|1VULN|1AART|1ASPD	15ERES|2MBVNT|3VULN|4RPLT|6RCR|7AART|8ASPD|9aDMG
42	53341 61221	 * 	184.05	DCR|3VULN|1MDPS|1ASPD|1CDMG|1DUR	1MDPS|2LEGI|3ASPD|489VULN|5DUR|6BELT|7RCR|aCDMG
43	26134 46522	   	183.95	DCR|3VULN|1AART|1ZMB|1DUR	1CGEN|2MBVNT|3DUR|479VULN|5RMIN|6RCR|8ZMB|aAART
44	26444 46522	   	183.95	DCR|3VULN|1AART|1ZMB|1DUR	1CGEN|2MBVNT|379VULN|4DUR|5RMIN|6RCR|8ZMB|aAART
45	12111 16433	 * 	183.88	DCR|2VULN|1AART|1CDMG|2ZMB|1DUR	19LWND|29ZMB|3DUR|4RPLT|5AART|6MLV|7RCR|89VULN|9BPWR|aCDMG
46	12311 16433	   	183.88	DCR|2VULN|1AART|1CDMG|2ZMB|1DUR	19LWND|29ZMB|3RPLT|4DUR|5AART|6MLV|7RCR|89VULN|9BPWR|aCDMG
47	36134 46522	   	183.85	DCR|3VULN|1AART|1ZMB|1DUR	1ERES|2MBVNT|3DUR|479VULN|5RMIN|6RCR|8ZMB|aAART
48	36444 46522	   	183.85	DCR|3VULN|1AART|1ZMB|1DUR	1ERES|2MBVNT|379VULN|4DUR|5RMIN|6RCR|8ZMB|aAART
49	23122 42433	 * 	183.69	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	13CGEN|2AAC|4AART|5DUST|6RCR|78VULN|9DMG|aCDMG
50	33511 82424	   	183.69	DCR|2VULN|1AART|1DMG|1CDMG|1AAC	19ERES|2AAC|3MBVNT|4CDMG|59LIT|6RCR|7AART|89VULN|9BPWR|aDMG
51	33511 82425	 * 	183.69	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC	19ERES|2AAC|3MBVNT|4CDMG|59LIT|6RCR|7AART|89VULN|9BPWR|aASPD
52	36611 82424	 * 	183.69	DCR|2VULN|1AART|1DMG|1NUKE|1CDMG	19ERES|2MBVNT|3NUKE|4CDMG|59LIT|6RCR|7AART|89VULN|9BPWR|aDMG
53	26436 34642	 * 	183.67	DCR|4VULN|1DMG|1ZMB	1CGEN|2MBVNT|3579VULN|4ZMB|6TLV|8RCR|aDMG
54	43532 23133	 * 	183.59	DCR|2DMG|1MDPS|1AART|1ASPD|1CDMG|1DUR	1RCVC|2MDPS|3CDMG|4DUR|5CGEN|6AART|7RCR|8ASPD|9aDMG
55	62131 36163	 * 	183.58	DCR|1VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1BEXP|2ZMB|3DUR|4AART|5VULN|6FEWX|7aCDMG|8ASPD|9RCR
56	25321 42136	 * 	183.47	ACR|2VULN|1AART|1ASPD|1DMG|1NUKE	1CGEN|2RCR|3RPLT|4LHND|5AART|67VULN|8ASPD|9DMG|aNUKE
57	35321 42136	   	183.37	ACR|2VULN|1AART|1ASPD|1DMG|1NUKE	1ERES|2RCR|3RPLT|4LHND|5AART|67VULN|8ASPD|9DMG|aNUKE
58	36133 41784	 * 	183.35	DCR|3VULN|1ASPD|2ZMB|1DUR	1aERES|2MBVNT|3DUR|48aVULN|5TLV|6RCR|7ASPD|9aZMB|aBPWR
59	26474 11428	 * 	182.84	DCR|3VULN|3ASPD|1MDPS	14aCGEN|2MBVNT|38aVULN|57aASPD|6MDPS|9RCR|aBPWR
60	36133 41728	 * 	182.34	DCR|2VULN|2ASPD|1CDMG|1DUR	1ERES|2MBVNT|3DUR|48VULN|5TLV|6RCR|7aASPD|9CDMG
61	36443 41728	   	182.34	DCR|2VULN|2ASPD|1CDMG|1DUR	1ERES|2MBVNT|38VULN|4DUR|5TLV|6RCR|7aASPD|9CDMG
62	21223 45336	 * 	182.03	DCR|2VULN|2DMG|1MDPS|1CDMG|1AAC|1ZMB	1aCGEN|2MDPS|3AAC|4aVULN|5RCVC|6ZMB|7CDMG|8aDMG|9RCR|aBPWR
63	31223 45336	   	181.83	DCR|2VULN|1MDPS|2DMG|1CDMG|1AAC|1ZMB	1aERES|2MDPS|3AAC|4aVULN|5RCVC|6ZMB|7CDMG|8aDMG|9RCR|aBPWR
64	33323 45336	   	181.83	DCR|2VULN|1MDPS|2DMG|1CDMG|1AAC|1ZMB	1aERES|2AAC|3MDPS|4aVULN|5RCVC|6ZMB|7CDMG|8aDMG|9RCR|aBPWR
65	26535 41422	   	181.76	DCR|2VULN|2ASPD|1AART	1CGEN|2MBVNT|3AME|4FEWX|59VULN|6RCR|78ASPD|aAART
66	36482 41422	   	181.66	DCR|2VULN|2ASPD|1AART	1ERES|2MBVNT|39VULN|4FEWX|5AME|6RCR|78ASPD|aAART
67	36535 41422	   	181.66	DCR|2VULN|2ASPD|1AART	1ERES|2MBVNT|3AME|4FEWX|59VULN|6RCR|78ASPD|aAART
68	36832 41422	   	181.66	DCR|2VULN|2ASPD|1AART	1ERES|2MBVNT|3FEWX|49VULN|5AME|6RCR|78ASPD|aAART
69	31126 52512	 * 	181.65	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1DUR	1ERES|2MDPS|3DUR|45ASPD|6FEWX|7DMG|8AART|9VULN|aRCR
70	23142 35314	 * 	181.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	13CGEN|2AAC|4ASPD|5LHND|6CDMG|7RCR|8DMG|9AART|aVULN
71	23162 35314	   	181.47	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC	13CGEN|2AAC|4DMG|5LHND|6CDMG|7RCR|8ASPD|9AART|aVULN
72	26411 22581	   	181.46	DCR|4VULN|1AART|1DUR	1CGEN|2MBVNT|3789VULN|4RPLT|5AART|6DUR|aRCR
73	36413 85132	   	181.24	DCR|2ASPD|1VULN|1AART|1DMG	15ERES|2MBVNT|3VULN|4RPLT|6RCR|7AART|8aASPD|9DMG
74	26134 41222	 * 	181.09	DCR|2VULN|1AART|1ASPD|2DUR	1CGEN|2MBVNT|38DUR|49VULN|5RMIN|6RCR|7ASPD|aAART
75	26444 41222	   	181.09	DCR|2VULN|1AART|1ASPD|2DUR	1CGEN|2MBVNT|39VULN|48DUR|5RMIN|6RCR|7ASPD|aAART
76	25321 42133	 * 	181.00	ACR|2VULN|2DMG|1AART|1ASPD	1CGEN|2RCR|3RPLT|4LHND|5AART|67VULN|8ASPD|9aDMG
77	36134 41222	   	180.99	DCR|2VULN|1AART|1ASPD|2DUR	1ERES|2MBVNT|38DUR|49VULN|5RMIN|6RCR|7ASPD|aAART
78	36134 41634	   	180.99	DCR|2VULN|1AART|1ASPD|2DUR	1ERES|2MBVNT|3aDUR|49VULN|5RMIN|6RCR|7ASPD|8AART
79	36444 41222	   	180.99	DCR|2VULN|1AART|1ASPD|2DUR	1ERES|2MBVNT|39VULN|48DUR|5RMIN|6RCR|7ASPD|aAART
80	36444 41634	   	180.99	DCR|2VULN|1AART|1ASPD|2DUR	1ERES|2MBVNT|39VULN|4aDUR|5RMIN|6RCR|7ASPD|8AART
81	36473 41222	   	180.99	DCR|2VULN|1AART|1ASPD|2DUR	1ERES|2MBVNT|39VULN|4CGEN|58DUR|6RCR|7ASPD|aAART
82	35321 42133	   	180.90	ACR|2VULN|2DMG|1AART|1ASPD	1ERES|2RCR|3RPLT|4LHND|5AART|67VULN|8ASPD|9aDMG
83	53131 61261	   	180.36	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1MDPS|2LEGI|3ZMB|48VULN|5DUR|6BELT|7RCR|9DMG|aASPD
84	41153 13422	   	180.33	DCR|3VULN|1DMG|1ZMB|1DUR	1RCVC|2LHND|3CGEN|4DMG|5DUR|6RCR|79aVULN|8ZMB
85	42153 13423	   	180.33	DCR|3VULN|1DMG|1ZMB|1DUR	1RCVC|2FEWX|3CGEN|4DMG|5DUR|6RCR|79aVULN|8ZMB
86	43532 23132	 * 	180.22	DCR|1MDPS|2ASPD|1AART|1DMG|1CDMG|1DUR	1RCVC|2MDPS|3CDMG|4DUR|5CGEN|6AART|7RCR|8aASPD|9DMG
87	36133 41782	   	180.03	DCR|3VULN|1ASPD|1ZMB|1DUR	1ERES|2MBVNT|3DUR|48aVULN|5TLV|6RCR|7ASPD|9ZMB
88	36443 41782	   	180.03	DCR|3VULN|1ASPD|1ZMB|1DUR	1ERES|2MBVNT|38aVULN|4DUR|5TLV|6RCR|7ASPD|9ZMB
89	12333 24432	 * 	179.98	DCR|2DMG|1MDPS|2ASPD|3ZMB	19LWND|259ZMB|3RPLT|45DMG|59BPWR|6TLV|79ASPD|8RCR|aMDPS
90	26414 62416	 * 	179.97	DCR|2VULN|1ASPD|1DMG|1CDMG	1CGEN|2MBVNT|37VULN|4RPLT|5DUST|6RCR|8CDMG|9DMG|aASPD
91	26443 41784	 * 	179.94	DCR|2VULN|2ASPD|2ZMB|1DUR	1CGEN|2MBVNT|3aVULN|4DUR|5TLV|6RCR|7aASPD|8AELBLL|9aZMB|aBPWR
92	26433 42873	   	179.86	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2MBVNT|3VULN|4ZMB|5AART|6DUR|7BEXP|8DMG|9RCR|aASPD
93	53131 61151	 * 	179.77	DCR|2AART|1MDPS|1VULN|1DMG|1ZMB|1DUR	1MDPS|2LEGI|3ZMB|4VULN|5DUR|6BELT|7RCR|89AART|aDMG
94	26433 43873	   	179.76	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2MBVNT|3VULN|4ZMB|5AART|6DUR|7DUST|8DMG|9RCR|aASPD
95	36436 34642	   	179.75	DCR|3VULN|1AART|1ZMB|1DUR	1ERES|2MBVNT|357VULN|4ZMB|6TLV|8RCR|9DUR|aAART
96	25321 42135	 * 	179.66	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2RCR|3RPLT|4LHND|5AART|67VULN|8ASPD|9DMG|aCDMG
97	36136 48422	   	179.65	DCR|4VULN|1DMG|1DUR	1ERES|2MBVNT|3DUR|458aVULN|6DMG|7BEXP|9RCR
98	36446 48422	   	179.65	DCR|4VULN|1DMG|1DUR	1ERES|2MBVNT|358aVULN|4DUR|6DMG|7BEXP|9RCR
99	35321 42135	   	179.56	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|2RCR|3RPLT|4LHND|5AART|67VULN|8ASPD|9DMG|aCDMG
100	31353 23463	   	179.46	DCR|3VULN|1MDPS|1AART|1CDMG	1ERES|2MDPS|3CGEN|4CDMG|5RMIN|6AART|7RCR|89aVULN
101	45313 31316	   	179.41	DCR|2VULN|2DMG|1ASPD	1RCVC|29AIRARM|39VULN|48DMG|5MSLREG|69AELBLL|7RCR|9BPWR|aASPD
102	41123 62612	   	179.18	DCR|3VULN|1MDPS|2DMG	1RCVC|2LHND|3CGEN|48aVULN|5MDPS|6RCR|79DMG
103	14233 22336	 * 	179.07	ACR|3VULN|3ZMB|1AART|2DUR	19aLWND|24DUR|3RCR|5AART|6RCVC|79aVULN|89aZMB|9aBPWR
104	14343 42231	 * 	179.04	DCR|1MDPS|1VULN|1AART|2CDMG|1ASPD|1DUR	1LWND|2DUR|3MDPS|4ASPD|5DUST|6RCR|79CDMG|8AART|aVULN
105	51343 42231	   	179.04	DCR|1MDPS|1VULN|1AART|2CDMG|1ASPD|1DUR	1MDPS|2FEWX|3DUR|4ASPD|5DUST|6RCR|79CDMG|8AART|aVULN
106	53336 42231	   	179.04	DCR|1MDPS|1AART|1VULN|2CDMG|1ASPD|1DUR	1MDPS|2LEGI|3ASPD|4FEWX|5DUR|6RCR|79CDMG|8AART|aVULN
107	12333 24416	 * 	178.99	DCR|2DMG|1AART|1ASPD|2ZMB|1DUR	1LWND|25ZMB|3RPLT|45DMG|5BPWR|6TLV|7ASPD|8RCR|9DUR|aAART
108	21112 23462	 * 	178.84	DCR|2VULN|1MDPS|1AART|1ASPD|2DUR|1SELL	1CGEN|2MDPS|35DUR|4SELL|6AART|7RCR|89VULN|aASPD
109	21112 23466	 * 	178.84	DCR|2VULN|1MDPS|1AART|1DMG|2DUR|1SELL	1CGEN|2MDPS|35DUR|4SELL|6AART|7RCR|89VULN|aDMG
110	11136 62622	   	178.75	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR	1LWND|2CGEN|3DUR|4aVULN|5BEXP|6RCR|7DMG|8ZMB|9CDMG
111	22136 62622	   	178.75	DCR|2VULN|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2LWND|3DUR|4aVULN|5BEXP|6RCR|7DMG|8ZMB|9CDMG
112	21135 62622	   	178.65	DCR|2VULN|1MDPS|1DMG|1CDMG|1ZMB|1DUR	15CGEN|2MDPS|3DUR|4aVULN|6RCR|7DMG|8ZMB|9CDMG
113	21331 62622	   	178.65	DCR|2VULN|1MDPS|1DMG|1CDMG|1ZMB|1DUR	13CGEN|2MDPS|4aVULN|5DUR|6RCR|7DMG|8ZMB|9CDMG
114	12436 23312	   	178.18	DCR|2VULN|1MDPS|1AART|1ASPD|1ZMB|1DUR	1LWND|2ZMB|3AME|4ASPD|5DUR|6MDPS|79VULN|8AART|aRCR
115	12436 52312	   	178.18	DCR|2VULN|1MDPS|1AART|1ASPD|1ZMB|1DUR	1LWND|2ZMB|3AME|4ASPD|5DUR|69VULN|7MDPS|8AART|aRCR
116	26431 53446	   	178.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1CGEN|2MBVNT|39VULN|4ZMB|5LIT|6AART|7DUR|8ASPD|aRCR
117	42152 13422	   	177.87	DCR|2VULN|1AART|1DMG|1ZMB	1RCVC|2FEWX|3CGEN|4DMG|5DUST|6RCR|79VULN|8ZMB|aAART
118	26411 46251	   	177.79	DCR|2VULN|1AART|1DMG|1CDMG	1CGEN|2MBVNT|3aVULN|4RPLT|5AART|6DMG|7SNIFST|8CDMG|9RCR
119	51221 43711	   	177.77	DCR|2VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2FEWX|3MBVNT|4AME|5AART|6RCR|7ZMB|8DMG|9aVULN
120	33517 43251	 * 	177.73	DCR|2ASPD|1AART|1VULN|1CDMG|1AAC|1DUR	1ERES|2AAC|3MBVNT|4CDMG|59ASPD|6AART|7DUR|8VULN|aRCR
121	36411 46251	   	177.69	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2MBVNT|3aVULN|4RPLT|5AART|6DMG|7SNIFST|8CDMG|9RCR
122	54221 43711	   	177.67	DCR|2VULN|1MDPS|1AART|1DMG|1ZMB	1MDPS|2DUST|3MBVNT|4AME|5AART|6RCR|7ZMB|8DMG|9aVULN
123	25321 42132	 * 	177.63	ACR|2VULN|2ASPD|1AART|1DMG	1CGEN|2RCR|3RPLT|4LHND|5AART|67VULN|8aASPD|9DMG
124	35321 42132	   	177.53	ACR|2VULN|2ASPD|1AART|1DMG	1ERES|2RCR|3RPLT|4LHND|5AART|67VULN|8aASPD|9DMG
125	21336 23536	 * 	177.47	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG	13CGEN|2MDPS|4VULN|5RMIN|6ASPD|7CDMG|8DMG|9RCR|aAART
126	41123 62622	 * 	177.44	DCR|4VULN|1MDPS|1DMG	1RCVC|2LHND|3CGEN|489aVULN|5MDPS|6RCR|7DMG
127	31353 23426	 * 	177.38	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG	1ERES|2MDPS|3CGEN|4CDMG|5RMIN|6aAART|7RCR|8VULN|9DMG
128	34323 23536	   	177.37	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG	1ERES|2RMIN|3MDPS|4VULN|5RCVC|6ASPD|7CDMG|8DMG|9RCR|aAART
129	62131 62341	 * 	177.26	DCR|1VULN|1AART|1DMG|1CDMG|2ZMB|1AAC|1DUR	1BEXP|27ZMB|3DUR|4AART|5VULN|6DMG|8AAC|9CDMG|aRCR
130	43532 23423	 * 	177.14	DCR|1MDPS|1AART|1VULN|2CDMG|1DMG|1DUR	1RCVC|2MDPS|3aCDMG|4DUR|5CGEN|6AART|7RCR|8VULN|9DMG
131	41221 46213	 * 	176.92	ACR|4VULN|1AART|2ZMB|1DUR	1RCVC|2LHND|3RCR|46ZMB|5678VULN|6BPWR|9DUR|aAART
132	42221 46213	   	176.92	ACR|4VULN|1AART|2ZMB|1DUR	1RCVC|2FEWX|3RCR|46ZMB|5678VULN|6BPWR|9DUR|aAART
133	26127 11226	 * 	176.78	DCR|2VULN|2ASPD|3DUR	14aCGEN|2MBVNT|345DUR|4aBPWR|6RCR|7ERES|8aASPD|9aVULN
134	36411 53464	   	176.68	DCR|2VULN|1AART|1DMG|1DUR|1SPLREG	1ERES|2MBVNT|36VULN|4RPLT|5AART|7SPLREG|8DUR|9RCR|aDMG
135	36134 41624	 * 	176.68	DCR|2AART|1VULN|1ASPD|2DUR	1ERES|2MBVNT|3aDUR|4VULN|5RMIN|6RCR|7ASPD|89AART
136	36444 41624	   	176.68	DCR|2AART|1VULN|1ASPD|2DUR	1ERES|2MBVNT|3VULN|4aDUR|5RMIN|6RCR|7ASPD|89AART
137	36124 14226	   	176.58	DCR|2VULN|2ASPD|3DUR	14aERES|2MBVNT|345DUR|4aBPWR|6RCR|7AME|8aASPD|9aVULN
138	36124 17226	   	176.58	DCR|2VULN|2ASPD|3DUR	14aERES|2MBVNT|345DUR|4aBPWR|6RCR|7MLV|8aASPD|9aVULN
139	12335 42132	   	176.19	DCR|2VULN|2DMG|1MDPS|1ZMB|1DUR	17LWND|2ZMB|3RPLT|47DMG|5MDPS|67VULN|7BPWR|8RCR|9RMIN|aDUR
140	12145 41123	   	176.15	DCR|3VULN|1AART|1ZMB|1DUR	156LWND|2ZMB|3DUR|456VULN|56BPWR|7ERES|8AART|9RMIN|aRCR
141	62131 36161	   	176.15	DCR|1AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2ZMB|3DUR|4AART|5VULN|6FEWX|7CDMG|8ASPD|9RCR|aLHND
142	62131 36162	   	176.05	DCR|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2ZMB|3DUR|4AART|5VULN|6FEWX|7CDMG|8ASPD|9RCR|aDLOT
143	26134 46523	   	176.02	DCR|4VULN|1ZMB|1DUR	1CGEN|2MBVNT|3DUR|479aVULN|5RMIN|6RCR|8ZMB
144	26444 46523	   	176.02	DCR|4VULN|1ZMB|1DUR	1CGEN|2MBVNT|379aVULN|4DUR|5RMIN|6RCR|8ZMB
145	36134 46523	   	175.92	DCR|4VULN|1ZMB|1DUR	1ERES|2MBVNT|3DUR|479aVULN|5RMIN|6RCR|8ZMB
146	36444 46523	   	175.92	DCR|4VULN|1ZMB|1DUR	1ERES|2MBVNT|379aVULN|4DUR|5RMIN|6RCR|8ZMB
147	26436 16422	 * 	175.87	DCR|5VULN|1MDPS|1ZMB	1CGEN|2MBVNT|3578aVULN|4ZMB|6MDPS|9RCR
148	21331 66353	   	175.84	DCR|2VULN|1MDPS|1AART|1ASPD|1DUR	13CGEN|2MDPS|48VULN|5DUR|6RCR|7BEXP|9AART|aASPD
149	26134 41722	   	175.84	DCR|2VULN|1AART|1ASPD|1DUR	1CGEN|2MBVNT|3DUR|49VULN|5RMIN|6RCR|7ASPD|8AELBLL|aAART
150	26444 41722	   	175.84	DCR|2VULN|1AART|1ASPD|1DUR	1CGEN|2MBVNT|39VULN|4DUR|5RMIN|6RCR|7ASPD|8AELBLL|aAART
151	26451 38442	 * 	175.84	DCR|3VULN|1DMG|1CDMG	1CGEN|2MBVNT|39aVULN|45AELBLL|6CDMG|7RCR|8DMG
152	26471 38442	   	175.84	DCR|3VULN|1DMG|1CDMG	14CGEN|2MBVNT|39aVULN|5AELBLL|6CDMG|7RCR|8DMG
153	26535 41423	   	175.81	DCR|3VULN|2ASPD	1CGEN|2MBVNT|3AME|4FEWX|59aVULN|6RCR|78ASPD
154	36436 16422	   	175.77	DCR|5VULN|1MDPS|1ZMB	1ERES|2MBVNT|3578aVULN|4ZMB|6MDPS|9RCR
155	12332 24522	   	175.77	DCR|2DMG|1AART|1ASPD|1ZMB|1DUR	1LWND|2ZMB|3RPLT|49DMG|5CGEN|6DUR|7AART|8RCR|aASPD
156	26422 84235	 * 	175.76	DCR|2VULN|2ASPD|2CDMG	1CGEN|2MBVNT|3aVULN|4LWND|5AME|6aASPD|7TLV|8aCDMG|9RCR|aBPWR
157	23122 42434	   	175.74	DCR|2VULN|1AART|1DMG|1AAC|1DUR	13CGEN|2AAC|4AART|5DUST|6RCR|78VULN|9DMG|aDUR
158	36134 41632	   	175.74	DCR|2VULN|1AART|1ASPD|1DUR	1ERES|2MBVNT|3DUR|49VULN|5RMIN|6RCR|7ASPD|8AART|aLHND
