0	Index      	 *	Score 	Summary	Detail	
1	12532 32365	 * 	237.34	DCR|3VULN|1MDPS|2DMG|2ASPD|1AART	19aVULN|2aDMG|3ERES|4AART|5MDPS|6RCR|7FEWX|8aASPD|aBPWR
30	12223 24326	   	215.72	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	14VULN|24DMG|3BELT|4BPWR|5FEWX|6RCR|7BEXP|8AART|9ASPD|aZMB
31	12651 13632	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG|1AAC	16aVULN|27DMG|3CDMG|4AART|5AAC|8RCR|9FEWX
32	22451 13632	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG|1AAC	1CDMG|27DMG|36aVULN|4AART|5AAC|8RCR|9FEWX
33	13261 12422	 * 	215.13	DCR|3VULN|2AART|2DMG	123VULN|4LIT|5MLV|67AART|8RCR|9aDMG
34	13264 12422	   	215.03	DCR|3VULN|2AART|2DMG	123VULN|4LIT|5TLV|67AART|8RCR|9aDMG
35	14166 33343	 * 	214.82	DCR|2VULN|2DMG|2ASPD|1NUKE|1CDMG	19VULN|2LEGI|3RMIN|4NUKE|5MBVNT|69DMG|79ASPD|8RCR|9BPWR|aCDMG
36	22331 63222	 * 	214.54	ACR|3VULN|3DMG|3CDMG|2DUR	19aCDMG|29aDMG|3RCVC|4RCR|57DUR|6ERES|89aVULN|9aBPWR
37	21342 33351	 * 	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1CDMG|2FEWX|3AART|45ASPD|69VULN|7ERES|8RCR|aDMG
38	12652 21143	   	213.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	179VULN|2DMG|3CDMG|4AART|5ASPD|6RPLT|8LIT|aRCR
39	22452 21143	   	213.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|379VULN|4AART|5ASPD|6RPLT|8LIT|aRCR
40	12222 51245	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14VULN|24DMG|3BELT|4BPWR|5TLV|6RCR|7DUR|8AART|9RPLT|aASPD
41	12222 51265	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14VULN|24DMG|3BELT|4BPWR|5TLV|6RCR|7DUR|8AART|9CGEN|aASPD
42	12226 51225	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14VULN|24DMG|3BELT|4BPWR|5AME|6RCR|7DUR|8AART|9ERES|aASPD
43	13612 32562	   	213.59	DCR|3VULN|2DMG|1ASPD|1CDMG	128VULN|38TLV|4CGEN|5FEWX|68DMG|7RCR|8BPWR|9CDMG|aASPD
44	13613 32562	   	213.59	DCR|3VULN|2DMG|1ASPD|1CDMG	128VULN|38TLV|4CGEN|5LWND|68DMG|7RCR|8BPWR|9CDMG|aASPD
45	13422 33413	   	213.52	DCR|4VULN|3DMG|1ZMB	1289VULN|389MLV|4ZMB|5FEWX|689DMG|7RPLT|89BPWR|aRCR
46	13423 33413	   	213.52	DCR|4VULN|3DMG|1ZMB	1289VULN|389MLV|4ZMB|5LWND|689DMG|7RPLT|89BPWR|aRCR
47	12222 51225	   	213.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	14VULN|24DMG|3BELT|4BPWR|5TLV|6RCR|7DUR|8AART|9ERES|aASPD
48	13622 33413	   	213.22	DCR|4VULN|3DMG|1ZMB	1289VULN|389TLV|4ZMB|5FEWX|689DMG|7RPLT|89BPWR|aRCR
49	13623 33413	   	213.22	DCR|4VULN|3DMG|1ZMB	1289VULN|389TLV|4ZMB|5LWND|689DMG|7RPLT|89BPWR|aRCR
50	12651 13631	   	213.03	DCR|3DMG|2VULN|1AART|1CDMG|1AAC	16VULN|27aDMG|3CDMG|4AART|5AAC|8RCR|9FEWX
51	22451 13631	   	213.03	DCR|3DMG|2VULN|1AART|1CDMG|1AAC	1CDMG|27aDMG|36VULN|4AART|5AAC|8RCR|9FEWX
52	12223 24323	   	212.33	DCR|2VULN|2DMG|1AART|1ASPD	14VULN|24DMG|3BELT|4BPWR|5FEWX|6RCR|7BEXP|8AART|9ASPD|aSPLREG
53	21342 33353	 * 	211.84	DCR|3VULN|2ASPD|1AART|1CDMG	1CDMG|2FEWX|3AART|45ASPD|69aVULN|7ERES|8RCR
54	14222 34322	   	211.42	DCR|3VULN|3DMG|2DUR|1AAC	13aVULN|2LEGI|4AAC|5RMIN|67aDMG|8RCR|9aDUR|aBPWR
55	22332 14526	 * 	211.14	ACR|2VULN|2DMG|3CDMG|1AART|1NUKE	159CDMG|29DMG|3RCVC|4RCR|69VULN|7LEGI|8AART|9BPWR|aNUKE
56	13521 33413	   	211.09	DCR|4VULN|3DMG|1AAC|1DUR	1289VULN|3DUR|4AAC|5RPLT|689DMG|789TLV|89BPWR|aRCR
57	13523 33413	   	211.09	DCR|4VULN|3DMG|1AAC|1DUR	1289VULN|3DUR|4AAC|589TLV|689DMG|7RPLT|89BPWR|aRCR
58	13235 45322	   	210.94	DCR|4VULN|2DMG|2DUR|1AAC	123aVULN|4FEWX|5AAC|6RMIN|7RCR|8aDMG|9aDUR|aBPWR
59	13215 45322	   	210.84	DCR|4VULN|2DMG|2DUR|1AAC	123aVULN|4LEGI|5AAC|6RMIN|7RCR|8aDMG|9aDUR|aBPWR
60	21342 34331	 * 	210.34	DCR|3ASPD|1VULN|1AART|2CDMG|1DMG	19CDMG|2FEWX|3AART|459ASPD|6VULN|7DMG|89LHND|9BPWR|aRCR
61	21342 34431	   	210.34	DCR|3ASPD|1VULN|1AART|2CDMG|1DMG	19CDMG|2FEWX|3AART|459ASPD|6VULN|7DMG|89LWND|9BPWR|aRCR
62	12223 24332	   	209.88	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|24DMG|3BELT|4BPWR|5FEWX|6RCR|7BEXP|8AART|9DUR|aCDMG
63	12226 51232	   	209.88	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|24DMG|3BELT|4BPWR|5AME|6RCR|7DUR|8AART|9LWND|aCDMG
64	12653 13216	 * 	209.88	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1aVULN|2aDMG|3CDMG|4AART|5MDPS|6RCR|7DUR|8BELT|9aCGEN|aBPWR
65	12224 21345	   	209.87	DCR|4VULN|2DMG|1ZMB|1DUR	149aVULN|24DMG|3BELT|4BPWR|5ZMB|6LHND|7DUR|8RCR
66	12222 51232	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|24DMG|3BELT|4BPWR|5TLV|6RCR|7DUR|8AART|9LWND|aCDMG
67	12226 51212	   	209.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|24DMG|3BELT|4BPWR|5AME|6RCR|7DUR|8AART|9DUST|aCDMG
68	12226 51234	   	209.71	DCR|2VULN|2AART|2DMG|1DUR	14VULN|24DMG|3BELT|4BPWR|5AME|6RCR|7DUR|8aAART|9LWND
69	12222 51212	   	209.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14VULN|24DMG|3BELT|4BPWR|5TLV|6RCR|7DUR|8AART|9DUST|aCDMG
70	12653 13226	   	209.68	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1aVULN|2aDMG|3CDMG|4AART|5MDPS|6RCR|7DUR|8BELT|9aERES|aBPWR
71	12222 51234	   	209.61	DCR|2VULN|2AART|2DMG|1DUR	14VULN|24DMG|3BELT|4BPWR|5TLV|6RCR|7DUR|8aAART|9LWND
72	14222 34232	   	209.42	DCR|3VULN|3DMG|2DUR|1AAC	13aVULN|2LEGI|4AAC|5RMIN|67aDMG|8aDUR|9RCR|aBPWR
73	12222 51364	   	208.60	DCR|3DMG|2VULN|1CDMG|1DUR	14VULN|24aDMG|3BELT|4BPWR|5TLV|6RCR|7DUR|8SPLREG|9CDMG
74	42421 62113	   	208.28	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3LIT|489VULN|5ZMB|6RCR|7RMIN|aAART
75	22346 33342	 * 	208.22	DCR|2VULN|2DMG|1AART|2CDMG	19CDMG|29DMG|3RCVC|4BEXP|5AART|6aVULN|79ERES|8RCR|9BPWR
76	12653 13242	 * 	208.17	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1DUR	1aVULN|2DMG|3CDMG|49AART|5MDPS|6RCR|7DUR|8BELT
77	22453 13242	   	208.17	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG|1DUR	1CDMG|2DMG|3aVULN|49AART|5MDPS|6RCR|7DUR|8BELT
78	12224 21331	   	208.09	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	14VULN|249DMG|3BELT|4BPWR|5ZMB|6LHND|7DUR|8RCR|aCDMG
79	13412 32551	   	208.03	DCR|3VULN|2DMG|1AART|1AAC	128VULN|38MLV|4CGEN|5FEWX|68DMG|7RCR|8BPWR|9AART|aAAC
80	13413 32551	   	208.03	DCR|3VULN|2DMG|1AART|1AAC	128VULN|38MLV|4CGEN|5LWND|68DMG|7RCR|8BPWR|9AART|aAAC
81	13261 12421	   	207.88	DCR|3VULN|2AART|1DMG|1ZMB	123VULN|4LIT|5MLV|67AART|8RCR|9DMG|aZMB
82	13264 12421	   	207.78	DCR|3VULN|2AART|1DMG|1ZMB	123VULN|4LIT|5TLV|67AART|8RCR|9DMG|aZMB
83	12224 61235	   	207.63	DCR|3VULN|3DMG|1ZMB	14aVULN|24aDMG|3BELT|4aBPWR|5ZMB|6TSLFST|7RCR|8aMLV|9RMIN
84	13214 32246	 * 	207.52	DCR|4VULN|1AART|1DMG|1DUR	123aVULN|4LEGI|5DUR|6DMG|7RCR|8FEWX|9AART
85	13241 32246	   	207.52	DCR|4VULN|1AART|1DMG|1DUR	123aVULN|4DUR|5LEGI|6DMG|7RCR|8FEWX|9AART
86	12533 65221	   	207.51	DCR|2VULN|2AART|2DMG|1DUR	19VULN|25DMG|35ERES|46AART|5BPWR|7RCR|8LWND|aDUR
87	12224 61335	   	207.43	DCR|3VULN|3DMG|1ZMB	14aVULN|24aDMG|3BELT|4aBPWR|5ZMB|6TSLFST|7RCR|8aTLV|9RMIN
