0	Index      	 *	Score 	Summary	Detail	
1	51444 37413	 * 	222.63	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|25aVULN|3RMIN|48AART|6CDMG|7RCR|9DMG
56	51346 51313	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|28VULN|3CDMG|4ASPD|5RPLT|6AART|7DUR|9RCR|aDMG
57	51444 61444	   	205.65	DCR|3VULN|2AART|1DMG|2RMIN	1MBVNT|259VULN|37RMIN|46AART|8RCR|9BPWR|aDMG
58	51444 61464	   	205.65	DCR|3VULN|2AART|1DMG|2RMIN	1MBVNT|259VULN|37RMIN|46AART|8RCR|aDMG
59	51481 44444	 * 	205.42	DCR|4VULN|1AART|1DMG|2RMIN	1MBVNT|2569VULN|34RMIN|69BPWR|7AART|8RCR|aDMG
60	51481 44464	   	205.42	DCR|4VULN|1AART|1DMG|2RMIN	1MBVNT|2569VULN|34RMIN|6BPWR|7AART|8RCR|aDMG
61	54343 33365	   	205.42	DCR|2DMG|2ASPD|3CDMG|1VULN|1AAC	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7VULN|8RCR|aAAC
62	51444 61422	 * 	205.41	DCR|2VULN|2AART|2DMG|2RMIN	1MBVNT|25VULN|37RMIN|46AART|8RCR|9aDMG
63	51444 37317	   	205.14	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|259VULN|3RMIN|4AART|6CDMG|7RCR|8DUR|aZMB
64	51444 37322	   	205.14	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MBVNT|25aVULN|3RMIN|4AART|6CDMG|7RCR|8DUR|9ZMB
65	51444 37418	   	205.13	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9DMG|aRCVC
66	51444 37438	   	205.13	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9ASPD|aRCVC
67	51544 84111	   	205.13	DCR|3AART|2VULN|1ASPD|1CDMG	1MBVNT|25VULN|3AME|479AART|6RCR|8ASPD|aCDMG
68	54344 81133	   	205.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7DMG|8LWND|9AART|aVULN
69	54344 81233	   	205.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7DMG|8FEWX|9AART|aVULN
70	54344 81733	   	205.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7DMG|8BEXP|9AART|aVULN
71	54344 86333	   	205.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7FEWX|8DMG|9AART|aVULN
72	51744 84111	   	205.03	DCR|3AART|2VULN|1ASPD|1CDMG	1MBVNT|25VULN|3TLV|479AART|6RCR|8ASPD|aCDMG
73	51444 83137	   	204.95	DCR|2VULN|2ASPD|1AART|1CDMG	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8LHND|aCDMG
74	54343 32361	   	204.88	DCR|2VULN|2ASPD|3CDMG|1DMG	1MBVNT|245CDMG|34ASPD|4BPWR|6DMG|7FEWX|8RCR|9aVULN
75	54343 33321	   	204.88	DCR|2VULN|2ASPD|3CDMG|1DMG	1MBVNT|245CDMG|34ASPD|4BPWR|6DMG|7aVULN|8RCR|9LHND
76	54343 33341	   	204.88	DCR|2VULN|2ASPD|3CDMG|1DMG	1MBVNT|245CDMG|34ASPD|4BPWR|6DMG|7aVULN|8RCR|9LWND
77	54343 33351	   	204.88	DCR|2VULN|2ASPD|3CDMG|1DMG	1MBVNT|245CDMG|34ASPD|4BPWR|6DMG|7aVULN|8RCR|9FEWX
78	54343 55312	   	204.88	DCR|2VULN|2ASPD|3CDMG|1DMG	1MBVNT|245CDMG|34ASPD|4BPWR|6DMSP|79VULN|8RCR|aDMG
79	54343 55333	   	204.88	DCR|2VULN|2ASPD|3CDMG|1DMG	1MBVNT|245CDMG|34ASPD|4BPWR|6DMSP|7aVULN|8RCR|9DMG
80	51444 83741	   	204.87	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|25VULN|3RMIN|4AART|6RCR|7ASPD|8DMG|9ZMB|aBEXP
81	51444 37411	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9DMG|aLIT
82	51444 37412	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9DMG|aCGEN
83	51444 37414	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9DMG|aAME
84	51444 37415	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9DMG|aBELT
85	51444 37416	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9DMG|aLHND
86	51444 37417	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9DMG|aAELBLL
87	51444 37431	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9ASPD|aLIT
88	51444 37432	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9ASPD|aCGEN
89	51444 37434	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9ASPD|aAME
90	51444 37435	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9ASPD|aBELT
91	51444 37436	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9ASPD|aLHND
92	51444 37437	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9ASPD|aAELBLL
93	51444 37483	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|48AART|6CDMG|7RCR|9RPLT|aASPD
94	51447 37413	   	204.80	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|2aVULN|3RMIN|48AART|5AELBLL|6CDMG|7RCR|9DMG
95	51447 37433	   	204.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|2aVULN|3RMIN|48AART|5AELBLL|6CDMG|7RCR|9ASPD
96	51444 83742	   	204.77	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|25VULN|3RMIN|4AART|6RCR|7ASPD|8DMG|9ZMB|aTLV
97	54213 17341	 * 	204.71	DCR|3DMG|2AART|2CDMG|1AAC|1ZMB	1MBVNT|28CDMG|3aAART|4AAC|568DMG|7RCR|8BPWR|9ZMB
98	54341 26711	 * 	204.68	DCR|3ASPD|2VULN|3CDMG	1MBVNT|24aCDMG|347ASPD|4aBPWR|5SPLREG|6aDUST|8RCR|9aVULN
99	51444 84143	   	204.10	DCR|2VULN|2AART|1ASPD|2ZMB	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9aZMB
100	54344 84833	   	203.69	DCR|2ASPD|1VULN|1AART|2CDMG|1ZMB|1DUR	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7ZMB|8DUR|9AART|aVULN
101	51544 84123	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3AME|47AART|6RCR|8ASPD|9FEWX|aDMG
102	51544 84132	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3AME|47AART|6RCR|8ASPD|9AELBLL|aDMG
103	51544 84233	   	203.68	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3AME|47AART|6RCR|8LHND|9ASPD|aDMG
104	51544 84433	   	203.58	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3AME|47AART|6RCR|8DUST|9ASPD|aDMG
105	51314 84423	   	203.45	DCR|2VULN|2DMG|2CDMG|1ASPD	1MBVNT|2aVULN|3aCDMG|4FEWX|5ASPD|6RMIN|7BELT|8aDMG|9RCR|aBPWR
106	51344 84423	   	203.45	DCR|2VULN|2DMG|2CDMG|1ASPD	1MBVNT|2aVULN|3aCDMG|4ASPD|5FEWX|6RMIN|7BELT|8aDMG|9RCR|aBPWR
107	51444 37347	   	203.38	DCR|2VULN|2AART|1CDMG|1ZMB|1DUR	1MBVNT|25VULN|3RMIN|49AART|6CDMG|7RCR|8DUR|aZMB
108	54742 51213	   	203.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2CDMG|3RPLT|48DMG|5VULN|6AART|7DUR|9RCR|aASPD
109	54742 14318	   	203.12	DCR|3VULN|2DMG|2CDMG|1AAC	1MBVNT|2aCDMG|3RPLT|4aDMG|59aVULN|6RMIN|7AAC|8RCR|aBPWR
110	51444 87434	 * 	203.06	DCR|3VULN|1AART|2CDMG	1MBVNT|25aVULN|3RMIN|4AART|6RCR|7SPLREG|8aLIT|9aCDMG|aBPWR
111	51362 32225	   	202.97	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	1MBVNT|2aVULN|3aCDMG|4AART|5AME|6RPLT|7RCR|8DMG|9aDUR|aBPWR
112	51361 32225	   	202.87	DCR|2VULN|1AART|2CDMG|1DMG|2DUR	1MBVNT|2aVULN|3aCDMG|4AART|5ERES|6RPLT|7RCR|8DMG|9aDUR|aBPWR
113	51444 83432	   	202.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|25VULN|3RMIN|4AART|6RCR|7ASPD|8RPLT|9DUR|aDMG
114	51444 83714	   	202.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|25VULN|3RMIN|4AART|6RCR|7ASPD|8DMG|9CGEN|aDUR
115	54341 11627	 * 	202.68	DCR|3ASPD|2VULN|1MDPS|3CDMG	1MBVNT|24aCDMG|34aASPD|4aBPWR|5SPLREG|6MDPS|7TLV|8aVULN|9RCR
116	54341 14627	   	202.68	DCR|3ASPD|2VULN|1MDPS|3CDMG	1MBVNT|24aCDMG|34aASPD|4aBPWR|5SPLREG|6MDPS|7ERES|8aVULN|9RCR
117	51444 83843	   	202.64	DCR|3VULN|1AART|1ASPD|1ZMB	1MBVNT|259VULN|3RMIN|4AART|6RCR|7ASPD|8CGEN|aZMB
118	51444 35482	   	202.46	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|25aVULN|3RMIN|4AART|6CDMG|7ASPD|8DUST|9RCR
119	51544 84141	   	202.25	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1MBVNT|25VULN|3AME|47AART|6RCR|8ASPD|9ZMB|aDUR
120	51444 84147	   	202.15	DCR|2VULN|2AART|1ASPD|1ZMB|2RMIN	1MBVNT|25VULN|3aRMIN|47AART|6RCR|8ASPD|9ZMB
121	51744 84141	   	202.15	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1MBVNT|25VULN|3TLV|47AART|6RCR|8ASPD|9ZMB|aDUR
122	14322 12224	 * 	202.10	DCR|3DMG|2VULN|1ASPD	1CGEN|268DMG|3RMIN|4aVULN|5LIT|7RCR|9ASPD
123	51544 83243	   	202.10	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MBVNT|25VULN|3AME|4AART|6RCR|7ASPD|8RMIN|9ZMB|aDMG
124	54343 33366	   	202.08	DCR|2DMG|2ASPD|3CDMG|1VULN	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7VULN|8RCR|aCGEN
125	54343 33367	   	202.08	DCR|2DMG|2ASPD|3CDMG|1VULN	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7VULN|8RCR|aRPLT
126	54343 33368	   	202.08	DCR|2DMG|2ASPD|3CDMG|1VULN	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7VULN|8RCR|aAME
127	54213 17328	 * 	202.08	DCR|3DMG|1AART|1VULN|2CDMG|1AAC	1MBVNT|28CDMG|3AART|4AAC|568DMG|7RCR|8BPWR|9DMSP|aVULN
128	54213 17334	   	202.08	DCR|3DMG|1VULN|1AART|2CDMG|1AAC	1MBVNT|28CDMG|3AART|4AAC|568DMG|7RCR|8BPWR|9FEWX|aVULN
129	54213 17364	   	202.08	DCR|3DMG|1VULN|1AART|2CDMG|1AAC	1MBVNT|28CDMG|3AART|4AAC|568DMG|7RCR|8BPWR|9LWND|aVULN
130	54343 33361	   	201.98	DCR|2DMG|2ASPD|3CDMG|1VULN	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7VULN|8RCR|aTSLFST
131	54343 33362	   	201.98	DCR|2DMG|2ASPD|3CDMG|1VULN	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7VULN|8RCR|aTLV
132	54213 17314	   	201.98	DCR|3DMG|1VULN|1AART|2CDMG|1AAC	1MBVNT|28CDMG|3AART|4AAC|568DMG|7RCR|8BPWR|9DUST|aVULN
133	51362 32335	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|28VULN|3CDMG|4AART|5AME|6RPLT|7RCR|9ASPD|aDMG
134	51544 37124	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|25VULN|3AME|4AART|6CDMG|7RCR|8MULARM|9ASPD|aDMG
135	51544 83133	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|25VULN|3AME|4AART|6RCR|79ASPD|8LHND|aDMG
136	51744 37124	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|25VULN|3TLV|4AART|6CDMG|7RCR|8MULARM|9ASPD|aDMG
137	51361 32335	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|28VULN|3CDMG|4AART|5ERES|6RPLT|7RCR|9ASPD|aDMG
138	12321 66324	 * 	201.68	DCR|3VULN|2DMG|1ASPD|1ZMB	1CGEN|259VULN|3ZMB|46DMG|7FEWX|8ASPD|aRCR
139	54344 81147	 * 	201.40	DCR|2ASPD|1VULN|2CDMG|1DMG|1NUKE	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7DMG|8LWND|9VULN|aNUKE
140	54344 81247	   	201.40	DCR|2ASPD|1VULN|2CDMG|1DMG|1NUKE	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7DMG|8FEWX|9VULN|aNUKE
141	51444 63144	   	201.19	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1MBVNT|25VULN|3RMIN|46AART|7DUR|8ASPD|9ZMB|aRCR
142	12142 73533	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1CGEN|2VULN|3LWND|47DMG|5MBVNT|6RCR|8AART|9ASPD|aCDMG
143	51444 83427	   	200.89	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|49AART|6RCR|7ASPD|8RPLT|aZMB
144	51444 84144	   	200.89	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9ZMB|aLWND
145	51444 84146	   	200.89	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9ZMB|aCGEN
146	51444 84142	   	200.79	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9ZMB|aDUST
147	51444 84145	   	200.79	DCR|2VULN|2AART|1ASPD|1ZMB|1MSE	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9ZMB|aMSE
148	51444 84183	   	200.79	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9ERES|aZMB
149	51444 83841	   	200.62	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|259VULN|3RMIN|4AART|6RCR|7ASPD|8CGEN|aDUR
150	51444 37336	   	200.37	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1MBVNT|25VULN|3RMIN|4AART|6CDMG|7RCR|8DUR|9ASPD|aAAC
151	14322 12661	 * 	200.07	DCR|3VULN|3DMG	19CGEN|26aDMG|3RMIN|489VULN|59LIT|7RCR|9BPWR
152	12321 15151	   	199.86	DCR|3VULN|2DMG|1CDMG|1ZMB	1CGEN|25aVULN|3ZMB|47DMG|6CDMG|8AME|9RCR
153	12321 15251	   	199.86	DCR|3VULN|2DMG|1CDMG|1ZMB	1CGEN|25aVULN|3ZMB|47DMG|6CDMG|8MLV|9RCR
154	51444 84151	 * 	199.82	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9MDPS|aDUR
155	51444 84152	   	199.82	DCR|2VULN|2AART|1MDPS|1ASPD	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9MDPS|aBEXP
156	51444 84153	   	199.82	DCR|2VULN|2AART|1MDPS|1ASPD	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9MDPS|aDUST
157	51444 84154	   	199.82	DCR|2VULN|2AART|1MDPS|1ASPD	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9MDPS|aTLV
158	51117 44134	   	199.69	DCR|3VULN|1MDPS|2ASPD|1AART	1MBVNT|25aVULN|3FEWX|4MDPS|6RCR|7AART|8aLHND|9aASPD|aBPWR
159	51544 37333	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|25aVULN|3AME|4AART|6CDMG|7RCR|8BEXP|9ASPD
160	51433 74631	 * 	199.62	DCR|3DMG|2VULN|1AART|1AAC	1MBVNT|29VULN|3RMIN|4AAC|569DMG|7AART|89CANSTR|9BPWR|aRCR
