0	Index      	 *	Score 	Summary	Detail	
1	42563 22133	 * 	227.29	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	17DUR|27DMG|3CDMG|4ASPD|57VULN|6AART|7BPWR|8CGEN|9LIT|aRCR
18	22244 12513	 * 	216.61	DCR|3DMG|3ASPD|2VULN|1AAC	19FEWX|245DMG|345ASPD|459BPWR|69LWND|7AAC|89VULN|aRCR
19	42211 33326	 * 	216.26	ACR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|2DUR	18DUR|28DMG|39ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|aMDPS
20	31456 13112	 * 	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2AART|3ASPD|457VULN|6DMG|8CDMG|9RCR|aAME
21	31456 13111	   	215.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2AART|3ASPD|457VULN|6DMG|8CDMG|9RCR|aLEGI
22	31456 13113	   	215.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1MLV|2AART|3ASPD|457VULN|6DMG|8CDMG|9RCR|aMSE
23	22244 52231	 * 	214.38	DCR|3DMG|3ASPD|1AART|1CDMG	1FEWX|245DMG|345ASPD|45BPWR|6RPLT|7CDMG|8AART|9RCR|aAME
24	22244 52233	   	214.38	DCR|3DMG|3ASPD|1AART|1CDMG	1FEWX|245DMG|345ASPD|45BPWR|6RPLT|7CDMG|8AART|9RCR|aBELT
25	22244 52232	   	214.28	DCR|3DMG|3ASPD|1AART|1CDMG	1FEWX|245DMG|345ASPD|45BPWR|6RPLT|7CDMG|8AART|9RCR|aDUST
26	22241 53161	   	213.77	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6VULN|7ZMB|8RCR|9AART|aDUR
27	42242 16231	   	213.69	DCR|3DMG|2VULN|2ASPD|1DUR	1DUR|247DMG|34ASPD|4BPWR|5aVULN|6BEXP|8DUST|9RCR
28	42213 63333	   	213.03	ACR|3DMG|1VULN|1AART|2CDMG|1ASPD|2DUR|1AAC	17DUR|278DMG|3ASPD|4RCR|5VULN|67CDMG|7BPWR|9AART|aAAC
29	31455 13112	 * 	212.17	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1MLV|2AART|35ASPD|47VULN|6DMG|8CDMG|9RCR|aAME
30	31455 13111	   	212.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1MLV|2AART|35ASPD|47VULN|6DMG|8CDMG|9RCR|aLEGI
31	31455 13113	   	212.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1MSE	1MLV|2AART|35ASPD|47VULN|6DMG|8CDMG|9RCR|aMSE
32	22241 53143	 * 	211.43	DCR|2VULN|1MDPS|2DMG|2ASPD|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|69VULN|7ZMB|8RCR|aMDPS
33	22241 53141	   	210.37	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|69VULN|7ZMB|8RCR|aDUR
34	22241 53126	   	210.26	DCR|3DMG|3ASPD|1VULN|1ZMB	1FEWX|249DMG|34aASPD|4BPWR|5CANSTR|6VULN|7ZMB|8RCR
35	42213 63331	   	209.70	ACR|3DMG|1VULN|1AART|2CDMG|1ASPD|2DUR	17DUR|278DMG|3ASPD|4RCR|5VULN|67CDMG|7BPWR|9AART|aLWND
36	42213 63332	   	209.70	ACR|3DMG|1VULN|1AART|2CDMG|1ASPD|2DUR	17DUR|278DMG|3ASPD|4RCR|5VULN|67CDMG|7BPWR|9AART|aLHND
37	42242 11336	   	209.67	DCR|3ASPD|2DMG|1VULN|2DUR|2ZMB	1aDUR|24DMG|34aASPD|4aBPWR|5VULN|6BEXP|7RMIN|8aZMB|9RCR
38	42213 63334	   	209.60	ACR|3DMG|1VULN|1AART|2CDMG|1ASPD|2DUR|1MSE	17DUR|278DMG|3ASPD|4RCR|5VULN|67CDMG|7BPWR|9AART|aMSE
39	22263 25231	   	209.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1FEWX|2aDMG|3ASPD|45VULN|6LEGI|7AART|8ZMB|9RCR
40	31432 13433	 * 	208.95	DCR|3ASPD|2VULN|1MDPS|1AART|1DMG	1aMLV|2AART|34aASPD|5BEXP|6DMG|7MDPS|8aVULN|9RCR|aBPWR
41	51432 13433	   	208.95	DCR|3ASPD|2VULN|1MDPS|1AART|1DMG	1aCGEN|2AART|34aASPD|5BEXP|6DMG|7MDPS|8aVULN|9RCR|aBPWR
42	22242 11131	   	208.88	DCR|3DMG|2ASPD|1VULN|1AART	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6BEXP|7RMIN|8AART|9RCR
43	22242 35231	   	208.88	DCR|3DMG|2ASPD|1AART|1VULN	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8LWND|9RCR
44	22242 45231	   	208.88	DCR|3DMG|2ASPD|1AART|1VULN	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6MLV|7AART|8LWND|9RCR
45	22242 13131	   	208.78	DCR|3DMG|2ASPD|1VULN|1AART	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6BEXP|7ERES|8AART|9RCR
46	22242 21131	   	208.78	DCR|3DMG|2ASPD|1AART|1VULN	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6LEGI|7RMIN|8AART|9RCR
47	22242 25331	   	208.78	DCR|3DMG|2ASPD|1VULN|1AART	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8MLV|9RCR
48	22242 65231	   	208.78	DCR|3DMG|2ASPD|1AART|1VULN	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6ERES|7AART|8LWND|9RCR
49	22244 11141	   	208.46	DCR|3DMG|3ASPD|1VULN|1ZMB	17FEWX|245DMG|345ASPD|45BPWR|6LWND|8ZMB|9RCR|aVULN
50	22263 35331	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1FEWX|2aDMG|3ASPD|45VULN|6CGEN|7AART|8DUR|9RCR
51	22263 45331	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1FEWX|2aDMG|3ASPD|45VULN|6MLV|7AART|8DUR|9RCR
52	42263 11131	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6BEXP|7RMIN|8AART|9RCR
53	42263 31131	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6CGEN|7FEWX|8AART|9RCR
54	42263 35231	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6CGEN|7AART|8LWND|9RCR
55	42263 41131	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6MLV|7FEWX|8AART|9RCR
56	42263 51131	   	207.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6FEWX|7RMIN|8AART|9RCR
57	42243 31335	   	207.56	DCR|3DMG|2ASPD|1AART|1CDMG|1DUR	1DUR|248DMG|34ASPD|4BPWR|5LEGI|6CDMG|7BEXP|9AART|aRCR
58	22263 65331	   	207.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1FEWX|2aDMG|3ASPD|45VULN|6ERES|7AART|8DUR|9RCR
59	42263 15131	   	207.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6BEXP|7ERES|8AART|9RCR
60	42263 21131	   	207.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6LEGI|7RMIN|8AART|9RCR
61	42263 25331	   	207.40	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3ASPD|45VULN|6LEGI|7AART|8TLV|9RCR
62	22241 52123	   	207.38	DCR|3DMG|2VULN|2ASPD	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6aVULN|7MLV|8RCR
63	22241 53162	   	207.08	DCR|2DMG|2ASPD|1VULN|1AART|1AAC|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6VULN|7ZMB|8RCR|9AART|aAAC
64	42211 33338	   	206.90	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	18DUR|28DMG|3ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|9MBVNT|aAART
65	22213 25631	 * 	206.87	ACR|3DMG|2VULN|2ASPD|1AART	1FEWX|269DMG|38ASPD|4RCR|5aVULN|7AART
66	26242 16131	   	206.78	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	1FEWX|24ZMB|34ASPD|4BPWR|5VULN|6BEXP|7aDMG|8AART|9RCR
67	42213 63311	 * 	206.30	ACR|3DMG|2VULN|2CDMG|1ASPD|2DUR	17DUR|278DMG|3ASPD|4RCR|5aVULN|67CDMG|7BPWR|9CGEN
68	42213 25531	   	206.20	ACR|3DMG|2VULN|1AART|1ASPD|2DUR	18DUR|269DMG|3ASPD|4RCR|5aVULN|7AART
69	22241 36123	   	205.64	DCR|3DMG|2ASPD|1VULN|1ZMB|1DUR	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6ZMB|7DUR|8RCR|aVULN
70	42241 33123	   	205.64	DCR|3DMG|2ASPD|1VULN|1ZMB|1DUR	1DUR|249DMG|34ASPD|4BPWR|5CANSTR|6ZMB|7LWND|8RCR|aVULN
71	42241 43123	   	205.64	DCR|3DMG|2ASPD|1VULN|1ZMB|1DUR	1DUR|249DMG|34ASPD|4BPWR|5CANSTR|6FEWX|7ZMB|8RCR|aVULN
72	11244 53122	 * 	205.61	DCR|3DMG|2VULN|1ASPD|1CDMG	17BELT|289DMG|39AME|4ASPD|5CDMG|69VULN|9BPWR|aRCR
73	11344 53122	   	205.61	DCR|3DMG|2VULN|1ASPD|1CDMG	17BELT|289DMG|39CGEN|4ASPD|5CDMG|69VULN|9BPWR|aRCR
74	22241 53163	   	205.46	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6VULN|7ZMB|8RCR|9AART|aLHND
75	22242 16231	   	205.38	DCR|3DMG|2VULN|2ASPD	1FEWX|247DMG|34ASPD|4BPWR|5aVULN|6BEXP|8DUST|9RCR
76	22242 16431	   	205.38	DCR|3DMG|2VULN|2ASPD	1FEWX|247DMG|34ASPD|4BPWR|5aVULN|6BEXP|8LEGI|9RCR
77	11222 66122	 * 	205.32	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	1BELT|27DMG|3AME|4aAART|5VULN|6ZMB|8ASPD|9RCR
78	11322 66122	   	205.32	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	1BELT|27DMG|3CGEN|4aAART|5VULN|6ZMB|8ASPD|9RCR
79	22242 25235	   	205.08	DCR|2DMG|2ASPD|1AART|1VULN|1AAC|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8ZMB|9RCR|aAAC
80	14162 42131	   	204.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1BELT|24DUST|346VULN|4BPWR|5ASPD|7DMG|8RCR|9ZMB|aCDMG
81	42211 33323	   	204.21	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR|1AAC	18DUR|28DMG|39ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|aAAC
82	22242 25232	   	203.79	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8ZMB|9RCR|aRCVC
83	22513 25531	   	203.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1FEWX|26DMG|3CDMG|4RPLT|5aVULN|7AART|8DUR|9RCR
84	42513 25131	   	203.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|26DMG|3CDMG|4RPLT|5aVULN|7AART|8FEWX|9RCR
85	11222 66125	   	203.46	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	1BELT|27DMG|3AME|4AART|5VULN|6ZMB|8aASPD|9RCR
86	11322 66125	   	203.46	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	1BELT|27DMG|3CGEN|4AART|5VULN|6ZMB|8aASPD|9RCR
87	22242 25234	   	203.46	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	1aFEWX|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8ZMB|9RCR
88	22242 25236	   	203.46	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8ZMB|9RCR|aLHND
89	22241 52161	   	203.43	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|6VULN|7MLV|8RCR|9AART|aDUR
90	22265 25231	   	203.36	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB	1FEWX|2aDMG|35ASPD|4VULN|6LEGI|7AART|8ZMB|9RCR
91	22242 25233	   	203.36	DCR|2DMG|2ASPD|1AART|1VULN|1ZMB|1MSE	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8ZMB|9RCR|aMSE
92	35512 52233	 * 	203.31	DCR|1SPLARM|3ASPD|2VULN|1AART	1MLV|2SPLARM|34VULN|58aASPD|6AART|7LHND|9RCR
93	35512 24233	   	203.31	DCR|1SPLARM|3ASPD|2VULN|1AART	1MLV|2SPLARM|34VULN|58aASPD|6LWND|7AART|9RCR
94	22241 52126	 * 	203.25	DCR|3DMG|2ASPD|1VULN|1CDMG	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6VULN|7MLV|8RCR|aCDMG
95	22242 35335	   	203.15	DCR|2DMG|2ASPD|1VULN|1AART|1AAC|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8DUR|9RCR|aAAC
96	42242 31135	   	203.15	DCR|2DMG|2ASPD|1VULN|1AART|1AAC|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7FEWX|8AART|9RCR|aAAC
97	22213 63636	 * 	202.98	ACR|2VULN|2DMG|1MDPS|3CDMG|1ASPD	17FEWX|27DMG|3ASPD|4RCR|58VULN|679CDMG|7BPWR|aMDPS
98	22261 26131	   	202.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1FEWX|27aDMG|3ASPD|4VULN|5RMIN|6DUR|8AART|9RCR
99	22615 26131	   	202.77	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1FEWX|27aDMG|3VULN|4ERES|5ASPD|6DUR|8AART|9RCR
100	22211 53326	   	202.71	ACR|2VULN|2DMG|1MDPS|2ASPD|1CDMG	18FEWX|28DMG|39ASPD|4RCR|5RMIN|6CDMG|78VULN|8BPWR|aMDPS
101	22242 41521	   	202.16	DCR|2VULN|2DMG|2ASPD|1ZMB	17FEWX|24DMG|34ASPD|4BPWR|59VULN|6MLV|8RCR|aZMB
102	22241 53142	   	201.96	DCR|2VULN|2DMG|2ASPD|1ZMB|1MSE	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|69VULN|7ZMB|8RCR|aMSE
103	22242 35332	   	201.86	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8DUR|9RCR|aRCVC
104	22242 45332	   	201.86	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6MLV|7AART|8DUR|9RCR|aRCVC
105	42242 11132	   	201.86	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6BEXP|7RMIN|8AART|9RCR|aRCVC
106	42242 31132	   	201.86	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7FEWX|8AART|9RCR|aRCVC
107	42242 41132	   	201.86	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6MLV|7FEWX|8AART|9RCR|aRCVC
108	42242 51132	   	201.86	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6FEWX|7RMIN|8AART|9RCR|aRCVC
109	22242 65332	   	201.76	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6ERES|7AART|8DUR|9RCR|aRCVC
110	42242 15132	   	201.76	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6BEXP|7ERES|8AART|9RCR|aRCVC
111	42242 21132	   	201.76	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7RMIN|8AART|9RCR|aRCVC
112	42313 63632	 * 	201.56	ACR|3VULN|3CDMG|1AART|1DMG|2DUR|1AAC	17DUR|2DMG|3AAC|4RCR|578VULN|679CDMG|7BPWR|aAART
113	22242 35334	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1aFEWX|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8DUR|9RCR
114	22242 35336	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8DUR|9RCR|aLHND
115	42242 11134	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6BEXP|7RMIN|8AART|9RCR|aFEWX
116	42242 11136	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6BEXP|7RMIN|8AART|9RCR|aCGEN
117	42242 31134	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7aFEWX|8AART|9RCR
118	42242 31136	   	201.53	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7FEWX|8AART|9RCR|aLHND
119	42242 35232	   	201.53	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8LWND|9RCR|aBELT
120	42242 35233	   	201.53	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8LWND|9RCR|aFEWX
121	22242 35333	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8DUR|9RCR|aDUST
122	22242 45333	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6MLV|7AART|8DUR|9RCR|aDUST
123	42242 11133	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR|1MSE	1DUR|24DMG|34ASPD|4BPWR|5VULN|6BEXP|7RMIN|8AART|9RCR|aMSE
124	42242 21134	   	201.43	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7RMIN|8AART|9RCR|aFEWX
125	42242 21136	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7RMIN|8AART|9RCR|aCGEN
126	42242 31133	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6CGEN|7FEWX|8AART|9RCR|aDUST
127	42242 41133	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6MLV|7FEWX|8AART|9RCR|aDUST
128	42242 51133	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR|1MSE	1DUR|24DMG|34ASPD|4BPWR|5VULN|6FEWX|7RMIN|8AART|9RCR|aMSE
129	22265 35331	   	201.43	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1FEWX|2aDMG|35ASPD|4VULN|6CGEN|7AART|8DUR|9RCR
130	42265 11131	   	201.43	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|2aDMG|35ASPD|4VULN|6BEXP|7RMIN|8AART|9RCR
131	42265 31131	   	201.43	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1DUR|2aDMG|35ASPD|4VULN|6CGEN|7FEWX|8AART|9RCR
132	64323 61222	 * 	201.40	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1ZMB	1DMSP|26VULN|3DMG|4ZMB|56CDMG|6BPWR|7ASPD|8CGEN|9RCR|aMDPS
133	42242 25332	   	201.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8TLV|9RCR|aBELT
134	42242 25333	   	201.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8TLV|9RCR|aFEWX
135	42265 21131	   	201.33	DCR|2DMG|2ASPD|1AART|1VULN|1DUR	1DUR|2aDMG|35ASPD|4VULN|6LEGI|7RMIN|8AART|9RCR
136	22242 65333	   	201.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5VULN|6ERES|7AART|8DUR|9RCR|aDUST
137	42242 15133	   	201.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24DMG|34ASPD|4BPWR|5VULN|6BEXP|7ERES|8AART|9RCR|aDUST
138	42242 21133	   	201.33	DCR|2DMG|2ASPD|1AART|1VULN|1DUR|1MSE	1DUR|24DMG|34ASPD|4BPWR|5VULN|6LEGI|7RMIN|8AART|9RCR|aMSE
139	42313 63332	   	201.32	ACR|2VULN|2DMG|3CDMG|1AART|2DUR|1AAC	17DUR|28DMG|3AAC|4RCR|57VULN|679CDMG|7BPWR|aAART
140	22241 52143	   	201.09	DCR|2VULN|1MDPS|2DMG|2ASPD	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|69VULN|7MLV|8RCR|aMDPS
141	42211 33316	 * 	201.05	ACR|3VULN|2DMG|1ASPD|1CDMG|2DUR	18DUR|28DMG|3ASPD|4RCR|5RMIN|6CDMG|78aVULN|8BPWR|9CGEN
142	42211 33352	   	201.05	ACR|3VULN|2DMG|1ASPD|1CDMG|2DUR	18DUR|28DMG|3ASPD|4RCR|5RMIN|6CDMG|78aVULN|8BPWR|9LWND
143	42211 33334	   	200.95	ACR|3VULN|2DMG|1ASPD|1CDMG|2DUR	18DUR|28DMG|3ASPD|4RCR|5RMIN|6CDMG|78aVULN|8BPWR|9MBVNT
144	22244 11143	   	200.93	DCR|3DMG|3ASPD|1CDMG|1ZMB	17FEWX|245DMG|345ASPD|45BPWR|6LWND|8ZMB|9RCR|aCDMG
145	35512 24231	   	200.72	DCR|1SPLARM|2VULN|2ASPD|1AART|1ZMB	1MLV|2SPLARM|34VULN|58ASPD|6LWND|7AART|9RCR|aZMB
146	35512 52231	   	200.72	DCR|1SPLARM|2VULN|2ASPD|1AART|1ZMB	1MLV|2SPLARM|34VULN|58ASPD|6AART|7LHND|9RCR|aZMB
147	22241 52141	   	200.04	DCR|2VULN|2DMG|2ASPD|1DUR	1FEWX|24DMG|34ASPD|4BPWR|5CANSTR|69VULN|7MLV|8RCR|aDUR
148	22213 25662	 * 	200.01	ACR|3ASPD|2DMG|1VULN|1AART|1CDMG	1FEWX|26DMG|38aASPD|4RCR|5VULN|7AART|9CDMG
149	11333 63122	   	199.45	DCR|3DMG|2ASPD|1VULN|1CDMG	17BELT|289DMG|39CGEN|4CDMG|5VULN|69ASPD|9BPWR|aRCR
150	42263 11336	   	199.44	DCR|2VULN|2ASPD|1DMG|2DUR|2ZMB	1aDUR|2DMG|3aASPD|45VULN|6BEXP|7RMIN|8aZMB|9RCR|aBPWR
151	22263 11131	   	199.29	DCR|2VULN|2DMG|1AART|1ASPD	1FEWX|2aDMG|3ASPD|45VULN|6BEXP|7RMIN|8AART|9RCR
