0	Index      	 *	Score 	Summary	Detail	
1	32154 16222	 * 	386.79	DCR|2VULN|1MDPS|2TLV|2DUR	17DUR|2CGEN|3LEGI|4AAC|57VULN|67TLV|7BPWR|8TBNT|9RCR|aMDPS
60	63464 33424	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	19VULN|2MBVNT|3MULHEA|4AIRHEA|5TLV|6DUR|7FEWX|8RCR|aMDPS
61	63612 33181	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|3RCVC|4TLV|5ERES|6RCR|8DUR|9MDPS|aASPD
62	63612 33182	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|3RCVC|4TLV|5ERES|6RCR|8DUR|9MDPS|aRAT
63	63612 33183	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|3RCVC|4TLV|5ERES|6RCR|8DUR|9MDPS|aBBNT
64	63612 33184	   	357.15	DCR|3VULN|1MDPS|1TLV|1DUR	17aVULN|2MBVNT|3RCVC|4TLV|5ERES|6RCR|8DUR|9MDPS
65	65226 13221	 * 	357.15	DCR|4VULN|2TLV|1DUR	157aVULN|2aDUST|3BEXP|4DUR|6aTLV|8TBNT|9RCR|aBPWR
66	65326 13221	   	357.15	DCR|4VULN|2TLV|1DUR	157aVULN|2aDUST|3FEWX|4DUR|6aTLV|8TBNT|9RCR|aBPWR
67	63411 53124	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	15VULN|2MBVNT|3MULHEA|4AAC|6TLV|7DUR|8RCR|9CANARM|aMDPS
68	33736 33481	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2MBVNT|35ERES|4TLV|6RCR|78VULN|9MDPS|aASPD
69	33736 33482	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2MBVNT|35ERES|4TLV|6RCR|78VULN|9MDPS|aRAT
70	33736 33483	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2MBVNT|35ERES|4TLV|6RCR|78VULN|9MDPS|aBBNT
71	33736 33484	   	357.05	DCR|3VULN|1MDPS|1TLV|1DUR	1DUR|2MBVNT|35ERES|4TLV|6RCR|78aVULN|9MDPS
72	63451 53124	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	15VULN|2MBVNT|3MULHEA|4ASPD|6TLV|7DUR|8RCR|9CANARM|aMDPS
73	63451 53134	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	15VULN|2MBVNT|3MULHEA|49ASPD|6TLV|7DUR|8RCR|aMDPS
74	63481 53124	   	357.05	DCR|2VULN|1MDPS|1TLV|1DUR	15VULN|2MBVNT|3MULHEA|4NUKE|6TLV|7DUR|8RCR|9CANARM|aMDPS
