0	Index      	 *	Score 	Summary	Detail	
1	11325 12314	 * 	267.60	紫3攻速3伤害2易伤2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9a易伤
31	11651 21611	   	241.78	紫1基础对甲2伤害1易伤1攻速1基地爆炸	1攻速2核3基地爆炸46伤害5易伤7金币生成8技能9基础对甲a额外掉落
32	11651 21613	   	241.78	紫1基础对甲2伤害1易伤1攻速1基地爆炸	1攻速2核3基地爆炸46伤害5易伤7金币生成8技能9基础对甲a随机矿
33	11611 32413	 * 	241.70	紫3攻速2易伤1基础对甲1基地爆炸	15a攻速2核3基地爆炸4低血量敌人67易伤8金币生成9基础对甲
34	11331 36116	   	241.68	紫1基础对甲2伤害1易伤1攻速1基地爆炸	1攻速2核3最后敌人4掉矿5易伤6技能78伤害9基础对甲a基地爆炸
35	11625 15323	   	240.02	紫3伤害2攻速1易伤1全技能1基地爆炸	16攻速2核3基地爆炸4敌人爆炸569伤害6序列升级7全技能8易伤a时间
36	11625 15322	   	239.92	紫3伤害2攻速1易伤1全技能1基地爆炸	16攻速2核3基地爆炸4敌人爆炸569伤害6序列升级7全技能8易伤a等级
37	11331 56115	   	239.79	紫1基础对甲2伤害1易伤1攻速1基础对冰	1攻速2核3最后敌人4掉矿5易伤6随机矿78伤害9基础对甲a基础对冰
38	11325 12335	   	239.51	紫3攻速3伤害2基地爆炸	168攻速2核39最后敌人48基地爆炸568伤害68序列升级7双倍秒伤a技能
39	11315 12314	   	239.11	紫3攻速3伤害2易伤	168攻速2核3最后敌人48低血量敌人568伤害68序列升级7双倍秒伤9a易伤
40	11325 16162	   	238.33	紫3攻速3伤害1易伤1基地爆炸	169攻速2核3最后敌人4基地爆炸568伤害6序列升级7易伤a立即金币
41	11625 15313	   	238.11	紫2攻速2伤害2基地爆炸1易伤1全技能	16攻速2核3a基地爆炸4敌人爆炸56伤害6序列升级7全技能8易伤9等级
42	11652 12321	   	237.82	紫3攻速2伤害1易伤1全技能1基地爆炸	168攻速2核3基地爆炸48伤害568挖尘68序列升级7双倍秒伤9全技能a易伤
