0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21126 32523	1	 * 	305.53	橙4易伤3伤害2时间1暴击	1478易伤2策反37时间57a伤害6核7序列升级9暴击
17	21126 32165	1	   	289.77	橙4易伤2伤害2时间1暴击	1479易伤2策反37时间57伤害6核7序列升级8掉矿a暴击
18	21126 32515	1	   	289.77	橙4易伤2伤害2时间1暴击	1478易伤2策反37时间57伤害6核7序列升级9掉矿a暴击
19	21126 32536	1	   	289.77	橙4易伤2伤害2时间1暴击	1478易伤2策反37时间57伤害6核7序列升级9挖尘a暴击
20	21634 85121	6	   	289.45	橙4易伤3时间2伤害	189a易伤25最后敌人3加一458时间58序列升级6核78伤害
21	21126 32532	1	   	289.35	橙4易伤3时间2伤害	1478易伤2策反37a时间57伤害6核7序列升级9挖尘
22	22634 85121	6	   	289.35	橙4易伤3时间2伤害	189a易伤2基地爆炸3加一458时间6核78伤害8序列升级
23	26233 53136	8	 * 	289.19	橙5易伤2时间2攻速	1567a易伤27时间3全技能47a低血量敌人7a序列升级8a攻速9核
24	26233 53236	7	   	289.19	橙5易伤2时间2攻速	1567a易伤27时间3全技能47a低血量敌人7a序列升级8a攻速9核
25	26424 24331	6	   	289.16	橙4易伤3时间2攻速1等级	1568易伤235时间4加一58序列升级78攻速9核a等级
26	26233 53336	7	   	287.94	橙5易伤2时间2等级	1567a易伤27时间3全技能47a低血量敌人7a序列升级8a等级9核
27	21433 31423	10	   	287.23	橙4易伤2伤害2时间1攻速	179a易伤2最后敌人39时间4攻速5低血量敌人6核89伤害9序列升级
28	22433 31423	10	   	287.23	橙4易伤2伤害2时间1攻速	179a易伤2基地爆炸39时间4攻速5低血量敌人6核89伤害9序列升级
29	24334 32246	5	   	285.50	橙4易伤3伤害1等级	1578易伤2随机矿3加一457伤害57序列升级6核9雷电a等级
30	21126 32611	1	   	285.49	橙3易伤3伤害2时间1等级	147易伤2策反37时间578伤害6核7序列升级9平台a等级
31	21126 32663	1	   	285.39	橙3易伤3伤害2时间1等级	147易伤2策反37时间578伤害6核7序列升级9挖尘a等级
32	26233 53335	7	   	284.55	橙4易伤2时间1伤害1等级	1567易伤27时间3全技能47低血量敌人7序列升级8等级9核a伤害
33	21126 32125	1	   	283.38	橙3易伤2伤害2时间1等级1暴击	147易伤2策反37时间57伤害6核7序列升级8掉矿9暴击a等级
34	21411 42136	9	   	283.16	橙4易伤3攻速2时间1暴击	178a易伤28a最后敌人36时间4暴击58a攻速8a序列升级9核
35	21126 32423	1	   	282.89	橙3易伤3伤害2时间1暴击	147易伤2策反37时间57a伤害6核7序列升级8立即金币9暴击
36	21126 32123	1	   	282.79	橙3易伤3伤害2时间1暴击	147易伤2策反37时间57a伤害6核7序列升级8掉矿9暴击
37	21423 35423	10	   	282.66	橙3易伤3伤害3时间	19a易伤2最后敌人39a时间4策反5低血量敌人6核7立即金币89a伤害9a序列升级
38	22423 34423	10	   	282.66	橙3易伤3伤害3时间	19a易伤2基地爆炸39a时间4策反5低血量敌人6核7立即金币89a伤害9a序列升级
39	22423 36423	10	   	282.66	橙3易伤3伤害3时间	19a易伤27基地爆炸39a时间4策反5低血量敌人6核89a伤害9a序列升级
40	21461 22136	9	   	282.49	橙4易伤3时间3攻速1卖塔	178a易伤26最后敌人38a时间4卖塔58a攻速8a序列升级9核
41	21461 32136	9	   	282.49	橙4易伤3时间3攻速1卖塔	178a易伤2最后敌人38a时间4卖塔58a攻速6立即金币8a序列升级9核
42	21126 32613	1	   	282.46	橙3易伤3伤害3时间	147易伤2策反37a时间578伤害6核7序列升级9平台
43	21126 32625	1	   	282.46	橙3易伤3伤害3时间	147易伤2策反37a时间578伤害6核7序列升级9最后敌人
44	21126 32635	1	   	282.46	橙3易伤3伤害3时间	147易伤2策反37a时间578伤害6核7序列升级9低血量敌人
45	21126 32643	1	   	282.46	橙3易伤3伤害3时间	147易伤2策反379时间578伤害6核7序列升级a矿等
46	13321 14247	10	   	281.42	橙4易伤3时间3等级	1额外掉落29a时间3全技能479a易伤59a等级6加一8核9a序列升级
47	26211 14247	10	   	281.42	橙4易伤3时间3等级	179a易伤29a时间3全技能4额外掉落59a等级6加一8核9a序列升级
48	24334 32735	5	   	280.91	橙4易伤3伤害3雷电	1579易伤2随机矿3加一457伤害579序列升级6核89a雷电
49	21433 31425	10	   	280.84	橙3易伤2伤害2时间1等级1攻速	179易伤2最后敌人39时间4攻速5低血量敌人6核89伤害9序列升级a等级
50	22433 31425	10	   	280.84	橙3易伤2伤害2时间1等级1攻速	179易伤2基地爆炸39时间4攻速5低血量敌人6核89伤害9序列升级a等级
51	23313 42236	2	 * 	280.80	橙5易伤3时间	1457a易伤27掉矿3全技能67a时间7a序列升级8a挖尘9核
52	26424 24136	10	   	280.80	橙5易伤3时间	15689易伤235时间4加一5序列升级7全技能a核
53	24324 18153	10	   	280.76	橙4易伤3伤害3等级1卖塔	1589易伤2随机矿3加一458等级589序列升级6卖塔789伤害a核
54	21126 32231	1	   	280.46	橙3易伤3时间2伤害1暴击	147易伤2策反378时间57伤害6核7序列升级9基地爆炸a暴击
55	24526 32232	1	   	280.36	橙3易伤3时间2伤害1暴击1核弹	147易伤278时间37伤害5核弹6核7序列升级9基地爆炸a暴击
56	26526 32232	2	   	280.36	橙3易伤3时间2伤害1暴击1核弹	147易伤278时间37伤害5核弹6核7序列升级9基地爆炸a暴击
57	21126 32612	1	   	280.24	橙3易伤3伤害2时间1攻速	147易伤2策反37时间578伤害6核7序列升级9平台a攻速
58	26111 25136	9	   	280.06	橙3易伤3时间3攻速2暴击	18a易伤28a时间36最后敌人47暴击58a攻速8a序列升级9核
59	26111 35136	9	   	280.06	橙3易伤3时间3攻速2暴击	18a易伤28a时间3最后敌人47暴击58a攻速6立即金币8a序列升级9核
60	26233 53123	8	   	279.30	橙4易伤2时间1伤害1攻速	1567易伤27时间3全技能47低血量敌人7序列升级8攻速9伤害a核
61	26233 53135	8	   	279.30	橙4易伤2时间1伤害1攻速	1567易伤27时间3全技能47低血量敌人7序列升级8攻速9核a伤害
62	26233 53223	7	   	279.30	橙4易伤2时间1伤害1攻速	1567易伤27时间3全技能47低血量敌人7序列升级8攻速9伤害a核
63	26233 53235	7	   	279.30	橙4易伤2时间1伤害1攻速	1567易伤27时间3全技能47低血量敌人7序列升级8攻速9核a伤害
64	21433 31422	9	   	278.24	橙3易伤2伤害2时间1暴击1攻速	179易伤2最后敌人39时间4攻速5低血量敌人6核89伤害9序列升级a暴击
65	22433 31422	9	   	278.24	橙3易伤2伤害2时间1暴击1攻速	179易伤2基地爆炸39时间4攻速5低血量敌人6核89伤害9序列升级a暴击
66	21126 32234	1	   	277.81	橙3易伤3时间2伤害1攻速	147易伤2策反378时间57伤害6核7序列升级9基地爆炸a攻速
67	21433 31424	10	   	277.81	橙3易伤3时间2伤害1攻速	179易伤2最后敌人39a时间4攻速5低血量敌人6核89伤害9序列升级
68	22433 31424	10	   	277.81	橙3易伤3时间2伤害1攻速	179易伤2基地爆炸39a时间4攻速5低血量敌人6核89伤害9序列升级
69	24526 32233	1	   	277.71	橙3易伤3时间2伤害1攻速1核弹	147易伤278时间37伤害5核弹6核7序列升级9基地爆炸a攻速
70	26526 32233	2	   	277.71	橙3易伤3时间2伤害1攻速1核弹	147易伤278时间37伤害5核弹6核7序列升级9基地爆炸a攻速
71	26233 53332	7	   	277.71	橙4易伤3时间1等级	1567易伤27a时间3全技能47低血量敌人7序列升级8等级9核
72	26423 34481	4	 * 	277.70	橙4易伤3时间3暴击	159a易伤239时间4加一6核7双倍物品89a暴击9a序列升级
73	26123 31423	10	   	277.49	橙4易伤3伤害1时间	179a易伤2时间39a最后敌人4策反5低血量敌人6核89a伤害9a序列升级
74	24313 31523	10	   	277.39	橙4易伤3伤害1时间	179a易伤2随机矿3加一4时间59a低血量敌人6核89a伤害9a序列升级
75	24314 82323	10	   	277.39	橙4易伤3伤害1时间	179a易伤2随机矿3加一4时间59a伤害6核89a最后敌人9a序列升级
76	24314 83423	10	   	277.39	橙4易伤3伤害1时间	189a易伤2随机矿3加一4时间59a伤害6核79a基地爆炸9a序列升级
77	24314 88423	10	   	277.39	橙4易伤3伤害1时间	189a易伤2随机矿3加一4时间59a伤害6核79a敌人爆炸9a序列升级
78	64312 31523	10	   	277.39	橙4易伤3伤害1时间	19a低血量敌人2随机矿3加一4时间579a易伤6核89a伤害9a序列升级
79	21326 32562	2	   	277.19	橙4易伤3伤害1时间1核弹	1478易伤27最后敌人3核弹579伤害6核7序列升级a时间
80	21326 32563	2	   	277.19	橙4易伤3伤害1等级1核弹	1478易伤27最后敌人3核弹579伤害6核7序列升级a等级
81	24334 32211	5	   	277.19	橙4易伤3伤害1等级	1578易伤2随机矿3加一457伤害57序列升级6核9平台a等级
82	24334 32213	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9平台a时间
83	24334 32226	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9最后敌人a时间
84	24334 32236	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9低血量敌人a时间
85	24334 32253	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9时间a金币生成
86	24334 32254	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9时间a敌人爆炸
87	24334 32258	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9时间a低血量敌人
88	24334 32276	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9基地爆炸a时间
89	24334 32282	5	   	277.19	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9立即金币a时间
90	24334 32283	5	   	277.19	橙4易伤3伤害1等级	1578易伤2随机矿3加一457伤害57序列升级6核9立即金币a等级
91	26433 33633	7	   	277.18	橙3易伤3时间3攻速2全技能1卖塔	189易伤238时间489攻速5卖塔67全技能89序列升级a核
92	24334 32251	5	   	277.09	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9时间a挖尘
93	24334 32252	5	   	277.09	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9时间a掉矿
94	24334 32257	5	   	277.09	橙4易伤3伤害1时间	1578易伤2随机矿3加一457伤害57序列升级6核9时间a赏金塔
95	24334 32368	5	   	277.09	橙4易伤3伤害1时间	157a易伤2随机矿3加一457伤害57序列升级6核8赏金塔9时间
96	24314 82633	10	   	276.40	橙4易伤2伤害1时间2雷电	178a易伤2随机矿3加一4时间5a伤害6核9a雷电a序列升级
97	21126 32361	1	   	276.22	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8矿等a最后敌人
98	21126 32365	1	   	276.22	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8a矿等
99	21126 32366	1	   	276.22	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8矿等a敌人爆炸
100	21126 32551	1	   	276.22	橙4易伤2伤害2时间	1478易伤29策反37时间57伤害6核7序列升级a敌人爆炸
101	21423 31422	10	   	276.22	橙4易伤2伤害2时间	179a易伤2最后敌人39时间4策反5低血量敌人6核89伤害9序列升级
102	22423 31422	10	   	276.22	橙4易伤2伤害2时间	179a易伤2基地爆炸39时间4策反5低血量敌人6核89伤害9序列升级
103	21126 32161	1	   	276.12	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8掉矿a最后敌人
104	21126 32166	1	   	276.12	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8掉矿a敌人爆炸
105	21126 32363	1	   	276.12	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8矿等a挖尘
106	21126 32364	1	   	276.12	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8矿等a掉矿
107	21126 32511	1	   	276.12	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9掉矿a最后敌人
108	21126 32516	1	   	276.12	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9掉矿a敌人爆炸
109	21126 32531	1	   	276.12	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9挖尘a随机矿
110	21126 32533	1	   	276.12	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9挖尘a金币生成
111	21126 32535	1	   	276.12	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9挖尘a敌人爆炸
112	21126 32541	1	   	276.12	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9赏金塔a随机矿
113	21126 32542	1	   	276.12	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9赏金塔a基地爆炸
114	21126 32552	1	   	276.12	橙4易伤2伤害2时间	1478易伤29策反37时间57伤害6核7序列升级a挖尘
115	21126 32553	1	   	276.12	橙4易伤2伤害2时间	1478易伤29策反37时间57伤害6核7序列升级a加一
116	22632 82183	10	   	276.12	橙4易伤2伤害2时间	157a易伤2基地爆炸3加一4a时间6核8a伤害9随机矿a序列升级
117	21126 32163	1	   	276.02	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8掉矿a挖尘
118	21126 32164	1	   	276.02	橙4易伤2伤害2时间	1479易伤2策反37时间57伤害6核7序列升级8a掉矿
119	21126 32513	1	   	276.02	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9掉矿a挖尘
120	21126 32514	1	   	276.02	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9a掉矿
121	21126 32534	1	   	276.02	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9挖尘a掉矿
122	21126 32543	1	   	276.02	橙4易伤2伤害2时间	1478易伤2策反37时间57伤害6核7序列升级9赏金塔a挖尘
123	21126 52433	1	   	276.02	橙4易伤2伤害2时间	147a易伤2策反37时间57伤害6加一7序列升级8赏金塔9核
124	24334 32731	5	   	275.90	橙4易伤3伤害2雷电	1579易伤2随机矿3加一457伤害579序列升级6核89雷电a矿等
125	24334 32732	5	   	275.90	橙4易伤3伤害2雷电	1579易伤2随机矿3加一457伤害579序列升级6核89雷电a最后敌人
126	24334 32734	5	   	275.90	橙4易伤3伤害2雷电	1579易伤2随机矿3加一457伤害579序列升级6核89雷电a策反
127	24334 32736	5	   	275.90	橙4易伤3伤害2雷电	1579易伤2随机矿3加一457伤害579序列升级6核89雷电a敌人爆炸
128	24334 32737	5	   	275.90	橙4易伤3伤害2雷电	1579易伤2随机矿3加一457伤害579序列升级6核89雷电a基地爆炸
129	24334 32738	5	   	275.90	橙4易伤3伤害2雷电	1579易伤2随机矿3加一457伤害579序列升级6核89雷电a双倍矿
130	21126 32422	1	   	275.54	橙3易伤2伤害2时间1暴击	147易伤2策反37时间57伤害6核7序列升级8立即金币9暴击a雷电
