0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33454 13212	5	 * 	308.26	橙4易伤3伤害2暴击1等级1攻速	1279易伤37a伤害4攻速5等级67暴击7序列升级8核
51	33216 54233	5	   	285.49	橙3易伤3伤害2时间1等级	12a易伤3a时间4金币生成5等级69a伤害7随机矿8核a序列升级
52	33444 34211	5	   	284.79	橙5易伤2伤害2暴击	1279a易伤3a伤害4a暴击5双倍矿6加一8核a序列升级
53	33233 36651	7	   	283.23	橙4易伤2时间1等级2雷电1暴击	1269易伤35时间45雷电5序列升级7核8暴击a等级
54	36226 63223	3	   	282.87	橙4易伤3时间3等级1攻速	179a易伤27a等级3随机矿4攻速5金币生成67a时间7a序列升级8核
55	33431 44313	9	 * 	282.75	橙4易伤2伤害2攻速1时间	1278易伤38伤害4掉矿5低血量敌人68攻速8序列升级9时间a核
56	36121 42531	10	 * 	282.73	橙3易伤3攻速2时间1伤害1等级1卖塔	159易伤2等级369攻速49时间7卖塔8核9序列升级a伤害
57	33453 13251	4	 * 	282.40	橙4易伤2伤害3暴击1攻速	127a易伤37伤害4攻速5金币生成679暴击7序列升级8核
58	33433 41243	3	   	281.60	橙4易伤2伤害2等级1时间	124a易伤3a伤害5矿等6时间7核8随机矿9a等级a序列升级
59	22313 13351	6	   	281.01	橙4易伤3伤害3雷电	179雷电2随机矿379伤害4679易伤5平台79序列升级8赏金邻近a核
60	22365 13351	6	   	281.01	橙4易伤3伤害3雷电	179雷电2随机矿379伤害4平台5679易伤79序列升级8赏金邻近a核
61	33433 24321	6	 * 	280.38	橙5易伤3伤害	12789易伤39a伤害49a掉矿5平台6核9a序列升级
62	33433 44321	5	   	280.38	橙5易伤3伤害	12789易伤39a伤害49a掉矿5平台6核9a序列升级
63	33233 36131	8	   	280.21	橙4易伤3时间2雷电1暴击	1268易伤359时间45雷电5序列升级7核a暴击
64	33233 36141	9	   	280.21	橙4易伤3时间2雷电1暴击	1268易伤359时间45雷电5序列升级7核a暴击
65	33412 34211	3	   	280.14	橙5易伤3伤害1卖塔	1279a易伤34a伤害5卖塔6加一8核a序列升级
66	33412 63211	3	   	280.00	橙5易伤3伤害2卖塔	1269a易伤34a伤害57卖塔8核a序列升级
67	22214 51163	9	 * 	279.96	橙3易伤3时间3攻速3雷电	179雷电2随机矿358易伤479时间679攻速79序列升级a核
68	22215 51413	8	   	279.96	橙3易伤3时间3攻速3雷电	178雷电2随机矿389易伤457时间678攻速78序列升级a核
69	22215 51423	9	   	279.96	橙3易伤3时间3攻速3雷电	178雷电2随机矿389易伤457时间678攻速78序列升级a核
70	33232 36111	9	   	279.87	橙5易伤2时间1暴击	12689易伤35时间4雷电7核a暴击
71	33232 36141	8	   	279.87	橙5易伤2时间1暴击	12689易伤35时间4雷电7核a暴击
72	33222 25643	3	   	279.85	橙4易伤2时间2攻速1伤害	1278易伤36时间48攻速58敌人爆炸8序列升级9伤害a核
73	31233 24333	5	   	279.75	橙4易伤2时间2攻速1伤害	1789易伤2敌人爆炸37攻速4伤害5掉矿67时间7序列升级a核
74	35122 24333	3	   	279.75	橙4易伤2时间2攻速1伤害	1789易伤2掉矿37攻速4伤害5敌人爆炸67时间7序列升级a核
75	33232 36114	9	   	279.45	橙5易伤3时间	12689易伤35a时间4雷电7核
76	33232 36115	10	   	279.45	橙5易伤3时间	12689易伤35a时间4雷电7核
77	33232 36144	8	   	279.45	橙5易伤3时间	12689易伤35a时间4雷电7核
78	33452 31361	8	   	279.44	橙3易伤2伤害2时间2雷电1攻速	127易伤37伤害4攻速5敌人爆炸67雷电7序列升级8核9a时间
79	13221 63223	3	   	279.25	橙4易伤3时间1等级1攻速	17a金币生成279a易伤3随机矿4攻速5等级67a时间7a序列升级8核
80	33431 44222	3	   	278.90	橙4易伤2伤害2等级1暴击	1247易伤37伤害5额外掉落67等级7序列升级8挖尘9核a暴击
81	13134 63622	4	   	278.82	橙4易伤2攻速1伤害1时间1暴击	1金币生成2458易伤35攻速5序列升级6暴击7核9时间a伤害
82	33131 33244	2	   	278.81	橙4易伤3伤害	1278易伤3全技能469伤害5雷电a核
83	35131 33244	1	   	278.81	橙4易伤3伤害	1278易伤3全技能469伤害5雷电a核
