0	Index      	 *	Score 	Summary	Detail	
1	52352 11533	 * 	270.59	橙橙2易伤2矿等1暴击	15易伤2暴击3最后敌人45矿等5序列升级6挖青7挖尘8a核9额外掉落
21	42222 11563	   	242.69	橙橙2易伤1暴击	15敌人爆炸2暴击3掉矿45易伤5序列升级6低血量敌人7挖尘8a核9额外掉落
22	12224 31563	   	242.59	橙橙2易伤1暴击	1低血量敌人2暴击3掉矿46易伤5敌人爆炸7挖尘8a核9额外掉落
23	42223 31563	   	242.59	橙橙2易伤1暴击	1敌人爆炸2暴击3掉矿46易伤5低血量敌人7挖尘8a核9额外掉落
24	52222 11563	   	242.59	橙橙2易伤1暴击	14易伤2暴击3掉矿5敌人爆炸6低血量敌人7挖尘8a核9额外掉落
25	52252 11533	   	242.59	橙橙2易伤1暴击	15易伤2暴击3掉矿45最后敌人5序列升级6挖青7挖尘8a核9额外掉落
26	52253 31533	   	242.59	橙橙2易伤1暴击	16易伤2暴击3掉矿4最后敌人5低血量敌人7挖尘8a核9额外掉落
27	52551 31122	 * 	242.39	橙橙1易伤2攻速1暴击	1易伤2暴击3赏金邻近4随机矿5a攻速68核7多重对甲9赏金塔
28	46213 14132	 * 	241.22	紫橙2等级1易伤1伤害1矿等	1敌人爆炸2矿等3立即金币4a核56等级7易伤8伤害9随机技能
29	46313 14132	   	241.12	紫橙2等级1易伤1伤害1矿等	1敌人爆炸2矿等3风暴减费4a核56等级7易伤8伤害9随机技能
30	52551 31111	   	241.04	橙橙1易伤1暴击1攻速1雷电	1易伤2暴击3赏金邻近4随机矿5攻速68核7多重对甲9雷电a最后敌人
31	52551 31113	   	241.04	橙橙1易伤1暴击1攻速1雷电	1易伤2暴击3赏金邻近4随机矿5攻速68核7多重对甲9雷电a双倍矿
32	13561 43114	   	240.74	橙橙1易伤1伤害1雷电	1低血量敌人2赏金塔3易伤4伤害5加一6敌人爆炸7时间89核a雷电
33	13661 53114	   	240.74	橙橙1易伤1伤害1雷电	1低血量敌人2赏金塔3敌人爆炸4伤害5加一6易伤7时间89核a雷电
34	24161 53114	   	240.74	橙橙1易伤1伤害1雷电	1赏金塔2基地爆炸3低血量敌人4伤害5加一6易伤7时间89核a雷电
35	24561 23114	   	240.74	橙橙1易伤1伤害1雷电	1赏金塔2基地爆炸3易伤4伤害5加一6最后敌人7时间89核a雷电
36	24561 43114	   	240.74	橙橙1易伤1伤害1雷电	1赏金塔2基地爆炸3易伤4伤害5加一6敌人爆炸7时间89核a雷电
37	25161 43114	   	240.74	橙橙1易伤1伤害1雷电	1赏金塔2易伤3低血量敌人4伤害5加一6敌人爆炸7时间89核a雷电
38	25261 27114	   	240.74	橙橙1易伤1伤害1雷电	1赏金塔2易伤3时间4伤害5加一6最后敌人7低血量敌人89核a雷电
39	25261 47114	   	240.74	橙橙1易伤1伤害1雷电	1赏金塔2易伤3时间4伤害5加一6敌人爆炸7低血量敌人89核a雷电
40	41151 53114	   	240.74	橙橙1易伤1伤害1雷电	1敌人爆炸2伤害3赏金塔4最后敌人5加一6易伤7时间89核a雷电
41	43161 53114	   	240.74	橙橙1易伤1伤害1雷电	1敌人爆炸2赏金塔3低血量敌人4伤害5加一6易伤7时间89核a雷电
42	43561 23114	   	240.74	橙橙1易伤1伤害1雷电	1敌人爆炸2赏金塔3易伤4伤害5加一6最后敌人7时间89核a雷电
