0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31553 31153	4	 * 	310.19	DCR|3VULN|3DUR|3LIT|1DMG|1TLV|1CDMG|1ASPD	189VULN|2TLV|389DUR|4DMG|5ASPD|689LIT|7RCR|89BPWR|aCDMG
53	35453 21121	5	 * 	283.30	DCR|3VULN|2DMG|2DUR|2ASPD	18aVULN|28DUR|3RMIN|4aDMG|5LIT|68ASPD|7RCR|8aBPWR|9aLWND
54	35453 31121	6	   	283.30	DCR|3VULN|2DMG|2DUR|2ASPD	18aVULN|28DUR|3RMIN|4aDMG|5LIT|68ASPD|7RCR|8aBPWR|9aLWND
55	31653 21152	5	 * 	283.29	DCR|4VULN|3ASPD|1DMG|1TLV	189aVULN|2TLV|389FEWX|4DMG|5LIT|689ASPD|7RCR|89BPWR
56	31653 31152	6	   	283.29	DCR|4VULN|3ASPD|1DMG|1TLV	189aVULN|2TLV|389FEWX|4DMG|5LIT|689ASPD|7RCR|89BPWR
57	35453 21131	5	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18aVULN|28DUR|3RMIN|4aDMG|5LIT|68ASPD|7RCR|8aBPWR|9aDUST
58	35453 31131	6	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18aVULN|28DUR|3RMIN|4aDMG|5LIT|68ASPD|7RCR|8aBPWR|9aDUST
59	31553 21111	5	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	18aVULN|2TLV|38DUR|4DMG|5LIT|68ASPD|7RCR|8BPWR|9BBNT
60	31553 21141	5	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	18aVULN|2TLV|38DUR|4DMG|5LIT|68ASPD|7RCR|8BPWR|9TBNT
61	31553 31111	6	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	18aVULN|2TLV|38DUR|4DMG|5LIT|68ASPD|7RCR|8BPWR|9BBNT
62	31553 31141	6	   	281.66	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	18aVULN|2TLV|38DUR|4DMG|5LIT|68ASPD|7RCR|8BPWR|9TBNT
63	36352 31153	3	   	281.11	DCR|4VULN|3DMG|3LIT	189aVULN|2ZMB|389DMG|4LHND|5CGEN|689LIT|7RCR|89BPWR
64	36353 31153	4	   	281.11	DCR|4VULN|3DMG|3LIT	189aVULN|2ZMB|389DMG|4MLV|5LWND|689LIT|7RCR|89BPWR
65	36363 31153	3	   	281.11	DCR|4VULN|3DMG|3LIT	189aVULN|2ZMB|389DMG|4MLV|5LWND|689LIT|7RCR|89BPWR
