0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42222 24613	6	 * 	285.59	DCR|3VULN|3DMG|3ASPD|1TLV	18aASPD|2RCVC|3TLV|4BELT|58aDMG|6RCR|78aVULN|8aBPWR|9RPLT
39	51632 32324	3	 * 	268.54	DCR|3VULN|2DMG|2DUR|2LIT	19LIT|26FEWX|39aVULN|4LWND|56DUR|69BPWR|79DMG|8RCR
40	51622 32324	3	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	19LIT|26FEWX|39aVULN|4DUST|56DUR|69BPWR|79DMG|8RCR
41	53151 32324	5	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	19LIT|26DUR|39FEWX|4DUST|56aVULN|69BPWR|79DMG|8RCR
42	52251 32324	5	   	268.44	DCR|3VULN|2DMG|2DUR|2LIT	19LIT|26LWND|39DUR|4DUST|56aVULN|69BPWR|79DMG|8RCR
43	32611 51132	7	   	268.41	DCR|4VULN|1DMG|1TLV|1CDMG|1ASPD	1CDMG|2ASPD|3DMG|459aVULN|6ERES|7RCR|8TLV
44	32613 77211	4	   	268.06	DCR|3VULN|2DMG|3CDMG|1ASPD	167CDMG|2ASPD|37DMG|467VULN|5MBVNT|67BPWR|8LIT|9RMIN|aRCR
45	22612 16324	8	 * 	266.76	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aDUST|2DMG|39aVULN|48DUR|5ASPD|6RCR|7aTLV|aBPWR
46	41444 15423	10	 * 	266.73	DCR|3VULN|3ASPD|2DUR|2TLV	17aASPD|2aCGEN|3MBVNT|478VULN|57DUR|6RCR|7aBPWR|9aTLV
47	21312 34324	10	   	266.05	DCR|3VULN|2DMG|1DUR|1TLV|1ASPD	17DUST|2LHND|37DMG|4DUR|5ASPD|678VULN|7BPWR|9TLV|aRCR
48	23312 34324	10	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	17DUST|2LWND|37DMG|4DUR|5ASPD|678VULN|7BPWR|9TLV|aRCR
49	12323 63423	7	   	265.56	DCR|3VULN|3DMG|1DUR|1ASPD	17ERES|2RCVC|367DMG|4BELT|567VULN|67BPWR|8RCR|9DUR|aASPD
50	16323 63423	7	   	265.56	DCR|3VULN|3DMG|1DUR|1ASPD	17ERES|2DMSP|367DMG|4BELT|567VULN|67BPWR|8RCR|9DUR|aASPD
51	12323 63525	9	   	265.56	DCR|3VULN|3DMG|1DUR|1ASPD	17ERES|2RCVC|367DMG|4BELT|567VULN|67BPWR|8DUR|9ASPD|aRCR
52	22641 23153	6	   	265.36	DCR|3VULN|3DMG|1DUR|1ASPD	149DUST|256DMG|356VULN|56BPWR|7ASPD|8DUR|aRCR
53	31234 45212	7	   	265.35	DCR|4VULN|2DMG|2CDMG	18CDMG|2LHND|3489VULN|58DMG|6RMIN|7RPLT|8BPWR|aRCR
54	31234 26138	9	   	265.25	DCR|4VULN|2DMG|2CDMG	17CDMG|26LHND|3479VULN|57DMG|7BPWR|8MBVNT|aRCR
55	31112 77373	4	   	264.58	DCR|4VULN|2DUR|3CDMG	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9CGEN
56	31122 77373	3	   	264.58	DCR|4VULN|2DUR|3CDMG	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9CGEN
57	31231 35256	7	   	264.58	DCR|4VULN|2DUR|3CDMG	18aCDMG|2LHND|3458VULN|68DUR|7RPLT|8BPWR|9RCR
58	31112 77333	4	   	264.48	DCR|4VULN|2DUR|3CDMG	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9ERES
59	31115 77333	5	   	264.48	DCR|4VULN|2DUR|3CDMG	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9ERES
60	31122 77333	3	   	264.48	DCR|4VULN|2DUR|3CDMG	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9ERES
61	52252 15323	5	   	264.40	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	19LIT|2LWND|39DUR|4DUST|5DMG|679VULN|8RCR|9BPWR|aCDMG
62	26234 62122	9	   	264.30	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	19DUST|2CDMG|349VULN|5DMG|6aLIT|79DUR|8RCR|9BPWR
63	22633 35112	8	   	264.29	DCR|3VULN|2DMG|2DUR|1ASPD|1NUKE	1DUST|25DMG|359VULN|4NUKE|5BPWR|67DUR|8ASPD|aRCR
64	41444 15433	10	 * 	263.92	DCR|3VULN|3DUR|2ASPD|1CDMG	17ASPD|2CGEN|3MBVNT|478VULN|579DUR|6RCR|7BPWR|aCDMG
65	33611 46321	8	   	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	16CDMG|2TLV|3DMG|4579VULN|8ZMB|aRCR
66	53424 13121	10	 * 	263.73	DCR|3VULN|3DUR|1DMG|2LIT|1SELL	19LIT|279DUR|3SELL|4DMG|5DUST|69aVULN|8RCR|9BPWR
67	53424 13121	9	 * 	263.73	DCR|3VULN|3DUR|1DMG|2LIT|1SELL	19LIT|279DUR|3SELL|4DMG|5DUST|69aVULN|8RCR|9BPWR
68	42234 11133	10	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1ASPD|2RCVC|3TLV|48DMG|5CDMG|69aVULN|7RCR
69	46234 11133	10	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1ASPD|2DMSP|3TLV|48DMG|5CDMG|69aVULN|7RCR
70	32614 51132	7	   	263.35	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1CDMG|2ASPD|35DMG|49aVULN|6ERES|7RCR|8TLV
71	26115 12437	4	   	263.27	DCR|4VULN|3CDMG|1DMG|1AART	18DUST|268CDMG|3MBVNT|4AART|5678VULN|68BPWR|9RCR|aDMG
72	56112 12134	1	 * 	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1aLIT|2TLV|35aDUR|4DMG|6LWND|7aVULN|8AART|9RCR|aBPWR
73	56112 22134	1	   	263.08	DCR|2VULN|3DUR|1DMG|1TLV|2LIT|1AART	1aLIT|2TLV|35aDUR|4DMG|6LHND|7aVULN|8AART|9RCR|aBPWR
74	12323 63426	7	   	262.86	DCR|3VULN|3DMG|1DUR	17ERES|2RCVC|367DMG|4BELT|567VULN|67BPWR|8RCR|9DUR|aLIT
75	32613 17171	4	 * 	262.83	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV|1AART	17CDMG|26ASPD|37DMG|47VULN|5MBVNT|7BPWR|8TLV|9RCR|aAART
76	22641 24112	6	   	262.76	DCR|3VULN|3DMG|1DUR	14DUST|256DMG|356VULN|56BPWR|7LIT|8DUR|9RCR|aFEWX
77	26115 12433	4	 * 	262.74	DCR|5VULN|3CDMG|1AART	18aDUST|268CDMG|3MBVNT|4AART|5678aVULN|68aBPWR|9RCR
78	33611 23154	6	   	262.64	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1SELL	1aCDMG|2TLV|3aDMG|45VULN|6SELL|7LHND|8aDUR|9RCR|aBPWR
79	42234 21135	9	   	262.61	DCR|2VULN|3DMG|2ASPD|1TLV|1CDMG	1aASPD|2RCVC|3TLV|48aDMG|5CDMG|6LHND|7RCR|9aVULN|aBPWR
80	42234 31135	9	   	262.61	DCR|2VULN|3DMG|2ASPD|1TLV|1CDMG	1aASPD|2RCVC|3TLV|48aDMG|5CDMG|6BEXP|7RCR|9aVULN|aBPWR
81	26233 42115	8	   	262.37	DCR|4VULN|2ASPD|1DMG|1CDMG	1aDUST|2CDMG|347aVULN|5ERES|6RCR|8DMG|9aASPD|aBPWR
82	31216 32161	9	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2LHND|367VULN|4DUR|5TLV|8DMG|9RCR|aASPD
83	31216 32161	10	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2LHND|367VULN|4DUR|5TLV|8DMG|9RCR|aASPD
84	33434 32161	10	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2TLV|367VULN|4DUR|5LHND|8DMG|9RCR|aASPD
85	33434 32161	9	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2TLV|367VULN|4DUR|5LHND|8DMG|9RCR|aASPD
86	31112 77382	4	   	262.00	DCR|3VULN|2DUR|3CDMG|1DMG	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9RPLT|aDMG
87	31122 77382	3	   	262.00	DCR|3VULN|2DUR|3CDMG|1DMG	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9RPLT|aDMG
88	32611 31643	6	   	261.92	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1CDMG|2ASPD|3DMG|4589VULN|6AART|7FEWX|aRCR
89	23612 32324	1	   	261.79	DCR|3VULN|2DMG|2DUR	19DUST|26aVULN|39LHND|4LIT|56DUR|69BPWR|79DMG|8RCR
90	24315 32324	3	   	261.79	DCR|3VULN|2DMG|2DUR	19DUST|26DUR|39LWND|4LIT|56aVULN|69BPWR|79DMG|8RCR
91	21215 32324	3	   	261.79	DCR|3VULN|2DMG|2DUR	19DUST|26LHND|39DUR|4LIT|56aVULN|69BPWR|79DMG|8RCR
92	23215 32324	3	   	261.79	DCR|3VULN|2DMG|2DUR	19DUST|26LWND|39DUR|4LIT|56aVULN|69BPWR|79DMG|8RCR
93	33433 41225	4	   	261.71	DCR|3VULN|2DUR|2CDMG|1TLV|1AART	1aCDMG|2TLV|38aVULN|4aDUR|5BBNT|6RMIN|7RCR|9AART|aBPWR
94	22633 35531	10	   	261.59	DCR|3VULN|2DMG|2DUR|1NUKE	1DUST|25DMG|358VULN|4NUKE|5BPWR|67DUR|9LIT|aRCR
95	32611 32225	9	   	261.53	DCR|2VULN|2DMG|2ASPD|2CDMG|2LIT|1AART	18CDMG|28ASPD|3aDMG|45VULN|6AART|78LIT|8BPWR|9RCR
96	32611 32225	10	   	261.53	DCR|2VULN|2DMG|2ASPD|2CDMG|2LIT|1AART	18CDMG|28ASPD|3aDMG|45VULN|6AART|78LIT|8BPWR|9RCR
97	32614 32224	9	   	261.53	DCR|2VULN|2DMG|2ASPD|2CDMG|2LIT|1AART	18CDMG|28ASPD|35DMG|4aVULN|6AART|78LIT|8BPWR|9RCR
98	12323 63431	7	   	260.94	DCR|4VULN|3DMG	17ERES|2RCVC|367DMG|4BELT|5679VULN|67BPWR|8RCR|aDMSP
99	12323 63435	7	   	260.94	DCR|4VULN|3DMG	17ERES|2RCVC|367DMG|4BELT|5679VULN|67BPWR|8RCR|aMLV
100	16323 63431	7	   	260.94	DCR|4VULN|3DMG	17ERES|2aDMSP|367DMG|4BELT|5679VULN|67BPWR|8RCR
101	22633 21163	8	   	260.84	DCR|4VULN|3DMG|1NUKE	18DUST|258DMG|3578VULN|4NUKE|58BPWR|6RCVC|9RCR|aCGEN
102	22633 21165	8	   	260.84	DCR|4VULN|3DMG|1NUKE	18DUST|258DMG|3578VULN|4NUKE|58BPWR|6RCVC|9RCR|aFEWX
103	12323 63434	7	   	260.84	DCR|4VULN|3DMG	17aERES|2RCVC|367DMG|4BELT|5679VULN|67BPWR|8RCR
104	33611 13422	4	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|2TLV|3DMG|47aVULN|5RPLT|6AART|8DUR|9RCR
105	33611 36422	6	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|2TLV|3DMG|45aVULN|6AART|7RPLT|8DUR|9RCR
106	33634 13422	3	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|2TLV|3DMG|4RPLT|57aVULN|6AART|8DUR|9RCR
107	22633 21162	8	   	260.74	DCR|4VULN|3DMG|1NUKE	18DUST|258DMG|3578VULN|4NUKE|58BPWR|6RCVC|9RCR|aBBNT
108	22633 21166	8	   	260.74	DCR|4VULN|3DMG|1NUKE	18DUST|258DMG|3578VULN|4NUKE|58BPWR|6RCVC|9RCR|aERES
109	33611 31541	9	   	260.67	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1CDMG|2TLV|3DMG|45aVULN|6AART|7DUR|8ERES|9RCR
110	42234 11125	9	 * 	260.28	DCR|3DMG|1VULN|2DUR|2ASPD|1TLV|1CDMG	1aASPD|2RCVC|3TLV|48aDMG|5CDMG|6VULN|7RCR|9aDUR|aBPWR
111	42222 24213	6	   	260.21	DCR|3VULN|2DMG|2ASPD|1TLV	1aASPD|2RCVC|3TLV|4BELT|5aDMG|6RCR|78aVULN|9RPLT|aBPWR
112	42222 54213	5	   	260.21	DCR|3VULN|2DMG|2ASPD|1TLV	1aASPD|2RCVC|3TLV|4BELT|5aDMG|6RCR|78aVULN|9RPLT|aBPWR
113	46222 24213	6	   	260.21	DCR|3VULN|2DMG|2ASPD|1TLV	1aASPD|2DMSP|3TLV|4BELT|5aDMG|6RCR|78aVULN|9RPLT|aBPWR
114	31134 32612	2	   	260.10	DCR|4VULN|2CDMG|1TLV|1DUR	15CDMG|2LHND|3BEXP|458aVULN|5BPWR|6DUR|7TLV|9RCR
115	26122 62212	2	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	1DUST|26CDMG|3BEXP|4DUR|568aVULN|6BPWR|7TLV|9RCR
116	36134 32212	1	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	15CDMG|2DUST|3BEXP|458aVULN|5BPWR|6DUR|7TLV|9RCR
117	32613 45462	4	 * 	259.82	DCR|2VULN|2DUR|2ASPD|1DMG|2CDMG|1AART	19CDMG|29ASPD|3DMG|48VULN|5MBVNT|69DUR|7AART|9BPWR|aRCR
118	41444 15413	7	   	259.59	DCR|4VULN|2DUR|2ASPD	17ASPD|2CGEN|3MBVNT|478aVULN|57DUR|6RCR|7BPWR|9TBNT
119	41444 15413	8	   	259.59	DCR|4VULN|2DUR|2ASPD	17ASPD|2CGEN|3MBVNT|478aVULN|57DUR|6RCR|7BPWR|9TBNT
120	41444 15414	9	   	259.59	DCR|4VULN|2DUR|2ASPD	17ASPD|2CGEN|3MBVNT|478aVULN|57DUR|6RCR|7BPWR|9ERES
121	41444 15444	7	   	259.59	DCR|4VULN|2DUR|2ASPD	17ASPD|2CGEN|3MBVNT|478aVULN|57DUR|6RCR|7BPWR|9ERES
122	41444 15444	8	   	259.59	DCR|4VULN|2DUR|2ASPD	17ASPD|2CGEN|3MBVNT|478aVULN|57DUR|6RCR|7BPWR|9ERES
123	26115 12431	4	   	259.45	DCR|4VULN|3CDMG|1DUR|1AART	18DUST|268CDMG|3MBVNT|4AART|5678VULN|68BPWR|9RCR|aDUR
124	26115 12432	4	   	259.45	DCR|4VULN|3CDMG|1TLV|1AART	18DUST|268CDMG|3MBVNT|4AART|5678VULN|68BPWR|9RCR|aTLV
125	22641 23623	6	   	259.42	DCR|3VULN|3DMG|2ASPD	14DUST|256DMG|356VULN|56BPWR|79ASPD|8RPLT|aRCR
126	12353 65132	6	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1ERES|2RCVC|3aDMG|4DUR|5ASPD|6RCR|7aCDMG|8TLV|9aVULN|aBPWR
127	32613 17172	4	 * 	259.21	DCR|2VULN|2DMG|3CDMG|2ASPD|1TLV	17aCDMG|26ASPD|37DMG|47VULN|5MBVNT|7BPWR|8TLV|9RCR
128	13353 65132	6	   	259.11	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	12ERES|3aDMG|4DUR|5ASPD|6RCR|7aCDMG|8TLV|9aVULN|aBPWR
129	33611 12563	10	   	258.96	DCR|3VULN|2DMG|2CDMG|1TLV	18CDMG|2TLV|38DMG|45aVULN|6LWND|78LHND|8BPWR|9RCR
130	33611 41321	8	   	258.76	DCR|3VULN|2DMG|2CDMG|1TLV	16CDMG|2TLV|37DMG|459VULN|8ZMB|aRCR
131	31231 35242	7	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|29LHND|3458VULN|68DUR|7RPLT|8BPWR|aRCR
132	31231 35265	7	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|2LHND|3458VULN|68DUR|7RPLT|8BPWR|9MLV|aRCR
133	31231 35251	7	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|2LHND|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aCGEN
134	31231 35254	7	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|2LHND|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aMLV
135	31214 35212	7	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|26LHND|3589VULN|48DUR|7RPLT|8BPWR|aRCR
136	31216 23212	4	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|26LHND|3789VULN|48DUR|5RPLT|8BPWR|aRCR
137	31226 23212	3	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|26LHND|3789VULN|48DUR|5RPLT|8BPWR|aRCR
138	31236 35212	7	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|25LHND|3489VULN|68DUR|7RPLT|8BPWR|aRCR
139	31311 35212	7	   	258.54	DCR|4VULN|2DUR|2CDMG	18CDMG|23LHND|4589VULN|68DUR|7RPLT|8BPWR|aRCR
140	33635 31135	9	   	258.51	DCR|2VULN|3DMG|2CDMG|1TLV|1ASPD	1aCDMG|2TLV|38aDMG|46DUST|5ASPD|7RCR|9aVULN|aBPWR
141	32614 21161	8	   	258.47	DCR|2VULN|3DMG|2CDMG|1DUR|1ASPD|1SELL	18CDMG|2ASPD|358DMG|48VULN|6SELL|7RMIN|8BPWR|9RCR|aDUR
142	31232 36612	4	   	258.44	DCR|4VULN|2DUR|2CDMG	17CDMG|2LHND|347aVULN|5LEGI|67DUR|7BPWR|8CGEN|9RCR
143	31232 36612	3	   	258.44	DCR|4VULN|2DUR|2CDMG	17CDMG|2LHND|347aVULN|5LEGI|67DUR|7BPWR|8CGEN|9RCR
144	31231 35253	7	   	258.44	DCR|4VULN|2DUR|2CDMG	18CDMG|2LHND|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aTBNT
145	35161 34743	10	   	258.44	DCR|4VULN|2DUR|2CDMG	19CDMG|2RCVC|3MBVNT|4BEXP|569aVULN|7RCR|89DUR|9BPWR
146	35115 81234	7	 * 	258.37	DCR|3VULN|3DMG|2CDMG	1aCDMG|2RCVC|3MBVNT|46aVULN|56aDMG|6aBPWR|7RCR|8RPLT|9BELT
147	35115 81334	8	   	258.37	DCR|3VULN|3DMG|2CDMG	1aCDMG|2RCVC|3MBVNT|46aVULN|56aDMG|6aBPWR|7RCR|8RPLT|9BELT
148	35135 38212	1	   	258.29	DCR|4VULN|2DUR|2CDMG|1SELL	18CDMG|2MBVNT|35BEXP|4589VULN|58BPWR|68DUR|7SELL|aRCR
149	31214 26212	6	   	258.19	DCR|4VULN|2DUR|2CDMG|1SELL	18CDMG|2LHND|3589VULN|48DUR|6SELL|7MBVNT|8BPWR|aRCR
150	31232 16212	5	   	258.19	DCR|4VULN|2DUR|2CDMG|1SELL	18CDMG|2LHND|3489VULN|5SELL|68DUR|7MBVNT|8BPWR|aRCR
151	35122 68212	1	   	258.19	DCR|4VULN|2DUR|2CDMG|1SELL	18CDMG|2MBVNT|3BEXP|48DUR|5689VULN|7SELL|8BPWR|aRCR
152	35131 68212	1	   	258.19	DCR|4VULN|2DUR|2CDMG|1SELL	18CDMG|2MBVNT|3BEXP|4689VULN|58DUR|7SELL|8BPWR|aRCR
153	31112 77321	4	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9LWND|aTLV
154	31112 77341	4	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aRMIN
155	31112 77344	4	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aCGEN
156	31112 77346	4	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aFEWX
157	31112 77364	4	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|29LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|aTLV
158	31115 77321	5	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9LWND|aTLV
159	31115 77341	5	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aRMIN
160	31115 77344	5	   	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aCGEN
